PID	SYMBOL	TITLE	CYTOBAND	ENTREZ GENE ID	REFSEQ ACCESSION NUMBER	Location	Type(s)	t-test (t)	t-test (p)	FDR	Status
229971_at	GPR114	G protein-coupled receptor 114	16q13	221188	BF057784	Plasma Membrane	G-protein coupled receptor	5.48	6.70765E-06	0.000220849	up High vs Low
223663_at	CCDC88B	coiled-coil domain containing 88B	11q12.3	283234	AL136799	Nucleus	enzyme	5.48	3.04097E-06	0.000111458	up High vs Low
227228_s_at	CCDC88C	coiled-coil domain containing 88C	14q32.12	440193	AB040942	unknown	other	5.46	7.94499E-07	3.50396E-05	up High vs Low
212587_s_at	PTPRC	protein tyrosine phosphatase, receptor type, C	1q31-q32	5788	AI809341	Plasma Membrane	phosphatase	5.46	1.68349E-06	6.75282E-05	up High vs Low
206545_at	CD28	CD28 molecule	2q33	940	NM_006139	Plasma Membrane	other	5.46	2.15249E-06	8.3867E-05	up High vs Low
206715_at	TFEC	transcription factor EC	7q31.2	22797	NM_012252	Nucleus	transcription regulator	5.43	2.11512E-06	8.2886E-05	up High vs Low
203055_s_at	ARHGEF1	Rho guanine nucleotide exchange factor (GEF) 1	19q13.13	9138	NM_004706	Cytoplasm	other	5.43	1.66143E-06	6.68407E-05	up High vs Low
204777_s_at	MAL	mal, T-cell differentiation protein	2cen-q13	4118	NM_002371	Plasma Membrane	transporter	5.42	1.65057E-06	6.66009E-05	up High vs Low
205789_at	CD1D	CD1d molecule	1q22-q23	912	NM_001766	Plasma Membrane	other	5.42	8.2407E-06	0.000262429	up High vs Low
202659_at	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	16q22.1	5699	NM_002801	Cytoplasm	peptidase	5.41	1.55483E-06	6.35078E-05	up High vs Low
203388_at	ARRB2	arrestin, beta 2	17p13	409	NM_004313	Cytoplasm	other	5.4	1.09265E-06	4.65762E-05	up High vs Low
204279_at	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	6p21.3	5698	NM_002800	Cytoplasm	peptidase	5.39	1.3421E-06	5.56399E-05	up High vs Low
207522_s_at	ATP2A3	ATPase, Ca++ transporting, ubiquitous	17p13.3	489	NM_005173	Cytoplasm	transporter	5.38	1.55991E-06	6.35078E-05	up High vs Low
227844_at	FMNL3	formin-like 3	12q13.12	91010	AI089932	unknown	other	5.38	2.17001E-06	8.43081E-05	up High vs Low
203320_at	SH2B3	SH2B adaptor protein 3	12q24	10019	NM_005475	Cytoplasm	other	5.37	2.27088E-06	8.74771E-05	up High vs Low
213566_at	RNASE6	ribonuclease, RNase A family, k6	14q11.2	6039	NM_005615	Extracellular Space	enzyme	5.37	2.43168E-06	9.26219E-05	up High vs Low
205861_at	SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	19q13.3-q13.4	6689	NM_003121	Nucleus	transcription regulator	5.37	3.11618E-06	0.000113603	up High vs Low
223553_s_at	DOK3	docking protein 3	5q35.3	79930	BC004564	Cytoplasm	other	5.37	3.34964E-06	0.000120818	up High vs Low
210785_s_at	C1orf38	chromosome 1 open reading frame 38	1p35.3	9473	AB035482	unknown	other	5.36	1.7029E-06	6.81058E-05	up High vs Low
209375_at	XPC	xeroderma pigmentosum, complementation group C	3p25	7508	D21089	Nucleus	other	5.35	2.3461E-06	8.9613E-05	up High vs Low
203760_s_at	SLA	Src-like-adaptor	8q22.3-qter|8q24	6503	U44403	Plasma Membrane	other	5.34	6.04431E-06	0.000203442	up High vs Low
213415_at	CLIC2	chloride intracellular channel 2	Xq28	1193	AI768628	unknown	other	5.33	1.4779E-06	6.10837E-05	up High vs Low
222868_s_at	IL18BP	interleukin 18 binding protein	11q13	10068	AI521549	Extracellular Space	other	5.32	1.71433E-06	6.83619E-05	up High vs Low
219386_s_at	SLAMF8	SLAM family member 8	1q23.2	56833	NM_020125	Extracellular Space	other	5.32	2.14142E-06	8.36752E-05	up High vs Low
207655_s_at	BLNK	B-cell linker	10q23.2-q23.33	29760	NM_013314	Cytoplasm	other	5.3	1.99575E-06	7.86613E-05	up High vs Low
202643_s_at	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	6q23	7128	AI738896	Nucleus	other	5.3	2.34354E-06	8.9613E-05	up High vs Low
212914_at	CBX7	chromobox homolog 7	22q13.1	23492	AV648364	Nucleus	other	5.29	2.71E-06	0.000101238	up High vs Low
220987_s_at	C11orf17	chromosome 11 open reading frame 17	11p15.3	56672	NM_030952	unknown	kinase	5.29	2.33394E-06	8.9613E-05	up High vs Low
205419_at	GPR183	G protein-coupled receptor 183	13q32.3	1880	NM_004951	Plasma Membrane	G-protein coupled receptor	5.28	2.75198E-06	0.000102525	up High vs Low
230983_at	FAM129C	family with sequence similarity 129, member C	19p13.11	199786	BE646461	unknown	other	5.25	1.76769E-05	0.000502867	up High vs Low
204411_at	KIF21B	kinesin family member 21B	1pter-q31.3	23046	NM_017596	Cytoplasm	other	5.25	4.15207E-06	0.000145891	up High vs Low
226673_at	SH2D3C	SH2 domain containing 3C	9q34.11	10044	AW665063	Cytoplasm	other	5.24	3.69374E-06	0.000131898	up High vs Low
208894_at	HLA-DRA	major histocompatibility complex, class II, DR alpha	6p21.3	3122	M60334	Plasma Membrane	transmembrane receptor	5.24	1.83313E-06	7.26732E-05	up High vs Low
205859_at	LY86	lymphocyte antigen 86	6p25.1	9450	NM_004271	Plasma Membrane	other	5.24	6.08568E-06	0.000204329	up High vs Low
212592_at	IGJ	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	4q21	3512	AV733266	Extracellular Space	other	5.23	1.95646E-06	7.73371E-05	up High vs Low
223615_at	ABI3	ABI family, member 3	17q21.3	51225	AL136709	Plasma Membrane	other	5.23	2.69325E-06	0.000100889	up High vs Low
227189_at	CPNE5	copine V	6p21.1	57699	AB046819	unknown	other	5.23	6.02249E-06	0.00020321	up High vs Low
206049_at	SELP	selectin P (granule membrane protein 140kDa, antigen CD62)	1q22-q25	6403	NM_003005	Plasma Membrane	other	5.23	6.1693E-06	0.000206626	up High vs Low
205297_s_at	CD79B	CD79b molecule, immunoglobulin-associated beta	17q23	974	NM_000626	Plasma Membrane	transmembrane receptor	5.23	1.29992E-05	0.000384266	up High vs Low
206420_at	IGSF6	immunoglobulin superfamily, member 6	16p12-p13	10261	NM_005849	Plasma Membrane	transmembrane receptor	5.22	6.26128E-06	0.000208679	up High vs Low
209447_at	SYNE1	spectrin repeat containing, nuclear envelope 1	6q25	23345	AF043290	Nucleus	other	5.22	3.27171E-06	0.000118637	up High vs Low
206126_at	CXCR5	chemokine (C-X-C motif) receptor 5	11q23.3	643	NM_001716	Plasma Membrane	G-protein coupled receptor	5.22	1.34174E-05	0.000394061	up High vs Low
213375_s_at	N4BP2L1	NEDD4 binding protein 2-like 1	13q12-q13	90634	N80918	unknown	other	5.22	3.1891E-06	0.00011595	up High vs Low
205237_at	FCN1	ficolin (collagen/fibrinogen domain containing) 1	9q34	2219	NM_002003	Extracellular Space	other	5.21	9.8249E-06	0.000304326	up High vs Low
204164_at	SIPA1	signal-induced proliferation-associated 1	11q13	6494	NM_006747	Cytoplasm	other	5.21	3.48376E-06	0.000124993	up High vs Low
206513_at	AIM2	absent in melanoma 2	1q22	9447	NM_004833	Cytoplasm	other	5.21	3.88524E-06	0.000137582	up High vs Low
220532_s_at	TMEM176B	transmembrane protein 176B	7q36.1	28959	NM_014020	unknown	other	5.19	2.1843E-06	8.46214E-05	up High vs Low
205965_at	BATF	basic leucine zipper transcription factor, ATF-like	14q24.3	10538	NM_006399	Nucleus	transcription regulator	5.18	2.54351E-06	9.58078E-05	up High vs Low
209734_at	NCKAP1L	NCK-associated protein 1-like	12q13.1	3071	BC001604	Plasma Membrane	other	5.18	6.64104E-06	0.000219186	up High vs Low
205890_s_at	UBD	ubiquitin D	6p21.3	10537	NM_006398	Plasma Membrane	G-protein coupled receptor	5.17	2.83697E-06	0.000104829	up High vs Low
204588_s_at	SLC7A7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	14q11.2	9056	NM_003982	Plasma Membrane	transporter	5.16	6.90367E-06	0.000226754	up High vs Low
209392_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	8q24.1	5168	L35594	Plasma Membrane	enzyme	5.15	4.92961E-06	0.000168849	up High vs Low
224927_at	KIAA1949	KIAA1949	6p21.3	170954	BG251556	unknown	other	5.14	4.03865E-06	0.000142273	up High vs Low
204336_s_at	RGS19	regulator of G-protein signaling 19	20q13.33	10287	NM_005873	Cytoplasm	other	5.12	7.4796E-06	0.000241013	up High vs Low
220035_at	NUP210	nucleoporin 210kDa	3p25.1	23225	NM_024923	Nucleus	transporter	5.12	3.89819E-06	0.000137682	up High vs Low
235359_at	LRRC33	leucine rich repeat containing 33	3q29	375387	AA534416	unknown	other	5.12	4.68706E-06	0.000161732	up High vs Low
205671_s_at	HLA-DOB	major histocompatibility complex, class II, DO beta	6p21.3	3112	NM_002120	Plasma Membrane	transmembrane receptor	5.11	5.82942E-06	0.000197185	up High vs Low
218322_s_at	ACSL5	acyl-CoA synthetase long-chain family member 5	10q25.1-q25.2	51703	NM_016234	Cytoplasm	enzyme	5.11	2.82684E-06	0.000104739	up High vs Low
213888_s_at	TRAF3IP3	TRAF3 interacting protein 3	1q32.3-q41	80342	AL022398	unknown	other	5.11	2.60058E-06	9.7687E-05	up High vs Low
205467_at	CASP10	caspase 10, apoptosis-related cysteine peptidase	2q33-q34	843	NM_001230	Cytoplasm	peptidase	5.11	4.29192E-06	0.000150416	up High vs Low
1552623_at	HSH2D	hematopoietic SH2 domain containing	19p13.11	84941	BC025237	Cytoplasm	other	5.1	1.31977E-05	0.000389289	up High vs Low
232279_at	PHF15	PHD finger protein 15	5q31.1	23338	AK025001	unknown	other	5.09	1.29758E-05	0.000384266	up High vs Low
224964_s_at	GNG2	guanine nucleotide binding protein (G protein), gamma 2	14q21	54331	AK026424	Plasma Membrane	enzyme	5.08	6.58512E-06	0.000218401	up High vs Low
203485_at	RTN1	reticulon 1	14q23.1	6252	NM_021136	Cytoplasm	other	5.08	7.31638E-06	0.000236877	up High vs Low
230836_at	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	5q21	7903	AI422986	Cytoplasm	enzyme	5.08	1.02291E-05	0.000314694	up High vs Low
215946_x_at	IGLL3	immunoglobulin lambda-like polypeptide 3	22q11.2|22q11.23	91353	AL022324	unknown	other	5.07	3.09429E-06	0.000113108	up High vs Low
1552386_at	GAPT	GRB2-binding adaptor protein, transmembrane	5q11.2	202309	NM_152687	unknown	other	5.06	1.83368E-05	0.00051731	up High vs Low
222786_at	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12	7p22	55501	BC002918	Cytoplasm	enzyme	5.06	7.02144E-06	0.000230066	up High vs Low
205544_s_at	CR2	complement component (3d/Epstein Barr virus) receptor 2	1q32	1380	NM_001877	Plasma Membrane	transmembrane receptor	5.05	2.09019E-05	0.000578868	up High vs Low
209229_s_at	SAPS1	SAPS domain family, member 1	19q13.42	22870	BC002799	unknown	other	5.05	4.30651E-06	0.000150417	up High vs Low
237426_at	SP100	SP100 nuclear antigen	2q37.1	6672	AA286940	Nucleus	transcription regulator	5.05	9.00487E-06	0.000282139	up High vs Low
203474_at	IQGAP2	IQ motif containing GTPase activating protein 2	5q13.3	10788	NM_006633	Cytoplasm	other	5.03	4.69806E-06	0.000161732	up High vs Low
210644_s_at	LAIR1	leukocyte-associated immunoglobulin-like receptor 1	19q13.4	3903	AF109683	Plasma Membrane	transmembrane receptor	5.03	9.1743E-06	0.000285474	up High vs Low
226811_at	FAM46C	family with sequence similarity 46, member C	1p12	54855	AL046017	Extracellular Space	other	5.03	4.78792E-06	0.000164409	up High vs Low
218380_at	NLRP1	NLR family, pyrin domain containing 1	17p13.2	22861	NM_021730	Cytoplasm	other	5.02	5.75733E-06	0.000195232	up High vs Low
221249_s_at	FAM117A	family with sequence similarity 117, member A	17q21.33	81558	NM_030802	unknown	transporter	5.02	6.2177E-06	0.000207735	up High vs Low
211368_s_at	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	11q23	834	U13700	Cytoplasm	peptidase	5.02	5.04115E-06	0.000171803	up High vs Low
221905_at	CYLD	cylindromatosis (turban tumor syndrome)	16q12.1	1540	BF516433	Nucleus	transcription regulator	5.01	7.917E-06	0.000253307	up High vs Low
227135_at	NAAA	N-acylethanolamine acid amidase	4q21.1	27163	AI436803	Cytoplasm	enzyme	5.01	4.31407E-06	0.000150417	up High vs Low
44790_s_at	C13orf18	chromosome 13 open reading frame 18	13q14.12	80183	AI129310	unknown	other	5.01	7.35784E-06	0.000237653	up High vs Low
206437_at	S1PR4	sphingosine-1-phosphate receptor 4	19p13.3	8698	NM_003775	Plasma Membrane	G-protein coupled receptor	5.01	8.13638E-06	0.000259715	up High vs Low
205013_s_at	ADORA2A	adenosine A2a receptor	22q11.23	135	NM_000675	unknown	other	5	1.44428E-05	0.000420541	up High vs Low
206134_at	ADAMDEC1	ADAM-like, decysin 1	8p21.2	27299	NM_014479	Extracellular Space	peptidase	4.99	6.63155E-06	0.000219186	up High vs Low
1569257_at	FMNL1	formin-like 1	17q21	752	BC042925	Cytoplasm	other	4.99	1.27814E-05	0.000380309	up High vs Low
211644_x_at	IGK@	immunoglobulin kappa locus	2p12	50802	L14458			4.98	4.45321E-06	0.000154477	up High vs Low
227014_at	ASPHD2	aspartate beta-hydroxylase domain containing 2	22q12.1	57168	BE550881	unknown	enzyme	4.98	8.35406E-06	0.000265417	up High vs Low
210401_at	P2RX1	purinergic receptor P2X, ligand-gated ion channel, 1	17p13.3	5023	U45448	Plasma Membrane	ion channel	4.97	1.89089E-05	0.000531247	up High vs Low
205312_at	SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	11p11.2	6688	NM_003120	Nucleus	transcription regulator	4.95	7.70185E-06	0.000247004	up High vs Low
239629_at	CFLAR	CASP8 and FADD-like apoptosis regulator	2q33-q34	8837	AI634046	Cytoplasm	other	4.95	1.11874E-05	0.000341858	up High vs Low
205922_at	VNN2	vanin 2	6q23-q24	8875	NM_004665	Cytoplasm	enzyme	4.94	1.71297E-05	0.000490377	up High vs Low
208335_s_at	DARC	Duffy blood group, chemokine receptor	1q21-q22	2532	NM_002036	Plasma Membrane	G-protein coupled receptor	4.93	1.01053E-05	0.000312299	up High vs Low
230086_at	FNBP1	formin binding protein 1	9q34	23048	AA937109	Nucleus	enzyme	4.92	1.06048E-05	0.000324785	up High vs Low
235339_at	SETDB2	SET domain, bifurcated 2	13q14	83852	W65369	Nucleus	enzyme	4.92	1.84872E-05	0.000520474	up High vs Low
210152_at	LILRB4	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4	19q13.4	11006	U82979	Plasma Membrane	other	4.91	2.03676E-05	0.000565883	up High vs Low
220068_at	VPREB3	pre-B lymphocyte 3	22q11.23|22q11	29802	NM_013378	unknown	other	4.91	2.55168E-05	0.000685727	up High vs Low
209969_s_at	STAT1	signal transducer and activator of transcription 1, 91kDa	2q32.2	6772	BC002704	Nucleus	transcription regulator	4.91	5.71923E-06	0.000194425	up High vs Low
205641_s_at	TRADD	TNFRSF1A-associated via death domain	16q22	8717	NM_003789	Cytoplasm	other	4.91	8.94739E-06	0.000280985	up High vs Low
207375_s_at	IL15RA	interleukin 15 receptor, alpha	10p15-p14	3601	NM_002189	Plasma Membrane	transmembrane receptor	4.9	7.04025E-06	0.000230128	up High vs Low
225706_at	GLCCI1	glucocorticoid induced transcript 1	7p21.3	113263	AI761989	unknown	other	4.89	9.0662E-06	0.000282757	up High vs Low
209457_at	DUSP5	dual specificity phosphatase 5	10q25	1847	U16996	Nucleus	phosphatase	4.89	6.42462E-06	0.000213599	up High vs Low
204158_s_at	TCIRG1	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3	11q13.2	10312	NM_006019	Plasma Membrane	enzyme	4.88	7.07229E-06	0.000230621	up High vs Low
217022_s_at	IGH@	immunoglobulin heavy locus	14q32.33	3492	S55735	Extracellular Space	other	4.86	7.24764E-06	0.000235211	up High vs Low
204070_at	RARRES3	retinoic acid receptor responder (tazarotene induced) 3	11q23	5920	NM_004585	Cytoplasm	other	4.85	7.19839E-06	0.000234172	up High vs Low
221571_at	TRAF3	TNF receptor-associated factor 3	14q32.32	7187	AI721219	Cytoplasm	other	4.85	1.25671E-05	0.000376405	up High vs Low
230052_s_at	NFKBID	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, delta	19q13.12	84807	AA004799	unknown	other	4.85	2.18731E-05	0.00060087	up High vs Low
206267_s_at	MATK	megakaryocyte-associated tyrosine kinase	19p13.3	4145	NM_002378	Cytoplasm	kinase	4.84	1.26144E-05	0.000376991	up High vs Low
215784_at	CD1E	CD1e molecule	1q22-q23	913	AA309511	Cytoplasm	other	4.84	2.36426E-05	0.000642785	up High vs Low
219371_s_at	KLF2	Kruppel-like factor 2 (lung)	19p13.13-p13.11	10365	NM_016270	Nucleus	transcription regulator	4.83	1.33109E-05	0.000391778	up High vs Low
206170_at	ADRB2	adrenergic, beta-2-, receptor, surface	5q31-q32	154	NM_000024	Plasma Membrane	G-protein coupled receptor	4.83	2.23087E-05	0.000610369	up High vs Low
204994_at	MX2	myxovirus (influenza virus) resistance 2 (mouse)	21q22.3	4600	NM_002463	Nucleus	enzyme	4.83	9.05525E-06	0.000282757	up High vs Low
227609_at	EPSTI1	epithelial stromal interaction 1 (breast)	13q13.3	94240	AA633203	unknown	other	4.83	1.12146E-05	0.000341919	up High vs Low
209166_s_at	MAN2B1	mannosidase, alpha, class 2B, member 1	19cen-q13.1	4125	U68567	Cytoplasm	enzyme	4.82	8.6274E-06	0.000272826	up High vs Low
205192_at	MAP3K14	mitogen-activated protein kinase kinase kinase 14	17q21	9020	NM_003954	Cytoplasm	kinase	4.82	1.12689E-05	0.000342805	up High vs Low
222895_s_at	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	14q32.2	64919	AA918317	Nucleus	other	4.8	9.44682E-06	0.000293283	up High vs Low
217767_at	LOC653879	similar to Complement C3 precursor	-	653879	NM_000064	Extracellular Space	peptidase	4.8	1.29564E-05	0.000384266	up High vs Low
208998_at	UCP2	uncoupling protein 2 (mitochondrial, proton carrier)	11q13	7351	U94592	Cytoplasm	transporter	4.8	8.77859E-06	0.000276963	up High vs Low
206804_at	CD3G	CD3g molecule, gamma (CD3-TCR complex)	11q23	917	NM_000073	Plasma Membrane	transmembrane receptor	4.8	3.23301E-05	0.000847062	up High vs Low
213534_s_at	PASK	PAS domain containing serine/threonine kinase	2q37.3	23178	D50925	Cytoplasm	kinase	4.79	1.22852E-05	0.000369589	up High vs Low
202748_at	GBP2	guanylate binding protein 2, interferon-inducible	1p22.2	2634	NM_004120	Cytoplasm	enzyme	4.79	1.14541E-05	0.000346887	up High vs Low
204352_at	TRAF5	TNF receptor-associated factor 5	1q32	7188	NM_004619	Cytoplasm	transporter	4.79	1.27013E-05	0.000378754	up High vs Low
221044_s_at	TRIM34	tripartite motif-containing 34	11p15	53840	NM_021616	unknown	other	4.77	1.52054E-05	0.000440858	up High vs Low
243423_at	TNIP1	TNFAIP3 interacting protein 1	5q32-q33.1	10318	AF150368	Nucleus	other	4.76	3.02668E-05	0.000796071	up High vs Low
225909_at	tcag7.1196	similar to GLI-Kruppel family member HKR1	7q36.1	728743	BF940308	unknown	other	4.76	2.45708E-05	0.000661611	up High vs Low
209539_at	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	Xq26.3	9459	D25304	Cytoplasm	other	4.76	1.37571E-05	0.000402298	up High vs Low
212796_s_at	TBC1D2B	TBC1 domain family, member 2B	15q24.3-q25.1	23102	BF195608	unknown	other	4.75	1.80024E-05	0.000508932	up High vs Low
218999_at	TMEM140	transmembrane protein 140	7q33	55281	NM_018295	unknown	other	4.74	1.95542E-05	0.000547115	up High vs Low
1559882_at	SAMHD1	SAM domain and HD domain 1	20pter-q12	25939	AF147427	Nucleus	enzyme	4.73	2.22245E-05	0.000609291	up High vs Low
208594_x_at	LILRA6	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6	19q13.4	79168	NM_024318	Plasma Membrane	other	4.73	2.24976E-05	0.000614303	up High vs Low
213820_s_at	STARD5	StAR-related lipid transfer (START) domain containing 5	15q26	80765	T54159	Cytoplasm	transporter	4.73	2.4113E-05	0.000653163	up High vs Low
227544_at	C14orf83	chromosome 14 open reading frame 83	14q24.1	161145	H07095	unknown	other	4.72	1.19254E-05	0.000360359	up High vs Low
201236_s_at	BTG2	BTG family, member 2	1q32	7832	NM_006763	Nucleus	transcription regulator	4.72	1.58321E-05	0.000456112	up High vs Low
211272_s_at	DGKA	diacylglycerol kinase, alpha 80kDa	12q13.3	1606	AF064771	Cytoplasm	kinase	4.71	2.7566E-05	0.000739333	up High vs Low
209761_s_at	SP110	SP110 nuclear body protein	2q37.1	3431	AA969194	Nucleus	other	4.71	1.66624E-05	0.000478006	up High vs Low
218345_at	TMEM176A	transmembrane protein 176A	7q36.1	55365	NM_018487	unknown	other	4.71	1.24399E-05	0.000373417	up High vs Low
204642_at	S1PR1	sphingosine-1-phosphate receptor 1	1p21	1901	NM_001400	Plasma Membrane	G-protein coupled receptor	4.7	3.31661E-05	0.000867293	up High vs Low
230756_at	ZNF683	zinc finger protein 683	1p36.11	257101	AI376558	unknown	other	4.7	2.86758E-05	0.00076308	up High vs Low
209765_at	ADAM19	ADAM metallopeptidase domain 19 (meltrin beta)	5q32-q33	8728	Y13786	Plasma Membrane	peptidase	4.7	1.99486E-05	0.000555864	up High vs Low
215313_x_at	HLA-A	major histocompatibility complex, class I, A	6p21.3	3105	AA573862	Plasma Membrane	transmembrane receptor	4.69	1.36219E-05	0.000399205	up High vs Low
217992_s_at	EFHD2	EF-hand domain family, member D2	1p36.21	79180	NM_024329	unknown	other	4.69	1.71998E-05	0.00049135	up High vs Low
229295_at	LOC150166	hypothetical protein LOC150166	22q11.21	150166	BF939473	unknown	other	4.67	1.7923E-05	0.000507743	up High vs Low
203729_at	EMP3	epithelial membrane protein 3	19q13.3	2014	NM_001425	Plasma Membrane	other	4.66	2.11305E-05	0.000582825	up High vs Low
227300_at	TMEM119	transmembrane protein 119	12q24.11	338773	AL521682	unknown	other	4.66	1.94754E-05	0.000546035	up High vs Low
203185_at	RASSF2	Ras association (RalGDS/AF-6) domain family member 2	20pter-p12.1	9770	NM_014737	Nucleus	other	4.66	1.9618E-05	0.000547773	up High vs Low
212443_at	NBEAL2	neurobeachin-like 2	3p21.31	23218	AB011112	unknown	other	4.65	1.7424E-05	0.000496713	up High vs Low
212560_at	SORL1	sortilin-related receptor, L(DLR class) A repeats-containing	11q23.2-q24.2	6653	AV728268	Plasma Membrane	transporter	4.65	1.54241E-05	0.000446247	up High vs Low
209568_s_at	RGL1	ral guanine nucleotide dissociation stimulator-like 1	1q25.3	23179	AF186779	Cytoplasm	other	4.64	2.36826E-05	0.000642785	up High vs Low
228891_at	SEMA4D	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	9q22.2	10507	N93399	Plasma Membrane	other	4.63	2.4394E-05	0.000658153	up High vs Low
227384_s_at	LOC727820	hypothetical protein LOC727820	1q21.1	727820	AW340595			4.61	2.42024E-05	0.000654283	up High vs Low
203104_at	CSF1R	colony stimulating factor 1 receptor	5q33-q35	1436	NM_005211	Plasma Membrane	kinase	4.59	2.97267E-05	0.000784899	up High vs Low
228964_at	PRDM1	PR domain containing 1, with ZNF domain	6q21-q22.1	639	AI692659	Nucleus	transcription regulator	4.59	2.8118E-05	0.000752653	up High vs Low
209993_at	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	7q21.1	5243	AF016535	Plasma Membrane	transporter	4.58	3.06464E-05	0.000804498	up High vs Low
203920_at	NR1H3	nuclear receptor subfamily 1, group H, member 3	11p11.2	10062	NM_005693	Nucleus	ligand-dependent nuclear receptor	4.56	3.54763E-05	0.00091887	up High vs Low
210340_s_at	CSF2RA	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	Xp22.32 and Yp11.3	1438	BC002635	Plasma Membrane	transmembrane receptor	4.56	3.49263E-05	0.000908085	up High vs Low
204440_at	CD83	CD83 molecule	6p23	9308	NM_004233	Plasma Membrane	other	4.56	3.48414E-05	0.000907611	up High vs Low
213669_at	FCHO1	FCH domain only 1	19p13.11	23149	AB006628	unknown	other	4.55	2.97257E-05	0.000784899	up High vs Low
212706_at	RASA4	RAS p21 protein activator 4	7q22	10156	AB011110	Cytoplasm	other	4.53	3.67132E-05	0.000947298	up High vs Low
213326_at	VAMP1	vesicle-associated membrane protein 1 (synaptobrevin 1)	12p	6843	AU150319	Plasma Membrane	transporter	4.51	3.64798E-05	0.000943064	up High vs Low
204633_s_at	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	14q31-q32.1	9252	AF074393	Nucleus	kinase	4.51	2.82065E-05	0.000753541	up High vs Low
225051_at	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	1p33-p32	2035	AA522435	Plasma Membrane	other	4.5	3.89763E-05	0.00099624	up High vs Low
218543_s_at	PARP12	poly (ADP-ribose) polymerase family, member 12	7q34	64761	NM_022750	Nucleus	other	4.5	2.98341E-05	0.000786209	up High vs Low
205326_at	RAMP3	receptor (G protein-coupled) activity modifying protein 3	7p13-p12	10268	NM_005856	Plasma Membrane	other	4.49	3.72903E-05	0.000954939	up High vs Low
203085_s_at	TGFB1	transforming growth factor, beta 1	19q13.2|19q13.1	7040	BC000125	Extracellular Space	growth factor	4.48	2.84105E-05	0.000757501	up High vs Low
218964_at	ARID3B	AT rich interactive domain 3B (BRIGHT-like)	15q24	10620	NM_006465	unknown	other	4.47	3.69007E-05	0.000948537	up High vs Low
200670_at	XBP1	X-box binding protein 1	22q12.1|22q12	7494	NM_005080	Nucleus	transcription regulator	4.46	3.68898E-05	0.000948537	up High vs Low
223854_at	PCDHB10	protocadherin beta 10	5q31	56126	AF131761	Extracellular Space	other	-4.52	3.50576E-05	0.000909757	down High vs Low
215286_s_at	PHTF2	putative homeodomain transcription factor 2	7q11.23-q21	57157	AL050389	Cytoplasm	other	-4.56	2.12973E-05	0.000586235	down High vs Low
209227_at	TUSC3	tumor suppressor candidate 3	8p22	7991	AU158251	Plasma Membrane	other	-4.56	2.10354E-05	0.000581381	down High vs Low
221410_x_at	PCDHB3	protocadherin beta 3	5q31	56132	NM_018937	Cytoplasm	other	-4.57	2.90887E-05	0.00077105	down High vs Low
209822_s_at	VLDLR	very low density lipoprotein receptor	9p24	7436	L22431	Plasma Membrane	other	-4.59	2.88204E-05	0.000765429	down High vs Low
224002_s_at	FKBP7	FK506 binding protein 7	2q31.2	51661	AF100751	Cytoplasm	enzyme	-4.62	2.31264E-05	0.000630206	down High vs Low
217975_at	WBP5	WW domain binding protein 5	Xq22.1-q22.2	51186	NM_016303	Cytoplasm	enzyme	-4.66	3.44001E-05	0.000897835	down High vs Low
213793_s_at	HOMER1	homer homolog 1 (Drosophila)	5q14.2	9456	BE550452	Cytoplasm	enzyme	-4.66	3.72522E-05	0.000954939	down High vs Low
210513_s_at	VEGFA	vascular endothelial growth factor A	6p12	7422	AF091352	Plasma Membrane	transporter	-4.71	1.66024E-05	0.000477292	down High vs Low
213424_at	KIAA0895	KIAA0895	7p14.2	23366	AB020702	Plasma Membrane	other	-4.72	1.50114E-05	0.000436164	down High vs Low
228946_at	INTU	inturned planar cell polarity effector homolog (Drosophila)	4q28.1	27152	AW150229	unknown	other	-4.73	1.5742E-05	0.000454478	down High vs Low
