# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_013292|NM_013292	hgnc_symbol|MYLPF|MYLPF
refseq_dna|NM_000104|NM_000104	hgnc_symbol|CYP1B1|CYP1B1
refseq_dna|NM_000106|NM_000106	hgnc_symbol|CYP2D6|CYP2D6
refseq_dna|NM_000778|NM_000778	hgnc_symbol|CYP4A11|CYP4A11
refseq_dna|NM_000779|NM_000779	hgnc_symbol|CYP4B1|CYP4B1
refseq_dna|NM_000781|NM_000781	hgnc_symbol|CYP11A1|CYP11A1
refseq_dna|NM_000102|NM_000102	hgnc_symbol|CYP17A1|CYP17A1
refseq_dna|NM_004750|NM_004750	hgnc_symbol|CRLF1|CRLF1
refseq_dna|NM_014376|NM_014376	hgnc_symbol|CYFIP2|CYFIP2
refseq_dna|NM_001281|NM_001281	hgnc_symbol|TBCB|TBCB
refseq_dna|NM_006825|NM_006825	hgnc_symbol|CKAP4|CKAP4
refseq_dna|NM_001928|NM_001928	hgnc_symbol|CFD|CFD
refseq_dna|NM_001923|NM_001923	hgnc_symbol|DDB1|DDB1
refseq_dna|NM_018959|NM_018959	hgnc_symbol|DAZAP1|DAZAP1
refseq_dna|NM_025104|NM_025104	hgnc_symbol|DBF4B|DBF4B
refseq_dna|NM_001355|NM_001355	hgnc_symbol|DDT|DDT
refseq_dna|NM_006465|NM_006465	hgnc_symbol|ARID3B|ARID3B
refseq_dna|NM_005224|NM_005224	hgnc_symbol|ARID3A|ARID3A
refseq_dna|NM_017895|NM_017895	hgnc_symbol|DDX27|DDX27
refseq_dna|NM_001356|NM_001356	hgnc_symbol|DDX3X|DDX3X
refseq_dna|NM_005804|NM_005804	hgnc_symbol|DDX39A|DDX39A
refseq_dna|NM_004396|NM_004396	hgnc_symbol|DDX5|DDX5
refseq_dna|NM_014922|NM_014922	hgnc_symbol|NLRP1|NLRP1
refseq_dna|NM_004938|NM_004938	hgnc_symbol|DAPK1|DAPK1
refseq_dna|NM_007021|NM_007021	hgnc_symbol|C10orf10|C10orf10
refseq_dna|NM_001920|NM_001920	hgnc_symbol|DCN|DCN
refseq_dna|NM_001344|NM_001344	hgnc_symbol|DAD1|DAD1
refseq_dna|NM_003676|NM_003676
refseq_dna|NM_001362|NM_001362	hgnc_symbol|DIO3|DIO3
refseq_dna|NM_007329|NM_007329	hgnc_symbol|DMBT1|DMBT1
refseq_dna|NM_006304|NM_006304	hgnc_symbol|SHFM1|SHFM1
refseq_dna|NM_016941|NM_016941	hgnc_symbol|DLL3|DLL3
refseq_dna|NM_004407|NM_004407	hgnc_symbol|DMP1|DMP1
refseq_dna|NM_006730|NM_006730	hgnc_symbol|DNASE1L1|DNASE1L1
refseq_dna|NM_001374|NM_001374	hgnc_symbol|DNASE1L2|DNASE1L2
refseq_dna|NM_012145|NM_012145	hgnc_symbol|DTYMK|DTYMK
refseq_dna|NM_001937|NM_001937	hgnc_symbol|DPT|DPT
refseq_dna|NM_001927|NM_001927	hgnc_symbol|DES|DES
refseq_dna|NM_004949|NM_004949	hgnc_symbol|DSC2|DSC2
refseq_dna|NM_001941|NM_001941	hgnc_symbol|DSC3|DSC3
refseq_dna|NM_001941|NM_001941	hgnc_symbol|DSC3|DSC3
refseq_dna|NM_001942|NM_001942	hgnc_symbol|DSG1|DSG1
refseq_dna|NM_004415|NM_004415	hgnc_symbol|DSP|DSP
refseq_dna|NM_006870|NM_006870	hgnc_symbol|DSTN|DSTN
refseq_dna|NM_003648|NM_003648	hgnc_symbol|DGKD|DGKD
refseq_dna|NM_001347|NM_001347	hgnc_symbol|DGKQ|DGKQ
refseq_dna|NM_006729|NM_006729	hgnc_symbol|DIAPH2|DIAPH2
refseq_dna|NM_020548|NM_020548	hgnc_symbol|DBI|DBI
refseq_dna|NM_013253|NM_013253	hgnc_symbol|DKK3|DKK3
refseq_dna|NM_022719|NM_022719	hgnc_symbol|DGCR14|DGCR14
refseq_dna|NM_000108|NM_000108	hgnc_symbol|DLD|DLD
refseq_dna|NM_001933|NM_001933	hgnc_symbol|DLST|DLST
refseq_dna|NM_001387|NM_001387	hgnc_symbol|DPYSL3|DPYSL3
refseq_dna|NM_006426|NM_006426	hgnc_symbol|DPYSL4|DPYSL4
refseq_dna|NM_013974|NM_013974	hgnc_symbol|DDAH2|DDAH2
refseq_dna|NM_018171|NM_018171	hgnc_symbol|APPL2|APPL2
refseq_dna|NM_001935|NM_001935	hgnc_symbol|DPP4|DPP4
refseq_dna|NM_001945|NM_001945	hgnc_symbol|HBEGF|HBEGF
refseq_dna|NM_004087|NM_004087	hgnc_symbol|DLG1|DLG1
refseq_dna|NM_001365|NM_001365	hgnc_symbol|DLG4|DLG4
refseq_dna|NM_022091|NM_022091
refseq_dna|NM_015590|NM_015590	hgnc_symbol|GPATCH4|GPATCH4
refseq_dna|NM_015601|NM_015601	hgnc_symbol|HERC4|HERC4
refseq_dna|NM_015544|NM_015544	hgnc_symbol|TMEM98|TMEM98
hgnc_symbol|TMEM186|TMEM186
refseq_dna|NM_014042|NM_014042	hgnc_symbol|ANAPC15|ANAPC15
hgnc_symbol|RSL1D1|RSL1D1
refseq_dna|NM_015407|NM_015407	hgnc_symbol|ABHD14A|ABHD14A
refseq_dna|NM_015652|NM_015652	hgnc_symbol|C10orf12|C10orf12
refseq_dna|NM_015485|NM_015485	hgnc_symbol|RWDD3|RWDD3
refseq_dna|NM_015533|NM_015533	hgnc_symbol|DAK|DAK
refseq_dna|NM_015433|NM_015433	hgnc_symbol|METTL21B|METTL21B

refseq_dna|NM_003683|NM_003683	hgnc_symbol|RRP1|RRP1
refseq_dna|NM_006014|NM_006014	hgnc_symbol|LAGE3|LAGE3
refseq_dna|NM_004699|NM_004699	hgnc_symbol|FAM50A|FAM50A
refseq_dna|NM_006316|NM_006316	hgnc_symbol|MYCNOS|MYCNOS
refseq_dna|NM_005147|NM_005147	hgnc_symbol|DNAJA3|DNAJA3
refseq_dna|NM_018602|NM_018602	hgnc_symbol|DNAJA4|DNAJA4
refseq_dna|NM_016306|NM_016306	hgnc_symbol|DNAJB11|DNAJB11
refseq_dna|NM_006736|NM_006736	hgnc_symbol|DNAJB2|DNAJB2
refseq_dna|NM_006736|NM_006736	hgnc_symbol|DNAJB2|DNAJB2
refseq_dna|NM_016356|NM_016356	hgnc_symbol|DCDC2|DCDC2
refseq_dna|NM_005822|NM_005822	hgnc_symbol|RCAN2|RCAN2
refseq_dna|NM_013441|NM_013441	hgnc_symbol|RCAN3|RCAN3
refseq_dna|NM_006442|NM_006442	hgnc_symbol|DRAP1|DRAP1
refseq_dna|NM_004417|NM_004417	hgnc_symbol|DUSP1|DUSP1
refseq_dna|NM_007207|NM_007207	hgnc_symbol|DUSP10|DUSP10
refseq_dna|NM_020185|NM_020185	hgnc_symbol|DUSP22|DUSP22
refseq_dna|NM_004090|NM_004090	hgnc_symbol|DUSP3|DUSP3
refseq_dna|NM_001946|NM_001946	hgnc_symbol|DUSP6|DUSP6
refseq_dna|NM_001395|NM_001395	hgnc_symbol|DUSP9|DUSP9
refseq_dna|NM_018234|NM_018234	hgnc_symbol|STEAP3|STEAP3
refseq_dna|NM_004082|NM_004082	hgnc_symbol|DCTN1|DCTN1
refseq_dna|NM_006400|NM_006400	hgnc_symbol|DCTN2|DCTN2
refseq_dna|NM_007234|NM_007234	hgnc_symbol|DCTN3|DCTN3
refseq_dna|NM_012144|NM_012144	hgnc_symbol|DNAI1|DNAI1
refseq_dna|NM_003494|NM_003494	hgnc_symbol|DYSF|DYSF
refseq_dna|NM_001363|NM_001363	hgnc_symbol|DKC1|DKC1
refseq_dna|NM_001390|NM_001390	hgnc_symbol|DTNA|DTNA
refseq_dna|NM_004393|NM_004393	hgnc_symbol|DAG1|DAG1
refseq_dna|NM_004409|NM_004409	hgnc_symbol|DMPK|DMPK
refseq_dna|NM_004023|NM_004023	hgnc_symbol|DMD|DMD
refseq_dna|NM_004023|NM_004023	hgnc_symbol|DMD|DMD
refseq_dna|NM_016565|NM_016565	hgnc_symbol|COA4|COA4
refseq_dna|NM_006874|NM_006874	hgnc_symbol|ELF2|ELF2
refseq_dna|NM_004433|NM_004433	hgnc_symbol|ELF3|ELF3
refseq_dna|NM_001421|NM_001421	hgnc_symbol|ELF4|ELF4
refseq_dna|NM_001964|NM_001964	hgnc_symbol|EGR1|EGR1
refseq_dna|NM_014210|NM_014210	hgnc_symbol|EVI2A|EVI2A
refseq_dna|NM_005665|NM_005665	hgnc_symbol|EVI5|EVI5
refseq_dna|NM_016581|NM_016581
refseq_dna|NM_022336|NM_022336	hgnc_symbol|EDAR|EDAR
refseq_dna|NM_021783|NM_021783	hgnc_symbol|EDA2R|EDA2R
refseq_dna|NM_001776|NM_001776	hgnc_symbol|ENTPD1|ENTPD1
refseq_dna|NM_004105|NM_004105	hgnc_symbol|EFEMP1|EFEMP1
refseq_dna|NM_014601|NM_014601	hgnc_symbol|EHD2|EHD2
refseq_dna|NM_001972|NM_001972	hgnc_symbol|ELANE|ELANE
refseq_dna|NM_000501|NM_000501	hgnc_symbol|ELN|ELN
refseq_dna|NM_000126|NM_000126	hgnc_symbol|ETFA|ETFA
refseq_dna|NM_001973|NM_001973	hgnc_symbol|ELK4|ELK4
refseq_dna|NM_014556|NM_014556	hgnc_symbol|EVC|EVC
refseq_dna|NM_012081|NM_012081	hgnc_symbol|ELL2|ELL2
refseq_dna|NM_013302|NM_013302	hgnc_symbol|EEF2K|EEF2K
refseq_dna|NM_000117|NM_000117	hgnc_symbol|EMD|EMD
refseq_dna|NM_006579|NM_006579	hgnc_symbol|EBP|EBP
refseq_dna|NM_006039|NM_006039	hgnc_symbol|MRC2|MRC2
refseq_dna|NM_000118|NM_000118	hgnc_symbol|ENG|ENG
refseq_dna|NM_004436|NM_004436	hgnc_symbol|ENSA|ENSA
refseq_dna|NM_001953|NM_001953	hgnc_symbol|TYMP|TYMP
refseq_dna|NM_003775|NM_003775	hgnc_symbol|S1PR4|S1PR4
refseq_dna|NM_001401|NM_001401	hgnc_symbol|BUD31|BUD31
refseq_dna|NM_004720|NM_004720	hgnc_symbol|LPAR2|LPAR2
refseq_dna|NM_012152|NM_012152	hgnc_symbol|LPAR3|LPAR3
refseq_dna|NM_001400|NM_001400	hgnc_symbol|HEXIM1|HEXIM1
hgnc_symbol|EDF1|EDF1
refseq_dna|NM_001430|NM_001430	hgnc_symbol|EPAS1|EPAS1
refseq_dna|NM_025205|NM_025205	hgnc_symbol|MED28|MED28
refseq_dna|NM_001955|NM_001955	hgnc_symbol|EDN1|EDN1
refseq_dna|NM_001956|NM_001956	hgnc_symbol|EDN2|EDN2
refseq_dna|NM_001397|NM_001397	hgnc_symbol|ECE1|ECE1
refseq_dna|NM_014693|NM_014693	hgnc_symbol|ECE2|ECE2
refseq_dna|NM_001957|NM_001957	hgnc_symbol|EDNRA|EDNRA
refseq_dna|NM_000115|NM_000115	hgnc_symbol|EDNRB|EDNRB
refseq_dna|NM_021178|NM_021178	hgnc_symbol|CCNB1IP1|CCNB1IP1
refseq_dna|NM_001428|NM_001428	hgnc_symbol|ENO1|ENO1
refseq_dna|NM_001975|NM_001975	hgnc_symbol|ENO2|ENO2
refseq_dna|NM_001976|NM_001976	hgnc_symbol|ENO3|ENO3
refseq_dna|NM_001398|NM_001398	hgnc_symbol|ECH1|ECH1
refseq_dna|NM_014666|NM_014666	hgnc_symbol|CLINT1|CLINT1
refseq_dna|NM_005233|NM_005233	hgnc_symbol|EPHA3|EPHA3
refseq_dna|NM_004438|NM_004438	hgnc_symbol|EPHA4|EPHA4
refseq_dna|NM_004440|NM_004440	hgnc_symbol|EPHA7|EPHA7
refseq_dna|NM_004441|NM_004441	hgnc_symbol|EPHB1|EPHB1
refseq_dna|NM_004444|NM_004444	hgnc_symbol|EPHB4|EPHB4
refseq_dna|NM_001405|NM_001405	hgnc_symbol|EFNA2|EFNA2
refseq_dna|NM_004093|NM_004093	hgnc_symbol|EFNB2|EFNB2
refseq_dna|NM_001963|NM_001963	hgnc_symbol|EGF|EGF
refseq_dna|NM_001424|NM_001424	hgnc_symbol|EMP2|EMP2
refseq_dna|NM_001425|NM_001425	hgnc_symbol|EMP3|EMP3
refseq_dna|NM_016357|NM_016357	hgnc_symbol|LIMA1|LIMA1
refseq_dna|NM_000120|NM_000120	hgnc_symbol|EPHX1|EPHX1
refseq_dna|NM_014584|NM_014584	hgnc_symbol|ERO1L|ERO1L
hgnc_symbol|ESD|ESD
refseq_dna|NM_016135|NM_016135	hgnc_symbol|ETV7|ETV7
refseq_dna|NM_006494|NM_006494	hgnc_symbol|ERF|ERF
refseq_dna|NM_024757|NM_024757
refseq_dna|NM_001402|NM_001402	hgnc_symbol|EEF1A1|EEF1A1
refseq_dna|NM_001958|NM_001958	hgnc_symbol|EEF1A2|EEF1A2
refseq_dna|NM_001959|NM_001959	hgnc_symbol|EEF1B2|EEF1B2
refseq_dna|NM_001404|NM_001404	hgnc_symbol|EEF1G|EEF1G
refseq_dna|NM_001961|NM_001961	hgnc_symbol|EEF2|EEF2
refseq_dna|NM_004094|NM_004094	hgnc_symbol|EIF2S1|EIF2S1
refseq_dna|NM_003750|NM_003750	hgnc_symbol|EIF3A|EIF3A
refseq_dna|NM_003753|NM_003753	hgnc_symbol|EIF3D|EIF3D
refseq_dna|NM_003752|NM_003752	hgnc_symbol|EIF3C|EIF3C
refseq_dna|NM_003751|NM_003751	hgnc_symbol|EIF3B|EIF3B
refseq_dna|NM_004953|NM_004953	hgnc_symbol|EIF4G1|EIF4G1
refseq_dna|NM_001418|NM_001418	hgnc_symbol|EIF4G2|EIF4G2
refseq_dna|NM_001968|NM_001968	hgnc_symbol|EIF4E|EIF4E
refseq_dna|NM_004095|NM_004095	hgnc_symbol|EIF4EBP1|EIF4EBP1
refseq_dna|NM_004846|NM_004846	hgnc_symbol|EIF4E2|EIF4E2
refseq_dna|NM_001969|NM_001969	hgnc_symbol|EIF5|EIF5
refseq_dna|NM_005243|NM_005243	hgnc_symbol|EWSR1|EWSR1
refseq_dna|NM_001983|NM_001983	hgnc_symbol|ERCC1|ERCC1
refseq_dna|NM_005236|NM_005236	hgnc_symbol|ERCC4|ERCC4
refseq_dna|NM_000127|NM_000127	hgnc_symbol|EXT1|EXT1
refseq_dna|NM_003400|NM_003400	hgnc_symbol|XPO1|XPO1
refseq_dna|NM_004425|NM_004425	hgnc_symbol|ECM1|ECM1
refseq_dna|NM_016946|NM_016946	hgnc_symbol|F11R|F11R
refseq_dna|NM_006683|NM_006683	hgnc_symbol|EDDM3A|EDDM3A
refseq_dna|NM_022360|NM_022360	hgnc_symbol|EDDM3B|EDDM3B
refseq_dna|NM_032036|NM_032036	hgnc_symbol|IFI27L2|IFI27L2
refseq_dna|NM_021806|NM_021806	hgnc_symbol|FAM3A|FAM3A
refseq_dna|NM_003902|NM_003902	hgnc_symbol|FUBP1|FUBP1
hgnc_symbol|FUBP3|FUBP3
refseq_dna|NM_004462|NM_004462	hgnc_symbol|FDFT1|FDFT1
refseq_dna|NM_012306|NM_012306	hgnc_symbol|FAIM2|FAIM2
refseq_dna|NM_006712|NM_006712	hgnc_symbol|FASTK|FASTK
refseq_dna|NM_005245|NM_005245	hgnc_symbol|CD36|CD36
refseq_dna|NM_004102|NM_004102	hgnc_symbol|FABP3|FABP3
refseq_dna|NM_001442|NM_001442	hgnc_symbol|FABP4|FABP4
refseq_dna|NM_004104|NM_004104	hgnc_symbol|FASN|FASN
refseq_dna|NM_021122|NM_021122	hgnc_symbol|ACSL1|ACSL1
refseq_dna|NM_012168|NM_012168	hgnc_symbol|FBXO2|FBXO2
refseq_dna|NM_012175|NM_012175	hgnc_symbol|FBXO3|FBXO3
refseq_dna|NM_004107|NM_004107	hgnc_symbol|FCGRT|FCGRT
refseq_dna|NM_013451|NM_013451	hgnc_symbol|MYOF|MYOF
refseq_dna|NM_025206|NM_025206	hgnc_symbol|FER1L4|FER1L4
refseq_dna|NM_004109|NM_004109	hgnc_symbol|FDX1|FDX1
refseq_dna|NM_002032|NM_002032	hgnc_symbol|FTH1|FTH1
refseq_dna|NM_000146|NM_000146	hgnc_symbol|FTL|FTL
refseq_dna|NM_000140|NM_000140	hgnc_symbol|FECH|FECH
refseq_dna|NM_033085|NM_033085	hgnc_symbol|FATE1|FATE1
refseq_dna|NM_000138|NM_000138	hgnc_symbol|FBN1|FBN1
refseq_dna|NM_004460|NM_004460	hgnc_symbol|FAP|FAP
refseq_dna|NM_004214|NM_004214	hgnc_symbol|FIBP|FIBP
refseq_dna|NM_000800|NM_000800	hgnc_symbol|FGF1|FGF1
refseq_dna|NM_004113|NM_004113	hgnc_symbol|FGF12|FGF12
refseq_dna|NM_002006|NM_002006	hgnc_symbol|FGF2|FGF2
refseq_dna|NM_005247|NM_005247	hgnc_symbol|FGF3|FGF3
refseq_dna|NM_004464|NM_004464	hgnc_symbol|FGF5|FGF5
refseq_dna|NM_020996|NM_020996	hgnc_symbol|FGF6|FGF6
refseq_dna|NM_000604|NM_000604	hgnc_symbol|FGFR1|FGFR1
refseq_dna|NM_000142|NM_000142	hgnc_symbol|FGFR3|FGFR3
refseq_dna|NM_002023|NM_002023	hgnc_symbol|FMOD|FMOD
refseq_dna|NM_002026|NM_002026	hgnc_symbol|FN1|FN1
refseq_dna|NM_002026|NM_002026	hgnc_symbol|FN1|FN1
refseq_dna|NM_001996|NM_001996	hgnc_symbol|FBLN1|FBLN1
refseq_dna|NM_001998|NM_001998	hgnc_symbol|FBLN2|FBLN2
refseq_dna|NM_006329|NM_006329	hgnc_symbol|FBLN5|FBLN5
refseq_dna|NM_002003|NM_002003	hgnc_symbol|FCN1|FCN1
refseq_dna|NM_001456|NM_001456	hgnc_symbol|FLNA|FLNA
refseq_dna|NM_001458|NM_001458	hgnc_symbol|FLNC|FLNC
refseq_dna|NM_001997|NM_001997	hgnc_symbol|FAU|FAU
refseq_dna|NM_016594|NM_016594	hgnc_symbol|FKBP11|FKBP11
refseq_dna|NM_004958|NM_004958	hgnc_symbol|MTOR|MTOR
refseq_dna|NM_000801|NM_000801	hgnc_symbol|FKBP1A|FKBP1A
refseq_dna|NM_004116|NM_004116	hgnc_symbol|FKBP1B|FKBP1B
refseq_dna|NM_002013|NM_002013	hgnc_symbol|FKBP3|FKBP3
refseq_dna|NM_002014|NM_002014	hgnc_symbol|FKBP4|FKBP4
refseq_dna|NM_004117|NM_004117	hgnc_symbol|FKBP5|FKBP5
refseq_dna|NM_012181|NM_012181	hgnc_symbol|FKBP8|FKBP8
refseq_dna|NM_032031|NM_032031	hgnc_symbol|NACAP1|NACAP1
refseq_dna|NM_006700|NM_006700	hgnc_symbol|TRAFD1|TRAFD1
refseq_dna|NM_005803|NM_005803	hgnc_symbol|FLOT1|FLOT1
refseq_dna|NM_002019|NM_002019	hgnc_symbol|FLT1|FLT1
refseq_dna|NM_004119|NM_004119	hgnc_symbol|FLT3|FLT3
refseq_dna|NM_020179|NM_020179	hgnc_symbol|C11orf75|C11orf75
refseq_dna|NM_000803|NM_000803	hgnc_symbol|FOLR2|FOLR2
refseq_dna|NM_006350|NM_006350	hgnc_symbol|FST|FST
refseq_dna|NM_007085|NM_007085	hgnc_symbol|FSTL1|FSTL1
refseq_dna|NM_005860|NM_005860	hgnc_symbol|FSTL3|FSTL3
refseq_dna|NM_001453|NM_001453	hgnc_symbol|FOXC1|FOXC1
refseq_dna|NM_012190|NM_012190	hgnc_symbol|ALDH1L1|ALDH1L1
refseq_dna|NM_005438|NM_005438	hgnc_symbol|FOSL1|FOSL1
refseq_dna|NM_001449|NM_001449	hgnc_symbol|FHL1|FHL1
refseq_dna|NM_001450|NM_001450	hgnc_symbol|FHL2|FHL2
refseq_dna|NM_004468|NM_004468	hgnc_symbol|FHL3|FHL3
refseq_dna|NM_005087|NM_005087	hgnc_symbol|FXR1|FXR1
refseq_dna|NM_004860|NM_004860	hgnc_symbol|FXR2|FXR2
refseq_dna|NM_014286|NM_014286	hgnc_symbol|NCS1|NCS1
refseq_dna|NM_000144|NM_000144	hgnc_symbol|FXN|FXN
refseq_dna|NM_003507|NM_003507	hgnc_symbol|FZD7|FZD7
refseq_dna|NM_001463|NM_001463	hgnc_symbol|FRZB|FRZB
refseq_dna|NM_012280|NM_012280	hgnc_symbol|FTSJ1|FTSJ1
refseq_dna|NM_017647|NM_017647	hgnc_symbol|FTSJ3|FTSJ3
refseq_dna|NM_000149|NM_000149	hgnc_symbol|FUT3|FUT3
refseq_dna|NM_024301|NM_024301	hgnc_symbol|FKRP|FKRP
refseq_dna|NM_018167|NM_018167	hgnc_symbol|BTBD7|BTBD7
refseq_dna|NM_005031|NM_005031	hgnc_symbol|FXYD1|FXYD1
refseq_dna|NM_001680|NM_001680	hgnc_symbol|FXYD2|FXYD2
refseq_dna|NM_003785|NM_003785	hgnc_symbol|PAGE1|PAGE1
refseq_dna|NM_020411|NM_020411	hgnc_symbol|XAGE1A|XAGE1A
refseq_dna|NM_004248|NM_004248	hgnc_symbol|PRLHR|PRLHR
refseq_dna|NM_014879|NM_014879	hgnc_symbol|P2RY14|P2RY14
refseq_dna|NM_015234|NM_015234	hgnc_symbol|GPR116|GPR116
refseq_dna|NM_005297|NM_005297	hgnc_symbol|MCHR1|MCHR1
refseq_dna|NM_005281|NM_005281	hgnc_symbol|GPR3|GPR3
refseq_dna|NM_005299|NM_005299	hgnc_symbol|GPR31|GPR31
refseq_dna|NM_001506|NM_001506	hgnc_symbol|GPR32|GPR32
refseq_dna|NM_005300|NM_005300	hgnc_symbol|GPR34|GPR34
refseq_dna|NM_001507|NM_001507	hgnc_symbol|MLNR|MLNR
refseq_dna|NM_001508|NM_001508	hgnc_symbol|GPR39|GPR39
refseq_dna|NM_003667|NM_003667	hgnc_symbol|LGR5|LGR5
refseq_dna|NM_004224|NM_004224	hgnc_symbol|GPR50|GPR50
refseq_dna|NM_005458|NM_005458	hgnc_symbol|GABBR2|GABBR2
refseq_dna|NM_032551|NM_032551	hgnc_symbol|KISS1R|KISS1R
refseq_dna|NM_016540|NM_016540	hgnc_symbol|GPR83|GPR83
refseq_dna|NM_020370|NM_020370	hgnc_symbol|GPR84|GPR84
refseq_dna|NM_018970|NM_018970	hgnc_symbol|GPR85|GPR85
refseq_dna|NM_023915|NM_023915	hgnc_symbol|GPR87|GPR87
refseq_dna|NM_020400|NM_020400	hgnc_symbol|LPAR5|LPAR5
refseq_dna|NM_002082|NM_002082	hgnc_symbol|GRK6|GRK6
refseq_dna|NM_016235|NM_016235	hgnc_symbol|GPRC5B|GPRC5B
refseq_dna|NM_022036|NM_022036	hgnc_symbol|GPRC5C|GPRC5C
refseq_dna|NM_018654|NM_018654	hgnc_symbol|GPRC5D|GPRC5D
refseq_dna|NM_002094|NM_002094	hgnc_symbol|GSPT1|GSPT1
refseq_dna|NM_002040|NM_002040	hgnc_symbol|GABPA|GABPA
refseq_dna|NM_007278|NM_007278	hgnc_symbol|GABARAP|GABARAP
refseq_dna|NM_000808|NM_000808	hgnc_symbol|GABRA3|GABRA3
refseq_dna|NM_004961|NM_004961	hgnc_symbol|GABRE|GABRE
refseq_dna|NM_002043|NM_002043	hgnc_symbol|GABRR2|GABRR2
refseq_dna|NM_018558|NM_018558	hgnc_symbol|GABRQ|GABRQ
refseq_dna|NM_000165|NM_000165	hgnc_symbol|GJA1|GJA1
refseq_dna|NM_030772|NM_030772	hgnc_symbol|GJA10|GJA10
refseq_dna|NM_021954|NM_021954	hgnc_symbol|GJA3|GJA3
refseq_dna|NM_002060|NM_002060	hgnc_symbol|GJA4|GJA4
refseq_dna|NM_005266|NM_005266	hgnc_symbol|GJA5|GJA5
refseq_dna|NM_005497|NM_005497	hgnc_symbol|GJC1|GJC1
refseq_dna|NM_005267|NM_005267	hgnc_symbol|GJA8|GJA8
refseq_dna|NM_004004|NM_004004	hgnc_symbol|GJB2|GJB2
refseq_dna|NM_024009|NM_024009	hgnc_symbol|GJB3|GJB3
refseq_dna|NM_005268|NM_005268	hgnc_symbol|GJB5|GJB5
refseq_dna|NM_006783|NM_006783	hgnc_symbol|GJB6|GJB6
refseq_dna|NM_002049|NM_002049	hgnc_symbol|GATA1|GATA1
refseq_dna|NM_002051|NM_002051	hgnc_symbol|GATA3|GATA3
refseq_dna|NM_002052|NM_002052	hgnc_symbol|GATA4|GATA4
refseq_dna|NM_005257|NM_005257	hgnc_symbol|GATA6|GATA6
hgnc_symbol|GCN1L1|GCN1L1
refseq_dna|NM_001487|NM_001487	hgnc_symbol|BLOC1S1|BLOC1S1
refseq_dna|NM_001496|NM_001496	hgnc_symbol|GFRA3|GFRA3
refseq_dna|NM_001493|NM_001493	hgnc_symbol|GDI1|GDI1
refseq_dna|NM_018389|NM_018389	hgnc_symbol|SLC35C1|SLC35C1
refseq_dna|NM_018401|NM_018401	hgnc_symbol|STK32B|STK32B
refseq_dna|NM_015859|NM_015859	hgnc_symbol|GTF2A1|GTF2A1
refseq_dna|NM_004128|NM_004128	hgnc_symbol|GTF2F2|GTF2F2
refseq_dna|NM_001520|NM_001520	hgnc_symbol|GTF3C1|GTF3C1
refseq_dna|NM_016362|NM_016362	hgnc_symbol|GHRL|GHRL
refseq_dna|NM_020194|NM_020194	hgnc_symbol|MFF|MFF
refseq_dna|NM_004124|NM_004124	hgnc_symbol|GMFB|GMFB
refseq_dna|NM_002055|NM_002055	hgnc_symbol|GFAP|GFAP
refseq_dna|NM_001483|NM_001483	hgnc_symbol|GBAS|GBAS
refseq_dna|NM_015710|NM_015710	hgnc_symbol|GLTSCR2|GLTSCR2
refseq_dna|NM_006582|NM_006582	hgnc_symbol|GMEB1|GMEB1
refseq_dna|NM_004491|NM_004491	hgnc_symbol|ARHGAP35|ARHGAP35
refseq_dna|NM_000175|NM_000175	hgnc_symbol|GPI|GPI
refseq_dna|NM_005313|NM_005313	hgnc_symbol|PDIA3|PDIA3
refseq_dna|NM_000402|NM_000402	hgnc_symbol|G6PD|G6PD
refseq_dna|NM_000152|NM_000152	hgnc_symbol|GAA|GAA
refseq_dna|NM_020973|NM_020973	hgnc_symbol|GBA3|GBA3
refseq_dna|NM_000181|NM_000181	hgnc_symbol|GUSB|GUSB
refseq_dna|NM_000839|NM_000839	hgnc_symbol|GRM2|GRM2
refseq_dna|NM_002065|NM_002065	hgnc_symbol|GLUL|GLUL
refseq_dna|NM_002079|NM_002079	hgnc_symbol|GOT1|GOT1
refseq_dna|NM_002080|NM_002080	hgnc_symbol|GOT2|GOT2
refseq_dna|NM_005309|NM_005309	hgnc_symbol|GPT|GPT
refseq_dna|NM_005110|NM_005110	hgnc_symbol|GFPT2|GFPT2
refseq_dna|NM_000581|NM_000581	hgnc_symbol|GPX1|GPX1
refseq_dna|NM_002083|NM_002083	hgnc_symbol|GPX2|GPX2
refseq_dna|NM_002084|NM_002084	hgnc_symbol|GPX3|GPX3
refseq_dna|NM_002085|NM_002085	hgnc_symbol|GPX4|GPX4
refseq_dna|NM_001509|NM_001509	hgnc_symbol|GPX5|GPX5
refseq_dna|NM_001509|NM_001509	hgnc_symbol|GPX5|GPX5
refseq_dna|NM_001509|NM_001509	hgnc_symbol|GPX5|GPX5
refseq_dna|NM_000849|NM_000849	hgnc_symbol|GSTM3|GSTM3
refseq_dna|NM_000852|NM_000852	hgnc_symbol|GSTP1|GSTP1
refseq_dna|NM_015917|NM_015917
refseq_dna|NM_004832|NM_004832
