probe set	Gene	Gene	Accession	EntrezGene	CEF NY72-4P/CEF NY72-4NP	t statistic	P value
GgaAffx.25534.1.S1_s_at	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	ENSGALT00000004033.1	396340	-1.91	-16.479	0.00351
GgaAffx.24145.1.S1_at	SLC39A6	solute carrier family 39 (zinc transporter), member 6	ENSGALT00000021578.1	420984	1.35	5.115	0.008648
GgaAffx.1539.1.S1_at	LOC428221	similar to FLJ00201 protein	ENSGALT00000003614.1	428221	-1.13	-7.99	0.001885
GgaAffx.26494.1.S1_at	LOC429082	similar to Ferric-chelate reductase 1	ENSGALT00000008702.1	429082	-1.15	-9.807	0.003628
GgaAffx.3526.1.S1_at	LOC416005	hypothetical LOC416005	ENSGALT00000009018.1	416005	1.04	10.124	0.008292
GgaAffx.22987.1.S1_at	THBS1	thrombospondin 1	ENSGALT00000015678.1	373987	-1.45	-4.853	0.031805
GgaAffx.8513.1.S1_s_at	RCJMB04_18d18	nicalin homolog (zebrafish)	ENSGALT00000021813.1	426048	1.06	6.241	0.018575
GgaAffx.22446.1.S1_at	LOC417705	similar to HMG box containing protein 1	ENSGALT00000013062.1	417705	-1.11	-9.036	0.009845
GgaAffx.7265.1.S1_at	LOC417920	similar to PCTAIRE protein kinase 2	ENSGALT00000018679.1	417920	1.5	6.933	0.006719
GgaAffx.2464.1.S1_at	LOC422975	similar to Protein arginine methyltransferase 3	ENSGALT00000006309.1	422975	1.08	6.419	0.022909
GgaAffx.22824.1.S1_s_at	OSBPL6	oxysterol binding protein-like 6	ENSGALT00000014939.1	424130	-1.03	-21.999	0.000052
GgaAffx.8604.1.S1_at	UTP15	UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae)	ENSGALT00000022002.1	426152	1.17	6.567	0.020989
GgaAffx.24567.1.S1_at	LOC421074	similar to sudD suppressor of bimD6 homolog	ENSGALT00000024197.1	421074	1.24	10.094	0.001539
GgaAffx.8293.2.S1_s_at	RCJMB04_4l11	NOL1/NOP2/Sun domain family, member 2	ENSGALT00000021326.1	420938	1.24	24.557	0.000588
GgaAffx.9018.1.S1_at	NUP50	nucleoporin 50kDa	ENSGALT00000022998.1	418240	1.12	12.341	0.002406
GgaAffx.6598.1.S1_at	LOC425049	similar to Tubulin alpha-3/alpha-7 chain (Alpha-tubulin 3/7) (Alpha-tubulin isotype M-alpha-3/7)	ENSGALT00000016997.1	425049	1.08	7.577	0.010074
GgaAffx.24312.1.S1_at	LOC421692	similar to phosphodiesterase 7B	ENSGALT00000022595.1	421692	1.71	3.869	0.018841
GgaAffx.24941.1.S1_at	LOC421906	similar to F-box protein 25	ENSGALT00000026390.1	421906	-1.18	-15.363	0.000193
GgaAffx.9525.1.S1_at	LOC422846	similar to MGC80689 protein	ENSGALT00000024190.1	422846	1.35	12.172	0.000278
GgaAffx.7229.3.S1_s_at	METAP2	methionyl aminopeptidase 2	ENSGALT00000018559.1	417912	1.04	7.064	0.017261
GgaAffx.26383.1.S1_at	LOC415969	similar to Cat eye syndrome chromosome region, candidate 5 homolog (human)	ENSGALT00000008037.1	415969	1.26	9.644	0.000716
GgaAffx.8325.1.S1_at	LOC768697	similar to gag protein	ENSGALT00000021394.1	768697	-1.09	-6.692	0.003366
Gga.10034.2.S1_a_at	LOC420896	Similar to plasminogen activator inhibitor	BU419559	420896	1.33	7.614	0.002697
Gga.10034.2.S1_s_at	LOC420896	similar to plasminogen activator inhibitor	BU419559	420896	1.24	10.635	0.000535
GgaAffx.10088.1.S1_at	LOC421839	similar to putative serine protease 35	ENSGALT00000025551.1	421839	-2.04	-10.344	0.000494
GgaAffx.10088.2.A1_s_at	LOC421839	similar to putative serine protease 35	ENSGALT00000025552.1	421839	-1.8	-11.226	0.000432
GgaAffx.23422.1.S1_at	LOC418551 /// LOC777099	similar to PWP2H protein	ENSGALT00000017918.1	418551 /// 777099	1.23	3.907	0.021007
GgaAffx.26498.1.S1_s_at	LOC428948	similar to Pdlim1 protein	ENSGALT00000008709.1	428948	-1.05	-10.932	0.00045
GgaAffx.8765.2.S1_at			ENSGALT00000022352.1		1.65	3.695	0.023664
GgaAffx.5477.1.S1_at	RCJMB04_3p9	TraB domain containing	ENSGALT00000014167.1	417746	1.25	17.833	0.001295
GgaAffx.4585.1.S1_at	LOC422293	hypothetical LOC422293	ENSGALT00000011896.1	422293	-1.17	-5.052	0.034519
GgaAffx.9822.2.S1_s_at	RCJMB04_37k12	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	ENSGALT00000024866.1	421788	1.05	8.816	0.003947
GgaAffx.24297.1.S1_at	PTPN2	protein tyrosine phosphatase, non-receptor type 2	ENSGALT00000022489.1	396409	1	17.108	0.003114
GgaAffx.10866.1.S1_s_at	RCJMB04_14h18	nuclear fragile X mental retardation protein interacting protein 1	ENSGALT00000027424.1	418841	1.2	7.137	0.014307
GgaAffx.3632.1.S1_at	LOC424843	similar to Human Diff6,H5,CDC10 homologue	ENSGALT00000009329.1	424843	1.14	13.323	0.000191
GgaAffx.8298.1.S1_at	UPP1	uridine phosphorylase 1	ENSGALT00000021347.1	420942	2.39	30.253	0.000023
GgaAffx.6309.1.S1_at	LOC423321	hypothetical LOC423321	ENSGALT00000016301.1	423321	1.02	7.841	0.007585
GgaAffx.9368.2.S1_s_at	LOC427160	similar to ADAM metallopeptidase with thrombospondin type 1 motif, 6 preproprotein	ENSGALT00000023785.1	427160	-1.08	-4.489	0.013336
GgaAffx.9643.1.S1_at	PCSK5	proprotein convertase subtilisin/kexin type 5	ENSGALT00000024469.1	395456	-1.25	-3.529	0.024326
GgaAffx.23017.1.S1_at			ENSGALT00000015781.1		-1.2	-13.779	0.003038
GgaAffx.23147.1.S1_at	RCJMB04_1f1	solute carrier family 20 (phosphate transporter), member 2	ENSGALT00000016519.1	422493	1.12	8.917	0.001139
GgaAffx.26358.1.S1_at	LOC416511	similar to ATP synthase mitochondrial F1 complex assembly factor 2	ENSGALT00000007880.1	416511	1.21	6.311	0.01797
GgaAffx.1064.1.S1_s_at	ATG16L1	ATG16 autophagy related 16-like 1 (S. cerevisiae)	ENSGALT00000002471.1	424746	-1.07	-5.427	0.009509
GgaAffx.23423.2.S1_s_at	KCNJ5	potassium inwardly-rectifying channel, subfamily J, member 5	ENSGALT00000001792.1	395925	1.31	12.909	0.002967
GgaAffx.25624.1.S1_at	LOC771549	hypothetical protein LOC771549	ENSGALT00000004394.1	771549	1.23	4.261	0.019324
GgaAffx.8661.1.S1_at	LOC422726	similar to FSHD region gene 1	ENSGALT00000022114.1	422726	1	15.398	0.0005
GgaAffx.21900.1.S1_s_at	LOC770551	similar to pol	ENSGALT00000010180.1	770551	-1.43	-3.779	0.031642
GgaAffx.3860.1.S1_at	LOC770787	similar to Four and a half LIM domains a	ENSGALT00000009988.1	770787	-1.74	-8.315	0.005227
GgaAffx.9643.2.S1_at	PCSK5	proprotein convertase subtilisin/kexin type 5	ENSGALT00000024470.1	395456	-1.26	-3.632	0.023837
GgaAffx.23826.7.S1_s_at	RCJMB04_18a15	PDZ and LIM domain 5	ENSGALT00000019939.1	422699	-1.08	-7.987	0.014022
GgaAffx.2542.1.S1_at	LOC419188	hypothetical LOC419188	ENSGALT00000006537.1	419188	1.29	17.069	0.000828
GgaAffx.23371.1.S1_at	LOC422580	hypothetical LOC422580	ENSGALT00000017703.1	422580	1.03	12.174	0.005282
GgaAffx.11053.2.S1_s_at	SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	ENSGALT00000027843.1	419007	1.14	20.862	0.000514
GgaAffx.9866.1.S1_at			ENSGALT00000024991.1		-1.13	-23.227	0.000122
GgaAffx.8765.3.S1_s_at	LOC426962	hypothetical LOC426962	ENSGALT00000004373.1	426962	1.75	7.569	0.002676
GgaAffx.22988.1.S1_at			ENSGALT00000015689.1		-1.11	-5.242	0.027451
GgaAffx.23391.1.S1_at	LOC417878	similar to LOC495195 protein	ENSGALT00000017838.1	417878	1.26	11.96	0.00049
GgaAffx.2089.1.S1_at	LOC416228	hypothetical LOC416228	ENSGALT00000005307.1	416228	1.33	4.168	0.037744
GgaAffx.25281.1.S1_at	LOC768624	similar to Ttc9 protein	ENSGALT00000028355.1	768624	1.16	5.894	0.026198
GgaAffx.24385.3.S1_s_at	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	ENSGALT00000023066.1	422781	1.08	8.382	0.010183
GgaAffx.10598.1.S1_s_at	RCJMB04_5k4	selenoprotein I	ENSGALT00000026726.1	428661	1.07	6.491	0.003698
GgaAffx.24036.1.S1_at	LOC772003	similar to HWKM1940	ENSGALT00000021035.1	772003	-1.51	-6.703	0.018869
GgaAffx.3860.2.S1_s_at	LOC770787	similar to Four and a half LIM domains a	ENSGALT00000009987.1	770787	-1.07	-14.558	0.000508
GgaAffx.934.1.S1_at	LOC417491	similar to Mybbp1a protein	ENSGALT00000002128.1	417491	1.2	12.392	0.005203
GgaAffx.8024.1.S1_at	LOC771624	hypothetical protein LOC771624	ENSGALT00000020673.1	771624	-2.38	-9.893	0.001217
GgaAffx.9641.1.S1_at	PCSK5	proprotein convertase subtilisin/kexin type 5	ENSGALT00000024468.1	395456	-1.18	-2.931	0.044651
GgaAffx.5746.1.S1_at	PNO1	partner of NOB1 homolog (S. cerevisiae)	ENSGALT00000014804.1	769547	1.05	5.284	0.024578
GgaAffx.6884.1.S1_at	LOC422580	hypothetical LOC422580	ENSGALT00000017704.1	422580	1.09	7.885	0.00177
GgaAffx.9262.1.S1_at	MT3	metallothionein 3	ENSGALT00000023565.1	770592	1.86	5.339	0.029122
GgaAffx.26115.1.A1_at	LOC424026	hypothetical gene supported by CR387553	ENSGALT00000006578.1	424026	1.34	9.286	0.003327
GgaAffx.2974.1.S1_at	LOC427499	hypothetical LOC427499	ENSGALT00000007643.1	427499	-1.1	-5.489	0.006142
GgaAffx.23188.1.A1_s_at	LOC770430	similar to nucleoplasmin-3	ENSGALT00000016741.1	770430	1.36	8.684	0.001457
GgaAffx.845.1.S1_s_at	MAP2K2	mitogen-activated protein kinase kinase 2	ENSGALT00000001935.1	396349	1.09	4.707	0.023058
Gga.11456.1.S1_at	LOC418268	similar to PLCPI=cysteine proteinase inhibitor	CK611983	418268	1.09	10.276	0.004213
Gga.5962.1.S1_at			BU411659		-2.76	-12.942	0.002866
Gga.8283.1.S1_at	LOC419314	similar to Aminopeptidase-like 1	BU321026	419314	1.02	7.321	0.009652
Gga.2089.1.S1_at	LOC418292	similar to Probable ribosome biogenesis protein NEP1 (Nucleolar protein EMG1 homolog) (Protein C2f)	BU214190	418292	1.06	4.022	0.044831
Gga.7936.1.S1_at	WWC3	WWC family member 3	BX279196	418649	1.04	4.675	0.04018
Gga.8190.1.S1_at	LOC421544	similar to digestive tract-specific calpain; calcium-dependent cysteine proteinase	BU303118	421544	1.09	3.214	0.043693
Gga.5919.1.S1_at	CYCS	cytochrome c, somatic	BU408782	420624	1.09	4.828	0.035844
Gga.6355.1.S1_at			BU425277		1.05	10.952	0.004833
Gga.5928.1.S1_at	LOC426411	similar to Loxl1 protein	BU134449	426411	-1.03	-4.035	0.03181
Gga.5420.1.S1_at	AP1M1	adaptor-related protein complex 1, mu 1 subunit	BX268762	420149	1.03	5.652	0.023045
Gga.8277.1.S1_at			BX259588		1.08	14.661	0.000132
Gga.4870.3.S1_a_at	LOC423298	alpha-cardiac actin	BU143248	423298	-1.73	-4.858	0.038302
Gga.5576.2.S1_at	LOC417946 /// LOC417950	germinal histone H4 gene /// similar to germinal histone H4 gene	BU215776	417946 /// 417950	1.26	3.538	0.025512
Gga.8920.1.S1_at		Transcribed locus, weakly similar to XP_001067709.1  similar to Probable ATP-dependent RNA helicase DDX4 (DEAD box protein 4) (VASA homolog) (rVLG) [Rattus norvegicus]	BU112303	0	1.81	39.291	0.000056
Gga.8078.1.S1_at	LOC418737	similar to growth arrest-specific 6	BU284452	418737	-2.6	-5.477	0.007222
Gga.6003.1.S1_a_at	LOC419019	similar to LOC495390 protein	BU284072	419019	-1	-7.418	0.01332
Gga.5890.1.S1_at	RCJMB04_6k8	WD repeat domain 77	BU252709	419865	1.08	5.542	0.02546
Gga.7903.2.S1_a_at	LOC419561	similar to CTP synthase	BU445428	419561	1.01	8.948	0.003037
Gga.7316.1.S1_at		Transcribed locus, strongly similar to XP_425758.1  similar to tumor endothelial marker 8 isoform 1 precursor; tumor endothelial marker 8; 2310008J16Rik; 2810405N18Rik [Gallus gallus]	BU251739	0	-2.51	-12.102	0.000433
Gga.5787.1.S1_at		Transcribed locus	BU104016	0	-1.44	-12.683	0.000231
Gga.9414.1.S1_at			CD736436		-1.34	-3.199	0.032947
Gga.9317.1.S1_at		Transcribed locus	BX262888	0	-1	-24.739	0.00044
Gga.1334.1.S1_at		Transcribed locus	AJ454974	0	1.15	4.564	0.026402
Gga.16662.1.S1_at			BU278810		-1.32	-3.807	0.020347
Gga.9233.1.S1_at	GHR	Growth hormone receptor	BU231940	408184	-1.02	-5.521	0.005646
Gga.12642.1.S1_at	LOC424434	hypothetical LOC424434	BU464416	424434	1.6	23.451	0.000743
Gga.3116.1.S1_at	RCJMB04_3p9	TraB domain containing	AL585226	417746	1.01	5.819	0.015714
Gga.16627.1.S1_at	LOC419930	hypothetical LOC419930	CN236982	419930	1.33	12.969	0.003517
Gga.5933.1.S1_at		Transcribed locus	BU413402	0	-1.01	-16.017	0.000131
Gga.5158.1.S1_at	LOC423976	similar to pyrroline-5-carboxylate synthase	AJ395136	423976	-1.23	-9.1	0.001119
Gga.9052.1.S1_at	LOC768655	similar to pim-3 protein	BU457184	768655	-1.41	-13.231	0.004886
Gga.9045.1.S1_at	AHCTF1	AT hook containing transcription factor 1	BU402886	421484	1.66	20.297	0.000166
Gga.8904.1.S1_at		Transcribed locus	BU483719	0	-1.87	-39.032	0.000205
Gga.3007.1.S1_at			BU392642		-1.15	-5.909	0.018654
Gga.1694.1.S1_at	LOC768624	similar to Ttc9 protein	BU445157	768624	1.07	4.561	0.031105
Gga.2330.1.S1_at	LOC415822	similar to conserved hypothetical protein	BU304608	415822	-1.42	-5.516	0.015447
Gga.3743.1.S1_at	LOC420798	similar to HPV16 E1 protein binding protein	BQ484200	420798	1.01	6.633	0.008368
Gga.10034.1.S1_at	LOC420896	similar to plasminogen activator inhibitor	CK607980	420896	1.31	8.364	0.012037
Gga.16710.2.S1_a_at	LOC419422	hypothetical LOC419422	CN237192	419422	-1.53	-9.603	0.000706
Gga.3931.1.S1_at	LOC420120	similar to cartilage oligomeric matrix protein	BU419509	420120	-1.83	-5.048	0.029345
Gga.5221.2.S1_at	LOC430616	similar to nucleoporin 98kD	BU381590	430616	1	16.083	0.000119
Gga.3525.1.S1_at		Transcribed locus	BU482729	0	-1.72	-19.124	0.000321
Gga.9903.1.S1_at		Transcribed locus	BU207407	0	-1.36	-6.029	0.014447
Gga.4514.3.S1_s_at	RCJMB04_2p9	ribonucleotide reductase M1 polypeptide	BU250526	419081	1.19	11.232	0.007207
Gga.5316.1.S1_at	LOC423599	similar to Leucine rich repeat and fibronectin type III domain containing 5	BU389426	423599	1.43	6.735	0.005277
Gga.2067.1.S1_at	RCJMB04_9a7	kinesin heavy chain member 2A	BU306395	427156	1.3	27.035	0.001006
Gga.1582.1.A1_at		Transcribed locus	CF250932	0	1.01	6.979	0.010927
Gga.1430.1.A1_x_at		Transcribed locus	BF724067	0	-1.02	-4.254	0.014662
Gga.7042.3.A1_a_at			BX272700		1.03	9.512	0.001434
