Gene name	Description	Entrez Gene ID	ANOVA p-value	Mma20  fold change	Mma20 p-value	E11     fold change	E11       p-value
wu:fi28h02	Wu:fi28h02	334056	0.00005	1.28	0.00002	1.76	9.49E-40
wu:fi35b07	Wu:fi35b07	334187	0.00242	1.45	2.24E-17	2	7.17E-11
wu:fi35d01	Wu:fi35d01	334193	0.00006	1.14	0.08375	1.76	2.97E-21
wu:fi40d09	Wu:fi40d09	334321	0.00385	1.17	0.05566	1.91	0.00001
wu:fi49f09	Wu:fi49f09	550117	3.97E-06	-1.05	0.56246	1.78	7.66E-11
wu:fi49h11	Wu:fi49h11	334418	0.00091	1.05	0.70368	1.86	1.41E-11
wu:fj05a02	Wu:fj05a02	335348	0.00137	-1.13	0.49715	1.5	1.67E-12
wu:fj20b03	Wu:fj20b03	335535	5.07E-15	-2.22	8.06E-06	3.75	3.84E-24
wu:fj20e02	Wu:fj20e02	335538	0.00086	1.23	0.0211	1.7	1.61E-29
wu:fj21a02	Wu:fj21a02	335546	0.00902	1.25	0.01075	1.62	1.27E-21
wu:fj29e05	Wu:fj29e05	335613	0.00057	1.17	0.12255	2.29	1.33E-07
wu:fj33h12	Wu:fj33h12	559877	2.61E-06	-1.21	0.20996	1.65	8.20E-20
wu:fj35d09	Wu:fj35d09	335868	4.10E-08	-1.25	0.11982	2.86	1.40E-14
wu:fj40e01	Wu:fj40e01	335967	1.51E-10	-1.01	0.95776	6.88	2.29E-34
wu:fj46f04	Transcribed locus	336067	0.00925	1.31	8.54E-11	1.63	3.32E-12
wu:fj49b05	Wu:fj49b05	336115	0.00003	-1.2	0.09728	1.64	1.38E-07
wu:fj52d04	Wu:fj52d04	724016	0.00305	1.05	0.64239	1.95	0.00002
wu:fj55b09	Wu:fj55b09	336195	0.0022	-1.83	2.10E-14	1.61	0.2613
wu:fj59e12	Wu:fj59e12	336254	0.00199	1.08	0.7118	2.2	1.54E-14
wu:fj59h10	Wu:fj59h10	336261	5.07E-15	-2.25	6.27E-10	2.13	3.62E-31
wu:fj65c10	Wu:fj65c10	337373	1.76E-06	-1.6	0.00356	2.42	3.51E-06
wu:fj66g07	Wu:fj66g07	337413	0.00937	-1.43	0.2972	1.56	0.00003
wu:fj67b12	Wu:fj67b12	337429	0.00038	-2.16	0.07765	1.94	3.28E-06
wu:fj68b04	Wu:fj68b04	337454	0.00509	-1.51	0.26544	1.75	0.00002
wu:fj77h11	Wu:fj77h11	337482	1.90E-06	-1.3	0.09194	1.62	5.83E-15
wu:fj84d07	Wu:fj84d07	337573	0.00005	1.26	0.03379	2.26	5.28E-25
wu:fj85b02	Wu:fj85b02	337585	4.58E-06	1.09	0.21511	2.27	1.46E-07
wu:fj87a11	Wu:fj87a11	337614	0.00311	1.12	0.46478	1.73	4.56E-18
wu:fk14g09	Wu:fk14g09	337301	5.35E-07	-1.4	0.0033	1.87	2.18E-07
wu:fk30h03	Wu:fk30h03	336935	0.00001	-1.89	0.03212	1.61	7.83E-14
wu:fk55d01	Wu:fk55d01	335679	0.00055	1.2	0.08246	2.36	1.62E-08
wu:fk56e01	Wu:fk56e01	335690	2.45E-11	-1.94	6.36E-40	2.41	0.00051
wu:fk57g06	Wu:fk57g06	335699	1.34E-08	-1.64	2.02E-09	3.15	0.00026
wu:fk63e10	Wu:fk63e10	335737	3.81E-13	-1.38	0.01003	2.62	1.71E-29
wu:fk65b04	Wu:fk65b04	335075	1.48E-09	1.42	4.60E-11	2.17	0
wu:fk71h11	Wu:fk71h11	335123	8.60E-10	-1.68	0.00001	2.16	5.59E-09
wu:fl02d04	Wu:fl02d04	335264	8.31E-08	-2.03	0.03291	2.86	4.60E-18
wu:fl04e06	Wu:fl04e06	368391	0.00176	1.06	0.76372	2.61	1.67E-08
wu:fl53h07	Wu:fl53h07	386820	7.31E-12	-2.13	9.33E-06	2.06	2.01E-13
wu:fr83c08	Wu:fr83c08	550259	0.00038	-1.18	0.41117	1.74	5.75E-11
xpo6	Exportin 6	333980	0.00003	1.42	6.10E-41	1.84	4.88E-25
ypel3	Yippee-like 3	368214	5.53E-06	1.2	2.56E-06	1.57	4.96E-36
ythdf1	YTH domain family, member 1	327606	0.00003	-1.1	0.44134	1.66	7.75E-13
ywhae2	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide 2	503763	0.00007	1.13	0.03099	1.54	7.63E-24
zbtb1	Zinc finger and BTB domain containing 1	407718	0.0001	-1.15	0.25231	1.69	3.30E-08
zgc:100799	Zgc:100799	437005	0.00075	-1	1	2.49	1.42E-12
zgc:100825	Zgc:100825	405831	0.000007714	-1.69	1.23E-21	1.75	0.04895
zgc:100832	Zgc:100832	445148	0.00006	-1.05	0.44063	1.53	7.53E-06
zgc:100844	Zgc:100844	437024	0.00358	1.34	0.00519	2.12	3.17E-15
zgc:100999	Zgc:100999	445209	8.00E-10	-2.17	5.60E-19	2.05	0.00283
zgc:101574	Zgc:101574	450084	0.00183	1.49	1.58E-10	1.95	1.59E-40
zgc:101577	Zgc:101577	541415	0.00074	1.43	3.01E-14	1.94	8.84E-22
zgc:101677	Zgc:101677	407720	0.00017	1.05	0.59412	1.97	3.87E-07
zgc:101717	Zgc:101717	450046	7.33E-10	-1.13	0.16789	1.83	9.26E-25
zgc:101855	Zgc:101855	494048	0.00694	1.12	0.30148	1.71	1.46E-09
zgc:103754	Zgc:103754	449989	7.81E-11	-1.22	0.00005	1.72	4.31E-08
zgc:109995	Zgc:109995	553568	0.00405	-1.01	0.96085	1.74	0.00003
zgc:110079	Zgc:110079	560764	0.00837	-1	1	2.01	1.94E-08
zgc:110114	Zgc:110114	321937	8.05E-10	-1.27	0.00011	1.64	4.22E-09
zgc:110188	Zgc:110188	550529	0.00019	1.12	0.28029	2.46	2.11E-06
zgc:110194	Zgc:110194	553594	0.00369	1.04	0.87141	1.85	2.77E-16
zgc:110224	Zgc:110224	550335	5.61E-07	-1.31	0.00416	1.57	5.22E-08
zgc:110406	Zgc:110406	553617	0.0003	-1.01	0.93303	2.18	3.97E-09
zgc:110552	Zgc:110552	550227	5.07E-15	-3.91	2.40E-19	2.47	0
zgc:110614	Zgc:110614	553638	2.28E-07	-1.79	2.27E-07	1.51	0.00072
zgc:110620	Zgc:110620	541419	0.00001	-2.7	0.00003	1.85	0.00514
zgc:110631	Zgc:110631	566018	0.00564	1.07	0.5154	1.86	0.00002
zgc:111971	Zgc:111971	553662	6.98E-10	-1.58	0.03598	3.3	6.62E-22
zgc:112148	Zgc:112148	550424	0.00004	-1.1	0.7669	3.68	8.70E-18
zgc:112342	Zgc:112342	570456	0.001	-1.31	0.22454	1.5	5.02E-08
zgc:112407	Zgc:112407	553728	1.45E-09	-1.66	3.15E-07	2.09	4.87E-06
zgc:112450	Zgc:112450	553729	0.00004	1.14	0.05244	1.98	1.13E-10
zgc:112945	Zgc:112945	541505	4.56E-06	-1.19	0.32473	1.87	3.88E-21
zgc:113293	Zgc:113293	550593	1.31E-12	-2.41	0.00126	2.97	3.51E-33
zgc:113312	Zgc:113312	619245	0.00111	1.32	0.00002	2.09	7.87E-09
zgc:114115	Zgc:114115	334190	1.26E-06	1.22	0.00123	2.57	8.25E-10
zgc:123078	Zgc:123078	641579	0.00042	-1.29	0.65156	4.46	4.51E-24
zgc:136548	Zgc:136548	692289	2.24E-07	-1.98	0.00237	1.63	3.06E-08
zgc:152900	Zgc:152900	768170	4.74E-07	1.2	0.00052	1.93	6.59E-24
zgc:152921	Zgc:152921	560688	0.00076	1.22	0.00121	1.72	8.93E-17
zgc:153035	Zgc:153035	768192	0.00003	-1.14	0.29179	1.52	1.69E-12
zgc:153086	Zgc:153086	564277	0.00029	-1.06	0.64371	1.57	3.02E-11
zgc:153258	Zgc:153258	767638	0.00075	-1.29	0.24412	1.51	9.39E-10
zgc:153288	Zgc:153288	768178	0.00732	1.02	0.90645	1.88	1.12E-06
zgc:153446	Zgc:153446	563346	0.00014	1.1	0.1294	1.78	1.27E-07
zgc:153646	Zgc:153646	567272	0.00316	1.38	0.0001	2.04	8.30E-18
zgc:153647	Zgc:153647	768288	1.75E-09	-3.58	0.00013	3.53	4.15E-10
zgc:153699	Zgc:153699	559897	0.00004	1.3	0.00007	2.27	2.67E-12
zgc:153732	Zgc:153732	767681	0.00002	-1.12	0.8259	6.89	5.21E-29
zgc:153958	Zgc:153958	571036	0.00606	1.14	0.07234	1.55	1.32E-09
zgc:154077	Zgc:154077	777745	2.03E-08	-1.13	0.22853	1.84	1.07E-20
zgc:158259	Zgc:158259	568558	0.00198	-1.47	0.374	2.32	1.68E-09
zgc:158270	Zgc:158270	791213	3.79E-11	-1.47	1.10E-08	1.65	1.08E-07
zgc:158349	Zgc:158349	568213	0.00067	1.1	0.50586	1.82	1.57E-21
zgc:158367	Zgc:158367	571403	2.04E-08	1.42	5.01E-12	2.47	1.86E-34
zgc:158430	Zgc:158430	560102	0.00024	-1.03	0.74585	1.51	5.90E-12
zgc:158448	Zgc:158448	790936	5.81E-08	-1.07	0.42873	1.69	7.50E-23
zgc:158664	Zgc:158664	570392	9.33E-11	-4.54	0.00014	2.22	9.04E-29
zgc:158780	Zgc:158780	503773	0.0005	1.38	0.00219	2.06	5.11E-40
zgc:158869	Zgc:158869	791191	6.15E-06	-2.25	0.00106	2.48	0.00005
zgc:162300	Zgc:162300	336021	0.00925	1.18	0.06612	1.58	2.47E-15
zgc:162959	Zgc:162959	553538	0.00008	1.15	0.00088	1.55	1.09E-15
zgc:163067	Zgc:163067	100037391	0.00399	-1	1	1.95	1.02E-13
zgc:55549	Zgc:55549	393301	0.00009	1.33	0.02624	2.59	3.32E-24
zgc:55582	Zgc:55582	334460	0.00455	1.09	0.36921	1.74	1.23E-07
zgc:56066	Zgc:56066	393282	0.0008	-1.51	0.25446	2.1	1.85E-08
zgc:56072	Zgc:56072	393159	0.00024	1.19	0.00344	1.73	3.76E-15
zgc:56122	Zgc:56122	393218	0.00038	1.03	0.79723	1.76	1.84E-13
zgc:56141	Zgc:56141	406277	0.0013	1.01	0.95441	1.56	2.89E-10
zgc:56219	Zgc:56219	406260	0.00024	1.5	0.00012	2.22	0
zgc:56699	Zgc:56699	405758	0.00029	-2.29	9.73E-07	1.92	0.11194
zgc:63546	Zgc:63546	790959	0.00023	1.02	0.82693	1.64	7.46E-12
zgc:63676	Zgc:63676	393453	0.00022	-1.12	0.4081	1.57	3.40E-10
zgc:63840	Zgc:63840	393599	5.07E-15	-1.09	0.00271	1.7	3.82E-18
zgc:63860	Zgc:63860	335830	2.47E-06	1.1	0.00617	1.62	2.45E-09
zgc:64187	Zgc:64187	393389	0.00065	-1.35	0.09516	1.54	0.00007
zgc:65873	Zgc:65873	393514	0.00006	-1	0.97872	1.56	1.11E-14
zgc:66101	Zgc:66101	393513	0.00178	1.04	0.62588	1.52	1.27E-09
zgc:66109	Zgc:66109	393531	0.00246	-3.9	0.00009	1.63	0.26542
zgc:66242	Zgc:66242	393483	0.00003	1.24	1.61E-06	1.88	1.42E-11
zgc:66382	Zgc:66382	322453	0.00625	-2.08	0.00001	1.87	0.25603
zgc:66453	Zgc:66453	321619	0.00551	-1.05	0.78387	1.95	4.36E-06
zgc:73220	Zgc:73220	393726	0.00003	1.14	0.34373	2.11	5.77E-32
zgc:76867	Zgc:76867	404612	0.00855	1.22	0.11661	2.25	4.67E-06
zgc:77106	Zgc:77106	406461	0.00562	-1.01	0.95646	2.47	0.00002
zgc:77816	Zgc:77816	393843	0.00001	-1.14	0.15449	1.73	6.54E-08
zgc:77875	Zgc:77875	393838	1.58E-07	-1.77	0.10123	3.11	6.55E-27
zgc:85699	Zgc:85699	406560	0.0002	1.3	0.0013	2.22	4.67E-15
zgc:85717	Zgc:85717	406504	0.00763	1.34	0.00002	1.9	6.91E-10
zgc:85816	Zgc:85816	406570	0.002	-1.19	0.54878	1.98	1.08E-10
zgc:91894	Zgc:91894	337382	0.00872	1.36	3.68E-08	1.68	1.53E-28
zgc:92087	Zgc:92087	492333	0.00001	-1.03	0.70471	1.57	7.91E-13
zgc:92173	Zgc:92173	492352	0.00008	1.27	0.01892	3	3.77E-08
zgc:92218	Zgc:92218	494495	0.00394	-1.07	0.69826	1.73	9.64E-07
zgc:92368	Zgc:92368	445118	3.91E-08	1.24	8.32E-20	2.28	7.43E-11
zMKK4	MKK4	403052	0.00338	-1.03	0.87509	1.66	3.36E-13
znfl2a	Zinc finger-like gene 2a	373087	5.07E-15	-1.68	3.33E-06	1.94	2.24E-25
