Probe	Accession No.	Description	Gene ID	si-control(1)	si-GATA2(1)	Folf Change(log2)	si-control(2)	si-GATA2(2)	Fold Change (log2)
208093_s_at	NM_030808	nudE nuclear distribution gene E homolog like 1 (A. nidulans) /// nudE nuclear distribution gene E homolog like 1 (A. nidulans)	NDEL1	331.1	522.9	0.7	280.1	807.4	1.2
200632_s_at	NM_006096	N-myc downstream regulated gene 1	NDRG1	397.4	1320.3	1.6	481.2	1554.4	1.6
212530_at	AL080111	NIMA (never in mitosis gene a)-related kinase 7	NEK7	196.3	719.6	1.8	94.6	603.5	2.6
208926_at	U84246	sialidase 1 (lysosomal sialidase)	NEU1	371	773.8	1.1	425.5	1059.1	1.2
211017_s_at	AF123570	neurofibromin 2 (bilateral acoustic neuroma)	NF2	56.8	97.4	1.1	52.6	77.4	1.2
210555_s_at	U85430	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	NFATC3	119.7	161.1	0.7	68.8	184.9	1.4
203927_at	NM_004556	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	NFKBIE	127.3	332.6	1.4	160.5	343.4	1.3
222206_s_at	AA781143	nicastrin-like protein	NICALIN	30.8	73.6	1.3	51.1	125.9	1.5
203045_at	NM_004148	ninjurin 1	NINJ1	149.6	776.9	2	441.3	1151.5	1.3
205204_at	NM_021077	neuromedin B	NMB	81.1	141.9	0.7	131.4	224.2	1.2
227556_at	AI094580	non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase)	NME7	157.5	441.7	1.2	485.9	1202.2	1.1
231798_at	AL575177	noggin	NOG	25.9	74.2	1.4	140.1	314.9	1.5
210756_s_at	AF308601	Notch homolog 2 (Drosophila) /// Notch homolog 2 (Drosophila)	NOTCH2	12.1	95.4	2.6	50.8	289.9	2
202679_at	NM_000271	Niemann-Pick disease, type C1	NPC1	342.3	1020.7	1.5	386.2	1316.8	1.8
201866_s_at	NM_000176	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	NR3C1	71.5	100.7	0.6	72	178.4	1.1
225566_at	AI819729	neuropilin 2	NRP2	348.5	1000.5	1.4	382.8	1036	1.5
225510_at	BG033561	NS5ATP13TP2 protein	NS5ATP13TP2	142.6	444.8	1.2	164.4	514.7	1.4
225864_at	AL039862	breast cancer membrane protein 101	NSE2	182.6	340.9	0.8	251.9	498	0.9
210022_at	BC004952	likely ortholog of mouse nervous system polycomb 1	NSPC1	38.6	100.4	1.1	64.7	66.1	1
203675_at	NM_005013	nucleobindin 2	NUCB2	158.9	315.6	1.1	149.1	388.5	1.2
219347_at	NM_018283	nudix (nucleoside diphosphate linked moiety X)-type motif 15	NUDT15	62.8	161.1	1.2	53.1	101.8	1.2
204435_at	NM_014778	nucleoporin like 1	NUPL1	91.7	125.5	0.3	82.9	221.8	1.5
205552_s_at	NM_002534	2,5-oligoadenylate synthetase 1, 40/46kDa	OAS1	96.7	230.2	1.2	96.1	443.2	2
204972_at	NM_016817	2-5-oligoadenylate synthetase 2, 69/71kDa	OAS2	161	331.3	1.1	221.9	737.2	1.7
218400_at	NM_006187	2-5-oligoadenylate synthetase 3, 100kDa	OAS3	104.9	208.7	1	128.7	341.6	1.8
214484_s_at	AF226604	opioid receptor, sigma 1	OPRS1	117.2	259.9	0.7	100.2	264.5	1.3
220631_at	NM_022353	O-sialoglycoprotein endopeptidase-like 1	OSGEPL1	40	118.3	0.9	48.6	80.6	0.8
205729_at	NM_003999	oncostatin M receptor	OSMR	67.4	199.8	1.6	61.9	144.3	1.2
235197_s_at	AV713913	Osteopetrosis associated transmembrane protein 1	OSTM1	71.5	99.5	0.6	73.1	134.1	1.1
202733_at	NM_004199	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II	P4HA2	522	1143.4	1.2	1007.9	2166.2	1.1
228703_at	AW665086	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III	P4HA3	37.8	128.4	1.5	148.6	260.6	0.9
209230_s_at	AF135266	p8 protein (candidate of metastasis 1)	P8	29.6	157.6	2.2	25.3	223.9	3
203859_s_at	NM_002579	paralemmin	PALM	80.3	169.3	1.2	86	137.3	0.7
226649_at	AI373299	pantothenate kinase 1	PANK1	25.6	100.2	1.8	16.9	130.6	2.1
229043_at	AI492902	PAP associated domain containing 5	PAPD5	145.9	233	0.5	61.4	265.6	1.6
203058_s_at	AW299958	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2	227.7	527.9	1.2	264.9	617.8	1.3
213372_at	AW173157	progestin and adipoQ receptor family member III	PAQR3	176.5	534.2	1.5	202.3	697.5	2
227204_at	AI817448	par-6 partitioning defective 6 homolog gamma (C. elegans)	PARD6G	58.2	166.7	1.2	58.9	159.4	1.1
224701_at	AA056548	poly (ADP-ribose) polymerase family, member 14	PARP14	137.2	290	1.1	235.6	457.7	0.8
217738_at	BF575514	pre-B-cell colony enhancing factor 1	PBEF1	398	768.2	1	335.9	843.3	1
201202_at	NM_002592	proliferating cell nuclear antigen	PCNA	813.2	1421.1	0.9	661.9	1470.2	1.2
1569110_x_at	BC020552	programmed cell death 6	PDCD6	17.6	111.7	2.4	36.7	104.4	1.5
214129_at	AI821791	phosphodiesterase 4D interacting protein (myomegalin)	PDE4DIP	29.3	93	1.3	45.7	92.5	1.3
211564_s_at	BC003096	PDZ and LIM domain 4	PDLIM4	92.6	326.1	1.7	232.4	599.3	1.4
214121_x_at	AA086229	PDZ and LIM domain 7 (enigma)	PDLIM7	54.7	123.4	1.4	142.5	199.1	0.4
218019_s_at	NM_021941	pyridoxal (pyridoxine, vitamin B6) kinase	PDXK	84.8	271.7	1.4	54.1	313.2	2.1
223290_at	BC000320	pyridoxal (pyridoxine, vitamin B6) phosphatase	PDXP	61.3	153.1	1.2	47.6	135.7	1.4
211033_s_at	BC006268	peroxisomal biogenesis factor 7 /// peroxisomal biogenesis factor 7	PEX7	38.5	90.1	1	53.3	72.2	1.1
202464_s_at	NM_004566	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	PFKFB3	167.4	484.9	1.5	272.8	517.7	0.9
213469_at	AV705244	GPI deacylase	PGAP1	59	94.8	1.1	37.8	86.3	1.6
225366_at	AI652855	phosphoglucomutase 2	PGM2	107.3	168.8	0.6	116.3	280.5	1.2
229256_at	AV724329	phosphoglucomutase 2-like 1	PGM2L1	245.1	431.7	0.9	179.9	620.7	1.8
222125_s_at	BC000580	hypoxia-inducible factor prolyl 4-hydroxylase	PH-4	114	196.1	0.7	115.4	317.3	1.3
218634_at	NM_012396	pleckstrin homology-like domain, family A, member 3	PHLDA3	84.6	215.9	1.4	112	245.9	1.2
1557948_at	BC007947	pleckstrin homology-like domain, family B, member 3	PHLDB3	68.9	158.4	1.4	60.1	168.7	1.7
209780_at	AL136883	putative homeodomain transcription factor 2	PHTF2	92.9	362.6	2	60.2	356.9	2.5
202846_s_at	NM_002642	phosphatidylinositol glycan, class C	PIGC	142.2	327.5	0.9	181.4	272.4	0.9
212239_at	AI680192	phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	PIK3R1	90.8	164.7	0.9	119.5	208.5	0.8
202392_s_at	NM_014338	phosphatidylserine decarboxylase	PISD	136.2	273.8	1.3	192.1	325.8	1.1
219155_at	NM_012417	phosphatidylinositol transfer protein, cytoplasmic 1	PITPNC1	133	304.2	1.2	114.4	228.5	0.9
204612_at	NM_006823	protein kinase (cAMP-dependent, catalytic) inhibitor alpha	PKIA	566.7	819.8	0.5	484.4	1456.2	1.2
219584_at	NM_015900	phospholipase A1 member A	PLA1A	9.1	215	4.2	62	237.3	1.9
201860_s_at	NM_000930	plasminogen activator, tissue	PLAT	181.6	260.6	0.8	157.6	656.7	2
211668_s_at	K03226	plasminogen activator, urokinase /// plasminogen activator, urokinase	PLAU	90.5	871.1	3	866.4	3660	2
211924_s_at	AY029180	plasminogen activator, urokinase receptor /// plasminogen activator, urokinase receptor	PLAUR	107.2	330.3	1.4	250	1260.5	2.3
205125_at	NM_006225	phospholipase C, delta 1	PLCD1	64.2	114.1	1	91.3	172.2	0.8
202619_s_at	AI754404	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	PLOD2	569.9	1116	1	930.6	2922	1.6
202430_s_at	NM_021105	phospholipid scramblase 1	PLSCR1	382.6	707.8	0.9	179.2	452.3	0.9
202075_s_at	NM_006227	phospholipid transfer protein	PLTP	42.3	221.7	1.9	110.1	671.4	2.3
215807_s_at	AV693216	plexin B1	PLXNB1	16.7	90.4	2.3	47.7	175.3	1.6
204285_s_at	AI857639	phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1	359.8	963.7	1.5	879.7	2168.7	1.3
219483_s_at	NM_022825	porcupine homolog (Drosophila)	PORCN	37.5	77.4	0.8	37.2	85.2	1
225360_at	AL449244	hypothetical protein PP2447	PP2447	82.7	157.9	0.3	29.3	196.8	2.5
201490_s_at	NM_005729	peptidylprolyl isomerase F (cyclophilin F)	PPIF	111.7	266.5	1.1	142.7	431.5	1.6
227728_at	AA886888	Protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform	PPM1A	87.8	172.2	1	62.8	149.1	1.2
201408_at	W67887	protein phosphatase 1, catalytic subunit, beta isoform	PPP1CB	159.1	296.4	0.5	81.2	254.7	1.3
1555781_at	BC015324	PQ loop repeat containing 2	PQLC2	45.2	73.2	1	48.6	95.1	0.7
228230_at	AL121829	peroxisomal proliferator-activated receptor A interacting complex 285	PRIC285	41.9	119.1	1.4	54.5	123.8	0.8
207463_x_at	NM_002771	protease, serine, 3 (mesotrypsin)	PRSS3	35.8	51.6	0.5	44.1	189.7	1.6
223062_s_at	BC004863	phosphoserine aminotransferase 1	PSAT1	88.1	229.7	1.2	71.1	274.4	2.1
208257_x_at	NM_006905	pregnancy specific beta-1-glycoprotein 1	PSG1	4.6	2	0.5	47.3	189.5	2.2
215821_x_at	R32065	pregnancy specific beta-1-glycoprotein 3	PSG3	27.2	53.7	1	42.9	229.6	1.5
208191_x_at	NM_002780	pregnancy specific beta-1-glycoprotein 4	PSG4	23.6	27.5	0.5	94.1	450	2.5
205602_x_at	NM_002783	pregnancy specific beta-1-glycoprotein 7	PSG7	11.3	31.4	1.5	32.4	193.8	2.5
204279_at	NM_002800	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)	PSMB9	162.5	453.7	1.5	325.5	527.5	1
219938_s_at	NM_024430	proline-serine-threonine phosphatase interacting protein 2	PSTPIP2	15.4	119.2	3.5	40.2	356.5	2.8
221840_at	AA775177	protein tyrosine phosphatase, receptor type, E	PTPRE	739.7	1521.9	0.9	558	1178.8	1
203030_s_at	AF007555	protein tyrosine phosphatase, receptor type, N polypeptide 2	PTPRN2	52.3	101.7	1.1	61.1	187.3	1.3
216221_s_at	D87078	pumilio homolog 2 (Drosophila)	PUM2	461	732	0.7	333.2	837.2	1.3
216283_s_at	X64116	poliovirus receptor	PVR	49.3	176.3	1.8	153.3	300.2	1.2
203149_at	NM_002856	poliovirus receptor-related 2 (herpesvirus entry mediator B)	PVRL2	250.3	553.2	0.8	369.2	898.1	0.9
227999_at	AI290476	PWWP domain containing 2	PWWP2	73.8	122.8	1	77.2	116.5	0.7
205174_s_at	NM_012413	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	QPCT	20.2	54.1	1.5	51.3	279	2.3
227146_at	AW873348	quiescin Q6-like 1	QSCN6L1	84	176.9	1.1	50.8	107.4	1
221270_s_at	NM_031209	queuine tRNA-ribosyltransferase 1 (tRNA-guanine transglycosylase) /// queuine tRNA-ribosyltransferase 1 (tRNA-guanine transglycosylase)	QTRT1	30.7	94.6	1	56.7	87	0.7
203884_s_at	NM_014904	RAB11 family interacting protein 2 (class I)	RAB11FIP2	97.1	137.5	0.4	61	155.4	1.4
223336_s_at	AL136734	RAB18, member RAS oncogene family	RAB18	560.8	1155.7	1.1	525.8	1333.6	1.3
220955_x_at	NM_016277	RAB23, member RAS oncogene family	RAB23	28.6	67.2	1.2	40.7	102.5	1.5
209515_s_at	U38654	RAB27A, member RAS oncogene family	RAB27A	88.7	232.5	1.4	59.8	249.2	1.9
217763_s_at	NM_006868	RAB31, member RAS oncogene family	RAB31	312.4	528.9	0.7	428	1005.2	1.3
204214_s_at	NM_006834	RAB32, member RAS oncogene family	RAB32	598	1274.2	1	702.1	1268	0.8
218700_s_at	BC002585	RAB7, member RAS oncogene family-like 1	RAB7L1	91.2	189.7	1	108.8	268.4	1.3
207419_s_at	NM_002872	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	RAC2	220.7	542.4	1.2	472	1168.1	1.3
209849_s_at	AF029669	RAD51 homolog C (S. cerevisiae)	RAD51C	97.6	271.6	1.5	98.9	344.5	1.5
203108_at	NM_003979	retinoic acid induced 3	RAI3	34.2	60.9	0.9	55.7	141.3	1.1
238622_at	AW269686	RAP2B, member of RAS oncogene family	RAP2B	25.5	88.8	1.6	35.2	139.1	1.2
204070_at	NM_004585	retinoic acid receptor responder (tazarotene induced) 3	RARRES3	26.9	145.8	2.4	56.9	154.6	1.5
227520_at	AI885312	Retinoblastoma binding protein 7	RBBP7	63.5	123.6	0.9	73.4	150.8	1.1
204178_s_at	NM_006328	RNA binding motif protein 14	RBM14	185.2	456.5	1.3	152.8	533.4	1.8
235004_at	AI677701	RNA binding motif protein 24	RBM24	46.8	91.2	0.8	24.1	188.5	2.4
209868_s_at	D28482	RNA binding motif, single stranded interacting protein 1	RBMS1	426.8	741.9	1	406.6	885.6	1.4
212820_at	AB020663	rabconnectin-3	RC3	67.2	111	0.7	52.3	170.8	1.2
61734_at	AI797684	reticulocalbin 3, EF-hand calcium binding domain	RCN3	56.1	117.5	1.1	93.3	239.5	1.4
225467_s_at	BG163591	retinol dehydrogenase 13 (all-trans and 9-cis)	RDH13	57	122.4	0.9	42.3	106	1.1
228231_at	BE221804	Radixin	RDX	43	99.2	1	57.3	95	0.8
205205_at	NM_006509	v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)	RELB	80.2	199.5	1.7	117	180.7	0.7
205823_at	AI824113	regulator of G-protein signalling 12	RGS12	50	117.2	0.9	57.3	120.5	0.9
220334_at	NM_012419	regulator of G-protein signalling 17	RGS17	31.8	72.6	1.4	36.6	228.7	2.3
210138_at	AF074979	regulator of G-protein signalling 20	RGS20	107.1	144.4	0.6	119.5	392.3	1.7
219045_at	NM_019034	ras homolog gene family, member F (in filopodia)	RHOF	36.8	82.2	0.9	46.4	118.7	1.5
213338_at	BF062629	Ras-induced senescence 1	RIS1	3.9	18.9	2.3	3.5	391	6.5
217983_s_at	NM_003730	ribonuclease T2	RNASET2	190.1	315.8	1.1	224.7	738.2	1.8
201823_s_at	NM_004290	ring finger protein 14	RNF14	277.9	502.3	0.8	273.5	628.4	1.2
210706_s_at	BC000213	ring finger protein 24	RNF24	42.5	87.1	0.9	36.5	105.5	1.5
203286_at	NM_014901	ring finger protein 44	RNF44	400.5	673.1	0.7	271.7	737.5	1.2
204208_at	NM_003800	RNA guanylyltransferase and 5-phosphatase	RNGTT	61.4	119.8	0.6	41.7	87.6	1.2
224617_at	AI735576	ROD1 regulator of differentiation 1 (S. pombe)	ROD1	576.1	1081.2	1	605.4	992.1	0.7
204802_at	NM_004165	Ras-related associated with diabetes	RRAD	4.8	131.1	4.6	0.6	567.8	6.2
221524_s_at	AF272036	Ras-related GTP binding D	RRAGD	15.4	72.8	1.7	17.5	151.9	3.3
223342_at	AB036063	ribonucleotide reductase M2 B (TP53 inducible)	RRM2B	155	438.2	1.6	134.6	544.9	1.9
206949_s_at	NM_014328	RUN and SH3 domain containing 1	RUSC1	185.7	361.6	1	215	535.2	1.6
212440_at	X76302	putative nucleic acid binding protein RY-1	RY1	292.4	674.7	1.1	260.3	750.1	1.5
1559883_s_at	AF147427	SAM domain and HD domain 1	SAMHD1	34	62.5	1.3	13.2	128.5	2.7
219129_s_at	NM_024632	Sin3A associated protein p30-like	SAP30L	60.8	165.3	1.4	66.5	128.1	1.1
1554482_a_at	BC002847	SAR1a gene homolog 2 (S. cerevisiae)	SARA2	127.3	294.4	1.2	176.2	364.9	1
218854_at	NM_013352	squamous cell carcinoma antigen recognized by T cells 2	SART2	49.5	147	1.9	99.9	456.1	2
213988_s_at	BE971383	spermidine/spermine N1-acetyltransferase	SAT	947.5	2062.7	1.2	1717	3145	0.9
212699_at	BE222801	secretory carrier membrane protein 5	SCAMP5	37.4	95.4	0.8	68.9	140.4	1.1
201819_at	NM_005505	scavenger receptor class B, member 1	SCARB1	72.2	136.9	1	77.5	167.8	1.1
1555021_a_at	AB052950	scavenger receptor class F, member 1	SCARF1	107.2	238.9	1	130.4	379.7	1.5
211709_s_at	BC005810	stem cell growth factor; lymphocyte secreted C-type lectin /// stem cell growth factor; lymphocyte secreted C-type lectin	SCGF	50.9	61	0.3	34.9	108.7	1.6
221575_at	BC000586	selenocysteine lyase	SCLY	72	104.7	0.6	56.9	115.5	1.1
205241_at	NM_005138	SCO cytochrome oxidase deficient homolog 2 (yeast)	SCO2	183.8	360.7	0.9	314.6	458.8	0.8
218217_at	NM_021626	serine carboxypeptidase 1	SCPEP1	133.2	290.3	0.7	160.8	322.1	1.1
212556_at	AI469403	scribbled homolog (Drosophila)	SCRIB	202.6	384.7	1	223.8	495.5	1.1
201287_s_at	NM_002997	syndecan 1	SDC1	19.2	96	1.9	21.9	112.6	2.3
212158_at	AL577322	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	SDC2	184.8	670.9	1.7	60.8	86.1	0.8
223283_s_at	AF039698	serologically defined colon cancer antigen 33	SDCCAG33	143.2	246.9	0.8	112.8	248.7	1.2
233020_at	AU154125	SEC22 vesicle trafficking protein-like 1 (S. cerevisiae)	SEC22L1	31.6	62	0.8	48.8	145.7	1.6
225460_at	BG432489	SEC22 vesicle trafficking protein-like 3 (S. cerevisiae)	SEC22L3	141.9	486.4	1.8	121.8	330.2	1.2
212900_at	AJ131244	SEC24 related gene family, member A (S. cerevisiae)	SEC24A	175.9	348.6	1.5	107.8	400.8	1.9
201916_s_at	NM_007214	SEC63-like (S. cerevisiae)	SEC63	264.2	477.6	1	301.6	590.8	0.9
224888_at	AB051511	selenoprotein I	SELI	62.8	105	0.8	45.6	143.1	1.4
226051_at	BF973568	selenoprotein M	SELM	137.7	607.5	1.9	442.5	935.6	1
206832_s_at	NM_004186	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	SEMA3F	38.8	107.1	1.1	21.7	108.5	2.3
234725_s_at	AK026133	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B	SEMA4B	50.2	134.1	1.4	70.5	358.4	2.4
225879_at	BF345244	likely homolog of yeast SEN54	SEN54L	47.7	93.5	0.7	27.6	109.5	1.7
200970_s_at	AL136807	stress-associated endoplasmic reticulum protein 1	SERP1	472.7	744.8	0.6	333.2	1174.6	1.5
209723_at	BC002538	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 9	SERPINB9	223.2	707.8	1.6	104.7	311.6	1.3
1568765_at	BC020765	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	SERPINE1	62.4	290.2	1.7	293.1	338.1	0.1
218346_s_at	NM_014454	sestrin 1	SESN1	252	646.8	1.4	385.5	653.7	0.9
223195_s_at	BF131886	sestrin 2	SESN2	93.3	265.9	1.2	172.8	597.7	1.6
203889_at	NM_003020	secretory granule, neuroendocrine protein 1 (7B2 protein)	SGNE1	9.1	28.9	1.8	17.9	224.2	3.9
201396_s_at	NM_003021	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha	SGTA	79.6	124.4	1	77	169.6	0.8
201469_s_at	AI809967	SHC (Src homology 2 domain containing) transforming protein 1	SHC1	595.7	1064.6	0.8	595.2	1275	1.1
205449_at	NM_013299	likely ortholog of mouse Sac3 homology domain 1 (S. cerevisiae)	SHD1	89.9	313.5	1.6	66.7	397.2	2.1
225056_at	AB037810	signal-induced proliferation-associated 1 like 2	SIPA1L2	82.6	117.4	0.4	70	116.7	1.3
226324_s_at	AB033005	selective LIM binding factor, rat homolog	SLB	31.5	71.9	1.1	39.2	94.2	1
203124_s_at	NM_000617	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	SLC11A2	101.1	247.6	1.3	82.4	265.4	1.5
209402_s_at	AF047338	solute carrier family 12 (potassium/chloride transporters), member 4	SLC12A4	87.6	228.3	1.3	126.4	326.9	0.9
219593_at	NM_016582	solute carrier family 15, member 3	SLC15A3	3.2	76.9	4.4	36.2	114.4	1.7
202855_s_at	AL513917	solute carrier family 16 (monocarboxylic acid transporters), member 3	SLC16A3	148.2	407.3	1.6	250	860.7	1.9
230748_at	AI873273	solute carrier family 16 (monocarboxylic acid transporters), member 6	SLC16A6	34.8	299.8	3.1	71.3	366.1	2.7
211576_s_at	BC003068	solute carrier family 19 (folate transporter), member 1	SLC19A1	111.4	142.2	0.4	75.6	201.2	1.3
213664_at	AW235061	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	SLC1A1	96.6	122.4	0.5	135.1	358.1	1.3
209610_s_at	BF340083	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	SLC1A4	71.2	166.3	1.3	51.5	75.2	0.7
229371_at	BF940010	Solute carrier family 20 (phosphate transporter), member 2	SLC20A2	61.4	98.7	1	46.6	84.2	0.8
205896_at	NM_003059	solute carrier family 22 (organic cation transporter), member 4	SLC22A4	38.5	78.9	1.2	61.2	272.7	2
218749_s_at	NM_024959	solute carrier family 24 (sodium/potassium/calcium exchanger), member 6	SLC24A6	64.1	111.7	0.7	73.4	159.2	1
218653_at	NM_014252	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	SLC25A15	76.5	168.6	1	119.1	249.3	1.1
226010_at	BG290819	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23	SLC25A23	63.5	83.7	0.9	48.3	76.8	1.2
222217_s_at	BC003654	solute carrier family 27 (fatty acid transporter), member 3	SLC27A3	45.2	77.6	0.8	31.7	86.3	1.3
227176_at	AL565362	Solute carrier family 2 (facilitated glucose transporter), member 13	SLC2A13	55.7	72.7	0.2	28	87.3	1.7
222088_s_at	AA778684	solute carrier family 2 (facilitated glucose transporter), member 3	SLC2A3	143.8	262.5	0.8	146.5	275.8	0.9
207035_at	NM_003459	solute carrier family 30 (zinc transporter), member 3	SLC30A3	55.1	108.7	0.6	10.2	93.3	1.4
226601_at	AI761597	solute carrier family 30 (zinc transporter), member 7	SLC30A7	134.3	477.1	1.6	86.8	374.4	1.8
204204_at	NM_001860	solute carrier family 31 (copper transporters), member 2	SLC31A2	39.9	141.2	1.7	57.4	211.2	2.1
222263_at	BE904333	solute carrier family 35, member E1	SLC35E1	95.6	142	0.7	87.7	169	1
213119_at	AW058600	solute carrier family 36 (proton/amino acid symporter), member 1	SLC36A1	48.7	114.5	1.5	47.1	222.5	2
217778_at	NM_014437	solute carrier family 39 (zinc transporter), member 1	SLC39A1	99.1	213.9	1	117.8	212.9	0.9
1555434_a_at	BC015770	solute carrier family 39 (zinc transporter), member 14	SLC39A14	91.2	202.9	1	119.1	209.3	0.7
219215_s_at	NM_017767	solute carrier family 39 (zinc transporter), member 4	SLC39A4	31.9	78.8	1.4	56.2	138.3	1.2
202667_s_at	NM_006979	solute carrier family 39 (zinc transporter), member 7	SLC39A7	68.5	159.2	1.2	111.5	217	1.1
200924_s_at	NM_002394	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	SLC3A2	157.6	213.5	0.8	133.2	373.3	1.3
225570_at	AW439816	solute carrier family 41, member 1	SLC41A1	107.8	312.4	2.2	198.4	751.2	2.1
213113_s_at	AI630178	solute carrier family 43, member 3	SLC43A3	135.6	300.1	1.1	156.2	456.9	1.5
207604_s_at	NM_003615	solute carrier family 4, sodium bicarbonate cotransporter, member 7	SLC4A7	65	83.7	0.5	91.2	270.5	1.4
213164_at	AI867198	solute carrier family 5 (inositol transporters), member 3	SLC5A3	315.7	482.3	0.6	275	595.2	1.1
202219_at	NM_005629	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	SLC6A8	96.8	156.2	1	55	251	2
209921_at	AB040875	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	SLC7A11	708.4	951.1	0.6	313.4	1367.9	1.7
201195_s_at	AB018009	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	SLC7A5	121.9	321.5	1.3	133.2	390.8	1.6
209897_s_at	AF055585	slit homolog 2 (Drosophila)	SLIT2	36.4	50.2	0.8	57.7	127	1.1
226563_at	BF793454	SMAD, mothers against DPP homolog 2 (Drosophila)	SMAD2	154.7	240.3	0.8	139.2	250.2	1
205397_x_at	U76622	SMAD, mothers against DPP homolog 3 (Drosophila)	SMAD3	58.9	277.7	1.8	221.5	473.8	1
205187_at	AF010601	SMAD, mothers against DPP homolog 5 (Drosophila)	SMAD5	53.7	111.4	1.1	27.4	122.9	2.4
226604_at	AA418403	SMILE protein	SMILE	129.9	287.8	1.1	132.1	545.5	1.9
219480_at	NM_005985	snail homolog 1 (Drosophila)	SNAI1	29.3	69.8	1.1	34.3	98.6	1.1
213139_at	AI572079	snail homolog 2 (Drosophila)	SNAI2	75.3	105.5	0.6	60.7	175	1.8
208078_s_at	NM_030751	SNF1-like kinase /// SNF1-like kinase	SNF1LK	64.3	154.1	1.3	125.6	318.8	1.2
223241_at	AF121858	sorting nexin 8	SNX8	42.1	80.3	0.8	53.2	136.8	1
221561_at	L21934	sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase) 1	SOAT1	82.7	125.1	0.4	80.6	216.3	1.4
215223_s_at	W46388	superoxide dismutase 2, mitochondrial	SOD2	491.3	2766.5	2.4	2533.7	3757	0.5
201563_at	L29008	sorbitol dehydrogenase	SORD	100.5	153.3	0.9	105.8	248.4	1.3
223980_s_at	AF280095	SP110 nuclear body protein	SP110	21.2	60.6	1.3	34.6	156.2	2
210117_at	AF311312	sperm associated antigen 1	SPAG1	62.8	132.4	1.1	26	110.1	1.3
236600_at	AI651603	spastic paraplegia 20, spartin (Troyer syndrome)	SPG20	45.9	93.6	1	50	127.7	1.4
219257_s_at	NM_021972	sphingosine kinase 1	SPHK1	331.2	433.1	0.4	178.7	523.3	1.3
202363_at	AF231124	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)	SPOCK	341	739.1	0.9	727.8	1639	1.2
224864_at	BG397813	steroid receptor RNA activator 1	SRA1	146.8	352.2	1.1	162.9	502	1.4
202308_at	NM_004176	sterol regulatory element binding transcription factor 1	SREBF1	107.8	265.1	1.3	49.3	170.6	1.4
205499_at	NM_014467	sushi-repeat-containing protein, X-linked 2	SRPX2	110	353.5	1.7	442.6	1396.7	1.7
204804_at	NM_003141	Sjogren syndrome antigen A1 (52kDa, ribonucleoprotein autoantigen SS-A/Ro)	SSA1	129.8	243.6	0.8	193.1	430	0.9
226075_at	AF131840	SPRY domain-containing SOCS box protein SSB-1	SSB1	52.7	166.7	1.5	42	143.7	1.5
217991_x_at	NM_018070	single stranded DNA binding protein 3	SSBP3	79	112	0.6	61.7	119.8	1.2
223103_at	AF151810	START domain containing 10	STARD10	81	180.5	1.3	151.2	224.1	1
202991_at	NM_006804	START domain containing 3	STARD3	38.4	95.6	1.1	72.2	116.5	0.7
204596_s_at	U46768	stanniocalcin 1	STC1	2.4	94.1	5.6	10.8	522.8	5.5
203439_s_at	BC000658	stanniocalcin 2	STC2	49.9	167.5	3.1	26.8	368.8	3.7
