# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_000148|NM_000148	hgnc_symbol|FUT1|FUT1
refseq_dna|NM_022042|NM_022042	hgnc_symbol|SLC26A1|SLC26A1
refseq_dna|NM_012100|NM_012100	hgnc_symbol|DNPEP|DNPEP
refseq_dna|NM_015703|NM_015703	hgnc_symbol|CGI-96|CGI-96
refseq_dna|NM_024316|NM_024316	hgnc_symbol|LENG1|LENG1
entrezgene|AL832747|2776	hgnc_symbol|AL832747|AL832747
refseq_dna|NM_002072|NM_002072	hgnc_symbol|GNAQ|GNAQ
refseq_dna|NM_022574|NM_022574	hgnc_symbol|PERQ1|PERQ1
refseq_dna|NM_024422|NM_024422	hgnc_symbol|DSC2|DSC2
refseq_dna|NM_004543|NM_004543	hgnc_symbol|NEB|NEB
refseq_dna|NM_033445|NM_033445	hgnc_symbol|HIST3H2A|HIST3H2A
refseq_dna|NM_005632|NM_005632	hgnc_symbol|SOLH|SOLH
refseq_dna|NM_018347|NM_018347	hgnc_symbol|C20orf29|C20orf29
refseq_dna|NM_014901|NM_014901	hgnc_symbol|RNF44|RNF44
refseq_dna|NM_004315|NM_004315	hgnc_symbol|ASAH1|ASAH1
refseq_dna|NM_020533|NM_020533	hgnc_symbol|MCOLN1|MCOLN1
refseq_dna|NM_002538|NM_002538	hgnc_symbol|OCLN|OCLN
refseq_dna|NM_006749|NM_006749	hgnc_symbol|SLC20A2|SLC20A2
refseq_dna|NM_000754|NM_000754	hgnc_symbol|COMT|COMT
refseq_dna|NM_012154|NM_012154	hgnc_symbol|EIF2C2|EIF2C2
refseq_dna|NM_015000|NM_015000	hgnc_symbol|STK38L|STK38L
refseq_dna|NM_000201|NM_000201	hgnc_symbol|ICAM1|ICAM1
refseq_dna|NM_006532|NM_006532	hgnc_symbol|ELL|ELL
refseq_dna|NM_173468|NM_173468	hgnc_symbol|MOBKL1A|MOBKL1A
refseq_dna|NM_001492|NM_001492	hgnc_symbol|GDF1|GDF1
refseq_dna|NM_017530|NM_017530	hgnc_symbol|LOC55565|LOC55565
refseq_dna|NM_024537|NM_024537	hgnc_symbol|FLJ12118|FLJ12118
refseq_dna|NM_006468|NM_006468	hgnc_symbol|POLR3C|POLR3C
refseq_dna|NM_007255|NM_007255	hgnc_symbol|B4GALT7|B4GALT7
refseq_dna|NM_139025|NM_139025	hgnc_symbol|ADAMTS13|ADAMTS13
refseq_dna|NM_012407|NM_012407	hgnc_symbol|PRKCABP|PRKCABP
refseq_dna|NM_020126|NM_020126	hgnc_symbol|SPHK2|SPHK2
refseq_dna|NM_178167|NM_178167	hgnc_symbol|ZNF598|ZNF598
refseq_dna|NM_006553|NM_006553	hgnc_symbol|C18orf43|C18orf43
entrezgene|U94353|5986	hgnc_symbol|RFNG|RFNG
refseq_dna|NM_006649|NM_006649	hgnc_symbol|UTP14A|UTP14A
refseq_dna|NM_000138|NM_000138	hgnc_symbol|FBN1|FBN1
refseq_dna|NM_005675|NM_005675	hgnc_symbol|DGCR6|DGCR6
refseq_dna|NM_183013|NM_183013	hgnc_symbol|CREM|CREM
refseq_dna|NM_032189|NM_032189	hgnc_symbol|ATP11A|ATP11A
refseq_dna|NM_017873|NM_017873	hgnc_symbol|ASB6|ASB6
refseq_dna|NM_000346|NM_000346	hgnc_symbol|SOX9|SOX9
refseq_dna|NM_025235|NM_025235	hgnc_symbol|TNKS2|TNKS2
refseq_dna|NM_138571|NM_138571	hgnc_symbol|HINT3|HINT3
entrezgene|AK000282|54874	hgnc_symbol|FNBP1L|FNBP1L
entrezgene|AK025526|54874	hgnc_symbol|FNBP1L|FNBP1L
refseq_dna|NM_032359|NM_032359	hgnc_symbol|MGC4308|MGC4308
refseq_dna|NM_002885|NM_002885	hgnc_symbol|RAP1GA1|RAP1GA1
refseq_dna|NM_014053|NM_014053	hgnc_symbol|FLVCR|FLVCR
refseq_dna|NM_015409|NM_015409	hgnc_symbol|EP400|EP400
refseq_dna|NM_207585|NM_207585	hgnc_symbol|IFNAR2|IFNAR2
refseq_dna|NM_020424|NM_020424	hgnc_symbol|LOC57149|LOC57149
refseq_dna|NM_005880|NM_005880	hgnc_symbol|DNAJA2|DNAJA2
refseq_dna|NM_018453|NM_018453	hgnc_symbol|C14orf11|C14orf11
refseq_dna|NM_016122|NM_016122	hgnc_symbol|NY-REN-58|NY-REN-58
refseq_dna|NM_147128|NM_147128	hgnc_symbol|ZNRF2|ZNRF2
refseq_dna|NM_004756|NM_004756	hgnc_symbol|NUMBL|NUMBL
refseq_dna|NM_015070|NM_015070	hgnc_symbol|KIAA0853|KIAA0853
refseq_dna|NM_014347|NM_014347	hgnc_symbol|ZNF324|ZNF324
entrezgene|D86975|9658	hgnc_symbol|ZNF516|ZNF516
refseq_dna|NM_080732|NM_080732	hgnc_symbol|EGLN2|EGLN2
refseq_dna|NM_006024|NM_006024	hgnc_symbol|TAX1BP1|TAX1BP1
refseq_dna|NM_022373|NM_022373	hgnc_symbol|FLJ22313|FLJ22313
refseq_dna|NM_014731|NM_014731	hgnc_symbol|ProSAPiP1|ProSAPiP1
refseq_dna|NM_078474|NM_078474	hgnc_symbol|BLP2|BLP2
refseq_dna|NM_017653|NM_017653	hgnc_symbol|DYM|DYM
refseq_dna|NM_003773|NM_003773	hgnc_symbol|HYAL2|HYAL2
refseq_dna|NM_178812|NM_178812	hgnc_symbol|LYRIC|LYRIC
refseq_dna|NM_020753|NM_020753	hgnc_symbol|CASKIN2|CASKIN2
entrezgene|CR598922|22902	hgnc_symbol|CR598922|CR598922
refseq_dna|NM_138375|NM_138375	hgnc_symbol|CABLES1|CABLES1
refseq_dna|NM_015484|NM_015484	hgnc_symbol|P29|P29
refseq_dna|NM_020796|NM_020796	hgnc_symbol|SEMA6A|SEMA6A
refseq_dna|NM_005077|NM_005077	hgnc_symbol|TLE1|TLE1
refseq_dna|NM_002616|NM_002616	hgnc_symbol|PER1|PER1
refseq_dna|NM_173636|NM_173636	hgnc_symbol|C19orf14|C19orf14
refseq_dna|NM_152600|NM_152600	hgnc_symbol|ZNF579|ZNF579
refseq_dna|NM_005741|NM_005741	hgnc_symbol|ZNF263|ZNF263
refseq_dna|NM_003758|NM_003758	hgnc_symbol|EIF3S1|EIF3S1
refseq_dna|NM_018188|NM_018188	hgnc_symbol|ATAD3A|ATAD3A
refseq_dna|NM_000027|NM_000027	hgnc_symbol|AGA|AGA
refseq_dna|NM_004419|NM_004419	hgnc_symbol|DUSP5|DUSP5
refseq_dna|NM_017895|NM_017895	hgnc_symbol|DDX27|DDX27
refseq_dna|NM_019070|NM_019070	hgnc_symbol|DDX49|DDX49
refseq_dna|NM_024407|NM_024407	hgnc_symbol|NDUFS7|NDUFS7
refseq_dna|NM_002446|NM_002446	hgnc_symbol|MAP3K10|MAP3K10
refseq_dna|NM_020738|NM_020738	hgnc_symbol|KIDINS220|KIDINS220
refseq_dna|NM_020230|NM_020230	hgnc_symbol|PPAN|PPAN
refseq_dna|NM_031445|NM_031445	hgnc_symbol|MGC4268|MGC4268
refseq_dna|NM_172373|NM_172373	hgnc_symbol|ELF1|ELF1
entrezgene|AF044127|10901	hgnc_symbol|DHRS4|DHRS4
refseq_dna|NM_021004|NM_021004	hgnc_symbol|DHRS4|DHRS4
refseq_dna|NM_004733|NM_004733	hgnc_symbol|SLC33A1|SLC33A1
refseq_dna|NM_005088|NM_005088	hgnc_symbol|DXYS155E|DXYS155E
refseq_dna|NM_006007|NM_006007	hgnc_symbol|ZA20D2|ZA20D2
refseq_dna|NM_173795|NM_173795	hgnc_symbol|FLJ32096|FLJ32096
refseq_dna|NM_014254|NM_014254	hgnc_symbol|TMEM5|TMEM5
refseq_dna|NM_020819|NM_020819	hgnc_symbol|KIAA1411|KIAA1411
refseq_dna|NM_014339|NM_014339	hgnc_symbol|IL17R|IL17R
refseq_dna|NM_080875|NM_080875	hgnc_symbol|ZZANK1|ZZANK1
refseq_dna|NM_033087|NM_033087	hgnc_symbol|ALG2|ALG2
refseq_dna|NM_199249|NM_199249	hgnc_symbol|MGC13170|MGC13170
refseq_dna|NM_019885|NM_019885	hgnc_symbol|CYP26B1|CYP26B1
refseq_dna|NM_012424|NM_012424	hgnc_symbol|RPS6KC1|RPS6KC1
refseq_dna|NM_001050|NM_001050	hgnc_symbol|SSTR2|SSTR2
refseq_dna|NM_000169|NM_000169	hgnc_symbol|GLA|GLA
refseq_dna|NM_012135|NM_012135	hgnc_symbol|FAM50B|FAM50B
refseq_dna|NM_021795|NM_021795	hgnc_symbol|ELK4|ELK4
refseq_dna|NM_012445|NM_012445	hgnc_symbol|SPON2|SPON2
refseq_dna|NM_006414|NM_006414	hgnc_symbol|RPP38|RPP38
refseq_dna|NM_001514|NM_001514	hgnc_symbol|GTF2B|GTF2B
refseq_dna|NM_032390|NM_032390	hgnc_symbol|MKI67IP|MKI67IP
refseq_dna|NM_016037|NM_016037	hgnc_symbol|CGI-94|CGI-94
refseq_dna|NM_000224|NM_000224	hgnc_symbol|KRT18|KRT18
refseq_dna|NM_015939|NM_015939	hgnc_symbol|CGI-09|CGI-09
refseq_dna|NM_153023|NM_153023	hgnc_symbol|SPATA13|SPATA13
refseq_dna|NM_013433|NM_013433	hgnc_symbol|TNPO2|TNPO2
refseq_dna|NM_021943|NM_021943	hgnc_symbol|TEX27|TEX27
refseq_dna|NM_016055|NM_016055	hgnc_symbol|MRPL48|MRPL48
refseq_dna|NM_018226|NM_018226	hgnc_symbol|RNPEPL1|RNPEPL1
refseq_dna|NM_005010|NM_005010	hgnc_symbol|NRCAM|NRCAM
refseq_dna|NM_024623|NM_024623	hgnc_symbol|FLJ13491|FLJ13491
refseq_dna|NM_032957|NM_032957	hgnc_symbol|RTEL1|RTEL1
refseq_dna|NM_173620|NM_173620	hgnc_symbol|FLJ23825|FLJ23825
refseq_dna|NM_030895|NM_030895	hgnc_symbol|FLJ14129|FLJ14129
refseq_dna|NM_138417|NM_138417	hgnc_symbol|MGC20419|MGC20419
refseq_dna|NM_003565|NM_003565	hgnc_symbol|ULK1|ULK1
refseq_dna|NM_006252|NM_006252	hgnc_symbol|PRKAA2|PRKAA2
refseq_dna|NM_016605|NM_016605	hgnc_symbol|FAM53C|FAM53C
refseq_dna|NM_006494|NM_006494	hgnc_symbol|ERF|ERF
refseq_dna|NM_005558|NM_005558	hgnc_symbol|LAD1|LAD1
refseq_dna|NM_152652|NM_152652	hgnc_symbol|ZNF553|ZNF553
refseq_dna|NM_145214|NM_145214	hgnc_symbol|TRIM11|TRIM11
refseq_dna|NM_005544|NM_005544	hgnc_symbol|IRS1|IRS1
refseq_dna|NM_016216|NM_016216	hgnc_symbol|DBR1|DBR1
refseq_dna|NM_013943|NM_013943	hgnc_symbol|CLIC4|CLIC4
refseq_dna|NM_012083|NM_012083	hgnc_symbol|FRAT2|FRAT2
refseq_dna|NM_058190|NM_058190	hgnc_symbol|C21orf70|C21orf70
refseq_dna|NM_004323|NM_004323	hgnc_symbol|BAG1|BAG1
refseq_dna|NM_018380|NM_018380	hgnc_symbol|DDX28|DDX28
refseq_dna|NM_024899|NM_024899	hgnc_symbol|C18orf9|C18orf9
refseq_dna|NM_173514|NM_173514	hgnc_symbol|FLJ90709|FLJ90709
refseq_dna|NM_016243|NM_016243	hgnc_symbol|NQO3A2|NQO3A2
refseq_dna|NM_018155|NM_018155	hgnc_symbol|FLJ10618|FLJ10618
refseq_dna|NM_002503|NM_002503	hgnc_symbol|NFKBIB|NFKBIB
refseq_dna|NM_032038|NM_032038	hgnc_symbol|SPINL|SPINL
refseq_dna|NM_019044|NM_019044	hgnc_symbol|FLJ10996|FLJ10996
refseq_dna|NM_018103|NM_018103	hgnc_symbol|LRRC5|LRRC5
refseq_dna|NM_023933|NM_023933	hgnc_symbol|MGC2494|MGC2494
refseq_dna|NM_024815|NM_024815	hgnc_symbol|FLJ22494|FLJ22494
refseq_dna|NM_001277|NM_001277	hgnc_symbol|CHKA|CHKA
refseq_dna|NM_014294|NM_014294	hgnc_symbol|TRAM1|TRAM1
refseq_dna|NM_014777|NM_014777	hgnc_symbol|KIAA0133|KIAA0133
refseq_dna|NM_020117|NM_020117	hgnc_symbol|LARS|LARS
refseq_dna|NM_005732|NM_005732	hgnc_symbol|RAD50|RAD50
refseq_dna|NM_004357|NM_004357	hgnc_symbol|CD151|CD151
refseq_dna|NM_006389|NM_006389	hgnc_symbol|HYOU1|HYOU1
refseq_dna|NM_015555|NM_015555	hgnc_symbol|ZNF451|ZNF451
refseq_dna|NM_001812|NM_001812	hgnc_symbol|CENPC1|CENPC1
refseq_dna|NM_004556|NM_004556	hgnc_symbol|NFKBIE|NFKBIE
entrezgene|X06374|5154	hgnc_symbol|PDGFA|PDGFA
entrezgene|X03795|5154	hgnc_symbol|PDGFA|PDGFA
refseq_dna|NM_018998|NM_018998	hgnc_symbol|FBXW5|FBXW5
refseq_dna|NM_016372|NM_016372	hgnc_symbol|GPR175|GPR175
refseq_dna|NM_170695|NM_170695	hgnc_symbol|TGIF|TGIF
refseq_dna|NM_003729|NM_003729	hgnc_symbol|RTCD1|RTCD1
refseq_dna|NM_016558|NM_016558	hgnc_symbol|SCAND1|SCAND1
refseq_dna|NM_006946|NM_006946	hgnc_symbol|SPTBN2|SPTBN2
refseq_dna|NM_014423|NM_014423	hgnc_symbol|AF5Q31|AF5Q31
refseq_dna|NM_018052|NM_018052	hgnc_symbol|FLJ10305|FLJ10305
entrezgene|U25801|55697	hgnc_symbol|TAX1BP2|TAX1BP2
refseq_dna|NM_014595|NM_014595	hgnc_symbol|NT5C|NT5C
refseq_dna|NM_173542|NM_173542	hgnc_symbol|LOC196463|LOC196463
refseq_dna|NM_173626|NM_173626	hgnc_symbol|SLC26A11|SLC26A11
refseq_dna|NM_003926|NM_003926	hgnc_symbol|MBD3|MBD3
refseq_dna|NM_018366|NM_018366	hgnc_symbol|CNO|CNO
entrezgene|AK127213|159195	hgnc_symbol|USP54|USP54
refseq_dna|NM_152586|NM_152586	hgnc_symbol|USP54|USP54
refseq_dna|NM_021034|NM_021034	hgnc_symbol|IFITM3|IFITM3
refseq_dna|NM_016038|NM_016038	hgnc_symbol|SBDS|SBDS
refseq_dna|NM_133443|NM_133443	hgnc_symbol|GPT2|GPT2
refseq_dna|NM_017891|NM_017891	hgnc_symbol|FLJ20584|FLJ20584
refseq_dna|NM_001896|NM_001896	hgnc_symbol|CSNK2A2|CSNK2A2
refseq_dna|NM_032656|NM_032656	hgnc_symbol|DHX37|DHX37
refseq_dna|NM_018184|NM_018184	hgnc_symbol|ARL10C|ARL10C
refseq_dna|NM_001042|NM_001042	hgnc_symbol|SLC2A4|SLC2A4
refseq_dna|NM_018146|NM_018146	hgnc_symbol|RNMTL1|RNMTL1
refseq_dna|NM_020860|NM_020860	hgnc_symbol|STIM2|STIM2
refseq_dna|NM_016316|NM_016316	hgnc_symbol|REV1L|REV1L
refseq_dna|NM_153329|NM_153329	hgnc_symbol|ALDH16A1|ALDH16A1
refseq_dna|NM_020418|NM_020418	hgnc_symbol|PCBP4|PCBP4
refseq_dna|NM_020418|NM_020418	hgnc_symbol|PCBP4|PCBP4
refseq_dna|NM_002735|NM_002735	hgnc_symbol|PRKAR1B|PRKAR1B
refseq_dna|NM_005930|NM_005930	hgnc_symbol|CTAGE5|CTAGE5
refseq_dna|NM_152348|NM_152348	hgnc_symbol|FLJ33817|FLJ33817
refseq_dna|NM_004910|NM_004910	hgnc_symbol|PITPNM1|PITPNM1
refseq_dna|NM_017954|NM_017954	hgnc_symbol|CADPS2|CADPS2
refseq_dna|NM_001636|NM_001636	hgnc_symbol|SLC25A6|SLC25A6
refseq_dna|NM_002569|NM_002569	hgnc_symbol|FURIN|FURIN
refseq_dna|NM_002078|NM_002078	hgnc_symbol|GOLGA4|GOLGA4
embl|ENST00000273176|ENST00000273176	hgnc_symbol|GOLGA4|GOLGA4
refseq_dna|NM_015130|NM_015130	hgnc_symbol|KIAA0882|KIAA0882
refseq_dna|NM_017919|NM_017919	hgnc_symbol|STX17|STX17
refseq_dna|NM_002583|NM_002583	hgnc_symbol|PAWR|PAWR
entrezgene|BC000859|27000	hgnc_symbol|ZRF1|ZRF1
refseq_dna|NM_173618|NM_173618	hgnc_symbol|FLJ90652|FLJ90652
refseq_dna|NM_032442|NM_032442	hgnc_symbol|KIAA1787|KIAA1787
refseq_dna|NM_001069|NM_001069	hgnc_symbol|TUBB2|TUBB2
refseq_dna|NM_178570|NM_178570	hgnc_symbol|RTN4RL2|RTN4RL2
refseq_dna|NM_005414|NM_005414	hgnc_symbol|SKIL|SKIL
refseq_dna|NM_032641|NM_032641	hgnc_symbol|GRCC9|GRCC9
refseq_dna|NM_012406|NM_012406	hgnc_symbol|PRDM4|PRDM4
refseq_dna|NM_018234|NM_018234	hgnc_symbol|TSAP6|TSAP6
refseq_dna|NM_023076|NM_023076	hgnc_symbol|C16orf28|C16orf28
refseq_dna|NM_024023|NM_024023	hgnc_symbol|UNKL|UNKL
refseq_dna|NM_058241|NM_058241	hgnc_symbol|CCNT2|CCNT2
refseq_dna|NM_018708|NM_018708	hgnc_symbol|FEM1A|FEM1A
refseq_dna|NM_145201|NM_145201	hgnc_symbol|PP3856|PP3856
refseq_dna|NM_020368|NM_020368	hgnc_symbol|SAS10|SAS10
refseq_dna|NM_133629|NM_133629	hgnc_symbol|RAD51L3|RAD51L3
refseq_dna|NM_133627|NM_133627	hgnc_symbol|RAD51L3|RAD51L3
refseq_dna|NM_016006|NM_016006	hgnc_symbol|ABHD5|ABHD5
embl|AF089746|AF089746	hgnc_symbol|BOK|BOK
refseq_dna|NM_032515|NM_032515	hgnc_symbol|BOK|BOK
refseq_dna|NM_207038|NM_207038	hgnc_symbol|TCF12|TCF12
entrezgene|D87443|399979	hgnc_symbol|SNX19|SNX19
entrezgene|AB051487|80824	hgnc_symbol|DUSP16|DUSP16
entrezgene|BC064699|10274	hgnc_symbol|STAG1|STAG1
refseq_dna|NM_005862|NM_005862	hgnc_symbol|STAG1|STAG1
refseq_dna|NM_138459|NM_138459	hgnc_symbol|C6orf68|C6orf68
refseq_dna|NM_001065|NM_001065	hgnc_symbol|TNFRSF1A|TNFRSF1A
refseq_dna|NM_019108|NM_019108	hgnc_symbol|FLJ12886|FLJ12886
refseq_dna|NM_003028|NM_003028	hgnc_symbol|SHB|SHB
refseq_dna|NM_015201|NM_015201	hgnc_symbol|BOP1|BOP1
entrezgene|AF151046|51244	hgnc_symbol|C3orf19|C3orf19
refseq_dna|NM_016474|NM_016474	hgnc_symbol|C3orf19|C3orf19
entrezgene|BC015735|27158	hgnc_symbol|NDOR1|NDOR1
refseq_dna|NM_002862|NM_002862	hgnc_symbol|PYGB|PYGB
refseq_dna|NM_015066|NM_015066	hgnc_symbol|TRIM35|TRIM35
refseq_dna|NM_002076|NM_002076	hgnc_symbol|GNS|GNS
refseq_dna|NM_033631|NM_033631	hgnc_symbol|LUZP1|LUZP1
refseq_dna|NM_031892|NM_031892	hgnc_symbol|SH3KBP1|SH3KBP1
refseq_dna|NM_021107|NM_021107	hgnc_symbol|MRPS12|MRPS12
refseq_dna|NM_019091|NM_019091	hgnc_symbol|PLEKHA3|PLEKHA3
refseq_dna|NM_022763|NM_022763	hgnc_symbol|FNDC3B|FNDC3B
refseq_dna|NM_032018|NM_032018	hgnc_symbol|DKFZP547N043|DKFZP547N043
refseq_dna|NM_015642|NM_015642	hgnc_symbol|ZBTB20|ZBTB20
refseq_dna|NM_032451|NM_032451	hgnc_symbol|SPIRE2|SPIRE2
refseq_dna|NM_002273|NM_002273	hgnc_symbol|KRT8|KRT8
embl|ENST00000300452|ENST00000300452	hgnc_symbol|COQ4|COQ4
refseq_dna|NM_000402|NM_000402	hgnc_symbol|G6PD|G6PD
refseq_dna|NM_138358|NM_138358	hgnc_symbol|LOC90580|LOC90580
refseq_dna|NM_030816|NM_030816	hgnc_symbol|DKFZP566D1346|DKFZP566D1346
refseq_dna|NM_004295|NM_004295	hgnc_symbol|TRAF4|TRAF4
refseq_dna|NM_138457|NM_138457	hgnc_symbol|FOXP4|FOXP4
refseq_dna|NM_004563|NM_004563	hgnc_symbol|PCK2|PCK2
refseq_dna|NM_134270|NM_134270	hgnc_symbol|SMTN|SMTN
refseq_dna|NM_003359|NM_003359	hgnc_symbol|UGDH|UGDH
refseq_dna|NM_014779|NM_014779	hgnc_symbol|KIAA0669|KIAA0669
refseq_dna|NM_153207|NM_153207	hgnc_symbol|AEBP2|AEBP2
refseq_dna|NM_001383|NM_001383	hgnc_symbol|DPH2L1|DPH2L1
refseq_dna|NM_014704|NM_014704	hgnc_symbol|KIAA0562|KIAA0562
refseq_dna|NM_003567|NM_003567	hgnc_symbol|BCAR3|BCAR3
refseq_dna|NM_024852|NM_024852	hgnc_symbol|EIF2C3|EIF2C3
refseq_dna|NM_015062|NM_015062	hgnc_symbol|PPRC1|PPRC1
refseq_dna|NM_016097|NM_016097	hgnc_symbol|IER3IP1|IER3IP1
refseq_dna|NM_001455|NM_001455	hgnc_symbol|FOXO3A|FOXO3A
refseq_dna|NM_080881|NM_080881	hgnc_symbol|DBN1|DBN1
refseq_dna|NM_005738|NM_005738	hgnc_symbol|ARL4A|ARL4A
refseq_dna|NM_016041|NM_016041	hgnc_symbol|DERL2|DERL2
refseq_dna|NM_006141|NM_006141	hgnc_symbol|DNCLI2|DNCLI2
refseq_dna|NM_003310|NM_003310	hgnc_symbol|TSSC1|TSSC1
refseq_dna|NM_001931|NM_001931	hgnc_symbol|DLAT|DLAT
refseq_dna|NM_018427|NM_018427	hgnc_symbol|RRN3|RRN3
refseq_dna|NM_020750|NM_020750	hgnc_symbol|XPO5|XPO5
refseq_dna|NM_152307|NM_152307	hgnc_symbol|C14orf172|C14orf172
refseq_dna|NM_001009881|NM_001009881	hgnc_symbol|ZCCHC11|ZCCHC11
entrezgene|BC004399|22996	hgnc_symbol|C1orf34|C1orf34
refseq_dna|NM_009589|NM_009589	hgnc_symbol|ARSD|ARSD
refseq_dna|NM_001669|NM_001669	hgnc_symbol|ARSD|ARSD
refseq_dna|NM_178833|NM_178833	hgnc_symbol|LOC133308|LOC133308
refseq_dna|NM_033357|NM_033357	hgnc_symbol|CASP8|CASP8
refseq_dna|NM_006782|NM_006782	hgnc_symbol|ZFPL1|ZFPL1
refseq_dna|NM_175864|NM_175864	hgnc_symbol|CBFA2T2|CBFA2T2
refseq_dna|NM_015091|NM_015091	hgnc_symbol|KIAA0423|KIAA0423
refseq_dna|NM_005842|NM_005842	hgnc_symbol|SPRY2|SPRY2
refseq_dna|NM_176814|NM_176814	hgnc_symbol|LOC168850|LOC168850
refseq_dna|NM_148414|NM_148414	hgnc_symbol|ATXN2L|ATXN2L
refseq_dna|NM_007245|NM_007245	hgnc_symbol|ATXN2L|ATXN2L
refseq_dna|NM_017492|NM_017492	hgnc_symbol|ATXN2L|ATXN2L
refseq_dna|NM_013417|NM_013417	hgnc_symbol|IARS|IARS
refseq_dna|NM_004937|NM_004937	hgnc_symbol|CTNS|CTNS
entrezgene|AK025895|138050	hgnc_symbol|FLJ32731|FLJ32731
entrezgene|AK057293|138050	hgnc_symbol|FLJ32731|FLJ32731
refseq_dna|NM_017869|NM_017869	hgnc_symbol|BANP|BANP
refseq_dna|NM_022765|NM_022765	hgnc_symbol|NICAL|NICAL
refseq_dna|NM_006541|NM_006541	hgnc_symbol|TXNL2|TXNL2
refseq_dna|NM_016141|NM_016141	hgnc_symbol|DNCLI1|DNCLI1
refseq_dna|NM_001961|NM_001961	hgnc_symbol|EEF2|EEF2
refseq_dna|NM_001746|NM_001746	hgnc_symbol|CANX|CANX
refseq_dna|NM_138795|NM_138795	hgnc_symbol|ARL10B|ARL10B
refseq_dna|NM_015666|NM_015666	hgnc_symbol|GTPBP5|GTPBP5
refseq_dna|NM_024762|NM_024762	hgnc_symbol|ZNF552|ZNF552
refseq_dna|NM_001757|NM_001757	hgnc_symbol|CBR1|CBR1
refseq_dna|NM_006286|NM_006286	hgnc_symbol|TFDP2|TFDP2
refseq_dna|NM_013284|NM_013284	hgnc_symbol|POLM|POLM
refseq_dna|NM_006769|NM_006769	hgnc_symbol|LMO4|LMO4
refseq_dna|NM_032889|NM_032889	hgnc_symbol|MGC11308|MGC11308
refseq_dna|NM_139168|NM_139168	hgnc_symbol|SFRS12|SFRS12
entrezgene|AK022695|55288	hgnc_symbol|RHOT1|RHOT1
refseq_dna|NM_018307|NM_018307	hgnc_symbol|RHOT1|RHOT1
refseq_dna|NM_020727|NM_020727	hgnc_symbol|ZNF295|ZNF295
refseq_dna|NM_014291|NM_014291	hgnc_symbol|GCAT|GCAT
refseq_dna|NM_145169|NM_145169	hgnc_symbol|C6orf83|C6orf83
refseq_dna|NM_015995|NM_015995	hgnc_symbol|KLF13|KLF13
refseq_dna|NM_002270|NM_002270	hgnc_symbol|TNPO1|TNPO1
refseq_dna|NM_018077|NM_018077	hgnc_symbol|RBM28|RBM28
refseq_dna|NM_025112|NM_025112	hgnc_symbol|MGC11349|MGC11349
entrezgene|AK056176|158158	hgnc_symbol|RASEF|RASEF
refseq_dna|NM_017632|NM_017632	hgnc_symbol|CARF|CARF
refseq_dna|NM_021203|NM_021203	hgnc_symbol|SRPRB|SRPRB
refseq_dna|NM_024319|NM_024319	hgnc_symbol|C1orf35|C1orf35
refseq_dna|NM_022070|NM_022070	hgnc_symbol|ABC1|ABC1
refseq_dna|NM_004268|NM_004268	hgnc_symbol|CRSP6|CRSP6
refseq_dna|NM_032951|NM_032951	hgnc_symbol|WBSCR14|WBSCR14
refseq_dna|NM_002972|NM_002972	hgnc_symbol|SBF1|SBF1
refseq_dna|NM_006243|NM_006243	hgnc_symbol|PPP2R5A|PPP2R5A
refseq_dna|NM_018346|NM_018346	hgnc_symbol|RSAD1|RSAD1
refseq_dna|NM_014447|NM_014447	hgnc_symbol|ARFIP1|ARFIP1
refseq_dna|NM_018195|NM_018195	hgnc_symbol|FLJ10726|FLJ10726
refseq_dna|NM_020162|NM_020162	hgnc_symbol|DHX33|DHX33
refseq_dna|NM_015288|NM_015288	hgnc_symbol|PHF15|PHF15
refseq_dna|NM_006280|NM_006280	hgnc_symbol|SSR4|SSR4
refseq_dna|NM_002936|NM_002936	hgnc_symbol|RNASEH1|RNASEH1
refseq_dna|NM_007215|NM_007215	hgnc_symbol|POLG2|POLG2
refseq_dna|NM_002936|NM_002936	hgnc_symbol|RNASEH1|RNASEH1
refseq_dna|NM_005528|NM_005528	hgnc_symbol|DNAJC4|DNAJC4
refseq_dna|NM_207325|NM_207325	hgnc_symbol|LOC147991|LOC147991
refseq_dna|NM_139076|NM_139076	hgnc_symbol|FLJ13614|FLJ13614
refseq_dna|NM_003128|NM_003128	hgnc_symbol|SPTBN1|SPTBN1
refseq_dna|NM_017565|NM_017565	hgnc_symbol|FAM20A|FAM20A
refseq_dna|NM_015051|NM_015051	hgnc_symbol|TXNDC4|TXNDC4
refseq_dna|NM_182926|NM_182926	hgnc_symbol|KTN1|KTN1
refseq_dna|NM_012395|NM_012395	hgnc_symbol|PFTK1|PFTK1
refseq_dna|NM_080616|NM_080616	hgnc_symbol|C20orf112|C20orf112
refseq_dna|NM_004309|NM_004309	hgnc_symbol|ARHGDIA|ARHGDIA
refseq_dna|NM_006545|NM_006545	hgnc_symbol|TUSC4|TUSC4
