# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_002345|NM_002345	hgnc_symbol|LUM|LUM
entrezgene|BC002430|224	hgnc_symbol|ALDH3A2|ALDH3A2
entrezgene|AF015043|23677	hgnc_symbol|SH3BP4|SH3BP4
entrezgene|AF055024|51665	hgnc_symbol|ASB1|ASB1
entrezgene|AA398658|145788	hgnc_symbol|FLJ27352|FLJ27352
embl|BG251521|BG251521
entrezgene|AI690274|84795	hgnc_symbol|C10orf33|C10orf33
entrezgene|AB046692|316	hgnc_symbol|AOX1|AOX1
entrezgene|AF064599|8996	hgnc_symbol|NOL3|NOL3
entrezgene|BF749723|29071	hgnc_symbol|C1GALT1C1|C1GALT1C1
refseq_dna|NM_004394|NM_004394	hgnc_symbol|DAP|DAP
entrezgene|AF109196|25932	hgnc_symbol|CLIC4|CLIC4
entrezgene|BF245400|10152	hgnc_symbol|ABI2|ABI2
entrezgene|BF317081|91775	hgnc_symbol|FAM55C|FAM55C
entrezgene|N48613|221336	hgnc_symbol|C6orf65|C6orf65
refseq_dna|NM_012424|NM_012424	hgnc_symbol|RPS6KC1|RPS6KC1
refseq_dna|NM_003437|NM_003437	hgnc_symbol|ZNF136|ZNF136
refseq_dna|NM_000694|NM_000694	hgnc_symbol|ALDH3B1|ALDH3B1
embl|AW665227|AW665227
entrezgene|AI916528|3818	hgnc_symbol|CYP4V2|CYP4V2
embl|BG250907|BG250907	hgnc_symbol|HIVEP3|HIVEP3
refseq_dna|NM_012263|NM_012263	hgnc_symbol|TTLL1|TTLL1
entrezgene|BC000669|54498	hgnc_symbol|SMOX|SMOX
entrezgene|BF056048|375743	hgnc_symbol|PTAR1|PTAR1
embl|AV659198|AV659198	hgnc_symbol|TncRNA|TncRNA
entrezgene|BC003177|57658	hgnc_symbol|CALCOCO1|CALCOCO1
entrezgene|AF493879|55970	hgnc_symbol|GNG12|GNG12
entrezgene|AI928203|5563
entrezgene|D85390|1362	hgnc_symbol|CPD|CPD
entrezgene|AI887898|79884	hgnc_symbol|FLJ21159|FLJ21159
embl|BE891071|BE891071
refseq_dna|NM_016352|NM_016352	hgnc_symbol|CPA4|CPA4
embl|AL031714|AL031714	hgnc_symbol|UBE2I|UBE2I
refseq_dna|NM_014686|NM_014686	hgnc_symbol|KIAA0355|KIAA0355
refseq_dna|NM_002971|NM_002971	hgnc_symbol|SATB1|SATB1
refseq_dna|NM_018418|NM_018418	hgnc_symbol|SPATA7|SPATA7
entrezgene|BE302191|23012	hgnc_symbol|STK38L|STK38L
embl|AA191741|AA191741	hgnc_symbol|FLJ36031|FLJ36031
embl|AA002140|AA002140
embl|AV736334|AV736334	hgnc_symbol|TPM4|TPM4
embl|AI590088|AI590088	hgnc_symbol|TEAD1|TEAD1
refseq_dna|NM_025057|NM_025057	hgnc_symbol|C14orf45|C14orf45
entrezgene|AV705186|54664	hgnc_symbol|FLJ11273|FLJ11273
entrezgene|AF111178|10082	hgnc_symbol|GPC6|GPC6
entrezgene|AL513759|3516	hgnc_symbol|RBPSUH|RBPSUH
entrezgene|AI802118|6540	hgnc_symbol|SLC6A13|SLC6A13
embl|AA131302|AA131302	hgnc_symbol|DNM1L|DNM1L
refseq_dna|NM_000202|NM_000202	hgnc_symbol|IDS|IDS
entrezgene|AI814587|80856	hgnc_symbol|KIAA1715|KIAA1715
embl|AW003173|AW003173	hgnc_symbol|STC1|STC1
embl|M95929|M95929	hgnc_symbol|SFXN3|SFXN3
entrezgene|AW043602|165215	hgnc_symbol|KIAA1946|KIAA1946
entrezgene|AI621223|23390	hgnc_symbol|ZDHHC17|ZDHHC17
refseq_dna|NM_007063|NM_007063	hgnc_symbol|TBC1D8|TBC1D8
entrezgene|BC000638|94103	hgnc_symbol|ORMDL3|ORMDL3
entrezgene|BG532690|3676	hgnc_symbol|ITGA4|ITGA4
refseq_dna|NM_004480|NM_004480	hgnc_symbol|FUT8|FUT8
embl|AW026535|AW026535	hgnc_symbol|LEPR /// LEPROT|LEPR /// LEPROT
entrezgene|AF176013|56521	hgnc_symbol|DNAJC12|DNAJC12
entrezgene|AL554245|7026	hgnc_symbol|NR2F2|NR2F2
entrezgene|AA886870|353322	hgnc_symbol|ANKRD37|ANKRD37
entrezgene|AW004076|57724	hgnc_symbol|LOC284267|LOC284267
refseq_dna|NM_000177|NM_000177	hgnc_symbol|GSN|GSN
entrezgene|AI857639|5366	hgnc_symbol|PMAIP1|PMAIP1
entrezgene|AA019836|162681	hgnc_symbol|C18orf54|C18orf54
embl|AI521765|AI521765
refseq_dna|NM_014950|NM_014950	hgnc_symbol|ZBTB1|ZBTB1
entrezgene|AV727336|401152	hgnc_symbol|LOC401152|LOC401152
refseq_dna|NM_020121|NM_020121	hgnc_symbol|UGCGL2|UGCGL2
embl|AW051856|AW051856	hgnc_symbol|FLNA|FLNA
entrezgene|AK002174|51088	hgnc_symbol|KLHL5|KLHL5
refseq_dna|NM_003523|NM_003523	hgnc_symbol|HIST1H2BE|HIST1H2BE
embl|AW294869|AW294869	hgnc_symbol|SKIL|SKIL
refseq_dna|NM_022827|NM_022827	hgnc_symbol|SPATA20|SPATA20
entrezgene|AA150165|51092	hgnc_symbol|SIDT2|SIDT2
refseq_dna|NM_002145|NM_002145	hgnc_symbol|HOXB2|HOXB2
entrezgene|AF078077|4616	hgnc_symbol|GADD45B|GADD45B
entrezgene|BG249599|10618	hgnc_symbol|TGOLN2|TGOLN2
entrezgene|BF342851|7837	hgnc_symbol|PXDN|PXDN
refseq_dna|NM_004603|NM_004603	hgnc_symbol|STX1A|STX1A
refseq_dna|NM_015368|NM_015368	hgnc_symbol|PANX1|PANX1
entrezgene|AI923675|162394	hgnc_symbol|MGC19764|MGC19764
entrezgene|AF257659|813	hgnc_symbol|CALU|CALU
refseq_dna|NM_006404|NM_006404	hgnc_symbol|PROCR|PROCR
refseq_dna|NM_024631|NM_024631	hgnc_symbol|FLJ23342|FLJ23342
refseq_dna|NM_006117|NM_006117	hgnc_symbol|PECI|PECI
refseq_dna|NM_005842|NM_005842	hgnc_symbol|SPRY2|SPRY2
entrezgene|BG484193|85004	hgnc_symbol|RERG|RERG
entrezgene|AI423165|353376	hgnc_symbol|TICAM2|TICAM2
entrezgene|AL537463|23252	hgnc_symbol|OTUD3|OTUD3
entrezgene|BG031974|3482	hgnc_symbol|IGF2R|IGF2R
embl|BE501881|BE501881
refseq_dna|NM_017567|NM_017567	hgnc_symbol|NAGK|NAGK
refseq_dna|NM_006876|NM_006876	hgnc_symbol|B3GNT6|B3GNT6
embl|BE503425|BE503425	hgnc_symbol|LOX|LOX
embl|BF589413|BF589413	hgnc_symbol|FRMD3|FRMD3
refseq_dna|NM_015049|NM_015049	hgnc_symbol|ALS2CR3|ALS2CR3
refseq_dna|NM_019094|NM_019094	hgnc_symbol|NUDT4 /// NUDT4P1|NUDT4 /// NUDT4P1
refseq_dna|NM_017738|NM_017738	hgnc_symbol|C9orf39|C9orf39
entrezgene|AW303375|151887	hgnc_symbol|URB|URB
entrezgene|N21202|1601	hgnc_symbol|DAB2|DAB2
entrezgene|AK022513|11221	hgnc_symbol|DUSP10|DUSP10
entrezgene|BF062538|1954	hgnc_symbol|SBP1|SBP1
entrezgene|H97931|200734	hgnc_symbol|SPRED2|SPRED2
entrezgene|AF114488|6453	hgnc_symbol|ITSN1|ITSN1
embl|D80480|D80480	hgnc_symbol|FLJ14624|FLJ14624
embl|L78132|L78132	hgnc_symbol|LGALS8|LGALS8
entrezgene|AI809749|100129592	hgnc_symbol|ORMDL1|ORMDL1
refseq_dna|NM_031286|NM_031286	hgnc_symbol|SH3BGRL3|SH3BGRL3
entrezgene|AA156797|1655	hgnc_symbol|DDX5|DDX5
refseq_dna|NM_002162|NM_002162	hgnc_symbol|ICAM3|ICAM3
entrezgene|BE328128|11278	hgnc_symbol|KLF12|KLF12
entrezgene|AI568728|6497	hgnc_symbol|SKI|SKI
entrezgene|AA873600|10924	hgnc_symbol|SMPDL3A|SMPDL3A
entrezgene|AI380156|100132288	hgnc_symbol|LOC389833|LOC389833
refseq_dna|NM_016546|NM_016546	hgnc_symbol|C1RL|C1RL
refseq_dna|NM_014674|NM_014674	hgnc_symbol|EDEM1|EDEM1
refseq_dna|NM_012110|NM_012110	hgnc_symbol|CHIC2|CHIC2
entrezgene|AF133207|26353	hgnc_symbol|HSPB8|HSPB8
refseq_dna|NM_000132|NM_000132	hgnc_symbol|F8|F8
refseq_dna|NM_007184|NM_007184	hgnc_symbol|NISCH|NISCH
entrezgene|CA777994|636	hgnc_symbol|BICD1|BICD1
entrezgene|BF338291|348262	hgnc_symbol|LOC348262|LOC348262
entrezgene|AI247494|3268	hgnc_symbol|HRBL|HRBL
refseq_dna|NM_005040|NM_005040	hgnc_symbol|PRCP|PRCP
refseq_dna|NM_024101|NM_024101	hgnc_symbol|MLPH|MLPH
entrezgene|AK023091|7769	hgnc_symbol|ZNF226|ZNF226
entrezgene|AB038995|51762	hgnc_symbol|RAB8B|RAB8B
embl|AI471969|AI471969
entrezgene|BC002356|4924	hgnc_symbol|NUCB1|NUCB1
embl|AU150691|AU150691	hgnc_symbol|LOC257152|LOC257152
refseq_dna|NM_004808|NM_004808	hgnc_symbol|NMT2|NMT2
entrezgene|AA744520|494513
refseq_dna|NM_006423|NM_006423	hgnc_symbol|RABAC1|RABAC1
refseq_dna|NM_000297|NM_000297	hgnc_symbol|PKD2|PKD2
entrezgene|AF083068|10039	hgnc_symbol|PARP3|PARP3
refseq_dna|NM_003330|NM_003330	hgnc_symbol|TXNRD1|TXNRD1
embl|BF732712|BF732712	hgnc_symbol|GPRASP2|GPRASP2
entrezgene|AI870857|221477	hgnc_symbol|C6orf89|C6orf89
refseq_dna|NM_022751|NM_022751	hgnc_symbol|FAM59A|FAM59A
entrezgene|AA811138|3454	hgnc_symbol|IFNAR1|IFNAR1
entrezgene|AL133084|2074	hgnc_symbol|PGBD3|PGBD3
refseq_dna|NM_001478|NM_001478	hgnc_symbol|GALGT|GALGT
entrezgene|AB046820|57700	hgnc_symbol|KIAA1600|KIAA1600
refseq_dna|AC_004770|AC_004770	hgnc_symbol|FADS3|FADS3
refseq_dna|NM_030971|NM_030971	hgnc_symbol|SFXN3|SFXN3
embl|BG111047|BG111047	hgnc_symbol|ASE-1|ASE-1
embl|AW590862|AW590862
entrezgene|BC006390|4247	hgnc_symbol|MGAT2|MGAT2
entrezgene|AI813772|585	hgnc_symbol|BBS4|BBS4
refseq_dna|NM_005506|NM_005506	hgnc_symbol|SCARB2|SCARB2
entrezgene|AL136797|54806	hgnc_symbol|AHI1|AHI1
refseq_dna|NM_001105|NM_001105	hgnc_symbol|ACVR1|ACVR1
entrezgene|U36189|9315	hgnc_symbol|C5orf13|C5orf13
refseq_dna|NM_017668|NM_017668	hgnc_symbol|NDE1|NDE1
refseq_dna|NM_014241|NM_014241	hgnc_symbol|PTPLA|PTPLA
entrezgene|BC005122|26286	hgnc_symbol|ARFGAP3|ARFGAP3
refseq_dna|NM_018446|NM_018446	hgnc_symbol|GLT8D1|GLT8D1
refseq_dna|NM_016821|NM_016821	hgnc_symbol|OGG1|OGG1
entrezgene|BF529628|28996	hgnc_symbol|HIPK2|HIPK2
refseq_dna|NM_016064|NM_016064	hgnc_symbol|MSRB2|MSRB2
entrezgene|D87811|2627	hgnc_symbol|GATA6|GATA6
refseq_dna|NM_003900|NM_003900	hgnc_symbol|SQSTM1|SQSTM1
entrezgene|BG031897|196394	hgnc_symbol|LOC196394|LOC196394
entrezgene|BC000350|8237	hgnc_symbol|USP11|USP11
refseq_dna|NM_003522|NM_003522	hgnc_symbol|HIST1H2BF|HIST1H2BF
entrezgene|AL041728|54434	hgnc_symbol|SSH1|SSH1
entrezgene|AA428240|27303	hgnc_symbol|RBMS3|RBMS3
entrezgene|AB020712|22872	hgnc_symbol|SEC31L1|SEC31L1
entrezgene|AF511652|22900	hgnc_symbol|CARD8|CARD8
entrezgene|AA780067|9953	hgnc_symbol|HS3ST3B1|HS3ST3B1
refseq_dna|NM_001493|NM_001493	hgnc_symbol|GDI1|GDI1
refseq_dna|NM_006730|NM_006730	hgnc_symbol|DNASE1L1|DNASE1L1
entrezgene|AY050636|113451	hgnc_symbol|ADC|ADC
embl|N95440|N95440
refseq_dna|NM_030786|NM_030786	hgnc_symbol|SYNC1|SYNC1
entrezgene|AI572079|6591	hgnc_symbol|SNAI2|SNAI2
entrezgene|AA651920|138639	hgnc_symbol|PTPDC1|PTPDC1
entrezgene|AI694536|6645	hgnc_symbol|SNTB2|SNTB2
refseq_dna|NM_004311|NM_004311	hgnc_symbol|ARL3|ARL3
embl|AI446756|AI446756	hgnc_symbol|MALAT1|MALAT1
refseq_dna|NM_003369|NM_003369	hgnc_symbol|UVRAG|UVRAG
embl|AA102332|AA102332	hgnc_symbol|PTX1|PTX1
embl|N90870|N90870
entrezgene|BE326214|22990
refseq_dna|NM_005544|NM_005544	hgnc_symbol|IRS1|IRS1
entrezgene|AW576457|490	hgnc_symbol|ATP2B1|ATP2B1
refseq_dna|NM_000153|NM_000153	hgnc_symbol|GALC|GALC
entrezgene|N45309|51449	hgnc_symbol|PCYOX1|PCYOX1
entrezgene|BC004523|8702	hgnc_symbol|B4GALT4|B4GALT4
entrezgene|BG251266|8061	hgnc_symbol|FOSL1|FOSL1
embl|N38750|N38750	hgnc_symbol|ZNF516|ZNF516
refseq_dna|NM_024620|NM_024620	hgnc_symbol|ZNF329|ZNF329
entrezgene|AF333769|79937	hgnc_symbol|CNTNAP3 /// CNTNAP3B|CNTNAP3 /// CNTNAP3B
refseq_dna|NM_001262|NM_001262	hgnc_symbol|CDKN2C|CDKN2C
entrezgene|AF010314|8507	hgnc_symbol|ENC1|ENC1
refseq_dna|NM_000854|NM_000854	hgnc_symbol|GSTT2|GSTT2
entrezgene|AI243677|153642	hgnc_symbol|DKFZp313G1735|DKFZp313G1735
entrezgene|AL136607|83591	hgnc_symbol|THAP2|THAP2
entrezgene|BC016797|80228	hgnc_symbol|C7orf19|C7orf19
entrezgene|AA834560|29097	hgnc_symbol|CNIH4|CNIH4
entrezgene|N22677|84450	hgnc_symbol|ZNF512|ZNF512
refseq_dna|NM_024826|NM_024826	hgnc_symbol|FLJ21159|FLJ21159
refseq_dna|NM_000366|NM_000366	hgnc_symbol|TPM1|TPM1
refseq_dna|NM_003165|NM_003165	hgnc_symbol|STXBP1|STXBP1
entrezgene|AI093579|3685	hgnc_symbol|ITGAV|ITGAV
embl|AL575735|AL575735	hgnc_symbol|COL5A2|COL5A2
refseq_dna|NM_001784|NM_001784	hgnc_symbol|CD97|CD97
embl|AW015521|AW015521	hgnc_symbol|CAT|CAT
embl|U72398|U72398	hgnc_symbol|BCL2L1|BCL2L1
entrezgene|BF224052|50804	hgnc_symbol|MYEF2|MYEF2
entrezgene|AL080184|51141	hgnc_symbol|INSIG2|INSIG2
entrezgene|AF084943|9562	hgnc_symbol|MINPP1|MINPP1
refseq_dna|NM_023071|NM_023071	hgnc_symbol|SPATS2|SPATS2
entrezgene|AK021814|92344	hgnc_symbol|SCYL1BP1|SCYL1BP1
embl|W92744|W92744	hgnc_symbol|ZNF84|ZNF84
entrezgene|AJ276230|5337	hgnc_symbol|PLD1|PLD1
refseq_dna|NM_007130|NM_007130	hgnc_symbol|ZNF41|ZNF41
entrezgene|AB018580|8644	hgnc_symbol|AKR1C3|AKR1C3
entrezgene|AF117234|10211	hgnc_symbol|FLOT1|FLOT1
embl|AI681888|AI681888	hgnc_symbol|PRKRA|PRKRA
entrezgene|AI870880|400073	hgnc_symbol|FLJ40142|FLJ40142
entrezgene|BC000055|11167	hgnc_symbol|FSTL1|FSTL1
entrezgene|BE379006|966	hgnc_symbol|CD59|CD59
embl|AL391688|AL391688	hgnc_symbol|SYTL4|SYTL4
entrezgene|AK026487|80318	hgnc_symbol|GKAP1|GKAP1
entrezgene|U69645|7580	hgnc_symbol|ZNF32|ZNF32
entrezgene|AA555088|63897	hgnc_symbol|ABC1|ABC1
entrezgene|AF079117|2030	hgnc_symbol|SLC29A1|SLC29A1
embl|AI632728|AI632728
entrezgene|AU144000|23380	hgnc_symbol|SRGAP2|SRGAP2
refseq_dna|NM_005135|NM_005135	hgnc_symbol|SLC12A6|SLC12A6
entrezgene|AW449813|26050	hgnc_symbol|SLITRK5|SLITRK5
entrezgene|AA608855|84668	hgnc_symbol|DRCTNNB1A|DRCTNNB1A
entrezgene|BC014479|54899	hgnc_symbol|PXK|PXK
refseq_dna|NM_022766|NM_022766	hgnc_symbol|CERK|CERK
entrezgene|AW294640|27314	hgnc_symbol|RAB30|RAB30
embl|U82828|U82828	hgnc_symbol|ATM|ATM
entrezgene|AF116827|57511	hgnc_symbol|COG6|COG6
entrezgene|AW014593|2633	hgnc_symbol|GBP1|GBP1
entrezgene|BF724210|6167	hgnc_symbol|RPL37|RPL37
refseq_dna|NM_003524|NM_003524	hgnc_symbol|HIST1H2BH|HIST1H2BH
refseq_dna|NM_024006|NM_024006	hgnc_symbol|VKORC1|VKORC1
entrezgene|AI870866|245812	hgnc_symbol|MGC40499|MGC40499
entrezgene|AF157323|26234	hgnc_symbol|FBXL5|FBXL5
embl|AA459699|AA459699
embl|AA768884|AA768884
entrezgene|BG338251|8934	hgnc_symbol|RAB7L1|RAB7L1
entrezgene|W73230|222166	hgnc_symbol|Ells1|Ells1
entrezgene|BF511003|112849	hgnc_symbol|C14orf149|C14orf149
entrezgene|AF070613|8658	hgnc_symbol|TNKS|TNKS
embl|BG339653|BG339653	hgnc_symbol|GRCC10|GRCC10
embl|BE617588|BE617588	hgnc_symbol|HPCAL1|HPCAL1
refseq_dna|NM_004682|NM_004682	hgnc_symbol|PSIP1|PSIP1
entrezgene|BF593382|5565	hgnc_symbol|PRKAB2|PRKAB2
embl|AI828075|AI828075	hgnc_symbol|HIST2H4|HIST2H4
entrezgene|AL136571|51026	hgnc_symbol|GOLT1B|GOLT1B
embl|N30188|N30188
entrezgene|AV713913|28962	hgnc_symbol|OSTM1|OSTM1
entrezgene|AF007145|10554	hgnc_symbol|AGPAT1|AGPAT1
entrezgene|AF073310|8660	hgnc_symbol|IRS2|IRS2
entrezgene|AI149508|92	hgnc_symbol|ACVR2A|ACVR2A
refseq_dna|NM_017691|NM_017691	hgnc_symbol|LRRC49|LRRC49
entrezgene|BF109660|100128259	hgnc_symbol|LOC346887|LOC346887
entrezgene|AW469573|10979	hgnc_symbol|PLEKHC1|PLEKHC1
embl|AV684285|AV684285	hgnc_symbol|FLJ20719 /// AG1|FLJ20719 /// AG1
embl|BE962456|BE962456	hgnc_symbol|KDELR2|KDELR2
embl|BF592982|BF592982	hgnc_symbol|76P|76P
entrezgene|N51325|145173	hgnc_symbol|B3GTL|B3GTL
entrezgene|AA573862|3105	hgnc_symbol|HLA-A|HLA-A
embl|AF164622|AF164622	hgnc_symbol|GOLGA8B|GOLGA8B
entrezgene|AW439843|285550	hgnc_symbol|LOC285550|LOC285550
entrezgene|AI472310|10206	hgnc_symbol|RFP2|RFP2
entrezgene|AI478147|57205	hgnc_symbol|ATP10D|ATP10D
refseq_dna|NM_004987|NM_004987	hgnc_symbol|LIMS1|LIMS1
entrezgene|AI688418|5362	hgnc_symbol|PLXNA2|PLXNA2
entrezgene|BE703418|50810	hgnc_symbol|HDGFRP3|HDGFRP3
refseq_dna|NM_016061|NM_016061	hgnc_symbol|YPEL5|YPEL5
refseq_dna|NM_000081|NM_000081	hgnc_symbol|LYST|LYST
entrezgene|AI806330|401264	hgnc_symbol|FLJ37798|FLJ37798
embl|AA470369|AA470369	hgnc_symbol|C6orf105|C6orf105
entrezgene|AL583538|65244	hgnc_symbol|SPATS2|SPATS2
entrezgene|AL137744|55738	hgnc_symbol|ARFGAP1|ARFGAP1
entrezgene|BF663461|124565	hgnc_symbol|MGC15523|MGC15523
embl|AI631210|AI631210	hgnc_symbol|KIAA1164|KIAA1164
refseq_dna|NM_021947|NM_021947	hgnc_symbol|SRR|SRR
embl|AI215106|AI215106	hgnc_symbol|INSR|INSR
refseq_dna|NM_014294|NM_014294	hgnc_symbol|TRAM1|TRAM1
entrezgene|AA284532|152007	hgnc_symbol|C9orf19|C9orf19
refseq_dna|NM_021626|NM_021626	hgnc_symbol|SCPEP1|SCPEP1
refseq_dna|NM_030937|NM_030937	hgnc_symbol|CCNL2|CCNL2
refseq_dna|NM_006576|NM_006576	hgnc_symbol|AVIL|AVIL
entrezgene|N80922|23169	hgnc_symbol|SLC35D1|SLC35D1
refseq_dna|NM_003304|NM_003304	hgnc_symbol|TRPC1|TRPC1
entrezgene|AF039698|10194	hgnc_symbol|SDCCAG33|SDCCAG33
refseq_dna|NM_002076|NM_002076	hgnc_symbol|GNS|GNS
embl|BF967997|BF967997	hgnc_symbol|LRIG2|LRIG2
refseq_dna|NM_004427|NM_004427	hgnc_symbol|PHC2|PHC2
refseq_dna|NM_018410|NM_018410	hgnc_symbol|DKFZp762E1312|DKFZp762E1312
entrezgene|AL079648|643837	hgnc_symbol|LOC284591|LOC284591
entrezgene|AF131840|80176	hgnc_symbol|SPSB1|SPSB1
refseq_dna|NM_016255|NM_016255	hgnc_symbol|FAM8A1|FAM8A1
embl|BF968187|BF968187
refseq_dna|NM_016227|NM_016227	hgnc_symbol|C1orf9|C1orf9
refseq_dna|NM_018266|NM_018266	hgnc_symbol|TMEM39A|TMEM39A
entrezgene|AF212238|84513	hgnc_symbol|PPAPDC1B|PPAPDC1B
entrezgene|D87742|375056	hgnc_symbol|KIAA0268 /// UNQ6077 /// LOC440751|KIAA0268 /// UNQ6077 /// LOC440751
refseq_dna|NM_000191|NM_000191	hgnc_symbol|HMGCL|HMGCL
entrezgene|AK023015|84058	hgnc_symbol|WDR54|WDR54
entrezgene|BF439282|9693	hgnc_symbol|RAPGEF2|RAPGEF2
entrezgene|AI803568|401320	hgnc_symbol|LOC401320|LOC401320
entrezgene|AF153415|23731	hgnc_symbol|C9orf5|C9orf5
entrezgene|AF183417|81631	hgnc_symbol|MAP1LC3B|MAP1LC3B
embl|U80737|U80737	hgnc_symbol|NCOA3|NCOA3
entrezgene|AW511595|114825	hgnc_symbol|KIAA1935|KIAA1935
entrezgene|AA194149|65059	hgnc_symbol|RAPH1|RAPH1
embl|BE962027|BE962027	hgnc_symbol|SMURF2|SMURF2
refseq_dna|NM_004517|NM_004517	hgnc_symbol|ILK|ILK
entrezgene|N21030|340371	hgnc_symbol|NRBP2|NRBP2
entrezgene|AI275690|4170	hgnc_symbol|MCL1|MCL1
entrezgene|AI052103|221322	hgnc_symbol|C6orf170|C6orf170
refseq_dna|NM_001186|NM_001186	hgnc_symbol|BACH1|BACH1
entrezgene|AW052179|1287	hgnc_symbol|COL4A5|COL4A5
entrezgene|AL565741|90355	hgnc_symbol|LOC90355|LOC90355
refseq_dna|NM_005224|NM_005224	hgnc_symbol|ARID3A|ARID3A
embl|AI498207|AI498207	hgnc_symbol|KIAA1245 /// LOC200030 /// MGC8902|KIAA1245 /// LOC200030 /// MGC8902
entrezgene|AB049740|2530	hgnc_symbol|FUT8|FUT8
embl|AI707896|AI707896	hgnc_symbol|MARCH-I|MARCH-I
entrezgene|AU150319|6843	hgnc_symbol|VAMP1|VAMP1
entrezgene|AI927067|6925	hgnc_symbol|TCF4|TCF4
embl|AW189467|AW189467
embl|AL133215|AL133215	hgnc_symbol|C10orf6|C10orf6
entrezgene|AK091691|200150	hgnc_symbol|PLD5|PLD5
entrezgene|AF029674|10488	hgnc_symbol|CREB3|CREB3
refseq_dna|NM_003082|NM_003082	hgnc_symbol|SNAPC1|SNAPC1
refseq_dna|NM_006029|NM_006029	hgnc_symbol|PNMA1|PNMA1
refseq_dna|NM_003528|NM_003528	hgnc_symbol|HIST2H2BE|HIST2H2BE
refseq_dna|NM_001498|NM_001498	hgnc_symbol|GCLC|GCLC
entrezgene|AA495988|23731	hgnc_symbol|C9orf5|C9orf5
embl|N62996|N62996	hgnc_symbol|ZNF70|ZNF70
entrezgene|AL110209|23659	hgnc_symbol|LYPLA3|LYPLA3
refseq_dna|NM_002070|NM_002070	hgnc_symbol|GNAI2|GNAI2
entrezgene|AL515318|6451	hgnc_symbol|SH3BGRL|SH3BGRL
embl|BF699855|BF699855	hgnc_symbol|GALNT7|GALNT7
entrezgene|AK023369|57620	hgnc_symbol|STIM2|STIM2
entrezgene|BC000464|11152	hgnc_symbol|WDR45|WDR45
refseq_dna|NM_014826|NM_014826	hgnc_symbol|CDC42BPA|CDC42BPA
entrezgene|AU151106|285381	hgnc_symbol|ZCSL2|ZCSL2
entrezgene|U26710|868	hgnc_symbol|CBLB|CBLB
embl|AL035414|AL035414	hgnc_symbol|SERTAD4|SERTAD4
entrezgene|BC009463|644215
refseq_dna|NM_005902|NM_005902	hgnc_symbol|SMAD3|SMAD3
embl|AK023817|AK023817	hgnc_symbol|KIAA1632|KIAA1632
entrezgene|AW117717|130872	hgnc_symbol|AHSA2|AHSA2
entrezgene|AA534198|54480	hgnc_symbol|CSGlcA-T|CSGlcA-T
embl|BE465380|BE465380	hgnc_symbol|ARNT|ARNT
embl|AK021761|AK021761	hgnc_symbol|RAB24|RAB24
refseq_dna|NM_006006|NM_006006	hgnc_symbol|ZBTB16|ZBTB16
entrezgene|AK002010|26122	hgnc_symbol|EPC2|EPC2
entrezgene|AL512766|56181	hgnc_symbol|FAM54B|FAM54B
refseq_dna|NM_015928|NM_015928	hgnc_symbol|APRIN|APRIN
entrezgene|AK021433|25844	hgnc_symbol|YIPF3|YIPF3
entrezgene|AA205660|84851	hgnc_symbol|TRIM52|TRIM52
entrezgene|N32526|10000	hgnc_symbol|AKT3|AKT3
entrezgene|BC015714|51317	hgnc_symbol|PHF21A|PHF21A
refseq_dna|NM_017792|NM_017792	hgnc_symbol|MAP4K4|MAP4K4
entrezgene|AF001362|3717	hgnc_symbol|JAK2|JAK2
refseq_dna|NM_006520|NM_006520	hgnc_symbol|TCTE1L|TCTE1L
entrezgene|BC012919|8609	hgnc_symbol|KLF7|KLF7
entrezgene|AI636775|64746	hgnc_symbol|ACBD3|ACBD3
entrezgene|N38985|23272	hgnc_symbol|RAP140|RAP140
embl|BF679286|BF679286
entrezgene|R40917|5144	hgnc_symbol|PDE4D|PDE4D
entrezgene|AL537042|378	hgnc_symbol|ARF4|ARF4
refseq_dna|NM_006578|NM_006578	hgnc_symbol|GNB5|GNB5
refseq_dna|NM_025070|NM_025070	hgnc_symbol|TMEM76|TMEM76
entrezgene|L20966|5142	hgnc_symbol|PDE4B|PDE4B
refseq_dna|NM_018641|NM_018641	hgnc_symbol|CHST12|CHST12
entrezgene|AI807073|55758	hgnc_symbol|RCOR3|RCOR3
embl|AA526584|AA526584	hgnc_symbol|GPR|GPR
entrezgene|AV701292|57636	hgnc_symbol|ARHGAP23|ARHGAP23
refseq_dna|NM_022825|NM_022825	hgnc_symbol|PORCN|PORCN
entrezgene|AA436930|54985	hgnc_symbol|HCFC1R1|HCFC1R1
embl|AI950302|AI950302	hgnc_symbol|RBMS1|RBMS1
refseq_dna|NM_024028|NM_024028	hgnc_symbol|MGC3265|MGC3265
refseq_dna|NM_017723|NM_017723	hgnc_symbol|FLJ20245|FLJ20245
refseq_dna|NM_004357|NM_004357	hgnc_symbol|CD151|CD151
embl|AA524299|AA524299
refseq_dna|NM_014268|NM_014268	hgnc_symbol|MAPRE2|MAPRE2
