Probe Set ID	In final signature?	Gene Symbol	Orientation	Description
ADXCRAG_AF208291_s_at	No	HIPK2	Sense (Fully Exonic)	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:14402]
ADXCRAG_AF213465_at	No	DUOX1	Sense (Fully Exonic)	dual oxidase 1 [Source:HGNC Symbol;Acc:3062]
ADXCRAG_AF231023_s_at	No	CELSR3	Sense (Fully Exonic)	cadherin_ EGF LAG seven-pass G-type receptor 3 (flamingo homolog_ Drosophila) [Source:HGNC Symbol;Acc:3230]
ADXCRAG_AF233882_x_at	No	JUP	Sense (includes Intronic)	junction plakoglobin [Source:HGNC Symbol;Acc:6207]
ADXCRAG_AF276423_s_at	No	ERBB2IP	Sense (Fully Exonic)	erbb2 interacting protein [Source:HGNC Symbol;Acc:15842]
ADXCRAG_AF283990_x_at	No	ADK	Sense (includes Intronic)	adenosine kinase [Source:HGNC Symbol;Acc:257]
ADXCRAG_AF287894_s_at	No	GOPC	Sense (Fully Exonic)	golgi-associated PDZ and coiled-coil motif containing [Source:HGNC Symbol;Acc:17643]
ADXCRAG_AF289605_x_at	No	TTC9C	Sense (includes Intronic)	tetratricopeptide repeat domain 9C [Source:HGNC Symbol;Acc:28432]
ADXCRAG_AF322648_at	No	IRGQ	Sense (Fully Exonic)	immunity-related GTPase family_ Q [Source:HGNC Symbol;Acc:24868]
ADXCRAG_AF322916_s_at	No	UACA	Sense (Fully Exonic)	uveal autoantigen with coiled-coil domains and ankyrin repeats [Source:HGNC Symbol;Acc:15947]
ADXCRAG_AF325830_s_at	No	PARVA	Sense (Fully Exonic)	parvin_ alpha [Source:HGNC Symbol;Acc:14652]
ADXCRAG_AF330002_s_at	No	MMP28	Sense (Fully Exonic)	matrix metallopeptidase 28 [Source:HGNC Symbol;Acc:14366]
ADXCRAG_AF346629_at	No	TRPM7	Sense (Fully Exonic)	transient receptor potential cation channel_ subfamily M_ member 7 [Source:HGNC Symbol;Acc:17994]
ADXCRAG_AF348468_at	No	SLC24A5	Sense (Fully Exonic)	solute carrier family 24_ member 5 [Source:HGNC Symbol;Acc:20611]
ADXCRAG_AF361219_s_at	No	BCAS3	Sense (Fully Exonic)	breast carcinoma amplified sequence 3 [Source:HGNC Symbol;Acc:14347]
ADXCRAG_AF370434_x_at	No	FAM100A	Sense (includes Intronic)	family with sequence similarity 100_ member A [Source:HGNC Symbol;Acc:29576]
ADXCRAG_AF395702_s_at	No	ORMDL1	Sense (Fully Exonic)	ORM1-like 1 (S. cerevisiae) [Source:HGNC Symbol;Acc:16036]
ADXCRAG_AF395830_at	No	HIF1AN	Sense (Fully Exonic)	hypoxia inducible factor 1_ alpha subunit inhibitor [Source:HGNC Symbol;Acc:17113]
ADXCRAG_AF425232_s_at	No	CAMKK1	Sense (Fully Exonic)	calcium/calmodulin-dependent protein kinase kinase 1_ alpha [Source:HGNC Symbol;Acc:1469]
ADXCRAG_AF441771_s_at	No	TNKS1BP1	Sense (Fully Exonic)	tankyrase 1 binding protein 1_ 182kDa [Source:HGNC Symbol;Acc:19081]
ADXCRAG_AF448855_s_at	No	GLYCTK	Sense (Fully Exonic)	glycerate kinase [Source:HGNC Symbol;Acc:24247]
ADXCRAG_AF452494_at	No	SCUBE3	Sense (Fully Exonic)	signal peptide_ CUB domain_ EGF-like 3 [Source:HGNC Symbol;Acc:13655]
ADXCRAG_AF486838_at	No	ARHGEF2	Sense (Fully Exonic)	Rho/Rac guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:682]
ADXCRAG_AF512564_at	No	ENGASE	Sense (Fully Exonic)	endo-beta-N-acetylglucosaminidase [Source:HGNC Symbol;Acc:24622]
ADXCRAG_AF512564_x_at	No	ENGASE	Sense (Fully Exonic)	endo-beta-N-acetylglucosaminidase [Source:HGNC Symbol;Acc:24622]
ADXCRAG_AJ000517_at	No	ATXN7	Sense (Fully Exonic)	ataxin 7 [Source:HGNC Symbol;Acc:10560]
ADXCRAG_AJ249976_s_at	No	PRKAG2	Sense (Fully Exonic)	protein kinase_ AMP-activated_ gamma 2 non-catalytic subunit [Source:HGNC Symbol;Acc:9386]
ADXCRAG_AJ401189_at	No	PPP1R9B	Sense (Fully Exonic)	protein phosphatase 1_ regulatory (inhibitor) subunit 9B [Source:HGNC Symbol;Acc:9298]
ADXCRAG_AJ401189_x_at	No	PPP1R9B	Sense (Fully Exonic)	protein phosphatase 1_ regulatory (inhibitor) subunit 9B [Source:HGNC Symbol;Acc:9298]
ADXCRAG_AJ492195_at	No	ZNF37A	Sense (Fully Exonic)	zinc finger protein 37A [Source:HGNC Symbol;Acc:13102]
ADXCRAG_AK023101_s_at	No	WDTC1	Sense (Fully Exonic)	WD and tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:29175]
ADXCRAG_AK023592_at	No	PDS5A	Sense (Fully Exonic)	PDS5_ regulator of cohesion maintenance_ homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:29088]
ADXCRAG_AK074033_s_at	No	INO80E	Sense (Fully Exonic)	INO80 complex subunit E [Source:HGNC Symbol;Acc:26905]
ADXCRAG_AK074039_x_at	No	PILRB	Sense (Fully Exonic)	paired immunoglobin-like type 2 receptor beta [Source:HGNC Symbol;Acc:18297]
ADXCRAG_AK074101_s_at	No	NUP210	Sense (Fully Exonic)	nucleoporin 210kDa [Source:HGNC Symbol;Acc:30052]
ADXCRAG_AK074169_s_at	No	PLEKHG3	Sense (Fully Exonic)	pleckstrin homology domain containing_ family G (with RhoGef domain) member 3 [Source:HGNC Symbol;Acc:20364]
ADXCRAG_AK090463_x_at	No	RAB40C	Sense (includes Intronic)	RAB40C_ member RAS oncogene family [Source:HGNC Symbol;Acc:18285]
ADXCRAG_AK122588_s_at	No	HDAC7	Sense (Fully Exonic)	histone deacetylase 7 [Source:HGNC Symbol;Acc:14067]
ADXCRAG_AL050127_x_at	No		No Genome match
ADXCRAG_AL136557_at	No	NRIP2	Sense (Fully Exonic)	nuclear receptor interacting protein 2 [Source:HGNC Symbol;Acc:23078]
ADXCRAG_AL136611_x_at	No	DDX59	Sense (Fully Exonic)	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59 [Source:HGNC Symbol;Acc:25360]
ADXCRAG_AL136618_x_at	No	ANKMY1	Sense (Fully Exonic)	ankyrin repeat and MYND domain containing 1 [Source:HGNC Symbol;Acc:20987]
ADXCRAG_AL136799_x_at	No	CCDC88B	Sense (Fully Exonic)	coiled-coil domain containing 88B [Source:HGNC Symbol;Acc:26757]
ADXCRAG_AL136830_at	No	N/A	Sense (Fully Exonic)	NOVEL pseudogene (Clone_based_ensembl_gene)
ADXCRAG_AL136864_s_at	No	KLC2	Sense (Fully Exonic)	kinesin light chain 2 [Source:HGNC Symbol;Acc:20716]
ADXCRAG_AL137508_x_at	No	ARHGEF10	Sense (includes Intronic)	Rho guanine nucleotide exchange factor (GEF) 10 [Source:HGNC Symbol;Acc:14103]
ADXCRAG_AL162042_s_at	No		No Genome match
ADXCRAG_AL442085_x_at	No	GPI	Sense (includes Intronic)	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:4458]
ADXCRAG_AL512727_x_at	No	KCND3	Sense (Fully Exonic)	potassium voltage-gated channel_ Shal-related subfamily_ member 3 [Source:HGNC Symbol;Acc:6239]
ADXCRAG_AL713703_x_at	No	CNTNAP2	Sense (includes Intronic)	contactin associated protein-like 2 [Source:HGNC Symbol;Acc:13830]
ADXCRAG_AL713723_x_at	No	ACOT11	Sense (Fully Exonic)	acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:18156]
ADXCRAG_AL831872_at	No	KDM4B	Sense (includes Intronic)	lysine (K)-specific demethylase 4B [Source:HGNC Symbol;Acc:29136]
ADXCRAG_AL831977_x_at	No	N/A	Sense (Fully Exonic)	KNOWN lincRNA (Clone_based_ensembl_gene)
ADXCRAG_AL832006_x_at	No	TNNI1	Sense (Fully Exonic)	troponin I type 1 (skeletal_ slow) [Source:HGNC Symbol;Acc:11945]
ADXCRAG_AL832032_at	No	N/A	AntiSense	KNOWN lincRNA (Clone_based_ensembl_gene)
ADXCRAG_AL832032_x_at	No	N/A	AntiSense	KNOWN lincRNA (Clone_based_ensembl_gene)
ADXCRAG_AL832280_at	No	WDR1	Sense (includes Intronic)	WD repeat domain 1 [Source:HGNC Symbol;Acc:12754]
ADXCRAG_AL832364_at	No	RHBDD1	Sense (Fully Exonic)	rhomboid domain containing 1 [Source:HGNC Symbol;Acc:23081]
ADXCRAG_AL832400_x_at	No	N/A	Sense (includes Intronic)	NACHT_ LRR and PYD domains-containing protein 1 (Death effector filament-forming ced-4-like apoptosis protein)(Nucleotide-binding domain and caspase recruitment domain)(Caspase recruitment domain-containing protein 7) [Source:UniProtKB/Swiss-Prot;Acc:Q9C0
ADXCRAG_AL832579_at	No	FAM131B	Sense (Fully Exonic)	family with sequence similarity 131_ member B [Source:HGNC Symbol;Acc:22202]
ADXCRAG_AL832890_at	No	ZNF799	Sense (Fully Exonic)	zinc finger protein 799 [Source:HGNC Symbol;Acc:28071]
ADXCRAG_AL832998_x_at	No	CYP20A1	Sense (Fully Exonic)	cytochrome P450_ family 20_ subfamily A_ polypeptide 1 [Source:HGNC Symbol;Acc:20576]
ADXCRAG_AL833001_s_at	No	ELOVL5	Sense (includes Intronic)	ELOVL family member 5_ elongation of long chain fatty acids (FEN1/Elo2_ SUR4/Elo3-like_ yeast) [Source:HGNC Symbol;Acc:21308]
ADXCRAG_AL833068_x_at	No	MSI2	Sense (includes Intronic)	musashi homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:18585]
ADXCRAG_AL833186_at	No	SLC25A37	Sense (includes Intronic)	solute carrier family 25_ member 37 [Source:HGNC Symbol;Acc:29786]
ADXCRAG_AL833227_x_at	No	ABCA1	Sense (includes Intronic)	ATP-binding cassette_ sub-family A (ABC1)_ member 1 [Source:HGNC Symbol;Acc:29]
ADXCRAG_AL833237_s_at	No	RETSAT	Sense (Fully Exonic)	retinol saturase (all-trans-retinol 13_14-reductase) [Source:HGNC Symbol;Acc:25991]
ADXCRAG_AL833369_x_at	No	NOTCH2NL	Sense (Fully Exonic)	Notch homolog 2 (Drosophila) N-terminal like [Source:HGNC Symbol;Acc:31862]
ADXCRAG_AL833449_x_at	No	N/A	Sense (includes Intronic)	NOVEL processed_transcript (Clone_based_vega_gene)
ADXCRAG_AL833654_x_at	No	DNAL1	Sense (Fully Exonic)	dynein_ axonemal_ light chain 1 [Source:HGNC Symbol;Acc:23247]
ADXCRAG_AL834124_x_at	No	FBXO34	Sense (includes Intronic)	F-box protein 34 [Source:HGNC Symbol;Acc:20201]
ADXCRAG_AL834141_s_at	No	QSER1	Sense (Fully Exonic)	glutamine and serine rich 1 [Source:HGNC Symbol;Acc:26154]
ADXCRAG_AL834269_x_at	No		No Transcript match
ADXCRAG_AL834286_x_at	No	SYDE2	Sense (Fully Exonic)	synapse defective 1_ Rho GTPase_ homolog 2 (C. elegans) [Source:HGNC Symbol;Acc:25841]
ADXCRAG_AL834293_s_at	No	DENND1C	Sense (Fully Exonic)	DENN/MADD domain containing 1C [Source:HGNC Symbol;Acc:26225]
ADXCRAG_AL834295_s_at	No	C17orf53	Sense (Fully Exonic)	Uncharacterized protein C17orf53  [Source:UniProtKB/Swiss-Prot;Acc:Q8N3J3]
ADXCRAG_AL834302_s_at	No	RFX7	Sense (Fully Exonic)	regulatory factor X_ 7 [Source:HGNC Symbol;Acc:25777]
ADXCRAG_AL834432_x_at	No	CCNL2	Sense (Fully Exonic)	cyclin L2 [Source:HGNC Symbol;Acc:20570]
ADXCRAG_AL834441_s_at	No	CCNL2	Sense (Fully Exonic)	cyclin L2 [Source:HGNC Symbol;Acc:20570]
ADXCRAG_AL834442_x_at	No	NCOA7	Sense (Fully Exonic)	nuclear receptor coactivator 7 [Source:HGNC Symbol;Acc:21081]
ADXCRAG_AY032952_at	No	DAB2IP	Sense (Fully Exonic)	DAB2 interacting protein [Source:HGNC Symbol;Acc:17294]
ADXCRAG_AY044167_x_at	No	RPL27A	Sense (Fully Exonic)	ribosomal protein L27a [Source:HGNC Symbol;Acc:10329]
ADXCRAG_AY061886_s_at	No	UBR1	Sense (Fully Exonic)	ubiquitin protein ligase E3 component n-recognin 1 [Source:HGNC Symbol;Acc:16808]
ADXCRAG_AY064247_at	No	DHX32	AntiSense	DEAH (Asp-Glu-Ala-His) box polypeptide 32 [Source:HGNC Symbol;Acc:16717]
ADXCRAG_AY082894_at	No	MSH6	Sense (Fully Exonic)	mutS homolog 6 (E. coli) [Source:HGNC Symbol;Acc:7329]
ADXCRAG_AY145132_s_at	No	CUL9	Sense (Fully Exonic)	cullin 9 [Source:HGNC Symbol;Acc:15982]
ADXCRAG_AY149630_at	No	PPARG /// N/A	AntiSense /// AntiSense	peroxisome proliferator-activated receptor gamma [Source:HGNC Symbol;Acc:9236] /// KNOWN protein_coding (Clone_based_ensembl_gene)
ADXCRAG_AY203942_at	No	OBFC2B	Sense (Fully Exonic)	oligonucleotide/oligosaccharide-binding fold containing 2B [Source:HGNC Symbol;Acc:28412]
ADXCRAG_AY237126_s_at	No	TTLL5	Sense (Fully Exonic)	tubulin tyrosine ligase-like family_ member 5 [Source:HGNC Symbol;Acc:19963]
ADXCRAG_AY279109_s_at	No	PHF20L1	Sense (Fully Exonic)	PHD finger protein 20-like 1 [Source:HGNC Symbol;Acc:24280]
ADXCRAG_AY303955_x_at	No	BMP8B	Sense (Fully Exonic)	bone morphogenetic protein 8b [Source:HGNC Symbol;Acc:1075]
ADXCRAG_AY314975_s_at	No	MEG3	Sense (Fully Exonic)	maternally expressed 3 (non-protein coding) [Source:HGNC Symbol;Acc:14575]
ADXCRAG_AY324823_s_at	No	N/A	Sense (Fully Exonic)	Selenoprotein O (SelO) [Source:UniProtKB/Swiss-Prot;Acc:Q9BVL4]
ADXCRAG_AY338490_at	No	GSR	Sense (Fully Exonic)	glutathione reductase [Source:HGNC Symbol;Acc:4623]
ADXCRAG_AY338490_x_at	No	GSR	Sense (Fully Exonic)	glutathione reductase [Source:HGNC Symbol;Acc:4623]
ADXCRAG_AY358092_x_at	No	SUMF1	Sense (Fully Exonic)	sulfatase modifying factor 1 [Source:HGNC Symbol;Acc:20376]
ADXCRAG_AY358830_at	No	LRSAM1	Sense (Fully Exonic)	leucine rich repeat and sterile alpha motif containing 1 [Source:HGNC Symbol;Acc:25135]
ADXCRAG_AY358830_x_at	No	LRSAM1	Sense (Fully Exonic)	leucine rich repeat and sterile alpha motif containing 1 [Source:HGNC Symbol;Acc:25135]
ADXCRAG_AY461701_at	No	N/A	AntiSense	KNOWN pseudogene (Clone_based_vega_gene)
ADXCRAG_BC000192_s_at	No	DHFRP1	Sense (Fully Exonic)	dihydrofolate reductase pseudogene 1 [Source:HGNC Symbol;Acc:2862]
ADXCRAG_BC000309_s_at	No	SRM	Sense (Fully Exonic)	spermidine synthase [Source:HGNC Symbol;Acc:11296]
ADXCRAG_BC000531_at	No	IGF2 /// INS	Sense (Fully Exonic) /// Sense (Fully Exonic)	insulin-like growth factor 2 (somatomedin A) [Source:HGNC Symbol;Acc:5466] /// insulin [Source:HGNC Symbol;Acc:6081]
ADXCRAG_BC000669_s_at	No	SMOX	Sense (Fully Exonic)	spermine oxidase [Source:HGNC Symbol;Acc:15862]
ADXCRAG_BC000747_s_at	No	EXOSC2	Sense (Fully Exonic)	exosome component 2 [Source:HGNC Symbol;Acc:17097]
ADXCRAG_BC001329_at	No		Sense (Fully Exonic)	septin 8 [Source:HGNC Symbol;Acc:16511]
ADXCRAG_BC001533_at	No	F11R	Sense (Fully Exonic)	F11 receptor [Source:HGNC Symbol;Acc:14685]
ADXCRAG_BC001812_at	No	RELT	Sense (Fully Exonic)	RELT tumor necrosis factor receptor [Source:HGNC Symbol;Acc:13764]
ADXCRAG_BC001876_s_at	No	HSPA1B /// HSPA1A /// HSPA1A /// HSPA1B /// HSPA1B /// HSPA1A /// HSPA1B /// HSPA1A /// HSPA1B /// HSPA1A	Sense (Fully Exonic) /// Sense (Fully Exonic) /// Sense (Fully Exonic) /// Sense (Fully Exonic) /// Sense (Fully Exonic) /// Sense (Fully Exonic) /// Sense (Fully Exonic) /// Sense (Fully Exonic) /// Sense (Fully Exonic) /// Sense (Fully Exonic)	Heat shock 70 kDa protein 1A/1B (Heat shock 70 kDa protein 1/2)(HSP70.1/HSP70.2)(HSP70-1/HSP70-2) [Source:UniProtKB/Swiss-Prot;Acc:P08107] /// Putative uncharacterized protein ENSP00000392294Putative uncharacterized protein ENSP00000395868Putative uncharacterized protein ENSP00000406860Putative uncharacterized protein ENSP00000410381 ;;; [Source:UniProtKB/TrEMBL;Acc:C9IYE6] /// Heat shock 70 kDa protein 1A/1B (Heat shock 70 kDa protein 1/2)(HSP70.1/HSP70.2)(HSP70-1/HSP70-2) [Source:UniProtKB/Swiss-Prot;Acc:P08107] /// Heat shock 70 kDa protein 1A/1B (Heat shock 70 kDa protein 1/2)(HSP70.1/HSP70.2)(HSP70-1/HSP70-2) [Source:UniProtKB/Swiss-Prot;Acc:P08107] /// heat shock 70kDa protein 1B [Source:HGNC Symbol;Acc:5233] /// Heat shock 70 kDa protein 1A/1B (Heat shock 70 kDa protein 1/2)(HSP70.1/HSP70.2)(HSP70-1/HSP70-2) [Source:UniProtKB/Swiss-Prot;Acc:P08107] /// Heat shock 70 kDa protein 1A/1B (Heat shock 70 kDa protein 1/2)(HSP70.1/HSP70.2)(HSP70-1/HSP70-2) [Source:UniProtKB/Swiss-Prot;Acc:P08107] /// heat shock 70kDa protein 1A [Source:HGNC Symbol;Acc:5232] /// Heat shock 70 kDa protein 1A/1B (Heat shock 70 kDa protein 1/2)(HSP70.1/HSP70.2)(HSP70-1/HSP70-2) [Source:UniProtKB/Swiss-Prot;Acc:P08107] /// Heat shock 70 kDa protein 1A/1B (Heat shock 70 kDa protein 1/2)(HSP70.1/HSP70.2)(HSP70-1/HSP70-2) [Source:UniProtKB/Swiss-Prot;Acc:P08107]
ADXCRAG_BC002340_at	No	MLF2	Sense (Fully Exonic)	myeloid leukemia factor 2 [Source:HGNC Symbol;Acc:7126]
ADXCRAG_BC002617_at	No	GYS1	Sense (Fully Exonic)	glycogen synthase 1 (muscle) [Source:HGNC Symbol;Acc:4706]
ADXCRAG_BC002724_at	No	SNX5	Sense (Fully Exonic)	sorting nexin 5 [Source:HGNC Symbol;Acc:14969]
ADXCRAG_BC003169_s_at	No	N/A /// CAPN3	Sense (Fully Exonic) /// Sense (Fully Exonic)	calpain-3 isoform d  [Source:RefSeq peptide;Acc:NP_775111] /// calpain 3_ (p94) [Source:HGNC Symbol;Acc:1480]
ADXCRAG_BC003516_s_at	No	TBC1D17	Sense (Fully Exonic)	TBC1 domain family_ member 17 [Source:HGNC Symbol;Acc:25699]
ADXCRAG_BC003688_s_at	No	PTCD1	Sense (Fully Exonic)	pentatricopeptide repeat domain 1 [Source:HGNC Symbol;Acc:22198]
ADXCRAG_BC004975_at	No	CCNI	Sense (Fully Exonic)	cyclin I [Source:HGNC Symbol;Acc:1595]
ADXCRAG_BC005130_s_at	No	N/A	Sense (Fully Exonic)	HCG2042951cDNA_ FLJ92483 ; [Source:UniProtKB/TrEMBL;Acc:B2R5I2]
ADXCRAG_BC005226_s_at	No	WSB1	Sense (Fully Exonic)	WD repeat and SOCS box-containing 1 [Source:HGNC Symbol;Acc:19221]
ADXCRAG_BC005992_s_at	No	C1orf163	Sense (Fully Exonic)	Hcp beta-lactamase-like protein C1orf163  [Source:UniProtKB/Swiss-Prot;Acc:Q96BR5]
ADXCRAG_BC005995_x_at	No	GINS4	Sense (Fully Exonic)	GINS complex subunit 4 (Sld5 homolog) [Source:HGNC Symbol;Acc:28226]
ADXCRAG_BC006091_at	No	TSSC4	Sense (Fully Exonic)	tumor suppressing subtransferable candidate 4 [Source:HGNC Symbol;Acc:12386]
ADXCRAG_BC006319_at	No	HSPB7	Sense (Fully Exonic)	heat shock 27kDa protein family_ member 7 (cardiovascular) [Source:HGNC Symbol;Acc:5249]
ADXCRAG_BC006795_at	No	MDM2 /// N/A	Sense (Fully Exonic) /// Sense (Fully Exonic)	Mdm2 p53 binding protein homolog (mouse) [Source:HGNC Symbol;Acc:6973] /// cDNA_ FLJ92387  [Source:UniProtKB/TrEMBL;Acc:B2R594]
ADXCRAG_BC007277_s_at	No	HVCN1	Sense (Fully Exonic)	hydrogen voltage-gated channel 1 [Source:HGNC Symbol;Acc:28240]
ADXCRAG_BC007282_at	No	MANF /// N/A	Sense (Fully Exonic) /// Sense (Fully Exonic)	mesencephalic astrocyte-derived neurotrophic factor [Source:HGNC Symbol;Acc:15461] /// Mesencephalic astrocyte-derived neurotrophic factor Precursor (Protein ARMET)(Arginine-rich protein) [Source:UniProtKB/Swiss-Prot;Acc:P55145]
ADXCRAG_BC007415_at	No	AGBL5	Sense (Fully Exonic)	ATP/GTP binding protein-like 5 [Source:HGNC Symbol;Acc:26147]
ADXCRAG_BC007433_at	No	TPM1	Sense (Fully Exonic)	tropomyosin 1 (alpha) [Source:HGNC Symbol;Acc:12010]
ADXCRAG_BC007634_s_at	No	N/A /// LRCH4	Sense (Fully Exonic) /// Sense (Fully Exonic)	Histone deacetylase complex subunit SAP25 (25 kDa Sin3-associated polypeptide)(Sin3 corepressor complex subunit SAP25) [Source:UniProtKB/Swiss-Prot;Acc:Q8TEE9] /// leucine-rich repeats and calponin homology (CH) domain containing 4 [Source:HGNC Symbol;Acc:6691]
ADXCRAG_BC007866_at	No	JMJD1C	AntiSense	jumonji domain containing 1C [Source:HGNC Symbol;Acc:12313]
ADXCRAG_BC007903_s_at	No	EPHB2	Sense (Fully Exonic)	EPH receptor B2 [Source:HGNC Symbol;Acc:3393]
ADXCRAG_BC008180_s_at	No	METTL7A	Sense (Fully Exonic)	methyltransferase like 7A [Source:HGNC Symbol;Acc:24550]
ADXCRAG_BC008292_x_at	No	F2 /// TMCC1 /// RLN3	Sense (includes Intronic) /// Sense (includes Intronic) /// Sense (includes Intronic)	coagulation factor II (thrombin) [Source:HGNC Symbol;Acc:3535] /// transmembrane and coiled-coil domain family 1 [Source:HGNC Symbol;Acc:29116] /// relaxin 3 [Source:HGNC Symbol;Acc:17135]
ADXCRAG_BC008325_s_at	No	SPNS1	Sense (Fully Exonic)	spinster homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:30621]
ADXCRAG_BC008751_x_at	No	CAPN1	Sense (Fully Exonic)	calpain 1_ (mu/I) large subunit [Source:HGNC Symbol;Acc:1476]
ADXCRAG_BC008769_s_at	No	CCDC120	Sense (Fully Exonic)	coiled-coil domain containing 120 [Source:HGNC Symbol;Acc:28910]
ADXCRAG_BC009441_at	No	NCAPH2	Sense (Fully Exonic)	non-SMC condensin II complex_ subunit H2 [Source:HGNC Symbol;Acc:25071]
ADXCRAG_BC009700_x_at	No	RRBP1	Sense (Fully Exonic)	ribosome binding protein 1 homolog 180kDa (dog) [Source:HGNC Symbol;Acc:10448]
ADXCRAG_BC010434_s_at	No	SPTB	Sense (Fully Exonic)	spectrin_ beta_ erythrocytic [Source:HGNC Symbol;Acc:11274]
ADXCRAG_BC010879_x_at	No	LLGL2	Sense (Fully Exonic)	lethal giant larvae homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:6629]
ADXCRAG_BC011895_s_at	No	COQ4	Sense (Fully Exonic)	coenzyme Q4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:19693]
ADXCRAG_BC012576_s_at	No	BAZ2B	Sense (Fully Exonic)	bromodomain adjacent to zinc finger domain_ 2B [Source:HGNC Symbol;Acc:963]
ADXCRAG_BC012740_s_at	No	DAG1	Sense (Fully Exonic)	dystroglycan 1 (dystrophin-associated glycoprotein 1) [Source:HGNC Symbol;Acc:2666]
ADXCRAG_BC013229_at	No	B3GNT5	Sense (Fully Exonic)	UDP-GlcNAc:betaGal beta-1_3-N-acetylglucosaminyltransferase 5 [Source:HGNC Symbol;Acc:15684]
ADXCRAG_BC013368_at	No	PRKAR1B	Sense (Fully Exonic)	protein kinase_ cAMP-dependent_ regulatory_ type I_ beta [Source:HGNC Symbol;Acc:9390]
ADXCRAG_BC013611_x_at	No	SLC31A1	Sense (Fully Exonic)	solute carrier family 31 (copper transporters)_ member 1 [Source:HGNC Symbol;Acc:11016]
ADXCRAG_BC013752_s_at	No	TRIM25	Sense (Fully Exonic)	tripartite motif-containing 25 [Source:HGNC Symbol;Acc:12932]
ADXCRAG_BC013910_s_at	No	DEDD	Sense (Fully Exonic)	death effector domain containing [Source:HGNC Symbol;Acc:2755]
ADXCRAG_BC014267_s_at	No	CTCF	Sense (Fully Exonic)	CCCTC-binding factor (zinc finger protein) [Source:HGNC Symbol;Acc:13723]
ADXCRAG_BC014268_at	No	ZC3H11A	Sense (Fully Exonic)	zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:29093]
ADXCRAG_BC014268_x_at	No	ZC3H11A	Sense (Fully Exonic)	zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:29093]
ADXCRAG_BC014382_x_at	No		No Transcript match
ADXCRAG_BC014674_x_at	No	N/A /// ABHD12B	Sense (includes Intronic) /// Sense (includes Intronic)	KNOWN lincRNA (Clone_based_ensembl_gene) /// abhydrolase domain containing 12B [Source:HGNC Symbol;Acc:19837]
ADXCRAG_BC014981_x_at	No	GDE1	Sense (Fully Exonic)	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]
ADXCRAG_BC015367_at	No	FOXO3	Sense (Fully Exonic)	forkhead box O3 [Source:HGNC Symbol;Acc:3821]
ADXCRAG_BC017046_s_at	No	ANXA6	Sense (Fully Exonic)	annexin A6 [Source:HGNC Symbol;Acc:544]
ADXCRAG_BC019029_s_at	No	COBRA1	Sense (Fully Exonic)	cofactor of BRCA1 [Source:HGNC Symbol;Acc:24324]
ADXCRAG_BC019258_x_at	No	IGF2BP3	Sense (Fully Exonic)	insulin-like growth factor 2 mRNA binding protein 3 [Source:HGNC Symbol;Acc:28868]
ADXCRAG_BC020788_x_at	No	NUMB	Sense (includes Intronic)	numb homolog (Drosophila) [Source:HGNC Symbol;Acc:8060]
ADXCRAG_BC020822_x_at	No	PYHIN1	Sense (Fully Exonic)	pyrin and HIN domain family_ member 1 [Source:HGNC Symbol;Acc:28894]
ADXCRAG_BC021215_s_at	No	C5orf22	Sense (Fully Exonic)	UPF0489 protein C5orf22  [Source:UniProtKB/Swiss-Prot;Acc:Q49AR2]
ADXCRAG_BC021570_at	No	ZNRF3	Sense (Fully Exonic)	zinc and ring finger 3 [Source:HGNC Symbol;Acc:18126]
ADXCRAG_BC021857_s_at	No	PPM1F /// TOP3B	Sense (includes Intronic) /// Sense (includes Intronic)	protein phosphatase_ Mg2+/Mn2+ dependent_ 1F [Source:HGNC Symbol;Acc:19388] /// topoisomerase (DNA) III beta [Source:HGNC Symbol;Acc:11993]
ADXCRAG_BC021862_s_at	No	SMARCC1	Sense (Fully Exonic)	SWI/SNF related_ matrix associated_ actin dependent regulator of chromatin_ subfamily c_ member 1 [Source:HGNC Symbol;Acc:11104]
ADXCRAG_BC022026_s_at	No	ATE1	Sense (Fully Exonic)	arginyltransferase 1 [Source:HGNC Symbol;Acc:782]
ADXCRAG_BC022091_s_at	No	SFXN2	Sense (Fully Exonic)	sideroflexin 2 [Source:HGNC Symbol;Acc:16086]
ADXCRAG_BC022408_s_at	No	EXOC4	Sense (includes Intronic)	exocyst complex component 4 [Source:HGNC Symbol;Acc:30389]
ADXCRAG_BC023247_x_at	No	TOR1AIP1	Sense (Fully Exonic)	torsin A interacting protein 1 [Source:HGNC Symbol;Acc:29456]
