Curated Gene Symbol	Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	Sex-bias	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)	Composite array score
DDX21	A_24_P146603	chr10:70742859-70742918	DDX21	NM_004728	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|ATP-dependent RNA helicase activity|TAS|GO:0004004|GOA|8614622//molecular function|RNA binding|IEA|GO:0003723|GOA|na//molecular function|helicase activity|IEA|GO:0004386|GOA|na//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17353931//cellular component|nucleolus|IEA|GO:0005730|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	1.1736	1.1736	3.68E-14	4880.2114	5726.083	13
LEPROT	A_24_P148094	chr1:65897532-65897591	LEPROT	NM_017526	Leptin receptor overlapping transcript	molecular function|molecular_function|ND|GO:0003674|GOA|9207021//biological process|biological_process|ND|GO:0008150|GOA|9207021//cellular component|integral to plasma membrane|NAS|GO:0005887|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.8036	-1.2444	9.53E-10	1273.3436	1020.7698	13
LSG1	A_24_P148657	chr3:194371610-194371661	LSG1	NM_018385	Large subunit GTPase 1 homolog (S. cerevisiae)	molecular function|GTP binding|IDA|GO:0005525|GOA|16209721//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//biological process|nuclear export|IDA|GO:0051168|GOA|16209721//biological process|protein transport|IEA|GO:0015031|GOA|na//cellular component|Cajal body|IDA|GO:0015030|GOA|16209721//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|endoplasmic reticulum|IDA|GO:0005783|GOA|ARRAY(0x1a5f2c8)//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.829	-1.2063	3.35E-12	563.5265	466.3784	13
MAB21L2	A_24_P148907	chr4:151504991-151505050	MAB21L2	NM_006439	Mab-21-like 2 (C. elegans)	biological process|camera-type eye development|IEA|GO:0043010|GOA|na//biological process|embryonic body morphogenesis|IEA|GO:0010172|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|nervous system development|TAS|GO:0007399|GOA|10556287//biological process|positive regulation of cell proliferation|IEA|GO:0008284|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.6516	-1.5347	1.19E-08	239.3204	153.3544	12
MLLT1	A_24_P151295	chr19:6213092-6213151	MLLT1	NM_005934	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1	molecular function|DNA binding|TAS|GO:0003677|GOA|7991593//molecular function|RNA polymerase II transcription factor activity|TAS|GO:0003702|GOA|8080983//molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|negative regulation of protein kinase activity|IEA|GO:0006469|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|8080983//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	1.2024	1.2024	0.000077109	70.3852	86.3213	12
SHPRH	A_24_P153576	chr6:146266601-146266660	SHPRH	NM_173082	SNF2 histone linker PHD RING helicase	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|helicase activity|IEA|GO:0004386|GOA|na//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|ligase activity|IEA|GO:0016874|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|DNA repair|IEA|GO:0006281|GOA|na//biological process|nucleosome assembly|IEA|GO:0006334|GOA|na//cellular component|nucleosome|IEA|GO:0000786|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.7493	-1.3345	0.0006	270.0897	194.195	13
AKAP13	A_24_P155761	chr15:86266337-86266396	AKAP13	NM_144767	A kinase (PRKA) anchor protein 13	molecular function|Rho guanyl-nucleotide exchange factor activity|IEA|GO:0005089|GOA|na//molecular function|cAMP-dependent protein kinase activity|NAS|GO:0004691|GOA|1618839//molecular function|guanyl-nucleotide exchange factor activity|EXP|GO:0005085|GOA|11756498//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xb41040)//molecular function|signal transducer activity|TAS|GO:0004871|GOA|8290273//biological process|apoptosis|EXP|GO:0006915|GOA|12376548//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|induction of apoptosis by extracellular signals|EXP|GO:0008624|GOA|12787561//biological process|intracellular signaling cascade|IEA|GO:0007242|GOA|na//biological process|regulation of Rho protein signal transduction|IEA|GO:0035023|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|11756498//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|membrane fraction|TAS|GO:0005624|GOA|9891067//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.7142	-1.4001	8.51E-08	154.6622	108.6191	13
SLC7A6	A_24_P159312	chr16:68334665-68334724	SLC7A6	NM_003983	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	molecular function|amino acid transmembrane transporter activity|IEA|GO:0015171|GOA|na//molecular function|antiporter activity|IEA|GO:0015297|GOA|na//biological process|amino acid transport|EXP|GO:0006865|GOA|18195088//biological process|cellular amino acid metabolic process|TAS|GO:0006520|GOA|9829974//biological process|protein complex assembly|TAS|GO:0006461|GOA|9829974//biological process|transmembrane transport|IEA|GO:0055085|GOA|na//biological process|transport|TAS|GO:0006810|GOA|9829974//cellular component|basolateral plasma membrane|IEA|GO:0016323|GOA|na//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|9829974//cellular component|plasma membrane|EXP|GO:0005886|GOA|ARRAY(0x42b4870)	M	1.1507	1.1507	0.0007	49.8185	57.8365	12
	A_24_P161293	chr1:146421699-146421758		CR936830	CDNA FLJ56850 complete cds		F	0.7745	-1.2911	2.77E-09	6170.2812	4753.1074	13
	A_24_P162145	chr1:94626878-94626937		AK074181	FLJ00254 protein		M	1.2328	1.2328	0.0002	45.9806	56.8586	13
	A_24_P169892	chr2:109127122-109127181		AK095987			M	1.2127	1.2127	0.002	193.2847	234.41	12
	A_24_P170136	chr6_cox_hap2:4504108-4504167					M	1.1681	1.1681	0.0001	397.0133	465.4993	12
ARID5B	A_24_P170667	chr10:63817046-63817077	ARID5B	NM_032199	AT rich interactive domain 5B (MRF1-like)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|transcription repressor activity|TAS|GO:0016564|GOA|15640446//biological process|face morphogenesis|IEA|GO:0060325|GOA|na//biological process|fibroblast migration|IEA|GO:0010761|GOA|na//biological process|kidney development|IEA|GO:0001822|GOA|na//biological process|multicellular organism growth|IEA|GO:0035264|GOA|na//biological process|muscle organ morphogenesis|IEA|GO:0048644|GOA|na//biological process|negative regulation of transcription, DNA-dependent|TAS|GO:0045892|GOA|15640446//biological process|nitrogen compound metabolic process|IEA|GO:0006807|GOA|na//biological process|palate development|IEA|GO:0060021|GOA|na//biological process|platelet-derived growth factor receptor signaling pathway|IEA|GO:0048008|GOA|na//biological process|post-embryonic development|IEA|GO:0009791|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|skeletal system morphogenesis|IEA|GO:0048705|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.7851	-1.2738	9.45E-06	1064.2289	831.216	12
MED13	A_24_P17077	chr17:60088216-60088275	MED13	NM_005121	Mediator complex subunit 13	molecular function|RNA polymerase II transcription mediator activity|IDA|GO:0016455|GOA|10198638//molecular function|ligand-dependent nuclear receptor transcription coactivator activity|NAS|GO:0030374|GOA|10235266//molecular function|receptor activity|IDA|GO:0004872|GOA|12218053//molecular function|thyroid hormone receptor binding|IDA|GO:0046966|GOA|10198638//molecular function|transcription activator activity|IDA|GO:0016563|GOA|10198638//molecular function|transcription coactivator activity|IDA|GO:0003713|GOA|12037571//molecular function|transcription cofactor activity|IDA|GO:0003712|GOA|12218053//molecular function|vitamin D receptor binding|NAS|GO:0042809|GOA|10235266//biological process|androgen receptor signaling pathway|IDA|GO:0030521|GOA|12218053//biological process|positive regulation of transcription from RNA polymerase II promoter|IDA|GO:0045944|GOA|12037571//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|steroid hormone receptor signaling pathway|IDA|GO:0030518|GOA|11867769//biological process|transcription initiation from RNA polymerase II promoter|IDA|GO:0006367|GOA|12218053//cellular component|mediator complex|IDA|GO:0016592|GOA|ARRAY(0x2e9ec98)//cellular component|nucleus|IDA|GO:0005634|GOA|10235267	F	0.8598	-1.163	1.16E-15	232.8926	199.9525	12
C1orf21	A_24_P173754	chr1:184567549-184567596	C1orf21	NM_030806	Chromosome 1 open reading frame 21		F	0.8623	-1.1597	0.000010057	2370.554	2045.6432	13
	A_24_P174775	chr5:43706388-43706447					F	0.8059	-1.2408	4.35E-19	245.6061	198.0468	12
	A_24_P177553	chr11:122928632-122928691					M	1.1824	1.1824	0.0016	243.4407	287.8045	13
	A_24_P178631	chr7_gl000195_random:149349-149408		AK027667			F	0.8557	-1.1687	0.0004	433.3966	371.2836	12
SNX9	A_24_P179044	chr6:158330798-158330974	SNX9	NM_016224	Sorting nexin 9	molecular function|phosphoinositide binding|IEA|GO:0035091|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1b9bef0)//biological process|cell communication|IEA|GO:0007154|GOA|na//biological process|intracellular protein transport|IEA|GO:0006886|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|microsome|IEA|GO:0005792|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|soluble fraction|IEA|GO:0005625|GOA|na	F	0.857	-1.1669	1.11E-06	922.0671	786.0572	13
IGLV6-57	A_24_P179107	chr22:22550629-22550672	IGLV6-57	AF462681	Immunoglobulin lambda variable 6-57		F	0.831	-1.2033	1.08E-06	110.9656	91.7312	13
TRIL	A_24_P183664	chr7:28993031-28993090	TRIL	NM_014817	TLR4 interactor with leucine rich repeats	molecular function|protein binding|IEA|GO:0005515|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.8318	-1.2023	3.41E-06	163.1425	134.9928	12
IMPA1	A_24_P183864	chr8:82570418-82570477	IMPA1	NM_005536	Inositol(myo)-1(or 4)-monophosphatase 1	molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|identical protein binding|IPI|GO:0042802|GOA|19447967//molecular function|inositol-1(or 4)-monophosphatase activity|IDA|GO:0008934|GOA|17068342//molecular function|inositol-1(or 4)-monophosphatase activity|IMP|GO:0008934|GOA|1377913//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein homodimerization activity|IPI|GO:0042803|GOA|17068342//biological process|inositol phosphate dephosphorylation|IDA|GO:0046855|GOA|17068342//biological process|phosphate metabolic process|IMP|GO:0006796|GOA|1377913//biological process|phosphatidylinositol biosynthetic process|IMP|GO:0006661|GOA|1377913//biological process|response to lithium ion|IEA|GO:0010226|GOA|na//biological process|signal transduction|IMP|GO:0007165|GOA|1377913//cellular component|cytoplasm|IDA|GO:0005737|GOA|ARRAY(0x19e6ba0)	F	0.8515	-1.1744	9.98E-09	10873.2881	9230.3008	12
MMP19	A_24_P184445	chr12:56229422-56229481	MMP19	NM_002429	Matrix metallopeptidase 19	molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|metalloendopeptidase activity|IEA|GO:0004222|GOA|na//molecular function|peptidase activity|IEA|GO:0008233|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|angiogenesis|IEA|GO:0001525|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|collagen catabolic process|IEA|GO:0030574|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|proteolysis|NAS|GO:0006508|GOA|9020145//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|proteinaceous extracellular matrix|NAS|GO:0005578|GOA|10809722	M	1.1837	1.1837	4.65E-12	1881.7357	2219.0095	13
COCH	A_24_P184799	chr14:31358977-31359036	COCH	NM_004086	Coagulation factor C homolog, cochlin (Limulus polyphemus)	biological process|sensory perception of sound|IEA|GO:0007605|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|proteinaceous extracellular matrix|IEA|GO:0005578|GOA|na	F	0.8157	-1.2259	0.000046676	54.9462	45.0395	12
GTF2IRD2	A_24_P186497	chr7:74539148-74539207	GTF2IRD2	AY336979	GTF2I repeat domain containing 2	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.8025	-1.2461	0.000070852	143.2506	115.0208	13
LRRN3	A_24_P187766	chr7:110763419-110763478	LRRN3	NM_018334	Leucine rich repeat neuronal 3	molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|activation of MAPK activity|IEA|GO:0000187|GOA|na//biological process|endocytosis|IEA|GO:0006897|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.8249	-1.2123	0.0015	33.2975	27.3235	12
SVEP1	A_24_P187774	chr9:113238414-113238473	SVEP1	BC030816	Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|chromatin binding|IEA|GO:0003682|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|cell adhesion|IEA|GO:0007155|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.8688	-1.151	0.0028	67.8726	59.0899	12
PALMD	A_24_P188231	chr1:100127907-100127955	PALMD	NM_017734	Palmdelphin	biological process|regulation of cell shape|IEA|GO:0008360|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.8465	-1.1813	1.53E-08	987.04	835.0536	12
	A_24_P188975	chr5:111755994-111756053	FLJ11235	NR_027706			M	1.1641	1.1641	1.18E-06	1194.7167	1386.569	12
CRCT1	A_24_P191047	chr1:152488026-152488085	CRCT1	NM_019060	Cysteine-rich C-terminal 1	molecular function|protein binding|IEA|GO:0005515|GOA|na	F	0.6947	-1.4395	0.0002	199.2913	138.4519	12
GOLIM4	A_24_P191664	chr3:167727934-167727993	GOLIM4	NM_014498	Golgi integral membrane protein 4	biological process|transport|IEA|GO:0006810|GOA|na//cellular component|Golgi apparatus|IDA|GO:0005794|GOA|18029348//cellular component|Golgi cisterna membrane|IEA|GO:0032580|GOA|na//cellular component|Golgi lumen|TAS|GO:0005796|GOA|9201717//cellular component|cis-Golgi network|TAS|GO:0005801|GOA|9201717//cellular component|endocytic vesicle|TAS|GO:0030139|GOA|9201717//cellular component|endosome|IEA|GO:0005768|GOA|na//cellular component|endosome membrane|IEA|GO:0010008|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	F	0.7871	-1.2706	4.30E-07	1344.0099	1050.1985	13
AURKAPS1	A_24_P195454	chr1:220440200-220440264	AURKAPS1	NR_001587			M	1.2885	1.2885	5.16E-07	168.2166	220.247	13
IFNLR1	A_24_P19677	chr1:24495991-24496050	IL28RA	NM_173065	Interleukin 28 receptor, alpha (interferon, lambda receptor)	molecular function|cytokine receptor activity|NAS|GO:0004896|GOA|12483210//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x4303fe0)//molecular function|receptor activity|IEA|GO:0004872|GOA|na//biological process|blood coagulation|IEA|GO:0007596|GOA|na//biological process|negative regulation of cell proliferation|NAS|GO:0008285|GOA|12469119//biological process|regulation of defense response to virus by host|IDA|GO:0050691|GOA|12469119//cellular component|integral to membrane|NAS|GO:0016021|GOA|12483210//cellular component|interleukin-28 receptor complex|IDA|GO:0032002|GOA|12469119//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.8454	-1.1828	0.0045	68.2309	58.778	12
VANGL1	A_24_P199655	chr1:116233919-116233978	VANGL1	NM_138959	Vang-like 1 (van gogh, Drosophila)	molecular function|protein binding|IPI|GO:0005515|GOA|15205336//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.8603	-1.1623	0.0004	678.4806	581.0427	13
SLC45A3	A_24_P208345	chr1:205627037-205627096	SLC45A3	NM_033102	Solute carrier family 45, member 3	biological process|transmembrane transport|IEA|GO:0055085|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.8569	-1.167	0.0005	1936.6963	1614.7888	13
BBS5	A_24_P208452	chr2:170363065-170363124	BBS5	NM_152384	Bardet-Biedl syndrome 5	molecular function|phosphatidylinositol-3-phosphate binding|IDA|GO:0032266|GOA|17574030//biological process|cilium assembly|IMP|GO:0042384|GOA|17574030//biological process|flagellum assembly|ISS|GO:0009296|GOA|na//biological process|heart looping|ISS|GO:0001947|GOA|na//biological process|melanosome transport|ISS|GO:0032402|GOA|na//biological process|response to stimulus|IEA|GO:0050896|GOA|na//biological process|visual perception|IEA|GO:0007601|GOA|na//cellular component|BBSome|IDA|GO:0034464|GOA|17574030//cellular component|cilium|IEA|GO:0005929|GOA|na//cellular component|cilium membrane|IEA|GO:0060170|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|intracellular|IDA|GO:0005622|GOA|11256614//cellular component|microtubule basal body|ISS|GO:0005932|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	M	1.1787	1.1787	8.97E-07	303.8954	359.8451	13
GHRLOS	A_24_P208737	chr3:10334228-10334287	GHRLOS	NR_024146			F	0.8667	-1.1538	0.0003	70.644	61.1391	13
FADS6	A_24_P211842	chr17:72874538-72874597	FADS6	NM_178128	Fatty acid desaturase domain family, member 6	molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//biological process|fatty acid biosynthetic process|IEA|GO:0006633|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.7892	-1.2672	3.14E-06	66.5712	52.2312	13
	A_24_P211894	chr3:197785543-197785602	LOC348840	NR_003291			F	0.7274	-1.3748	0.0043	61.1655	43.426	13
PIEZO2	A_24_P212297	chr18:10807238-10855375	FAM38B	NM_022068	Family with sequence similarity 38, member B	cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.7117	-1.4052	0.000039643	11.4954	8.1177	12
	A_24_P213715	chr22:50172672-50172731	LOC90834	NR_026993			F	0.68	-1.4705	8.51E-06	32.6998	22.0196	13
PPM1F	A_24_P213763	chr22:22279679-22279738	PPM1F	CR625942	Protein phosphatase, Mg2+/Mn2+ dependent, 1F	molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein serine/threonine phosphatase activity|IEA|GO:0004722|GOA|na//biological process|apoptosis|IEA|GO:0006915|GOA|na//biological process|protein amino acid dephosphorylation|IEA|GO:0006470|GOA|na//cellular component|protein serine/threonine phosphatase complex|IEA|GO:0008287|GOA|na	F	0.8191	-1.2208	0.000033721	59.4956	48.7191	12
DLGAP4	A_24_P216253	chr20:35155492-35155551	DLGAP4	NM_183006	Discs, large (Drosophila) homolog-associated protein 4	molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x19bf3b8)//molecular function|protein domain specific binding|IEA|GO:0019904|GOA|na//biological process|cell-cell signaling|IEA|GO:0007267|GOA|na//cellular component|membrane fraction|IEA|GO:0005624|GOA|na//cellular component|postsynaptic membrane|IEA|GO:0045211|GOA|na//cellular component|synapse|IEA|GO:0045202|GOA|na	F	0.7271	-1.3754	0.0002	814.8903	591.4197	13
KIAA1704	A_24_P219053	chr13:45605831-45605890	KIAA1704	CR591776	KIAA1704		F	0.8509	-1.1752	7.51E-07	344.1771	292.4777	13
RUFY3	A_24_P221575	chr5:105752153-105752213	RUFY3	CR598922	RUN and FYVE domain containing 3	biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|negative regulation of axonogenesis|ISS|GO:0050771|GOA|na//biological process|nervous system development|IEA|GO:0007399|GOA|na//cellular component|filopodium|ISS|GO:0030175|GOA|na//cellular component|growth cone|ISS|GO:0030426|GOA|na	F	0.8386	-1.1925	0.000022537	162.0666	134.9261	13
DICER1	A_24_P22163	chr14:95557432-95557584	DICER1	NM_177438	Dicer 1, ribonuclease type III	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|ATP-dependent helicase activity|IEA|GO:0008026|GOA|na//molecular function|double-stranded RNA binding|IDA|GO:0003725|GOA|12411504//molecular function|endonuclease activity|IEA|GO:0004519|GOA|na//molecular function|helicase activity|IEA|GO:0004386|GOA|na//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x493f0e8)//molecular function|ribonuclease III activity|IDA|GO:0004525|GOA|na//biological process|RNA processing|IEA|GO:0006396|GOA|na//biological process|angiogenesis|IEA|GO:0001525|GOA|na//biological process|branching morphogenesis of a tube|IEA|GO:0048754|GOA|na//biological process|embryonic hindlimb morphogenesis|IEA|GO:0035116|GOA|na//biological process|gene silencing by RNA|IEA|GO:0031047|GOA|na//biological process|lung development|IEA|GO:0030324|GOA|na//biological process|pre-microRNA processing|IDA|GO:0031054|GOA|15973356//biological process|production of siRNA involved in RNA interference|IDA|GO:0030422|GOA|ARRAY(0x2f59e60)//biological process|stem cell maintenance|IEA|GO:0019827|GOA|na//biological process|targeting of mRNA for destruction involved in RNA interference|IMP|GO:0030423|GOA|ARRAY(0x2e917a4)//cellular component|RNA-induced silencing complex|IDA|GO:0016442|GOA|15973356//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na	F	0.8459	-1.1822	5.55E-06	1389.2041	1171.1047	12
N4BP2	A_24_P222114	chr4:40121627-40121686	N4BP2	NM_018177	NEDD4 binding protein 2	molecular function|ATP binding|IDA|GO:0005524|GOA|12730195//molecular function|ATP-dependent polydeoxyribonucleotide 5-hydroxyl-kinase activity|IDA|GO:0046404|GOA|12730195//molecular function|endonuclease activity|IDA|GO:0004519|GOA|12730195//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|12730195//cellular component|cytoplasm|IEA|GO:0005737|GOA|na	F	0.8136	-1.2291	0.0019	522.0565	433.0097	13
	A_24_P237757	chr13:20593755-20593814		EU831724			F	0.7428	-1.3463	6.17E-16	129.0256	96.1735	13
	A_24_P238046	chr16:16470201-16470260	LOC399491	AK023376	GPS, PLAT and transmembrane domain-containing protein	biological process|neuropeptide signaling pathway|IEA|GO:0007218|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.8647	-1.1565	0.001	152.0818	131.961	12
ZNF37A	A_24_P239668	chr10:38407891-38407950	ZNF37A	NM_003421	Zinc finger protein 37A	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|transcription factor activity|NAS|GO:0003700|GOA|8464732//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|8464732//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|8464732	F	0.8512	-1.1749	0.000038614	173.257	147.2801	13
VCX3A	A_24_P23979	chrX:8434180-8434239	VCX3A	NM_016379	Variable charge, X-linked 3A	biological process|brain development|IMP|GO:0007420|GOA|10903929//biological process|nervous system development|IEP|GO:0007399|GOA|10903929//biological process|spermatogenesis|ISS|GO:0007283|GOA|na//cellular component|nucleolus|ISS|GO:0005730|GOA|na//cellular component|nucleus|ISS|GO:0005634|GOA|na	F	0.8107	-1.2335	2.52E-08	53.6288	43.552	12
ZNF160	A_24_P241792	chr19:53569901-53569960	ZNF160	NM_198893	Zinc finger protein 160	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|hemopoiesis|NAS|GO:0030097|GOA|11410164//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|na	M	1.1607	1.1607	7.81E-09	991.0306	1147.0664	13
PDK4	A_24_P243749	chr7:95213307-95213366	PDK4	NM_002612	Pyruvate dehydrogenase kinase, isozyme 4	molecular function|ATP binding|IDA|GO:0005524|GOA|18658136//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein kinase activity|IDA|GO:0004672|GOA|18658136//molecular function|pyruvate dehydrogenase (acetyl-transferring) kinase activity|IEA|GO:0004740|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|two-component sensor activity|IEA|GO:0000155|GOA|na//biological process|carbohydrate metabolic process|IEA|GO:0005975|GOA|na//biological process|glucose metabolic process|IEA|GO:0006006|GOA|na//biological process|peptidyl-histidine phosphorylation|IEA|GO:0018106|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|mitochondrial inner membrane|IEA|GO:0005743|GOA|na//cellular component|mitochondrial matrix|IEA|GO:0005759|GOA|na//cellular component|mitochondrion|IEA|GO:0005739|GOA|na	F	0.8156	-1.2261	9.51E-08	59870.5938	48833.9414	12
VCX	A_24_P245976	chrX:7811756-7811815	VCX	NM_013452	Variable charge, X-linked	molecular function|chromatin binding|TAS|GO:0003682|GOA|12862317//biological process|chromatin organization|TAS|GO:0006325|GOA|12862317//biological process|ribosome assembly|NAS|GO:0042255|GOA|12862317//biological process|spermatogenesis|IEP|GO:0007283|GOA|12862317//cellular component|nucleolus|IDA|GO:0005730|GOA|12862317//cellular component|nucleus|IDA|GO:0005634|GOA|12862317	F	0.818	-1.2224	0.000049838	37.4759	30.6087	13
