Accession No.	Gene Symbol	Exon.ID	P.Value	adj.P.Val	Transcript.ID	gene_assignment
NM_015025	MYT1L	2467022	0.007198217	0.884568487	2466822	NM_015025 // MYT1L // myelin transcription factor 1-like // 2p25.3 // 23040 /// ENST00000399161 // MYT1L // myelin transcription factor 1-like // 2p25.3 // 23040 /// AF036943 // MYT1L // myelin transcription factor 1-like // 2p25.3 // 23040 /// ENST00000295067 // MYT1L // myelin transcription factor 1-like // 2p25.3 // 23040
NM_000794	DRD1	2888013	0.007199556	0.884568487	2888010	NM_000794 // DRD1 // dopamine receptor D1 // 5q35.1 // 1812 /// ENST00000393752 // DRD1 // dopamine receptor D1 // 5q35.1 // 1812 /// ENST00000329144 // DRD1 // dopamine receptor D1 // 5q35.1 // 1812 /// BC074979 // DRD1 // dopamine receptor D1 // 5q35.1 // 1812
NM_014738	KIAA0195	3734834	0.007211897	0.884663961	3734797	NM_014738 // KIAA0195 // KIAA0195 // 17q25.1 // 9772 /// ENST00000314256 // KIAA0195 // KIAA0195 // 17q25.1 // 9772 /// BC042942 // KIAA0195 // KIAA0195 // 17q25.1 // 9772 /// ENST00000375248 // KIAA0195 // KIAA0195 // 17q25.1 // 9772
NM_201555	FHL2	2568745	0.007213531	0.884663961	2568687	NM_201555 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// NM_001450 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// NM_201557 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// NM_001039492 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// ENST00000393352 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// ENST00000322142 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// ENST00000344213 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// ENST00000358129 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// BC012742 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// ENST00000393353 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// ENST00000336660 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274
NM_181342	FKBP7	2589273	0.007220712	0.884663961	2589255	NM_181342 // FKBP7 // FK506 binding protein 7 // 2q31.2 // 51661 /// ENST00000350591 // FKBP7 // FK506 binding protein 7 // 2q31.2 // 51661 /// AK292145 // FKBP7 // FK506 binding protein 7 // 2q31.2 // 51661 /// ENST00000233092 // FKBP7 // FK506 binding protein 7 // 2q31.2 // 51661
NM_006891	CRYGD	2596949	0.007221246	0.884663961	2596948	NM_006891 // CRYGD // crystallin, gamma D // 2q33-q35 // 1421 /// ENST00000264376 // CRYGD // crystallin, gamma D // 2q33-q35 // 1421 /// BC117338 // CRYGD // crystallin, gamma D // 2q33-q35 // 1421
NM_178134	CYP4Z1	2335016	0.007229773	0.884663961	2335014	NM_178134 // CYP4Z1 // cytochrome P450, family 4, subfamily Z, polypeptide 1 // 1p33 // 199974 /// NR_002788 // CYP4Z2P // cytochrome P450, family 4, subfamily Z, polypeptide 2 pseudogene // 1p33 // 163720 /// ENST00000334194 // CYP4Z1 // cytochrome P450, family 4, subfamily Z, polypeptide 1 // 1p33 // 199974 /// AY358631 // CYP4Z1 // cytochrome P450, family 4, subfamily Z, polypeptide 1 // 1p33 // 199974 /// AY696295 // CYP4Z2P // cytochrome P450, family 4, subfamily Z, polypeptide 2 pseudogene // 1p33 // 163720 /// ENST00000294342 // CYP4Z2P // cytochrome P450, family 4, subfamily Z, polypeptide 2 pseudogene // 1p33 // 163720
NM_001300	KLF6	3274416	0.007229982	0.884663961	3274361	NM_001300 // KLF6 // Kruppel-like factor 6 // 10p15 // 1316 /// ENST00000173785 // KLF6 // Kruppel-like factor 6 // 10p15 // 1316 /// U51869 // KLF6 // Kruppel-like factor 6 // 10p15 // 1316 /// ENST00000380946 // KLF6 // Kruppel-like factor 6 // 10p15 // 1316 /// ENST00000322510 // KLF6 // Kruppel-like factor 6 // 10p15 // 1316
NM_006424	SLC34A2	2722005	0.007230102	0.884663961	2721959	NM_006424 // SLC34A2 // solute carrier family 34 (sodium phosphate), member 2 // 4p15.3-p15.1 // 10568 /// ENST00000382051 // SLC34A2 // solute carrier family 34 (sodium phosphate), member 2 // 4p15.3-p15.1 // 10568 /// AF146796 // SLC34A2 // solute carrier family 34 (sodium phosphate), member 2 // 4p15.3-p15.1 // 10568
NM_001546	ID4	2897457	0.00723758	0.884663961	2897453	NM_001546 // ID4 // inhibitor of DNA binding 4, dominant negative helix-loop-helix protein // 6p22-p21 // 3400 /// ENST00000378700 // ID4 // inhibitor of DNA binding 4, dominant negative helix-loop-helix protein // 6p22-p21 // 3400 /// BC014941 // ID4 // inhibitor of DNA binding 4, dominant negative helix-loop-helix protein // 6p22-p21 // 3400
NM_000161	GCH1	3565533	0.007239114	0.884663961	3565524	NM_000161 // GCH1 // GTP cyclohydrolase 1 (dopa-responsive dystonia) // 14q22.1-q22.2 // 2643 /// NM_001024024 // GCH1 // GTP cyclohydrolase 1 (dopa-responsive dystonia) // 14q22.1-q22.2 // 2643 /// NM_001024070 // GCH1 // GTP cyclohydrolase 1 (dopa-responsive dystonia) // 14q22.1-q22.2 // 2643 /// NM_001024071 // GCH1 // GTP cyclohydrolase 1 (dopa-responsive dystonia) // 14q22.1-q22.2 // 2643 /// ENST00000254299 // GCH1 // GTP cyclohydrolase 1 (dopa-responsive dystonia) // 14q22.1-q22.2 // 2643 /// ENST00000395514 // GCH1 // GTP cyclohydrolase 1 (dopa-responsive dystonia) // 14q22.1-q22.2 // 2643 /// ENST00000395524 // GCH1 // GTP cyclohydrolase 1 (dopa-responsive dystonia) // 14q22.1-q22.2 // 2643 /// U66097 // GCH1 // GTP cyclohydrolase 1 (dopa-responsive dystonia) // 14q22.1-q22.2 // 2643 /// ENST00000395521 // GCH1 // GTP cyclohydrolase 1 (dopa-responsive dystonia) // 14q22.1-q22.2 // 2643
NM_178518	TMEM102	3708629	0.007244954	0.884663961	3708619	NM_178518 // TMEM102 // transmembrane protein 102 // 17p13.1 // 284114 /// ENST00000323206 // TMEM102 // transmembrane protein 102 // 17p13.1 // 284114 /// ENST00000396568 // TMEM102 // transmembrane protein 102 // 17p13.1 // 284114 /// BC046189 // TMEM102 // transmembrane protein 102 // 17p13.1 // 284114
NM_173728	ARHGEF15	3709634	0.007249733	0.884663961	3709604	NM_173728 // ARHGEF15 // Rho guanine nucleotide exchange factor (GEF) 15 // 17p13.1 // 22899 /// ENST00000361926 // ARHGEF15 // Rho guanine nucleotide exchange factor (GEF) 15 // 17p13.1 // 22899 /// BC036749 // ARHGEF15 // Rho guanine nucleotide exchange factor (GEF) 15 // 17p13.1 // 22899
NM_182706	SCRIB	3157772	0.007251176	0.884663961	3157751	NM_182706 // SCRIB // scribbled homolog (Drosophila) // 8q24.3 // 23513 /// NM_015356 // SCRIB // scribbled homolog (Drosophila) // 8q24.3 // 23513 /// ENST00000356994 // SCRIB // scribbled homolog (Drosophila) // 8q24.3 // 23513 /// ENST00000320476 // SCRIB // scribbled homolog (Drosophila) // 8q24.3 // 23513 /// AF271734 // SCRIB // scribbled homolog (Drosophila) // 8q24.3 // 23513 /// ENST00000377539 // SCRIB // scribbled homolog (Drosophila) // 8q24.3 // 23513 /// ENST00000377533 // SCRIB // scribbled homolog (Drosophila) // 8q24.3 // 23513
NM_001048194	RCC1	2327491	0.007252397	0.884663961	2327482	NM_001048194 // RCC1 // regulator of chromosome condensation 1 // 1p36.1 // 1104 /// NM_001048197 // SNHG3-RCC1 // SNHG3-RCC1 // 1p36.1 // 751867 /// NM_001048198 // SNHG3-RCC1 // SNHG3-RCC1 // 1p36.1 // 751867 /// NM_001048195 // RCC1 // regulator of chromosome condensation 1 // 1p36.1 // 1104 /// NM_001048199 // SNHG3-RCC1 // SNHG3-RCC1 // 1p36.1 // 751867 /// NM_001269 // RCC1 // regulator of chromosome condensation 1 // 1p36.1 // 1104 /// NR_002909 // SNHG3 // small nucleolar RNA host gene (non-protein coding) 3 // 1p36.1 // 8420 /// ENST00000398962 // RCC1 // regulator of chromosome condensation 1 // 1p36.1 // 1104 /// ENST00000373831 // RCC1 // regulator of chromosome condensation 1 // 1p36.1 // 1104 /// ENST00000373834 // RCC1 // regulator of chromosome condensation 1 // 1p36.1 // 1104 /// ENST00000373834 // SNHG3-RCC1 // SNHG3-RCC1 // 1p36.1 // 751867 /// ENST00000373833 // RCC1 // regulator of chromosome condensation 1 // 1p36.1 // 1104 /// ENST00000373833 // SNHG3-RCC1 // SNHG3-RCC1 // 1p36.1 // 751867 /// ENST00000398958 // RCC1 // regulator of chromosome condensation 1 // 1p36.1 // 1104 /// ENST00000398958 // SNHG3-RCC1 // SNHG3-RCC1 // 1p36.1 // 751867 /// ENST00000373832 // RCC1 // regulator of chromosome condensation 1 // 1p36.1 // 1104 /// ENST00000373832 // SNHG3-RCC1 // SNHG3-RCC1 // 1p36.1 // 751867 /// BC069198 // RCC1 // regulator of chromosome condensation 1 // 1p36.1 // 1104 /// AJ006835 // SNHG3 // small nucleolar RNA host gene (non-protein coding) 3 // 1p36.1 // 8420
NM_001001419	SMAD5	2830037	0.007255822	0.884663961	2830010	NM_001001419 // SMAD5 // SMAD family member 5 // 5q31 // 4090 /// NM_005903 // SMAD5 // SMAD family member 5 // 5q31 // 4090 /// NM_001001420 // SMAD5 // SMAD family member 5 // 5q31 // 4090 /// ENST00000231589 // SMAD5 // SMAD family member 5 // 5q31 // 4090 /// ENST00000398807 // SMAD5 // SMAD family member 5 // 5q31 // 4090 /// BC009682 // SMAD5 // SMAD family member 5 // 5q31 // 4090
NM_173358	SSX7	4007369	0.007256145	0.884663961	4007352	NM_173358 // SSX7 // synovial sarcoma, X breakpoint 7 // Xp11.23 // 280658 /// NM_175698 // SSX2 // synovial sarcoma, X breakpoint 2 // Xp11.23-p11.22 // 6757 /// NM_174962 // SSX9 // synovial sarcoma, X breakpoint 9 // Xp11.23 // 280660 /// ENST00000376909 // SSX9 // synovial sarcoma, X breakpoint 9 // Xp11.23 // 280660 /// ENST00000396491 // SSX7 // synovial sarcoma, X breakpoint 7 // Xp11.23 // 280658 /// ENST00000298181 // SSX7 // synovial sarcoma, X breakpoint 7 // Xp11.23 // 280658 /// BC069313 // SSX2 // synovial sarcoma, X breakpoint 2 // Xp11.23-p11.22 // 6757 /// BC103862 // SSX3 // synovial sarcoma, X breakpoint 3 // Xp11.23 // 10214 /// ENST00000375515 // LOC100130648 // similar to Protein SSX2 (Synovial sarcoma, X breakpoint 2) (Cancer/testis antigen 5.2) (CT5.2) (SSX) (HOM-MEL-40) // --- // 100130648 /// ENST00000375515 // SSX2 // synovial sarcoma, X breakpoint 2 // Xp11.23-p11.22 // 6757 /// ENST00000375515 // SSX2B // synovial sarcoma, X breakpoint 2B // Xp11.22 // 727837 /// ENST00000337502 // LOC100130648 // similar to Protein SSX2 (Synovial sarcoma, X breakpoint 2) (Cancer/testis antigen 5.2) (CT5.2) (SSX) (HOM-MEL-40) // --- // 100130648 /// ENST00000337502 // SSX2 // synovial sarcoma, X breakpoint 2 // Xp11.23-p11.22 // 6757 /// ENST00000337502 // SSX2B // synovial sarcoma, X breakpoint 2B // Xp11.22 // 727837 /// ENST00000376895 // SSX3 // synovial sarcoma, X breakpoint 3 // Xp11.23 // 10214
NM_130786	A1BG	3872838	0.007261048	0.884663961	3872817	NM_130786 // A1BG // alpha-1-B glycoprotein // 19q13.4 // 1 /// ENST00000263100 // A1BG // alpha-1-B glycoprotein // 19q13.4 // 1 /// AK055885 // A1BG // alpha-1-B glycoprotein // 19q13.4 // 1
NM_015873	VILL	2617457	0.007263451	0.884663961	2617433	NM_015873 // VILL // villin-like // 3p21.3 // 50853 /// ENST00000283713 // VILL // villin-like // 3p21.3 // 50853 /// ENST00000383759 // VILL // villin-like // 3p21.3 // 50853 /// BC004300 // VILL // villin-like // 3p21.3 // 50853 /// ENST00000356246 // VILL // villin-like // 3p21.3 // 50853
NM_020708	SLC12A5	3887248	0.007265584	0.884663961	3887241	NM_020708 // SLC12A5 // solute carrier family 12, (potassium-chloride transporter) member 5 // 20q13.12 // 57468 /// ENST00000243964 // SLC12A5 // solute carrier family 12, (potassium-chloride transporter) member 5 // 20q13.12 // 57468 /// BC132668 // SLC12A5 // solute carrier family 12, (potassium-chloride transporter) member 5 // 20q13.12 // 57468 /// ENST00000372315 // SLC12A5 // solute carrier family 12, (potassium-chloride transporter) member 5 // 20q13.12 // 57468
NM_014882	ARHGAP25	2486972	0.007265697	0.884663961	2486927	NM_014882 // ARHGAP25 // Rho GTPase activating protein 25 // 2p14 // 9938 /// NM_001007231 // ARHGAP25 // Rho GTPase activating protein 25 // 2p14 // 9938 /// ENST00000295381 // ARHGAP25 // Rho GTPase activating protein 25 // 2p14 // 9938 /// AK290396 // ARHGAP25 // Rho GTPase activating protein 25 // 2p14 // 9938
NM_000361	THBD	3901047	0.00727612	0.885008057	3901041	NM_000361 // THBD // thrombomodulin // 20p11.2 // 7056 /// ENST00000377103 // THBD // thrombomodulin // 20p11.2 // 7056 /// BC035602 // THBD // thrombomodulin // 20p11.2 // 7056
NM_173619	MGC34761	3698885	0.00727795	0.885008057	3698866	NM_173619 // MGC34761 // hypothetical protein MGC34761 // 16q22.1 // 283971 /// BC039068 // MGC34761 // hypothetical protein MGC34761 // 16q22.1 // 283971 /// BC141808 // MGC34761 // hypothetical protein MGC34761 // 16q22.1 // 283971 /// AF448856 // MGC34761 // hypothetical protein MGC34761 // 16q22.1 // 283971 /// NM_182619 // LOC348174 // secretory protein LOC348174 // 16q22.1 // 348174 /// ENST00000314151 // MGC34761 // hypothetical protein MGC34761 // 16q22.1 // 283971 /// ENST00000314151 // LOC348174 // secretory protein LOC348174 // 16q22.1 // 348174 /// AF521893 // LOC348174 // secretory protein LOC348174 // 16q22.1 // 348174 /// AY358373 // LOC497190 // secretory protein LOC497190 // 16q22.3 // 497190 /// AF428259 // LOC348174 // secretory protein LOC348174 // 16q22.1 // 348174 /// ENST00000393701 // MGC34761 // hypothetical protein MGC34761 // 16q22.1 // 283971 /// ENST00000288040 // MGC34761 // hypothetical protein MGC34761 // 16q22.1 // 283971 /// ENST00000393697 // MGC34761 // hypothetical protein MGC34761 // 16q22.1 // 283971 /// AL833339 // MGC34761 // hypothetical protein MGC34761 // 16q22.1 // 283971 /// ENST00000339953 // LOC497190 // secretory protein LOC497190 // 16q22.3 // 497190 /// ENST00000288054 // LOC348174 // secretory protein LOC348174 // 16q22.1 // 348174 /// ENST00000268492 // LOC497190 // secretory protein LOC497190 // 16q22.3 // 497190
NM_001060	TBXA2R	3846281	0.007283854	0.885008057	3846280	NM_001060 // TBXA2R // thromboxane A2 receptor // 19p13.3 // 6915 /// NM_201636 // TBXA2R // thromboxane A2 receptor // 19p13.3 // 6915 /// ENST00000375190 // TBXA2R // thromboxane A2 receptor // 19p13.3 // 6915 /// ENST00000359806 // TBXA2R // thromboxane A2 receptor // 19p13.3 // 6915 /// BC121148 // TBXA2R // thromboxane A2 receptor // 19p13.3 // 6915 /// ENST00000248419 // TBXA2R // thromboxane A2 receptor // 19p13.3 // 6915
NM_004883	NRG2	2878106	0.007285259	0.885008057	2878074	NM_004883 // NRG2 // neuregulin 2 // 5q23-q33 // 9542 /// NM_013981 // NRG2 // neuregulin 2 // 5q23-q33 // 9542 /// NM_013982 // NRG2 // neuregulin 2 // 5q23-q33 // 9542 /// NM_013983 // NRG2 // neuregulin 2 // 5q23-q33 // 9542 /// ENST00000361474 // NRG2 // neuregulin 2 // 5q23-q33 // 9542 /// ENST00000289409 // NRG2 // neuregulin 2 // 5q23-q33 // 9542 /// ENST00000358522 // NRG2 // neuregulin 2 // 5q23-q33 // 9542 /// ENST00000289422 // NRG2 // neuregulin 2 // 5q23-q33 // 9542 /// AB005060 // NRG2 // neuregulin 2 // 5q23-q33 // 9542 /// ENST00000394770 // NRG2 // neuregulin 2 // 5q23-q33 // 9542 /// ENST00000340391 // NRG2 // neuregulin 2 // 5q23-q33 // 9542 /// ENST00000378238 // NRG2 // neuregulin 2 // 5q23-q33 // 9542
NM_017577	GRAMD1C	2636680	0.007289291	0.885008057	2636626	NM_017577 // GRAMD1C // GRAM domain containing 1C // 3q13.31 // 54762 /// NM_015343 // DULLARD // dullard homolog (Xenopus laevis) // 17p13 // 23399 /// ENST00000358160 // GRAMD1C // GRAM domain containing 1C // 3q13.31 // 54762 /// ENST00000380825 // DULLARD // dullard homolog (Xenopus laevis) // 17p13 // 23399 /// ENST00000318988 // DULLARD // dullard homolog (Xenopus laevis) // 17p13 // 23399 /// BC035040 // GRAMD1C // GRAM domain containing 1C // 3q13.31 // 54762 /// BC009295 // DULLARD // dullard homolog (Xenopus laevis) // 17p13 // 23399 /// AJ011916 // DULLARD // dullard homolog (Xenopus laevis) // 17p13 // 23399
NM_020851	ISLR2	3601504	0.007299479	0.885008057	3601486	NM_020851 // ISLR2 // immunoglobulin superfamily containing leucine-rich repeat 2 // 15q24.1 // 57611 /// ENST00000361742 // ISLR2 // immunoglobulin superfamily containing leucine-rich repeat 2 // 15q24.1 // 57611 /// BC152429 // ISLR2 // immunoglobulin superfamily containing leucine-rich repeat 2 // 15q24.1 // 57611 /// ENST00000360956 // ISLR2 // immunoglobulin superfamily containing leucine-rich repeat 2 // 15q24.1 // 57611 /// ENST00000395121 // ISLR2 // immunoglobulin superfamily containing leucine-rich repeat 2 // 15q24.1 // 57611
NM_001080821	ZNF799	3851458	0.007300395	0.885008057	3851454	NM_001080821 // ZNF799 // zinc finger protein 799 // 19p13.2 // 90576 /// NM_005815 // ZNF443 // zinc finger protein 443 // 19p13.2 // 10224 /// ENST00000301547 // ZNF443 // zinc finger protein 443 // 19p13.2 // 10224 /// BC032753 // ZNF443 // zinc finger protein 443 // 19p13.2 // 10224 /// ENST00000357979 // ZNF799 // zinc finger protein 799 // 19p13.2 // 90576 /// AL832890 // ZNF799 // zinc finger protein 799 // 19p13.2 // 90576
NM_020808	SIPA1L2	2460833	0.007303853	0.885008057	2460817	NM_020808 // SIPA1L2 // signal-induced proliferation-associated 1 like 2 // 1q42.2 // 57568 /// ENST00000366630 // SIPA1L2 // signal-induced proliferation-associated 1 like 2 // 1q42.2 // 57568 /// ENST00000262861 // SIPA1L2 // signal-induced proliferation-associated 1 like 2 // 1q42.2 // 57568 /// AY168879 // SIPA1L2 // signal-induced proliferation-associated 1 like 2 // 1q42.2 // 57568 /// ENST00000308942 // SIPA1L2 // signal-induced proliferation-associated 1 like 2 // 1q42.2 // 57568
NM_001006641	SLC25A25	3190181	0.007304142	0.885008057	3190151	NM_001006641 // SLC25A25 // solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25 // 9q34.11 // 114789 /// NM_001006642 // SLC25A25 // solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25 // 9q34.11 // 114789 /// NM_052901 // SLC25A25 // solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25 // 9q34.11 // 114789 /// NM_001006643 // SLC25A25 // solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25 // 9q34.11 // 114789 /// ENST00000373064 // SLC25A25 // solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25 // 9q34.11 // 114789 /// ENST00000373068 // SLC25A25 // solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25 // 9q34.11 // 114789 /// ENST00000373069 // SLC25A25 // solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25 // 9q34.11 // 114789 /// ENST00000373066 // SLC25A25 // solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25 // 9q34.11 // 114789 /// AB067483 // SLC25A25 // solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25 // 9q34.11 // 114789
NM_138346	KIAA2013	2396887	0.00730727	0.885008057	2396872	NM_138346 // KIAA2013 // KIAA2013 // 1p36.22 // 90231 /// ENST00000376572 // KIAA2013 // KIAA2013 // 1p36.22 // 90231 /// ENST00000376576 // KIAA2013 // KIAA2013 // 1p36.22 // 90231 /// ENST00000329923 // KIAA2013 // KIAA2013 // 1p36.22 // 90231 /// AB095933 // KIAA2013 // KIAA2013 // 1p36.22 // 90231
NM_001837	CCR3	2620818	0.007311462	0.885008057	2620813	NM_001837 // CCR3 // chemokine (C-C motif) receptor 3 // 3p21.3 // 1232 /// NM_178329 // CCR3 // chemokine (C-C motif) receptor 3 // 3p21.3 // 1232 /// ENST00000395942 // CCR3 // chemokine (C-C motif) receptor 3 // 3p21.3 // 1232 /// ENST00000357422 // CCR3 // chemokine (C-C motif) receptor 3 // 3p21.3 // 1232 /// ENST00000395940 // CCR3 // chemokine (C-C motif) receptor 3 // 3p21.3 // 1232 /// AK123050 // CCR3 // chemokine (C-C motif) receptor 3 // 3p21.3 // 1232
NM_006944	SPP2	2533301	0.007312749	0.885008057	2533289	NM_006944 // SPP2 // secreted phosphoprotein 2, 24kDa // 2q37-qter // 6694 /// ENST00000168148 // SPP2 // secreted phosphoprotein 2, 24kDa // 2q37-qter // 6694 /// ENST00000373368 // SPP2 // secreted phosphoprotein 2, 24kDa // 2q37-qter // 6694 /// BC069401 // SPP2 // secreted phosphoprotein 2, 24kDa // 2q37-qter // 6694
NM_002596	PCTK3	2376510	0.007313263	0.885008057	2376457	NM_002596 // PCTK3 // PCTAIRE protein kinase 3 // 1q31-q32 // 5129 /// NM_212503 // PCTK3 // PCTAIRE protein kinase 3 // 1q31-q32 // 5129 /// NM_212502 // PCTK3 // PCTAIRE protein kinase 3 // 1q31-q32 // 5129 /// ENST00000343606 // PCTK3 // PCTAIRE protein kinase 3 // 1q31-q32 // 5129 /// ENST00000360066 // PCTK3 // PCTAIRE protein kinase 3 // 1q31-q32 // 5129 /// BC011526 // PCTK3 // PCTAIRE protein kinase 3 // 1q31-q32 // 5129
NM_005967	NAB2	3417823	0.007332021	0.886564004	3417809	NM_005967 // NAB2 // NGFI-A binding protein 2 (EGR1 binding protein 2) // 12q13.3-q14.1 // 4665 /// ENST00000300131 // NAB2 // NGFI-A binding protein 2 (EGR1 binding protein 2) // 12q13.3-q14.1 // 4665 /// BC065931 // NAB2 // NGFI-A binding protein 2 (EGR1 binding protein 2) // 12q13.3-q14.1 // 4665 /// ENST00000357680 // NAB2 // NGFI-A binding protein 2 (EGR1 binding protein 2) // 12q13.3-q14.1 // 4665 /// ENST00000342556 // NAB2 // NGFI-A binding protein 2 (EGR1 binding protein 2) // 12q13.3-q14.1 // 4665 /// ENST00000393858 // NAB2 // NGFI-A binding protein 2 (EGR1 binding protein 2) // 12q13.3-q14.1 // 4665
NM_000885	ITGA4	2518282	0.007333016	0.886564004	2518272	NM_000885 // ITGA4 // integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) // 2q31.3 // 3676 /// ENST00000397033 // ITGA4 // integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) // 2q31.3 // 3676 /// L12002 // ITGA4 // integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) // 2q31.3 // 3676 /// ENST00000233573 // ITGA4 // integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) // 2q31.3 // 3676 /// ENST00000339307 // ITGA4 // integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) // 2q31.3 // 3676
NM_033066	MPP4	2594994	0.007346109	0.887729661	2594987	NM_033066 // MPP4 // membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4) // 2q33.2 // 58538 /// ENST00000359962 // MPP4 // membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4) // 2q33.2 // 58538 /// ENST00000315549 // MPP4 // membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4) // 2q33.2 // 58538 /// ENST00000396886 // MPP4 // membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4) // 2q33.2 // 58538 /// ENST00000374605 // MPP4 // membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4) // 2q33.2 // 58538 /// ENST00000315506 // MPP4 // membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4) // 2q33.2 // 58538 /// BX647162 // MPP4 // membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4) // 2q33.2 // 58538
NM_018837	SULF2	3908373	0.007359066	0.888877708	3908358	NM_018837 // SULF2 // sulfatase 2 // 20q12-q13.2 // 55959 /// NM_198596 // SULF2 // sulfatase 2 // 20q12-q13.2 // 55959 /// ENST00000359930 // SULF2 // sulfatase 2 // 20q12-q13.2 // 55959 /// ENST00000361612 // SULF2 // sulfatase 2 // 20q12-q13.2 // 55959 /// ENST00000371978 // SULF2 // sulfatase 2 // 20q12-q13.2 // 55959 /// AB033073 // SULF2 // sulfatase 2 // 20q12-q13.2 // 55959
NM_000555	DCX	4018246	0.007368252	0.889003084	4018218	NM_000555 // DCX // doublecortex; lissencephaly, X-linked (doublecortin) // Xq22.3-q23 // 1641 /// NM_178152 // DCX // doublecortex; lissencephaly, X-linked (doublecortin) // Xq22.3-q23 // 1641 /// NM_178153 // DCX // doublecortex; lissencephaly, X-linked (doublecortin) // Xq22.3-q23 // 1641 /// NM_178151 // DCX // doublecortex; lissencephaly, X-linked (doublecortin) // Xq22.3-q23 // 1641 /// ENST00000338081 // DCX // doublecortex; lissencephaly, X-linked (doublecortin) // Xq22.3-q23 // 1641 /// ENST00000358070 // DCX // doublecortex; lissencephaly, X-linked (doublecortin) // Xq22.3-q23 // 1641 /// ENST00000356220 // DCX // doublecortex; lissencephaly, X-linked (doublecortin) // Xq22.3-q23 // 1641 /// ENST00000356915 // DCX // doublecortex; lissencephaly, X-linked (doublecortin) // Xq22.3-q23 // 1641 /// ENST00000371993 // DCX // doublecortex; lissencephaly, X-linked (doublecortin) // Xq22.3-q23 // 1641 /// ENST00000371988 // DCX // doublecortex; lissencephaly, X-linked (doublecortin) // Xq22.3-q23 // 1641 /// AJ003112 // DCX // doublecortex; lissencephaly, X-linked (doublecortin) // Xq22.3-q23 // 1641
NM_022772	EPS8L2	3316165	0.007372878	0.889003084	3316149	NM_022772 // EPS8L2 // EPS8-like 2 // 11p15.5 // 64787 /// ENST00000318562 // EPS8L2 // EPS8-like 2 // 11p15.5 // 64787 /// AK122903 // EPS8L2 // EPS8-like 2 // 11p15.5 // 64787
NM_144702	C1orf92	2361842	0.00737701	0.889003084	2361839	NM_144702 // C1orf92 // chromosome 1 open reading frame 92 // 1q23.1 // 149499 /// ENST00000337428 // C1orf92 // chromosome 1 open reading frame 92 // 1q23.1 // 149499 /// AK292342 // C1orf92 // chromosome 1 open reading frame 92 // 1q23.1 // 149499 /// ENST00000400990 // C1orf92 // chromosome 1 open reading frame 92 // 1q23.1 // 149499
