# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_007048|NM_007048	hgnc_symbol|BTN3A1|BTN3A1
refseq_dna|NM_012137|NM_012137	hgnc_symbol|DDAH1|DDAH1
refseq_dna|NM_024705|NM_024705	hgnc_symbol|DHRS12|DHRS12
refseq_dna|NM_003071|NM_003071	hgnc_symbol|HLTF|HLTF
refseq_dna|NM_001363|NM_001363	hgnc_symbol|DKC1|DKC1
refseq_dna|XM_057844|XM_057844
refseq_dna|NM_000064|NM_000064	hgnc_symbol|C3|C3
refseq_dna|NM_018343|NM_018343	hgnc_symbol|RIOK2|RIOK2
refseq_dna|NM_021820|NM_021820	hgnc_symbol|TRMT11|TRMT11
refseq_dna|NM_007191|NM_007191	hgnc_symbol|WIF1|WIF1
refseq_dna|NM_002219|NM_002219
refseq_dna|NM_022474|NM_022474	hgnc_symbol|MPP5|MPP5
refseq_dna|NM_006293|NM_006293	hgnc_symbol|TYRO3|TYRO3
refseq_dna|NM_018945|NM_018945	hgnc_symbol|PDE7B|PDE7B
refseq_dna|NM_013401|NM_013401	hgnc_symbol|RAB3IL1|RAB3IL1
refseq_dna|NM_016836|NM_016836	hgnc_symbol|RBMS1|RBMS1
refseq_dna|NM_017762|NM_017762	hgnc_symbol|MTMR10|MTMR10
refseq_dna|NM_016604|NM_016604	hgnc_symbol|KDM3B|KDM3B
refseq_dna|NM_003798|NM_003798	hgnc_symbol|CTNNAL1|CTNNAL1
refseq_dna|NM_004457|NM_004457	hgnc_symbol|ACSL3|ACSL3
refseq_dna|NM_001739|NM_001739	hgnc_symbol|CA5A|CA5A
refseq_dna|NM_015907|NM_015907	hgnc_symbol|LAP3|LAP3
refseq_dna|NM_003173|NM_003173	hgnc_symbol|SUV39H1|SUV39H1
refseq_dna|NM_004600|NM_004600	hgnc_symbol|TROVE2|TROVE2
entrezgene|AF155096|55660	hgnc_symbol|PRPF40A|PRPF40A
refseq_dna|NM_002349|NM_002349	hgnc_symbol|LY75|LY75
refseq_dna|NM_014325|NM_014325	hgnc_symbol|CORO1C|CORO1C
refseq_dna|NM_005398|NM_005398	hgnc_symbol|PPP1R3C|PPP1R3C
refseq_dna|NM_016024|NM_016024	hgnc_symbol|RBMX2|RBMX2
refseq_dna|NM_001692|NM_001692	hgnc_symbol|ATP6V1B1|ATP6V1B1
refseq_dna|NM_000143|NM_000143	hgnc_symbol|FH|FH
refseq_dna|XM_007409|XM_007409
refseq_dna|NM_004741|NM_004741	hgnc_symbol|NOLC1|NOLC1
refseq_dna|NM_015967|NM_015967
refseq_dna|NM_003783|NM_003783	hgnc_symbol|B3GALT2|B3GALT2
refseq_dna|NM_004775|NM_004775	hgnc_symbol|B4GALT6|B4GALT6
refseq_dna|NM_022458|NM_022458	hgnc_symbol|LMBR1|LMBR1
refseq_dna|NM_025006|NM_025006
refseq_dna|NM_004894|NM_004894	hgnc_symbol|C14orf2|C14orf2
refseq_dna|NM_004995|NM_004995	hgnc_symbol|MMP14|MMP14
refseq_dna|NM_000522|NM_000522	hgnc_symbol|HOXA13|HOXA13
refseq_dna|NM_003967|NM_003967	hgnc_symbol|TAAR5|TAAR5
refseq_dna|NM_005200|NM_005200
refseq_dna|NM_006417|NM_006417	hgnc_symbol|IFI44|IFI44
refseq_dna|NM_020408|NM_020408	hgnc_symbol|LYRM4|LYRM4
refseq_dna|NM_006748|NM_006748	hgnc_symbol|SLA|SLA
refseq_dna|NM_020327|NM_020327	hgnc_symbol|ACVR1B|ACVR1B
refseq_dna|NM_001880|NM_001880	hgnc_symbol|ATF2|ATF2
refseq_dna|NM_020644|NM_020644	hgnc_symbol|TMEM9B|TMEM9B
refseq_dna|NM_002967|NM_002967	hgnc_symbol|SAFB|SAFB
refseq_dna|NM_002519|NM_002519	hgnc_symbol|NPAT|NPAT
refseq_dna|NM_018469|NM_018469	hgnc_symbol|TEX2|TEX2
refseq_dna|NM_003280|NM_003280	hgnc_symbol|TNNC1|TNNC1
refseq_dna|NM_003912|NM_003912
refseq_dna|NM_012072|NM_012072	hgnc_symbol|CD93|CD93
refseq_dna|NM_007036|NM_007036	hgnc_symbol|ESM1|ESM1
refseq_dna|NM_024835|NM_024835	hgnc_symbol|GGNBP2|GGNBP2
refseq_dna|NM_014067|NM_014067	hgnc_symbol|MACROD1|MACROD1
refseq_dna|NM_024753|NM_024753	hgnc_symbol|TTC21B|TTC21B
refseq_dna|NM_006567|NM_006567	hgnc_symbol|FARS2|FARS2
refseq_dna|XM_002472|XM_002472
refseq_dna|NM_016551|NM_016551	hgnc_symbol|TM7SF3|TM7SF3
refseq_dna|NM_006445|NM_006445	hgnc_symbol|PRPF8|PRPF8
refseq_dna|NM_002396|NM_002396	hgnc_symbol|ME2|ME2
refseq_dna|NM_006572|NM_006572	hgnc_symbol|GNA13|GNA13
refseq_dna|NM_005606|NM_005606	hgnc_symbol|LGMN|LGMN
refseq_dna|NM_001713|NM_001713	hgnc_symbol|BHMT|BHMT
refseq_dna|NM_018289|NM_018289	hgnc_symbol|VPS53|VPS53
refseq_dna|NM_002248|NM_002248	hgnc_symbol|KCNN1|KCNN1
refseq_dna|NM_003925|NM_003925	hgnc_symbol|MBD4|MBD4
refseq_dna|NM_006523|NM_006523
refseq_dna|XM_016498|XM_016498
refseq_dna|NM_006352|NM_006352	hgnc_symbol|ZNF238|ZNF238
refseq_dna|NM_006166|NM_006166	hgnc_symbol|NFYB|NFYB
refseq_dna|NM_001161|NM_001161	hgnc_symbol|NUDT2|NUDT2
refseq_dna|NM_000021|NM_000021	hgnc_symbol|PSEN1|PSEN1
refseq_dna|NM_004186|NM_004186	hgnc_symbol|SEMA3F|SEMA3F
refseq_dna|NM_022157|NM_022157	hgnc_symbol|RRAGC|RRAGC
refseq_dna|NM_000434|NM_000434	hgnc_symbol|NEU1|NEU1
refseq_dna|NM_001196|NM_001196	hgnc_symbol|BID|BID
refseq_dna|NM_002870|NM_002870	hgnc_symbol|RAB13|RAB13
refseq_dna|NM_001563|NM_001563	hgnc_symbol|IMPG1|IMPG1
refseq_dna|NM_024068|NM_024068	hgnc_symbol|NABP2|NABP2
refseq_dna|NM_017645|NM_017645	hgnc_symbol|HAUS6|HAUS6
entrezgene|BC004176|54961	hgnc_symbol|SSH3|SSH3
refseq_dna|NM_022374|NM_022374	hgnc_symbol|ATL2|ATL2
refseq_dna|NM_021947|NM_021947	hgnc_symbol|SRR|SRR
refseq_dna|NM_001400|NM_001400	hgnc_symbol|S1PR1|S1PR1
refseq_dna|NM_014121|NM_014121
refseq_dna|NM_017748|NM_017748	hgnc_symbol|CWC25|CWC25
refseq_dna|NM_014153|NM_014153	hgnc_symbol|ZC3H7A|ZC3H7A
refseq_dna|NM_000330|NM_000330	hgnc_symbol|RS1|RS1
refseq_dna|NM_018225|NM_018225	hgnc_symbol|SMU1|SMU1
refseq_dna|NM_018365|NM_018365	hgnc_symbol|MNS1|MNS1
refseq_dna|NM_015044|NM_015044	hgnc_symbol|GGA2|GGA2
refseq_dna|NM_032996|NM_032996	hgnc_symbol|CASP9|CASP9
refseq_dna|NM_014047|NM_014047	hgnc_symbol|C19orf53|C19orf53
refseq_dna|NM_003096|NM_003096	hgnc_symbol|SNRPG|SNRPG
refseq_dna|NM_020239|NM_020239	hgnc_symbol|CDC42SE1|CDC42SE1
refseq_dna|NM_022047|NM_022047	hgnc_symbol|DEF6|DEF6
refseq_dna|NM_006658|NM_006658	hgnc_symbol|PPP1R17|PPP1R17
refseq_dna|NM_002906|NM_002906	hgnc_symbol|RDX|RDX
refseq_dna|NM_001845|NM_001845	hgnc_symbol|COL4A1|COL4A1
refseq_dna|NM_003713|NM_003713	hgnc_symbol|PPAP2B|PPAP2B
refseq_dna|NM_013264|NM_013264	hgnc_symbol|DDX25|DDX25
refseq_dna|NM_015043|NM_015043	hgnc_symbol|TBC1D9B|TBC1D9B
refseq_dna|NM_014468|NM_014468	hgnc_symbol|VENTX|VENTX
refseq_dna|NM_018278|NM_018278
refseq_dna|NM_012245|NM_012245	hgnc_symbol|SNW1|SNW1
refseq_dna|NM_005440|NM_005440	hgnc_symbol|RND2|RND2
refseq_dna|NM_002082|NM_002082	hgnc_symbol|GRK6|GRK6
refseq_dna|NM_004328|NM_004328	hgnc_symbol|BCS1L|BCS1L
refseq_dna|NM_003193|NM_003193	hgnc_symbol|TBCE|TBCE
refseq_dna|NM_000426|NM_000426	hgnc_symbol|LAMA2|LAMA2
refseq_dna|NM_001022|NM_001022	hgnc_symbol|RPS19|RPS19
refseq_dna|NM_006090|NM_006090	hgnc_symbol|CEPT1|CEPT1
refseq_dna|NM_004660|NM_004660	hgnc_symbol|DDX3Y|DDX3Y
refseq_dna|NM_006691|NM_006691	hgnc_symbol|LYVE1|LYVE1
refseq_dna|NM_001131|NM_001131	hgnc_symbol|CRISP1|CRISP1
refseq_dna|NM_006850|NM_006850	hgnc_symbol|IL24|IL24
refseq_dna|NM_005315|NM_005315
refseq_dna|NM_014596|NM_014596	hgnc_symbol|ZNRD1|ZNRD1
refseq_dna|NM_014267|NM_014267	hgnc_symbol|C11orf58|C11orf58
refseq_dna|NM_005899|NM_005899	hgnc_symbol|NBR1|NBR1
refseq_dna|NM_002133|NM_002133	hgnc_symbol|HMOX1|HMOX1
embl|AF116660|AF116660
refseq_dna|NM_007371|NM_007371	hgnc_symbol|BRD3|BRD3
refseq_dna|NM_024843|NM_024843	hgnc_symbol|CYBRD1|CYBRD1
refseq_dna|NM_004925|NM_004925	hgnc_symbol|AQP3|AQP3
refseq_dna|NM_003169|NM_003169	hgnc_symbol|SUPT5H|SUPT5H
refseq_dna|NM_000349|NM_000349	hgnc_symbol|STAR|STAR
refseq_dna|NM_002931|NM_002931	hgnc_symbol|RING1|RING1
refseq_dna|NM_000955|NM_000955	hgnc_symbol|PTGER1|PTGER1
refseq_dna|NM_006256|NM_006256	hgnc_symbol|PKN2|PKN2
refseq_dna|NM_006790|NM_006790	hgnc_symbol|MYOT|MYOT
refseq_dna|NM_032995|NM_032995	hgnc_symbol|ARHGEF4|ARHGEF4
refseq_dna|NM_000401|NM_000401	hgnc_symbol|EXT2|EXT2
refseq_dna|NM_003639|NM_003639	hgnc_symbol|IKBKG|IKBKG
refseq_dna|NM_006540|NM_006540	hgnc_symbol|NCOA2|NCOA2
entrezgene|AF004884|773	hgnc_symbol|CACNA1A|CACNA1A
refseq_dna|NM_003131|NM_003131	hgnc_symbol|SRF|SRF
refseq_dna|NM_006803|NM_006803	hgnc_symbol|AP3M2|AP3M2
refseq_dna|NM_006511|NM_006511	hgnc_symbol|RSC1A1|RSC1A1
refseq_dna|NM_014817|NM_014817
refseq_dna|NM_006787|NM_006787
refseq_dna|NM_015906|NM_015906	hgnc_symbol|TRIM33|TRIM33
refseq_dna|NM_020660|NM_020660	hgnc_symbol|GJD2|GJD2
refseq_dna|NM_020989|NM_020989	hgnc_symbol|CRYGC|CRYGC
refseq_dna|NM_007055|NM_007055	hgnc_symbol|POLR3A|POLR3A
refseq_dna|NM_006575|NM_006575	hgnc_symbol|MAP4K5|MAP4K5
refseq_dna|NM_014249|NM_014249	hgnc_symbol|NR2E3|NR2E3
refseq_dna|NM_002381|NM_002381	hgnc_symbol|MATN3|MATN3
refseq_dna|NM_018314|NM_018314	hgnc_symbol|UEVLD|UEVLD
refseq_dna|NM_012106|NM_012106	hgnc_symbol|ARL2BP|ARL2BP
refseq_dna|NM_012155|NM_012155	hgnc_symbol|EML2|EML2
refseq_dna|NM_015913|NM_015913	hgnc_symbol|TXNDC12|TXNDC12
refseq_dna|NM_006727|NM_006727	hgnc_symbol|CDH10|CDH10
refseq_dna|NM_004583|NM_004583	hgnc_symbol|RAB5C|RAB5C
refseq_dna|NM_052969|NM_052969	hgnc_symbol|RPL39L|RPL39L
refseq_dna|NM_000524|NM_000524	hgnc_symbol|HTR1A|HTR1A
refseq_dna|NM_006238|NM_006238	hgnc_symbol|PPARD|PPARD
refseq_dna|NM_001424|NM_001424	hgnc_symbol|EMP2|EMP2
refseq_dna|NM_003036|NM_003036	hgnc_symbol|SKI|SKI
refseq_dna|NM_000283|NM_000283	hgnc_symbol|PDE6B|PDE6B
refseq_dna|NM_014578|NM_014578	hgnc_symbol|RHOD|RHOD
refseq_dna|NM_001794|NM_001794	hgnc_symbol|CDH4|CDH4
refseq_dna|NM_002508|NM_002508	hgnc_symbol|NID1|NID1
refseq_dna|NM_024649|NM_024649	hgnc_symbol|BBS1|BBS1
refseq_dna|NM_013299|NM_013299	hgnc_symbol|SAC3D1|SAC3D1
refseq_dna|NM_002228|NM_002228	hgnc_symbol|JUN|JUN
refseq_dna|NM_000299|NM_000299	hgnc_symbol|PKP1|PKP1
refseq_dna|NM_020685|NM_020685	hgnc_symbol|C3orf14|C3orf14
entrezgene|L34093|3117	hgnc_symbol|HLA-DQA1|HLA-DQA1
refseq_dna|NM_024050|NM_024050	hgnc_symbol|DDA1|DDA1
refseq_dna|NM_002895|NM_002895	hgnc_symbol|RBL1|RBL1
refseq_dna|NM_032938|NM_032938	hgnc_symbol|GPS2|GPS2
refseq_dna|NM_004720|NM_004720	hgnc_symbol|LPAR2|LPAR2
refseq_dna|NM_004445|NM_004445	hgnc_symbol|TRPV6|TRPV6
refseq_dna|NM_000339|NM_000339	hgnc_symbol|SLC12A3|SLC12A3
refseq_dna|NM_000123|NM_000123	hgnc_symbol|ERCC5|ERCC5
refseq_dna|NM_003345|NM_003345	hgnc_symbol|UBE2I|UBE2I
refseq_dna|NM_001969|NM_001969	hgnc_symbol|EIF5|EIF5
refseq_dna|NM_000337|NM_000337	hgnc_symbol|SGCD|SGCD
refseq_dna|NM_000567|NM_000567	hgnc_symbol|CRP|CRP
refseq_dna|NM_017936|NM_017936	hgnc_symbol|SMEK1|SMEK1
refseq_dna|NM_002955|NM_002955	hgnc_symbol|RREB1|RREB1
refseq_dna|NM_024802|NM_024802
refseq_dna|NM_000647|NM_000647	hgnc_symbol|CCR2|CCR2
refseq_dna|NM_005047|NM_005047	hgnc_symbol|PSMD5|PSMD5
refseq_dna|NM_031229|NM_031229	hgnc_symbol|RBCK1|RBCK1
refseq_dna|NM_001058|NM_001058	hgnc_symbol|TACR1|TACR1
refseq_dna|NM_003033|NM_003033	hgnc_symbol|ST3GAL1|ST3GAL1
refseq_dna|NM_000505|NM_000505	hgnc_symbol|F12|F12
refseq_dna|NM_001290|NM_001290	hgnc_symbol|LDB2|LDB2
refseq_dna|NM_004484|NM_004484	hgnc_symbol|GPC3|GPC3
refseq_dna|NM_016837|NM_016837
refseq_dna|NM_021253|NM_021253	hgnc_symbol|TRIM39|TRIM39
refseq_dna|NM_014731|NM_014731
refseq_dna|NM_014934|NM_014934	hgnc_symbol|DZIP1|DZIP1
refseq_dna|NM_020387|NM_020387	hgnc_symbol|RAB25|RAB25
refseq_dna|NM_016535|NM_016535	hgnc_symbol|ZNF581|ZNF581
refseq_dna|NM_002796|NM_002796	hgnc_symbol|PSMB4|PSMB4
refseq_dna|NM_015972|NM_015972	hgnc_symbol|POLR1D|POLR1D
refseq_dna|NM_021193|NM_021193	hgnc_symbol|HOXD12|HOXD12
refseq_dna|NM_004935|NM_004935	hgnc_symbol|CDK5|CDK5
refseq_dna|NM_000352|NM_000352	hgnc_symbol|ABCC8|ABCC8
refseq_dna|XM_003443|XM_003443
refseq_dna|NM_001842|NM_001842	hgnc_symbol|CNTFR|CNTFR
refseq_dna|NM_000787|NM_000787	hgnc_symbol|DBH|DBH
refseq_dna|NM_001165|NM_001165	hgnc_symbol|BIRC3|BIRC3
refseq_dna|NM_000942|NM_000942	hgnc_symbol|PPIB|PPIB
refseq_dna|NM_012474|NM_012474	hgnc_symbol|UCK2|UCK2
refseq_dna|XM_001466|XM_001466
refseq_dna|NM_005297|NM_005297	hgnc_symbol|MCHR1|MCHR1
refseq_dna|NM_005677|NM_005677	hgnc_symbol|COLQ|COLQ
refseq_dna|NM_002715|NM_002715	hgnc_symbol|PPP2CA|PPP2CA
refseq_dna|NM_000741|NM_000741	hgnc_symbol|CHRM4|CHRM4
refseq_dna|NM_024927|NM_024927	hgnc_symbol|PLEKHH3|PLEKHH3
refseq_dna|NM_006821|NM_006821	hgnc_symbol|ACOT2|ACOT2
refseq_dna|NM_005451|NM_005451	hgnc_symbol|PDLIM7|PDLIM7
refseq_dna|NM_025211|NM_025211	hgnc_symbol|GKAP1|GKAP1
refseq_dna|NM_014869|NM_014869	hgnc_symbol|IQSEC1|IQSEC1
refseq_dna|NM_016368|NM_016368	hgnc_symbol|ISYNA1|ISYNA1
refseq_dna|NM_018655|NM_018655	hgnc_symbol|LENEP|LENEP
refseq_dna|NM_012080|NM_012080	hgnc_symbol|HDHD1|HDHD1
refseq_dna|NM_017540|NM_017540	hgnc_symbol|GALNT10|GALNT10
refseq_dna|NM_007026|NM_007026	hgnc_symbol|DUSP14|DUSP14
refseq_dna|NM_007203|NM_007203	hgnc_symbol|PALM2|PALM2
refseq_dna|NM_024293|NM_024293	hgnc_symbol|FAM134A|FAM134A
refseq_dna|NM_016531|NM_016531	hgnc_symbol|KLF3|KLF3
refseq_dna|NM_004362|NM_004362	hgnc_symbol|CLGN|CLGN
refseq_dna|NM_019027|NM_019027	hgnc_symbol|RBM47|RBM47
refseq_dna|NM_006770|NM_006770	hgnc_symbol|MARCO|MARCO
refseq_dna|NM_000852|NM_000852	hgnc_symbol|GSTP1|GSTP1
refseq_dna|NM_000019|NM_000019	hgnc_symbol|ACAT1|ACAT1
refseq_dna|NM_022716|NM_022716	hgnc_symbol|PRRX1|PRRX1
refseq_dna|XM_017096|XM_017096
refseq_dna|NM_000779|NM_000779	hgnc_symbol|CYP4B1|CYP4B1
refseq_dna|NM_016489|NM_016489	hgnc_symbol|NT5C3|NT5C3
refseq_dna|NM_003712|NM_003712	hgnc_symbol|PPAP2C|PPAP2C
refseq_dna|NM_080424|NM_080424	hgnc_symbol|SP110|SP110
refseq_dna|NM_018467|NM_018467	hgnc_symbol|USE1|USE1
refseq_dna|NM_015396|NM_015396	hgnc_symbol|ARMC8|ARMC8
refseq_dna|NM_016174|NM_016174	hgnc_symbol|CERCAM|CERCAM
refseq_dna|NM_021190|NM_021190	hgnc_symbol|PTBP2|PTBP2
refseq_dna|NM_024837|NM_024837
refseq_dna|NM_015425|NM_015425	hgnc_symbol|POLR1A|POLR1A
refseq_dna|NM_030576|NM_030576	hgnc_symbol|LIMD2|LIMD2
refseq_dna|NM_002010|NM_002010	hgnc_symbol|FGF9|FGF9
refseq_dna|NM_014509|NM_014509
refseq_dna|NM_006890|NM_006890	hgnc_symbol|CEACAM7|CEACAM7
refseq_dna|NM_033437|NM_033437	hgnc_symbol|PDE5A|PDE5A
refseq_dna|NM_014792|NM_014792	hgnc_symbol|KIAA0125|KIAA0125
refseq_dna|NM_004047|NM_004047	hgnc_symbol|ATP6V0B|ATP6V0B
refseq_dna|NM_006094|NM_006094	hgnc_symbol|DLC1|DLC1
refseq_dna|NM_020163|NM_020163
refseq_dna|NM_003264|NM_003264	hgnc_symbol|TLR2|TLR2
refseq_dna|NM_000689|NM_000689	hgnc_symbol|ALDH1A1|ALDH1A1
refseq_dna|NM_003463|NM_003463	hgnc_symbol|PTP4A1|PTP4A1
refseq_dna|NM_006707|NM_006707	hgnc_symbol|BTNL3|BTNL3
embl|06010_HK1|06010_HK1
refseq_dna|NM_003953|NM_003953	hgnc_symbol|MPZL1|MPZL1
refseq_dna|NM_001924|NM_001924	hgnc_symbol|GADD45A|GADD45A
refseq_dna|NM_000792|NM_000792	hgnc_symbol|DIO1|DIO1
refseq_dna|NM_016323|NM_016323	hgnc_symbol|HERC5|HERC5
refseq_dna|NM_003807|NM_003807	hgnc_symbol|TNFSF14|TNFSF14
refseq_dna|NM_007043|NM_007043	hgnc_symbol|KRR1|KRR1
refseq_dna|NM_021013|NM_021013	hgnc_symbol|KRT34|KRT34
refseq_dna|NM_005104|NM_005104	hgnc_symbol|BRD2|BRD2
refseq_dna|NM_000415|NM_000415	hgnc_symbol|IAPP|IAPP
refseq_dna|NM_017444|NM_017444	hgnc_symbol|CHRAC1|CHRAC1
refseq_dna|NM_019102|NM_019102	hgnc_symbol|HOXA5|HOXA5
refseq_dna|NM_004248|NM_004248	hgnc_symbol|PRLHR|PRLHR
refseq_dna|NM_004824|NM_004824	hgnc_symbol|CDYL|CDYL
refseq_dna|NM_019048|NM_019048	hgnc_symbol|ASNSD1|ASNSD1
entrezgene|BC013294|25849	hgnc_symbol|PARM1|PARM1
refseq_dna|NM_012181|NM_012181	hgnc_symbol|FKBP8|FKBP8
refseq_dna|NM_001678|NM_001678	hgnc_symbol|ATP1B2|ATP1B2
refseq_dna|NM_002490|NM_002490	hgnc_symbol|NDUFA6|NDUFA6
refseq_dna|NM_016183|NM_016183	hgnc_symbol|MRTO4|MRTO4
refseq_dna|NM_030984|NM_030984	hgnc_symbol|TBXAS1|TBXAS1
refseq_dna|NM_006779|NM_006779	hgnc_symbol|CDC42EP2|CDC42EP2
refseq_dna|NM_024325|NM_024325	hgnc_symbol|ZNF343|ZNF343
refseq_dna|NM_003418|NM_003418	hgnc_symbol|CNBP|CNBP
refseq_dna|NM_020201|NM_020201	hgnc_symbol|NT5M|NT5M
refseq_dna|NM_018423|NM_018423	hgnc_symbol|STYK1|STYK1
refseq_dna|NM_001026|NM_001026	hgnc_symbol|RPS24|RPS24
refseq_dna|NM_015936|NM_015936	hgnc_symbol|YARS2|YARS2
refseq_dna|NM_000172|NM_000172	hgnc_symbol|GNAT1|GNAT1
refseq_dna|NM_002347|NM_002347	hgnc_symbol|LY6H|LY6H
refseq_dna|NM_002153|NM_002153	hgnc_symbol|HSD17B2|HSD17B2
refseq_dna|NM_003910|NM_003910	hgnc_symbol|BUD31|BUD31
refseq_dna|NM_000367|NM_000367	hgnc_symbol|TPMT|TPMT
refseq_dna|NM_000190|NM_000190	hgnc_symbol|HMBS|HMBS
refseq_dna|NM_017922|NM_017922	hgnc_symbol|PRPF39|PRPF39
refseq_dna|NM_016456|NM_016456	hgnc_symbol|TMEM9|TMEM9
refseq_dna|NM_021948|NM_021948	hgnc_symbol|BCAN|BCAN
refseq_dna|NM_014593|NM_014593	hgnc_symbol|CXXC1|CXXC1
refseq_dna|NM_000102|NM_000102	hgnc_symbol|CYP17A1|CYP17A1
refseq_dna|NM_014800|NM_014800	hgnc_symbol|ELMO1|ELMO1
refseq_dna|NM_004582|NM_004582	hgnc_symbol|RABGGTB|RABGGTB
refseq_dna|XM_001687|XM_001687
refseq_dna|NM_001927|NM_001927	hgnc_symbol|DES|DES
refseq_dna|NM_001922|NM_001922	hgnc_symbol|DCT|DCT
refseq_dna|NM_022055|NM_022055	hgnc_symbol|KCNK12|KCNK12
refseq_dna|NM_000326|NM_000326	hgnc_symbol|RLBP1|RLBP1
refseq_dna|NM_006017|NM_006017	hgnc_symbol|PROM1|PROM1
refseq_dna|NM_005294|NM_005294	hgnc_symbol|GPR21|GPR21
refseq_dna|NM_025150|NM_025150	hgnc_symbol|TARS2|TARS2
refseq_dna|NM_002467|NM_002467	hgnc_symbol|MYC|MYC
refseq_dna|NM_006660|NM_006660	hgnc_symbol|CLPX|CLPX
refseq_dna|NM_017958|NM_017958	hgnc_symbol|PLEKHB2|PLEKHB2
refseq_dna|NM_004915|NM_004915	hgnc_symbol|ABCG1|ABCG1
refseq_dna|NM_003211|NM_003211	hgnc_symbol|TDG|TDG
refseq_dna|NM_003581|NM_003581	hgnc_symbol|NCK2|NCK2
refseq_dna|NM_018085|NM_018085	hgnc_symbol|IPO9|IPO9
refseq_dna|NM_012323|NM_012323	hgnc_symbol|MAFF|MAFF
refseq_dna|NM_016293|NM_016293	hgnc_symbol|BIN2|BIN2
refseq_dna|NM_006163|NM_006163	hgnc_symbol|NFE2|NFE2
refseq_dna|NM_013355|NM_013355	hgnc_symbol|PKN3|PKN3
refseq_dna|NM_002227|NM_002227	hgnc_symbol|JAK1|JAK1
refseq_dna|NM_007066|NM_007066	hgnc_symbol|PKIG|PKIG
