Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	28 genes overlap with 185 genes associated with cardiovascular disease as identified by IPA	10 genes around loci associated with lipid metabolism as identified by GWAS (ref1 and ref2)	8 genes around loci associated with lipid metabolism and coronary heart disease as identified by GWAS (ref3 and ref4)	41 Lipid associated genes that show sex-biased expression in both human and mouse liver	33 Lipid associated genes that show sex-biased expression in both human and rat liver	21 common lipid associated genes that show sex-biased expression in human, mouse and rat liver	Gene Accession	Gene Name	GO Annotation	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_24_P319113	chr12:121613218-121613277	P2RX7	1	0	0	1	1	1	NM_002562	Purinergic receptor P2X, ligand-gated ion channel, 7	molecular function|ATP binding|IC|GO:0005524|GOA|9038151//molecular function|channel activity|IEA|GO:0015267|GOA|na//molecular function|copper ion binding|IEA|GO:0005507|GOA|na//molecular function|extracellular ATP-gated cation channel activity|IDA|GO:0004931|GOA|9038151//molecular function|ion channel activity|IEA|GO:0005216|GOA|na//molecular function|lipopolysaccharide binding|ISS|GO:0001530|GOA|na//molecular function|magnesium ion binding|IEA|GO:0000287|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17474147//molecular function|protein heterodimerization activity|ISS|GO:0046982|GOA|17785580//molecular function|protein homodimerization activity|NAS|GO:0042803|GOA|17895406//molecular function|purinergic nucleotide receptor activity|IDA|GO:0001614|GOA|9038151//molecular function|receptor activity|IEA|GO:0004872|GOA|na//molecular function|receptor binding|ISS|GO:0005102|GOA|17785580//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|NAD transport|IEA|GO:0043132|GOA|na//biological process|T cell homeostasis|IEA|GO:0043029|GOA|na//biological process|T cell proliferation|IEA|GO:0042098|GOA|na//biological process|activation of MAPK activity|IEA|GO:0000187|GOA|na//biological process|bleb assembly|ISS|GO:0032060|GOA|na//biological process|calcium ion transport|IEA|GO:0006816|GOA|na//biological process|cation transport|IEA|GO:0006812|GOA|na//biological process|cell morphogenesis|IEA|GO:0000902|GOA|na//biological process|cell surface receptor linked signaling pathway|ISS|GO:0007166|GOA|na//biological process|cell volume homeostasis|IEA|GO:0006884|GOA|na//biological process|cellular response to extracellular stimulus|IEA|GO:0031668|GOA|na//biological process|ceramide biosynthetic process|IEA|GO:0046513|GOA|na//biological process|collagen metabolic process|IEA|GO:0032963|GOA|na//biological process|defense response to Gram-positive bacterium|IEA|GO:0050830|GOA|na//biological process|gene expression|IEA|GO:0010467|GOA|na//biological process|homeostasis of number of cells within a tissue|IEA|GO:0048873|GOA|na//biological process|inflammatory response|IEA|GO:0006954|GOA|na//biological process|membrane budding|IEA|GO:0006900|GOA|na//biological process|membrane depolarization|IDA|GO:0051899|GOA|9038151//biological process|membrane protein ectodomain proteolysis|IEA|GO:0006509|GOA|na//biological process|mitochondrion organization|IEA|GO:0007005|GOA|na//biological process|multicellular organismal protein catabolic process|IEA|GO:0044254|GOA|na//biological process|negative regulation of MAPKKK cascade|ISS|GO:0043409|GOA|na//biological process|negative regulation of bone resorption|ISS|GO:0045779|GOA|na//biological process|oxygen and reactive oxygen species metabolic process|IEA|GO:0006800|GOA|na//biological process|phagolysosome assembly|IEA|GO:0001845|GOA|na//biological process|phospholipid transfer to membrane|IEA|GO:0006649|GOA|na//biological process|phospholipid translocation|IEA|GO:0045332|GOA|na//biological process|plasma membrane organization|IEA|GO:0007009|GOA|na//biological process|pore complex assembly|IDA|GO:0046931|GOA|9038151//biological process|positive regulation of MAPKKK cascade|IEA|GO:0043410|GOA|na//biological process|positive regulation of T cell mediated cytotoxicity|IEA|GO:0001916|GOA|na//biological process|positive regulation of apoptosis|IEA|GO:0043065|GOA|na//biological process|positive regulation of bone mineralization|ISS|GO:0030501|GOA|na//biological process|positive regulation of calcium ion transport into cytosol|IDA|GO:0010524|GOA|9038151//biological process|positive regulation of catalytic activity|IEA|GO:0043085|GOA|na//biological process|positive regulation of cytokine secretion|IEA|GO:0050715|GOA|na//biological process|positive regulation of cytolysis|ISS|GO:0045919|GOA|na//biological process|positive regulation of cytoskeleton organization|ISS|GO:0051495|GOA|na//biological process|positive regulation of gamma-aminobutyric acid secretion|IEA|GO:0014054|GOA|na//biological process|positive regulation of glutamate secretion|IEA|GO:0014049|GOA|na//biological process|positive regulation of interleukin-1 alpha secretion|IEA|GO:0050717|GOA|na//biological process|positive regulation of interleukin-1 beta secretion|IDA|GO:0050718|GOA|ARRAY(0x17ec5e8)//biological process|positive regulation of interleukin-6 production|IEA|GO:0032755|GOA|na//biological process|positive regulation of mitochondrial depolarization|IEA|GO:0051901|GOA|na//biological process|positive regulation of prostaglandin secretion|IEA|GO:0032308|GOA|na//biological process|positive regulation of protein amino acid phosphorylation|IEA|GO:0001934|GOA|na//biological process|protein oligomerization|IEA|GO:0051259|GOA|na//biological process|protein processing|IEA|GO:0016485|GOA|na//biological process|regulation of action potential in neuron|IEA|GO:0019228|GOA|na//biological process|regulation of apoptosis|ISS|GO:0042981|GOA|na//biological process|regulation of killing of cells of another organism|NAS|GO:0051709|GOA|17785580//biological process|regulation of sodium ion transport|ISS|GO:0002028|GOA|17785580//biological process|release of sequestered calcium ion into cytosol|IEA|GO:0051209|GOA|na//biological process|response to ATP|IDA|GO:0033198|GOA|9038151//biological process|response to bacterium|IEA|GO:0009617|GOA|na//biological process|response to calcium ion|IEA|GO:0051592|GOA|na//biological process|response to drug|IEA|GO:0042493|GOA|na//biological process|response to electrical stimulus|IEA|GO:0051602|GOA|na//biological process|response to fluid shear stress|IEA|GO:0034405|GOA|na//biological process|response to lipopolysaccharide|IEA|GO:0032496|GOA|na//biological process|response to mechanical stimulus|IEA|GO:0009612|GOA|na//biological process|response to organic cyclic substance|IEA|GO:0014070|GOA|na//biological process|response to protein stimulus|IEA|GO:0051789|GOA|na//biological process|response to zinc ion|IEA|GO:0010043|GOA|na//biological process|sensory perception of pain|ISS|GO:0019233|GOA|na//biological process|skeletal system morphogenesis|IEA|GO:0048705|GOA|na//biological process|synaptic vesicle exocytosis|IEA|GO:0016079|GOA|na//cellular component|bleb|ISS|GO:0032059|GOA|na//cellular component|cell-cell junction|IEA|GO:0005911|GOA|na//cellular component|cytoplasm|ISS|GO:0005737|GOA|na//cellular component|external side of plasma membrane|IEA|GO:0009897|GOA|na//cellular component|integral to nuclear inner membrane|IEA|GO:0005639|GOA|na//cellular component|integral to plasma membrane|IC|GO:0005887|GOA|9038151//cellular component|membrane|IDA|GO:0016020|GOA|17785580//cellular component|membrane raft|IEA|GO:0045121|GOA|na//cellular component|neuromuscular junction|IEA|GO:0031594|GOA|na//cellular component|neuronal cell body|IEA|GO:0043025|GOA|na//cellular component|plasma membrane|ISS|GO:0005886|GOA|17785580//cellular component|synaptosome|IEA|GO:0019717|GOA|na//cellular component|terminal button|IEA|GO:0043195|GOA|na	F	14	0.687	-1.4556	0.000021853	48.0552	31.2578
A_23_P62953	chr1:164781270-164781329	PBX1	1	0	0	1	1	1	NM_002585	Pre-B-cell leukemia homeobox 1	molecular function|DNA binding|IDA|GO:0003677|GOA|10052460//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2e90cb0)//molecular function|protein heterodimerization activity|IEA|GO:0046982|GOA|na//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|adrenal gland development|IEA|GO:0030325|GOA|na//biological process|anterior/posterior pattern formation|IEA|GO:0009952|GOA|na//biological process|branching involved in ureteric bud morphogenesis|IEA|GO:0001658|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|embryonic hemopoiesis|IEA|GO:0035162|GOA|na//biological process|embryonic limb morphogenesis|IEA|GO:0030326|GOA|na//biological process|embryonic skeletal system development|IEA|GO:0048706|GOA|na//biological process|negative regulation of neuron differentiation|IEA|GO:0045665|GOA|na//biological process|organ morphogenesis|IEA|GO:0009887|GOA|na//biological process|positive regulation of cell proliferation|IEA|GO:0008284|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|proximal/distal pattern formation|IEA|GO:0009954|GOA|na//biological process|regulation of ossification|IEA|GO:0030278|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|sex differentiation|IEA|GO:0007548|GOA|na//biological process|spleen development|IEA|GO:0048536|GOA|na//biological process|steroid biosynthetic process|IEA|GO:0006694|GOA|na//biological process|thymus development|IEA|GO:0048538|GOA|na//biological process|urogenital system development|IEA|GO:0001655|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	M	16	1.6939	1.6939	2.2758E-36	70.4346	119.1055
A_23_P56640	chr2:70504199-70504258	PCYOX1	0	0	0	1	0	0	NM_016297	Prenylcysteine oxidase 1	molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|chloride-transporting ATPase activity|IEA|GO:0008555|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|prenylcysteine oxidase activity|IDA|GO:0001735|GOA|10585463//biological process|chloride transport|IEA|GO:0006821|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|prenylated protein catabolic process|IDA|GO:0030327|GOA|10585463//biological process|prenylated protein catabolic process|NAS|GO:0030327|GOA|9287348//biological process|prenylcysteine catabolic process|IEA|GO:0030328|GOA|na//biological process|prenylcysteine metabolic process|NAS|GO:0030329|GOA|9287348//cellular component|lysosome|IDA|GO:0005764|GOA|10585463//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|very-low-density lipoprotein particle|IDA|GO:0034361|GOA|17154273	F	15	0.8186	-1.2216	3.9721E-09	919.9664	747.2124
A_32_P49199	chr11:100900858-100900917	PGR	0	0	0	0	0	0	NM_000926	Progesterone receptor	molecular function|DNA binding|TAS|GO:0003677|GOA|3551956//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x4a80af8)//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|steroid binding|IEA|GO:0005496|GOA|na//molecular function|steroid hormone receptor activity|IEA|GO:0003707|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|cell-cell signaling|TAS|GO:0007267|GOA|1557371//biological process|epithelial cell maturation|IEA|GO:0002070|GOA|na//biological process|mammary gland development|IEA|GO:0030879|GOA|na//biological process|ovulation from ovarian follicle|IEA|GO:0001542|GOA|na//biological process|progesterone receptor signaling pathway|IEA|GO:0050847|GOA|na//biological process|regulation of epithelial cell proliferation|IEA|GO:0050678|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|signal transduction|TAS|GO:0007165|GOA|1557371//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|intracellular membrane-bounded organelle|IDA|GO:0043231|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	F	14	0.8493	-1.1774	9.0808E-11	86.3098	73.2407
A_23_P115919	chr10:13320283-13320342	PHYH	0	0	0	1	1	1	NM_006214	Phytanoyl-CoA 2-hydroxylase	molecular function|L-ascorbic acid binding|IEA|GO:0031418|GOA|na//molecular function|catalytic activity|TAS|GO:0003824|GOA|9326939//molecular function|electron carrier activity|TAS|GO:0009055|GOA|8954107//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//molecular function|phytanoyl-CoA dioxygenase activity|IEA|GO:0048244|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17353931//biological process|lipid metabolic process|TAS|GO:0006629|GOA|8954107//biological process|nervous system development|TAS|GO:0007399|GOA|9326940//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|response to stimulus|IEA|GO:0050896|GOA|na//biological process|visual perception|IEA|GO:0007601|GOA|na//cellular component|peroxisome|IEA|GO:0005777|GOA|na	F	16	0.7745	-1.2912	3.6888E-20	40966.5977	31593.3301
A_23_P127339	chr10:99433715-99433774	PI4K2A	0	0	0	0	1	0	NM_018425	Phosphatidylinositol 4-kinase type 2 alpha	molecular function|1-phosphatidylinositol 4-kinase activity|IDA|GO:0004430|GOA|11279162//molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|kinase activity|IEA|GO:0016301|GOA|na//molecular function|magnesium ion binding|NAS|GO:0000287|GOA|11279162//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein complex binding|IEA|GO:0032403|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|basophil degranulation|IEA|GO:0002561|GOA|na//biological process|phosphatidylinositol biosynthetic process|IDA|GO:0006661|GOA|11279162//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|early endosome membrane|IEA|GO:0031901|GOA|na//cellular component|exocytic vesicle|IEA|GO:0070382|GOA|na//cellular component|integral to plasma membrane|IDA|GO:0005887|GOA|11279162//cellular component|membrane raft|IDA|GO:0045121|GOA|11279162//cellular component|microsome|IEA|GO:0005792|GOA|na//cellular component|perikaryon|IEA|GO:0043204|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|protein complex|IEA|GO:0043234|GOA|na//cellular component|synaptic vesicle membrane|IEA|GO:0030672|GOA|na	F	14	0.7665	-1.3047	9.2018E-12	179.9502	137.0266
A_23_P92057	chr3:178951880-178951939	PIK3CA	0	0	0	0	0	0	NM_006218	Phosphoinositide-3-kinase, catalytic, alpha polypeptide	molecular function|1-phosphatidylinositol-3-kinase activity|IDA|GO:0016303|GOA|2174051//molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|inositol or phosphatidylinositol kinase activity|IEA|GO:0004428|GOA|na//molecular function|insulin receptor substrate binding|IEA|GO:0043560|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|EXP|GO:0046934|GOA|ARRAY(0x1c43dd0)//molecular function|phosphotransferase activity, alcohol group as acceptor|IEA|GO:0016773|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|10490823//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|anti-apoptosis|IEA|GO:0006916|GOA|na//biological process|glucose metabolic process|IEA|GO:0006006|GOA|na//biological process|phosphoinositide phosphorylation|IEA|GO:0046854|GOA|na//biological process|phosphoinositide-mediated signaling|IEA|GO:0048015|GOA|na//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//biological process|protein kinase B signaling cascade|IEA|GO:0043491|GOA|na//biological process|regulation of multicellular organism growth|IEA|GO:0040014|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|ARRAY(0x4a59c98)//cellular component|lamellipodium|IEA|GO:0030027|GOA|na//cellular component|phosphoinositide 3-kinase complex|IEA|GO:0005942|GOA|na	F	14	0.8544	-1.1704	3.6805E-08	1836.9532	1560.7057
A_24_P294408	chr3:119348247-119348306	PLA1A	0	0	0	1	1	1	NM_015900	Phospholipase A1 member A	molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|phospholipase A1 activity|TAS|GO:0008970|GOA|10196188//biological process|lipid catabolic process|IEA|GO:0016042|GOA|na//biological process|lipid metabolic process|TAS|GO:0006629|GOA|10196188//biological process|phosphatidylserine metabolic process|TAS|GO:0006658|GOA|10196188//cellular component|extracellular region|IEA|GO:0005576|GOA|na	M	14	1.1537	1.1537	4.0693E-07	2732.1257	3155.0679
A_24_P224116	chr12:120759953-120760012	PLA2G1B	0	0	0	0	1	0	NM_000928	Phospholipase A2, group IB (pancreas)	molecular function|bile acid binding|ISS|GO:0032052|GOA|7060561//molecular function|calcium ion binding|IDA|GO:0005509|GOA|7060561//molecular function|calcium-dependent phospholipase A2 activity|IDA|GO:0047498|GOA|7060561//molecular function|cell surface binding|IDA|GO:0043498|GOA|1918029//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|phospholipase A2 activity|IDA|GO:0004623|GOA|1918029//molecular function|receptor binding|IDA|GO:0005102|GOA|1918029//biological process|actin filament organization|TAS|GO:0007015|GOA|9886417//biological process|activation of MAPK activity|ISS|GO:0000187|GOA|ARRAY(0x2ed11fc)//biological process|activation of phospholipase A2 activity|TAS|GO:0032431|GOA|17981679//biological process|arachidonic acid secretion|TAS|GO:0050482|GOA|12423354//biological process|cellular response to insulin stimulus|ISS|GO:0032869|GOA|1918029//biological process|fatty acid biosynthetic process|IDA|GO:0006633|GOA|1918029//biological process|glucose transport|ISS|GO:0015758|GOA|1918029//biological process|interleukin-8 production|ISS|GO:0032637|GOA|15528384//biological process|leukotriene biosynthetic process|ISS|GO:0019370|GOA|16005851//biological process|multicellular organismal lipid catabolic process|IDA|GO:0044240|GOA|7060561//biological process|neutrophil chemotaxis|ISS|GO:0030593|GOA|16005851//biological process|neutrophil mediated immunity|ISS|GO:0002446|GOA|16005851//biological process|phosphatidylcholine metabolic process|IDA|GO:0046470|GOA|7060561//biological process|phospholipid metabolic process|IEA|GO:0006644|GOA|na//biological process|positive regulation of DNA replication|IDA|GO:0045740|GOA|1918029//biological process|positive regulation of NF-kappaB transcription factor activity|ISS|GO:0051092|GOA|15528384//biological process|positive regulation of calcium ion transport into cytosol|ISS|GO:0010524|GOA|15528384//biological process|positive regulation of fibroblast proliferation|IC|GO:0048146|GOA|1918029//biological process|positive regulation of gene-specific transcription from RNA polymerase II promoter|ISS|GO:0010552|GOA|15528384//biological process|positive regulation of immune response|ISS|GO:0050778|GOA|16005851//biological process|positive regulation of protein secretion|TAS|GO:0050714|GOA|17981679//biological process|protein kinase cascade|ISS|GO:0007243|GOA|15528384//biological process|signal transduction|TAS|GO:0007165|GOA|9886417//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|extracellular space|IDA|GO:0005615|GOA|7060561//cellular component|secretory granule|IEA|GO:0030141|GOA|na	F	15	0.8272	-1.2089	8.951E-12	132.9177	110.4374
A_23_P17914	chr22:44342759-44342818	PNPLA3	0	0	0	1	0	0	NM_025225	Patatin-like phospholipase domain containing 3	molecular function|acyltransferase activity|IEA|GO:0008415|GOA|na//molecular function|diolein transacylation activity|IDA|GO:0051265|GOA|15364929//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|mono-olein transacylation activity|IDA|GO:0051264|GOA|15364929//molecular function|phospholipase A2 activity|IDA|GO:0004623|GOA|15364929//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|triglyceride lipase activity|IDA|GO:0004806|GOA|15364929//biological process|lipid catabolic process|IEA|GO:0016042|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|triglyceride biosynthetic process|IDA|GO:0019432|GOA|15364929//biological process|triglyceride catabolic process|IDA|GO:0019433|GOA|15364929//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|ISS|GO:0016020|GOA|na	F	16	0.75	-1.3334	2.2755E-27	11169.8574	8339.7031
A_24_P943815	chrX:7867059-7867118	PNPLA4	0	0	0	0	0	0	NM_004650	Patatin-like phospholipase domain containing 4	molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|molecular_function|ND|GO:0003674|GOA|na//molecular function|triglyceride lipase activity|IEA|GO:0004806|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|lipid catabolic process|IEA|GO:0016042|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//cellular component|cellular_component|ND|GO:0005575|GOA|na	F	16	0.5851	-1.7091	0	1426.7476	834.6197
A_23_P211643	chr22:46615754-46615813	PPARA	1	0	0	0	1	0	NM_005036	Peroxisome proliferator-activated receptor alpha	molecular function|DNA binding|TAS|GO:0003677|GOA|10860941//molecular function|drug binding|IDA|GO:0008144|GOA|ARRAY(0x1b9842c)//molecular function|ligand-dependent nuclear receptor activity|IDA|GO:0004879|GOA|12955147//molecular function|ligand-regulated transcription factor activity|IEA|GO:0003706|GOA|na//molecular function|lipid binding|IDA|GO:0008289|GOA|12955147//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x46f38ac)//molecular function|protein binding|ISS|GO:0005515|GOA|na//molecular function|protein domain specific binding|IEA|GO:0019904|GOA|na//molecular function|sequence-specific DNA binding|ISS|GO:0043565|GOA|na//molecular function|steroid hormone receptor activity|IEA|GO:0003707|GOA|na//molecular function|transcription activator activity|IDA|GO:0016563|GOA|12955147//molecular function|transcription factor activity|ISS|GO:0003700|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|epidermis development|IEA|GO:0008544|GOA|na//biological process|fatty acid metabolic process|TAS|GO:0006631|GOA|10377439//biological process|fatty acid transport|TAS|GO:0015908|GOA|16271724//biological process|lipid metabolic process|TAS|GO:0006629|GOA|ARRAY(0x1ce28d0)//biological process|lipoprotein metabolic process|IEA|GO:0042157|GOA|na//biological process|negative regulation of appetite|ISS|GO:0032099|GOA|na//biological process|negative regulation of blood pressure|IEA|GO:0045776|GOA|na//biological process|negative regulation of cholesterol storage|IDA|GO:0010887|GOA|19114110//biological process|negative regulation of gene-specific transcription from RNA polymerase II promoter|IDA|GO:0010553|GOA|12700342//biological process|negative regulation of macrophage derived foam cell differentiation|IC|GO:0010745|GOA|12700342//biological process|negative regulation of macrophage derived foam cell differentiation|IDA|GO:0010745|GOA|19114110//biological process|negative regulation of receptor biosynthetic process|IDA|GO:0010871|GOA|12700342//biological process|negative regulation of sequestering of triglyceride|IDA|GO:0010891|GOA|12700342//biological process|positive regulation of fatty acid beta-oxidation|TAS|GO:0032000|GOA|16271724//biological process|positive regulation of fatty acid oxidation|ISS|GO:0046321|GOA|na//biological process|positive regulation of transcription|IEA|GO:0045941|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|regulation of fatty acid metabolic process|IEA|GO:0019217|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|response to hypoxia|IEA|GO:0001666|GOA|na//biological process|response to insulin stimulus|IEA|GO:0032868|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|7684926//biological process|wound healing|IEA|GO:0042060|GOA|na//cellular component|nucleus|TAS|GO:0005634|GOA|16271724	F	16	0.6993	-1.4299	1.3527E-25	262.3121	184.5482
A_24_P84719	chr12:112892402-112892464	PTPN11	1	0	0	0	0	0	L03535	Protein tyrosine phosphatase, non-receptor type 11	molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|insulin receptor binding|IEA|GO:0005158|GOA|na//molecular function|insulin receptor substrate binding|IEA|GO:0043560|GOA|na//molecular function|non-membrane spanning protein tyrosine phosphatase activity|EXP|GO:0004726|GOA|ARRAY(0xec0280)//molecular function|peptide hormone receptor binding|IEA|GO:0051428|GOA|na//molecular function|phospholipase binding|IEA|GO:0043274|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2f423e8)//molecular function|protein domain specific binding|IEA|GO:0019904|GOA|na//molecular function|protein tyrosine phosphatase activity|TAS|GO:0004725|GOA|1280823//biological process|DNA damage checkpoint|IEA|GO:0000077|GOA|na//biological process|activation of MAPK activity|IEA|GO:0000187|GOA|na//biological process|axonogenesis|IEA|GO:0007409|GOA|na//biological process|glucose homeostasis|IEA|GO:0042593|GOA|na//biological process|hormone metabolic process|IEA|GO:0042445|GOA|na//biological process|hormone-mediated signaling pathway|IEA|GO:0009755|GOA|na//biological process|lipid metabolic process|IEA|GO:0006629|GOA|na//biological process|negative regulation of cortisol secretion|IEA|GO:0051463|GOA|na//biological process|negative regulation of growth hormone secretion|IEA|GO:0060125|GOA|na//biological process|negative regulation of insulin secretion|IEA|GO:0046676|GOA|na//biological process|nerve growth factor receptor signaling pathway|IEA|GO:0048011|GOA|na//biological process|organ growth|IEA|GO:0035265|GOA|na//biological process|positive regulation of hormone secretion|IEA|GO:0046887|GOA|na//biological process|positive regulation of signal transduction|IEA|GO:0009967|GOA|na//biological process|protein amino acid dephosphorylation|IEA|GO:0006470|GOA|na//biological process|regulation of multicellular organism growth|IEA|GO:0040014|GOA|na//biological process|regulation of protein export from nucleus|IEA|GO:0046825|GOA|na//biological process|reproductive process in a multicellular organism|IEA|GO:0048609|GOA|na//biological process|signal transduction|TAS|GO:0007165|GOA|1280823//biological process|triglyceride metabolic process|IEA|GO:0006641|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|ARRAY(0x1a5d66c)//cellular component|mitochondrion|IEA|GO:0005739|GOA|na//cellular component|protein complex|IEA|GO:0043234|GOA|na//cellular component|soluble fraction|IEA|GO:0005625|GOA|na	F	16	0.7063	-1.4159	8.3608E-11	308.9974	216.9145
A_24_P384954	chr6:163992231-163992290	QKI	0	0	0	1	0	0	NM_206855	quaking homolog, KH domain RNA binding (mouse)	molecular function|RNA binding|IEA|GO:0003723|GOA|na//molecular function|SH3 domain binding|IEA|GO:0017124|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|16713569//biological process|RNA splicing|IEA|GO:0008380|GOA|na//biological process|long-chain fatty acid biosynthetic process|IEA|GO:0042759|GOA|na//biological process|mRNA processing|IEA|GO:0006397|GOA|na//biological process|mRNA transport|IEA|GO:0051028|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|muscle cell differentiation|IEA|GO:0042692|GOA|na//biological process|myelination|IEA|GO:0042552|GOA|na//biological process|regulation of translation|IEA|GO:0006417|GOA|na//biological process|spermatogenesis|IEA|GO:0007283|GOA|na//biological process|transport|IEA|GO:0006810|GOA|na//biological process|vasculogenesis|IEA|GO:0001570|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|plasma membrane|IDA|GO:0005886|GOA|18029348	F	15	0.7136	-1.4014	4.7328E-21	2044.7665	1460.7323
