ProbeName	p-value	FCAbsolute	regulation	[Group(DMH+Calcium)](raw)	[Group(DMH)](raw)	[Group(DMH+Calcium)](normalized)	[Group(DMH)](normalized)	GenbankAccession	GenomicCoordinates	GeneSymbol	Description	UniGeneID	EntrezGeneID	EnsemblID	TIGRID
A_52_P301821	0.000803804	3.1794329	down	36.89097	118.29832	-1.0519282	0.6168413	NM_053078	chr18:33597905-33597846	D0H4S114	Mus musculus DNA segment, human D4S114 (D0H4S114), transcript variant 1, mRNA [NM_053078]	Mm.407415	27528	ENSMUST00000051087	TC1573921
A_52_P142143	0.005288384	1.6459222	up	723.5468	467.77902	3.3123646	2.5934684	AK157145	chr2:163162679-163162620	Jph2	junctophilin 2 Gene [Source:MGI Symbol;Acc:MGI:1891496] [ENSMUST00000109425]	Mm.34459	59091	ENSMUST00000109425	TC1584541
A_51_P256632	0.000860944	3.5095196	down	27489.04	97953.54	8.505959	10.317232	NM_001082531	chr4:138390766-138390825	Pla2g2a	Mus musculus phospholipase A2, group IIA (platelets, synovial fluid) (Pla2g2a), mRNA [NM_001082531]	Mm.4675	18780		TC1576245
A_52_P186262	0.007633348	1.8756598	down	375.09558	730.44946	2.3392375	3.2466357	AF163743	chr6:70165770-70165829		V(Kappa) gene product Fragment  [Source:UniProtKB/TrEMBL;Acc:A2NUE7] [ENSMUST00000103383]	Mm.423820		ENSMUST00000103383	NP_046301
A_52_P486702	0.038739115	1.5237424	down	1021.18317	1606.0371	3.776778	4.384397	NM_013716	chr11:55312117-55312967	G3bp1	Mus musculus Ras-GTPase-activating protein SH3-domain binding protein 1 (G3bp1), mRNA [NM_013716]	Mm.380129	27041	ENSMUST00000018727	TC1577633
A_51_P100505	0.004009979	2.1084194	up	716.36206	354.48068	3.2713482	2.1951864	AK054424	chr12:16988555-16988614		Mus musculus 2 days pregnant adult female ovary cDNA, RIKEN full-length enriched library, clone:E330024G11 product:unclassifiable, full insert sequence. [AK054424]	Mm.276024
A_52_P980224	0.001073964	1.8555423	up	44.343082	25.153997	-0.71755743	-1.6093984	AK084027	chr9:59763904-59763963		Mus musculus 12 days embryo spinal ganglion cDNA, RIKEN full-length enriched library, clone:D130077D15 product:unclassifiable, full insert sequence. [AK084027]				TC1606975
A_51_P364632	0.007338537	1.5077786	down	121.2056	193.19807	0.7370994	1.329524	NM_011893	chr5:34905707-34905766	Sh3bp2	Mus musculus SH3-domain binding protein 2 (Sh3bp2), transcript variant 1, mRNA [NM_011893]	Mm.5012	24055	ENSMUST00000118545	TC1577452
A_51_P230716	0.025784014	2.4083264	down	564.88654	1296.546	2.8110573	4.079088	XM_917510	chr12:116358226-116358167		Ig heavy chain V region B1-8/186-2 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:P01751] [ENSMUST00000103541]	Mm.361298		ENSMUST00000103521	NP_045447
A_52_P443776	0.09870345	1.7195969	down	85.799225	151.18402	0.13566113	0.91773146	U41425	chr12:116550552-116550493		Mus musculus monoclonal antibody FC1 to beta-2-glycoprotein I, Ig heavy chain variable region mRNA, partial cds. [U41425]	Mm.342188		ENSMUST00000103529	NP_1083004
A_52_P506995	8.04E-05	3.72919	down	537.9085	1959.6417	2.7770615	4.675924	NM_029639	chr9:50307294-50307353	1600029D21Rik	Mus musculus RIKEN cDNA 1600029D21 gene (1600029D21Rik), mRNA [NM_029639]	Mm.29959	76509	ENSMUST00000034572	TC1779948
A_51_P241068	0.02067677	3.7156947	down	126.0483	408.47366	0.51291496	2.4065468	NM_020265	chr3:131842357-131842416	Dkk2	Mus musculus dickkopf homolog 2 (Xenopus laevis) (Dkk2), mRNA [NM_020265]	Mm.103593	56811	ENSMUST00000029665	TC1582753
A_52_P110534	0.019577064	1.7083707	down	42.488167	76.32098	-0.80370194	-0.031080881	NM_009445	chr9:83758726-83761669	Ttk	Mus musculus Ttk protein kinase (Ttk), transcript variant 1, mRNA [NM_009445]	Mm.1904	22137	ENSMUST00000070326	TC1594270
A_51_P292357	0.035754677	3.622802	up	3408.1047	1093.276	5.334191	3.4770849	NM_016959	chr3:85942458-85942027	Rps3a	Mus musculus ribosomal protein S3A (Rps3a), mRNA [NM_016959]	Mm.399829	20091	ENSMUST00000074680	TC1724097
A_52_P662203	0.017466912	1.5489745	up	58.93391	41.382633	-0.3075377	-0.9388512	AF148511	chr8:34894310-34894251	Rbpms	Mus musculus hermes mRNA, complete cds. [AF148511]	Mm.323997	19663		TC1596979
A_52_P406828	0.06521087	1.5636206	down	143.00487	245.69844	0.9624637	1.6073542	NM_001030307	chrX:72354473-72354532	Dkc1	Mus musculus dyskeratosis congenita 1, dyskerin homolog (human) (Dkc1), mRNA [NM_001030307]	Mm.291062	245474	ENSMUST00000033776	TC1575853
A_52_P64687	0.000167866	5.661654	up	459.80142	95.68517	2.6491454	0.14792173	NM_025451	chr4:138013368-138013427	Camk2n1	Mus musculus calcium/calmodulin-dependent protein kinase II inhibitor 1 (Camk2n1), mRNA [NM_025451]	Mm.41603	66259	ENSMUST00000050918	TC1699261
A_52_P18116	0.000651104	2.649264	down	191.34961	527.77264	1.3752451	2.7808368	NM_019577	chr5:136046544-136046485	Ccl24	Mus musculus chemokine (C-C motif) ligand 24 (Ccl24), mRNA [NM_019577]	Mm.31505	56221	ENSMUST00000004936	NP_921295
A_51_P470542	0.049879085	1.5094523	up	398.76953	270.4415	2.4109766	1.8169514	NM_009693	chr12:8023134-8023193	Apob	Mus musculus apolipoprotein B (Apob), mRNA [NM_009693]	Mm.221239	238055	ENSMUST00000037520	TC1612818
A_51_P511250	0.016731825	1.7170929	up	1498.2866	908.894	4.341516	3.561548	NM_175307	chr4:133043730-133043789	Fam46b	Mus musculus family with sequence similarity 46, member B (Fam46b), mRNA [NM_175307]	Mm.204656	100342	ENSMUST00000051676	TC1580055
A_52_P68735	2.53E-05	1.5629227	down	207.51958	338.7473	1.4973596	2.141606	NM_001013829	chr2:122182863-122179919	Shf	Mus musculus Src homology 2 domain containing F (Shf), mRNA [NM_001013829]	Mm.458215	435684	ENSMUST00000110532	TC1699183
A_52_P668488	0.03255317	1.6132424	down	59.02829	97.48175	-0.35090628	0.33905697	NM_007459	chr7:148812060-148813822	Ap2a2	Mus musculus adaptor protein complex AP-2, alpha 2 subunit (Ap2a2), mRNA [NM_007459]	Mm.253090	11772	ENSMUST00000003038	TC1720485
A_51_P116289	0.026793543	1.6472226	down	83.366905	143.15678	0.17397563	0.8940112	NM_027930	chr10:20080874-20080933	Fam54a	Mus musculus family with sequence similarity 54, member A (Fam54a), mRNA [NM_027930]	Mm.262151	71804		TC1583437
A_52_P52586	0.015551612	1.6828551	down	121.7333	224.02551	0.737698	1.488609	AK155029	chr4:86494923-86494982	Dennd4c	DENN/MADD domain containing 4C Gene [Source:MGI Symbol;Acc:MGI:1914769] [ENSMUST00000082026]	Mm.273718	329877	ENSMUST00000082026	TC1780919
A_52_P97889	0.000718719	1.856249	down	154.76991	302.04782	1.0841306	1.9765209	NM_177897	chr7:148257556-148257615	B4galnt4	Mus musculus beta-1,4-N-acetyl-galactosaminyl transferase 4 (B4galnt4), mRNA [NM_177897]	Mm.133741	330671	ENSMUST00000048002	TC1601086
A_51_P380178	0.000988832	1.6181432	down	4793.723	8154.502	6.038971	6.73331	NM_008321	chr4:135700075-135700249	Id3	Mus musculus inhibitor of DNA binding 3 (Id3), mRNA [NM_008321]	Mm.110	15903	ENSMUST00000008016	TC1662250
A_51_P445683	0.000675839	1.5195774	down	11383.269	17838.803	7.2589855	7.8626556	NM_133732	chr9:15087949-15087890	4931406C07Rik	Mus musculus RIKEN cDNA 4931406C07 gene (4931406C07Rik), mRNA [NM_133732]	Mm.261842	70984	ENSMUST00000034414	TC1574071
A_51_P150876	2.12E-05	2.7718203	down	48.655624	139.18263	-0.61034983	0.86048394	NM_133743	chr7:25425989-25426048	Lypd3	Mus musculus Ly6/Plaur domain containing 3 (Lypd3), mRNA [NM_133743]	Mm.281093	72434	ENSMUST00000080718	TC1583029
A_52_P612928	0.028073698	1.5223528	up	216.4095	153.80438	1.5726856	0.9663828	NM_001081141	chr4:46737186-46731752	Gabbr2	Mus musculus gamma-aminobutyric acid (GABA) B receptor, 2 (Gabbr2), mRNA [NM_001081141]	Mm.101909	242425	ENSMUST00000107749	TC1604208
A_51_P157677	0.020307668	1.7509986	up	8115.771	4798.2593	6.767431	5.959253	NM_016798	chr8:47004578-47004637	Pdlim3	Mus musculus PDZ and LIM domain 3 (Pdlim3), mRNA [NM_016798]	Mm.282900	53318	ENSMUST00000034053	TC1577676
A_51_P206708	0.007288196	1.6680622	down	96.811424	164.16014	0.3599007	1.0980738	NM_053115	chr14:9062677-9058288	Acox2	Mus musculus acyl-Coenzyme A oxidase 2, branched chain (Acox2), transcript variant 1, mRNA [NM_053115]	Mm.28700	93732	ENSMUST00000022271	TC1581172
A_51_P219173	0.000232984	1.6942576	up	88.62912	55.060913	0.2790792	-0.48157406	NM_031169	chr11:33866191-33866250	Kcnmb1	Mus musculus potassium large conductance calcium-activated channel, subfamily M, beta member 1 (Kcnmb1), mRNA [NM_031169]	Mm.6206	16533	ENSMUST00000020362	TC1587297
A_52_P411296	0.05567864	1.6369177	down	1276.93	2143.0984	4.09098	4.801962	NM_021389	chrX:156411947-156412006	Sh3kbp1	Mus musculus SH3-domain kinase binding protein 1 (Sh3kbp1), transcript variant 2, mRNA [NM_021389]	Mm.286495	58194	ENSMUST00000080394	TC1575307
A_51_P402225	1.03E-05	2.1444893	down	440.07492	988.72296	2.5886467	3.6892807	NM_001081169	chr12:113364874-113364933	Aspg	Mus musculus asparaginase homolog (S. cerevisiae) (Aspg), mRNA [NM_001081169]	Mm.77133	104816	ENSMUST00000079400	TC1602274
A_51_P461902	0.047199424	2.1237278	down	2711.3586	5445.15	5.0636387	6.1502376	L22886			Mus musculus rearranged IgH mRNA, V-region, cell line Cyd-1. [L22886]	Mm.474964			NP_058619
A_51_P447874	0.000802806	2.004457	up	81.81609	43.19694	0.13861895	-0.86459255	NM_013868	chr4:140979914-140979973	Hspb7	Mus musculus heat shock protein family, member 7 (cardiovascular) (Hspb7), mRNA [NM_013868]	Mm.46181	29818	ENSMUST00000102486	TC1578840
A_51_P466673	0.003495032	1.5217245	down	1098.3986	1759.1383	3.9111042	4.5168114	NM_146083	chr17:80600364-80600305	Sfrs7	Mus musculus splicing factor, arginine/serine-rich 7 (Sfrs7), mRNA [NM_146083]	Mm.292016	225027		TC1627751
A_51_P279575	0.009078979	1.5519135	down	42.685856	68.9447	-0.791815	-0.15776682	NM_009860	chr18:34904527-34903661	Cdc25c	Mus musculus cell division cycle 25 homolog C (S. pombe) (Cdc25c), mRNA [NM_009860]	Mm.286602	12532	ENSMUST00000060710	TC1579191
A_52_P16419	5.39E-07	1.9285415	down	2728.319	5481.272	5.2126846	6.160195	NM_010271	chr15:99555334-99555393	Gpd1	Mus musculus glycerol-3-phosphate dehydrogenase 1 (soluble) (Gpd1), mRNA [NM_010271]	Mm.252391	14555	ENSMUST00000023760	NP_1489974
A_52_P306697	0.031267297	1.7462592	up	62.64944	37.899303	-0.24411114	-1.0483788	NM_007868	chrX:82389391-82389450	Dmd	Mus musculus dystrophin, muscular dystrophy (Dmd), mRNA [NM_007868]	Mm.275608	13405	ENSMUST00000113992	TC1601822
A_51_P164219	0.002663291	1.7397135	down	1007.41895	1831.7363	3.779143	4.577993	NM_011909	chr6:121220513-121220572	Usp18	Mus musculus ubiquitin specific peptidase 18 (Usp18), mRNA [NM_011909]	Mm.326911	24110	ENSMUST00000032198	TC1579171
A_51_P399143	0.003398615	1.9687968	up	959.74567	506.75858	3.700536	2.7232218	NM_009034	chr9:98408294-98409989	Rbp2	Mus musculus retinol binding protein 2, cellular (Rbp2), mRNA [NM_009034]	Mm.12825	19660	ENSMUST00000035029	TC1580987
A_51_P128248	0.001984992	2.7784681	down	920.4263	2594.045	3.6003435	5.074633	XM_917762	chr12:115946922-115946863	LOC100048770	immunoglobulin heavy chain (J558 family) Complex/Cluster/Region [Source:MGI Symbol;Acc:MGI:96486] [ENSMUST00000103512]	Mm.430747	100048770	ENSMUST00000103505	NP_1216021
A_51_P257938	0.003878234	7.6173825	down	160.6025	1035.5308	0.82645553	3.755751	NM_020047	chr6:67484808-67484749	Tacstd2	Mus musculus tumor-associated calcium signal transducer 2 (Tacstd2), mRNA [NM_020047]	Mm.439913	56753	ENSMUST00000058178	TC1578728
A_51_P355702	0.06459382	2.1857252	up	967.0286	437.77103	3.5905545	2.4624424	AK004128	chr11:73113761-73113820	Trpv3	transient receptor potential cation channel, subfamily V, member 3 Gene [Source:MGI Symbol;Acc:MGI:2181407] [ENSMUST00000049676]	Mm.75196	246788	ENSMUST00000049676
A_52_P224778	0.001766163	2.1329322	down	44.586567	97.94449	-0.74844646	0.34439167	BC107687	chr4:137784645-137785596	Hp1bp3	Mus musculus heterochromatin protein 1, binding protein 3, mRNA (cDNA clone IMAGE:5342936), partial cds. [BC107687]	Mm.399941	15441		TC1777332
A_52_P600555	2.25E-05	3.9050176	down	98.299324	409.53818	0.4385861	2.4039152	X67192	chr6:69714567-69714508		M.musculus mRNA II (5G12-4) for autoantibody (V-region light chain). [X67192]	Mm.304150			TC1708209
A_52_P206322	7.25E-05	6.4847374	down	126.74258	859.3194	0.76188	3.458928	XM_001474081	chr6:67811579-67811638		PREDICTED: Mus musculus hypothetical LOC383196 (LOC383196), mRNA [XM_001474081]	Mm.321278		ENSMUST00000103309	NP_052539
A_52_P545650	0.000305915	5.634828	down	862.81744	4861.727	3.490925	5.9852967	NM_001174099	chr11:99963636-99963577	Krt36	Mus musculus keratin 36 (Krt36), mRNA [NM_001174099]	Mm.306829	16673	ENSMUST00000007309	TC1690936
A_52_P2540	0.0281203	1.6827754	down	353.592	668.2302	2.2830374	3.03388	NM_001013824	chr12:89509083-89509079	Gm5662	Mus musculus predicted gene 5662 (Gm5662), mRNA [NM_001013824]	Mm.441366	435337	ENSMUST00000110148	TC1683329
A_52_P494622	0.005891953	1.5574602	down	103.59763	167.83504	0.4889184	1.1281137	NM_013613	chr2:56960758-56960699	Nr4a2	Mus musculus nuclear receptor subfamily 4, group A, member 2 (Nr4a2), transcript variant 1, mRNA [NM_013613]	Mm.3507	18227	ENSMUST00000067024	TC1598298
A_51_P485756	0.000409854	9.896332	down	201.2671	1752.4572	1.205803	4.5126967	NM_024435	chr10:101945026-101944967	Nts	Mus musculus neurotensin (Nts), mRNA [NM_024435]	Mm.64201	67405	ENSMUST00000020040	TC1585100
A_52_P87900	0.087260626	1.7687315	up	64.08744	36.494053	-0.27411294	-1.096828	NM_183187	chr14:9129389-9129330	Fam107a	Mus musculus family with sequence similarity 107, member A (Fam107a), mRNA [NM_183187]	Mm.256058	268709	ENSMUST00000121887	NP_718202
A_52_P139399	0.004220733	1.5258937	down	1202.1849	1934.2223	4.0473638	4.657018	NM_146171	chr6:125118728-125118669	Ncapd2	Mus musculus non-SMC condensin I complex, subunit D2 (Ncapd2), mRNA [NM_146171]	Mm.257590	68298	ENSMUST00000112291	TC1624754
A_52_P312563	0.006501545	1.5677848	down	78.95816	131.49394	0.11351975	0.76224726	NM_026440	chr18:68471340-68473343	Rnmt	Mus musculus RNA (guanine-7-) methyltransferase (Rnmt), transcript variant 1, mRNA [NM_026440]	Mm.27544	67897	ENSMUST00000025427	TC1752970
A_52_P621357	0.008427811	2.2561076	down	288.8444	677.0794	1.9332229	3.1070588		chr6:69254851-69254792
A_52_P255034	0.022639025	1.7976749	down	62.876568	115.845825	-0.25595555	0.5901766	NM_029249	chr10:87555611-87555552	4930547N16Rik	Mus musculus RIKEN cDNA 4930547N16 gene (4930547N16Rik), mRNA [NM_029249]	Mm.179378	75317	ENSMUST00000048518	NP_741957
A_51_P255699	0.002093648	1.7994268	down	100.73469	190.70067	0.46494165	1.312479	NM_010809	chr9:7455751-7455810	Mmp3	Mus musculus matrix metallopeptidase 3 (Mmp3), mRNA [NM_010809]	Mm.4993	17392	ENSMUST00000034497	TC1582408
A_51_P250123	0.001234245	1.6695486	down	141.60902	248.70927	0.95754105	1.6969992	NM_028543	chr17:33154243-33154184	Zfp763	Mus musculus zinc finger protein 763 (Zfp763), mRNA [NM_028543]	Mm.129453	73451	ENSMUST00000087654	TC1581512
A_52_P502141	0.001429834	1.5684522	up	156.57422	105.00655	1.1033859	0.45404434	NM_172637	chr19:36695106-36695165	Hectd2	Mus musculus HECT domain containing 2 (Hectd2), transcript variant 2, mRNA [NM_172637]	Mm.61107	226098	ENSMUST00000139215	TC1579503
A_52_P94941	0.04655682	1.711581	down	517.2266	899.1756	2.7747471	3.5500767	NM_021347	chr11:98537811-98537870	Gsdma	Mus musculus gasdermin A (Gsdma), mRNA [NM_021347]	Mm.458085	57911	ENSMUST00000017348	TC1582673
A_51_P199899	0.00873404	1.8084524	down	316.22885	607.85254	2.1203039	2.9750595	NM_011936	chr8:94191851-94191910	Fto	Mus musculus fat mass and obesity associated (Fto), mRNA [NM_011936]	Mm.4375	26383	ENSMUST00000069718	TC1573448
A_52_P195414	0.017612878	1.5423914	down	107.841125	172.56041	0.54025555	1.1654245	NM_133740	chr7:57073414-57073473	Prmt3	Mus musculus protein arginine N-methyltransferase 3 (Prmt3), mRNA [NM_133740]	Mm.33202	71974	ENSMUST00000147401	NP_673646
A_51_P239750	0.036491882	1.74975	down	95.196495	169.44875	0.33101296	1.1381618	NM_008380	chr13:16118634-16118693	Inhba	Mus musculus inhibin beta-A (Inhba), mRNA [NM_008380]	Mm.8042	16323	ENSMUST00000042603	TC1585183
A_52_P652459	0.035884116	1.872778	up	123.90396	65.737915	0.6775077	-0.22767226	AK038775	chr4:58843759-58843700		Proteasome-associated protein ECM29 homolog (Ecm29) [Source:UniProtKB/Swiss-Prot;Acc:Q6PDI5] [ENSMUST00000107557]	Mm.234801		ENSMUST00000107557	TC1590608
A_51_P312952	0.001852178	1.753703	up	156.97105	93.55301	1.092445	0.2820406	NM_028034	chr7:36278705-36278646	Tdrd12	Mus musculus tudor domain containing 12 (Tdrd12), transcript variant 2, mRNA [NM_028034]	Mm.47904	71981	ENSMUST00000032701	NP_744619
A_51_P352773	4.66E-05	11.0221405	down	593.7004	6503.8794	2.9409273	6.4032598	XM_001471606		LOC100044290	PREDICTED: Mus musculus hypothetical protein LOC100044290 (LOC100044290), mRNA [XM_001471606]		100044290
A_52_P283869	0.012434183	1.7387832	down	64.43597	114.14459	-0.22462352	0.57345456	NM_001164567	chr9:118979161-118979429	Vill	Mus musculus villin-like (Vill), transcript variant 1, mRNA [NM_001164567]	Mm.83817	22351	ENSMUST00000126251	TC1724857
A_51_P200484	0.008292171	1.5527276	down	1189.3977	1917.8422	4.010485	4.64529	NM_172814	chr15:39702239-39702180	Lrp12	Mus musculus low density lipoprotein-related protein 12 (Lrp12), mRNA [NM_172814]	Mm.39874	239393	ENSMUST00000110305	TC1582208
A_52_P392229	0.023906536	2.1310813	up	135.77551	65.26033	0.83129805	-0.2602876	AK039635	chr1:107253433-107253492	Rnf152	Mus musculus adult male spinal cord cDNA, RIKEN full-length enriched library, clone:A330076C18 product:unclassifiable, full insert sequence. [AK039635]	Mm.321153	320311
A_51_P209327	0.006603074	2.7850213	down	134.3203	363.88907	0.75644994	2.2341383	NM_013912	chrX:45378652-45378593	Apln	Mus musculus apelin (Apln), mRNA [NM_013912]	Mm.29262	30878	ENSMUST00000039026
A_51_P333526	0.08200955	1.6841067	down	205.14397	337.13712	1.3739594	2.125943	NM_008991	chr3:121476923-121475242	Abcd3	Mus musculus ATP-binding cassette, sub-family D (ALD), member 3 (Abcd3), mRNA [NM_008991]	Mm.399042	19299	ENSMUST00000029770	TC1572115
A_52_P306792	0.010155341	1.5070935	down	779.7883	1234.4789	3.4153202	4.007089	NM_153419	chr7:53081094-53081035	Grwd1	Mus musculus glutamate-rich WD repeat containing 1 (Grwd1), mRNA [NM_153419]	Mm.274847	101612	ENSMUST00000131384	TC1723279
A_51_P369200	0.009593579	1.823208	down	731.9052	1381.4102	3.3051498	4.171629	NM_028109	chr2:152719476-152719535	Tpx2	Mus musculus TPX2, microtubule-associated protein homolog (Xenopus laevis) (Tpx2), transcript variant 2, mRNA [NM_028109]	Mm.407737	72119	ENSMUST00000028969	TC1572503
A_51_P441843	0.010647652	1.5150758	down	292.91068	466.77158	2.0041897	2.6035798	NM_145946	chr7:86594919-86594978	Fanci	Mus musculus Fanconi anemia, complementation group I (Fanci), mRNA [NM_145946]	Mm.349493	208836	ENSMUST00000036865	TC1582248
A_51_P309307	0.000526758	3.94904	down	194.05455	779.14325	1.3600706	3.3415725	NM_001142959	chr3:103642494-103642553	Bcl2l15	Mus musculus BCLl2-like 15 (Bcl2l15), transcript variant 1, mRNA [NM_001142959]	Mm.297245	229672	ENSMUST00000062945	TC1632299
A_52_P65050	0.013804705	1.6554946	down	113.74039	185.66211	0.5440965	1.2713588	NM_007900	chr3:27028978-27026710	Ect2	Mus musculus ect2 oncogene (Ect2), transcript variant 1, mRNA [NM_007900]	Mm.261453	13605	ENSMUST00000108296	TC1575723
A_52_P700056	0.045346588	1.758145	down	1307.2837	2337.574	4.1119103	4.9259644	NM_001081957	chr11:83518443-83519627	Gm11428	Mus musculus predicted gene 11428 (Gm11428), mRNA [NM_001081957]	Mm.24097	100034251	ENSMUST00000092836	TC1586122
A_51_P336833	0.001664176	3.1393938	down	3531.6611	10968.351	5.5053573	7.1558433	NM_024406	chr3:10204511-10204452	Fabp4	Mus musculus fatty acid binding protein 4, adipocyte (Fabp4), mRNA [NM_024406]	Mm.582	11770	ENSMUST00000029041	TC1572806
A_51_P508838	0.000311346	2.2767274	up	79.493935	36.796993	0.12143215	-1.0655293	NM_021342	chr1:78815838-78815897	Kcne4	Mus musculus potassium voltage-gated channel, Isk-related subfamily, gene 4 (Kcne4), mRNA [NM_021342]	Mm.24386	57814	ENSMUST00000057262	TC1593548
A_51_P335000	0.003840155	1.8933377	up	40328.56	22179.12	9.096417	8.175486	NM_001077361	chrX:54046422-54046481	Fhl1	Mus musculus four and a half LIM domains 1 (Fhl1), transcript variant 1, mRNA [NM_001077361]	Mm.3126	14199	ENSMUST00000114769	TC1598378
A_52_P496775	0.00455772	1.5086112	down	108.27814	171.42647	0.5678306	1.1610516	BC075636	chr1:173932915-173932856	Vangl2	vang-like 2 (van gogh, Drosophila) Gene [Source:MGI Symbol;Acc:MGI:2135272] [ENSMUST00000111263]	Mm.36148	93840	ENSMUST00000111263	TC1650205
A_51_P404846	0.000547187	1.7698534	down	67.52866	125.897705	-0.11054945	0.7130804	NM_031195	chr8:40693453-40691292	Msr1	Mus musculus macrophage scavenger receptor 1 (Msr1), transcript variant 1, mRNA [NM_031195]	Mm.239291	20288		TC1577205
A_51_P475523	0.001414837	1.5738221	down	347.3301	576.3857	2.2539866	2.9082592	NM_009764	chr11:101350468-101350409	Brca1	Mus musculus breast cancer 1 (Brca1), mRNA [NM_009764]	Mm.244975	12189	ENSMUST00000017290	TC1577432
A_52_P137086	0.06951073	1.75703	up	362.86218	239.1841	2.3165703	1.5034314	NM_029951	chrX:34393354-34392697	C330007P06Rik	Mus musculus RIKEN cDNA C330007P06 gene (C330007P06Rik), mRNA [NM_029951]	Mm.290704	77644	ENSMUST00000006591	TC1637038
A_52_P464629	0.001544405	1.503896	down	316.48584	502.71545	2.1212409	2.7099457	NM_138314	chr1:166277938-166277997	Nme7	Mus musculus non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase) (Nme7), transcript variant 1, mRNA [NM_138314]	Mm.219428	171567	ENSMUST00000086028	TC1629535
A_52_P761812	0.000324179	1.7411901	up	255.68762	156.07195	1.8112727	1.011199	AK013171	chr2:92147086-92147145	2810427C15Rik	Mus musculus 10, 11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2810427C15 product:unclassifiable, full insert sequence. [AK013171]		69979		TC1600251
A_51_P290387	0.000899536	1.8140483	up	87345.13	50746.094	10.23024	9.371027	NM_027832	chr6:41905943-41906002	Sval1	Mus musculus seminal vesicle antigen-like 1 (Sval1), mRNA [NM_027832]	Mm.96996	71578	ENSMUST00000031898	TC1587908
A_51_P386911	0.002533459	1.6014196	down	92.40808	157.8323	0.3448855	1.0242368	NM_027346	chr11:105934567-105934626	Taco1	Mus musculus translational activator of mitochondrially encoded cytochrome c oxidase I (Taco1), nuclear gene encoding mitochondrial protein, mRNA [NM_027346]	Mm.343857	70207	ENSMUST00000002048	TC1582774
A_51_P502599	0.013372978	1.6051947	up	8835.837	5717.572	6.9035816	6.2208333	NM_010004	chr19:39841881-39841822	Cyp2c40	Mus musculus cytochrome P450, family 2, subfamily c, polypeptide 40 (Cyp2c40), mRNA [NM_010004]	Mm.353875	13099	ENSMUST00000099472	TC1576434
A_51_P137184	0.001793636	1.6251292	up	113.58492	72.01659	0.6093325	-0.091221966	NM_029608	chr2:172299505-172299564	1700029J11Rik	Mus musculus RIKEN cDNA 1700029J11 gene (1700029J11Rik), mRNA [NM_029608]	Mm.46148	76426	ENSMUST00000029007	TC1585964
A_51_P280928	0.010683985	1.5229764	down	658.98846	1043.128	3.159753	3.7666466	NM_183308	chr6:5218991-5217001	Pon2	Mus musculus paraoxonase 2 (Pon2), mRNA [NM_183308]	Mm.126984	330260	ENSMUST00000057792	TC1732793
A_52_P245365	0.009483684	1.5157348	down	48.755093	78.08599	-0.5790519	0.020965418	NM_030112	chr2:119558188-119558247	Rtf1	Mus musculus Rtf1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) (Rtf1), mRNA [NM_030112]	Mm.33437	76246	ENSMUST00000028767	TC1620370
A_52_P535946	0.097320795	1.6952692	down	621.10126	1020.26337	2.970401	3.7319155	NM_007856	chr7:151033682-151033741	Dhcr7	Mus musculus 7-dehydrocholesterol reductase (Dhcr7), mRNA [NM_007856]	Mm.249342	13360	ENSMUST00000073878	TC1576492
A_51_P381821	0.005010038	3.0299788	down	32.07504	95.00985	-1.3012029	0.29810476	NM_008046	chr13:115245364-115244692	Fst	Mus musculus follistatin (Fst), mRNA [NM_008046]	Mm.4913	14313	ENSMUST00000022287	TC1643878
A_52_P812362	0.054306	1.7613052	down	896.55176	1592.5682	3.5604365	4.3770814	NR_015455	chr6:128956034-128956093	BC064078	Mus musculus cDNA sequence BC064078 (BC064078), non-coding RNA [NR_015455]	Mm.172429	408064		TC1600987
A_51_P447894	0.09822832	3.1465886	down	117.74564	278.47794	0.20218213	1.8559707	NM_177911	chr9:122976612-122976671	Tgm4	Mus musculus transglutaminase 4 (prostate) (Tgm4), mRNA [NM_177911]	Mm.195309	331046	ENSMUST00000026893	TC1574477
A_51_P386270	0.011071399	1.5488081	up	4185.399	2817.4023	5.8307457	5.1995873	NM_201360	chr15:82388259-82388501	Cyp2d12	Mus musculus cytochrome P450, family 2, subfamily d, polypeptide 12 (Cyp2d12), mRNA [NM_201360]	Mm.226708	380997	ENSMUST00000068861	TC1585852
A_52_P514200	0.000309975	7.64609	down	654.49396	4948.9155	3.0572631	5.9919853	NM_007852	chr8:22845161-22845779	Defa6	Mus musculus defensin, alpha, 6 (Defa6), mRNA [NM_007852]	Mm.443396	13240	ENSMUST00000080533	TC1581778
A_51_P468742	5.77E-05	1.5764748	down	1739.9557	2857.8542	4.563673	5.220375	NM_025697	chr14:62153893-62153834	6330409N04Rik	Mus musculus RIKEN cDNA 6330409N04 gene (6330409N04Rik), mRNA [NM_025697]	Mm.282706	66674	ENSMUST00000100496	TC1751292
A_51_P216313	0.012451849	1.7032536	down	104.18455	181.87915	0.47790074	1.246194	NM_153794	chr18:68427075-68427016	4933403F05Rik	Mus musculus RIKEN cDNA 4933403F05 gene (4933403F05Rik), mRNA [NM_153794]	Mm.125857	108654	ENSMUST00000042852	TC1576497
