Curated Gene Symbol	FeatureNumber	GeneName	+9hr Wnt	siMLLT10 +9hr Wnt	siDOT1L +9hr Wnt	siBRG1 +9hr Wnt	siP300 +9hr Wnt	Description
MYBPH	40622	MYBPH	1.034	-1.174	-0.76	-1.695	-1.395	myosin binding protein H (MYBPH), mRNA [NM_004997]
SV2B	40029	SV2B	1.034	-1.112	-0.716	-1.016	-0.769	synaptic vesicle glycoprotein 2B (SV2B), mRNA [NM_014848]
ETS1	31355	ETS1	1.033	0.482	-1.118	-0.238	-1.198	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian) (ETS1), mRNA [NM_005238]
MAGEC1	12795	MAGEC1	1.032	-1.229	-0.787	-0.767	-0.573	melanoma antigen family C, 1 (MAGEC1), mRNA [NM_005462]
ZNF93	37654	ZNF93	1.031	-1.407	-0.711	-1.59	-0.913	Homo sapiens cDNA FLJ39023 fis, clone NT2RP7004348, highly similar to ZINC FINGER PROTEIN 93. [AK096342]
KLRC4	31329	KLRC4	1.031	-0.84	-1.083	-1.248	-1.025	killer cell lectin-like receptor subfamily C, member 4 (KLRC4), mRNA [NM_013431]
AR	22885	AR	1.031	0.427	0.479	0.904	-0.759	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease) (AR), transcript variant 1, mRNA [NM_000044]
PRR15L	12713	ATAD4	1.031	-0.46	-1.187	-1.808	-0.951	ATPase family, AAA domain containing 4 (ATAD4), mRNA [NM_024320]
MLPH	40055	MLPH	1.03	-0.373	-2.096	--	-2.178	melanophilin (MLPH), transcript variant 2, mRNA [NM_001042467]
	19502	THC2752542	1.028	-0.978	-0.553	-0.042	-0.97	Unknown
VWF	24421	VWF	1.028	-0.787	-0.834	-1.42	-0.945	von Willebrand factor (VWF), mRNA [NM_000552]
	8791	THC2655811	1.027	-0.935	-0.769	-0.603	-0.059	Unknown
AGAP2	10166	CENTG1	1.026	-0.701	-0.429	-1.068	-0.929	Centaurin-gamma 1 (ARF-GAP with GTP-binding protein-like, ankyrin repeat and pleckstrin homology domains 2) (AGAP-2) (Phosphatidylinositol-3-kinase enhancer) (PIKE) (GTP-binding and GTPase-activating protein 2) (GGAP2). [Source:Uniprot/SWISSPROT;Acc:Q
CRMP1	23186	CRMP1	1.024	0.295	-0.206	-1.129	-0.506	collapsin response mediator protein 1 (CRMP1), transcript variant 1, mRNA [NM_001014809]
SERPINE1	35737	SERPINE1	1.023	-1.659	-1.196	-1.42	-2.029	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 (SERPINE1), mRNA [NM_000602]
CCDC26	31044	CCDC26	1.022	-1.029	-0.876	-3.33	-1.44	Homo sapiens coiled-coil domain containing 26, mRNA (cDNA clone MGC:27434 IMAGE:4699288), complete cds. [BC026098]
SP5	8926	SP5	1.022	-0.147	0.229	0.179	0.043	Sp5 transcription factor (SP5), mRNA [NM_001003845]
IL6	32080	IL6	1.021	-1.454	-1.486	-1.482	-2.082	interleukin 6 (interferon, beta 2) (IL6), mRNA [NM_000600]
	41695	THC2488083	1.019	-0.054	-0.983	-1.063	-0.838	AF044209 nuclear receptor co-repressor N-CoR {Homo sapiens} (exp=-1; wgp=0; cg=0), partial (8%) [THC2488083]
TGM2	15224	TGM2	1.018	-0.202	-0.322	-1.068	-0.483	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase) (TGM2), transcript variant 1, mRNA [NM_004613]
CEACAM1	24333	CEACAM1	1.016	-0.615	-1.059	-1.594	-1.54	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein) (CEACAM1), transcript variant 2, mRNA [NM_001024912]
CCL2	29736	CCL2	1.012	-1.39	-1.294	-1.163	-0.995	chemokine (C-C motif) ligand 2 (CCL2), mRNA [NM_002982]
TNFSF10	20420	TNFSF10	1.012	-1.882	-1.312	-2.11	-1.311	tumor necrosis factor (ligand) superfamily, member 10 (TNFSF10), mRNA [NM_003810]
PLA2G2A	33790	PLA2G2A	1.011	-0.539	-1.115	-1.152	-1.65	phospholipase A2, group IIA (platelets, synovial fluid) (PLA2G2A), mRNA [NM_000300]
HRH1	7680	HRH1	1.01	-0.293	0.184	-1.087	-0.925	histamine receptor H1 (HRH1), transcript variant 4, mRNA [NM_000861]
	38840	LOC285986	1.01	-1.183	-0.995	-1.456	-1.905	Homo sapiens cDNA FLJ39130 fis, clone NTONG2007756. [AK096449]
IL18	37419	IL18	1.009	-1.098	-0.916	-0.343	0.153	interleukin 18 (interferon-gamma-inducing factor) (IL18), mRNA [NM_001562]
ARHGAP24	14248	ARHGAP24	1.008	-0.688	-0.688	-1.849	-2.67	Homo sapiens cDNA FLJ27066 fis, clone SPL01327. [AK130576]
SEZ6L	24038	SEZ6L	1.006	0.485	-1.094	-0.131	-0.778	Homo sapiens mRNA for KIAA0927 protein, partial cds. [AB023144]
TGFB1	11330	TGFB1	1.006	-0.729	-0.523	-1.399	-0.976	transforming growth factor, beta 1 (TGFB1), mRNA [NM_000660]
	39020	THC2684848	1.005	-0.101	-0.201	0.251	-0.106	Unknown
CCL2	35227	CCL2	1.005	-0.996	-0.542	-1.47	-1.567	chemokine (C-C motif) ligand 2 (CCL2), mRNA [NM_002982]
MX2	36974	MX2	1.004	-1.776	-1.112	-1.533	-1.029	myxovirus (influenza virus) resistance 2 (mouse) (MX2), mRNA [NM_002463]
C2CD2	42180	C2CD2	1.004	-1.759	-1.616	-1.735	-3.142	C2 calcium-dependent domain containing 2 (C2CD2), transcript variant 1, mRNA [NM_015500]
ZNF167	28151	ZNF167	1.003	-1.339	-1.555	-1.495	-1.361	zinc finger protein 167 (ZNF167), transcript variant 1, mRNA [NM_018651]
B3GAT1	25848	B3GAT1	1.002	-0.101	0.02	-1.631	-1.327	beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P) (B3GAT1), transcript variant 2, mRNA [NM_054025]
	18511	AL109706	1.002	-0.669	-0.399	0.642	0.276	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 362430. [AL109706]
MMP2	26064	MMP2	1.001	-0.941	-0.418	-1.267	-1.865	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase) (MMP2), mRNA [NM_004530]
	35187	THC2729730	0.999	-1.133	-1.142	-2.299	-1.553	Q91873_XENLA (Q91873) Xenopus laevis tandemly arranged embryonic U1 snRNA genes U1a/U1b, partial (13%) [THC2729730]
LY86	32638	LY86	0.999	-1.05	-0.92	-1.375	-1.327	lymphocyte antigen 86 (LY86), mRNA [NM_004271]
MT3	16191	MT3	0.999	-2.112	-1.033	-2.441	-1.196	metallothionein 3 (MT3), mRNA [NM_005954]
EIF1AY	30954	EIF1AY	0.996	-0.733	-0.537	-0.774	-0.697	eukaryotic translation initiation factor 1A, Y-linked (EIF1AY), mRNA [NM_004681]
HSPA2	14026	HSPA2	0.996	0.088	-0.191	-0.473	-0.315	heat shock 70kDa protein 2 (HSPA2), mRNA [NM_021979]
TUBA4A	18431	TUBA4A	0.996	-0.079	-0.069	-0.586	-0.334	tubulin, alpha 4a (TUBA4A), mRNA [NM_006000]
ESR1	9601	ESR1	0.995	-1.729	-0.758	-1.248	-0.302	estrogen receptor 1 (ESR1), transcript variant 1, mRNA [NM_000125]
LRRC38	14261	LRRC38	0.994	-0.917	-0.478	-0.833	-0.925	full-length cDNA clone CS0DI025YD24 of Placenta Cot 25-normalized of Homo sapiens (human). [CR622769]
	29537	A_23_P83991	0.99	-0.255	-0.783	-0.205	-1.098	Unknown
COL6A3	18952	COL6A3	0.99	-0.979	-1.012	-1.14	-1.332	collagen, type VI, alpha 3 (COL6A3), transcript variant 1, mRNA [NM_004369]
RHBDL2	6585	RHBDL2	0.989	-1.865	-0.456	-1.977	-2.032	rhomboid, veinlet-like 2 (Drosophila) (RHBDL2), mRNA [NM_017821]
NAT8	29727	NAT8	0.988	-1.245	-1.289	-1.864	-2.044	N-acetyltransferase 8 (NAT8), mRNA [NM_003960]
	14140	AB011119	0.988	-0.268	-1.093	-1.134	-1.425	Homo sapiens mRNA for KIAA0547 protein, partial cds. [AB011119]
	38200	AK022346	0.986	-0.908	-0.45	-1.16	-0.921	Homo sapiens cDNA FLJ12284 fis, clone MAMMA1001757. [AK022346]
EREG	12286	EREG	0.984	-0.626	-0.96	-1.034	-0.863	epiregulin (EREG), mRNA [NM_001432]
HCLS1	13048	HCLS1	0.984	-0.71	-0.7	-1.397	-1.013	hematopoietic cell-specific Lyn substrate 1 (HCLS1), mRNA [NM_005335]
ICAM1	36810	ICAM1	0.981	-0.387	-1.143	-1.54	-1.074	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor (ICAM1), mRNA [NM_000201]
	29367	A_32_P219704	0.981	-0.224	-0.685	-1.173	-1.047	Unknown
MFSD2A	13490	MFSD2	0.977	-0.597	-0.009	-0.253	-0.77	Homo sapiens cDNA FLJ14490 fis, clone MAMMA1002886. [AK027396]
	38486	THC2739249	0.977	-1.045	-1.8	-2.176	-1.967	AL711212 DKFZp686P1578_r1 686 (synonym: hlcc3) Homo sapiens cDNA clone DKFZp686P1578 5, mRNA sequence [AL711212]
SERPINE1	32634	SERPINE1	0.976	-1.099	-1.571	-1.651	-1.931	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 (SERPINE1), mRNA [NM_000602]
TGFB1	4715	TGFB1	0.974	-0.785	-0.394	-1.254	-0.868	transforming growth factor, beta 1 (TGFB1), mRNA [NM_000660]
SP5	71	SP5	0.974	0.006	0.039	-0.092	-0.029	Sp5 transcription factor (SP5), mRNA [NM_001003845]
MUCL1	10062	MUCL1	0.973	-0.863	-0.818	-0.893	-2.087	mucin-like 1 (MUCL1), mRNA [NM_058173]
	7837	THC2650916	0.971	-1.757	-0.807	-1.915	-2.073	NOLA1_HUMAN (Q9NY12) H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1), partial (18%) [THC2650916]
TMC8	9059	TMC8	0.97	0.124	-0.654	-0.881	-0.449	Homo sapiens mRNA for FLJ00400 protein. [AK090478]
	40994	AF116642	0.968	0.304	-1.426	-1.361	-1.271	Homo sapiens PRO1618 mRNA, complete cds. [AF116642]
CD1A	217	CD1A	0.968	-0.195	-2.208	-2.503	-1.326	CD1a molecule (CD1A), mRNA [NM_001763]
CYP4F8	14586	CYP4F8	0.968	-0.634	-0.638	-1.333	-0.559	cytochrome P450, family 4, subfamily F, polypeptide 8 (CYP4F8), mRNA [NM_007253]
PID1	27633	PID1	0.966	-1.283	-1.182	-2.406	-1.561	phosphotyrosine interaction domain containing 1 (PID1), transcript variant 1, mRNA [NM_017933]
	44295	LOC158830	0.966	-0.743	-1.384	-0.827	-1.313	similar to Ab2-183 (LOC158830), mRNA [NM_001025265]
	31941	A_32_P163594	0.966	0.559	0.565	0.524	0.276	Unknown
NTF3	24733	NTF3	0.966	-0.701	-0.5	-0.803	-0.829	neurotrophin 3 (NTF3), transcript variant 2, mRNA [NM_002527]
HBD	31327	HBD	0.964	-0.993	-1.243	-1.65	-1.355	hemoglobin, delta (HBD), mRNA [NM_000519]
HSH2D	28658	HSH2D	0.962	-1.242	-0.98	-2.01	-2.353	hematopoietic SH2 domain containing (HSH2D), mRNA [NM_032855]
FAM3B	15161	FAM3B	0.961	-1.433	-1.267	-1.407	-1.227	family with sequence similarity 3, member B (FAM3B), transcript variant 1, mRNA [NM_058186]
TCEA3	7608	TCEA3	0.961	-0.332	0.133	0.187	0.525	transcription elongation factor A (SII), 3 (TCEA3), mRNA [NM_003196]
BIRC7	30600	BIRC7	0.96	-1.065	-0.794	-0.895	-2.222	baculoviral IAP repeat-containing 7 (livin) (BIRC7), transcript variant 2, mRNA [NM_022161]
MMP2	22866	MMP2	0.96	-0.933	-0.79	-1.461	-1.64	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase) (MMP2), mRNA [NM_004530]
TGFB1	33135	TGFB1	0.959	-0.567	-0.402	-1.291	-0.71	transforming growth factor, beta 1 (TGFB1), mRNA [NM_000660]
SPRED2	44572	SPRED2	0.956	-0.6	-0.459	-0.537	-0.871	sprouty-related, EVH1 domain containing 2 (SPRED2), mRNA [NM_181784]
	9596	AK021467	0.956	-0.348	-0.854	-0.21	-0.82	Homo sapiens cDNA FLJ11405 fis, clone HEMBA1000769. [AK021467]
SAA4	12991	SAA4	0.953	-0.883	-2.071	-1.414	-1.07	serum amyloid A4, constitutive (SAA4), mRNA [NM_006512]
GDF10	11308	GDF10	0.952	-0.115	0.739	-1.031	0.307	growth differentiation factor 10 (GDF10), mRNA [NM_004962]
ASB2	14079	ASB2	0.95	-0.782	-0.347	-0.503	-0.49	ankyrin repeat and SOCS box-containing 2 (ASB2), mRNA [NM_016150]
	32342	LOC124220	0.95	-0.5	-0.763	-1.046	-0.692	similar to common salivary protein 1 (LOC124220), mRNA [NM_145252]
TNFSF10	43701	TNFSF10	0.949	-0.954	-0.898	-1.139	-1.699	tumor necrosis factor (ligand) superfamily, member 10 (TNFSF10), mRNA [NM_003810]
ICAM1	39398	ICAM1	0.946	-1.354	-0.662	-1.102	-1.152	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor (ICAM1), mRNA [NM_000201]
	33999	LOC388242	0.946	-1.211	-0.69	-1.205	-1.428	LOC112869 pseudogene (LOC388242) on chromosome 16 [NR_002556]
	12992	BX641009	0.944	-0.094	0.008	-0.177	-0.785	Homo sapiens mRNA; cDNA DKFZp686D13227 (from clone DKFZp686D13227) [BX641009]
P4HTM	11049	PH-4	0.944	-0.893	-0.843	-1.059	-0.482	hypoxia-inducible factor prolyl 4-hydroxylase (PH-4), transcript variant 3, mRNA [NM_177938]
ADAD2	22511	ADAD2	0.943	-0.506	-0.966	-0.796	--	adenosine deaminase domain containing 2 (ADAD2), mRNA [NM_139174]
NTS	35996	NTS	0.942	0.389	0.191	-0.294	0.343	neurotensin (NTS), mRNA [NM_006183]
HEPACAM	29994	HEPACAM	0.942	-1.284	-2.089	-1.883	-1.568	hepatocyte cell adhesion molecule (HEPACAM), mRNA [NM_152722]
TFPI2	34523	TFPI2	0.941	-0.489	0.051	-0.147	0.369	tissue factor pathway inhibitor 2 (TFPI2), mRNA [NM_006528]
WNT6	13292	WNT6	0.939	-0.395	0.046	-1.974	-1.411	wingless-type MMTV integration site family, member 6 (WNT6), mRNA [NM_006522]
MMP2	27510	MMP2	0.937	-0.891	-1.004	-1.078	-0.982	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase) (MMP2), mRNA [NM_004530]
EMP1	27690	EMP1	0.937	-0.996	-0.968	-1.292	-1.925	Homo sapiens epithelial membrane protein 1, mRNA (cDNA clone IMAGE:4691099), partial cds. [BC017854]
	40961	AK025360	0.935	-1.766	-1.03	--	--	Homo sapiens cDNA: FLJ21707 fis, clone COL09953. [AK025360]
IRF4	15567	IRF4	0.935	-0.88	0.625	0.831	0.199	interferon regulatory factor 4 (IRF4), mRNA [NM_002460]
LTB	18756	LTB	0.934	-0.665	-0.703	-0.515	-0.77	lymphotoxin beta (TNF superfamily, member 3) (LTB), transcript variant 1, mRNA [NM_002341]
STXBP2	17420	STXBP2	0.933	--	-0.721	-0.713	-0.771	syntaxin binding protein 2 (STXBP2), mRNA [NM_006949]
PLXNB1	33132	PLXNB1	0.932	-0.219	-0.236	-1.31	-0.51	plexin B1 (PLXNB1), mRNA [NM_002673]
MB	5778	MB	0.932	-1.183	-1.321	-1.365	0.159	myoglobin (MB), transcript variant 2, mRNA [NM_203377]
ST14	9139	ST14	0.931	-0.556	-0.684	-1.29	-0.858	suppression of tumorigenicity 14 (colon carcinoma) (ST14), mRNA [NM_021978]
ABCB8	5142	ABCB8	0.93	--	-0.573	-0.475	-0.057	ATP-binding cassette, sub-family B (MDR/TAP), member 8 (ABCB8), nuclear gene encoding mitochondrial protein, mRNA [NM_007188]
ENG	26205	ENG	0.929	-0.619	-1.059	-1.754	-1.255	endoglin (Osler-Rendu-Weber syndrome 1) (ENG), transcript variant 2, mRNA [NM_000118]
PPL	35568	PPL	0.927	-1.063	-0.781	-1.284	-0.722	periplakin (PPL), mRNA [NM_002705]
	40948	LOC100130598	0.927	-0.923	-0.59	-0.547	-1.198	Homo sapiens clone pp9953 unknown mRNA. [AF289615]
FRMD4A	12796	FRMD4A	0.927	-0.533	-0.729	-0.626	-1.172	Homo sapiens cDNA FLJ25099 fis, clone CBR01272. [AK057828]
	13970	XR_015430	0.927	-0.442	-0.775	-0.771	-1.837	PREDICTED: Homo sapiens similar to tau tubulin kinase 2 (LOC731274), mRNA [XR_015430]
NDRG1	25526	NDRG1	0.927	-0.207	-0.389	-1.986	-0.172	N-myc downstream regulated gene 1 (NDRG1), mRNA [NM_006096]
RNASE6	28629	RNASE6	0.927	-0.861	-1.254	-1.209	-0.834	ribonuclease, RNase A family, k6 (RNASE6), mRNA [NM_005615]
GIGYF2	15559	GIGYF2	0.926	-0.121	-0.107	-0.174	-0.557	Homo sapiens trinucleotide repeat containing 15, mRNA (cDNA clone IMAGE:4472100), partial cds. [BC012484]
MSLN	42638	MSLN	0.925	-0.688	-0.704	-1.397	--	mesothelin (MSLN), transcript variant 1, mRNA [NM_005823]
TNFSF10	535	TNFSF10	0.925	-1.446	-2.208	-2.371	-0.946	tumor necrosis factor (ligand) superfamily, member 10 (TNFSF10), mRNA [NM_003810]
TGFB1	15185	TGFB1	0.924	-0.715	-0.398	-1.34	-0.845	transforming growth factor, beta 1 (TGFB1), mRNA [NM_000660]
AXIN2	25129	AXIN2	0.922	--	-0.314	-0.832	-0.601	Homo sapiens conductin mRNA, complete cds. [AF078165]
	30826	BX094874	0.922	-0.661	-1.146	-1.015	-1.725	BX094874 Soares_testis_NHT Homo sapiens cDNA clone IMAGp998K054171, mRNA sequence [BX094874]
PHF8	9369	PHF8	0.921	-0.711	-0.286	0.785	0.062	Homo sapiens PHD finger protein 8, mRNA (cDNA clone IMAGE:5171076), partial cds. [BC042108]
RHBDL2	42413	RHBDL2	0.92	-1.556	-0.936	-1.946	-1.746	rhomboid, veinlet-like 2 (Drosophila) (RHBDL2), mRNA [NM_017821]
SLC6A4	23266	SLC6A4	0.92	0.438	-0.552	0.173	-0.137	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4 (SLC6A4), mRNA [NM_001045]
LCK	15528	LCK	0.92	-0.902	-0.941	-1.065	-1.147	lymphocyte-specific protein tyrosine kinase (LCK), transcript variant 2, mRNA [NM_005356]
PDZK1	18314	PDZK1	0.92	-1.312	-2.557	-0.784	-2.753	PDZ domain containing 1 (PDZK1), mRNA [NM_002614]
MYO1A	22181	MYO1A	0.919	-0.938	-0.624	-0.762	-1.039	myosin IA (MYO1A), mRNA [NM_005379]
HHIP	11916	HHIP	0.919	0.055	-0.124	--	--	Homo sapiens cDNA FLJ90230 fis, clone NT2RM2000410. [AK074711]
FOSL1	32599	FOSL1	0.917	-0.674	-0.442	-1.401	-1.073	FOS-like antigen 1 (FOSL1), mRNA [NM_005438]
NPR2	28643	NPR2	0.916	-0.604	-0.247	-1.17	-1.528	natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B) (NPR2), mRNA [NM_003995]
	10522	THC2663329	0.915	-0.842	-0.53	-0.653	-1.025	Unknown
	8807	THC2674900	0.914	-0.278	0.101	-0.121	-1.345	Unknown
MEIOB	10739	C16orf73	0.913	-1.023	-1.436	-2.096	-1.286	chromosome 16 open reading frame 73 (C16orf73), mRNA [NM_152764]
	14755	AK023472	0.913	-1.113	-1.367	-1.576	-1.267	Homo sapiens cDNA FLJ13410 fis, clone PLACE1001720. [AK023472]
FAM153B	25781	FAM153B	0.913	-2.718	-2.114	--	-2.658	family with sequence similarity 153, member B (FAM153B), mRNA [NM_001079529]
TSPYL5	39529	TSPYL5	0.912	0.543	-0.922	-0.573	-0.764	TSPY-like 5 (TSPYL5), mRNA [NM_033512]
MAGEA10	8876	MAGEA10	0.911	-0.659	-1.013	-1.131	-1.254	melanoma antigen family A, 10 (MAGEA10), transcript variant 1, mRNA [NM_001011543]
ZNF415	7958	ZNF415	0.911	-0.854	-1.007	-1.328	-1.12	zinc finger protein 415 (ZNF415), mRNA [NM_018355]
CARD11	31740	CARD11	0.911	-0.618	-0.964	-1.054	-1.633	caspase recruitment domain family, member 11 (CARD11), mRNA [NM_032415]
CD1A	25772	CD1A	0.91	-0.377	-1.045	-3.004	-1.452	CD1a molecule (CD1A), mRNA [NM_001763]
RASL10B	4321	RASL10B	0.909	-0.278	-0.636	-1.583	-0.148	RAS-like, family 10, member B (RASL10B), mRNA [NM_033315]
ESR1	34202	ESR1	0.909	-1.853	-1.415	-1.154	-2.049	estrogen receptor 1 (ESR1), transcript variant 1, mRNA [NM_000125]
COL12A1	36853	COL12A1	0.908	0.072	0.117	-0.593	-0.654	collagen, type XII, alpha 1 (COL12A1), transcript variant long, mRNA [NM_004370]
GPR39	12053	GPR39	0.908	-0.554	-0.779	-0.591	-0.53	G protein-coupled receptor 39 (GPR39), mRNA [NM_001508]
AFAP1L2	35058	AFAP1L2	0.907	0.09	0.287	0.603	0.31	actin filament associated protein 1-like 2 (AFAP1L2), transcript variant 1, mRNA [NM_001001936]
SH2D5	15942	SH2D5	0.907	-0.232	-0.069	-0.439	-0.205	SH2 domain containing 5 (SH2D5), transcript variant 1, mRNA [NM_001103161]
MX2	20381	MX2	0.907	-0.493	-1.028	-1.082	-1.014	myxovirus (influenza virus) resistance 2 (mouse) (MX2), mRNA [NM_002463]
GAS7	35477	GAS7	0.905	-0.308	0.436	-0.412	-0.176	growth arrest-specific 7 (GAS7), transcript variant c, mRNA [NM_201433]
PARP14	38933	PARP14	0.904	-0.612	-0.854	-1	-0.777	poly (ADP-ribose) polymerase family, member 14 (PARP14), mRNA [NM_017554]
ERV3-2	27835	KIAA1466	0.903	-0.753	-0.743	-1.063	-0.91	Homo sapiens mRNA for KIAA1466 protein, partial cds. [AB040899]
GSTA2	10290	GSTA2	0.903	-0.536	-0.958	-1.252	--	glutathione S-transferase A2 (GSTA2), mRNA [NM_000846]
PRKAR1B	4893	PRKAR1B	0.902	-0.001	0.195	-0.652	0.373	protein kinase, cAMP-dependent, regulatory, type I, beta (PRKAR1B), mRNA [NM_002735]
MORN1	20860	MORN1	0.902	--	0.134	--	--	MORN repeat containing 1 (MORN1), mRNA [NM_024848]
	28723	RPL23AP13	0.901	-1.074	-0.877	-0.841	-1.106	ribosomal protein L23a pseudogene 13 (RPL23AP13) on chromosome 2 [NR_002229]
PTPRG	5066	PTPRG	0.899	0.859	-0.16	0.9	-0.874	Homo sapiens protein tyrosine phosphatase, receptor type, G, mRNA (cDNA clone IMAGE:5278250), complete cds. [BC036018]
	29829	AF038194	0.897	-0.142	-0.401	-0.792	-0.632	Homo sapiens clone 23821 mRNA sequence. [AF038194]
	41941	LOC100128682	0.896	-0.774	-1.096	-1.22	-1.896	Homo sapiens cDNA FLJ46220 fis, clone TESTI4013774. [AK128099]
TCF7	17939	TCF7	0.896	-0.11	0.018	-1.177	-0.199	transcription factor 7 (T-cell specific, HMG-box) (TCF7), transcript variant 1, mRNA [NM_003202]
	12092	XR_016196	0.896	-1.412	-1.131	-3.054	-1.629	PREDICTED: Homo sapiens hypothetical LOC642652 (LOC642652), mRNA [XR_016196]
TCF7	23801	TCF7	0.895	-0.199	-0.017	-1.117	-0.234	transcription factor 7 (T-cell specific, HMG-box) (TCF7), transcript variant 1, mRNA [NM_003202]
HBD	24390	HBD	0.895	-0.771	-1.049	-1.323	-1.611	hemoglobin, delta (HBD), mRNA [NM_000519]
TOX	39355	TOX	0.894	-2.641	-1.036	-1.46	-0.794	thymocyte selection-associated high mobility group box (TOX), mRNA [NM_014729]
	20504	AK023774	0.894	-1.253	-0.465	-1.254	-1.01	Homo sapiens cDNA FLJ13712 fis, clone PLACE2000394. [AK023774]
	27333	BM687502	0.892	-0.392	-0.631	-1.151	0.124	UI-E-CR0-adg-c-10-0-UI.r1 UI-E-CR0 Homo sapiens cDNA clone UI-E-CR0-adg-c-10-0-UI 5, mRNA sequence [BM687502]
DOCK2	31231	DOCK2	0.892	-1.018		--	--	dedicator of cytokinesis 2 (DOCK2), mRNA [NM_004946]
LBH	5733	LBH	0.889	-0.55	-0.265	-0.72	-0.377	limb bud and heart development homolog (mouse) (LBH), mRNA [NM_030915]
HSPB2	44294	HSPB2	0.888	-1.296	-1.604	-0.327	-0.759	heat shock 27kDa protein 2 (HSPB2), mRNA [NM_001541]
CCL2	44335	CCL2	0.888	-1.784	-1.098	-1.523	-1.551	chemokine (C-C motif) ligand 2 (CCL2), mRNA [NM_002982]
	2339	CU450678	0.885	-1.279	-1.139	-2.252	-1.435	CU450678 Homo sapiens ORESTES from keratinocytes Homo sapiens cDNA, mRNA sequence [CU450678]
TUBA4A	32461	TUBA4A	0.885	0.055	0.12	-0.201	-0.144	tubulin, alpha 4a (TUBA4A), mRNA [NM_006000]
TAPBPL	29626	TAPBPL	0.885	-0.56	-0.601	-0.752	-0.882	TAP binding protein-like (TAPBPL), mRNA [NM_018009]
IL1R2	31671	IL1R2	0.883	-0.299	-0.188	-1.499	0.478	interleukin 1 receptor, type II (IL1R2), transcript variant 1, mRNA [NM_004633]
	25688	THC2635386	0.882	0.278	-0.027	-0.115	-1.777	Unknown
	30483	THC2701088	0.881	-0.28	-1.147	-0.572	-1.483	Unknown
	10302	A_32_P69683	0.88	-0.556	0.155	--	-0.3	Unknown
	30262	DA240028	0.88	-0.555	-0.543	0.396	-0.527	DA240028 BRAWH3 Homo sapiens cDNA clone BRAWH3037504 5, mRNA sequence [DA240028]
PRDM7	32437	PRDM7	0.879	-1.366	-1.982	-0.589	-1.701	PR domain containing 7 (PRDM7), transcript variant 2, mRNA [NM_052996]
MMP2	380	MMP2	0.879	-1.374	-0.925	-0.715	-1.608	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase) (MMP2), mRNA [NM_004530]
HCAR3	42736	GPR109B	0.879	-1.509	-0.94	-1.118	-2.915	G protein-coupled receptor 109B (GPR109B), mRNA [NM_006018]
CDH24	28254	CDH24	0.876	-0.482	-0.457	-0.389	-1.233	Homo sapiens cDNA FLJ25193 fis, clone JTH00761. [AK057922]
DUSP5	18596	DUSP5	0.876	-0.692	0.011	0.026	-0.516	dual specificity phosphatase 5 (DUSP5), mRNA [NM_004419]
ZNF43	7718	ZNF43	0.876	-1.854	-0.668	-0.833	-1.116	zinc finger protein 43 (ZNF43), mRNA [NM_003423]
MAFF	42735	MAFF	0.873	-0.354	-0.115	-0.557	-0.608	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian) (MAFF), transcript variant 1, mRNA [NM_012323]
	8897	THC2715094	0.872	-1.824	-1.11	-1.33	-1.551	Q4J972_SULAC (Q4J972) Conserved Crenarchaeal protein, partial (9%) [THC2715094]
	44391	THC2525869	0.871	0.267	-0.153	-1.046	0.36	Q12880_HUMAN (Q12880) ORF1, partial (52%) [THC2525869]
ATP2C2	10281	ATP2C2	0.871	-1.242	-0.738	-0.326	-0.411	ATPase, Ca++ transporting, type 2C, member 2 (ATP2C2), mRNA [NM_014861]
MDFI	16475	MDFI	0.871	-0.67	-0.622	-0.798	-0.9	MyoD family inhibitor (MDFI), mRNA [NM_005586]
KLRC2	2960	KLRC2	0.87	-0.035	-0.674	-0.659	-0.125	killer cell lectin-like receptor subfamily C, member 2 (KLRC2), mRNA [NM_002260]
CTNND2	15061	CTNND2	0.869	-0.699	-0.957	0.167	-0.745	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein) (CTNND2), mRNA [NM_001332]
