Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	28 genes associated with lipid metabolism	Gene Accession	Gene Name	GO Annotation	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_23_P212073	chr3:152150676-152150712	MBNL1	0	NM_207297	Muscleblind-like (Drosophila)	molecular function|RNA binding|IDA|GO:0003723|GOA|ARRAY(0xf75f50)//molecular function|double-stranded RNA binding|IDA|GO:0003725|GOA|10970838//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1e79f44)//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|RNA splicing|IDA|GO:0008380|GOA|18335541//biological process|embryonic limb morphogenesis|ISS|GO:0030326|GOA|na//biological process|in utero embryonic development|ISS|GO:0001701|GOA|na//biological process|mRNA processing|IEA|GO:0006397|GOA|na//biological process|mRNA splice site selection|IEA|GO:0006376|GOA|na//biological process|muscle organ development|ISS|GO:0007517|GOA|na//biological process|myoblast differentiation|ISS|GO:0045445|GOA|na//biological process|nervous system development|ISS|GO:0007399|GOA|na//biological process|regulation of RNA splicing|IDA|GO:0043484|GOA|ARRAY(0x1d439fc)//biological process|regulation of alternative nuclear mRNA splicing, via spliceosome|IEA|GO:0000381|GOA|na//biological process|skeletal muscle tissue development|IEA|GO:0007519|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|10970838//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0xd04b1c)//cellular component|stress granule|IDA|GO:0010494|GOA|18335541	F	15	0.7513	-1.3311	2.389E-10	166.1654	123.5434
A_23_P353652	chr15:100253342-100253401	MEF2A	0	NM_005587	Myocyte enhancer factor 2A	molecular function|protein binding|IPI|GO:0005515|GOA|16043483//molecular function|protein binding|IPI|GO:0005515|GOA|16043483//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IDA|GO:0003700|GOA|16043483//biological process|apoptosis|IEA|GO:0006915|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|muscle organ development|TAS|GO:0007517|GOA|1516833//biological process|nervous system development|IEA|GO:0007399|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	14	0.7645	-1.3081	2.0941E-10	580.092	430.6453
A_23_P146551	chr9:27329620-27329679	MOBKL2B	0	NM_024761	MOB1, Mps One Binder kinase activator-like 2B (yeast)	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x4a47e18)	M	14	1.1782	1.1782	2.3407E-07	49.5344	58.5073
A_23_P102890	chr21:35515227-35515286	MRPS6	0	NM_032476	Mitochondrial ribosomal protein S6	molecular function|rRNA binding|IEA|GO:0019843|GOA|na//molecular function|structural constituent of ribosome|NAS|GO:0003735|GOA|11279123//biological process|translation|NAS|GO:0006412|GOA|11279123//cellular component|mitochondrion|IEA|GO:0005739|GOA|na//cellular component|ribosome|IEA|GO:0005840|GOA|na//cellular component|small ribosomal subunit|NAS|GO:0015935|GOA|11279123	M	16	1.1597	1.1597	1.3167E-11	9374.2734	10845.9932
A_24_P235049	chr6:151413640-151413699	MTHFD1L	0	NM_015440	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	molecular function|ATP binding|IDA|GO:0005524|GOA|16171773//molecular function|formate-tetrahydrofolate ligase activity|IDA|GO:0004329|GOA|12937168//molecular function|ligase activity|IEA|GO:0016874|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17353931//molecular function|protein homodimerization activity|IDA|GO:0042803|GOA|16171773//biological process|folic acid and derivative biosynthetic process|IEA|GO:0009396|GOA|na//biological process|folic acid and derivative metabolic process|IDA|GO:0006760|GOA|12937168//biological process|formate metabolic process|IDA|GO:0015942|GOA|16171773//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|one-carbon metabolic process|IEA|GO:0006730|GOA|na//biological process|tetrahydrofolate metabolic process|IDA|GO:0046653|GOA|12937168//cellular component|mitochondrion|IDA|GO:0005739|GOA|12937168	M	14	1.1629	1.1629	1.1735E-07	272.0849	319.3732
A_23_P334308	chr13:30077792-30077851	MTUS2	0	NM_015233	Microtubule associated tumor suppressor candidate 2	molecular function|microtubule binding|IDA|GO:0008017|GOA|19543227//molecular function|protein binding|IPI|GO:0005515|GOA|19543227//molecular function|protein homodimerization activity|IPI|GO:0042803|GOA|19543227//cellular component|centrosome|IDA|GO:0005813|GOA|19543227//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoplasmic microtubule|IDA|GO:0005881|GOA|19543227//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na	F	14	0.7273	-1.375	8.8724E-06	89.0605	65.5824
A_24_P256764	chr17:8455382-8455441	MYH10	0	NM_005964	Myosin, heavy chain 10, non-muscle	molecular function|ADP binding|IDA|GO:0043531|GOA|15845534//molecular function|ATP binding|IDA|GO:0005524|GOA|15845534//molecular function|ATP binding|NAS|GO:0005524|GOA|7782316//molecular function|actin binding|NAS|GO:0003779|GOA|7782316//molecular function|actin filament binding|IDA|GO:0051015|GOA|15845534//molecular function|actin-dependent ATPase activity|IDA|GO:0030898|GOA|15845534//molecular function|calmodulin binding|IEA|GO:0005516|GOA|na//molecular function|microfilament motor activity|IDA|GO:0000146|GOA|15845534//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x180f4bc)//biological process|actin filament-based movement|IDA|GO:0030048|GOA|15845534//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|cytokinesis after mitosis|IDA|GO:0000281|GOA|15774463//biological process|regulation of cell shape|IEA|GO:0008360|GOA|na//cellular component|cell cortex|IDA|GO:0005938|GOA|7699007//cellular component|cleavage furrow|IDA|GO:0032154|GOA|ARRAY(0x17fc9a8)//cellular component|cytoplasm|IDA|GO:0005737|GOA|7699007//cellular component|midbody|IDA|GO:0030496|GOA|11029059//cellular component|myosin complex|NAS|GO:0016459|GOA|7499478//cellular component|stress fiber|IDA|GO:0001725|GOA|ARRAY(0x2ea7924)	F	16	0.6322	-1.5817	2.0798E-09	54.0724	33.9367
A_23_P206920	chr16:15797952-15808796	MYH11	0	NM_022844	Myosin, heavy chain 11, smooth muscle	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|actin binding|IEA|GO:0003779|GOA|na//molecular function|calmodulin binding|IEA|GO:0005516|GOA|na//molecular function|motor activity|IEA|GO:0003774|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|structural constituent of muscle|IMP|GO:0008307|GOA|16444274//biological process|cardiac muscle fiber development|IMP|GO:0048739|GOA|16444274//biological process|elastic fiber assembly|IMP|GO:0048251|GOA|16444274//biological process|muscle contraction|EXP|GO:0006936|GOA|14627618//biological process|skeletal muscle thick filament assembly|ISS|GO:0030241|GOA|na//biological process|smooth muscle contraction|ISS|GO:0006939|GOA|na//cellular component|melanosome|IEA|GO:0042470|GOA|na//cellular component|muscle myosin complex|TAS|GO:0005859|GOA|7684189//cellular component|myosin filament|IEA|GO:0032982|GOA|na	F	14	0.8186	-1.2215	0.0004	424.6535	353.9446
A_23_P143817	chr3:123333074-123333133	MYLK	0	NM_053032	Myosin light chain kinase	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|actin binding|IEA|GO:0003779|GOA|na//molecular function|calmodulin binding|IEA|GO:0005516|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|myosin light chain kinase activity|IEA|GO:0004687|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17474147//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|muscle contraction|EXP|GO:0006936|GOA|14627618//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|14627618	F	15	0.8278	-1.208	2.6743E-12	7577.3276	6253.1943
A_24_P398147	chr10:21070538-21070597	NEBL	0	NM_213569	Nebulette	molecular function|actin binding|IEA|GO:0003779|GOA|na//molecular function|structural constituent of muscle|TAS|GO:0008307|GOA|9733644//biological process|regulation of actin filament length|TAS|GO:0030832|GOA|9733644	F	15	0.7642	-1.3085	0.000036637	262.4432	199.4406
A_32_P155030	chr1:61926891-61926950	NFIA	0	NM_005595	Nuclear factor I/A	molecular function|transcription factor activity|NAS|GO:0003700|GOA|7590749//molecular function|transcription factor binding|IPI|GO:0008134|GOA|15684392//biological process|DNA replication|IEA|GO:0006260|GOA|na//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|7590749//biological process|viral genome replication|NAS|GO:0019079|GOA|7590749//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0x17e9de8)//cellular component|nucleus|NAS|GO:0005634|GOA|7590749//cellular component|plasma membrane|IDA|GO:0005886|GOA|18029348	F	14	0.7675	-1.303	4.4901E-14	650.685	497.0844
A_32_P332320	chr12:117648139-117648198	NOS1	0	BC010126	Nitric oxide synthase 1 (neuronal)	molecular function|FAD binding|ISS|GO:0050660|GOA|na//molecular function|FMN binding|ISS|GO:0010181|GOA|na//molecular function|NADP or NADPH binding|ISS|GO:0050661|GOA|na//molecular function|arginine binding|TAS|GO:0034618|GOA|17029414//molecular function|cadmium ion binding|ISS|GO:0046870|GOA|na//molecular function|calmodulin binding|IEA|GO:0005516|GOA|na//molecular function|heme binding|ISS|GO:0020037|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nitric-oxide synthase activity|ISS|GO:0004517|GOA|7545544//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|11149895//molecular function|tetrahydrobiopterin binding|NAS|GO:0034617|GOA|7488039//biological process|arginine catabolic process|IC|GO:0006527|GOA|7545544//biological process|multicellular organismal response to stress|IMP|GO:0033555|GOA|18391107//biological process|myoblast fusion|TAS|GO:0007520|GOA|7545544//biological process|negative regulation of calcium ion transport into cytosol|TAS|GO:0010523|GOA|17568574//biological process|neurotransmitter biosynthetic process|TAS|GO:0042136|GOA|7545544//biological process|nitric oxide biosynthetic process|ISS|GO:0006809|GOA|7545544//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|positive regulation of vasodilation|IDA|GO:0045909|GOA|18048451//biological process|positive regulation of vasodilation|IMP|GO:0045909|GOA|18391107//biological process|regulation of cardiac muscle contraction|TAS|GO:0055117|GOA|9892689//biological process|response to heat|IDA|GO:0009408|GOA|18048451//biological process|response to hypoxia|IEP|GO:0001666|GOA|16276418//cellular component|cell projection|IEA|GO:0042995|GOA|na//cellular component|cytoplasm|TAS|GO:0005737|GOA|17892502//cellular component|cytoskeleton|ISS|GO:0005856|GOA|7545544//cellular component|dendritic spine|IEA|GO:0043197|GOA|na//cellular component|perinuclear region of cytoplasm|ISS|GO:0048471|GOA|17027776//cellular component|photoreceptor inner segment|ISS|GO:0001917|GOA|17027776//cellular component|sarcolemma|IDA|GO:0042383|GOA|7545544//cellular component|sarcoplasmic reticulum|IDA|GO:0016529|GOA|9892689	F	16	0.7959	-1.2564	0.0004	13.8727	11.061
A_23_P95453	chr2:50147602-50147661	NRXN1	0	NM_138735	Neurexin 1	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|11152476//molecular function|receptor activity|TAS|GO:0004872|GOA|1621094//biological process|axon guidance|TAS|GO:0007411|GOA|1621094//biological process|cell adhesion|IEA|GO:0007155|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|1621094//cellular component|membrane|IEA|GO:0016020|GOA|na	F	14	0.8119	-1.2318	0.0016	24.2853	19.4045
A_24_P69053	chr4:183717844-183717903	ODZ3	0	NM_001080477	Odz, odd Oz/ten-m homolog 3 (Drosophila)	biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	15	0.7278	-1.374	0.0002	11.7297	8.5566
A_24_P319113	chr12:121613218-121613277	P2RX7	1	NM_002562	Purinergic receptor P2X, ligand-gated ion channel, 7	molecular function|ATP binding|IC|GO:0005524|GOA|9038151//molecular function|channel activity|IEA|GO:0015267|GOA|na//molecular function|copper ion binding|IEA|GO:0005507|GOA|na//molecular function|extracellular ATP-gated cation channel activity|IDA|GO:0004931|GOA|9038151//molecular function|ion channel activity|IEA|GO:0005216|GOA|na//molecular function|lipopolysaccharide binding|ISS|GO:0001530|GOA|na//molecular function|magnesium ion binding|IEA|GO:0000287|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17474147//molecular function|protein heterodimerization activity|ISS|GO:0046982|GOA|17785580//molecular function|protein homodimerization activity|NAS|GO:0042803|GOA|17895406//molecular function|purinergic nucleotide receptor activity|IDA|GO:0001614|GOA|9038151//molecular function|receptor activity|IEA|GO:0004872|GOA|na//molecular function|receptor binding|ISS|GO:0005102|GOA|17785580//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|NAD transport|IEA|GO:0043132|GOA|na//biological process|T cell homeostasis|IEA|GO:0043029|GOA|na//biological process|T cell proliferation|IEA|GO:0042098|GOA|na//biological process|activation of MAPK activity|IEA|GO:0000187|GOA|na//biological process|bleb assembly|ISS|GO:0032060|GOA|na//biological process|calcium ion transport|IEA|GO:0006816|GOA|na//biological process|cation transport|IEA|GO:0006812|GOA|na//biological process|cell morphogenesis|IEA|GO:0000902|GOA|na//biological process|cell surface receptor linked signaling pathway|ISS|GO:0007166|GOA|na//biological process|cell volume homeostasis|IEA|GO:0006884|GOA|na//biological process|cellular response to extracellular stimulus|IEA|GO:0031668|GOA|na//biological process|ceramide biosynthetic process|IEA|GO:0046513|GOA|na//biological process|collagen metabolic process|IEA|GO:0032963|GOA|na//biological process|defense response to Gram-positive bacterium|IEA|GO:0050830|GOA|na//biological process|gene expression|IEA|GO:0010467|GOA|na//biological process|homeostasis of number of cells within a tissue|IEA|GO:0048873|GOA|na//biological process|inflammatory response|IEA|GO:0006954|GOA|na//biological process|membrane budding|IEA|GO:0006900|GOA|na//biological process|membrane depolarization|IDA|GO:0051899|GOA|9038151//biological process|membrane protein ectodomain proteolysis|IEA|GO:0006509|GOA|na//biological process|mitochondrion organization|IEA|GO:0007005|GOA|na//biological process|multicellular organismal protein catabolic process|IEA|GO:0044254|GOA|na//biological process|negative regulation of MAPKKK cascade|ISS|GO:0043409|GOA|na//biological process|negative regulation of bone resorption|ISS|GO:0045779|GOA|na//biological process|oxygen and reactive oxygen species metabolic process|IEA|GO:0006800|GOA|na//biological process|phagolysosome assembly|IEA|GO:0001845|GOA|na//biological process|phospholipid transfer to membrane|IEA|GO:0006649|GOA|na//biological process|phospholipid translocation|IEA|GO:0045332|GOA|na//biological process|plasma membrane organization|IEA|GO:0007009|GOA|na//biological process|pore complex assembly|IDA|GO:0046931|GOA|9038151//biological process|positive regulation of MAPKKK cascade|IEA|GO:0043410|GOA|na//biological process|positive regulation of T cell mediated cytotoxicity|IEA|GO:0001916|GOA|na//biological process|positive regulation of apoptosis|IEA|GO:0043065|GOA|na//biological process|positive regulation of bone mineralization|ISS|GO:0030501|GOA|na//biological process|positive regulation of calcium ion transport into cytosol|IDA|GO:0010524|GOA|9038151//biological process|positive regulation of catalytic activity|IEA|GO:0043085|GOA|na//biological process|positive regulation of cytokine secretion|IEA|GO:0050715|GOA|na//biological process|positive regulation of cytolysis|ISS|GO:0045919|GOA|na//biological process|positive regulation of cytoskeleton organization|ISS|GO:0051495|GOA|na//biological process|positive regulation of gamma-aminobutyric acid secretion|IEA|GO:0014054|GOA|na//biological process|positive regulation of glutamate secretion|IEA|GO:0014049|GOA|na//biological process|positive regulation of interleukin-1 alpha secretion|IEA|GO:0050717|GOA|na//biological process|positive regulation of interleukin-1 beta secretion|IDA|GO:0050718|GOA|ARRAY(0x17ec5e8)//biological process|positive regulation of interleukin-6 production|IEA|GO:0032755|GOA|na//biological process|positive regulation of mitochondrial depolarization|IEA|GO:0051901|GOA|na//biological process|positive regulation of prostaglandin secretion|IEA|GO:0032308|GOA|na//biological process|positive regulation of protein amino acid phosphorylation|IEA|GO:0001934|GOA|na//biological process|protein oligomerization|IEA|GO:0051259|GOA|na//biological process|protein processing|IEA|GO:0016485|GOA|na//biological process|regulation of action potential in neuron|IEA|GO:0019228|GOA|na//biological process|regulation of apoptosis|ISS|GO:0042981|GOA|na//biological process|regulation of killing of cells of another organism|NAS|GO:0051709|GOA|17785580//biological process|regulation of sodium ion transport|ISS|GO:0002028|GOA|17785580//biological process|release of sequestered calcium ion into cytosol|IEA|GO:0051209|GOA|na//biological process|response to ATP|IDA|GO:0033198|GOA|9038151//biological process|response to bacterium|IEA|GO:0009617|GOA|na//biological process|response to calcium ion|IEA|GO:0051592|GOA|na//biological process|response to drug|IEA|GO:0042493|GOA|na//biological process|response to electrical stimulus|IEA|GO:0051602|GOA|na//biological process|response to fluid shear stress|IEA|GO:0034405|GOA|na//biological process|response to lipopolysaccharide|IEA|GO:0032496|GOA|na//biological process|response to mechanical stimulus|IEA|GO:0009612|GOA|na//biological process|response to organic cyclic substance|IEA|GO:0014070|GOA|na//biological process|response to protein stimulus|IEA|GO:0051789|GOA|na//biological process|response to zinc ion|IEA|GO:0010043|GOA|na//biological process|sensory perception of pain|ISS|GO:0019233|GOA|na//biological process|skeletal system morphogenesis|IEA|GO:0048705|GOA|na//biological process|synaptic vesicle exocytosis|IEA|GO:0016079|GOA|na//cellular component|bleb|ISS|GO:0032059|GOA|na//cellular component|cell-cell junction|IEA|GO:0005911|GOA|na//cellular component|cytoplasm|ISS|GO:0005737|GOA|na//cellular component|external side of plasma membrane|IEA|GO:0009897|GOA|na//cellular component|integral to nuclear inner membrane|IEA|GO:0005639|GOA|na//cellular component|integral to plasma membrane|IC|GO:0005887|GOA|9038151//cellular component|membrane|IDA|GO:0016020|GOA|17785580//cellular component|membrane raft|IEA|GO:0045121|GOA|na//cellular component|neuromuscular junction|IEA|GO:0031594|GOA|na//cellular component|neuronal cell body|IEA|GO:0043025|GOA|na//cellular component|plasma membrane|ISS|GO:0005886|GOA|17785580//cellular component|synaptosome|IEA|GO:0019717|GOA|na//cellular component|terminal button|IEA|GO:0043195|GOA|na	F	14	0.687	-1.4556	0.000021853	48.0552	31.2578
A_23_P382835	chr3:152555738-152555797	P2RY1	0	NM_002563	Purinergic receptor P2Y, G-protein coupled, 1	molecular function|ADP binding|IEA|GO:0043531|GOA|na//molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|G-protein coupled receptor activity|IEA|GO:0004930|GOA|na//molecular function|purinergic nucleotide receptor activity, G-protein coupled|IEA|GO:0045028|GOA|na//molecular function|receptor activity|IEA|GO:0004872|GOA|na//biological process|G-protein coupled receptor protein signaling pathway|EXP|GO:0007186|GOA|18240029//biological process|activation of phospholipase C activity by G-protein coupled receptor protein signaling pathway coupled to IP3 second messenger|TAS|GO:0007200|GOA|8630005//biological process|blood coagulation|IEA|GO:0007596|GOA|na//biological process|cell surface receptor linked signaling pathway|TAS|GO:0007166|GOA|8630005//biological process|positive regulation of ion transport|IEA|GO:0043270|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|apical plasma membrane|IEA|GO:0016324|GOA|na//cellular component|basolateral plasma membrane|IEA|GO:0016323|GOA|na//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|8630005//cellular component|plasma membrane|EXP|GO:0005886|GOA|ARRAY(0x180f4d4)	F	14	0.7399	-1.3515	0.0001	18.5107	13.6044
A_23_P341966	chr1:176659786-176659841	PAPPA2	0	AF342990	Pappalysin 2	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|metallopeptidase activity|IDA|GO:0008237|GOA|11264294//molecular function|peptidase activity|IEA|GO:0008233|GOA|na//molecular function|zinc ion binding|NAS|GO:0008270|GOA|11264294//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|proteolysis|IDA|GO:0006508|GOA|11264294//biological process|regulation of cell growth|NAS|GO:0001558|GOA|11264294//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|intracellular|NAS|GO:0005622|GOA|11264294//cellular component|membrane|IEA|GO:0016020|GOA|na	F	15	0.4036	-2.4774	3.0789E-09	37.6165	14.695
A_32_P83203	chr2:206041210-206041269	PARD3B	0	NM_205863	Par-3 partitioning defective 3 homolog B (C. elegans)	molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|cell division|IEA|GO:0051301|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|endomembrane system|IEA|GO:0012505|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|tight junction|IEA|GO:0005923|GOA|na	F	15	0.7999	-1.2501	1.039E-08	128.9557	102.5701
A_23_P62953	chr1:164781270-164781329	PBX1	1	NM_002585	Pre-B-cell leukemia homeobox 1	molecular function|DNA binding|IDA|GO:0003677|GOA|10052460//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2e90cb0)//molecular function|protein heterodimerization activity|IEA|GO:0046982|GOA|na//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|adrenal gland development|IEA|GO:0030325|GOA|na//biological process|anterior/posterior pattern formation|IEA|GO:0009952|GOA|na//biological process|branching involved in ureteric bud morphogenesis|IEA|GO:0001658|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|embryonic hemopoiesis|IEA|GO:0035162|GOA|na//biological process|embryonic limb morphogenesis|IEA|GO:0030326|GOA|na//biological process|embryonic skeletal system development|IEA|GO:0048706|GOA|na//biological process|negative regulation of neuron differentiation|IEA|GO:0045665|GOA|na//biological process|organ morphogenesis|IEA|GO:0009887|GOA|na//biological process|positive regulation of cell proliferation|IEA|GO:0008284|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|proximal/distal pattern formation|IEA|GO:0009954|GOA|na//biological process|regulation of ossification|IEA|GO:0030278|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|sex differentiation|IEA|GO:0007548|GOA|na//biological process|spleen development|IEA|GO:0048536|GOA|na//biological process|steroid biosynthetic process|IEA|GO:0006694|GOA|na//biological process|thymus development|IEA|GO:0048538|GOA|na//biological process|urogenital system development|IEA|GO:0001655|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	M	16	1.6939	1.6939	2.2758E-36	70.4346	119.1055
A_32_P116857	chr2:178489045-178489104	PDE11A	0	NM_016953	Phosphodiesterase 11A	molecular function|3,5-cyclic-GMP phosphodiesterase activity|IEA|GO:0047555|GOA|na//molecular function|3,5-cyclic-nucleotide phosphodiesterase activity|TAS|GO:0004114|GOA|10725373//molecular function|cyclic-nucleotide phosphodiesterase activity|NAS|GO:0004112|GOA|10906126//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytosol|IEA|GO:0005829|GOA|na	F	16	0.6024	-1.6601	2.8915E-10	1754.6451	1038.8062
A_23_P157636	chr8:22571016-22571051	PEBP4	0	NM_144962	Phosphatidylethanolamine-binding protein 4	cellular component|lysosome|IEA|GO:0005764|GOA|na	F	14	0.6261	-1.5972	0.000008912	47.7868	30.0777
A_23_P31563	chr7:77584254-77584313	PHTF2	0	NM_001127358	Putative homeodomain transcription factor 2	molecular function|DNA binding|IEA|GO:0003677|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|endoplasmic reticulum|IDA|GO:0005783|GOA|11256614//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	14	1.1592	1.1592	0.0002	23.9975	27.9155
A_23_P510	chr1:242252899-242252958	PLD5	0	NM_152666	Phospholipase D family, member 5	molecular function|catalytic activity|IEA|GO:0003824|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	14	0.5448	-1.8356	0.0015	5.4856	3.1517
