Fold Change	Transcript Cluster ID	q-value (%)	Gene Symbol	Description	Entrez Gene ID	Cytoband	SwissProt ID
0.39	3392996	0	KIAA0999	KIAA0999 protein	23387	11q23.3	Q9Y2K2
0.39	2609560	0	THUMPD3	THUMP domain containing 3	25917	3p25.3	Q9BV44
0.39	2509832	0	EPC2	enhancer of polycomb homolog 2 (Drosophila)	26122	2q23.1	Q52LR7
0.39	3719362	0	AATF	apoptosis antagonizing transcription factor	26574	17q12	Q9NY61
0.39	3018420	0	HBP1	HMG-box transcription factor 1	26959	7q22.3	O60381
0.39	2875555	0	AFF4	AF4/FMR2 family, member 4	27125	5q31.1	Q9UHB7
0.39	3005717	0	RABGEF1	RAB guanine nucleotide exchange factor (GEF) 1	27342	7q11.21	Q9UJ41
0.39	3758148	0	CNTD1	cyclin N-terminal domain containing 1	28958	17q21.31	Q9Y2R0
0.39	3419849	0	TBK1	TANK-binding kinase 1	29110	12q14.2	Q9UHD2
0.39	2748830	0	GUCY1A3	guanylate cyclase 1, soluble, alpha 3	2982	4q32.1	Q02108
0.39	3212143	0	UBQLN1	ubiquilin 1	29979	9q21.32	Q9UMX0
0.39	2890148	0	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)	3187	5q35.3	P31943
0.39	3475782	0	NIACR2	niacin receptor 2	338442	12q24.31	Q8TDS4
0.39	2603051	0	SP110	SP110 nuclear body protein	3431	2q37.1	Q9HB58
0.39	2496962	0	IL1R1	interleukin 1 receptor, type I	3554	2q11.2 / 2q12.1	P14778
0.39	3497790	0	IPO5	importin 5	3843	13q32.2	O00410
0.39	3840642	0	ZNF818P	zinc finger protein 818 pseudogene	390963	19q13.41	Q6ZRF7
0.39	2786578	0	NDUFC1	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa	4717	4q31.1	O43677
0.39	3601051	0	NEO1	neogenin homolog 1 (chicken)	4756	15q24.1	Q92859
0.39	3717052	0	NF1	neurofibromin 1	4763	17q11.2	P21359
0.39	3636522	0	HDGFRP3	hepatoma-derived growth factor, related protein 3	50810	15q25.2	Q9Y3E1
0.39	2380055	0	KCTD3	potassium channel tetramerisation domain containing 3	51133	1q41	Q9Y597
0.39	2877171	0	PKD2L2	polycystic kidney disease 2-like 2	51306	5q31.2	Q9NYF5
0.39	2945645	0	TTRAP	TRAF and TNF receptor associated protein	51567	6p22.2	O95551
0.39	3715368	0	NLK	nemo-like kinase	51701	17q11.2	Q9UBE8
0.39	2741768	0	EXOSC9	exosome component 9	5393	4q27	Q06265
0.39	2348792	0	CCDC76	coiled-coil domain containing 76	54482	1p21.2	Q9NUP7
0.39	3755396	0	CCDC49	coiled-coil domain containing 49	54883	17q12	Q9NXE8
0.39	3615985	0	MTMR10	myotubularin related protein 10	54893	15q13.3	Q9NXD2
0.39	3538555	0	PPM1A	protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform	5494	14q23.1	P35813
0.39	3804143	0	RPRD1A	regulation of nuclear pre-mRNA domain containing 1A	55197	18q12.2	Q96P16
0.39	2379009	0	SNORA16B	small nucleolar RNA, H/ACA box 16B	5525	1q32.3	Q15172
0.39	3048227	0	URG4	up-regulated gene 4	55665	7p13	Q8TCY9
0.39	4012204	0	HDAC8	histone deacetylase 8	55869	Xq13.1	Q9BY41
0.39	2890605	0	MAPK9	mitogen-activated protein kinase 9	5601	5q35.3	P45984
0.39	3543481	0	PSEN1	presenilin 1	5663	14q24.2	P49768
0.39	3719962	0	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3	5691	17q12	P49720
0.39	2916246	0	C6orf162	chromosome 6 open reading frame 162	57150	6q15	Q96KF7
0.39	3183604	0	ZNF462	zinc finger protein 462	58499	9q31.2	Q96JM2
0.39	2964231	0	RRAGD	Ras-related GTP binding D	58528	6q15	Q9NQL2
0.39	2819044	0	RASA1	RAS p21 protein activator (GTPase activating protein) 1	5921	5q14.3	P20936
0.39	2865050	0	RPS23	ribosomal protein S23	6228	5q14.2	P62266
0.39	2627390	0	ATXN7	ataxin 7	6314	3p14.1	O15265
0.39	3168255	0	HRCT1	histidine rich carboxyl terminus 1	646962	9p13.3	Q6UXD1
0.39	2651989	0	SKIL	SKI-like oncogene	6498	3q26.2	P12757
0.39	3091000	0	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	665	8p21.2	O60238
0.39	2531377	0	SP100	SP100 nuclear antigen	6672	2q37.1	P23497
0.39	3181240	0	TMOD1	tropomodulin 1	7111	9q22.33	P28289
0.39	2503618	0	TSN	translin	7247	2q14.3	Q15631
0.39	3252071	0	VCL	vinculin	7414	10q22.2	P18206
0.39	3849752	0	ZNF426	zinc finger protein 426	79088	19p13.2	Q9BUY5
0.39	3078656	0	ZNF746	zinc finger protein 746	79970	7q36.1	Q75MW2
0.39	2593407	0	PGAP1	post-GPI attachment to proteins 1	80055	2q33.1	Q75T13
0.39	3333443	0	RCC2	regulator of chromosome condensation 2	80150	11q12.3	Q7L266
0.39	2877231	0	NME5	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	8382	5q31.2	P56597
0.39	2997952	0	STARD3NL	STARD3 N-terminal like	83930	7p14.1	O95772
0.39	2995491	0	C7orf67	chromosome 7 open reading frame 67	84182	7p15.1	Q4G0A6
0.39	2396009	0	LZIC	leucine zipper and CTNNBIP1 domain containing	84328	1p36.22	Q8WZA0
0.39	2929036	0	LTV1	LTV1 homolog (S. cerevisiae)	84946	6q24.2	Q96GA3
0.39	3219547	0	IKBKAP	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	8518	9q31.3	O95163
0.39	3284302	0	NRP1	neuropilin 1	8829	10p11.22	O14786
0.39	2838598	0	CCNG1	cyclin G1	900	5q34	P51959
0.39	2865860	0	CCNH	cyclin H	902	5q14.3	P51946
0.39	2780999	0	PAPSS1	3-phosphoadenosine 5-phosphosulfate synthase 1	9061	4q25	O43252
0.39	3127878	0	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	9583	8p21.3	Q9Y227
0.39	2675628	0	VPRBP	Vpr (HIV-1) binding protein	9730	3p21.2	Q9Y4B6
0.39	3135184	0	RB1CC1	RB1-inducible coiled-coil 1	9821	8q11.23	Q8TDY2
0.39	3282016	0.1	ABI1	abl-interactor 1	10006	10p12.1	Q8IZP0
0.39	3490741	0.1	SUGT1	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)	10910	13q14.3	Q9Y2Z0
0.39	3926080	0.1	BTG3	BTG family, member 3	10950	21q21.1	Q14201
0.39	3778504	0.1	RAB31	RAB31, member RAS oncogene family	11031	18p11.22	Q13636
0.39	2832081	0.1	ZMAT2	zinc finger, matrin type 2	153527	5q31.3	Q96NC0
0.39	2363919	0.1	ATF6	activating transcription factor 6	22926	1q23.3	P18850
0.39	3031556	0.1	GIMAP2	GTPase, IMAP family member 2	26157	7q36.1	Q9UG22
0.39	2970532	0.1	HDAC2	histone deacetylase 2	3066	6q22.1	Q92769
0.39	3042421	0.1	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	3181	7p15.2	P22626
0.39	3166718	0.1	DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1	3301	9p13.3	P31689
0.39	3445741	0.1	MGP	matrix Gla protein	4256	12p12.3	P08493
0.39	4021341	0.1	ZDHHC9	zinc finger, DHHC-type containing 9	51114	Xq25	Q9Y397
0.39	2523144	0.1	NOP58	NOP58 ribonucleoprotein homolog (yeast)	51602	2q33.1	Q9Y2X3
0.39	2518583	0.1	DNAJC10	DnaJ (Hsp40) homolog, subfamily C, member 10	54431	2q32.1	Q8IXB1
0.39	3167220	0.1	UBE2R2	ubiquitin-conjugating enzyme E2R 2	54926	9p13.3	Q712K3
0.39	3447798	0.1	CASC1	cancer susceptibility candidate 1	55259	12p12.1	Q6TDU7
0.39	3293244	0.1	SAR1A	SAR1 homolog A (S. cerevisiae)	56681	10q22.1	Q9NR31
0.39	2963707	0.1	RARS2	arginyl-tRNA synthetase 2, mitochondrial	57038	6q15	Q5T160
0.39	3529609	0.1	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	5720	14q12	Q06323
0.39	3751463	0.1	NUFIP2	nuclear fragile X mental retardation protein interacting protein 2	57532	17q11.2	Q7Z417
0.39	3683018	0.1	RPS15A	ribosomal protein S15a	6210	16p12.3	P62244
0.39	2680819	0.1	SUCLG2	succinate-CoA ligase, GDP-forming, beta subunit	8801	3p14.1	Q96I99
0.39	3513293	0.1	SUCLA2	succinate-CoA ligase, ADP-forming, beta subunit	8803	13q14.2	Q9P2R7
0.39	2440354	0.1	CD48	CD48 molecule	962	1q23.3	P09326
0.39	3281762	0.3	ENKUR	enkurin, TRPC channel interacting protein	219670	10p12.1	Q8TC29
0.39	3275132	0.3	GDI2	GDP dissociation inhibitor 2	2665	10p15.1	P50395
0.39	3460127	0.3	GNS	glucosamine (N-acetyl)-6-sulfatase	2799	12q14.2 / 12q14.3	P15586
0.39	3387171	0.3	CWC15	CWC15 spliceosome-associated protein homolog (S. cerevisiae)	51503	11q21	Q9P013
0.39	2544179	0.3	SF3B14	splicing factor 3B, 14 kDa subunit	51639	2p23.3	Q9Y3B4
0.39	3247784	0.3	TFAMP1	transcription factor A, mitochondrial pseudogene 1	7019	10q21.1	Q00059
0.39	3854066	0.3	C19orf42	chromosome 19 open reading frame 42	79086	19p13.11	Q9BQ49
0.39	3151401	0.3	DERL1	Der1-like domain family, member 1	79139	8q24.13	Q9BUN8
0.39	2434319	0.3	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	81611	1q21.2	Q9BTT0
0.39	3456630	0.5	CBX5	chromobox homolog 5 (HP1 alpha homolog, Drosophila)	23468	12q13.13	P45973
0.39	2352228	0.5	CAPZA1	capping protein (actin filament) muscle Z-line, alpha 1	829	1p13.2	P52907
0.39	3577256	0.5	C14orf142	chromosome 14 open reading frame 142	84520	14q32.12	Q9BXV9
0.39	2841284	0.5	ATP6V0E1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	8992	5q35.2	O15342
0.39	3243262	0.9	HSD17B7	hydroxysteroid (17-beta) dehydrogenase 7	158160	10p11.21	A6NH47
0.39	3872983	0.9	CHMP2A	chromatin modifying protein 2A	27243	19q13.43	O43633
0.39	3969946	0.9	ZRSR2	zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2	8233	Xp22.2	Q15696
0.4	3274173	0	PITRM1	pitrilysin metallopeptidase 1	10531	10p15.2	Q5JRX3
0.4	3723348	0	HEXIM1	hexamethylene bis-acetamide inducible 1	10614	17q21.31	O94992
0.4	2428855	0	AP4B1	adaptor-related protein complex 4, beta 1 subunit	10717	1p13.2	Q9Y6B7
0.4	3966225	0	RABL2A	RAB, member of RAS oncogene family-like 2A	11158	22q13.33	Q9UNT1
0.4	3486807	0	WBP4	WW domain binding protein 4 (formin binding protein 21)	11193	13q14.11	O75554
0.4	2910236	0	EFHC1	EF-hand domain (C-terminal) containing 1	114327	6p12.2	Q5JVL4
0.4	2765590	0	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	116984	4p14	Q8WZ64
0.4	3902743	0	C20orf112	chromosome 20 open reading frame 112	140688	20q11.21	Q96MY1
0.4	2618940	0	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	1499	3p22.1	P35222
0.4	2555174	0	PUS10	pseudouridylate synthase 10	150962	2p16.1	Q3MIT2
0.4	2825514	0	DMXL1	Dmx-like 1	1657	5q23.1	Q9Y485
0.4	3695199	0	DYNC1LI2	dynein, cytoplasmic 1, light intermediate chain 2	1783	16q22.1	O43237
0.4	3620880	0	UBR1	ubiquitin protein ligase E3 component n-recognin 1	197131	15q15.2	Q8IWV7
0.4	2730554	0	RUFY3	RUN and FYVE domain containing 3	22902	4q13.3	Q7L099
0.4	3876645	0	BTBD3	BTB (POZ) domain containing 3	22903	20p12.2	Q9Y2F9
0.4	3882069	0	MAPRE1	microtubule-associated protein, RP/EB family, member 1	22919	20q11.21	Q15691
0.4	3336696	0	KDM2A	lysine (K)-specific demethylase 2A	22992	11q13.1	Q9Y2K7
0.4	3484768	0	PDS5B	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)	23047	13q13.1	Q9NTI5
0.4	3013255	0	PEG10	paternally expressed 10	23089	7q21.3	Q86TG7
0.4	2842570	0	FAF2	Fas associated factor family member 2	23197	5q35.2	Q96CS3
0.4	3348608	0	SIK2	salt-inducible kinase 2	23235	11q23.1	Q9H0K1
0.4	3994100	0	FMR1	fragile X mental retardation 1	2332	Xq27.3	Q06787
0.4	3339406	0	FOLR1	folate receptor 1 (adult)	2348	11q13.4	P15328
0.4	4002011	0	CXorf23	chromosome X open reading frame 23	256643	Xp22.12	A2AJT9
0.4	3600744	0	ARIH1	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	25820	15q24.1	Q9Y4X5
0.4	2712858	0	UBXN7	UBX domain protein 7	26043	3q29	O94888
0.4	3514488	0	INTS6	integrator complex subunit 6	26512	13q14.3	Q9UL03
0.4	2996321	0	BBS9	Bardet-Biedl syndrome 9	27241	7p14.3	Q3SYG4
0.4	3826656	0	ZNF429	zinc finger protein 429	353088	19p12	Q86V71
0.4	2608469	0	ITPR1	inositol 1,4,5-triphosphate receptor, type 1	3708	3p26.2	Q14643
0.4	3850832	0	TMEM205	transmembrane protein 205	374882	19p13.2	Q6UW68
0.4	2691982	0	KPNA1	karyopherin alpha 1 (importin alpha 5)	3836	3q21.1	P52294
0.4	3176933	0	C9orf103	chromosome 9 open reading frame 103	414328	9q21.32	Q5T6J7
0.4	3359910	0	NUP98	nucleoporin 98kDa	4928	11p15.4	P52948
0.4	2881554	0	DCTN4	dynactin 4 (p62)	51164	5q33.1	Q9UJW0
0.4	3529799	0	GMPR2	guanosine monophosphate reductase 2	51292	14q12	Q9P2T1
0.4	2468920	0	CPSF3	cleavage and polyadenylation specific factor 3, 73kDa	51692	2p25.1	Q9UKF6
0.4	2874794	0	RAPGEF6	Rap guanine nucleotide exchange factor (GEF) 6	51735	5q31.1	Q8TEU7
0.4	2790570	0	PLRG1	pleiotropic regulator 1 (PRL1 homolog, Arabidopsis)	5356	4q32.1	O43660
0.4	2989493	0	MIOS	missing oocyte, meiosis regulator, homolog (Drosophila)	54468	7p21.3	Q9NXC5
0.4	2655113	0	KLHL24	kelch-like 24 (Drosophila)	54800	3q27.1	Q6TFL4
0.4	3667093	0	PDPR	pyruvate dehydrogenase phosphatase regulatory subunit	55066	16q22.1	Q8NCN5
0.4	3578278	0	ATG2B	ATG2 autophagy related 2 homolog B (S. cerevisiae)	55102	14q32.2	Q96BY7
0.4	3556888	0	RBM23	RNA binding motif protein 23	55147	14q11.2	Q86U06
0.4	2727913	0	EXOC1	exocyst complex component 1	55763	4q12	Q9NV70
0.4	2736259	0	SMARCAD1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	56916	4q22.2 / 4q22.3	Q9H4L7
0.4	3651057	0	C16orf62	chromosome 16 open reading frame 62	57020	16p12.3	Q7Z3J2
0.4	2361257	0	RAB25	RAB25, member RAS oncogene family	57111	1q22	P57735
0.4	3737338	0	RNF213	ring finger protein 213	57674	17q25.3	Q63HN8
0.4	3381607	0	RAB6C	RAB6C, member RAS oncogene family	5870	11q13.4	P20340
0.4	3068476	0	TMEM168	transmembrane protein 168	64418	7q31.1	Q9H0V1
0.4	2348757	0	HIAT1	hippocampus abundant transcript 1	64645	1p21.2	Q96MC6
0.4	3799167	0	MPPE1	metallophosphoesterase 1	65258	18p11.21	Q53F39
0.4	3087659	0	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	6542	8p22	P52569
0.4	3361811	0	STK33	serine/threonine kinase 33	65975	11p15.4	Q9BYT3
0.4	3114832	0	SQLE	squalene epoxidase	6713	8q24.13	Q14534
0.4	3146103	0	STK3	serine/threonine kinase 3 (STE20 homolog, yeast)	6788	8q22.2	Q13188
0.4	3656760	0	STX4	syntaxin 4	6810	16p11.2	Q12846
0.4	2768396	0	TEC	tec protein tyrosine kinase	7006	4p12	P42680
0.4	2908179	0	VEGFA	vascular endothelial growth factor A	7422	6p21.1	P15692
0.4	3092663	0	WRN	Werner syndrome, RecQ helicase-like	7486	8p12	Q14191
0.4	3105600	0	CA2	carbonic anhydrase II	760	8q21.2	P00918
0.4	2900299	0	ZNF192	zinc finger protein 192	7745	6p22.1	Q15776
0.4	3987492	0	ALG13	asparagine-linked glycosylation 13 homolog (S. cerevisiae)	79868	Xq23	Q9H5U8
0.4	3547610	0	ZC3H14	zinc finger CCCH-type containing 14	79882	14q31.3	Q6PJT7
0.4	2704894	0	PHC3	polyhomeotic homolog 3 (Drosophila)	80012	3q26.2	Q8NDX5
0.4	2344542	0	BXDC5	brix domain containing 5	80135	1p22.3	Q9H9Y2
0.4	2841699	0	CPEB4	cytoplasmic polyadenylation element binding protein 4	80315	5q35.2	Q17RY0
0.4	3709685	0	NDEL1	nudE nuclear distribution gene E homolog (A. nidulans)-like 1	81565	17p13.1	Q9GZM8
0.4	4010860	0	LAS1L	LAS1-like (S. cerevisiae)	81887	Xq11.1	Q9Y4W2
0.4	3779756	0	SEH1L	SEH1-like (S. cerevisiae)	81929	18p11.21	Q96EE3
0.4	3387483	0	MTMR2	myotubularin related protein 2	8898	11q21	Q13614
0.4	3042610	0	SKAP2	src kinase associated phosphoprotein 2	8935	7p15.2	O75563
0.4	2654091	0	USP13	ubiquitin specific peptidase 13 (isopeptidase T-3)	8975	3q26.33	Q92995
0.4	3323052	0	NAV2	neuron navigator 2	89797	11p15.1	Q8IVL1
0.4	3762416	0	ANKRD40	ankyrin repeat domain 40	91369	17q21.33	Q6AI12
0.4	2680298	0	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	9223	3p14.1	Q96QZ7
0.4	3772525	0	CYTH1	cytohesin 1	9267	17q25.3	Q15438
0.4	2514441	0	PPIG	peptidylprolyl isomerase G (cyclophilin G)	9360	2q31.1	Q13427
0.4	2780734	0	TBCKL	TBC domain-containing protein kinase-like	93627	4q24	Q8TEA7
0.4	3173880	0	TJP2	tight junction protein 2 (zona occludens 2)	9414	9q21.11	Q9UDY2
0.4	3662265	0	NUP93	nucleoporin 93kDa	9688	16q13	Q8N1F7
0.4	3532393	0	KIAA0391	KIAA0391	9692	14q13.2	O15091
0.4	3317309	0	CD81	CD81 molecule	975	11p15.5	P60033
0.4	3617312	0	SLC12A6	solute carrier family 12 (potassium/chloride transporters), member 6	9990	15q14	Q9UHW9
0.4	2448073	0.1	IVNS1ABP	influenza virus NS1A binding protein	10625	1q25.3	Q9Y6Y0
0.4	3843156	0.1	ZNF460	zinc finger protein 460	10794	19q13.43	Q14592
0.4	3015216	0.1	COPS6	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)	10980	7q22.1	Q7L5N1
0.4	3754677	0.1	AP1GBP1	AP1 gamma subunit binding protein 1	11276	17q12	Q9UMZ2
0.4	3815649	0.1	CIRBP	cold inducible RNA binding protein	1153	19p13.3	Q14011
0.4	3882681	0.1	CHMP4B	chromatin modifying protein 4B	128866	20q11.22	Q9H444
0.4	2817386	0.1	PAPD4	PAP associated domain containing 4	167153	5q14.1	Q6PIY7
0.4	3633794	0.1	TYRO3	TYRO3 protein tyrosine kinase	2108	15q24.2	P13804
0.4	4017810	0.1	ACSL4	acyl-CoA synthetase long-chain family member 4	2182	Xq22.3	O60488
0.4	3444086	0.1	KLRC4	killer cell lectin-like receptor subfamily C, member 4	22914	12p13.2	P26718
0.4	2909404	0.1	CD2AP	CD2-associated protein	23607	6p12.3	Q9Y5K6
0.4	3680583	0.1	RSL1D1	ribosomal L1 domain containing 1	26156	16p13.13	O76021
0.4	2921296	0.1	AMD1	adenosylmethionine decarboxylase 1	262	6q21	P17707
0.4	2642325	0.1	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	27032	3q22.1	P98194
0.4	3341440	0.1	C11orf67	chromosome 11 open reading frame 67	28971	11q14.1	Q9H7C9
0.4	3351531	0.1	ARCN1	archain 1	372	11q23.3	P48444
0.4	2553730	0.1	MTIF2	mitochondrial translational initiation factor 2	4528	2p16.1	P46199
0.4	2740005	0.1	LARP7	La ribonucleoprotein domain family, member 7	51574	4q25	Q4G0J3
0.4	2475209	0.1	PPP1CB	protein phosphatase 1, catalytic subunit, beta isoform	5500	2p23.2	P62140
0.4	3717737	0.1	PSMD11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	5717	17q11.2	O00231
0.4	2406064	0.1	SFPQ	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)	6421	1p34.3	P23246
0.4	2701294	0.1	TMEM14E	transmembrane protein 14E	645843	3q25.2	Q6UXP3
0.4	3402935	0.1	TPI1	triosephosphate isomerase 1	7167	12p13.31	P60174
0.4	3100909	0.3	YTHDF3	YTH domain family, member 3	253943	8q12.3	Q7Z739
0.4	3301857	0.3	TM9SF3	transmembrane 9 superfamily member 3	56889	10q24.1	Q9HD45
0.4	2452637	0.3	NUCKS1	nuclear casein kinase and cyclin-dependent kinase substrate 1	64710	1q32.1	Q9H1E3
0.4	2331857	0.3	SMAP2	small ArfGAP2	64744	1p34.2	Q8WU79
0.4	3858659	0.3	ANKRD27	ankyrin repeat domain 27 (VPS9 domain)	84079	19q13.11	Q96NW4
0.4	3536663	0.3	MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1-like	93487	14q22.3	Q8NDC0
0.4	2421271	0.3	40071	15 kDa selenoprotein	9403	1p22.3	O60613
0.4	2351572	0.3	CD53	CD53 molecule	963	1p13.3	P19397
0.4	2515276	0.5	DYNC1I2	dynein, cytoplasmic 1, intermediate chain 2	1781	2q31.1	Q13409
0.4	2854327	0.5	FYB	FYN binding protein (FYB-120/130)	2533	5p13.1	O15117
0.4	3584728	0.5	SNRPN	small nuclear ribonucleoprotein polypeptide N	6638	15q11.2	P63162
0.4	7385696	0.9	SHFM1	split hand/foot malformation (ectrodactyly) type 1	7979	7q21.3	P60896
0.4	3249043	1.4	REEP3	receptor accessory protein 3	221035	10q21.3	Q6NUK4
0.4	3395416	1.4	LOC85391	RNA, small nucleolar	3312	11q24.1	P11142
0.4	2319340	1.4	SLC25A33	solute carrier family 25, member 33	84275	1p36.22	Q9BSK2
0.4	3003143	2.3	MRPS17	mitochondrial ribosomal protein S17	51373	7p11.2	Q9Y2R5
0.41	3989089	0	ZBTB33	zinc finger and BTB domain containing 33	10009	Xq24	Q86T24
0.41	3765299	0	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	10513	17q23.2	Q92624
0.41	3234760	0	CUGBP2	CUG triplet repeat, RNA binding protein 2	10659	10p14	O95319
0.41	3362826	0	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1	10894	11p15.4	Q9Y5Y7
0.41	3092415	0	RBPMS	RNA binding protein with multiple splicing	11030	8p12	Q93062
0.41	2515783	0	RAPGEF4	Rap guanine nucleotide exchange factor (GEF) 4	11069	2q31.1	Q8WZA2
0.41	3962678	0	PACSIN2	protein kinase C and casein kinase substrate in neurons 2	11252	22q13.2	Q9UNF0
0.41	3294242	0	ECD	ecdysoneless homolog (Drosophila)	11319	10q22.1	O95905
0.41	3601741	0	CLK3	CDC-like kinase 3	1198	15q24.1	P49761
0.41	2594773	0	ALS2CR12	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 12	130540	2q33.1	Q96Q35
0.41	3252534	0	SAMD8	sterile alpha motif domain containing 8	142891	10q22.2	Q96LT4
0.41	3368520	0	CSTF3	cleavage stimulation factor, 3 pre-RNA, subunit 3, 77kDa	1479	11p13	Q12996
0.41	2924253	0	RNF217	ring finger protein 217	154214	6q22.31	Q8TC41
0.41	3833926	0	CYP2B7P1	cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene 1	1555	19q13.2	P20813
0.41	3517251	0	DACH1	dachshund homolog 1 (Drosophila)	1602	13q21.33	Q9UI36
0.41	4004044	0	DMD	dystrophin	1756	Xp21.2 / Xp21.1	P11532
0.41	3290649	0	PHYHIPL	phytanoyl-CoA 2-hydroxylase interacting protein-like	220965	10q21.1	Q8NE31
0.41	3504392	0	N6AMT2	N-6 adenine-specific DNA methyltransferase 2 (putative)	221143	13q12.11	Q8WVE0
0.41	2969201	0	AKD2	adenylate kinase domain containing 2	221264	6q21	Q3MIS4
0.41	2932360	0	RBM16	RNA binding motif protein 16	22828	6q25.2	Q9UPN6
0.41	3282117	0	ANKRD26	ankyrin repeat domain 26	22852	10p12.1	Q9UPS8
0.41	3267382	0	INPP5F	inositol polyphosphate-5-phosphatase F	22876	10q26.11	Q9Y2H2
0.41	3583638	0	CYFIP1	cytoplasmic FMR1 interacting protein 1	23191	15q11.2	Q7L576
0.41	3362263	0	DENND5A	DENN/MADD domain containing 5A	23258	11p15.4	Q6IQ26
0.41	2318455	0	CAMTA1	calmodulin binding transcription activator 1	23261	1p36.31 / 1p36.23	Q9Y6Y1
0.41	2573641	0	CLASP1	cytoplasmic linker associated protein 1	23332	2q14.2 / 2q14.3	Q7Z460
0.41	2600237	0	OBSL1	obscurin-like 1	23363	2q35	O75147
0.41	2420832	0	DDAH1	dimethylarginine dimethylaminohydrolase 1	23576	1p22.3	O94760
0.41	3250093	0	KIAA1279	KIAA1279	26128	10q21.3	Q96EK5
0.41	3431426	0	IFT81	intraflagellar transport 81 homolog (Chlamydomonas)	28981	12q24.11	Q8WYA0
0.41	2965674	0	NDUFAF4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4	29078	6q16.1	Q9P032
0.41	3389647	0	PYROXD1	pyridine nucleotide-disulphide oxidoreductase domain 1	2977	11q22.3	P33402
0.41	3429406	0	HCFC2	host cell factor C2	29915	12q23.3	Q9Y5Z7
0.41	2934131	0	TCP1	t-complex 1	39	6q25.3	Q9BWD1
0.41	2779897	0	MANBA	mannosidase, beta A, lysosomal	4126	4q24	O00462
0.41	3137530	0	ASPH	aspartate beta-hydroxylase	444	8q12.3	Q12797
0.41	2412529	0	NRD1	nardilysin (N-arginine dibasic convertase)	4898	1p32.3	O43847
0.41	3622934	0	MYEF2	myelin expression factor 2	50804	15q21.1	Q9P2K5
0.41	2440476	0	F11R	F11 receptor	50848	1q23.3	Q9Y624
0.41	3498837	0	PCCA	propionyl Coenzyme A carboxylase, alpha polypeptide	5095	13q32.3	P05165
0.41	2712754	0	PCYT1A	phosphate cytidylyltransferase 1, choline, alpha	5130	3q29	P49585
0.41	3474935	0	ANAPC5	anaphase promoting complex subunit 5	51433	12q24.31	Q9UJX4
0.41	2515933	0	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	51776	2q31.1	Q9NYL2
0.41	3878836	0	RIN2	Ras and Rab interactor 2	54453	20p11.23	Q8WYP3
0.41	3762625	0	MBTD1	mbt domain containing 1	54799	17q21.33	Q05BQ5
0.41	3088405	0	INTS10	integrator complex subunit 10	55174	8p21.3	Q9NVR2
0.41	2779638	0	PPP3CA	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform	5530	4q23	Q08209
0.41	2854737	0	PRKAA1	protein kinase, AMP-activated, alpha 1 catalytic subunit	5562	5p13.1	Q13131
0.41	3702689	0	ZDHHC7	zinc finger, DHHC-type containing 7	55625	16q24.1	Q9NXF8
0.41	3292634	0	RUFY2	RUN and FYVE domain containing 2	55680	10q21.3	Q8WXA3
0.41	3409605	0	FAR2	fatty acyl CoA reductase 2	55711	12p11.22	Q96K12
0.41	3973692	0	PRRG1	proline rich Gla (G-carboxyglutamic acid) 1	5638	Xp21.1	O14668
