probe set	gene	Accession	EntrezGene	CEF NY315/CEF RCAS	t statistic	P value	CEF SRA/CEF RCAS	t statistic	P value	CEF SRA/CEF NY315	t statistic	P value
Gga.8400.3.S1_at	UBE2F: ubiquitin-conjugating enzyme E2F (putative)	BU423784	424015	-1.71	-8.523	0.009413	-1.38	-10.771	0.000471	0.33	1.467	0.22737
Gga.8420.2.S1_a_at	CACNG1: calcium channel, voltage-dependent, gamma subunit 1	BX930568.2	417428	-0.44	-5.717	0.012671	-1.34	-7.677	0.001512	-0.9	-5.528	0.009519
Gga.8433.1.S1_a_at	PHACTR1: phosphatase and actin regulator 1	NM_204446.1	395093	-1.77	-30.695	0.000007	-2	-16.673	0.000134	-0.23	-1.886	0.13631
Gga.8436.2.A1_at	Finished cDNA, clone ChEST858g21	BX929690.2		1.2	5.671	0.015988	1.25	5.605	0.010106	0.05	0.398	0.706936
Gga.8489.1.S1_at	FGF9: fibroblast growth factor 9 (glia-activating factor)	NM_204399.1	378917	-0.36	-1.898	0.154335	-1.66	-5.542	0.007398	-1.3	-3.899	0.013318
Gga.8500.1.S1_at	RGS2: regulator of G-protein signalling 2, 24kDa	NM_204395.1	378912	0.79	3.191	0.043729	2.68	8.493	0.000396	1.88	7.09	0.001346
Gga.8506.1.S1_s_at	TRIB2: tribbles homolog 2 (Drosophila)	NM_204401.1	378919	-0.7	-2.207	0.092196	-1.06	-3.298	0.021916	-0.36	-1.091	0.32642
Gga.8517.1.S1_at	LDLR: LDL receptor	NM_204452.1	395103	-0.85	-2.941	0.068235	0.21	0.877	0.425438	1.06	3.119	0.03281
Gga.8535.1.S2_at	UNC5C: unc-5 homolog C (C. elegans)	BU221163	395101	-0.72	-3.018	0.040625	-1.09	-3.142	0.027855	-0.37	-1.105	0.326241
Gga.8546.1.S1_a_at	LOC378902: death domain-containing tumor necrosis factor receptor superfamily member 23	NM_204386.1	378902	0.07	0.312	0.774208	1.38	3.431	0.032557	1.31	3.021	0.035295
Gga.8546.2.S1_at	LOC378902: death domain-containing tumor necrosis factor receptor superfamily member 23	BU422344	378902	0.76	3.031	0.089263	1.48	5.875	0.008786	0.71	2.031	0.100386
Gga.857.2.S1_s_at	LOC396494: epidermal growth factor receptor	M20386.1	396494	-1.01	-6.831	0.00469	-1.4	-10.083	0.002631	-0.39	-4.058	0.015151
Gga.8597.1.S1_s_at	LOC429143: similar to glypican-5	CD730299	429143	-0.31	-1.594	0.225407	0.72	3.149	0.040965	1.03	3.621	0.015211
Gga.862.1.S1_at	GJA7: gap junction protein, alpha 7, 45kDa (connexin 45)	NM_205503.1	396501	-1.5	-4.091	0.03188	-1.75	-7.377	0.00073	-0.25	-0.657	0.554637
Gga.8635.1.S1_at	SLC5A1: solute carrier family 5 (sodium/glucose cotransporter), member 1	BU298044	395496	-1.29	-8.737	0.002639	-1.57	-14.646	0.00003	-0.27	-1.812	0.155536
Gga.8667.1.S1_at	Finished cDNA, clone ChEST902g10	CD731982		1.48	8.339	0.003209	0.92	3.024	0.032321	-0.56	-2.032	0.119528
Gga.8673.1.S1_at	Transcribed locus	CD732864		1.01	7.211	0.010258	0.3	0.88	0.441702	-0.71	-1.975	0.121923
Gga.8699.1.S1_at	TFCP2: Transcription factor CP2	NM_204384.1	378900	1.04	3.728	0.048736	0.15	0.279	0.792283	-0.89	-1.821	0.160842
Gga.871.1.S1_at	CEF-GT3: glucose transporter type 3	NM_205511.1	396517	-0.25	-1.416	0.27659	1.19	10.144	0.000503	1.43	7.187	0.003069
Gga.873.2.S1_a_at	LOC396522: calponin alpha	M63560.1	396522	-0.74	-6.297	0.018588	-1.19	-11.204	0.000822	-0.44	-2.882	0.03873
Gga.8747.1.S1_at	Gga.8747.1	BX540647		-0.38	-1.083	0.390813	-1.69	-3.63	0.035534	-1.31	-2.262	0.073581
Gga.8769.1.S1_at	Transcribed locus	BX540913		0.21	1.697	0.214937	-0.96	-4.752	0.01558	-1.18	-5.031	0.004801
Gga.8774.1.S1_s_at	TNFSF10: tumor necrosis factor (ligand) superfamily, member 10	NM_204379.1	378894	1.23	4.802	0.010833	0.84	3.188	0.02506	-0.39	-1.317	0.246585
Gga.8774.1.S2_s_at	TNFSF10: Tumor necrosis factor (ligand) superfamily, member 10	BU117226	378894	1.76	3.686	0.024732	0.94	2.271	0.073173	-0.82	-1.674	0.166574
Gga.8778.1.S1_at	Transcribed locus, moderately similar to NP_037349.1  [Rattus norvegicus]	BU265711		-1.2	-5.565	0.01039	-0.94	-4.47	0.020348	0.25	1.783	0.139426
Gga.8786.1.S1_at	LOC428605: similar to Leucine-rich repeat-containing G protein-coupled receptor 4 precursor	BU226024	428605	-0.27	-2.249	0.089872	-1.29	-3.783	0.027186	-1.02	-2.962	0.05
Gga.8789.1.S1_at	PIK3CD: phosphoinositide-3-kinase, catalytic, delta polypeptide	BU285122	419444	0.72	2.556	0.095388	1.91	7.919	0.001105	1.19	3.504	0.021707
Gga.8797.1.S1_at	Finished cDNA, clone ChEST189k11	CD764248		-0.24	-1.524	0.205432	-1.37	-3.595	0.026852	-1.14	-3.03	0.047492
Gga.88.1.A1_at	LOC428490: cadherin	AF098470.1	428490	-1.07	-8.786	0.000926	-0.85	-5.324	0.003595	0.22	1.386	0.227018
Gga.8801.1.S1_at	Transcribed locus	BU308948		-1.01	-9.179	0.009035	-1.26	-16.273	0.000202	-0.25	-1.939	0.128412
Gga.8802.2.A1_at	Finished cDNA, clone ChEST973h16	CR385692.1		1.1	3.477	0.049524	-0.03	-0.039	0.970636	-1.13	-1.655	0.191359
Gga.8807.1.S1_at	Transcribed locus	CD728783		1.21	4.405	0.014013	1.03	3.901	0.021066	-0.18	-0.828	0.449321
Gga.8810.1.S1_at	Gga.8810.1	CR352379.1		0.76	2.479	0.068274	-0.24	-0.692	0.519626	-1	-2.858	0.035615
Gga.8829.1.S1_s_at	Finished cDNA, clone ChEST848h18	BU411526		0.32	2.902	0.046292	1.13	7.287	0.001392	0.81	4.943	0.005023
Gga.8839.1.S1_at	TUBD1: Tubulin, delta 1	BU395984	417636	0.1	0.25	0.816394	1.02	2.958	0.031662	0.92	2.163	0.093856
Gga.884.1.S1_at	ATP4B: ATPase, H+/K+ exchanging, beta polypeptide	NM_204418.1	386581	1.26	6.256	0.00334	0.7	1.617	0.186686	-0.56	-1.292	0.271793
Gga.8843.1.S1_at	Transcribed locus	BU383342		-0.87	-16.272	0.000337	-1.04	-22.967	0.000003	-0.17	-2.974	0.038467
Gga.8869.1.S1_at	Transcribed locus	CD738686		-0.1	-0.531	0.633871	-1.22	-8.58	0.000424	-1.12	-5.508	0.005757
Gga.8878.1.S1_at	Finished cDNA, clone ChEST688d10	AW328760		-1.25	-11.58	0.000849	-1.08	-9.374	0.000671	0.17	1.875	0.119602
Gga.8900.1.S1_a_at	Finished cDNA, clone ChEST984i16	BU475536		-1.05	-10.464	0.007544	-1.24	-10.391	0.001623	-0.19	-1.231	0.273181
Gga.892.1.S1_at	ID1: inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	NM_204590.1	395282	-2.36	-3.462	0.074267	-1.66	-3.388	0.042839	0.7	0.833	0.452607
Gga.8926.3.S1_at	AZIN1: antizyme inhibitor 1	BU206726	420254	-0.89	-7.017	0.006447	-1.09	-5.574	0.007364	-0.21	-0.936	0.395422
Gga.8948.1.S1_s_at	LOC426312: Similar to N-acetylglucosamine-6-sulfatase	AY313954.1	426312	-0.33	-1.371	0.259514	-2.14	-7.583	0.001398	-1.81	-5.469	0.002784
Gga.8972.2.S1_a_at	LOC416154: similar to intestinal 15 kda protein; I-15P	BU336217	416154	-1.41	-63.464	0.000001	-1.52	-17.489	0.000255	-0.11	-1.277	0.287295
Gga.8975.1.S1_s_at	LOC420381 /// LOC420382: similar to GTPase, IMAP family member 7 /// hypothetical LOC420382	BU468058	420381 /// 420382	-1.59	-9.382	0.001616	-1.68	-10.549	0.000156	-0.09	-0.461	0.665803
Gga.9004.1.S1_at	Finished cDNA, clone ChEST230g14	CR390227.1		0.31	2.041	0.137955	-0.81	-6.568	0.00155	-1.12	-6.518	0.002557
Gga.9025.1.S1_at	LOC418295: hypothetical LOC418295	CD729503	418295	1.4	2.112	0.163772	2.83	14.288	0.000063	1.43	2.106	0.153986
Gga.9050.1.S1_s_at	LOC427395: similar to Methylcrotonoyl-Coenzyme A carboxylase 2 (beta)	BU443574	427395	-1.75	-12.395	0.003734	-2	-26.462	0.000004	-0.26	-1.694	0.19065
Gga.9052.1.S1_at	Gga.9052.1	BU457184		-0.15	-0.548	0.636996	-1.82	-11.545	0.000793	-1.66	-5.211	0.011887
Gga.9062.1.S1_at	Gga.9062.1	BU397990		-0.06	-0.393	0.730706	0.98	8.28	0.002999	1.03	5.623	0.003979
Gga.9075.1.S1_at	LOC429737: similar to LOC496768 protein	CD732059	429737	-0.35	-3.064	0.061251	0.86	9.294	0.000381	1.21	9.181	0.000712
Gga.9080.1.S1_at	Transcribed locus, weakly similar to XP_213560.3  similar to plakophilin 2 [Rattus norvegicus]	BU309585		-2.08	-4.974	0.033367	-2.95	-14.657	0.000147	-0.86	-1.91	0.157841
Gga.9098.1.S1_at	Transcribed locus	CF249976		-1.06	-13.857	0.004016	-1.37	-11.207	0.001362	-0.31	-2.176	0.084907
Gga.9109.1.S1_at	Transcribed locus	BU299882		2.66	5.262	0.025556	3.11	16.571	0.000019	0.45	0.89	0.456619
Gga.9134.1.S1_at	Finished cDNA, clone ChEST146m21	CF256615		0.4	1.9	0.197058	1.1	4.854	0.016498	0.7	2.248	0.075472
Gga.9147.1.S1_at	LOC424588: hypothetical LOC424588	BU297626	424588	0.78	2.494	0.126446	1.78	12.69	0.000506	1.01	2.991	0.064077
Gga.915.1.S1_at	SOCS3: suppressor of cytokine signaling 3	NM_204600.1	395299	1.62	5.992	0.024991	1.12	6.098	0.007394	-0.51	-1.568	0.197652
Gga.9159.1.S1_at	Finished cDNA, clone ChEST768j8	CK608275		0.47	3.687	0.021082	1.22	9.136	0.000281	0.75	5.576	0.002677
Gga.9160.1.S1_at	DNAJB6: DnaJ (Hsp40) homolog, subfamily B, member 6	CD727603	420448	-0.46	-1.854	0.194718	-1.56	-7.039	0.004202	-1.1	-3.399	0.022446
Gga.9160.2.S1_a_at	DNAJB6: DnaJ (Hsp40) homolog, subfamily B, member 6	BU132518	420448	-0.9	-2.102	0.147216	-1.23	-7.263	0.001842	-0.32	-0.767	0.515682
Gga.9165.2.S1_at	LOC421826: hypothetical LOC421826	CN228909	421826	-1.2	-10.063	0.004916	-1.17	-3.744	0.021542	0.03	0.097	0.928466
Gga.9171.2.S1_a_at	LOC428693: hypothetical LOC428693	BX932457.1	428693	0.13	1.025	0.392864	1.06	5.302	0.010201	0.93	4.075	0.011026
Gga.9177.1.S1_at	Finished cDNA, clone ChEST937a10	BU328214		-0.61	-4.157	0.02129	-2.01	-5.577	0.005984	-1.4	-4.046	0.022733
Gga.918.1.S1_at	KCNMB1: potassium large conductance calcium-activated channel, subfamily M, beta member 1	AF077369.1	395301	-0.71	-6.328	0.003312	-3.48	-18.255	0.000035	-2.77	-14.812	0.000115
Gga.9185.1.S1_at	LOC427196: Similar to MGC83563 protein	CF253212	427196	-0.53	-2.425	0.074865	-1.05	-3.928	0.012726	-0.52	-1.832	0.126978
Gga.9185.2.S1_at	LOC427196: Similar to MGC83563 protein	BU113717	427196	-0.12	-0.533	0.632808	-1.14	-3.134	0.027136	-1.03	-3.222	0.038216
Gga.919.1.S1_at	DLX5: distal-less homeo box 5	NM_204159.1	373969	-0.7	-1.664	0.222443	-3.07	-14.563	0.000047	-2.36	-5.289	0.015869
Gga.9195.1.S1_at	Transcribed locus	CK608363		-0.06	-0.517	0.641542	-1.02	-3.47	0.027499	-0.96	-3.435	0.037268
Gga.9211.3.S1_at	Transcribed locus, weakly similar to XP_341884.2  similar to mKIAA0824 protein [Rattus norvegicus]	CF255555		1.21	6.249	0.015831	1.16	3.746	0.013524	-0.05	-0.21	0.846158
Gga.9228.1.S1_at	Finished cDNA, clone ChEST610c6	CK608702		-0.36	-1.833	0.208215	-1.05	-6.245	0.008272	-0.68	-2.64	0.05231
Gga.9233.1.S1_at	GHR: Growth hormone receptor	BU231940	408184	0.01	0.079	0.940792	-2.7	-6.801	0.004264	-2.71	-6.881	0.004512
Gga.9243.1.S1_at	Transcribed locus, strongly similar to NP_071520.1  serine protein kinase [Rattus norvegicus]	CF620187		1.36	3.811	0.02337	0.54	1.143	0.314157	-0.82	-1.587	0.174976
Gga.925.1.A1_at	SSTR2: somatostatin receptor 2	AY029228.1	395305	-1.71	-17.065	0.003339	-1.91	-18.94	0.000311	-0.2	-1.427	0.214955
Gga.9261.1.S1_a_at	SOSTDC1: sclerostin domain containing 1	NM_204373.1	378800	1.23	3.711	0.020649	0.23	0.395	0.71256	-1	-1.729	0.157575
Gga.9262.1.S1_at	HMGA1: high mobility group AT-hook 1	NM_204369.1	378795	-0.61	-1.951	0.126625	0.61	1.964	0.119906	1.22	4.522	0.007228
Gga.9271.1.S1_a_at	Finished cDNA, clone ChEST586b17	CR391213.1		0.33	2.108	0.145887	-1.22	-4.515	0.006918	-1.55	-6.714	0.005006
Gga.9273.1.S1_at	Transcribed locus, strongly similar to XP_427646.1  similar to STXBP5L protein, partial [Gallus gallus]	CF384711		1.06	6.785	0.01143	0.87	4.059	0.010274	-0.2	-1.216	0.296357
Gga.9281.2.S1_a_at	Finished cDNA, clone ChEST1007o21	CR390861.1		-0.09	-0.571	0.599134	-1.29	-3.357	0.033167	-1.2	-3.162	0.04168
Gga.9307.1.S1_at	LOC416438: similar to Neuronal pentraxin II precursor (NP-II) (NP2)	BU472016	416438	0.16	0.775	0.515115	1.77	12.418	0.000615	1.61	6.654	0.003173
Gga.9314.1.S1_at	SOX4: SRY (sex determining region Y)-box 4	NM_204484.1	395143	-0.19	-0.834	0.475356	-1.28	-4.317	0.017277	-1.09	-3.067	0.028207
Gga.9316.1.S1_at	HS6ST1: heparan sulfate 6-O-sulfotransferase 1	NM_204482.1	395141	-0.39	-2.572	0.113915	-1.05	-7.074	0.004338	-0.65	-3.154	0.027183
Gga.932.1.S1_at	IRX4: iroquois homeobox protein 4	AF319965.1	373974	-1.12	-20.394	0.000631	-0.9	-7.105	0.004878	0.22	1.624	0.181144
Gga.9326.1.S1_a_at	LOC420305: hypothetical gene supported by CR354113; CR389233	CR354113.1	420305	-0.6	-10.044	0.000781	-1.36	-6.516	0.006113	-0.76	-3.609	0.030997
Gga.9326.2.S1_at	LOC768943: Similar to Pro-Pol-dUTPase polyprotein; RNaseH; dUTPase; integrase; protease; reverse transcriptase	BU264864	768943	-0.64	-1.838	0.147326	-2.12	-4.404	0.0072	-1.48	-3.373	0.024473
Gga.9340.1.S1_at	RCJMB04_2f9: Selenoprotein P, plasma, 1	BU250153	431587	-0.6	-2.954	0.06069	-1.1	-3.063	0.031228	-0.5	-1.541	0.207841
Gga.9341.3.S1_at	USP7: ubiquitin specific peptidase 7	AY376870.1	395126	-2.49	-4.183	0.020046	-0.53	-0.992	0.366988	1.97	2.97	0.03672
Gga.9341.4.S1_a_at	USP7: ubiquitin specific peptidase 7	BU280290	395126	-1.03	-4.427	0.034257	-0.45	-1.616	0.194244	0.58	1.676	0.154562
Gga.9347.2.S1_s_at	NFRKB: nuclear factor related to kappa B binding protein	BU137539	419727	0.35	2.753	0.07879	1.4	10.104	0.000661	1.05	6.05	0.001838
Gga.9347.3.S1_a_at	NFRKB: Nuclear factor related to kappa B binding protein	BE139937	419727	0.04	0.409	0.703962	1.53	7.523	0.002667	1.49	7.211	0.002501
Gga.9351.1.S1_s_at	CBFB: core-binding factor, beta subunit	NM_204570.1	395257	0.3	1.033	0.403478	1.36	6.366	0.005113	1.06	3.008	0.040725
Gga.9362.1.S1_at	LOC423783: hypothetical LOC423783	BU452217	423783	1.09	6.957	0.011914	0.3	0.777	0.480976	-0.8	-2.225	0.109283
Gga.9368.1.S1_at	Transcribed locus, strongly similar to NP_476559.1  factor 9 [Rattus norvegicus]	BU281873		0.53	4.367	0.037733	1.24	5.225	0.012456	0.71	2.7	0.050352
Gga.9394.1.S1_at	ENS-3: Pol-like protein ENS-3	BX261188	395341	-1.89	-12.46	0.000527	-1.34	-3.046	0.045085	0.55	1.283	0.283709
Gga.9414.1.S1_at	Gga.9414.1	CD736436		0.06	0.267	0.810685	-3.23	-15.29	0.000175	-3.29	-11.381	0.000135
Gga.9434.1.S1_at	Transcribed locus	CF620105		-1.57	-3.65	0.045615	-1.04	-4.071	0.009743	0.53	1.181	0.322097
Gga.9443.1.A1_at	Clone cDNA31 forward sequence, reverse contains microsatellite MCW107	L48922.1		-0.53	-7.715	0.00202	-1.08	-4.683	0.014384	-0.56	-2.435	0.087592
Gga.9449.1.S1_at	SRC: v-src sarcoma viral oncogene	S43604.1	396442	1.06	4.892	0.00904	0.09	0.174	0.870953	-0.97	-1.923	0.138006
Gga.9469.1.S1_at	Finished cDNA, clone ChEST234e18	CR386937.1		-0.44	-3.373	0.043299	-1.05	-3.916	0.01558	-0.61	-2.435	0.083549
Gga.9476.1.S1_at	ROR1: receptor tyrosine kinase-like orphan receptor 1	NM_204509.1	395179	-0.9	-3.662	0.058387	-1.22	-6.972	0.003321	-0.31	-1.065	0.350167
Gga.9481.1.S1_s_at	LOC395772: otokeratin	NM_204932.1	395772	-1.82	-4.946	0.007992	-2.05	-4.95	0.00434	-0.23	-0.585	0.583873
Gga.9491.1.S1_at	LOC417217: similar to dynamin 1	BU228626	417217	-0.92	-3.246	0.075807	-1.33	-6.16	0.00605	-0.41	-1.187	0.30023
Gga.9512.1.S1_s_at	RCJMB04_20j11: 3-hydroxyisobutyryl-Coenzyme A hydrolase	BU125097	423979	1.18	3.973	0.019473	0.47	1.097	0.324553	-0.7	-1.758	0.14953
Gga.9513.1.S1_a_at	CXCL12: chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	NM_204510.1	395180	-0.82	-5.266	0.007684	0.47	1.313	0.263401	1.29	3.695	0.027112
Gga.9513.1.S2_at	CXCL12: Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	BX260468	395180	-1.6	-5.519	0.016117	0.52	1.633	0.182078	2.12	5.291	0.003316
Gga.9525.1.S1_s_at	LOC423991: similar to KIAA1946	CN235262	423991	0.2	0.76	0.499133	-1.19	-2.536	0.057597	-1.39	-3.224	0.037442
Gga.9527.1.A1_at	Finished cDNA, clone ChEST486f24	BU274661		-0.89	-13.408	0.001449	-1.04	-14.686	0.000149	-0.15	-1.671	0.156541
Gga.9541.1.S1_at	Finished cDNA, clone ChEST431o2	BX935985.2		0.52	2.287	0.092394	1.41	6.605	0.001219	0.89	3.526	0.019385
Gga.9564.1.S1_at	Finished cDNA, clone ChEST306m16	BX932641.1		-1.54	-18.963	0.000408	-1.33	-11.128	0.000686	0.22	1.598	0.173726
Gga.9566.2.S1_s_at	SLC25A37: solute carrier family 25, member 37	BU203055	419530	1.01	7.828	0.00242	1.35	5.278	0.005684	0.34	1.407	0.240526
Gga.9595.1.S1_at	Finished cDNA, clone ChEST662i7	BX933593.2		-1.09	-10.318	0.004044	-1.43	-18.993	0.000021	-0.35	-2.894	0.048708
Gga.9611.1.S1_at	PHF6: PHD finger protein 6	BU455982	422235	1.05	7.392	0.006916	0.53	1.911	0.121933	-0.52	-2.074	0.120946
Gga.9626.3.S1_s_at	RCJMB04_8d19: chimerin (chimaerin) 1	BU247161	429021	-0.73	-3.888	0.053975	-1.07	-8.042	0.002437	-0.34	-1.494	0.213032
Gga.9637.2.S1_a_at	SAT1: Spermidine/spermine N1-acetyltransferase 1	BX929865.1	374006	1.07	8.294	0.001346	2.35	5.985	0.006474	1.28	3.3	0.04024
Gga.9656.1.S1_at	Finished cDNA, clone ChEST964k3	BU400013		-1.07	-4.706	0.009313	-0.79	-4.211	0.022342	0.28	1.581	0.205374
Gga.9667.1.S1_a_at	CHODL: chondrolectin	BX934063.2	418474	-2.23	-17.525	0.001983	-2.27	-31.885	0.000005	-0.04	-0.312	0.774896
Gga.9671.1.S1_at	Finished cDNA, clone ChEST57d14	BU447234		0.26	2.439	0.097373	-1.21	-3.829	0.022477	-1.47	-4.852	0.015027
Gga.9675.1.S1_at	PDGFD: platelet derived growth factor D	BX935095.1	418978	-0.29	-1.024	0.413312	-1.18	-4.389	0.021862	-0.88	-2.244	0.078851
Gga.9684.1.S1_at	C1QTNF3: C1q and tumor necrosis factor related protein 3	CR389929.1	427430	0.98	2.465	0.130718	-1.52	-2.661	0.075672	-2.51	-3.601	0.016137
Gga.9699.1.S1_a_at	LOC423221: similar to PLA2G4B protein	BU243262	423221	-1.11	-9.044	0.003153	-1.1	-6.625	0.003567	0.01	0.06	0.954504
Gga.9703.1.S1_at	Finished cDNA, clone ChEST326b18	BX935677.1		0.86	6.386	0.003297	1.02	8.707	0.000602	0.15	1.201	0.29588
Gga.9721.1.S1_a_at	Finished cDNA, clone ChEST917o6	BX935606.2		-1.47	-9.268	0.000754	-1.47	-6.99	0.001133	0	-0.007	0.994555
Gga.9730.1.S1_at	Finished cDNA, clone ChEST725o2	BX934731.1		-1.37	-13.414	0.004286	-1.19	-21.625	0.000051	0.18	1.562	0.214093
Gga.9731.2.S1_a_at	SPON2: spondin 2, extracellular matrix protein	BX934042.1	422905	1.99	3.211	0.03469	0.72	1.499	0.209395	-1.27	-2.272	0.098746
Gga.974.1.S1_at	MAFA: v-maf musculoaponeurotic fibrosarcoma oncogene homolog A	NM_205025.1	395881	-0.81	-8.938	0.006632	-1.35	-11.563	0.000806	-0.54	-3.762	0.013233
Gga.9773.1.S1_s_at	RCJMB04_2l21: RNA binding motif protein 24	BU357779	420846	1.18	4.301	0.029819	0.75	1.171	0.322134	-0.43	-0.632	0.562446
Gga.9783.1.S1_s_at	Finished cDNA, clone ChEST992f14	BX933023.1		0.61	3.68	0.061259	-0.86	-3.715	0.032373	-1.47	-5.21	0.00362
Gga.9802.1.S1_at	CCNH: cyclin H	BU277968	427328	1.02	3.485	0.042449	0.39	1.304	0.25915	-0.64	-1.698	0.152549
Gga.9811.1.S1_at	ZCCHC10: zinc finger, CCHC domain containing 10	BU204661	416338	1.32	3.813	0.019306	0.38	0.668	0.540161	-0.94	-1.627	0.174345
Gga.9813.1.S1_at	Transcribed locus, weakly similar to NP_446334.1  matrix protein 1 [Rattus norvegicus]	BU104290		1.38	5.812	0.007075	1.71	5.933	0.003269	0.33	1.003	0.362025
Gga.9816.1.S1_s_at	RCJMB04_10k5: chloride intracellular channel 2	CK611115	422178	0.43	2.97	0.078294	2.04	14.736	0.000224	1.61	8.375	0.000552
Gga.9831.1.S1_at	Finished cDNA, clone ChEST394m8	BU268140		-1.56	-11.14	0.005427	-1.89	-17.045	0.000162	-0.33	-1.883	0.130419
Gga.9836.1.S1_at	Finished cDNA, clone ChEST460j7	CN221897		-1.31	-25.529	0.000096	-1.36	-21.361	0.000006	-0.05	-0.938	0.395743
Gga.984.1.S1_at	Gga.984.1	AI979887		-1.51	-17.873	0.000132	-1.53	-12.3	0.000268	-0.02	-0.166	0.875093
Gga.9850.1.S1_at	ARL4A: ADP-ribosylation factor-like 4A	BU321786	420589	-1.2	-4.549	0.012802	-1.38	-5.329	0.006859	-0.18	-0.851	0.435801
Gga.9878.1.S1_at	Gga.9878.1	CK609848		-1.12	-7.313	0.003939	-1.1	-4.904	0.009239	0.02	0.071	0.946328
Gga.9879.1.S1_at	RCJMB04_5e3: lipase A, lysosomal acid, cholesterol esterase	BQ484192	423789	-0.71	-2.215	0.105603	0.65	1.941	0.125564	1.36	5.286	0.003234
Gga.9888.2.S1_a_at	LOC420475: similar to supervillin (archvillin) (SVIL)	BU249096	420475	0.37	1.365	0.301247	1.16	15.58	0.000039	0.79	2.876	0.090306
Gga.9902.1.S1_at	LOC418732: similar to Septin 10	BU132400	418732	1.31	5	0.007495	0.6	1.385	0.235225	-0.72	-1.664	0.167841
Gga.9903.1.S1_at	Transcribed locus	BU207407		0.25	2.666	0.085681	-0.76	-5.632	0.00245	-1.01	-9.216	0.001109
Gga.9905.1.S1_at	Finished cDNA, clone ChEST250m1	BU119942		0.15	1.311	0.295524	1.69	30.943	0.000001	1.54	13.656	0.002071
Gga.9927.1.S1_at	Finished cDNA, clone ChEST474o21	BU425973		-0.59	-5.074	0.026525	-1.05	-6.02	0.007531	-0.46	-2.223	0.079011
Gga.9930.1.S1_at	Finished cDNA, clone ChEST927g24	CK610332		-1.52	-8.77	0.012172	-1.52	-12.376	0.000982	-0.01	-0.028	0.978825
Gga.9942.1.S1_s_at	RCJMB04_33d7: phosphonoformate immuno-associated protein 5	BU205048	418912	0.95	3.692	0.034781	1.14	4.763	0.028876	0.19	1.397	0.245977
Gga.9971.1.S1_at	ANXA10: annexin A10	BU289955	422426	-1.52	-13.349	0.004962	-1.51	-9.236	0.002536	0.01	0.072	0.945117
Gga.9976.1.S1_at	Finished cDNA, clone ChEST725k19	BX934797.2		-2.1	-7.283	0.004135	-1.78	-4.254	0.014822	0.31	0.677	0.529804
Gga.9978.1.S1_at	Finished cDNA, clone ChEST748c5	BU372200		-0.22	-2.085	0.139523	-1.09	-5.815	0.007779	-0.87	-4.181	0.011226
Gga.9980.2.S1_a_at	Gga.9980.2	BU368795		-0.63	-5.086	0.009088	-1.1	-3.197	0.043818	-0.47	-1.347	0.258277
Gga.9997.1.S1_at	LOC422566: Transcribed locus /// Similar to KIAA1712; HBV PreS1-transactivated protein 3	BU282246	422566	-1.11	-20.083	0.000075	-0.94	-10.954	0.00045	0.17	1.813	0.135845
GgaAffx.1.1.S1_s_at	NFKBIA: nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NM_001001472.1	396093	0.28	0.889	0.466579	1.48	3.965	0.028072	1.19	2.44	0.058746
GgaAffx.10007.1.S1_at	LOC422892: similar to DNA polymerase N	ENSGALT00000025313.1	422892	1.02	4.973	0.015365	0.29	0.741	0.507156	-0.73	-1.748	0.151771
GgaAffx.10059.1.S1_at	LOC427971: similar to aggrecanase-2	ENSGALT00000025470.1	427971	-1.28	-4.819	0.029496	-3.07	-12.918	0.000369	-1.79	-5.253	0.004469
GgaAffx.10076.1.S1_at	LOC421833: similar to 5 nucleotidase, ecto	ENSGALT00000025528.1	421833	1.02	2.404	0.076624	1.83	4.312	0.010635	0.81	2.14	0.087417
GgaAffx.10076.2.S1_s_at	GgaAffx.10076.2	ENSGALT00000025527.1		0.52	3.019	0.092402	2.02	5.11	0.01438	1.5	3.494	0.024901
GgaAffx.10082.6.S1_s_at	LOC418489: similar to glutamate receptor	ENSGALT00000025535.1	418489	1.14	4.706	0.012041	0.5	1.233	0.289072	-0.64	-1.483	0.20641
GgaAffx.10125.1.S1_at	GgaAffx.10125.1	ENSGALT00000025579.1		1.27	3.539	0.031551	0.37	0.761	0.488895	-0.9	-1.674	0.156714
GgaAffx.10125.2.S1_at	LOC422922: similar to CD8 alpha chain	ENSGALT00000025502.1	422922	-0.89	-8.406	0.001191	-1.66	-4.561	0.016021	-0.77	-2.121	0.117629
GgaAffx.10125.3.S1_at	LOC422923: similar to RHACD8-4L	ENSGALT00000025557.1	422923	1.22	4.033	0.027981	0.41	0.641	0.563658	-0.8	-1.168	0.307732
GgaAffx.10125.4.S1_at	LOC422922 /// LOC422923: similar to CD8 alpha chain /// similar to RHACD8-4L	ENSGALT00000025526.1	422922 /// 422923	-1.49	-12.43	0.001712	-1.4	-19.445	0.000007	0.09	0.748	0.509712
GgaAffx.10125.4.S1_x_at	LOC422922 /// LOC422923: similar to CD8 alpha chain /// similar to RHACD8-4L	ENSGALT00000025526.1	422922 /// 422923	-1.3	-12.557	0.002914	-1.35	-20.207	0.000014	-0.05	-0.405	0.709676
