Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	DNA-binding	Interpro Domaon	69 Zinc Finger	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_32_P155030	chr1:61926891-61926950	NFIA	NM_005595	Nuclear factor I/A	molecular function|transcription factor activity|NAS|GO:0003700|GOA|7590749//molecular function|transcription factor binding|IPI|GO:0008134|GOA|15684392//biological process|DNA replication|IEA|GO:0006260|GOA|na//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|7590749//biological process|viral genome replication|NAS|GO:0019079|GOA|7590749//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0x2b8834c)//cellular component|nucleus|NAS|GO:0005634|GOA|7590749//cellular component|plasma membrane|IDA|GO:0005886|GOA|18029348	No	IPR000647:CTF transcription factor/nuclear factor 1,IPR003619:MAD homology 1, Dwarfin-type,IPR019548:CTF transcription factor/nuclear factor 1, N-terminal,IPR019739:CTF transcription factor/nuclear factor 1, conserved site,	0	F	14	0.7675	-1.303	4.4901E-14	650.685	497.0844
A_23_P165295	chr19:13136196-13136255	NFIX	NM_002501	Nuclear factor I/X (CCAAT-binding transcription factor)	molecular function|RNA polymerase II transcription factor activity, enhancer binding|TAS|GO:0003705|GOA|7937100//molecular function|transcription factor activity|TAS|GO:0003700|GOA|ARRAY(0x2f2c6f0)//biological process|DNA replication|IEA|GO:0006260|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|7937100//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	IPR000647:CTF transcription factor/nuclear factor 1,IPR003619:MAD homology 1, Dwarfin-type,IPR019548:CTF transcription factor/nuclear factor 1, N-terminal,IPR019739:CTF transcription factor/nuclear factor 1, conserved site,	0	F	14	0.8401	-1.1903	1.1585E-08	33.3753	28.0238
A_24_P273823	chr11:108032355-108032414	NPAT	NM_002519	Nuclear protein, ataxia-telangiectasia locus	molecular function|protein C-terminus binding|IPI|GO:0008022|GOA|15988025//molecular function|protein N-terminus binding|IPI|GO:0047485|GOA|19170105//molecular function|protein binding|IPI|GO:0005515|GOA|18850719//molecular function|transcription activator activity|IDA|GO:0016563|GOA|18850719//molecular function|transcription coactivator activity|IDA|GO:0003713|GOA|ARRAY(0x17f7e6c)//molecular function|transcription coactivator activity|IMP|GO:0003713|GOA|ARRAY(0x2efe63c)//molecular function|transcription corepressor activity|IMP|GO:0003714|GOA|17163457//molecular function|transcription factor activity|IDA|GO:0003700|GOA|18850719//biological process|cell cycle|IEP|GO:0007049|GOA|15988025//biological process|regulation of gene expression|IMP|GO:0010468|GOA|15988025//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|regulation of transcription involved in G1/S-phase of mitotic cell cycle|IMP|GO:0000083|GOA|15988025//cellular component|Cajal body|IDA|GO:0015030|GOA|ARRAY(0x2df0a2c)//cellular component|nuclear part|IDA|GO:0044428|GOA|19170105//cellular component|nucleus|IDA|GO:0005634|GOA|15988025	No	IPR006594:LisH dimerisation motif,	0	F	16	0.8379	-1.1935	4.2666E-09	303.7255	254.5421
A_23_P40936	chr3:15084530-15084589	NR2C2	NM_003298	Nuclear receptor subfamily 2, group C, member 2	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|receptor activity|TAS|GO:0004872|GOA|9006963//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|steroid hormone receptor activity|IEA|GO:0003707|GOA|na//molecular function|transcription coactivator activity|TAS|GO:0003713|GOA|9006963//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|nervous system development|TAS|GO:0007399|GOA|9006963//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	Yes	IPR000324:Vitamin D receptor,IPR000536:Nuclear hormone receptor, ligand-binding, core,IPR001628:Zinc finger, nuclear hormone receptor-type,IPR001723:Steroid hormone receptor,IPR008946:Nuclear hormone receptor, ligand-binding,IPR013088:Zinc finger, NHR/GATA-type,	1	F	14	0.8662	-1.1544	2.6813E-06	132.4461	114.7455
A_24_P313354	chr15:96877802-96880605	NR2F2	NM_021005	Nuclear receptor subfamily 2, group F, member 2	molecular function|ligand-dependent nuclear receptor activity|TAS|GO:0004879|GOA|1899293//molecular function|ligand-regulated transcription factor activity|TAS|GO:0003706|GOA|8530078//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|promoter binding|IDA|GO:0010843|GOA|19210544//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xf9fc44)//molecular function|steroid hormone receptor activity|IEA|GO:0003707|GOA|na//molecular function|transcription corepressor activity|TAS|GO:0003714|GOA|1899293//molecular function|transcription factor activity|IC|GO:0003700|GOA|19210544//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|anterior/posterior pattern formation|IEA|GO:0009952|GOA|na//biological process|blood vessel morphogenesis|IEA|GO:0048514|GOA|na//biological process|forebrain development|IEA|GO:0030900|GOA|na//biological process|limb development|IEA|GO:0060173|GOA|na//biological process|lipid metabolic process|TAS|GO:0006629|GOA|1899293//biological process|negative regulation of cyclin-dependent protein kinase activity|IDA|GO:0045736|GOA|19210544//biological process|negative regulation of endothelial cell migration|IMP|GO:0010596|GOA|19210544//biological process|negative regulation of endothelial cell proliferation|IMP|GO:0001937|GOA|19210544//biological process|negative regulation of gene-specific transcription|IDA|GO:0032582|GOA|19210544//biological process|negative regulation of transcription from RNA polymerase II promoter|IEA|GO:0000122|GOA|na//biological process|neuron migration|IEA|GO:0001764|GOA|na//biological process|positive regulation of gene-specific transcription|IMP|GO:0043193|GOA|18815287//biological process|radial pattern formation|IEA|GO:0009956|GOA|na//biological process|regulation of transcription from RNA polymerase II promoter|TAS|GO:0006357|GOA|1899293//biological process|regulation of transcription involved in lymphatic endothelial cell fate commitment|IMP|GO:0060849|GOA|18815287//biological process|signal transduction|TAS|GO:0007165|GOA|1899293//biological process|skeletal muscle tissue development|IEA|GO:0007519|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|19210544	No	IPR000536:Nuclear hormone receptor, ligand-binding, core,IPR001628:Zinc finger, nuclear hormone receptor-type,IPR001723:Steroid hormone receptor,IPR003068:Transcription factor COUP,IPR008946:Nuclear hormone receptor, ligand-binding,IPR013088:Zinc finger, NHR/GATA-type,IPR013629:Zinc finger-associated region,	1	F	14	0.7793	-1.2831	8.6053E-20	1264.5332	985.8312
A_23_P340717	chr15:53049751-53049810	ONECUT1	NM_004498	One cut homeobox 1	molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription activator activity|NAS|GO:0016563|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|B cell differentiation|IEA|GO:0030183|GOA|na//biological process|anatomical structure morphogenesis|IEA|GO:0009653|GOA|na//biological process|cell fate commitment|IEA|GO:0045165|GOA|na//biological process|cilium assembly|IEA|GO:0042384|GOA|na//biological process|endocrine pancreas development|IEA|GO:0031018|GOA|na//biological process|endoderm development|IEA|GO:0007492|GOA|na//biological process|epithelial cell development|IEA|GO:0002064|GOA|na//biological process|glucose metabolic process|IEA|GO:0006006|GOA|na//biological process|liver development|IEA|GO:0001889|GOA|na//biological process|negative regulation of transforming growth factor beta receptor signaling pathway|IEA|GO:0030512|GOA|na//biological process|positive regulation of cell migration|IEA|GO:0030335|GOA|na//biological process|regulation of cell-matrix adhesion|IEA|GO:0001952|GOA|na//biological process|regulation of transcription from RNA polymerase II promoter|IEA|GO:0006357|GOA|na//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|10491763//biological process|spleen development|IEA|GO:0048536|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|na	Yes	IPR001356:Homeobox,IPR003350:Homeodomain protein CUT,IPR012287:Homeodomain-related,IPR017970:Homeobox, conserved site,	0	F	14	0.7631	-1.3104	0.0001	736.8338	545.3745
A_23_P66988	chr18:55143958-55144017	ONECUT2	NM_004852	One cut homeobox 2	molecular function|RNA polymerase II transcription factor activity|TAS|GO:0003702|GOA|9915796//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|cell fate commitment|IEA|GO:0045165|GOA|na//biological process|cilium assembly|IEA|GO:0042384|GOA|na//biological process|endocrine pancreas development|IEA|GO:0031018|GOA|na//biological process|epithelial cell development|IEA|GO:0002064|GOA|na//biological process|liver development|IEA|GO:0001889|GOA|na//biological process|negative regulation of transforming growth factor beta receptor signaling pathway|IEA|GO:0030512|GOA|na//biological process|organ morphogenesis|TAS|GO:0009887|GOA|9915796//biological process|peripheral nervous system neuron development|IEA|GO:0048935|GOA|na//biological process|positive regulation of cell migration|IEA|GO:0030335|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|regulation of cell-matrix adhesion|IEA|GO:0001952|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	IPR001356:Homeobox,IPR003350:Homeodomain protein CUT,IPR012287:Homeodomain-related,IPR017970:Homeobox, conserved site,	0	F	15	0.7859	-1.2725	2.8987E-08	874.8646	683.3431
A_24_P827491	chr3:156527549-156527608	PA2G4	U87954	Proliferation-associated 2G4, 38kDa	molecular function|DNA binding|IDA|GO:0003677|GOA|15073182//molecular function|RNA binding|IEA|GO:0003723|GOA|na//molecular function|protein binding|IDA|GO:0005515|GOA|15073182//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2e865dc)//molecular function|transcription factor activity|IDA|GO:0003700|GOA|15073182//molecular function|ubiquitin protein ligase binding|IPI|GO:0031625|GOA|19037095//biological process|cell cycle arrest|TAS|GO:0007050|GOA|7556453//biological process|cell proliferation|TAS|GO:0008283|GOA|7556453//biological process|negative regulation of transcription, DNA-dependent|IDA|GO:0045892|GOA|15073182//biological process|rRNA processing|IEA|GO:0006364|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|regulation of translation|IEA|GO:0006417|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|19037095//cellular component|nucleolus|IDA|GO:0005730|GOA|19037095//cellular component|nucleus|IDA|GO:0005634|GOA|15073182//cellular component|ribonucleoprotein complex|IEA|GO:0030529|GOA|na	Yes	0	0	F	15	0.789	-1.2675	3.8792E-11	281.515	221.6694
A_24_P221123	chr3:156527937-156527996	PA2G4P4	NR_003284	0	0	No	0	0	F	15	0.789	-1.2675	2.732E-10	2398.0063	1888.4557
A_23_P62953	chr1:164781270-164781329	PBX1	NM_002585	Pre-B-cell leukemia homeobox 1	molecular function|DNA binding|IDA|GO:0003677|GOA|10052460//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x19ae984)//molecular function|protein heterodimerization activity|IEA|GO:0046982|GOA|na//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|adrenal gland development|IEA|GO:0030325|GOA|na//biological process|anterior/posterior pattern formation|IEA|GO:0009952|GOA|na//biological process|branching involved in ureteric bud morphogenesis|IEA|GO:0001658|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|embryonic hemopoiesis|IEA|GO:0035162|GOA|na//biological process|embryonic limb morphogenesis|IEA|GO:0030326|GOA|na//biological process|embryonic skeletal system development|IEA|GO:0048706|GOA|na//biological process|negative regulation of neuron differentiation|IEA|GO:0045665|GOA|na//biological process|organ morphogenesis|IEA|GO:0009887|GOA|na//biological process|positive regulation of cell proliferation|IEA|GO:0008284|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|proximal/distal pattern formation|IEA|GO:0009954|GOA|na//biological process|regulation of ossification|IEA|GO:0030278|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|sex differentiation|IEA|GO:0007548|GOA|na//biological process|spleen development|IEA|GO:0048536|GOA|na//biological process|steroid biosynthetic process|IEA|GO:0006694|GOA|na//biological process|thymus development|IEA|GO:0048538|GOA|na//biological process|urogenital system development|IEA|GO:0001655|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	Yes	IPR001356:Homeobox,IPR005542:PBX,IPR012287:Homeodomain-related,IPR017970:Homeobox, conserved site,	0	M	16	1.6939	1.6939	2.2758E-36	70.4346	119.1055
A_23_P407583	chr19:57324385-57324444	PEG3	NM_006210	Paternally expressed 3	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleic acid binding|IEA|GO:0003676|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|apoptosis|IEA|GO:0006915|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	IPR001909:Krueppel-associated  box,IPR003309:Transcriptional regulator SCAN,IPR007087:Zinc finger, C2H2-type,IPR013087:Zinc finger, C2H2-type/integrase, DNA-binding,IPR015880:Zinc finger, C2H2-like,	1	F	15	0.6677	-1.4976	1.0053E-12	184.5814	123.5568
A_32_P49199	chr11:100900858-100900917	PGR	NM_000926	Progesterone receptor	molecular function|DNA binding|TAS|GO:0003677|GOA|3551956//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2e71fa4)//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|steroid binding|IEA|GO:0005496|GOA|na//molecular function|steroid hormone receptor activity|IEA|GO:0003707|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|cell-cell signaling|TAS|GO:0007267|GOA|1557371//biological process|epithelial cell maturation|IEA|GO:0002070|GOA|na//biological process|mammary gland development|IEA|GO:0030879|GOA|na//biological process|ovulation from ovarian follicle|IEA|GO:0001542|GOA|na//biological process|progesterone receptor signaling pathway|IEA|GO:0050847|GOA|na//biological process|regulation of epithelial cell proliferation|IEA|GO:0050678|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|signal transduction|TAS|GO:0007165|GOA|1557371//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|intracellular membrane-bounded organelle|IDA|GO:0043231|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	Yes	IPR000128:Progesterone receptor, N-terminal,IPR000324:Vitamin D receptor,IPR000536:Nuclear hormone receptor, ligand-binding, core,IPR001628:Zinc finger, nuclear hormone receptor-type,IPR001723:Steroid hormone receptor,IPR008946:Nuclear hormone receptor, ligand-binding,IPR013088:Zinc finger, NHR/GATA-type,	1	F	14	0.8493	-1.1774	9.0808E-11	86.3098	73.2407
A_23_P171385	chrX:133527626-133527959	PHF6	NM_032458	PHD finger protein 6	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	No	IPR001965:Zinc finger, PHD-type,IPR019786:Zinc finger, PHD-type, conserved site,	1	F	14	0.7569	-1.3211	4.819E-13	66.048	49.7071
A_23_P201179	chr1:114240019-114240078	PHTF1	AJ011863	Putative homeodomain transcription factor 1	molecular function|transcription factor activity|TAS|GO:0003700|GOA|10729229//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cis-Golgi network|IEA|GO:0005801|GOA|na//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	0	0	M	15	1.2058	1.2058	1.9713E-09	102.4556	123.3709
A_23_P31563	chr7:77584254-77584313	PHTF2	NM_001127358	Putative homeodomain transcription factor 2	molecular function|DNA binding|IEA|GO:0003677|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|endoplasmic reticulum|IDA|GO:0005783|GOA|11256614//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	0	0	M	14	1.1592	1.1592	0.0002	23.9975	27.9155
A_24_P224116	chr12:120759953-120760012	PLA2G1B	NM_000928	Phospholipase A2, group IB (pancreas)	molecular function|bile acid binding|ISS|GO:0032052|GOA|7060561//molecular function|calcium ion binding|IDA|GO:0005509|GOA|7060561//molecular function|calcium-dependent phospholipase A2 activity|IDA|GO:0047498|GOA|7060561//molecular function|cell surface binding|IDA|GO:0043498|GOA|1918029//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|phospholipase A2 activity|IDA|GO:0004623|GOA|1918029//molecular function|receptor binding|IDA|GO:0005102|GOA|1918029//biological process|actin filament organization|TAS|GO:0007015|GOA|9886417//biological process|activation of MAPK activity|ISS|GO:0000187|GOA|ARRAY(0x2edeba0)//biological process|activation of phospholipase A2 activity|TAS|GO:0032431|GOA|17981679//biological process|arachidonic acid secretion|TAS|GO:0050482|GOA|12423354//biological process|cellular response to insulin stimulus|ISS|GO:0032869|GOA|1918029//biological process|fatty acid biosynthetic process|IDA|GO:0006633|GOA|1918029//biological process|glucose transport|ISS|GO:0015758|GOA|1918029//biological process|interleukin-8 production|ISS|GO:0032637|GOA|15528384//biological process|leukotriene biosynthetic process|ISS|GO:0019370|GOA|16005851//biological process|multicellular organismal lipid catabolic process|IDA|GO:0044240|GOA|7060561//biological process|neutrophil chemotaxis|ISS|GO:0030593|GOA|16005851//biological process|neutrophil mediated immunity|ISS|GO:0002446|GOA|16005851//biological process|phosphatidylcholine metabolic process|IDA|GO:0046470|GOA|7060561//biological process|phospholipid metabolic process|IEA|GO:0006644|GOA|na//biological process|positive regulation of DNA replication|IDA|GO:0045740|GOA|1918029//biological process|positive regulation of NF-kappaB transcription factor activity|ISS|GO:0051092|GOA|15528384//biological process|positive regulation of calcium ion transport into cytosol|ISS|GO:0010524|GOA|15528384//biological process|positive regulation of fibroblast proliferation|IC|GO:0048146|GOA|1918029//biological process|positive regulation of gene-specific transcription from RNA polymerase II promoter|ISS|GO:0010552|GOA|15528384//biological process|positive regulation of immune response|ISS|GO:0050778|GOA|16005851//biological process|positive regulation of protein secretion|TAS|GO:0050714|GOA|17981679//biological process|protein kinase cascade|ISS|GO:0007243|GOA|15528384//biological process|signal transduction|TAS|GO:0007165|GOA|9886417//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|extracellular space|IDA|GO:0005615|GOA|7060561//cellular component|secretory granule|IEA|GO:0030141|GOA|na	No	IPR001211:Phospholipase A2, eukaryotic,IPR013090:Phospholipase A2, active site,IPR016090:Phospholipase A2,	0	F	15	0.8272	-1.2089	8.951E-12	132.9177	110.4374
A_23_P211643	chr22:46615754-46615813	PPARA	NM_005036	Peroxisome proliferator-activated receptor alpha	molecular function|DNA binding|TAS|GO:0003677|GOA|10860941//molecular function|drug binding|IDA|GO:0008144|GOA|ARRAY(0xbd03c4)//molecular function|ligand-dependent nuclear receptor activity|IDA|GO:0004879|GOA|12955147//molecular function|ligand-regulated transcription factor activity|IEA|GO:0003706|GOA|na//molecular function|lipid binding|IDA|GO:0008289|GOA|12955147//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xd1bf80)//molecular function|protein binding|ISS|GO:0005515|GOA|na//molecular function|protein domain specific binding|IEA|GO:0019904|GOA|na//molecular function|sequence-specific DNA binding|ISS|GO:0043565|GOA|na//molecular function|steroid hormone receptor activity|IEA|GO:0003707|GOA|na//molecular function|transcription activator activity|IDA|GO:0016563|GOA|12955147//molecular function|transcription factor activity|ISS|GO:0003700|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|epidermis development|IEA|GO:0008544|GOA|na//biological process|fatty acid metabolic process|TAS|GO:0006631|GOA|10377439//biological process|fatty acid transport|TAS|GO:0015908|GOA|16271724//biological process|lipid metabolic process|TAS|GO:0006629|GOA|ARRAY(0x2ebff44)//biological process|lipoprotein metabolic process|IEA|GO:0042157|GOA|na//biological process|negative regulation of appetite|ISS|GO:0032099|GOA|na//biological process|negative regulation of blood pressure|IEA|GO:0045776|GOA|na//biological process|negative regulation of cholesterol storage|IDA|GO:0010887|GOA|19114110//biological process|negative regulation of gene-specific transcription from RNA polymerase II promoter|IDA|GO:0010553|GOA|12700342//biological process|negative regulation of macrophage derived foam cell differentiation|IC|GO:0010745|GOA|12700342//biological process|negative regulation of macrophage derived foam cell differentiation|IDA|GO:0010745|GOA|19114110//biological process|negative regulation of receptor biosynthetic process|IDA|GO:0010871|GOA|12700342//biological process|negative regulation of sequestering of triglyceride|IDA|GO:0010891|GOA|12700342//biological process|positive regulation of fatty acid beta-oxidation|TAS|GO:0032000|GOA|16271724//biological process|positive regulation of fatty acid oxidation|ISS|GO:0046321|GOA|na//biological process|positive regulation of transcription|IEA|GO:0045941|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|regulation of fatty acid metabolic process|IEA|GO:0019217|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|response to hypoxia|IEA|GO:0001666|GOA|na//biological process|response to insulin stimulus|IEA|GO:0032868|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|7684926//biological process|wound healing|IEA|GO:0042060|GOA|na//cellular component|nucleus|TAS|GO:0005634|GOA|16271724	Yes	IPR000536:Nuclear hormone receptor, ligand-binding, core,IPR001628:Zinc finger, nuclear hormone receptor-type,IPR001723:Steroid hormone receptor,IPR003074:Peroxisome proliferator-activated receptor,IPR003076:Peroxisome proliferator-activated receptor, alpha,IPR008946:Nuclear hormone receptor, ligand-binding,IPR013088:Zinc finger, NHR/GATA-type,	1	F	16	0.6993	-1.4299	1.3527E-25	262.3121	184.5482
A_23_P409553	chr14:60752731-60752790	PPM1A	NM_177951	Protein phosphatase, Mg2+/Mn2+ dependent, 1A	molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|magnesium ion binding|IEA|GO:0000287|GOA|na//molecular function|manganese ion binding|IEA|GO:0030145|GOA|na//molecular function|protein C-terminus binding|IEA|GO:0008022|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x42dfbb8)//molecular function|protein serine/threonine phosphatase activity|IDA|GO:0004722|GOA|10644691//molecular function|signal transducer activity|IMP|GO:0004871|GOA|12761501//biological process|Wnt receptor signaling pathway|IDA|GO:0016055|GOA|10644691//biological process|dephosphorylation|IDA|GO:0016311|GOA|10644691//biological process|positive regulation of I-kappaB kinase/NF-kappaB cascade|IMP|GO:0043123|GOA|12761501//biological process|positive regulation of Wnt receptor signaling pathway|IDA|GO:0030177|GOA|10644691//biological process|positive regulation of transcription, DNA-dependent|IDA|GO:0045893|GOA|10644691//biological process|protein amino acid dephosphorylation|IEA|GO:0006470|GOA|na//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|membrane fraction|IEA|GO:0005624|GOA|na//cellular component|neuron projection|IEA|GO:0043005|GOA|na//cellular component|protein serine/threonine phosphatase complex|IEA|GO:0008287|GOA|na//cellular component|voltage-gated calcium channel complex|IEA|GO:0005891|GOA|na	No	IPR000222:Protein phosphatase 2C,  manganese/magnesium aspartate binding site,IPR001932:Protein phosphatase 2C-related,IPR012911:Protein serine/threonine phosphatase 2C, C-terminal,IPR014045:Protein phosphatase 2C, N-terminal,IPR015655:Protein phosphatase 2C,	0	F	14	0.7413	-1.3489	6.303E-12	221.3496	162.571
A_23_P46539	chr1:109822459-109822518	PSRC1	NM_032636	Proline/serine-rich coiled-coil 1	molecular function|microtubule binding|ISS|GO:0008017|GOA|12427559//molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|cell cycle|ISS|GO:0007049|GOA|12427559//biological process|microtubule bundle formation|ISS|GO:0001578|GOA|12427559//biological process|negative regulation of cell growth|ISS|GO:0030308|GOA|12427559//biological process|positive regulation of gene-specific transcription|ISS|GO:0043193|GOA|12427559//biological process|positive regulation of microtubule polymerization|ISS|GO:0031116|GOA|12427559//cellular component|cytoplasm|ISS|GO:0005737|GOA|12427559//cellular component|microtubule cytoskeleton|ISS|GO:0015630|GOA|12427559//cellular component|midbody|ISS|GO:0030496|GOA|12427559//cellular component|spindle|ISS|GO:0005819|GOA|12427559	No	0	0	M	14	1.3335	1.3335	2.1559E-09	144.4933	194.34
A_23_P41755	chr5:139494528-139494587	PURA	NM_005859	Purine-rich element binding protein A	molecular function|RNA polymerase II transcription factor activity, enhancer binding|TAS|GO:0003705|GOA|9334258//molecular function|SMAD binding|IEA|GO:0046332|GOA|na//molecular function|double-stranded telomeric DNA binding|IDA|GO:0003691|GOA|15777841//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x430d5ac)//molecular function|single-stranded DNA binding|ISS|GO:0003697|GOA|na//molecular function|transcription factor binding|ISS|GO:0008134|GOA|na//biological process|DNA replication initiation|TAS|GO:0006270|GOA|1545807//biological process|DNA unwinding during replication|IDA|GO:0006268|GOA|15777841//biological process|negative regulation of transcription, DNA-dependent|IEA|GO:0045892|GOA|na//biological process|nervous system development|IEA|GO:0007399|GOA|na//biological process|positive regulation of cell proliferation|IEA|GO:0008284|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|DNA replication factor A complex|ISS|GO:0005662|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nuclear chromosome, telomeric region|IC|GO:0000784|GOA|15777841//cellular component|nucleus|IDA|GO:0005634|GOA|9716182	Yes	IPR006628:PUR-alpha/beta/gamma, DNA/RNA-binding,	0	F	14	0.828	-1.2077	5.6259E-14	1340.9498	1109.8379
A_24_P72394	chr7:5106063-5106122	RBAK	NM_021163	RB-associated KRAB zinc finger	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleic acid binding|IEA|GO:0003676|GOA|na//molecular function|transcription repressor activity|TAS|GO:0016564|GOA|10702291//molecular function|zinc ion binding|NAS|GO:0008270|GOA|10702291//biological process|regulation of transcription, DNA-dependent|TAS|GO:0006355|GOA|10702291//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|TAS|GO:0005634|GOA|10702291	No	IPR001909:Krueppel-associated  box,IPR007087:Zinc finger, C2H2-type,IPR013087:Zinc finger, C2H2-type/integrase, DNA-binding,IPR015880:Zinc finger, C2H2-like,	1	F	14	0.7173	-1.3942	2.6976E-09	271.8424	191.7076
