Gene Name	Description	RefSeq ID	Fold Change	FDR
DGKH	Homo sapiens diacylglycerol kinase, eta (DGKH), transcript variant 1, mRNA	NM_152910	1.9	19.714
POLB	Homo sapiens polymerase (DNA directed), beta (POLB), mRNA	NM_002690	1.9	19.714
FLJ12700	Homo sapiens hypothetical protein FLJ12700 (FLJ12700), mRNA	NM_024910	1.9	19.714
PLCG2	Homo sapiens phospholipase C, gamma 2 (phosphatidylinositol-specific) (PLCG2), mRNA	NM_002661	1.9	24.506
DUSP7	Homo sapiens dual specificity phosphatase 7, mRNA (cDNA clone IMAGE:5095103), partial cds.	BC019107	1.9	20.288
PDLIM3	Homo sapiens PDZ and LIM domain 3 (PDLIM3), mRNA	NM_014476	1.9	16.003
C6orf1	Homo sapiens chromosome 6 open reading frame 1 (C6orf1), transcript variant 1, mRNA	NM_178508	1.9	20.856
MGC13096	Homo sapiens hypothetical protein MGC13096 (MGC13096), mRNA	NM_032346	1.9	16.574
ICA1	Homo sapiens islet cell autoantigen 1, 69kDa (ICA1), transcript variant 2, mRNA	NM_004968	1.9	29.915
EIF4EBP1	Homo sapiens eukaryotic translation initiation factor 4E binding protein 1 (EIF4EBP1), mRNA	NM_004095	1.9	166.574
GARS	Homo sapiens glycyl-tRNA synthetase (GARS), mRNA	NM_002047	1.9	389.038
SET7	Homo sapiens SET domain-containing protein 7 (SET7), mRNA	NM_030648	1.9	107.089
KIAA0828	Homo sapiens KIAA0828 protein (KIAA0828), mRNA	NM_015328	1.9	31.102
PUNC	Homo sapiens putative neuronal cell adhesion molecule (PUNC), mRNA	NM_004884	1.9	36.095
AMIGO3	Homo sapiens amphoterin-induced gene and ORF 3 (AMIGO3), mRNA	NM_198722	1.9	21.985
RNF166	Homo sapiens ring finger protein 166 (RNF166), mRNA	NM_178841	1.9	40.984
FLJ31413	Homo sapiens hypothetical protein FLJ31413 (FLJ31413), mRNA	NM_152557	1.9	61.054
ENST00000341901	PREDICTED: Homo sapiens similar to SH3-binding kinase (LOC388228), mRNA	XM_370948	1.9	17.758
SKIP	Homo sapiens skeletal muscle and kidney enriched inositol phosphatase (SKIP), transcript variant 2, mRNA	NM_130766	1.9	27.376
ENST00000311630	Homo sapiens cDNA: FLJ22044 fis, clone HEP09141.	AK025697	1.9	32.904
FAM50A	Homo sapiens family with sequence similarity 50, member A (FAM50A), mRNA	NM_004699	1.9	88.824
MGC9564	Homo sapiens similar to RIKEN cDNA 1110002C08 gene (MGC9564), mRNA	NM_080669	1.9	43.397
MGC9564	Homo sapiens mRNA for FLJ00234 protein.	AK074161	1.9	43.397
FLJ20321	Homo sapiens hypothetical protein FLJ20321 (FLJ20321), mRNA	NM_017766	1.9	43.397
FBXL2	Homo sapiens F-box and leucine-rich repeat protein 2 (FBXL2), mRNA	NM_012157	1.9	13.499
FLJ11000	Homo sapiens hypothetical protein FLJ11000 (FLJ11000), mRNA	NM_018295	1.9	28.519
DNAJC3	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 3 (DNAJC3), mRNA	NM_006260	1.9	65.272
C10orf117	Homo sapiens chromosome 10 open reading frame 117 (C10orf117), mRNA	NM_022451	1.9	24.314
LOC145853	PREDICTED: Homo sapiens hypothetical LOC145853 (LOC145853), mRNA	XM_096885	1.9	24.314
MARS	Homo sapiens methionine-tRNA synthetase (MARS), mRNA	NM_004990	1.9	541.951
RPP25	Homo sapiens ribonuclease P 25kDa subunit (RPP25), mRNA	NM_017793	1.9	24.905
SLC43A2	Homo sapiens solute carrier family 43, member 2 (SLC43A2), mRNA	NM_152346	1.9	15.226
RP9	Homo sapiens retinitis pigmentosa 9 (autosomal dominant) (RP9), mRNA	NM_203288	1.9	15.226
RNF6	Homo sapiens ring finger protein (C3H2C3 type) 6 (RNF6), transcript variant 1, mRNA	NM_005977	1.9	43.797
RAB32	Homo sapiens RAB32, member RAS oncogene family (RAB32), mRNA	NM_006834	1.9	43.797
KIAA0931	Homo sapiens KIAA0931 protein (KIAA0931), mRNA	NM_015020	1.9	62.440
CLGN	Homo sapiens calmegin (CLGN), mRNA	NM_004362	1.9	50.487
CREB3	Homo sapiens cAMP responsive element binding protein 3 (CREB3), mRNA	NM_006368	1.9	33.902
VPS18	Homo sapiens vacuolar protein sorting protein 18 (VPS18), mRNA	NM_020857	1.9	109.690
TMEM44	Homo sapiens transmembrane protein 44 (TMEM44), transcript variant 1, mRNA	NM_138399	1.9	16.388
SLC12A2	Homo sapiens solute carrier family 12 (sodium/potassium/chloride transporters), member 2 (SLC12A2), mRNA	NM_001046	1.9	162.676
C12orf5	Homo sapiens chromosome 12 open reading frame 5 (C12orf5), mRNA	NM_020375	1.9	22.911
BYSL	Homo sapiens bystin-like (BYSL), mRNA	NM_004053	1.9	35.694
KLF15	Homo sapiens Kruppel-like factor 15 (KLF15), mRNA	NM_014079	1.9	95.546
RNF127	Homo sapiens ring finger protein 127 (RNF127), mRNA	NM_024778	1.9	24.120
HNF4G	Homo sapiens hepatocyte nuclear factor 4, gamma (HNF4G), mRNA	NM_004133	1.9	30.701
MRAS	Homo sapiens muscle RAS oncogene homolog (MRAS), mRNA	NM_012219	1.9	30.701
C10orf47	Homo sapiens chromosome 10 open reading frame 47 (C10orf47), mRNA	NM_153256	1.9	78.368
ZBTB10	Homo sapiens zinc finger and BTB domain containing 10 (ZBTB10), mRNA	NM_023929	1.9	148.856
C2orf26	Homo sapiens chromosome 2 open reading frame 26 (C2orf26), mRNA	NM_023016	1.9	65.844
ATF4	Homo sapiens activating transcription factor 4 (tax-responsive enhancer element B67) (ATF4), transcript variant 1, mRNA	NM_001675	1.9	1118.700
C20orf6	Homo sapiens chromosome 20 open reading frame 6 (C20orf6), mRNA	NM_016649	1.9	39.208
C17orf31	Homo sapiens chromosome 17 open reading frame 31 (C17orf31), mRNA	NM_017575	1.9	18.736
CXCL5	Homo sapiens chemokine (C-X-C motif) ligand 5 (CXCL5), mRNA	NM_002994	1.9	99.685
MGC10471	Homo sapiens hypothetical protein MGC10471 (MGC10471), mRNA	NM_030818	1.9	48.331
TES	Homo sapiens testis derived transcript (3 LIM domains) (TES), transcript variant 2, mRNA	NM_152829	1.9	224.687
BNIP2	Homo sapiens BCL2/adenovirus E1B 19kDa interacting protein 2, mRNA (cDNA clone MGC:1529 IMAGE:3343559), complete cds.	BC002461	1.9	34.289
BNIP2	Homo sapiens BCL2/adenovirus E1B 19kDa interacting protein 2 (BNIP2), mRNA	NM_004330	1.9	34.289
FLJ23231	Homo sapiens hypothetical protein FLJ23231 (FLJ23231), mRNA	NM_025079	1.9	20.480
SLC35B3	Homo sapiens solute carrier family 35, member B3 (SLC35B3), mRNA	NM_015948	1.9	28.142
ABCB8	Homo sapiens ATP-binding cassette, sub-family B (MDR/TAP), member 8 (ABCB8), nuclear gene encoding mitochondrial protein, mRNA	NM_007188	1.9	44.006
IRAK2	Homo sapiens interleukin-1 receptor-associated kinase 2 (IRAK2), mRNA	NM_001570	1.9	85.521
BAD	Homo sapiens BCL2-antagonist of cell death (BAD), transcript variant 1, mRNA	NM_004322	1.9	13.320
SNAG1	Homo sapiens sorting nexin associated golgi protein 1 (SNAG1), mRNA	NM_052870	1.9	37.873
ZNF141	Homo sapiens zinc finger protein 141 (clone pHZ-44) (ZNF141), mRNA	NM_003441	1.9	14.460
PLXNA1	Homo sapiens plexin A1 (PLXNA1), mRNA	NM_032242	1.9	187.245
CHST3	Homo sapiens carbohydrate (chondroitin 6) sulfotransferase 3 (CHST3), mRNA	NM_004273	1.9	126.934
CTH	Homo sapiens cystathionase (cystathionine gamma-lyase) (CTH), transcript variant 1, mRNA	NM_001902	1.9	35.922
RSN	Homo sapiens restin (Reed-Steinberg cell-expressed intermediate filament-associated protein) (RSN), transcript variant 1, mRNA	NM_002956	1.9	112.631
SMURF2	Homo sapiens SMAD specific E3 ubiquitin protein ligase 2 (SMURF2), mRNA	NM_022739	1.9	17.400
GATA2	Homo sapiens GATA binding protein 2 (GATA2), mRNA	NM_032638	1.9	38.292
EHD4	Homo sapiens EH-domain containing 4 (EHD4), mRNA	NM_139265	1.9	96.251
RABL3	Homo sapiens RAB, member of RAS oncogene family-like 3 (RABL3), mRNA	NM_173825	1.9	18.552
RABL3	RAB, member of RAS oncogene family-like 3 Homo sapiens]. [Source:RefSeq;Acc:NM_173825]	ENST00000273375	1.9	18.552
TBX2	Homo sapiens T-box 2 (TBX2), mRNA	NM_005994	1.9	53.977
TACC2	Homo sapiens transforming, acidic coiled-coil containing protein 2 (TACC2), transcript variant 4, mRNA	NM_006997	1.8	45.396
TERT	Homo sapiens telomerase reverse transcriptase (TERT), transcript variant 1, mRNA	NM_003219	1.8	20.886
C14orf169	Homo sapiens chromosome 14 open reading frame 169 (C14orf169), mRNA	NM_024644	1.8	20.886
DLG5	Homo sapiens discs, large homolog 5 (Drosophila) (DLG5), mRNA	NM_004747	1.8	141.214
OSBP2	Homo sapiens oxysterol binding protein 2 (OSBP2), transcript variant 1, mRNA	NM_030758	1.8	21.427
IER2	Homo sapiens immediate early response 2 (IER2), mRNA	NM_004907	1.8	101.628
DCI	Homo sapiens dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase) (DCI), mRNA	NM_001919	1.8	88.505
TOLLIP	Homo sapiens toll interacting protein (TOLLIP), mRNA	NM_019009	1.8	103.495
FLJ23749	Homo sapiens hypothetical protein FLJ23749 (FLJ23749), mRNA	NM_152271	1.8	23.764
SPRED1	Homo sapiens sprouty-related, EVH1 domain containing 1 (SPRED1), mRNA	NM_152594	1.8	23.764
DUSP10	Homo sapiens dual specificity phosphatase 10 (DUSP10), transcript variant 1, mRNA	NM_007207	1.8	25.538
TGFBRAP1	Homo sapiens transforming growth factor, beta receptor associated protein 1 (TGFBRAP1), mRNA	NM_004257	1.8	26.121
BPY2IP1	Homo sapiens BPY2 interacting protein 1 (BPY2IP1), mRNA	NM_018174	1.8	70.749
ZNF409	Homo sapiens mRNA for KIAA1056 protein, partial cds.	AB028979	1.8	13.733
FGFRL1	Homo sapiens fibroblast growth factor receptor-like 1 (FGFRL1), transcript variant 3, mRNA	NM_021923	1.8	122.374
HOXC13	Homo sapiens homeo box C13 (HOXC13), mRNA	NM_017410	1.8	15.462
MDM2	Homo sapiens Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) (MDM2), transcript variant MDM2, mRNA	NM_002392	1.8	39.098
MGC5370	Homo sapiens hypothetical protein MGC5370, mRNA (cDNA clone IMAGE:3049213), partial cds.	BC006795	1.8	39.098
KIAA1961	Homo sapiens KIAA1961 gene (KIAA1961), transcript variant 1, mRNA	NM_133372	1.8	63.405
OSTM1	Homo sapiens osteopetrosis associated transmembrane protein 1 (OSTM1), mRNA	NM_014028	1.8	46.241
MAPK12	Homo sapiens mitogen-activated protein kinase 12 (MAPK12), mRNA	NM_002969	1.8	47.442
MGC13379	Homo sapiens HSPC244 (MGC13379), mRNA	NM_016499	1.8	18.998
PTPN21	Homo sapiens protein tyrosine phosphatase, non-receptor type 21 (PTPN21), mRNA	NM_007039	1.8	20.726
FNBP4	Homo sapiens formin binding protein 4 (FNBP4), mRNA	NM_015308	1.8	89.631
ICT1	Homo sapiens immature colon carcinoma transcript 1 (ICT1), mRNA	NM_001545	1.8	22.989
CR621710	full-length cDNA clone CS0DL008YP09 of B cells (Ramos cell line) Cot 25-normalized of Homo sapiens (human).	CR621710	1.8	25.385
FLJ14681	Homo sapiens hypothetical protein FLJ14681 (FLJ14681), mRNA	NM_032824	1.8	25.385
DAB2	Homo sapiens disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila) (DAB2), mRNA	NM_001343	1.8	68.016
ZNF550	Homo sapiens zinc finger protein 550 (ZNF550), mRNA	NM_153231	1.8	27.650
MGC5309	Homo sapiens hypothetical protein MGC5309 (MGC5309), mRNA	NM_032286	1.8	30.006
THC2166838	UB42_HUMAN (Q9H9J4) Ubiquitin carboxyl-terminal hydrolase 42  (Ubiquitin thiolesterase 42) (Ubiquitin-specific processing protease 42) (Deubiquitinating enzyme 42) (Fragment) , complete	THC2166838	1.8	33.011
HSPC111	Homo sapiens hypothetical protein HSPC111 (HSPC111), mRNA	NM_016391	1.8	33.615
PRSS15	Homo sapiens protease, serine, 15 (PRSS15), nuclear gene encoding mitochondrial protein, mRNA	NM_004793	1.8	403.724
PRKRA	Homo sapiens protein kinase, interferon-inducible double stranded RNA dependent activator (PRKRA), mRNA	NM_003690	1.8	61.252
RND3	Homo sapiens Rho family GTPase 3 (RND3), mRNA	NM_005168	1.8	76.979
SHMT2	Homo sapiens serine hydroxymethyltransferase 2 (mitochondrial) (SHMT2), mRNA	NM_005412	1.8	588.890
AF217993	Homo sapiens clone PP1744 unknown mRNA.	AF217993	1.8	202.396
GNA13	Homo sapiens guanine nucleotide binding protein (G protein), alpha 13 (GNA13), mRNA	NM_006572	1.8	168.953
FLJ20245	Homo sapiens hypothetical protein FLJ20245 (FLJ20245), mRNA	NM_017723	1.8	71.303
CROCC	Homo sapiens ciliary rootlet coiled-coil, rootletin (CROCC), mRNA	NM_014675	1.8	48.937
FAM53B	Homo sapiens family with sequence similarity 53, member B (FAM53B), mRNA	NM_014661	1.8	46.506
NINJ1	Homo sapiens ninjurin 1 (NINJ1), mRNA	NM_004148	1.8	37.043
TPST2	Homo sapiens tyrosylprotein sulfotransferase 2 (TPST2), transcript variant 2, mRNA	NM_003595	1.8	34.061
RFP	Homo sapiens ret finger protein (RFP), transcript variant alpha, mRNA	NM_006510	1.8	115.488
ZNF302	Homo sapiens zinc finger protein 302 (ZNF302), mRNA	NM_018675	1.8	24.048
SLC2A11	Homo sapiens solute carrier family 2 (facilitated glucose transporter), member 11 (SLC2A11), mRNA	NM_030807	1.8	23.458
MLYCD	Homo sapiens malonyl-CoA decarboxylase (MLYCD), mRNA	NM_012213	1.8	18.240
MGC17330	Homo sapiens HGFL gene (MGC17330), mRNA	NM_052880	1.8	17.669
SCLY	Homo sapiens putative selenocysteine lyase (SCLY) mRNA, complete cds.	AF175767	1.8	17.079
AAK1	Homo sapiens AP2 associated kinase 1 (AAK1), mRNA	NM_014911	1.8	65.173
NT5C1B	Homo sapiens cDNA FLJ36145 fis, clone TESTI2025063, moderately similar to Columba livia mRNA for 5-nucleotidase.	AK093464	1.8	15.316
RDH14	Homo sapiens retinol dehydrogenase 14 (all-trans and 9-cis) (RDH14), mRNA	NM_020905	1.8	15.316
ZNF510	Homo sapiens zinc finger protein 510 (ZNF510), mRNA	NM_014930	1.8	15.316
BNIP1	Homo sapiens BCL2/adenovirus E1B 19kDa interacting protein 1 (BNIP1), transcript variant BNIP1-b, mRNA	NM_013979	1.8	14.733
SPHK1	Homo sapiens sphingosine kinase 1 (SPHK1), mRNA	NM_021972	1.8	53.617
NR1D1	Homo sapiens nuclear receptor subfamily 1, group D, member 1 (NR1D1), mRNA	NM_021724	1.8	13.587
TBL3	Homo sapiens transducin (beta)-like 3 (TBL3), mRNA	NM_006453	1.8	51.141
BXDC1	Homo sapiens brix domain containing 1 (BXDC1), mRNA	NM_032194	1.8	35.112
TRIB1	Homo sapiens tribbles homolog 1 (Drosophila) (TRIB1), mRNA	NM_025195	1.8	52.237
ABTB2	Homo sapiens ankyrin repeat and BTB (POZ) domain containing 2 (ABTB2), mRNA	NM_145804	1.8	27.937
AARS	Homo sapiens alanyl-tRNA synthetase (AARS), mRNA	NM_001605	1.8	1042.797
FSTL3	Homo sapiens follistatin-like 3 (secreted glycoprotein) (FSTL3), mRNA	NM_005860	1.8	122.886
WDR24	Homo sapiens WD repeat domain 24 (WDR24), mRNA	NM_032259	1.8	20.448
ZNF35	Homo sapiens zinc finger protein 35 (clone HF.10) (ZNF35), mRNA	NM_003420	1.8	20.448
THRAP5	Homo sapiens thyroid hormone receptor associated protein 5 (THRAP5), mRNA	NM_005481	1.8	109.625
LOC91942	Homo sapiens hypothetical protein LOC91942 (LOC91942), mRNA	NM_174889	1.8	19.886
AXIN1	Homo sapiens axin 1 (AXIN1), transcript variant 1, mRNA	NM_003502	1.8	33.764
PHF16	Homo sapiens PHD finger protein 16 (PHF16), mRNA	NM_014735	1.8	31.977
C6orf48	Homo sapiens chromosome 6 open reading frame 48 (C6orf48), mRNA	NM_016947	1.8	283.795
HSPA5	Homo sapiens heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) (HSPA5), mRNA	NM_005347	1.8	1471.576
MAD	Homo sapiens MAX dimerization protein 1 (MAD), mRNA	NM_002357	1.8	28.955
CHUK	Homo sapiens conserved helix-loop-helix ubiquitous kinase (CHUK), mRNA	NM_001278	1.8	36.019
ADAM17	Homo sapiens a disintegrin and metalloproteinase domain 17 (tumor necrosis factor, alpha, converting enzyme) (ADAM17), transcript variant 1, mRNA	NM_003183	1.8	24.951
SURF6	Homo sapiens surfeit 6 (SURF6), mRNA	NM_006753	1.8	45.926
LACTB2	Homo sapiens lactamase, beta 2 (LACTB2), mRNA	NM_016027	1.8	24.351
PACS1	Homo sapiens phosphofurin acidic cluster sorting protein 1 (PACS1), mRNA	NM_018026	1.8	172.639
APG4D	Homo sapiens APG4 autophagy 4 homolog D (S. cerevisiae) (APG4D), mRNA	NM_032885	1.8	14.049
SLC38A2	Homo sapiens solute carrier family 38, member 2 (SLC38A2), mRNA	NM_018976	1.8	246.244
KRTCAP2	Homo sapiens keratinocyte associated protein 2 (KRTCAP2), mRNA	NM_173852	1.8	74.533
FABP3	Homo sapiens fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor) (FABP3), mRNA	NM_004102	1.8	13.463
ABCC5	Homo sapiens ATP-binding cassette, sub-family C (CFTR/MRP), member 5 (ABCC5), mRNA	NM_005688	1.8	41.788
TNKS1BP1	Homo sapiens tankyrase 1 binding protein 1, 182kDa (TNKS1BP1), mRNA	NM_033396	1.8	117.561
WDR45	Homo sapiens WD repeat domain 45 (WDR45), mRNA	NM_007075	1.8	67.262
PEX16	Homo sapiens peroxisomal biogenesis factor 16 (PEX16), transcript variant 1, mRNA	NM_004813	1.8	21.427
CNNM2	Homo sapiens cyclin M2 (CNNM2), transcript variant 1, mRNA	NM_017649	1.8	57.712
NFKBIA	Homo sapiens nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha (NFKBIA), mRNA	NM_020529	1.8	95.022
TIMM44	Homo sapiens translocase of inner mitochondrial membrane 44 homolog (yeast) (TIMM44), mRNA	NM_006351	1.8	113.183
LHFPL2	Homo sapiens lipoma HMGIC fusion partner-like 2 (LHFPL2), mRNA	NM_005779	1.8	38.806
FVT1	Homo sapiens follicular lymphoma variant translocation 1 (FVT1), mRNA	NM_002035	1.8	20.886
CAPN5	Homo sapiens calpain 5 (CAPN5), mRNA	NM_004055	1.8	28.822
COG3	Homo sapiens component of oligomeric golgi complex 3 (COG3), mRNA	NM_031431	1.8	37.059
HERPUD1	Homo sapiens homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 (HERPUD1), transcript variant 1, mRNA	NM_014685	1.8	79.766
TIGD5	Homo sapiens tigger transposable element derived 5 (TIGD5), mRNA	NM_032862	1.8	18.556
C14orf80	Homo sapiens chromosome 14 open reading frame 80 (C14orf80), mRNA	NM_173608	1.8	25.990
SGSH	Homo sapiens N-sulfoglucosamine sulfohydrolase (sulfamidase) (SGSH), mRNA	NM_000199	1.8	25.990
AGTRAP	Homo sapiens angiotensin II receptor-associated protein (AGTRAP), mRNA	NM_020350	1.8	25.990
C9orf86	Homo sapiens chromosome 9 open reading frame 86 (C9orf86), mRNA	NM_024718	1.8	127.594
NK4	Homo sapiens natural killer cell transcript 4 (NK4), mRNA	NM_004221	1.8	32.888
LRRC8	Homo sapiens leucine rich repeat containing 8 (LRRC8), mRNA	NM_019594	1.8	133.004
BRAP	Homo sapiens BRCA1 associated protein (BRAP), mRNA	NM_006768	1.8	39.261
C14orf151	Homo sapiens chromosome 14 open reading frame 151 (C14orf151), mRNA	NM_032714	1.8	76.576
C20orf116	Homo sapiens chromosome 20 open reading frame 116 (C20orf116), mRNA	NM_023935	1.8	60.531
TNRC9	Homo sapiens CAGF9 mRNA, partial cds.	U80736	1.8	45.084
COG7	Homo sapiens component of oligomeric golgi complex 7 (COG7), mRNA	NM_153603	1.8	16.815
UCHL5	Homo sapiens ubiquitin carboxyl-terminal hydrolase L5 (UCHL5), mRNA	NM_015984	1.8	23.627
FLJ12750	Homo sapiens hypothetical protein FLJ12750 (FLJ12750), mRNA	NM_024667	1.8	30.480
FRAT1	Homo sapiens frequently rearranged in advanced T-cell lymphomas (FRAT1), transcript variant 2, mRNA	NM_181355	1.8	91.520
DGCR6L	Homo sapiens DiGeorge syndrome critical region gene 6-like (DGCR6L), mRNA	NM_033257	1.8	22.447
KRT19	Homo sapiens keratin 19 (KRT19), mRNA	NM_002276	1.8	21.891
SNF1LK	Homo sapiens SNF1-like kinase (SNF1LK), mRNA	NM_173354	1.8	81.188
ABLIM3	Homo sapiens actin binding LIM protein family, member 3 (ABLIM3), mRNA	NM_014945	1.8	40.905
SMAD7	Homo sapiens SMAD, mothers against DPP homolog 7 (Drosophila) (SMAD7), mRNA	NM_005904	1.8	79.364
NARFL	Homo sapiens nuclear prelamin A recognition factor-like (NARFL), mRNA	NM_022493	1.8	21.304
FLJ20244	Homo sapiens hypothetical protein FLJ20244 (FLJ20244), mRNA	NM_017722	1.8	65.096
FLJ21901	Homo sapiens hypothetical protein FLJ21901 (FLJ21901), mRNA	NM_024622	1.8	20.756
DCHS1	Homo sapiens dachsous 1 (Drosophila) (DCHS1), mRNA	NM_003737	1.8	32.761
GLS	Homo sapiens glutaminase (GLS), mRNA	NM_014905	1.8	57.298
THAP7	Homo sapiens THAP domain containing 7 (THAP7), transcript variant 1, mRNA	NM_030573	1.8	26.421
SERHL	Homo sapiens serine hydrolase-like (SERHL), mRNA	NM_170694	1.8	14.469
SP5	Homo sapiens Sp5 transcription factor (SP5), mRNA	NM_001003845	1.8	20.191
TRIP6	Homo sapiens thyroid hormone receptor interactor 6 (TRIP6), mRNA	NM_003302	1.8	135.415
LOC348094	Homo sapiens hypothetical protein LOC348094 (LOC348094), mRNA	NM_182703	1.8	13.919
DNAJB5	Homo sapiens DnaJ (Hsp40) homolog, subfamily B, member 5 (DNAJB5), mRNA	NM_012266	1.8	13.919
TAF1	Homo sapiens TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa (TAF1), transcript variant 1, mRNA	NM_004606	1.8	30.953
SLC2A8	Homo sapiens solute carrier family 2, (facilitated glucose transporter) member 8 (SLC2A8), mRNA	NM_014580	1.8	70.191
ID3	Homo sapiens inhibitor of DNA binding 3, dominant negative helix-loop-helix protein (ID3), mRNA	NM_002167	1.8	136.382
PTPDC1	Homo sapiens protein tyrosine phosphatase domain containing 1 (PTPDC1), transcript variant 1, mRNA	NM_152422	1.8	45.410
RIOK3	Homo sapiens RIO kinase 3 (yeast) (RIOK3), transcript variant 2, mRNA	NM_145906	1.8	34.403
POLR1C	Homo sapiens polymerase (RNA) I polypeptide C, 30kDa (POLR1C), transcript variant 2, mRNA	NM_004875	1.8	23.509
AEGP	Homo sapiens apical early endosomal glycoprotein precursor (AEGP), mRNA	NM_206920	1.8	23.509
ZNF543	Homo sapiens zinc finger protein 543 (ZNF543), mRNA	NM_213598	1.8	23.509
LOC493856	Homo sapiens similar to RIKEN cDNA 1500009M05 gene (LOC493856), mRNA	NM_001008388	1.8	33.212
SLC26A1	Homo sapiens solute carrier family 26 (sulfate transporter), member 1 (SLC26A1), transcript variant 1, mRNA	NM_022042	1.8	80.185
DNPEP	Homo sapiens aspartyl aminopeptidase (DNPEP), mRNA	NM_012100	1.8	58.893
CGI-96	Homo sapiens CGI-96 protein (CGI-96), mRNA	NM_015703	1.8	57.063
LENG1	Homo sapiens leukocyte receptor cluster (LRC) member 1 (LENG1), mRNA	NM_024316	1.8	16.694
AL832747	Homo sapiens mRNA; cDNA DKFZp686D0521 (from clone DKFZp686D0521).	AL832747	1.8	59.374
GNAQ	Homo sapiens guanine nucleotide binding protein (G protein), q polypeptide (GNAQ), mRNA	NM_002072	1.8	59.374
PERQ1	Homo sapiens PERQ amino acid rich, with GYF domain 1 (PERQ1), mRNA	NM_022574	1.8	150.880
DSC2	Homo sapiens desmocollin 2 (DSC2), transcript variant Dsc2a, mRNA	NM_024422	1.8	29.637
NEB	Homo sapiens nebulin (NEB), mRNA	NM_004543	1.8	66.956
HIST3H2A	Homo sapiens histone 3, H2a (HIST3H2A), mRNA	NM_033445	1.8	147.779
SOLH	Homo sapiens small optic lobes homolog (Drosophila) (SOLH), mRNA	NM_005632	1.8	94.919
C20orf29	Homo sapiens chromosome 20 open reading frame 29 (C20orf29), mRNA	NM_018347	1.7	19.524
RNF44	Homo sapiens ring finger protein 44 (RNF44), mRNA	NM_014901	1.7	136.847
ASAH1	Homo sapiens N-acylsphingosine amidohydrolase (acid ceramidase) 1 (ASAH1), transcript variant 2, mRNA	NM_004315	1.7	93.519
MCOLN1	Homo sapiens mucolipin 1 (MCOLN1), mRNA	NM_020533	1.7	27.314
OCLN	Homo sapiens occludin (OCLN), mRNA	NM_002538	1.7	31.313
SLC20A2	Homo sapiens solute carrier family 20 (phosphate transporter), member 2 (SLC20A2), mRNA	NM_006749	1.7	140.286
COMT	Homo sapiens catechol-O-methyltransferase (COMT), transcript variant MB-COMT, mRNA	NM_000754	1.7	64.478
EIF2C2	Homo sapiens eukaryotic translation initiation factor 2C, 2 (EIF2C2), mRNA	NM_012154	1.7	51.480
STK38L	Homo sapiens serine/threonine kinase 38 like (STK38L), mRNA	NM_015000	1.7	26.207
ICAM1	Homo sapiens intercellular adhesion molecule 1 (CD54), human rhinovirus receptor (ICAM1), mRNA	NM_000201	1.7	209.615
ELL	Homo sapiens elongation factor RNA polymerase II (ELL), mRNA	NM_006532	1.7	34.170
MOBKL1A	Homo sapiens MOB1, Mps One Binder kinase activator-like 1A (yeast) (MOBKL1A), mRNA	NM_173468	1.7	13.804
GDF1	Homo sapiens growth differentiation factor 1 (GDF1), mRNA	NM_001492	1.7	13.804
LOC55565	Homo sapiens hypothetical protein LOC55565 (LOC55565), mRNA	NM_017530	1.7	13.804
FLJ12118	Homo sapiens hypothetical protein FLJ12118 (FLJ12118), mRNA	NM_024537	1.7	21.644
POLR3C	Homo sapiens polymerase (RNA) III (DNA directed) polypeptide C (62kD) (POLR3C), mRNA	NM_006468	1.7	28.924
B4GALT7	Homo sapiens xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I) (B4GALT7), mRNA	NM_007255	1.7	36.450
ADAMTS13	Homo sapiens a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 13 (ADAMTS13), transcript variant 1, mRNA	NM_139025	1.7	13.224
PRKCABP	Homo sapiens protein kinase C, alpha binding protein (PRKCABP), mRNA	NM_012407	1.7	24.453
SPHK2	Homo sapiens sphingosine kinase 2 (SPHK2), mRNA	NM_020126	1.7	20.536
ZNF598	Homo sapiens zinc finger protein 598 (ZNF598), mRNA	NM_178167	1.7	66.003
C18orf43	Homo sapiens chromosome 18 open reading frame 43 (C18orf43), mRNA	NM_006553	1.7	16.574
RFNG	Human radical fringe mRNA, partial cds.	U94353	1.7	23.858
UTP14A	Homo sapiens UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast) (UTP14A), mRNA	NM_006649	1.7	31.194
FBN1	Homo sapiens fibrillin 1 (Marfan syndrome) (FBN1), mRNA	NM_000138	1.7	27.219
DGCR6	Homo sapiens DiGeorge syndrome critical region gene 6 (DGCR6), mRNA	NM_005675	1.7	19.986
CREM	Homo sapiens cAMP responsive element modulator (CREM), transcript variant 19, mRNA	NM_183013	1.7	19.986
