Gene ID	Description	Functional class	Comment	SG enrichment (log2-fold)
AAEL010248	fibrillarin	MET		-1.457450873
AAEL009596	sterol o-acyltransferase	MET		-1.447841421
AAEL008933	3-hydroxyisobutyrate dehydrogenase	MET		-1.447380935
AAEL001781	origin recognition complex subunit	MET		-1.428904117
AAEL006297	venom allergen	MET		-1.42520155
AAEL012337	goliath E3 ubiquitin ligase	MET		-1.423709927
AAEL014886	4-aminobutyrate aminotransferase	MET		-1.42192342
AAEL003180	prefoldin subunit	MET		-1.415761514
AAEL008828	carbonic anhydrase	MET		-1.405484103
AAEL008510	sphingosine kinase a, b	MET		-1.372367969
AAEL008849	selenophosphate synthase	MET		-1.354559546
AAEL006742	3-hydroxyisobutyrate dehydrogenase	MET		-1.352763205
AAEL013274	n-acetylgalactosaminyltransferase	MET		-1.339200116
AAEL013305	bifunctional dihydrofolate reductase-thymidylate synthase	MET		-1.32552323
AAEL004328	origin recognition complex subunit	MET		-1.305308514
AAEL011309	orotidine-5-phosphate decarboxylase, putative	MET		-1.304867309
AAEL008468	cysteine synthase	MET		-1.296591405
AAEL000432	nucleosome assembly protein	MET		-1.259150182
AAEL013213	enhancer of zeste, ezh	MET		-1.25423832
AAEL015315	malate synthase	MET		-1.250712604
AAEL004178	ribose-phosphate pyrophosphokinase 1, putative	MET		-1.249877451
AAEL012351	prolylcarboxypeptidase, putative	MET		-1.248234321
AAEL000006	phosphoenolpyruvate carboxykinase	MET		-1.242330772
AAEL001837	lipase	MET		-1.236261257
AAEL011841	ethanolaminephosphotransferase	MET		-1.236019945
AAEL009245	3-hydroxyisobutyrate dehydrogenase, putative	MET		-1.229446237
AAEL002647	steroid receptor-interacting snf2 domain protein	MET		-1.223012787
AAEL011314	epoxide hydrolase	MET		-1.214787516
AAEL006687	exportin	MET		-1.209200867
AAEL008559	glutaminase	MET		-1.200000071
AAEL011273	uridine cytidine kinase i	MET		-1.187694817
AAEL013045	exosome complex exonuclease RRP41, putative	MET		-1.185949023
AAEL013877	glucosamine-6-phosphate isomerase	MET		-1.185386159
AAEL007880	ornithine decarboxylase	MET		-1.181921876
AAEL013581	valacyclovir hydrolase	MET		-1.17275522
AAEL011632	fk506 binding protein	MET		-1.166154322
AAEL009507	glucose-6-phosphate 1-dehydrogenase	MET		-1.146863057
AAEL006562	acid phosphatase	MET		-1.145409847
AAEL012580	3-hydroxyisobutyrate dehydrogenase	MET		-1.136908971
AAEL012995	enhancer of zeste, ezh	MET		-1.133732222
AAEL015557	alpha methylacyl-coa racemase	MET		-1.12445331
AAEL010343	aryl hydrocarbon receptor nuclear translocator (arnt protein) (hypoxia-inducible factor 1 beta)	MET		-1.108091173
AAEL006679	3-hydroxyisobutyrate dehydrogenase, putative	MET		-1.104986634
AAEL013276	acid phosphatase	MET		-1.096175735
AAEL003591	xaa-pro dipeptidase app(e.coli)	MET		-1.087608776
AAEL000076	dimethyladenosine transferase	MET		-1.077941235
AAEL014536	embryonic ectoderm development protein	MET		-1.077565709
AAEL009649	brg-1 associated factor	MET		-1.069408225
AAEL011746	succinyl-coa synthetase beta chain	MET		-1.048551358
AAEL000706	serine palmitoyltransferase	MET		-1.047444442
AAEL017225	Esterase lipase,  carbesteraseB	MET		-1.035497011
AAEL003991	alcohol dehydrogenase	MET		-1.032590972
AAEL011215	f-box and wd40 domain protein 7 (fbw7)	MET		-1.029217222
AAEL002515	lipase 1 precursor	MET		-1.028148799
AAEL014863	glycogenin	MET		-1.019627475
AAEL010960	xaa-pro dipeptidase app(e.coli)	MET		-1.014879552
AAEL001896	UDP-N-acetylglucosamine: polypeptide-N-acetylglucosaminyl transferase, putative	MET		-1.00809999
AAEL002304	porphobilinogen synthase	MET		-1.001828288
AAEL009323	carbonic anhydrase precursor	MET		-1.000994658
AAEL013431	proline oxidase	MET		-1.000781494
AAEL009948	aldehyde dehydrogenase	MET		-0.994137608
AAEL007904	cleavage and polyadenylation specificity factor	MET		-0.972074762
AAEL008258	threonine aspartase	MET		-0.967306836
AAEL011245	deoxyhypusine synthase	MET		-0.965075178
AAEL013820	Bj1 protein, putative	MET		-0.960365331
AAEL010505	ribulose-5-phosphate-3-epimerase	MET		-0.936796623
AAEL013093	valacyclovir hydrolase	MET		-0.932112493
AAEL000454	isocitrate dehydrogenase	MET		-0.922248307
AAEL011536	phosphoglucomutase	MET		-0.913597286
AAEL000044	ornithine decarboxylase	MET		-0.904863099
AAEL010269	venom allergen	MET		-0.904370215
AAEL004059	cystathionine beta-lyase	MET		-0.902352216
AAEL011759	mrna capping enzyme	MET		-0.901916944
AAEL006601	50-kda dystrophin-associated glycoprotein, putative	MET		-0.895382872
AAEL010071	spermidine synthase	MET		-0.892618292
AAEL011473	chromatin regulatory protein sir2	MET		-0.890440489
AAEL003742	glucosylceramidase	MET		-0.889027104
AAEL012430	AMP dependent ligase	MET		-0.878561877
AAEL017411	3-hydroxyisobutyrate dehydrogenase, putative	MET		-0.878431984
AAEL010575	dimethyladenosine transferase	MET		-0.871622408
AAEL012813	sphingolipid delta 4 desaturase/c-4 hydroxylase protein des2	MET		-0.869721099
AAEL015022	glycoside  hydrolases	MET		-0.869374837
AAEL010208	3-hydroxyisobutyrate dehydrogenase	MET		-0.869324538
AAEL015063	elongase, putative	MET		-0.853662062
AAEL004728	5-methyltetrahydrofolate:homocysteine methyltransferase	MET		-0.851968377
AAEL012874	rrp4	MET		-0.840789965
AAEL012077	nad dehydrogenase	MET		-0.836409809
AAEL012436	AMP dependent ligase	MET		-0.834277017
AAEL012418	deoxyribonuclease ii	MET		-0.828599832
AAEL009839	cap binding protein	MET		-0.828201775
AAEL013952	prohibitin	MET		-0.824573142
AAEL014099	valyl-tRNA synthetase	MET		-0.819976003
AAEL009142	prolyl endopeptidase (prolyl oligopeptidase)	MET		-0.819692713
AAEL015051	glycoside  hydrolases	MET		-0.818966586
AAEL014426	glycine dehydrogenase	MET		-0.818106272
AAEL010602	starch branching enzyme ii	MET		-0.808227518
AAEL000686	lipase	MET		-0.802653791
AAEL011112	alcohol dehydrogenase	MET		-0.783006935
AAEL003079	glucosyl/glucuronosyl transferases	MET		-0.779167589
AAEL004431	phospholipase c gamma	MET		-0.775223216
AAEL003655	conserved hypothetical protein	PROT		8.164783364
AAEL015294	serine-type enodpeptidase, putative	PROT		7.043232069
AAEL008619	conserved hypothetical protein	PROT		6.670340992
AAEL008766	hypothetical protein	PROT		5.414444419
AAEL008300	conserved hypothetical protein	PROT		3.742894097
AAEL003963	calpain, putative	PROT		3.50815239
AAEL002000	zinc carboxypeptidase	PROT		2.581782317
AAEL001855	zinc carboxypeptidase	PROT		2.218763592
AAEL017460	hypothetical protein	PROT		2.095244478
AAEL014351	hypothetical protein	PROT		1.823387766
AAEL009702	conserved hypothetical protein	PROT		1.793887623
AAEL006250	insulin receptor tyrosine kinase substrate	PROT		1.626720725
AAEL001679	hypothetical protein	PROT		1.549185717
AAEL007519	oviductin	PROT		1.403993664
AAEL010780	carboxypeptidase	PROT		1.360734954
AAEL004878	hypothetical protein	PROT		1.314515282
AAEL003227	protease m1 zinc metalloprotease	PROT		1.313158999
AAEL008786	caax prenyl protease ste24	PROT		1.287174062
AAEL012781	protease m1 zinc metalloprotease	PROT		1.274515452
AAEL011292	protease m1 zinc metalloprotease	PROT		1.267509614
AAEL007514	oviductin	PROT		1.257949807
AAEL011888	serine-type enodpeptidase, putative	PROT		1.236713017
AAEL017118	hypothetical protein	PROT		1.194746069
AAEL008162	protease m1 zinc metalloprotease	PROT		1.166748127
AAEL007649	cell cycle checkpoint protein rad17	PROT		1.147415852
AAEL011975	ubiquitin specific protease	PROT		1.147229494
AAEL007586	nuclear pore complex protein nup98	PROT		1.1371108
AAEL012893	microsomal dipeptidase	PROT		1.092766994
AAEL002793	conserved hypothetical protein	PROT		1.058822822
AAEL012918	puromycin-sensitive aminopeptidase	PROT		1.040553319
AAEL009480	hypothetical protein	PROT		1.038265803
AAEL017244	hypothetical protein	PROT		1.028552278
AAEL006323	hypothetical protein	PROT		1.018155344
AAEL002661	matrix metalloproteinase	PROT		1.012023047
AAEL014506	conserved hypothetical protein	PROT		1.002632135
AAEL006659	apyrase	PROT		1.00176212
AAEL005812	conserved hypothetical protein	PROT		0.984392625
AAEL009895	neprilysin	PROT		0.977180161
AAEL011658	plasma glutamate carboxypeptidase	PROT		0.975194571
AAEL008769	serine-type enodpeptidase, putative	PROT		0.970108789
AAEL015527	conserved hypothetical protein	PROT		0.961213011
AAEL009406	n(4)-(beta-n-acetylglucosaminyl)-l-asparaginase	PROT		0.960744619
AAEL013032	conserved hypothetical protein	PROT		0.957963202
AAEL010184	ubiquitin specific protease	PROT		0.957167244
AAEL001229	metalloproteinase, putative	PROT		0.955626373
AAEL003952	calpain, putative	PROT		0.945377408
AAEL007081	zinc metalloprotease	PROT		0.915673505
AAEL002655	matrix metalloproteinase	PROT		0.909170761
AAEL017399	conserved hypothetical protein	PROT	peptidase family M1, plant homeodomain (PHD) finger domains	0.874559784
AAEL009097	conserved hypothetical protein	PROT		0.863020383
AAEL010981	hypothetical protein	PROT		0.828039226
AAEL009310	angiotensin-converting enzyme (dipeptidyl carboxypeptidase)	PROT		0.815655766
AAEL016998	conserved hypothetical protein	PROT	Zinc-dependent metalloprotease domain	0.813671507
AAEL014387	coagulation factor X, putative	PROT		0.796338885
AAEL001773	conserved hypothetical protein	PROT		0.795666448
AAEL006174	proteasome subunit beta type	PROT		0.789937196
AAEL010773	hypothetical protein	PROT		0.789769202
AAEL002696	hypothetical protein	PROT		0.785113529
AAEL015439	conserved hypothetical protein	PROT		0.778061519
AAEL012873	angiotensin-converting enzyme (dipeptidyl carboxypeptidase)	PROT		0.775580492
AAEL011542	metalloproteinase, putative	PROT		-5.298867472
AAEL008784	serine-type enodpeptidase, putative	PROT		-4.507974104
AAEL014516	metalloproteinase, putative	PROT		-3.867455706
AAEL003424	zinc carboxypeptidase	PROT		-3.527010674
AAEL012778	protease m1 zinc metalloprotease	PROT		-3.214309878
AAEL011291	protease m1 zinc metalloprotease	PROT		-3.2102477
AAEL007596	Trypsin, putative	PROT		-3.072204946
AAEL012217	protease m1 zinc metalloprotease	PROT		-3.006690426
AAEL001863	zinc carboxypeptidase	PROT		-2.797624643
AAEL011557	metalloproteinase, putative	PROT		-2.78563332
AAEL001701	serine-type enodpeptidase, putative	PROT		-2.7523637
AAEL008609	zinc carboxypeptidase	PROT		-2.716730608
AAEL012398	hypothetical protein	PROT		-2.551537576
AAEL009244	serine-type enodpeptidase, putative	PROT		-2.438864522
AAEL008600	zinc carboxypeptidase	PROT		-2.436316464
AAEL012783	protease m1 zinc metalloprotease	PROT		-2.203138224
AAEL005823	Trypsin, putative	PROT		-2.19223273
AAEL011290	hypothetical protein	PROT		-2.055799615
AAEL003212	protease m1 zinc metalloprotease	PROT		-1.983733925
AAEL008176	conserved hypothetical protein	PROT		-1.951296382
AAEL013899	protease m1 zinc metalloprotease	PROT		-1.766392368
AAEL001690	serine-type enodpeptidase, putative	PROT		-1.720744254
AAEL001406	conserved hypothetical protein	PROT		-1.717865513
AAEL010196	trypsin	PROT		-1.666352734
AAEL010782	carboxypeptidase	PROT		-1.642878783
AAEL005638	conserved hypothetical protein	PROT		-1.627480735
AAEL011206	aminoacylase, putative	PROT		-1.587713432
AAEL017451	hypothetical protein	PROT		-1.531060361
AAEL008116	conserved hypothetical protein	PROT		-1.498991829
AAEL010203	trypsin	PROT		-1.444055205
AAEL004980	conserved hypothetical protein	PROT		-1.408537823
AAEL012103	hypothetical protein	PROT		-1.344580337
AAEL010776	carboxypeptidase	PROT		-1.265922294
AAEL007792	conserved hypothetical protein	PROT		-1.249852092
AAEL005821	alanyl aminopeptidase	PROT		-1.158603124
AAEL015247	hypothetical protein	PROT		-1.154466551
AAEL002698	conserved hypothetical protein	PROT		-1.132512747
AAEL012779	protease m1 zinc metalloprotease	PROT		-1.12512748
AAEL005893	hypothetical protein	PROT		-1.11204428
AAEL011722	zinc carboxypeptidase	PROT		-1.027808393
AAEL015085	serine-type enodpeptidase, putative	PROT		-1.021498077
AAEL010081	conserved hypothetical protein	PROT		-1.0206416
AAEL000424	leucine aminopeptidase	PROT		-1.019852025
AAEL011287	ubiquitin specific protease	PROT		-1.002736475
AAEL003517	conserved hypothetical protein	PROT		-1.00135718
AAEL008780	serine-type enodpeptidase, putative	PROT		-0.987446851
AAEL013712	trypsin	PROT		-0.982321564
AAEL006902	serine-type enodpeptidase, putative	PROT		-0.970122528
AAEL012786	conserved hypothetical protein	PROT		-0.969135275
AAEL006542	retinoid-inducible serine carboxypeptidase (serine carboxypeptidase	PROT		-0.964605608
AAEL012776	protease m1 zinc metalloprotease	PROT		-0.961693379
AAEL005181	aspartyl/asparaginyl beta-hydroxylase	PROT		-0.940296309
AAEL011146	conserved hypothetical protein	PROT		-0.924300815
AAEL001031	conserved hypothetical protein	PROT		-0.919213767
AAEL001693	serine-type enodpeptidase, putative	PROT		-0.9012191
AAEL013052	ubiquitin carboxyl-terminal hydrolase isozyme L3	PROT		-0.884520351
AAEL006252	hypothetical protein	PROT		-0.882189725
AAEL009212	lola	PROT		-0.880987917
AAEL014266	hypothetical protein	PROT		-0.863626247
AAEL014028	hypothetical protein	PROT		-0.855277877
AAEL008862	conserved hypothetical protein	PROT		-0.852927472
AAEL002978	leucyl aminopeptidase, putative	PROT		-0.796420885
AAEL009428	conserved hypothetical protein	PROT		-0.778347066
AAEL004509	conserved hypothetical protein	RSM		5.125103843
AAEL017136	cytochrome P450	RSM		4.84594242
AAEL008016	short-chain dehydrogenase	RSM		4.030109468
AAEL008757	juvenile hormone esterase	RSM		3.981581048
AAEL003139	short-chain dehydrogenase	RSM		3.748411973
AAEL012827	endoplasmin	RSM		3.082396787
AAEL007034	conserved hypothetical protein	RSM		3.050831879
AAEL003154	aldo-keto reductase	RSM		3.035638578
AAEL013790	mitochondrial ribosomal protein, L50, putative	RSM		2.915420548
AAEL005295	hypothetical protein	RSM		2.769390126
AAEL008018	cytochrome P450	RSM		2.68133271
AAEL003148	short-chain dehydrogenase	RSM		2.614473259
AAEL017263	heat-shock protein 70 conserve region,	RSM		2.292496806
AAEL014619	cytochrome P450	RSM		2.266709641
AAEL014830	cytochrome P450	RSM		2.108182613
AAEL009093	crumbs	RSM		2.087591647
AAEL006802	cytochrome P450	RSM		2.085904466
AAEL003959	short-chain dehydrogenase	RSM		1.96541755
AAEL012886	juvenile hormone esterase	RSM		1.908778596
AAEL003791	conserved hypothetical protein	RSM		1.867596494
AAEL008638	cytochrome P450	RSM		1.836155958
AAEL006793	cytochrome P450	RSM		1.833878126
AAEL013491	short-chain dehydrogenase	RSM		1.765145203
AAEL014891	cytochrome P450	RSM		1.73248806
AAEL012492	cytochrome P450	RSM		1.730684847
AAEL013555	cytochrome P450	RSM		1.720654714
AAEL014892	cytochrome P450	RSM		1.655763758
AAEL002893	short-chain dehydrogenase	RSM		1.627524326
AAEL015641	cytochrome P450	RSM		1.608273396
AAEL010380	aldehyde oxidase	RSM		1.563548347
AAEL007816	cytochrome P450	RSM		1.539740485
AAEL008227	short-chain dehydrogenase	RSM		1.528152035
AAEL011967	DNA photolyase	RSM		1.524630299
AAEL005788	cytochrome P450	RSM		1.51979267
AAEL014718	shoc2	RSM		1.517177199
AAEL004671	(s)-2-hydroxy-acid oxidase	RSM		1.516197678
AAEL012494	cytochrome P450	RSM		1.496587439
AAEL002005	cytochrome P450	RSM		1.446523258
AAEL011769	cytochrome P450	RSM		1.413847562
AAEL017061	Cytochrome p450, putative	RSM		1.315175187
AAEL003288	mitochondrial uncoupling protein, putative	RSM		1.300827742
AAEL010151	cytochrome P450	RSM		1.298788216
AAEL008532	carboxylesterase	RSM		1.259585565
AAEL000918	carboxylesterase	RSM		1.232588724
AAEL007987	SEC63 protein, putative	RSM		1.220217605
AAEL006815	cytochrome P450	RSM		1.20696159
AAEL012616	nadp transhydrogenase	RSM		1.173539222
AAEL014829	cytochrome P450	RSM		1.166474713
AAEL001312	cytochrome P450	RSM		1.162070376
AAEL004146	DNA photolyase	RSM		1.149333599
AAEL014605	cytochrome P450	RSM		1.139706506
AAEL010075	oxidoreductase	RSM		1.112766641
AAEL014615	cytochrome P450	RSM		1.106254405
AAEL011463	cytochrome P450	RSM		1.101381892
AAEL012832	cytochrome B561	RSM		1.096493083
AAEL001768	short-chain dehydrogenase	RSM		1.069263628
AAEL007473	cytochrome P450	RSM		1.040496771
AAEL002913	peroxisomal membrane protein 70 abcd3	RSM		1.03176974
AAEL007811	short-chain dehydrogenase	RSM		1.01670501
AAEL004527	mitochondrial ribosomal protein S7	RSM		1.01532049
AAEL013194	conserved hypothetical protein	RSM		1.01024752
AAEL013554	cytochrome P450	RSM		1.00631104
AAEL012491	cytochrome P450	RSM		1.001188542
AAEL001071	glutathione-s-transferase theta, gst	RSM		0.938539551
AAEL014612	cytochrome P450	RSM		0.932232881
AAEL008152	short-chain dehydrogenase	RSM		0.930143784
AAEL011016	carboxypeptidase m	RSM		0.901915554
AAEL013556	cytochrome P450	RSM		0.881909529
AAEL004357	neuroligin, putative	RSM		0.877390766
AAEL008889	cytochrome P450	RSM		0.864716731
AAEL008198	EGF repeat molecule, putative	RSM		0.863975174
AAEL006163	aldehyde oxidase	RSM		0.859145313
AAEL012836	cytochrome B561	RSM		0.855717403
AAEL014678	cytochrome P450	RSM		0.851851898
AAEL014890	cytochrome P450	RSM		0.848743836
AAEL013350	heat shock protein 26kD, putative	RSM		0.841349332
AAEL004755	3-2trans-enoyl-CoA isomerase, putative	RSM		0.839650446
AAEL002071	cytochrome P450	RSM		0.834984353
AAEL015041	mitochondrial carrier	RSM		0.83488446
AAEL002085	cytochrome P450	RSM		0.826792669
AAEL005771	cytochrome P450	RSM		0.82217458
AAEL009020	glutathione-s-transferase theta, gst	RSM		0.803174679
AAEL015663	cytochrome P450	RSM		0.802436092
AAEL012762	cytochrome P450	RSM		0.800330089
AAEL015655	cytochrome P450	RSM		0.798681897
AAEL006564	mitochondrial RNA splicing protein	RSM		0.790595261
AAEL002039	nadph oxidase	RSM		0.784175472
AAEL006824	cytochrome P450	RSM		-3.931227325
AAEL004054	cytochrome P450	RSM		-3.716355484
AAEL007046	mitochondrial brown fat uncoupling protein	RSM		-3.709229202
AAEL013852	conserved hypothetical protein	RSM		-3.660163649
AAEL017179	hypothetical protein	RSM		-3.279635915
AAEL008345	cytochrome P450	RSM		-2.748680551
AAEL013569	conserved hypothetical protein	RSM		-2.567773146
AAEL011184	mitochondrial phosphate carrier protein	RSM		-2.511692739
AAEL006262	mitochondrial carrier protein	RSM		-2.477700059
AAEL000898	carboxylesterase	RSM		-2.389588506
AAEL009685	oxidoreductase	RSM		-2.31803707
AAEL009882	retinoblastoma-binding protein 4 (rbbp4)	RSM		-2.200023436
AAEL007669	oxidoreductase	RSM		-2.167497225
AAEL004284	mitochondrial ATPase inhibitor, putative	RSM		-2.138324798
AAEL014616	cytochrome P450	RSM		-2.098919154
AAEL003204	conserved hypothetical protein	RSM		-2.058603414
AAEL014924	cytochrome P450	RSM		-2.013772751
AAEL004589	small calcium-binding mitochondrial carrier, putative	RSM		-1.974084783
AAEL012636	cytochrome b5, putative	RSM		-1.94716507
AAEL017098	hypothetical protein	RSM		-1.924650578
AAEL010226	daughterless	RSM		-1.844645972
AAEL012427	metabolic proces, oxidoreductase activity, oxidation reduction	RSM		-1.838147314
AAEL010023	conserved hypothetical protein	RSM		-1.827985464
AAEL003734	aconitase, mitochondrial	RSM		-1.784326109
AAEL012318	2-amino-3-ketobutyrate coenzyme a ligase	RSM		-1.773367003
AAEL012897	aconitase, mitochondrial	RSM		-1.768525815
AAEL013066	checkpoint kinase	RSM		-1.764757634
AAEL007010	cytochrome P450	RSM		-1.756328884
AAEL000593	mitochondrial 18 kda protein (mtp18)	RSM		-1.722573724
AAEL000905	carboxylesterase	RSM		-1.707444248
AAEL001865	NADH dehydrogenase, putative	RSM		-1.677373885
AAEL007024	cytochrome P450	RSM		-1.668645113
AAEL001807	cytochrome P450	RSM		-1.662583461
AAEL003961	short-chain dehydrogenase	RSM		-1.621277349
AAEL010382	aldehyde oxidase	RSM		-1.583374839
AAEL008392	conserved hypothetical protein	RSM		-1.582582989
AAEL014617	cytochrome P450	RSM		-1.579354074
AAEL014609	cytochrome P450	RSM		-1.488373683
AAEL002031	cytochrome P450	RSM		-1.433493924
AAEL003917	mitochondrial inner membrane protease subunit	RSM		-1.387984915
AAEL005305	conserved hypothetical protein	RSM		-1.342921115
AAEL005946	NADH-ubiquinone oxidoreductase subunit B14.5b	RSM		-1.335599327
AAEL011741	glutathione s-transferase	RSM		-1.329961424
AAEL015609	small calcium-binding mitochondrial carrier, putative	RSM		-1.326183621
AAEL011381	NADH-ubiquinone oxidoreductase fe-s protein 2 (ndufs2)	RSM		-1.295933108
AAEL011812	gonadotropin inducible transcription factor	RSM		-1.288040521
AAEL005707	gonadotropin inducible transcription factor	RSM		-1.269234549
AAEL013007	cytochrome c oxidase, subunit VB, putative	RSM		-1.267919256
AAEL001175	DNA photolyase	RSM		-1.26727706
AAEL002145	gonadotropin inducible transcription factor	RSM		-1.25674232
AAEL010002	mitochondrial import inner membrane translocase subunit tim17	RSM		-1.252984014
AAEL003234	cytochrome c oxidase, subunit VIA, putative	RSM		-1.220535219
AAEL011626	DNA cross-link repair protein pso2/snm1	RSM		-1.199092176
AAEL010634	hypothetical protein	RSM		-1.183587935
AAEL007947	glutathione-s-transferase theta, gst	RSM		-1.180739706
AAEL002881	NADH:ubiquinone dehydrogenase, putative	RSM		-1.159178226
AAEL010591	glutathione-s-transferase theta, gst	RSM		-1.14875197
AAEL017071	Alpha-esterase, putative	RSM		-1.148233283
AAEL006795	cytochrome P450	RSM		-1.145163028
AAEL010450	mitochondrial import inner membrane translocase subunit tim10	RSM		-1.143963758
AAEL013116	Mitochondrial 39S ribosomal protein L3	RSM		-1.141156029
AAEL008891	regulatory protein, putative	RSM		-1.139436901
AAEL003461	mitochondrial intermediate peptidase	RSM		-1.122101027
AAEL014845	heat shock protein	RSM		-1.116683024
AAEL007235	mitochondrial uncoupling protein	RSM		-1.116418992
AAEL008634	jnk	RSM		-1.112412605
AAEL015575	mitochondrial import inner membrane translocase subunit tim17	RSM		-1.099069457
AAEL000467	mitochondrial ribosomal protein, L49, putative	RSM		-1.096307002
AAEL004060	conserved hypothetical protein	RSM		-1.092708521
AAEL011090	complement component	RSM		-1.090896283
AAEL012740	ATPase subunit, putative	RSM		-1.089550276
AAEL008887	cytochrome c oxidase,-subunit VIb, putative	RSM		-1.082982984
AAEL011708	heat shock protein	RSM		-1.082576283
AAEL010157	microsomal glutathione s-transferase	RSM		-1.081052847
AAEL012845	mitochondrial import inner membrane translocase subunit tim44	RSM		-1.077141988
AAEL014607	cytochrome P450	RSM		-1.06723027
AAEL004457	cytochrome c	RSM		-1.054314358
AAEL011780	DNA mismatch repair protein muts	RSM		-1.032255545
AAEL004450	cytochrome b5, putative	RSM		-1.029171038
AAEL011281	cytochrome B561	RSM		-1.019601684
AAEL014614	cytochrome P450	RSM		-1.007872248
AAEL014250	insect replication protein a	RSM		-0.999704832
AAEL007948	glutathione-s-transferase theta, gst	RSM		-0.999681452
AAEL001845	short-chain dehydrogenase	RSM		-0.998606465
AAEL002813	coupling factor, putative	RSM		-0.997085365
AAEL013643	mitochondrial transcription factor A, putative	RSM		-0.995230404
AAEL008002	mitochondrial NADH:ubiquinone oxidoreductase ESSS subunit, putative	RSM		-0.978936179
AAEL014673	NADH:ubiquinone dehydrogenase, putative	RSM		-0.956035679
AAEL006230	gonadotropin inducible transcription factor	RSM		-0.949844755
AAEL015002	aldo-keto reductase	RSM		-0.945907634
AAEL001517	carboxylesterase	RSM		-0.944751218
AAEL008864	conserved hypothetical protein	RSM		-0.938376639
AAEL007681	NADH-ubiquinone oxidoreductase flavoprotein 1 (ndufv1)	RSM		-0.934706344
AAEL003170	mitochondrial translational initiation factor	RSM		-0.93439975
AAEL008072	NADH-plastoquinone oxidoreductase	RSM		-0.93439652
AAEL009218	mitochondrial carrier protein, putative	RSM		-0.92554046
AAEL006734	cytochrome oxidase biogenesis protein (oxa1 mitochondrial)	RSM		-0.920666992
AAEL014794	mitochondrial transcription factor A, putative	RSM		-0.905403563
AAEL002046	cytochrome P450	RSM		-0.900912746
AAEL013009	cytochrome c oxidase subunit iv	RSM		-0.899260112
AAEL008697	cytochrome c oxidase, subunit VB, putative	RSM		-0.89202942
AAEL001960	cytochrome P450	RSM		-0.880628122
AAEL012218	mitochondria associated granulocyte macrophage csf signaling molecule	RSM		-0.878881428
AAEL001424	mitochondrial inner membrane protease subunit	RSM		-0.869676821
AAEL002068	mitochondrial processing peptidase alpha subunit	RSM		-0.868385485
AAEL010677	oxidoreductase	RSM		-0.868220016
AAEL002612	hypothetical protein	RSM		-0.857470009
AAEL012408	mitochondrial ribosomal protein, L53, putative	RSM		-0.850778767
AAEL009692	signal transducer and activator of transcription	RSM		-0.844068479
AAEL014735	conserved hypothetical protein	RSM		-0.844049184
AAEL005170	cytochrome c oxidase subunit iv	RSM		-0.836585645
AAEL011871	cytochrome C1	RSM		-0.829980007
AAEL000889	carboxylesterase	RSM		-0.822392216
AAEL008159	short-chain dehydrogenase	RSM		-0.819605363
AAEL007951	glutathione-s-transferase theta, gst	RSM		-0.818828831
AAEL013560	mitochondrial ribosomal protein, L50, putative	RSM		-0.817504971
AAEL007001	mitochondrial import receptor subunit tom40	RSM		-0.812365166
AAEL009078	NADH-ubiquinone oxidoreductase sgdh subunit	RSM		-0.803383686
AAEL014893	cytochrome P450	RSM		-0.797722301
AAEL015578	alpha-esterase	RSM		-0.795901519
AAEL014630	cytochrome C1 heme lyase	RSM		-0.794404195
AAEL012552	NADH-ubiquinone oxidoreductase	RSM		-0.783653084
AAEL000301	heat shock protein	RSM		-0.781509853
AAEL009351	thioredoxin, putative	RSM		-0.781389334
AAEL014608	cytochrome P450	RSM		-0.777118472
AAEL008050	negative regulation of translation, rRNA n-glycosylate activity	RTT		2.449774125
AAEL001864	Eukaryotic translation initiation factor 4E binding protein (4EBP)	RTT		2.448195061
AAEL017785	MiRNA  is single stranded RNA, typically 21-23 base pairs long, that is thought to be invovled in gene regulation (especially inhibition of protein expression). NO protein product	RTT		2.03334086
AAEL002853	ccaat/enhancer binding protein	RTT		1.824458732
AAEL016053	tRNA-Ala	RTT		1.768002149
AAEL003173	forkhead protein/ forkhead protein domain	RTT		1.700120687
AAEL003646	conserved hypothetical protein	RTT		1.67924041
AAEL003163	forkhead protein/ forkhead protein domain	RTT		1.623149733
AAEL012684	conserved hypothetical protein	RTT		1.620655251
AAEL011056	transcription factor HES-1 (Hairy and enhancer of split 1), putative	RTT		1.614063617
AAEL007400	signal recognition particle 54 kda protein	RTT		1.605872145
AAEL007779	hypothetical protein	RTT		1.603257711
AAEL000194	phosphatidylinositol 4-kinase	RTT		1.598751421
AAEL015111	hypothetical protein	RTT		1.590417963
AAEL017368	conserved hypothetical protein	RTT		1.480556086
AAEL000794	eukaryotic translation initiation factor 3 subunit (eif-3)	RTT		1.45109245
AAEL005856	signal recognition particle receptor alpha subunit (sr-alpha)	RTT		1.404144642
AAEL005032	conserved hypothetical protein	RTT		1.317672618
AAEL016172	tRNA-Ala	RTT		1.296326656
AAEL014262	translation initiation factor eif-2b alpha subunit	RTT		1.243804673
AAEL001177	signal recognition particle, 14kD, putative	RTT		1.23457185
AAEL013076	signal recognition particle 54 kda protein	RTT		1.213595413
AAEL015049	60S ribosomal protein L35	RTT		1.199495268
AAEL005004	hypothetical protein	RTT		1.196454165
AAEL017106	hypothetical protein	RTT		1.187635709
AAEL010354	homeobox protein nk-2	RTT		1.120161493
