Gene Symbol	Gene Title	Row_Column	log2 Par4	log2 emptyvector_control	log2 (Par4/vector)	abs fold-change	10%FDR	5%FDR	1%FDR	Alignments	RefSeq Protein ID	RefSeq Transcript ID	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Pathway
FLJ36644	hypothetical gene supported by AK093963	344_59	-0.797277643	-0.223656285	-0.573621358	1.488254605	yes	yes	yes	chr17:65674696-65677138 (-) // 97.42 // q24.3	---	---	---	---	---	---
LOC375295	hypothetical gene supported by BC013438	219_107	0.552489097	-0.046513441	0.599002538	1.514668981	yes	yes	yes	chr2:177202563-177210548 (-) // 79.92 // q31.1	XP_374020.3 /// XP_949459.1	XM_374020 /// XM_944366	---	---	---	---
LOC401351 /// LOC401354	hypothetical gene supported by BC040831 /// hypothetical gene supported by BC040831	178_22	0.367751057	0.928242281	-0.560491224	1.474771278	yes	yes	yes	chr7:62447512-62447963 (+) // 89.25 // q11.21 /// chr7:62495776-62496227 (-) // 89.25 // q11.21	XP_379843.1 /// XP_931689.1 /// XP_940572.1 /// XP_940885.1 /// XP_943531.1 /// XP_948765.1	XM_379843 /// XM_926596 /// XM_935479 /// XM_935792 /// XM_938438 /// XM_943672 /// XR_001063 /// XR_001064 /// XR_001102 /// XR_001103	---	---	---	---
LOC284184	hypothetical LOC284184	244_33	-0.70785781	0.152583052	-0.860440862	1.815593038	yes	yes	yes	chr17:76827633-76829676 (+) // 94.6 // q25.3	XP_211367.1 /// XP_939713.1 /// XP_939714.1 /// XP_951335.1 /// XP_951336.1	XM_211367 /// XM_934620 /// XM_934621 /// XM_946242 /// XM_946243	---	---	---	---
LOC388610	hypothetical LOC388610	62_94	0.756372074	2.357985427	-1.601613354	3.034825055	yes	yes	yes	chr1:27199094-27199963 (+) // 98.19 // p36.11	NP_001013664.1	NM_001013642	---	---	---	---
LOC401397	hypothetical LOC401397	361_58	-0.183881658	0.706995247	-0.890876905	1.854302872	yes	yes	yes	chr7:112544013-112545863 (-) // 84.23 // q31.1	---	---	---	---	---	---
LOC93349	hypothetical protein BC004921	380_72	1.500760556	0.621538199	0.879222357	1.839383568	yes	yes	yes	chr2:230943864-230976690 (+) // 77.13 // q37.1	NP_612411.3	NM_138402	---	5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation	---
FLJ14213	hypothetical protein FLJ14213	312_90	-1.22956623	-0.587190312	-0.642375918	1.560897625	yes	yes	yes	chr11:36433414-36441799 (+) // 96.81 // p12	NP_079117.2	NM_024841	---	---	---	---
FLJ32745	hypothetical protein FLJ32745	355_19	1.71970038	0.721532577	0.998167803	1.997461647	yes	yes	yes	chr2:108798826-108859609 (+) // 99.79 // q13	NP_659415.1	NM_144978	---	---	5488 // binding // inferred from electronic annotation	---
FLJ90013	hypothetical protein FLJ90013	348_95	-0.088959645	0.619018662	-0.707978307	1.63351342	yes	yes	yes	chr4:15772011-15773159 (-) // 98.88 // p15.32	NP_699196.1	NM_153365	---	16021 // integral to membrane // traceable author statement	4872 // receptor activity // inferred from electronic annotation /// 16520 // growth hormone-releasing hormone receptor activity // traceable author statement	---
LOC124512	hypothetical protein LOC124512	160_11	-0.081668828	-0.729315724	0.647646897	1.566610895	yes	yes	yes	chr17:72234525-72241556 (+) // 97.31 // q25.2	XP_497558.2 /// XP_946055.1	XM_497558 /// XM_940962	---	---	---	---
LOC134145	hypothetical protein LOC134145	88_92	-0.343857738	0.673886838	-1.017744576	2.024751108	yes	yes	yes	chr5:10278898-10303014 (-) // 61.01 // p15.2	NP_954584.1	NM_199133	---	---	8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 8168 // methyltransferase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	Integrin-mediated_cell_adhesion_KEGG // GenMAPP /// Integrin-mediated_cell_adhesion_KEGG // GenMAPP
LOC144233	Hypothetical protein LOC144233	300_3	2.720762727	1.024406534	1.696356193	3.240813935	yes	yes	yes	chr12:48508772-48518692 (+) // 83.76 // q13.13	NP_859059.1	NM_181708	---	---	---	---
LOC254808	hypothetical protein LOC254808	339_45	-0.765215352	-0.221911933	-0.54330342	1.457305574	yes	yes	yes	chr3:195500117-195513286 (-) // 59.62 // q29	---	---	---	---	---	---
LOC256273	hypothetical protein LOC256273	85_14	0.131826426	0.680174702	-0.548348275	1.46241044	yes	yes	yes	chr11:8590162-8591659 (-) // 72.14 // p15.4	---	---	---	---	---	---
LOC283824	hypothetical protein LOC283824	113_89	-0.616093629	-1.416533726	0.800440097	1.741632334	yes	yes	yes	chr16:17103257-17107622 (-) // 88.73 // p12.3	---	---	---	---	---	---
LOC285148	hypothetical protein LOC285148	362_13	0.068154002	-0.486596907	0.554750909	1.468914994	yes	yes	yes	chr2:9532437-9546720 (+) // 95.57 // p25.1	NP_001034702.1	NM_001039613	6629 // lipid metabolism // inferred from electronic annotation	---	16787 // hydrolase activity // inferred from electronic annotation /// 16788 // hydrolase activity, acting on ester bonds // inferred from electronic annotation	---
LOC286109	hypothetical protein LOC286109	239_107	0.880955379	0.174910384	0.706044995	1.631325864	yes	yes	yes	chr8:141605948-141606493 (-) // 100.0 // q24.3	---	---	---	---	---	---
LOC440345	hypothetical protein LOC440345	277_100	0.125157629	0.743155996	-0.617998366	1.534744358	yes	yes	yes	chr16:22430851-22433328 (+) // 61.34 // p12.1 /// chr16:28555390-28671999 (+) // 57.58 // p11.2 /// chr16:14708531-14711006 (+) // 56.06 // p13.11 /// chr16:14747653-14750128 (+) // 56.06 // p13.11 /// chr16:28556658-28557888 (+) // 24.67 // p11.2 /// chr	XP_496125.2 /// XP_934619.1 /// XP_938800.1 /// XP_938802.1 /// XP_938809.1 /// XP_938810.1 /// XP_938812.1 /// XP_938815.1 /// XP_938817.1 /// XP_938820.1 /// XP_938824.1 /// XP_938835.1	XM_496125 /// XM_929526 /// XM_933707 /// XM_933709 /// XM_933716 /// XM_933717 /// XM_933719 /// XM_933722 /// XM_933724 /// XM_933727 /// XM_933731 /// XM_933742	---	---	---	---
LOC641700	Hypothetical protein LOC641700	149_92	-0.131410064	0.463189179	-0.594599243	1.51005306	yes	yes	yes	chr5:138812147-138822498 (-) // 36.36 // q31.2	XP_935701.1 /// XP_949170.1	XM_930608 /// XM_944077	---	---	---	---
LOC641845 /// LOC647087	hypothetical protein LOC641845 /// hypothetical protein LOC647087	13_91	-0.037150866	0.539415369	-0.576566235	1.491295582	yes	yes	yes	chr7:134997780-135011700 (+) // 70.48 // q33	XP_935194.1 /// XP_940679.1 /// XP_943943.1	XM_930101 /// XM_935586 /// XM_938850	---	---	---	---
LOC641941 /// LOC645176	hypothetical protein LOC641941 /// hypothetical protein LOC645176	236_103	0.660982909	-0.124776049	0.785758957	1.723999023	yes	yes	yes	chr7:155957555-155958057 (-) // 80.31 // q36.3	XP_933303.1 /// XP_940794.1 /// XP_943691.1	XM_928210 /// XM_935701 /// XM_938598	---	---	---	---
LOC643194	hypothetical protein LOC643194	159_60	0.470852951	1.153289026	-0.682436075	1.604847347	yes	yes	yes	chr2:161788015-161815882 (-) // 97.89 // q24.2	XP_936489.1 /// XP_948923.1	XM_931396 /// XM_943830	---	---	---	---
LOC648987	hypothetical protein LOC648987	111_24	0.344196376	-0.252267375	0.596463751	1.512005881	yes	yes	yes	chr5:43051907-43053960 (-) // 98.7 // p12	XP_943160.1	XM_938067	---	---	---	---
MGC5370	hypothetical protein MGC5370	132_51	1.307842647	0.545782815	0.762059831	1.695910261	yes	yes	yes	chr12:67522502-67524310 (+) // 94.67 // q15	---	---	---	---	---	---
MGC61571	hypothetical protein MGC61571	69_19	1.279236766	0.597278869	0.681957897	1.604315513	yes	yes	yes	chr3:28258158-28336268 (+) // 91.54 // p24.1	NP_872329.1	NM_182523	---	---	---	---
IGSF10	immunoglobulin superfamily, member 10	213_107	-0.6621387	-1.255857109	0.593718409	1.509131382	yes	yes	yes	chr3:152636470-152637327 (-) // 98.62 // q25.1	NP_849144.2	NM_178822	6468 // protein amino acid phosphorylation // inferred from electronic annotation	---	5021 // vascular endothelial growth factor receptor activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation	---
IGSF4B	immunoglobulin superfamily, member 4B /// immunoglobulin superfamily, member 4B	297_61	-0.270469021	0.477664809	-0.74813383	1.679618787	yes	yes	yes	chr1:157408043-157438425 (+) // 99.21 // q23.2	NP_067012.1	NM_021189	7155 // cell adhesion // inferred from electronic annotation /// 7156 // homophilic cell adhesion // inferred from sequence or structural similarity /// 7157 // heterophilic cell adhesion // inferred from sequence or structural similarity	5911 // intercellular junction // inferred from sequence or structural similarity /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	5509 // calcium ion binding // inferred from electronic annotation /// 5515 // protein binding // inferred from sequence or structural similarity /// 42803 // protein homodimerization activity // inferred from sequence or structural similarity /// 5515 // protein binding // inferred from electronic annotation	---
ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	342_102	-0.46210288	0.858241931	-1.320344811	2.497257883	yes	yes	yes	chr2:8739636-8741385 (+) // 99.38 // p25.1 /// chr3:62084796-62085432 (-) // 93.91 // p14.2	NP_002157.2	NM_002166	7275 // development // traceable author statement /// 16481 // negative regulation of transcription // inferred from direct assay /// 43433 // negative regulation of transcription factor activity // inferred from direct assay /// 7275 // development // inferred from electronic annotation /// 45449 // regulation of transcription // inferred from electronic annotation	5634 // nucleus // Unknown /// 5634 // nucleus // inferred from electronic annotation	5515 // protein binding // inferred from physical interaction /// 16564 // transcriptional repressor activity // inferred from direct assay /// 30528 // transcription regulator activity // inferred from electronic annotation	---
ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	55_60	-0.197394977	0.637470139	-0.834865116	1.783690266	yes	yes	yes	chr1:23757018-23758556 (-) // 92.46 // p36.12	NP_002158.2	NM_002167	7275 // development // traceable author statement /// 16481 // negative regulation of transcription // inferred from direct assay /// 43433 // negative regulation of transcription factor activity // inferred from direct assay /// 45449 // regulation of transcription // inferred from electronic annotation	5634 // nucleus // Unknown /// 5634 // nucleus // inferred from electronic annotation	3714 // transcription corepressor activity // traceable author statement /// 16564 // transcriptional repressor activity // inferred from direct assay /// 30528 // transcription regulator activity // inferred from electronic annotation	---
ING1	Inhibitor of growth family, member 1	13_37	-0.050790337	0.499242625	-0.550032963	1.464119148	yes	yes	yes	chr13:110160835-110163857 (-) // 85.62 // q34	NP_005528.3 /// NP_937860.1 /// NP_937861.1 /// NP_937862.1	NM_005537 /// NM_198217 /// NM_198218 /// NM_198219	6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 7049 // cell cycle // inferred from electronic annotation /// 8285 // negative regulation of cell proliferation // traceable author statement /// 30308 // negative regulation of cell growth // non-traceable author statement /// 45786 // negative regulation of progression through cell cycle // inferred from electronic annotation /// 6423 // cysteinyl-tRNA aminoacylation // inferred from electronic annotation	5634 // nucleus // non-traceable author statement	5515 // protein binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 4817 // cysteine-tRNA ligase activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 4812 // aminoacyl-tRNA ligase activity // inferred from electronic annotation	---
ITPKA	inositol 1,4,5-trisphosphate 3-kinase A	90_21	-0.371965299	0.25494698	-0.626912279	1.544256367	yes	yes	yes	chr15:39573413-39583037 (+) // 92.87 // q15.1	NP_002211.1	NM_002220	7165 // signal transduction // traceable author statement	---	166 // nucleotide binding // inferred from electronic annotation /// 5516 // calmodulin binding // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 8440 // inositol trisphosphate 3-kinase activity // traceable author statement /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 8440 // inositol trisphosphate 3-kinase activity // inferred from electronic annotation	Inositol phosphate metabolism // KEGG /// Calcium signaling pathway // KEGG /// Phosphatidylinositol signaling system // KEGG
IMPAD1	inositol monophosphatase domain containing 1	370_70	0.2275402	-0.488990462	0.716530662	1.643225713	yes	yes	yes	chr8:58038618-58068981 (-) // 95.08 // q12.1	NP_060283.2	NM_017813	---	---	4437 // inositol or phosphatidylinositol phosphatase activity // inferred from electronic annotation	---
INPP5B	inositol polyphosphate-5-phosphatase, 75kDa	146_43	0.855732489	1.756381469	-0.90064898	1.8669056	yes	yes	yes	chr1:38100057-38170008 (-) // 89.91 // p34.3	NP_005531.1	NM_005540	7165 // signal transduction // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation /// 16021 // integral to membrane // non-traceable author statement	4439 // phosphoinositide 5-phosphatase activity // inferred from electronic annotation /// 4445 // inositol-polyphosphate 5-phosphatase activity // non-traceable author statement /// 16787 // hydrolase activity // inferred from electronic annotation /// 4437 // inositol or phosphatidylinositol phosphatase activity // inferred from electronic annotation	Inositol phosphate metabolism // KEGG /// Phosphatidylinositol signaling system // KEGG
IRS1	insulin receptor substrate 1	91_76	1.329016948	0.734799747	0.594217201	1.509653233	yes	yes	yes	chr2:227308181-227372719 (-) // 97.31 // q36.3	NP_005535.1	NM_005544	7165 // signal transduction // traceable author statement /// 8286 // insulin receptor signaling pathway // inferred from physical interaction /// 48009 // insulin-like growth factor receptor signaling pathway // inferred from physical interaction /// 7165 // signal transduction // inferred from electronic annotation	5634 // nucleus // inferred from sequence or structural similarity /// 5737 // cytoplasm // inferred from sequence or structural similarity /// 5792 // microsome // inferred from sequence or structural similarity /// 5737 // cytoplasm // traceable author	4871 // signal transducer activity // traceable author statement /// 5069 // transmembrane receptor protein tyrosine kinase docking protein activity // traceable author statement /// 5158 // insulin receptor binding // inferred from physical interaction /// 5159 // insulin-like growth factor receptor binding // inferred from physical interaction /// 5515 // protein binding // inferred from physical interaction /// 42169 // SH2 domain binding // inferred from sequence or structural similarity /// 43548 // phosphoinositide 3-kinase binding // inferred from physical interaction /// 43548 // phosphoinositide 3-kinase binding // inferred from sequence or structural similarity /// 5515 // protein binding // inferred from direct assay /// 4871 // signal transducer activity // inferred from electronic annotation /// 5158 // insulin receptor binding // inferred from electronic annotation	---
IGF1R	Insulin-like growth factor 1 receptor	109_1	0.29907133	1.707225225	-1.408153895	2.653973371	yes	yes	yes	chr15:97010284-97320622 (+) // 97.53 // q26.3	NP_000866.1	NM_000875	74 // regulation of progression through cell cycle // traceable author statement /// 6916 // anti-apoptosis // traceable author statement /// 7165 // signal transduction // traceable author statement /// 8284 // positive regulation of cell proliferation // traceable author statement /// 8286 // insulin receptor signaling pathway // traceable author statement /// 46777 // protein amino acid autophosphorylation // inferred from direct assay /// 48009 // insulin-like growth factor receptor signaling pathway // inferred from direct assay /// 51262 // protein tetramerization // inferred from direct assay /// 6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 7169 // transmembrane receptor protein tyrosine kinase signaling pathway // inferred from electronic annotation	5887 // integral to plasma membrane // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 4872 // receptor activity // inferred from electronic annotation /// 5006 // epidermal growth factor receptor activity // inferred from electronic annotation /// 5010 // insulin-like growth factor receptor activity // inferred from direct assay /// 5520 // insulin-like growth factor binding // inferred from direct assay /// 5524 // ATP binding // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 43548 // phosphoinositide 3-kinase binding // inferred from physical interaction /// 43560 // insulin receptor substrate binding // inferred from physical interaction /// 5515 // protein binding // inferred from physical interaction /// 4713 // protein-tyrosine kinase activity // inferred from direct assay /// 4672 // protein kinase activity // inferred from electronic annotation /// 4713 // protein-tyrosine kinase activity // inferred from electronic annotation /// 4714 // transmembrane receptor protein tyrosine kinase activity // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 5010 // insulin-like growth factor receptor activity // traceable author statement	Calcium signaling pathway // KEGG /// Cytokine-cytokine receptor interaction // KEGG /// Apoptosis // KEGG /// Dorso-ventral axis formation // KEGG /// Axon guidance // KEGG /// VEGF signaling pathway // KEGG /// Focal adhesion // KEGG /// Adherens junction // KEGG /// Gap junction // KEGG /// Hematopoietic cell lineage // KEGG /// Long-term depression // KEGG /// Regulation of actin cytoskeleton // KEGG /// Insulin signaling pathway // KEGG /// GnRH signaling pathway // KEGG /// Type II diabetes mellitus // KEGG /// Dentatorubropallidoluysian atrophy (DRPLA) // KEGG /// Epithelial cell signaling in Helicobacter pylori // KEGG /// Colorectal cancer // KEGG
IGF2	Insulin-like growth factor 2 (somatomedin A)	345_78	-3.229204839	-2.11281055	-1.11639429	2.168044381	yes	yes	yes	chr16:79218952-79219777 (-) // 78.48 // q23.2	NP_000603.1 /// NP_001007140.2	NM_000612 /// NM_001007139	74 // regulation of progression through cell cycle // inferred from electronic annotation /// 1501 // skeletal development // traceable author statement /// 6349 // imprinting // traceable author statement /// 7275 // development // traceable author statement /// 7582 // physiological process // inferred from electronic annotation /// 8283 // cell proliferation // inferred from electronic annotation /// 8286 // insulin receptor signaling pathway // traceable author statement /// 6333 // chromatin assembly or disassembly // inferred from electronic annotation /// 8152 // metabolism // inferred from electronic annotation	5576 // extracellular region // inferred from electronic annotation /// 785 // chromatin // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation	5159 // insulin-like growth factor receptor binding // traceable author statement /// 5179 // hormone activity // inferred from electronic annotation /// 5520 // insulin-like growth factor binding // non-traceable author statement /// 8083 // growth factor activity // inferred from electronic annotation /// 18445 // prothoracicotrophic hormone activity // inferred from electronic annotation /// 3682 // chromatin binding // inferred from electronic annotation /// 3824 // catalytic activity // inferred from electronic annotation	---
IGF2BP3	insulin-like growth factor 2 mRNA binding protein 3	213_87	0.354714327	0.924269571	-0.569555244	1.48406599	yes	yes	yes	chr7:23419387-23476504 (-) // 69.77 // p15.3	NP_006538.2	NM_006547	6396 // RNA processing // traceable author statement /// 6412 // protein biosynthesis // traceable author statement /// 9653 // morphogenesis // traceable author statement	5737 // cytoplasm // traceable author statement	166 // nucleotide binding // inferred from electronic annotation /// 3723 // RNA binding // traceable author statement /// 3676 // nucleic acid binding // inferred from electronic annotation /// 3723 // RNA binding // inferred from electronic annotation	---
IGFBP6	insulin-like growth factor binding protein 6	41_83	-0.467364249	1.01202908	-1.479393329	2.788314565	yes	yes	yes	chr12:51777715-51782391 (+) // 94.96 // q13.13	NP_002169.1	NM_002178	1558 // regulation of cell growth // inferred from electronic annotation /// 7165 // signal transduction // non-traceable author statement /// 8285 // negative regulation of cell proliferation // traceable author statement /// 6629 // lipid metabolism // inferred from electronic annotation /// 8202 // steroid metabolism // inferred from electronic annotation /// 8203 // cholesterol metabolism // inferred from electronic annotation /// 8203 // cholesterol metabolism // traceable author statement	5576 // extracellular region // inferred from electronic annotation /// 5615 // extracellular space // not recorded /// 5783 // endoplasmic reticulum // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 1	5520 // insulin-like growth factor binding // inferred from electronic annotation /// 4772 // sterol O-acyltransferase activity // inferred from electronic annotation /// 8415 // acyltransferase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 19838 // growth factor binding // inferred from electronic annotation /// 8415 // acyltransferase activity // traceable author statement	Smooth_muscle_contraction // GenMAPP
ITGB4	integrin, beta 4	361_1	1.622191331	3.196157881	-1.57396655	2.977221481	yes	yes	yes	chr17:71229171-71265494 (+) // 95.79 // q25.1	NP_000204.3 /// NP_001005619.1 /// NP_001005731.1	NM_000213 /// NM_001005619 /// NM_001005731	7154 // cell communication // inferred from electronic annotation /// 7155 // cell adhesion // non-traceable author statement /// 7160 // cell-matrix adhesion // inferred from electronic annotation /// 7229 // integrin-mediated signaling pathway // inferred from electronic annotation /// 7275 // development // inferred from electronic annotation /// 7155 // cell adhesion // inferred from electronic annotation	8305 // integrin complex // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation /// 8305 // integrin complex // inferred from electronic annotatio	4872 // receptor activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 5515 // protein binding // inferred from electronic annotation	Integrin-mediated_cell_adhesion_KEGG // GenMAPP
ITIH2	inter-alpha (globulin) inhibitor H2	302_55	-2.968480946	-1.563163222	-1.405317724	2.648761092	yes	yes	yes	chr10:7785340-7831488 (+) // 99.9 // p14	NP_002207.2	NM_002216	30212 // hyaluronan metabolism // inferred from electronic annotation	5576 // extracellular region // non-traceable author statement	4867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation /// 4866 // endopeptidase inhibitor activity // inferred from electronic annotation /// 4866 // endopeptidase inhibitor activity // traceable author statement	---
IFITM1	interferon induced transmembrane protein 1 (9-27)	311_60	-1.109999616	0.108321794	-1.21832141	2.326758391	yes	yes	yes	chr11:304061-305272 (+) // 98.92 // p15.5	NP_003632.2	NM_003641	74 // regulation of progression through cell cycle // traceable author statement /// 6955 // immune response // inferred from electronic annotation /// 7166 // cell surface receptor linked signal transduction // traceable author statement /// 8285 // negative regulation of cell proliferation // traceable author statement /// 9607 // response to biotic stimulus // inferred from electronic annotation	5886 // plasma membrane // traceable author statement /// 16021 // integral to membrane // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation	5057 // receptor signaling protein activity // traceable author statement /// 5515 // protein binding // inferred from physical interaction	---
IFITM2	interferon induced transmembrane protein 2 (1-8D)	356_12	1.695304114	2.495728789	-0.800424675	1.741613716	yes	yes	yes	chr11:297914-299392 (+) // 98.45 // p15.5	NP_006426.1	NM_006435	6955 // immune response // traceable author statement /// 9607 // response to biotic stimulus // inferred from electronic annotation /// 6955 // immune response // inferred from electronic annotation	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	5515 // protein binding // inferred from physical interaction	---
IFITM3	interferon induced transmembrane protein 3 (1-8U)	46_19	1.530827518	2.418160796	-0.887333278	1.84975382	yes	yes	yes	chr11:309676-310900 (-) // 94.89 // p15.5	NP_066362.1	NM_021034	6955 // immune response // traceable author statement /// 9607 // response to biotic stimulus // inferred from electronic annotation /// 6955 // immune response // inferred from electronic annotation	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	---	---
IRF2	Interferon regulatory factor 2	189_85	-0.650259611	-0.113197723	-0.537061888	1.451014452	yes	yes	yes	chr4:185614234-185614756 (-) // 73.23 // q35.1	NP_002190.1	NM_002199	122 // negative regulation of transcription from RNA polymerase II promoter // traceable author statement /// 6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 6955 // immune response // inferred from electronic annotation /// 8283 // cell proliferation // traceable author statement	5634 // nucleus // inferred from electronic annotation	3700 // transcription factor activity // inferred from electronic annotation /// 3702 // RNA polymerase II transcription factor activity // traceable author statement /// 3677 // DNA binding // inferred from electronic annotation	Apoptosis // GenMAPP
IRF2BP2	interferon regulatory factor 2 binding protein 2	176_61	-0.364999665	-0.950165111	0.585165446	1.500211022	yes	yes	yes	chr1:232806637-232811424 (-) // 97.01 // q42.3	NP_892017.1	NM_182972	---	---	5515 // protein binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation	---
IFI35	interferon-induced protein 35	206_66	-0.057338698	0.507582442	-0.564921141	1.479306646	yes	yes	yes	chr17:38412350-38419998 (+) // 97.65 // q21.31	NP_005524.1	NM_005533	6955 // immune response // non-traceable author statement /// 9615 // response to virus // non-traceable author statement /// 6955 // immune response // inferred from electronic annotation	5634 // nucleus // inferred from direct assay /// 5634 // nucleus // inferred from electronic annotation	5515 // protein binding // inferred from physical interaction	---
IFIT2	interferon-induced protein with tetratricopeptide repeats 2	375_60	-0.534500533	0.260187565	-0.794688098	1.734702302	yes	yes	yes	chr10:91057189-91059012 (+) // 99.18 // q23.31	NP_001538.3	NM_001547	6955 // immune response // inferred from electronic annotation	---	5488 // binding // inferred from electronic annotation	---
IFRD1	interferon-related developmental regulator 1	361_88	0.856916885	0.146178	0.710738885	1.636642119	yes	yes	yes	chr7:111877750-111903483 (+) // 95.85 // q31.1	NP_001007246.1 /// NP_001541.2	NM_001007245 /// NM_001550	7518 // myoblast cell fate determination // traceable author statement /// 30154 // cell differentiation // inferred from electronic annotation /// 7275 // development // inferred from electronic annotation	---	5488 // binding // inferred from electronic annotation	Hypertrophy_model // GenMAPP
ISGF3G	interferon-stimulated transcription factor 3, gamma 48kDa	143_28	-0.867112222	-0.123524054	-0.743588168	1.674334951	yes	yes	yes	chr14:23701189-23705612 (+) // 96.53 // q12	NP_006075.3	NM_006084	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 6366 // transcription from RNA polymerase II promoter // traceable author statement /// 6955 // immune response // inferred from electronic annotation /// 7166 // cell surface receptor linked signal transduction // traceable author statement /// 9615 // response to virus // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // traceable author statement /// 5737 // cytoplasm // traceable author statement /// 5634 // nucleus // inferred from electronic annotation	3700 // transcription factor activity // traceable author statement /// 5515 // protein binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation	---
IL1RN	interleukin 1 receptor antagonist	80_29	0.006419765	1.217166733	-1.210746968	2.314574449	yes	yes	yes	chr2:113601640-113608064 (+) // 89.78 // q13	NP_000568.1 /// NP_776213.1 /// NP_776214.1 /// NP_776215.1	NM_000577 /// NM_173841 /// NM_173842 /// NM_173843	6954 // inflammatory response // not recorded /// 6955 // immune response // inferred from electronic annotation /// 6955 // immune response // non-traceable author statement	5576 // extracellular region // inferred from electronic annotation /// 5615 // extracellular space // traceable author statement /// 5622 // intracellular // non-traceable author statement /// 5622 // intracellular // not recorded	5152 // interleukin-1 receptor antagonist activity // traceable author statement /// 5149 // interleukin-1 receptor binding // inferred from electronic annotation /// 5152 // interleukin-1 receptor antagonist activity // inferred from electronic annotation	---
IL1R2	interleukin 1 receptor, type II	298_55	0.3309415	0.897295372	-0.566353871	1.480776465	yes	yes	yes	chr2:101991408-102007650 (+) // 99.9 // q11.2	NP_004624.1 /// NP_775465.1	NM_004633 /// NM_173343	6955 // immune response // traceable author statement	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	4872 // receptor activity // inferred from electronic annotation /// 4910 // interleukin-1, Type II, blocking receptor activity // inferred from electronic annotation /// 4908 // interleukin-1 receptor activity // inferred from electronic annotation /// 4908 // interleukin-1 receptor activity // traceable author statement	---
ISG15	ISG15 ubiquitin-like modifier	51_6	1.467016094	3.506194466	-2.039178372	4.110113892	yes	yes	yes	chr1:938741-939782 (+) // 99.37 // p36.33	NP_005092.1	NM_005101	6512 // ubiquitin cycle // inferred from direct assay /// 6955 // immune response // inferred from electronic annotation /// 7267 // cell-cell signaling // non-traceable author statement /// 9615 // response to virus // inferred from electronic annotation /// 32020 // ISG15-protein conjugation // inferred from direct assay /// 6464 // protein modification // inferred from electronic annotation /// 6512 // ubiquitin cycle // inferred from electronic annotation	5615 // extracellular space // non-traceable author statement /// 5737 // cytoplasm // non-traceable author statement	5515 // protein binding // non-traceable author statement	---
