gene_assignment	Gene Symbol	RefSeq	p-value(dose)	p-value(Scan Date)	alt-splicing(dose)	step-up(altsplice-dose)	Mean(0)	LSMean(0)	Mean(10)	LSMean(10)	p-value(0 vs. 10)	Ratio(0 vs. 10)	Fold-Change(0 vs. 10)	Fold-Change(0 vs. 10) (Description)
NM_173798 // ZCCHC12 // zinc finger, CCHC domain containing 12 // Xq24 // 170261	ZCCHC12	NM_173798	0.158267	0.104206	0.00636773	0.4916422	4.28138	4.26982	4.50663	4.47955	0.198959	0.864696	-1.15648	0 down vs 10
NM_173656 // ZNF619 // zinc finger protein 619 // 3p22.1 // 285267 /// ENST00000	ZNF619	NM_173656	0.973653	0.222257	0.00639711	0.4916422	6.57947	6.60458	6.57535	6.57758	0.835314	1.01889	1.01889	0 up vs 10
NM_004505 // USP6 // ubiquitin specific peptidase 6 (Tre-2 oncogene) // 17p13 //	USP6	NM_004505	0.366559	0.425585	0.00641384	0.4916422	4.90438	4.92794	5.02789	5.04562	0.405151	0.921668	-1.08499	0 down vs 10
NM_001010909 // MUC21 // mucin 21, cell surface associated // 6p21.32 // 394263	MUC21	NM_001010909	0.0273934	0.271593	0.00651908	0.4938051	5.18504	5.17864	5.4651	5.45436	0.0334812	0.826041	-1.21059	0 down vs 10
NM_021225 // PROL1 // proline rich, lacrimal 1 // 4q13.3 // 58503 /// ENST000003	PROL1	NM_021225	0.698889	0.640735	0.0065244	0.4938051	4.17564	4.1706	4.09693	4.05558	0.588918	1.08299	1.08299	0 up vs 10
NM_030883 // OR2H1 // olfactory receptor, family 2, subfamily H, member 1 // 6p2	OR2H1	NM_030883	0.0564351	0.262604	0.00652795	0.4938051	4.41636	4.43999	4.69235	4.69135	0.0842851	0.840103	-1.19033	0 down vs 10
NM_178835 // ZNF827 // zinc finger protein 827 // 4q31.22 // 152485 /// ENST0000	ZNF827	NM_178835	0.0634033	0.00827452	0.00669961	0.5045772	8.9334	9.01191	8.72919	8.80153	0.0651357	1.157	1.157	0 up vs 10
NR_003608 // MGC16703 // tubulin, alpha pseudogene // 22q11.21 // 113691 /// BC0	MGC16703	NR_003608	0.0580769	0.112935	0.00674256	0.5056041	5.14562	5.1112	5.46227	5.42544	0.0671082	0.804277	-1.24335	0 down vs 10
NM_020859 // SHROOM3 // shroom family member 3 // 4q21.1 // 57619 /// ENST000002	SHROOM3	NM_020859	0.533953	0.00226292	0.00679269	0.5071581	5.93869	5.98679	5.88144	5.90029	0.374558	1.06179	1.06179	0 up vs 10
NM_005565 // LCP2 // lymphocyte cytosolic protein 2 (SH2 domain containing leuko	LCP2	NM_005565	0.000108451	8.14E-05	0.00686834	0.5093275	8.16383	8.22798	7.65266	7.71531	0.000132451	1.42668	1.42668	0 up vs 10
NM_004822 // NTN1 // netrin 1 // 17p13-p12 // 9423 /// ENST00000173229 // NTN1 /	NTN1	NM_004822	0.187515	0.459148	0.00690177	0.5093275	7.41399	7.39954	7.68424	7.63816	0.253253	0.84756	-1.17986	0 down vs 10
NM_020167 // NMUR2 // neuromedin U receptor 2 // 5q33.1 // 56923 /// ENST0000025	NMUR2	NM_020167	0.279702	0.454489	0.00691034	0.5093275	4.94917	4.96589	4.75349	4.75354	0.261057	1.15858	1.15858	0 up vs 10
NM_032528 // ST6GAL2 // ST6 beta-galactosamide alpha-2,6-sialyltranferase 2 // 2	ST6GAL2	NM_032528	0.707414	0.412507	0.00695711	0.5105927	5.91401	5.91912	5.86437	5.87218	0.732464	1.03307	1.03307	0 up vs 10
NM_001007538 // SHISA2 // shisa homolog 2 (Xenopus laevis) // 13q12.13 // 387914	SHISA2	NM_001007538	0.168345	0.610996	0.00703206	0.5125088	6.39119	6.37657	6.6224	6.61035	0.178398	0.850405	-1.17591	0 down vs 10
NM_005263 // GFI1 // growth factor independent 1 transcription repressor // 1p22	GFI1	NM_005263	0.00682218	0.0875752	0.00704265	0.5125088	7.23764	7.18422	6.84851	6.80981	0.00964321	1.29631	1.29631	0 up vs 10
NM_031886 // KCNA7 // potassium voltage-gated channel, shaker-related subfamily,	KCNA7	NM_031886	0.130911	0.557295	0.00719074	0.5206984	5.33662	5.33589	5.61658	5.62859	0.12902	0.816374	-1.22493	0 down vs 10
NM_001455 // FOXO3 // forkhead box O3 // 6q21 // 2309 /// NM_201559 // FOXO3 //	FOXO3	NM_001455	0.434073	0.190542	0.00722086	0.5206984	6.65556	6.64044	6.55058	6.56547	0.585592	1.05334	1.05334	0 up vs 10
NM_032345 // WIBG // within bgcn homolog (Drosophila) // 12q13.2 // 84305 /// EN	WIBG	NM_032345	0.137093	0.210355	0.00724576	0.5206984	8.59639	8.52864	8.37711	8.38567	0.323197	1.10417	1.10417	0 up vs 10
NM_005108 // XYLB // xylulokinase homolog (H. influenzae) // 3p22-p21.3 // 9942	XYLB	NM_005108	0.970853	0.55755	0.00729408	0.521644	6.54117	6.5291	6.5481	6.5336	0.981799	0.996886	-1.00312	0 down vs 10
NM_024586 // OSBPL9 // oxysterol binding protein-like 9 // 1p32.3 // 114883 ///	OSBPL9	NM_024586	0.235717	0.0151706	0.00734428	0.521644	9.64393	9.67213	9.57651	9.60331	0.243132	1.04886	1.04886	0 up vs 10
NM_013936 // OR12D2 // olfactory receptor, family 12, subfamily D, member 2 // 6	OR12D2	NM_013936	0.648695	0.485526	0.00737981	0.521644	4.45802	4.53163	4.37153	4.38216	0.455845	1.10916	1.10916	0 up vs 10
NM_020866 // KLHL1 // kelch-like 1 (Drosophila) // 13q21 // 57626 /// ENST000003	KLHL1	NM_020866	0.832196	0.706519	0.0073799	0.521644	4.31227	4.29566	4.29566	4.29775	0.979432	0.998547	-1.00145	0 down vs 10
NM_001837 // CCR3 // chemokine (C-C motif) receptor 3 // 3p21.3 // 1232 /// NM_1	CCR3	NM_001837	0.898727	0.129013	0.00757987	0.5335919	4.10943	4.08993	4.09099	4.03681	0.725524	1.0375	1.0375	0 up vs 10
NM_000943 // PPIC // peptidylprolyl isomerase C (cyclophilin C) // 5q23.2 // 548	PPIC	NM_000943	0.18161	0.0383612	0.00764788	0.536191	5.49631	5.53555	5.32562	5.33847	0.144288	1.14637	1.14637	0 up vs 10
NM_021815 // SLC5A7 // solute carrier family 5 (choline transporter), member 7 /	SLC5A7	NM_021815	0.232183	0.12948	0.00782338	0.5462746	3.80141	3.79245	3.94021	3.89975	0.361053	0.928324	-1.07721	0 down vs 10
NM_014744 // TBC1D5 // TBC1 domain family, member 5 // 3p24.3 // 9779 /// ENST00	TBC1D5	NM_014744	0.979609	0.0476504	0.00788358	0.546883	8.15545	8.2252	8.15925	8.20696	0.906102	1.01272	1.01272	0 up vs 10
NM_004898 // CLOCK // clock homolog (mouse) // 4q12 // 9575 /// ENST00000381322	CLOCK	NM_004898	0.196697	0.0181393	0.00789551	0.546883	6.96622	7.04919	6.75674	6.8454	0.22292	1.15172	1.15172	0 up vs 10
NM_198944 // OR7C1 // olfactory receptor, family 7, subfamily C, member 1 // 19p	OR7C1	NM_198944	0.752451	0.170077	0.00793317	0.5472935	4.28791	4.27421	4.24871	4.24195	0.802443	1.02261	1.02261	0 up vs 10
NM_015849 // RP11-265F14.2 // elastase 2B // 1p36.21 // 51032 /// ENST0000037591	RP11-265F14.2	NM_015849	0.346557	0.38785	0.00798392	0.5486003	5.34306	5.34331	5.46701	5.44258	0.461211	0.933503	-1.07123	0 down vs 10
NM_006700 // TRAFD1 // TRAF-type zinc finger domain containing 1 // 12q // 10906	TRAFD1	NM_006700	0.107691	0.0146711	0.00801816	0.5486796	9.99682	10.0197	9.78442	9.84626	0.188062	1.12776	1.12776	0 up vs 10
BC137361 // C1orf180 // chromosome 1 open reading frame 180 // 1p22.3 // 439927	C1orf180	BC137361	0.544073	0.681048	0.00811752	0.5486796	3.91542	3.91863	4.07864	4.04798	0.641382	0.914242	-1.0938	0 down vs 10
NM_030877 // CTNNBL1 // catenin, beta like 1 // 20q11.23-q12 // 56259 /// ENST00	CTNNBL1	NM_030877	0.342095	0.0922051	0.00814096	0.5486796	9.1301	9.10228	9.2244	9.21491	0.280612	0.924898	-1.0812	0 down vs 10
NM_001114123 // ELK1 // ELK1, member of ETS oncogene family // Xp11.2 // 2002 //	ELK1	NM_001114123	0.60683	0.061565	0.00814205	0.5486796	8.63588	8.64582	8.59901	8.60318	0.568032	1.02999	1.02999	0 up vs 10
NM_001114120 // DEPDC1 // DEP domain containing 1 // 1p31.2 // 55635 /// NM_0177	DEPDC1	NM_001114120	0.00001187	0.198255	0.00814414	0.5486796	8.45992	8.4491	6.29248	6.24031	1.33E-05	4.62289	4.62289	0 up vs 10
NM_003569 // STX7 // syntaxin 7 // 6q23.1 // 8417 /// ENST00000367941 // STX7 //	STX7	NM_003569	0.00672097	0.762284	0.00819675	0.548843	9.70113	9.71674	9.07042	9.09031	0.00825325	1.54375	1.54375	0 up vs 10
BC107118 // FLJ11235 // hypothetical protein FLJ11235 // 5q22.2 // 54508 /// BC1	FLJ11235	BC107118	0.414994	0.0421831	0.00821021	0.548843	7.50557	7.47171	7.42654	7.41372	0.559152	1.04102	1.04102	0 up vs 10
AK123727 // FLJ41733 // FLJ41733 protein // 21q22.3 // 400870	FLJ41733	AK123727	0.0624709	0.245394	0.00835061	0.55417	5.544	5.53676	5.94367	5.854	0.13171	0.802605	-1.24594	0 down vs 10
NM_181844 // BCL6B // B-cell CLL/lymphoma 6, member B (zinc finger protein) // 1	BCL6B	NM_181844	0.180767	0.620721	0.00835416	0.55417	6.06888	6.06919	6.26953	6.26279	0.209387	0.874415	-1.14362	0 down vs 10
NM_015255 // UBR2 // ubiquitin protein ligase E3 component n-recognin 2 // 6p21.	UBR2	NM_015255	0.196719	0.375055	0.00841426	0.5560182	8.08398	8.09365	7.85672	7.87818	0.233493	1.16108	1.16108	0 up vs 10
NM_031409 // CCR6 // chemokine (C-C motif) receptor 6 // 6q27 // 1235 /// NM_004	CCR6	NM_031409	0.00652069	0.00495108	0.00853517	0.5602629	6.8896	6.97465	6.12085	6.20811	0.00787179	1.70119	1.70119	0 up vs 10
NM_012452 // TNFRSF13B // tumor necrosis factor receptor superfamily, member 13B	TNFRSF13B	NM_012452	0.116713	0.0204489	0.00855855	0.5602629	9.7806	9.8342	9.46939	9.60847	0.248307	1.16938	1.16938	0 up vs 10
BC093665 // FAM92B // family with sequence similarity 92, member B // 16q24.1 //	FAM92B	BC093665	0.292426	0.075916	0.00857595	0.5602629	6.43586	6.42023	6.52928	6.51788	0.289873	0.934553	-1.07003	0 down vs 10
NM_021965 // PGM5 // phosphoglucomutase 5 // 9q13 // 5239 /// NR_002836 // PGM5P	PGM5	NM_021965	0.377116	0.21198	0.00863254	0.5618318	4.45487	4.47734	4.50038	4.50302	0.623153	0.982357	-1.01796	0 down vs 10
NM_001006109 // C3orf37 // chromosome 3 open reading frame 37 // 3q21.3 // 56941	C3orf37	NM_001006109	0.0107239	0.029807	0.00870009	0.5640994	9.82071	9.74883	9.24495	9.20901	0.0165774	1.4538	1.4538	0 up vs 10
NM_001001661 // ZNF425 // zinc finger protein 425 // 7q36.1 // 155054 /// ENST00	ZNF425	NM_001001661	0.647529	0.102865	0.00878316	0.5673527	6.14733	6.15441	6.19756	6.18605	0.780482	0.978311	-1.02217	0 down vs 10
NM_199320 // PHF17 // PHD finger protein 17 // 4q26-q27 // 79960 /// NM_024900 /	PHF17	NM_199320	0.0152066	0.162826	0.00886578	0.5687234	8.35996	8.3592	8.19493	8.18739	0.0150981	1.12647	1.12647	0 up vs 10
NM_181782 // NCOA7 // nuclear receptor coactivator 7 // 6q22.31-q22.32 // 135112	NCOA7	NM_181782	0.0119524	0.0983372	0.00887033	0.5687234	7.98573	8.02302	7.57398	7.6152	0.0146533	1.32668	1.32668	0 up vs 10
NM_004907 // IER2 // immediate early response 2 // 19p13.13 // 9592 /// ENST0000	IER2	NM_004907	0.22216	0.25649	0.00919937	0.5838842	8.09801	8.06307	7.95481	7.93862	0.298195	1.09009	1.09009	0 up vs 10
NM_052940 // LRRC42 // leucine rich repeat containing 42 // 1p33-p32.1 // 115353	LRRC42	NM_052940	0.469449	0.674012	0.00920309	0.5838842	8.34646	8.36909	8.22452	8.26386	0.545208	1.07566	1.07566	0 up vs 10
NM_022047 // DEF6 // differentially expressed in FDCP 6 homolog (mouse) // 6p21.	DEF6	NM_022047	0.158507	0.14402	0.00923279	0.5838842	8.21882	8.21207	8.08503	8.10844	0.275324	1.07448	1.07448	0 up vs 10
NM_001039775 // AIM1L // absent in melanoma 1-like // 1p36.11 // 55057 /// ENST0	AIM1L	NM_001039775	0.157307	0.0389945	0.00924726	0.5838842	6.66887	6.68189	6.87444	6.85044	0.249569	0.889733	-1.12393	0 down vs 10
NM_152468 // TMC8 // transmembrane channel-like 8 // 17q25.3 // 147138 /// ENST0	TMC8	NM_152468	0.527411	0.267371	0.00936269	0.5838842	8.22037	8.22951	8.15175	8.15797	0.526182	1.05084	1.05084	0 up vs 10
NM_017614 // BHMT2 // betaine-homocysteine methyltransferase 2 // 5q13 // 23743	BHMT2	NM_017614	0.288939	0.15139	0.00937008	0.5838842	5.01878	5.03485	5.18238	5.18431	0.345981	0.901585	-1.10916	0 down vs 10
BC031976 // C7orf53 // chromosome 7 open reading frame 53 // 7q31.1 // 286006 //	C7orf53	BC031976	0.204512	0.408253	0.00939239	0.5838842	4.78538	4.80343	4.66286	4.69097	0.255417	1.08107	1.08107	0 up vs 10
NM_002688 // SEPT5 // septin 5 // 22q11.21 // 5413 /// ENST00000332481 // SEPT5	38596	NM_002688	0.0300035	0.0942542	0.00939424	0.5838842	6.72416	6.70261	6.91625	6.8949	0.0344194	0.875217	-1.14257	0 down vs 10
NM_133330 // WHSC1 // Wolf-Hirschhorn syndrome candidate 1 // 4p16.3 // 7468 ///	WHSC1	NM_133330	0.000924352	0.0636947	0.00941148	0.5838842	8.19718	8.21274	7.98157	7.98577	0.000864001	1.17037	1.17037	0 up vs 10
NM_016081 // PALLD // palladin, cytoskeletal associated protein // 4q32.3 // 230	PALLD	NM_016081	0.752053	0.266826	0.00955715	0.5907963	4.56688	4.55857	4.59881	4.5791	0.844663	0.985874	-1.01433	0 down vs 10
NM_145697 // NUF2 // NUF2, NDC80 kinetochore complex component, homolog (S. cere	NUF2	NM_145697	0.000279036	0.0515327	0.00964118	0.5915299	8.40281	8.40916	7.59781	7.62659	0.000401909	1.7202	1.7202	0 up vs 10
AK290248 // C12orf72 // chromosome 12 open reading frame 72 // 12p11.21 // 25401	C12orf72	AK290248	0.0150046	0.384051	0.00965583	0.5915299	5.27199	5.25095	5.53518	5.51879	0.0163665	0.830562	-1.204	0 down vs 10
NM_001333 // CTSL2 // cathepsin L2 // 9q22.2 // 1515 /// ENST00000259470 // CTSL	CTSL2	NM_001333	0.00723588	0.0953536	0.00967191	0.5915299	4.97657	4.92078	5.3607	5.31982	0.00724981	0.758366	-1.31862	0 down vs 10
NM_004836 // EIF2AK3 // eukaryotic translation initiation factor 2-alpha kinase	EIF2AK3	NM_004836	0.163918	0.0158841	0.00977373	0.594925	9.04216	9.04685	8.73949	8.76529	0.2056	1.2155	1.2155	0 up vs 10
NM_031300 // MXD3 // MAX dimerization protein 3 // 5q35.3 // 83463 /// ENST00000	MXD3	NM_031300	0.16114	0.167769	0.00979641	0.594925	8.20604	8.18308	8.03916	8.02452	0.194302	1.11617	1.11617	0 up vs 10
NM_001128310 // SPARCL1 // SPARC-like 1 (hevin) // 4q22.1 // 8404 /// NM_004684	SPARCL1	NM_001128310	0.17176	0.297535	0.00984036	0.5954972	3.94673	3.9456	4.16149	4.17734	0.158319	0.851612	-1.17424	0 down vs 10
NM_032726 // PLCD4 // phospholipase C, delta 4 // 2q35 // 84812 /// ENST00000251	PLCD4	NM_032726	0.0962146	0.0639144	0.00988315	0.5959954	5.05135	5.07393	4.90321	4.88954	0.0562258	1.13633	1.13633	0 up vs 10
NM_007148 // RNF112 // ring finger protein 112 // 17p11.2 // 7732 /// ENST000002	RNF112	NM_007148	0.459167	0.0538485	0.00997043	0.5991638	5.81228	5.76141	5.91316	5.89726	0.345025	0.910135	-1.09874	0 down vs 10
NM_000621 // HTR2A // 5-hydroxytryptamine (serotonin) receptor 2A // 13q14-q21 /	HTR2A	NM_000621	0.0300341	0.00583535	0.0100973	0.6032332	3.77727	3.76874	4.04286	4.00076	0.0549665	0.85144	-1.17448	0 down vs 10
NM_182562 // FAM169B // family with sequence similarity 169, member B // 15q26.3	FAM169B	NM_182562	0.0213281	0.168903	0.0101081	0.6032332	4.67235	4.65525	4.92473	4.93108	0.0174232	0.825971	-1.2107	0 down vs 10
NM_032918 // RERG // RAS-like, estrogen-regulated, growth inhibitor // 12p12.3 /	RERG	NM_032918	0.087725	0.511954	0.0101826	0.6055838	3.77668	3.78129	4.03723	4.05129	0.0884405	0.829323	-1.2058	0 down vs 10
NM_023914 // P2RY13 // purinergic receptor P2Y, G-protein coupled, 13 // 3q24 //	P2RY13	NM_023914	0.881338	0.584813	0.0102465	0.60729	3.63175	3.62677	3.65878	3.70899	0.664563	0.944603	-1.05865	0 down vs 10
NM_006516 // SLC2A1 // solute carrier family 2 (facilitated glucose transporter)	SLC2A1	NM_006516	7.52E-05	0.000523379	0.0105487	0.6230597	9.51852	9.52465	9.15909	9.16679	9.58E-05	1.28152	1.28152	0 up vs 10
NM_012339 // TSPAN15 // tetraspanin 15 // 10q21.3 // 23555 /// ENST00000373290 /	TSPAN15	NM_012339	0.234101	0.110197	0.0105919	0.6234761	6.94339	6.94678	6.69494	6.73596	0.321621	1.15735	1.15735	0 up vs 10
NM_001111307 // PDE4A // phosphodiesterase 4A, cAMP-specific (phosphodiesterase	PDE4A	NM_001111307	0.896192	0.0301369	0.0108181	0.6346251	7.71443	7.68706	7.72216	7.6915	0.942561	0.99693	-1.00308	0 down vs 10
NM_198407 // GHSR // growth hormone secretagogue receptor // 3q26.31 // 2693 ///	GHSR	NM_198407	0.251399	0.00768061	0.0109098	0.6375855	6.10734	6.05338	6.24768	6.22303	0.190332	0.889058	-1.12479	0 down vs 10
NM_139025 // ADAMTS13 // ADAM metallopeptidase with thrombospondin type 1 motif,	ADAMTS13	NM_139025	0.157852	0.81012	0.0109425	0.6375855	6.31034	6.26227	6.66478	6.67188	0.123006	0.752829	-1.32832	0 down vs 10
NM_001047160 // NET1 // neuroepithelial cell transforming gene 1 // 10p15 // 102	NET1	NM_001047160	0.564071	0.351374	0.0109886	0.6381158	8.3473	8.31066	8.44013	8.41025	0.551947	0.9333	-1.07147	0 down vs 10
NM_001114101 // C1QC // complement component 1, q subcomponent, C chain // 1p36.	C1QC	NM_001114101	0.874261	0.478831	0.0110719	0.6407955	6.03986	6.03526	6.06674	6.01771	0.920734	1.01224	1.01224	0 up vs 10
NM_145280 // FAM119A // family with sequence similarity 119, member A // 2q33.3	FAM119A	NM_145280	0.152118	0.0203826	0.0111445	0.6428401	7.57486	7.58044	7.448	7.47428	0.234787	1.07636	1.07636	0 up vs 10
NM_182663 // RASSF5 // Ras association (RalGDS/AF-6) domain family member 5 // 1	RASSF5	NM_182663	0.00331297	0.00151696	0.011184	0.6429682	9.14327	9.17616	8.90689	8.93852	0.00389028	1.17907	1.17907	0 up vs 10
NM_003262 // SEC62 // SEC62 homolog (S. cerevisiae) // 3q26.2 // 7095 /// ENST00	SEC62	NM_003262	0.0660101	0.701804	0.0113587	0.6508422	8.9943	8.99501	8.54189	8.56999	0.0888757	1.34259	1.34259	0 up vs 10
NM_152515 // CKAP2L // cytoskeleton associated protein 2-like // 2q13 // 150468	CKAP2L	NM_152515	0.000672551	0.0149945	0.0114569	0.6542952	7.86266	7.91273	7.09678	7.12736	0.000722146	1.72353	1.72353	0 up vs 10
NM_203301 // FBXO33 // F-box protein 33 // 14q21.1 // 254170 /// ENST00000298097	FBXO33	NM_203301	0.032672	0.720936	0.0115951	0.6600023	8.06242	8.05255	7.69438	7.69774	0.0426661	1.27882	1.27882	0 up vs 10
NM_005582 // CD180 // CD180 molecule // 5q12 // 4064 /// ENST00000256447 // CD18	CD180	NM_005582	0.0190269	0.617479	0.0117587	0.6671128	6.78241	6.71171	5.05707	5.02742	0.0243495	3.21383	3.21383	0 up vs 10
NM_203447 // DOCK8 // dedicator of cytokinesis 8 // 9p24.3 // 81704 /// ENST0000	DOCK8	NM_203447	0.196974	0.0730676	0.0118216	0.6684747	9.5604	9.61483	9.37867	9.42842	0.202061	1.13793	1.13793	0 up vs 10
NM_001128174 // UGT8 // UDP glycosyltransferase 8 // 4q26 // 7368 /// NM_003360	UGT8	NM_001128174	0.017425	0.00915133	0.0118946	0.6684747	6.15985	6.05785	5.77751	5.73551	0.0386403	1.25035	1.25035	0 up vs 10
NM_144585 // SLC22A12 // solute carrier family 22 (organic anion/urate transport	SLC22A12	NM_144585	0.137906	0.0755917	0.0119585	0.6684747	6.66706	6.63617	6.83183	6.81044	0.132273	0.886221	-1.12839	0 down vs 10
BC007641 // RBM14 // RNA binding motif protein 14 // 11q13.1 // 10432 /// ENST00	RBM14	BC007641	0.114933	0.543287	0.0119692	0.6684747	7.8251	7.85244	8.19387	8.15939	0.190414	0.808352	-1.23709	0 down vs 10
NM_052832 // SLC26A7 // solute carrier family 26, member 7 // 8q23 // 115111 ///	SLC26A7	NM_052832	0.724721	0.259608	0.0119765	0.6684747	3.72696	3.72773	3.70555	3.67959	0.454772	1.03393	1.03393	0 up vs 10
BC020894 // LOC100132686 // hypothetical LOC100132686 // 11q23.1 // 100132686	LOC100132686	BC020894	0.828564	0.651898	0.0120605	0.6709918	4.37676	4.34706	4.32192	4.30351	0.868447	1.03064	1.03064	0 up vs 10
NM_014861 // ATP2C2 // ATPase, Ca++ transporting, type 2C, member 2 // 16q24.1 /	ATP2C2	NM_014861	0.112814	0.158465	0.0121976	0.6764373	5.54925	5.53474	5.73478	5.7305	0.108455	0.873116	-1.14532	0 down vs 10
NM_138959 // VANGL1 // vang-like 1 (van gogh, Drosophila) // 1p11-p13.1 // 81839	VANGL1	NM_138959	0.134104	0.316621	0.012256	0.6774975	7.15544	7.15416	6.82548	6.8156	0.138234	1.26449	1.26449	0 up vs 10
NM_173674 // DCBLD1 // discoidin, CUB and LCCL domain containing 1 // 6q22.2 //	DCBLD1	NM_173674	0.44043	0.068117	0.012307	0.6781432	7.0394	7.15576	6.86998	6.95857	0.390654	1.14646	1.14646	0 up vs 10
NM_183377 // ACCN1 // amiloride-sensitive cation channel 1, neuronal // 17q12 //	ACCN1	NM_183377	0.20402	0.518704	0.0123703	0.6787817	4.97199	4.9622	5.16091	5.13592	0.254145	0.886556	-1.12796	0 down vs 10
AB065085 // TOM1L1 // target of myb1 (chicken)-like 1 // 17q23.2 // 10040	TOM1L1	AB065085	0.955115	0.0406934	0.0123973	0.6787817	4.97615	5.01642	4.96099	5.03126	0.957723	0.989763	-1.01034	0 down vs 10
NM_032951 // MLXIPL // MLX interacting protein-like // 7q11.23 // 51085 /// NM_0	MLXIPL	NM_032951	0.437563	0.197093	0.0125008	0.6795588	6.51176	6.51434	6.62908	6.61267	0.527436	0.934113	-1.07053	0 down vs 10
NM_022168 // IFIH1 // interferon induced with helicase C domain 1 // 2q24 // 641	IFIH1	NM_022168	0.687429	0.00223593	0.0125214	0.6795588	8.71018	8.83447	8.76525	8.91096	0.592858	0.948366	-1.05445	0 down vs 10
NM_018079 // SRBD1 // S1 RNA binding domain 1 // 2p21 // 55133 /// ENST000002637	SRBD1	NM_018079	0.379545	0.622299	0.0125345	0.6795588	7.92463	7.93636	7.74115	7.76271	0.420953	1.12791	1.12791	0 up vs 10
NM_033133 // CNP // 2,3-cyclic nucleotide 3 phosphodiesterase // 17q21 // 126	CNP	NM_033133	0.201651	0.115809	0.0125691	0.6795588	8.70139	8.68782	8.77825	8.76678	0.206208	0.946742	-1.05625	0 down vs 10
NM_173858 // VN1R5 // vomeronasal 1 receptor 5 // 1q44 // 317705 /// ENST0000035	VN1R5	NM_173858	0.936438	0.906256	0.012712	0.6847005	3.75325	3.77141	3.7396	3.69882	0.685379	1.0516	1.0516	0 up vs 10
NM_012484 // HMMR // hyaluronan-mediated motility receptor (RHAMM) // 5q33.2-qte	HMMR	NM_012484	0.000232315	0.635798	0.0127436	0.6847005	7.90357	7.88449	6.37213	6.39244	0.000331305	2.81289	2.81289	0 up vs 10
NM_024698 // SLC25A22 // solute carrier family 25 (mitochondrial carrier: glutam	SLC25A22	NM_024698	0.709962	0.101008	0.0129067	0.6913101	8.13453	8.11113	8.16693	8.14458	0.711701	0.977079	-1.02346	0 down vs 10
NM_005860 // FSTL3 // follistatin-like 3 (secreted glycoprotein) // 19p13 // 102	FSTL3	NM_005860	0.980296	0.403282	0.0130029	0.6943066	8.27782	8.23186	8.27442	8.2612	0.837712	0.979871	-1.02054	0 down vs 10
NM_198892 // BMP2K // BMP2 inducible kinase // 4q21.21 // 55589 /// NM_017593 //	BMP2K	NM_198892	0.113895	0.0820206	0.0131188	0.6983332	8.15366	8.24281	7.82131	7.88629	0.104862	1.28033	1.28033	0 up vs 10
NM_138812 // DYDC1 // DPY30 domain containing 1 // 10q23.1 // 143241 /// ENST000	DYDC1	NM_138812	0.535383	0.115932	0.0131904	0.6983664	2.84507	2.87003	2.91627	2.9191	0.678123	0.966556	-1.0346	0 down vs 10
NM_018378 // FBXL8 // F-box and leucine-rich repeat protein 8 // 16q22.1 // 5533	FBXL8	NM_018378	0.14008	0.333753	0.013219	0.6983664	7.60421	7.60627	7.80853	7.7986	0.174555	0.875189	-1.14261	0 down vs 10
NM_173511 // FAM117B // family with sequence similarity 117, member B // 2q33.1	FAM117B	NM_173511	0.00304738	0.00652632	0.0132409	0.6983664	6.86324	6.86482	6.48549	6.46763	0.0028771	1.31694	1.31694	0 up vs 10
NM_001004451 // OR1J1 // olfactory receptor, family 1, subfamily J, member 1 //	OR1J1	NM_001004451	0.589443	0.544726	0.0133679	0.701544	4.8354	4.83635	4.90238	4.89813	0.631023	0.95808	-1.04375	0 down vs 10
NM_018047 // RBM22 // RNA binding motif protein 22 // 5q33.1 // 55696 /// ENST00	RBM22	NM_018047	0.16484	0.206509	0.0133825	0.701544	9.61915	9.61392	9.4811	9.4865	0.209695	1.09234	1.09234	0 up vs 10
NM_013352 // DSE // dermatan sulfate epimerase // 6q22 // 29940 /// NM_001080976	DSE	NM_013352	0.0232285	0.48231	0.0137827	0.720334	9.78879	9.7859	10.1246	10.1076	0.0316134	0.800115	-1.24982	0 down vs 10
NM_021013 // KRT34 // keratin 34 // 17q12-q21 // 3885 /// ENST00000251648 // KRT	KRT34	NM_021013	0.0587491	0.267695	0.0141998	0.7344442	4.36265	4.32991	4.64897	4.64191	0.0503589	0.805526	-1.24142	0 down vs 10
NM_147180 // PPP3R2 // protein phosphatase 3 (formerly 2B), regulatory subunit B	PPP3R2	NM_147180	0.50637	0.334016	0.0142258	0.7344442	5.85818	5.83643	6.00211	5.95015	0.610498	0.924201	-1.08202	0 down vs 10
NM_199261 // TPTE // transmembrane phosphatase with tensin homology // 21p11 //	TPTE	NM_199261	0.833157	0.508349	0.0142275	0.7344442	6.81681	6.80712	6.85301	6.83358	0.882067	0.981826	-1.01851	0 down vs 10
NM_005029 // PITX3 // paired-like homeodomain 3 // 10q25 // 5309 /// ENST0000037	PITX3	NM_005029	0.294629	0.170774	0.0142314	0.7344442	6.64672	6.62551	6.78982	6.7519	0.366848	0.916119	-1.09156	0 down vs 10
NM_130759 // GIMAP1 // GTPase, IMAP family member 1 // 7q36.1 // 170575 /// ENST	GIMAP1	NM_130759	0.00764541	0.000981254	0.0142656	0.7344442	8.20229	8.231	7.95174	7.99461	0.0117152	1.17804	1.17804	0 up vs 10
