Curated Gene Symbol	InsermSymbole	Symbole	Nom	RefSeq
NFIL3	NFIL3__________-1A-1a	NFIL3	nuclear factor, interleukin 3 regulated	NM_005384
NPIP	NPIP___________-1A-1a	NPIP	nuclear pore complex interacting protein	NM_006985
NARF	NARF___________-1A-1a	NARF	nuclear prelamin A recognition factor	NM_012336
MDM1	MDM1___________-1A-1a	MDM1	nuclear protein double minute 1	NM_017440
SPEG	APEG1__________-1A-1a	APEG1	nuclear protein, marker for differentiated aortic smooth muscle and down-regulated with vascular injury	NM_005876
NCOA1	NCOA1__________-1A-1a	NCOA1	nuclear receptor coactivator 1	NM_003743
NR4A1	NR4A1__________-1A-1a	NR4A1	nuclear receptor subfamily 4, group A, member 1	NM_002135
NFYB	NFYB___________-1A-1a	NFYB	nuclear transcription factor Y, beta	NM_006166
YBX1	NSEP1__________-1A-1a	NSEP1	nuclease sensitive element binding protein 1	NM_004559
NUCB1	NUCB1__________-1A-1a	NUCB1	nucleobindin 1	NM_006184
NUCB2	NUCB2__________-1A-1a	NUCB2	nucleobindin 2	NM_005013
LEPREL4	SC65___________-1A-1a	SC65	nucleolar autoantigen (55kD) similar to rat synaptonemal complex protein	NM_006455
GNL2	HUMAUANTIG_____-1A-1a	HUMAUANTIG	nucleolar GTPase	NM_013285
NOL3	NOL3___________-1A-1a	NOL3	nucleolar protein 3 (apoptosis repressor with CARD domain)	NM_003946
NCL	NCL____________-1A-1a	NCL	nucleolin	NM_005381
NUP98	NUP98__________-1A-1a	NUP98	nucleoporin 98kDa	NM_005387
NUP43	NUP43__________-1A-1a	Nup43	nucleoporin Nup43	NM_024647
ZNF384	NP_____________-1A-1a	NP	nucleoside phosphorylase	NM_000270
NAP1L2	NAP1L2_________-1A-1a	NAP1L2	nucleosome assembly protein 1-like 2	NM_021963
NAP1L3	NAP1L3_________-1A-1a	NAP1L3	nucleosome assembly protein 1-like 3	NM_004538
NAP1L4	NAP1L4_________-1A-1a	NAP1L4	nucleosome assembly protein 1-like 4	NM_005969
TP63	NBP____________-1A-1a	NBP	nucleotide binding protein	NM_025233
NUBP1	NUBP1__________-1A-1a	NUBP1	nucleotide binding protein 1 (MinD homolog, E. coli)	NM_002484
NDE1	NDE1___________-1A-1a	NDE1	nudE nuclear distribution gene E homolog 1 (A. nidulans)	NM_017668
NUDT11	NUDT11_________-1A-1a	NUDT11	nudix (nucleoside diphosphate linked moiety X)-type motif 11	NM_018159
NUDT2	NUDT2__________-1A-1a	NUDT2	nudix (nucleoside diphosphate linked moiety X)-type motif 2	NM_001161
NUDT4	NUDT4__________-1A-1a	NUDT4	nudix (nucleoside diphosphate linked moiety X)-type motif 4	NM_019094
NUDT5	NUDT5__________-1A-1a	NUDT5	nudix (nucleoside diphosphate linked moiety X)-type motif 5	NM_014142
NUMB	NUMB___________-1A-1a	NUMB	numb homolog (Drosophila)	NM_003744
NUMBL	NUMBL__________-1A-1a	NUMBL	numb homolog (Drosophila)-like	NM_004756
	CAS1___________-1A-1a	CAS1	O-acetyltransferase	NM_022900
OCA2	OCA2___________-1A-1a	OCA2	oculocutaneous albinism II (pink-eye dilution homolog, mouse)	NM_000275
OR1D5	OR1D5__________-1A-1a	OR1D5	olfactory receptor, family 1, subfamily D, member 5	NM_014566
OR10H1	OR10H1_________-1A-1a	OR10H1	olfactory receptor, family 10, subfamily H, member 1	NM_013940
OR2S2	OR2S2__________-1A-1a	OR2S2	olfactory receptor, family 2, subfamily S, member 2	NM_019897
OR3A1	OR3A1__________-1A-1a	OR3A1	olfactory receptor, family 3, subfamily A, member 1	NM_002550
OSMR	OSMR___________-1A-1a	OSMR	oncostatin M receptor	NM_003999
OPRK1	OPRK1__________-1A-1a	OPRK1	opioid receptor, kappa 1	NM_000912
OPN1LW	OPN1LW_________-1A-1a	OPN1LW	opsin 1 (cone pigments), long-wave-sensitive (color blindness, protan)	NM_020061
UBXN1	LOC51035_______-1A-1a	LOC51035	ORF	NM_015853
ORMDL2	ORMDL2_________-1A-1a	ORMDL2	ORM1-like 2 (S. cerevisiae)	NM_014182
OAT	OAT____________-1A-1a	OAT	ornithine aminotransferase (gyrate atrophy)	NM_000274
ODC1	ODC1___________-1A-1a	ODC1	ornithine decarboxylase 1	NM_002539
OAZ1	OAZ1___________-1A-1a	OAZ1	ornithine decarboxylase antizyme 1	NM_004152
AZIN1	OAZIN__________-1A-1a	OAZIN	ornithine decarboxylase antizyme inhibitor	NM_015878
ORM1	ORM1___________-1A-1a	ORM1	orosomucoid 1	NM_000607
OTX2	OTX2___________-1A-1a	OTX2	orthodenticle homolog 2 (Drosophila)	NM_021728
POSTN	OSF-2__________-1A-1a	OSF-2	osteoblast specific factor 2 (fasciclin I-like)	NM_006475
OTOR	OTOR___________-1A-1a	OTOR	otoraplin	NM_020157
OLR1	OLR1___________-1A-1a	OLR1	oxidised low density lipoprotein (lectin-like) receptor 1	NM_002543
	LOC56898_______-1A-1a	LOC56898	oxidoreductase UCPA	NM_020139
OGDH	OGDH___________-1A-1a	OGDH	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	NM_002541
OSBPL2	OSBPL2_________-1A-1a	OSBPL2	oxysterol binding protein-like 2	NM_014835
PAK3	PAK3___________-1A-1a	PAK3	p21 (CDKN1A)-activated kinase 3	NM_002578
	P66ALPHA_______-1A-1a	p66alpha	p66 alpha	NM_017660
S100A8	P8_____________-1A-1a	P8	p8 protein (candidate of metastasis 1)	NM_012385
PAX7	PAX7___________-1A-1a	PAX7	paired box gene 7	NM_002584
PHOX2A	PHOX2A_________-1A-1a	PHOX2A	paired-like (aristaless) homeobox 2a	NM_005169
PALLD	KIAA0992_______-1A-1a	KIAA0992	palladin	NM_016081
PALMD	PALMD__________-1A-1a	PALMD	palmdelphin	NM_017734
PPT2	PPT2___________-1A-1a	PPT2	palmitoyl-protein thioesterase 2	NM_005155
PNMA2	PNMA2__________-1A-1a	PNMA2	paraneoplastic antigen MA2	NM_007257
PNMA3	PNMA3__________-1A-1a	PNMA3	paraneoplastic antigen MA3	NM_013364
PON1	PON1___________-1A-1a	PON1	paraoxonase 1	NM_000446
PSPC1	PSP1___________-1A-1a	PSP1	paraspeckle protein 1	NM_018282
PTH1R	PTHR1__________-1A-1a	PTHR1	parathyroid hormone receptor 1	NM_000316
PARK7	PARK7__________-1A-1a	PARK7	Parkinson disease (autosomal recessive, early onset) 7	NM_007262
PVALB	PVALB__________-1A-1a	PVALB	parvalbumin	NM_002854
PASK	PASK___________-1A-1a	PASK	PAS domain containing serine/threonine kinase	NM_015148
PXN	PXN____________-1A-1a	PXN	paxillin	NM_002859
DCAF6	PC326__________-1A-1a	PC326	PC326 protein
CDK16	PCTK1__________-1A-1a	PCTK1	PCTAIRE protein kinase 1	NM_033018
PDZD3	PDZK2__________-1A-1a	PDZK2	PDZ domain containing 2	NM_024791
RAPGEF2	PDZGEF1________-1A-1a	PDZGEF1	PDZ domain containing guanine nucleotide exchange factor (GEF) 1	NM_014247
PTX3	PTX3___________-1A-1a	PTX3	pentaxin-related gene, rapidly induced by IL-1 beta	NM_002852
PDF	PDF____________-1A-1a	PDF	peptide deformylase-like protein	NM_022341
PAM	PAM____________-1A-1a	PAM	peptidylglycine alpha-amidating monooxygenase	NM_000919
PPIA	PPIA___________-1A-1a	PPIA	peptidylprolyl isomerase A (cyclophilin A)	NM_021130
PPIB	PPIB___________-1A-1a	PPIB	peptidylprolyl isomerase B (cyclophilin B)	NM_000942
PRX	PRX____________-1A-1a	PRX	periaxin	NM_020956
PLIN1	PLIN___________-1A-1a	PLIN	perilipin	NM_002666
PMP2	PMP2___________-1A-1a	PMP2	peripheral myelin protein 2	NM_002677
PRPH	PRPH___________-1A-1a	PRPH	peripherin	NM_006262
PRDX1	PRDX1__________-1A-1a	PRDX1	peroxiredoxin 1	NM_002574
PRDX3	PRDX3__________-1A-1a	PRDX3	peroxiredoxin 3	NM_006793
PRDX4	PRDX4__________-1A-1a	PRDX4	peroxiredoxin 4	NM_006406
PRDX6	PRDX6__________-1A-1a	PRDX6	peroxiredoxin 6	NM_004905
PEX11B	PEX11B_________-1A-1a	PEX11B	peroxisomal biogenesis factor 11B	NM_003846
PEX16	PEX16__________-1A-1a	PEX16	peroxisomal biogenesis factor 16	NM_004813
ECI2	PECI___________-1A-1a	PECI	peroxisomal D3,D2-enoyl-CoA isomerase	NM_006117
PXMP2	PXMP2__________-1A-1a	PXMP2	peroxisomal membrane protein 2, 22kDa	NM_018663
PES1	PES1___________-1A-1a	PES1	pescadillo homolog 1, containing BRCT domain (zebrafish)	NM_014303
PCNP	PCNP___________-1A-1a	PCNP	PEST-containing nuclear protein	NM_020357
PHF10	PHF10__________-1A-1a	PHF10	PHD finger protein 10	NM_018288
PHF7	PHF7___________-1A-1a	PHF7	PHD finger protein 7	NM_016483
PHF12	PF1____________-1A-1a	PF1	PHD zinc finger transcription factor
PAH	PAH____________-1A-1a	PAH	phenylalanine hydroxylase	NM_000277
FARSA	FARSL__________-1A-1a	FARSL	phenylalanine-tRNA synthetase-like	NM_004461
PMAIP1	PMAIP1_________-1A-1a	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	NM_021127
PDC	PDC____________-1A-1a	PDC	phosducin	NM_002597
PICALM	PICALM_________-1A-1a	PICALM	phosphatidylinositol binding clathrin assembly protein	NM_007166
PIGC	PIGC___________-1A-1a	PIGC	phosphatidylinositol glycan, class C	NM_002642
PIGF	PIGF___________-1A-1a	PIGF	phosphatidylinositol glycan, class F	NM_002643
PIGN	PIGN___________-1A-1a	PIGN	phosphatidylinositol glycan, class N	NM_012327
PIGS	PIGS___________-1A-1a	PIGS	phosphatidylinositol glycan, class S	NM_033198
PIP5K1B	PIP5K1B________-1A-1a	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase, type I, beta	NM_003558
PIP4K2A	PIP5K2A________-1A-1a	PIP5K2A	phosphatidylinositol-4-phosphate 5-kinase, type II, alpha	NM_005028
PISD	PISD___________-1A-1a	PISD	phosphatidylserine decarboxylase	NM_014338
PDE10A	PDE10A_________-1A-1a	PDE10A	phosphodiesterase 10A	NM_006661
PDE11A	PDE11A_________-1A-1a	PDE11A	phosphodiesterase 11A	NM_016953
PDE1A	PDE1A__________-1A-1a	PDE1A	phosphodiesterase 1A, calmodulin-dependent	NM_005019
PDE1B	PDE1B__________-1A-1a	PDE1B	phosphodiesterase 1B, calmodulin-dependent	NM_000924
PDE1C	PDE1C__________-1A-1a	PDE1C	phosphodiesterase 1C, calmodulin-dependent 70kDa	NM_005020
PDE2A	PDE2A__________-1A-1a	PDE2A	phosphodiesterase 2A, cGMP-stimulated	NM_002599
PDE3B	PDE3B__________-1A-1a	PDE3B	phosphodiesterase 3B, cGMP-inhibited	NM_000922
PDE4B	PDE4B__________-1A-1a	PDE4B	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	NM_002600
PDE4C	PDE4C__________-1A-1a	PDE4C	phosphodiesterase 4C, cAMP-specific (phosphodiesterase E1 dunce homolog, Drosophila)	NM_000923
PDE4D	PDE4D__________-1A-1a	PDE4D	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	NM_006203
PDE5A	PDE5A__________-1A-1a	PDE5A	phosphodiesterase 5A, cGMP-specific	NM_001083
PDE6A	PDE6A__________-1A-1a	PDE6A	phosphodiesterase 6A, cGMP-specific, rod, alpha	NM_000440
PDE6B	PDE6B__________-1A-1a	PDE6B	phosphodiesterase 6B, cGMP-specific, rod, beta	NM_000283
PDE6D	PDE6D__________-1A-1a	PDE6D	phosphodiesterase 6D, cGMP-specific, rod, delta	NM_002601
PDE6G	PDE6G__________-1A-1a	PDE6G	phosphodiesterase 6G, cGMP-specific, rod, gamma	NM_002602
PDE7A	PDE7A__________-1A-1a	PDE7A	phosphodiesterase 7A	NM_002603
PDE7B	PDE7B__________-1A-1a	PDE7B	phosphodiesterase 7B	NM_018945
PDE8B	PDE8B__________-1A-1a	PDE8B	phosphodiesterase 8B
PDE9A	PDE9A__________-1A-1a	PDE9A	phosphodiesterase 9A	NM_002606
PFKM	PFKM___________-1A-1a	PFKM	phosphofructokinase, muscle	NM_000289
PFKP	PFKP___________-1A-1a	PFKP	phosphofructokinase, platelet	NM_002627
PGD	PGD____________-1A-1a	PGD	phosphogluconate dehydrogenase	NM_002631
PGAM2	PGAM2__________-1A-1a	PGAM2	phosphoglycerate mutase 2 (muscle)	NM_000290
PHPT1	PHP14__________-1A-1a	PHP14	phosphohistidine phosphatase	NM_014172
PIK3CA	PIK3CA_________-1A-1a	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	NM_006218
PIK3CG	PIK3CG_________-1A-1a	PIK3CG	phosphoinositide-3-kinase, catalytic, gamma polypeptide	NM_002649
PIK3C2A	PIK3C2A________-1A-1a	PIK3C2A	phosphoinositide-3-kinase, class 2, alpha polypeptide	NM_002645
PIK3C2B	PIK3C2B________-1A-1a	PIK3C2B	phosphoinositide-3-kinase, class 2, beta polypeptide	NM_002646
PIK3C3	PIK3C3_________-1A-1a	PIK3C3	phosphoinositide-3-kinase, class 3	NM_002647
PIK3R2	PIK3R2_________-1A-1a	PIK3R2	phosphoinositide-3-kinase, regulatory subunit, polypeptide 2 (p85 beta)	NM_005027
PIK3R3	PIK3R3_________-1A-1a	PIK3R3	phosphoinositide-3-kinase, regulatory subunit, polypeptide 3 (p55, gamma)	NM_003629
PLN	PLN____________-1A-1a	PLN	phospholamban	NM_002667
PLA2R1	PLA2R1_________-1A-1a	PLA2R1	phospholipase A2 receptor 1, 180kDa	NM_007366
PLA2G1B	PLA2G1B________-1A-1a	PLA2G1B	phospholipase A2, group IB (pancreas)	NM_000928
PLA2G2A	PLA2G2A________-1A-1a	PLA2G2A	phospholipase A2, group IIA (platelets, synovial fluid)	NM_000300
PLA2G2D	PLA2G2D________-1A-1a	PLA2G2D	phospholipase A2, group IID	NM_012400
PLA2G2E	PLA2G2E________-1A-1a	PLA2G2E	phospholipase A2, group IIE	NM_014589
PLA2G2F	PLA2G2F________-1A-1a	PLA2G2F	phospholipase A2, group IIF	NM_022819
PLA2G4A	PLA2G4A________-1A-1a	PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	NM_024420
PLA2G4B	PLA2G4B________-1A-1a	PLA2G4B	phospholipase A2, group IVB (cytosolic)	NM_005090
PLA2G4C	PLA2G4C________-1A-1a	PLA2G4C	phospholipase A2, group IVC (cytosolic, calcium-independent)	NM_003706
PLA2G5	PLA2G5_________-1A-1a	PLA2G5	phospholipase A2, group V	NM_000929
PLA2G6	PLA2G6_________-1A-1a	PLA2G6	phospholipase A2, group VI (cytosolic, calcium-independent)	NM_003560
PLA2G7	PLA2G7_________-1A-1a	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	NM_005084
PLA2G10	PLA2G10________-1A-1a	PLA2G10	phospholipase A2, group X	NM_003561
PLCB1	PLCB1__________-1A-1a	PLCB1	phospholipase C, beta 1 (phosphoinositide-specific)	NM_015192
PLCB3	PLCB3__________-1A-1a	PLCB3	phospholipase C, beta 3 (phosphatidylinositol-specific)	NM_000932
PLCB4	PLCB4__________-1A-1a	PLCB4	phospholipase C, beta 4	NM_000933
PLCD1	PLCD1__________-1A-1a	PLCD1	phospholipase C, delta 1	NM_006225
PLCG2	PLCG2__________-1A-1a	PLCG2	phospholipase C, gamma 2 (phosphatidylinositol-specific)	NM_002661
PLCL1	PLCL1__________-1A-1a	PLCL1	phospholipase C-like 1	NM_006226
PLD2	PLD2___________-1A-1a	PLD2	phospholipase D2	NM_002663
PLTP	PLTP___________-1A-1a	PLTP	phospholipid transfer protein	NM_006227
PMM2	PMM2___________-1A-1a	PMM2	phosphomannomutase 2	NM_000303
PEA15	PEA15__________-1A-1a	PEA15	phosphoprotein enriched in astrocytes 15	NM_003768
PPAT	PPAT___________-1A-1a	PPAT	phosphoribosyl pyrophosphate amidotransferase	NM_002703
PHKA1	PHKA1__________-1A-1a	PHKA1	phosphorylase kinase, alpha 1 (muscle)	NM_002637
PHKG1	PHKG1__________-1A-1a	PHKG1	phosphorylase kinase, gamma 1 (muscle)	NM_006213
PHKG2	PHKG2__________-1A-1a	PHKG2	phosphorylase kinase, gamma 2 (testis)	NM_000294
PYGB	PYGB___________-1A-1a	PYGB	phosphorylase, glycogen; brain	NM_002862
PYGM	PYGM___________-1A-1a	PYGM	phosphorylase, glycogen; muscle (McArdle syndrome, glycogen storage disease type V)	NM_005609
PITPNA	PITPN__________-1A-1a	PITPN	phosphotidylinositol transfer protein	NM_006224
PHYH	PHYH___________-1A-1a	PHYH	phytanoyl-CoA hydroxylase (Refsum disease)	NM_006214
SMG1	SMG1___________-1A-1a	SMG1	PI-3-kinase-related kinase SMG-1 (na_mwg_avR)	NM_014006
MSRB2	PILB___________-1A-1a	PILB	pilin-like transcription factor	NM_012228
PIM1	PIM1___________-1A-1a	PIM1	pim-1 oncogene	NM_002648
	LOC96626_______-1A-1a	LOC96626	pinch-2	NM_033514
PIR	PIR____________-1A-1a	PIR	Pirin	NM_003662
PTTG1IP	PTTG1IP________-1A-1a	PTTG1IP	pituitary tumor-transforming 1 interacting protein	NM_004339
TMEM115	PL6____________-1A-1a	PL6	PL6 protein	NM_007024
PGF	PGF____________-1A-1a	PGF	placental growth factor, vascular endothelial growth factor-related protein	NM_002632
PLAT	PLAT___________-1A-1a	PLAT	plasminogen activator, tissue	NM_033011
PLAUR	PLAUR__________-1A-1a	PLAUR	plasminogen activator, urokinase receptor	NM_002659
PLS3	PLS3___________-1A-1a	PLS3	plastin 3 (T isoform)	NM_005032
GPR171	H963___________-1A-1a	H963	platelet activating receptor homolog	NM_013308
PDGFA	PDGFA__________-1A-1a	PDGFA	platelet-derived growth factor alpha polypeptide	NM_002607
PDGFB	PDGFB__________-1A-1a	PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	NM_033016
PDGFRA	PDGFRA_________-1A-1a	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	NM_006206
PDGFRB	PDGFRB_________-1A-1a	PDGFRB	platelet-derived growth factor receptor, beta polypeptide	NM_002609
PLEK	PLEK___________-1A-1a	PLEK	pleckstrin	NM_002664
PLEKHB1	PLEKHB1________-1A-1a	PLEKHB1	pleckstrin homology domain containing, family B (evectins) member 1	NM_021200
PLEC	PLEC1__________-1A-1a	PLEC1	plectin 1, intermediate filament binding protein 500kDa	NM_000445
PLXNA2	PLXNA2_________-1A-1a	PLXNA2	plexin A2	NM_025179
PLXNB1	PLXNB1_________-1A-1a	PLXNB1	plexin B1	NM_002673
PLXNB3	PLXNB3_________-1A-1a	PLXNB3	plexin B3	NM_005393
PLXNC1	PLXNC1_________-1A-1a	PLXNC1	plexin C1	NM_005761
NOMO1	PM5____________-1A-1a	PM5	pM5 protein	NM_014287
PODXL	PODXL__________-1A-1a	PODXL	podocalyxin-like	NM_005397
PLK1	PLK____________-1A-1a	PLK	polo-like kinase (Drosophila)	NM_005030
PABPC1	PABPC1_________-1A-1a	PABPC1	poly(A) binding protein, cytoplasmic 1	NM_002568
PABPC4	PABPC4_________-1A-1a	PABPC4	poly(A) binding protein, cytoplasmic 4 (inducible form)	NM_003819
PMF1	PMF1___________-1A-1a	PMF1	polyamine-modulated factor 1	NM_007221
PKD1	PKD1___________-1A-1a	PKD1	polycystic kidney disease 1 (autosomal dominant)	NM_000296
PKD2L1	PKD2L1_________-1A-1a	PKD2L1	polycystic kidney disease 2-like 1	NM_016112
PKD2L2	PKD2L2_________-1A-1a	PKD2L2	polycystic kidney disease 2-like 2	NM_014386
POLK	POLK___________-1A-1a	POLK	polymerase (DNA directed) kappa	NM_016218
POLD2	POLD2__________-1A-1a	POLD2	polymerase (DNA directed), delta 2, regulatory subunit 50kDa	NM_006230
POLE	POLE___________-1A-1a	POLE	polymerase (DNA directed), epsilon	NM_006231
POLG	POLG___________-1A-1a	POLG	polymerase (DNA directed), gamma	NM_002693
POLG2	POLG2__________-1A-1a	POLG2	polymerase (DNA directed), gamma 2, accessory subunit	NM_007215
POLM	POLM___________-1A-1a	POLM	polymerase (DNA directed), mu	NM_013284
POLR2I	POLR2I_________-1A-1a	POLR2I	polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa	NM_006233
POLR2L	POLR2L_________-1A-1a	POLR2L	polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa	NM_021128
POLR3G	RPC32__________-1A-1a	RPC32	polymerase (RNA) III (DNA directed) (32kD)	NM_006467
KCTD13	PDIP1__________-1A-1a	PDIP1	polymerase delta-interacting protein 1	NM_178863
PTBP1	PTBP1__________-1A-1a	PTBP1	polypyrimidine tract binding protein 1	NM_002819
POPDC2	POPDC2_________-1A-1a	POPDC2	popeye domain containing 2	NM_022135
KCMF1	PCMF___________-1A-1a	PCMF	potassium channel modulatory factor	NM_020122
KCNK1	KCNK1__________-1A-1a	KCNK1	potassium channel, subfamily K, member 1	NM_002245
KCNK10	KCNK10_________-1A-1a	KCNK10	potassium channel, subfamily K, member 10	NM_021161
KCNK12	KCNK12_________-1A-1a	KCNK12	potassium channel, subfamily K, member 12	NM_022055
KCNK13	KCNK13_________-1A-1a	KCNK13	potassium channel, subfamily K, member 13	NM_022054
KCNK15	KCNK15_________-1A-1a	KCNK15	potassium channel, subfamily K, member 15	NM_022358
KCNK3	KCNK3__________-1A-1a	KCNK3	potassium channel, subfamily K, member 3	NM_002246
KCNK5	KCNK5__________-1A-1a	KCNK5	potassium channel, subfamily K, member 5	NM_003740
KCNK6	KCNK6__________-1A-1a	KCNK6	potassium channel, subfamily K, member 6	NM_004823
KCNK7	KCNK7__________-1A-1a	KCNK7	potassium channel, subfamily K, member 7	NM_005714
KCNK9	KCNK9__________-1A-1a	KCNK9	potassium channel, subfamily K, member 9	NM_016601
KCNV1	KCNV1__________-1A-1a	KCNV1	potassium channel, subfamily V, member 1	NM_014379
KCNN1	KCNN1__________-1A-1a	KCNN1	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1	NM_002248
KCNN2	KCNN2__________-1A-1a	KCNN2	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	NM_021614
KCNN3	KCNN3__________-1A-1a	KCNN3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	NM_002249
KCNN4	KCNN4__________-1A-1a	KCNN4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	NM_002250
KCNJ12	KCNJN1_________-1A-1a	KCNJN1	potassium inwardly-rectifying channel, subfamily J, inhibitor 1	NM_002244
KCNJ1	KCNJ1__________-1A-1a	KCNJ1	potassium inwardly-rectifying channel, subfamily J, member 1	NM_000220
KCNJ11	KCNJ11_________-1A-1a	KCNJ11	potassium inwardly-rectifying channel, subfamily J, member 11	NM_000525
KCNJ14	KCNJ14_________-1A-1a	KCNJ14	potassium inwardly-rectifying channel, subfamily J, member 14	NM_013348
KCNJ15	KCNJ15_________-1A-1a	KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15	NM_002243
KCNJ16	KCNJ16_________-1A-1a	KCNJ16	potassium inwardly-rectifying channel, subfamily J, member 16	NM_018658
KCNJ2	KCNJ2__________-1A-1a	KCNJ2	potassium inwardly-rectifying channel, subfamily J, member 2	NM_000891
KCNJ3	KCNJ3__________-1A-1a	KCNJ3	potassium inwardly-rectifying channel, subfamily J, member 3	NM_002239
KCNJ4	KCNJ4__________-1A-1a	KCNJ4	potassium inwardly-rectifying channel, subfamily J, member 4	NM_004981
KCNJ5	KCNJ5__________-1A-1a	KCNJ5	potassium inwardly-rectifying channel, subfamily J, member 5	NM_000890
KCNJ6	KCNJ6__________-1A-1a	KCNJ6	potassium inwardly-rectifying channel, subfamily J, member 6	NM_002240
KCNJ8	KCNJ8__________-1A-1a	KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8	NM_004982
KCNJ9	KCNJ9__________-1A-1a	KCNJ9	potassium inwardly-rectifying channel, subfamily J, member 9	NM_004983
KCNMB3	KCNMB3_________-1A-1a	KCNMB3	potassium large conductance calcium-activated channel, subfamily M beta member 3	NM_014407
KCNMA1	KCNMA1_________-1A-1a	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	NM_002247
KCNMB2	KCNMB2_________-1A-1a	KCNMB2	potassium large conductance calcium-activated channel, subfamily M, beta member 2	NM_005832
KCNMB3P1	KCNMB3L________-1A-1a	KCNMB3L	potassium large conductance calcium-activated channel, subfamily M, beta member 3-like	NM_014406
KCNMB4	KCNMB4_________-1A-1a	KCNMB4	potassium large conductance calcium-activated channel, subfamily M, beta member 4	NM_014505
KCNS1	KCNS1__________-1A-1a	KCNS1	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 1	NM_002251
KCNS2	KCNS2__________-1A-1a	KCNS2	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2
KCNS3	KCNS3__________-1A-1a	KCNS3	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	NM_002252
KCNE1	KCNE1__________-1A-1a	KCNE1	potassium voltage-gated channel, Isk-related family, member 1	NM_000219
KCNE1L	KCNE1L_________-1A-1a	KCNE1L	potassium voltage-gated channel, Isk-related family, member 1-like	NM_012282
KCNE2	KCNE2__________-1A-1a	KCNE2	potassium voltage-gated channel, Isk-related family, member 2	NM_005136
KCNE3	KCNE3__________-1A-1a	KCNE3	potassium voltage-gated channel, Isk-related family, member 3	NM_005472
KCNQ1	KCNQ1__________-1A-1a	KCNQ1	potassium voltage-gated channel, KQT-like subfamily, member 1	NM_000218
KCNQ2	KCNQ2__________-1A-1a	KCNQ2	potassium voltage-gated channel, KQT-like subfamily, member 2	NM_004518
KCNQ3	KCNQ3__________-1A-1a	KCNQ3	potassium voltage-gated channel, KQT-like subfamily, member 3	NM_004519
KCNQ4	KCNQ4__________-1A-1a	KCNQ4	potassium voltage-gated channel, KQT-like subfamily, member 4	NM_004700
KCNQ5	KCNQ5__________-1A-1a	KCNQ5	potassium voltage-gated channel, KQT-like subfamily, member 5	NM_019842
KCNB1	KCNB1__________-1A-1a	KCNB1	potassium voltage-gated channel, Shab-related subfamily, member 1	NM_004975
KCNAB1	KCNAB1_________-1A-1a	KCNAB1	potassium voltage-gated channel, shaker-related subfamily, beta member 1	NM_003471
KCNAB2	KCNAB2_________-1A-1a	KCNAB2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	NM_003636
KCNAB3	KCNAB3_________-1A-1a	KCNAB3	potassium voltage-gated channel, shaker-related subfamily, beta member 3	NM_004732
KCNA1	KCNA1__________-1A-1a	KCNA1	potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)	NM_000217
KCNA10	KCNA10_________-1A-1a	KCNA10	potassium voltage-gated channel, shaker-related subfamily, member 10	NM_005549
KCNA2	KCNA2__________-1A-1a	KCNA2	potassium voltage-gated channel, shaker-related subfamily, member 2	NM_004974
KCNA3	KCNA3__________-1A-1a	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3	NM_002232
KCNA4	KCNA4__________-1A-1a	KCNA4	potassium voltage-gated channel, shaker-related subfamily, member 4	NM_002233
KCNA5	KCNA5__________-1A-1a	KCNA5	potassium voltage-gated channel, shaker-related subfamily, member 5	NM_002234
KCNA6	KCNA6__________-1A-1a	KCNA6	potassium voltage-gated channel, shaker-related subfamily, member 6	NM_002235
KCND1	KCND1__________-1A-1a	KCND1	potassium voltage-gated channel, Shal-related subfamily, member 1	NM_004979
KCND2	KCND2__________-1A-1a	KCND2	potassium voltage-gated channel, Shal-related subfamily, member 2	NM_012281
KCND3	KCND3__________-1A-1a	KCND3	potassium voltage-gated channel, Shal-related subfamily, member 3	NM_004980
