Curated Gene Symbol	Order	Parametric p-value	FDR	Geom mean of intensities in class 1 (0 Gy)	Geom mean of intensities in class 2 (0.1 Gy)	Geom mean of intensities in class 3 (0.5 Gy)	Geom mean of intensities in class 4 (2 Gy)	Unique id	Description	GB acc	Gene symbol	Fold change 0.1/0 Gy	Fold change 0.5/0 Gy	Fold change 2/0 Gy
PROK2	220	0.0001137	0.0059301	1746.899442	1527.383469	1283.474399	968.2858038	A_24_P97342	Homo sapiens prokineticin 2 (PROK2), mRNA [NM_021935]	NM_021935	PROK2	0.874339663	0.734715673	0.554288233
LINC00167	221	0.0001141	0.0059301	113.4413668	61.2316246	51.2951228	51.7764241	A_24_P144104	Homo sapiens chromosome 11 open reading frame 37 (C11orf37), mRNA [NM_001007543]	NM_001007543	C11orf37	0.539764517	0.452172997	0.456415729
P2RY2	222	0.0001175	0.0060793	583.4583652	649.0568844	736.2719347	945.7276058	A_23_P24903	Homo sapiens purinergic receptor P2Y, G-protein coupled, 2 (P2RY2), transcript variant 1, mRNA [NM_176072]	NM_176072	P2RY2	1.112430506	1.261909981	1.6208999
TBC1D9	223	0.0001192	0.0061396	515.1290233	530.8439942	478.6810494	348.4812963	A_23_P41487	Homo sapiens TBC1 domain family, member 9 (with GRAM domain) (TBC1D9), mRNA [NM_015130]	NM_015130	TBC1D9	1.030506864	0.929244961	0.676493229
GINS4	224	0.0001315	0.0067429	39.7557383	32.1466205	43.5350659	67.5141406	A_23_P136787	Homo sapiens GINS complex subunit 4 (Sld5 homolog) (GINS4), mRNA [NM_032336]	NM_032336	GINS4	0.808603283	1.095063701	1.698223791
	225	0.0001376	0.0070243	18.3125745	18.0581247	15.6429116	24.556656	A_32_P117860	W05707 za87h03.r1 Soares_fetal_lung_NbHL19W Homo sapiens cDNA clone IMAGE:299573 5 similar to SW:TCPD_MOUSE P80315 T-COMPLEX PROTEIN 1, DELTA SUBUNIT ;, mRNA sequence [W05707]	W05707	W05707	0.986105187	0.854216953	1.340972347
MAP4K4	226	0.0001395	0.0070898	106.7651201	115.5842764	132.8303186	165.7702276	A_24_P157165	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 4 (MAP4K4), transcript variant 2, mRNA [NM_145686]	NM_145686	MAP4K4	1.082603347	1.244135898	1.552662775
ADAMTS5	227	0.0001458	0.0073774	51.9611553	45.7298008	35.0387275	23.2829261	A_23_P40415	Homo sapiens ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2) (ADAMTS5), mRNA [NM_007038]	NM_007038	ADAMTS5	0.880076675	0.674325413	0.448083303
COL19A1	228	0.000152	0.0076573	13.5842782	19.4530636	30.1817352	26.4215376	A_23_P375922	Homo sapiens collagen, type XIX, alpha 1 (COL19A1), mRNA [NM_001858]	NM_001858	COL19A1	1.432027769	2.221813685	1.945008576
	229	0.0001685	0.0084515	35.7101912	42.0077829	46.85355	69.3221928	A_24_P944472	Homo sapiens mRNA for FLJ00168 protein. [AK074097]	AK074097	AK074097	1.176352786	1.312049822	1.941243955
PYHIN1	230	0.0001742	0.0086994	231.9392215	268.403955	316.6572786	359.945471	A_24_P139604	Homo sapiens pyrin and HIN domain family, member 1 (PYHIN1), transcript variant b2, mRNA [NM_198930]	NM_198930	PYHIN1	1.157216762	1.365259729	1.551895659
GPER	231	0.0001755	0.0087234	133.9661268	116.4910497	94.7940276	62.2622724	A_23_P8640	Homo sapiens G protein-coupled receptor 30 (GPR30), transcript variant 3, mRNA [NM_001039966]	NM_001039966	GPR30	0.869556003	0.707596986	0.464761309
SGCE	232	0.0001762	0.0087234	33.502897	31.3158281	26.1005165	16.980257	A_23_P254626	Homo sapiens sarcoglycan, epsilon (SGCE), mRNA [NM_003919]	NM_003919	SGCE	0.934720006	0.779052525	0.506829514
PLEKHA4	233	0.0001913	0.0094304	198.1898586	209.1504842	240.0764702	301.7071916	A_24_P408047	Homo sapiens pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 4 (PLEKHA4), mRNA [NM_020904]	NM_020904	PLEKHA4	1.055303665	1.211345888	1.522313976
PALLD	234	0.0001967	0.0096551	1103.134712	1040.908055	970.3846452	731.1706623	A_23_P213102	Homo sapiens palladin, cytoskeletal associated protein (PALLD), mRNA [NM_016081]	NM_016081	PALLD	0.943591063	0.879661055	0.662811762
FTSJ2	235	0.0002203	0.0107675	226.7351491	289.6898107	315.1069353	357.7739709	A_24_P363477	Homo sapiens FtsJ homolog 2 (E. coli) (FTSJ2), mRNA [NM_013393]	NM_013393	FTSJ2	1.277657266	1.38975777	1.577937838
PTGIR	236	0.000238	0.0115629	583.5922221	660.9256552	696.8015771	930.3044526	A_23_P340848	Homo sapiens prostaglandin I2 (prostacyclin) receptor (IP) (PTGIR), mRNA [NM_000960]	NM_000960	PTGIR	1.132512789	1.193987087	1.594100157
IL4I1	237	0.0002394	0.0115629	1850.757697	2000.56095	2329.691836	3390.962089	A_23_P502520	Homo sapiens interleukin 4 induced 1 (IL4I1), transcript variant 2, mRNA [NM_172374]	NM_172374	IL4I1	1.08094158	1.258777332	1.832202072
LRG1	238	0.0002398	0.0115629	3970.409141	3953.469667	4380.25461	6224.91876	A_23_P50638	Homo sapiens leucine-rich alpha-2-glycoprotein 1 (LRG1), mRNA [NM_052972]	NM_052972	LRG1	0.99573357	1.103224996	1.567828035
COCH	239	0.0002406	0.0115629	35.8657965	35.6879344	28.5386974	18.0396096	A_24_P184803	Homo sapiens coagulation factor C homolog, cochlin (Limulus polyphemus) (COCH), mRNA [NM_004086]	NM_004086	COCH	0.995040899	0.795707894	0.502975296
IRAK2	240	0.0002497	0.0119502	22.0749833	23.0767734	25.7812501	35.5910454	A_23_P80635	Homo sapiens interleukin-1 receptor-associated kinase 2 (IRAK2), mRNA [NM_001570]	NM_001570	IRAK2	1.045381239	1.167894433	1.612279607
RGS16	241	0.0002666	0.0127061	141.7169906	155.5210039	180.5086888	303.3406542	A_23_P320578	Homo sapiens regulator of G-protein signalling 16 (RGS16), mRNA [NM_002928]	NM_002928	RGS16	1.097405493	1.273726517	2.140467794
	242	0.0002679	0.0127153	470.7873809	464.805666	439.5375634	332.5513125	A_32_P75399	HUMSEF21A SEF2-1A protein {Homo sapiens} (exp=-1; wgp=0; cg=0), partial (5%) [THC2551774]	THC2551774	THC2551774	0.987294233	0.933622228	0.706372613
RGS16	243	0.000271	0.0128095	44.2926839	39.8254063	46.4811271	89.2696442	A_23_P217845	Homo sapiens regulator of G-protein signalling 16 (RGS16), mRNA [NM_002928]	NM_002928	RGS16	0.899141863	1.049408683	2.015448971
	244	0.0002783	0.0131006	6785.493485	6966.197787	6027.376688	4484.000948	A_32_P2605	AV756170 BM Homo sapiens cDNA clone BMFBGA09 5, mRNA sequence [AV756170]	AV756170	AV756170	1.026630974	0.888273889	0.660821642
B3GNT9	245	0.0002871	0.0134597	888.9901887	852.7609927	729.6299885	633.8996276	A_23_P379736	Homo sapiens hypothetical protein MGC4655 (MGC4655), mRNA [NM_033309]	NM_033309	MGC4655	0.959246799	0.820740204	0.71305582
ZNF239	246	0.00031	0.0144742	73.14176	79.1887574	84.6729318	114.7730318	A_23_P86731	Homo sapiens zinc finger protein 239 (ZNF239), mRNA [NM_005674]	NM_005674	ZNF239	1.082675033	1.157655104	1.569186082
ZCCHC24	247	0.0003142	0.0146109	74.793762	71.4557166	84.3576486	111.6773644	A_23_P335452	Homo sapiens chromosome 10 open reading frame 56 (C10orf56), mRNA [NM_153367]	NM_153367	C10orf56	0.955370003	1.12787011	1.493137414
	248	0.0003174	0.0147002	22.3371283	20.4381943	29.8180861	33.8593532	A_24_P731255	Homo sapiens cDNA: FLJ22144 fis, clone HEP21732. [AK025797]	AK025797	AK025797	0.91498755	1.33491135	1.515832866
MTHFD1L	249	0.0003221	0.014858	128.4023863	139.2760482	165.9460648	218.7267519	A_24_P235049	Homo sapiens methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like (MTHFD1L), mRNA [NM_015440]	NM_015440	MTHFD1L	1.084684266	1.292390816	1.703447718
ASCL2	250	0.0003277	0.0150558	32.8135278	20.8372232	20.5209984	23.6613329	A_23_P105088	Homo sapiens achaete-scute complex homolog 2 (Drosophila) (ASCL2), mRNA [NM_005170]	NM_005170	ASCL2	0.635019292	0.625382267	0.721084702
	251	0.0003327	0.0152247	27.1378617	27.9886298	28.0062013	19.9035059	A_32_P71585	Unknown	THC2695815	THC2695815	1.031349858	1.031997348	0.73342204
	252	0.0003364	0.0153329	176.2458905	147.103632	141.9605748	115.8389835	A_32_P198810	LOH12CR2 (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q96QS4] [ENST00000381800]	ENST00000381800	ENST00000381800	0.834649997	0.80546885	0.657257784
LMNA	253	0.0003477	0.0157853	1579.322539	1910.666862	2437.10189	3194.547279	A_23_P34835	Homo sapiens lamin A/C (LMNA), transcript variant 2, mRNA [NM_005572]	NM_005572	LMNA	1.209801554	1.543131203	2.022732659
MGAT5B	254	0.0003575	0.0161663	21.3309385	24.8899974	33.7766321	41.7511944	A_24_P219474	Homo sapiens mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B (MGAT5B), transcript variant 1, mRNA [NM_144677]	NM_144677	MGAT5B	1.166849616	1.583457385	1.95730696
	255	0.0003701	0.0166705	31.4893772	32.0531807	28.3468137	16.1256342	A_32_P124728	Unknown	THC2645398	THC2645398	1.017904562	0.900202424	0.512097591
	256	0.000373	0.0167355	100.8880356	101.8519961	113.4630525	151.0801144	A_23_P124335	Q9F8M7_CARHY (Q9F8M7) DTDP-glucose 4,6-dehydratase (Fragment), partial (11%) [THC2546981]	THC2539702	THC2539702	1.009554755	1.124643292	1.497502786
CHRNB1	257	0.0004029	0.0180067	98.6466789	99.2051816	88.8505023	69.125438	A_23_P207106	Homo sapiens cholinergic receptor, nicotinic, beta 1 (muscle) (CHRNB1), mRNA [NM_000747]	NM_000747	CHRNB1	1.005661647	0.900694309	0.70073761
DACT3	258	0.0004116	0.0183242	61.4504882	61.5652769	69.7307498	116.4849502	A_23_P360964	Homo sapiens dapper, antagonist of beta-catenin, homolog 3 (Xenopus laevis) (DACT3), mRNA [NM_145056]	NM_145056	DACT3	1.001867987	1.134746881	1.895590314
TMEM249	259	0.0004172	0.0185018	29.2362338	30.2263346	34.1627293	43.3050073	A_24_P298587	Homo sapiens mRNA for C8orfK29 protein, complete cds. [AB196634]	AB196634	C8ORFK29	1.033865538	1.168506502	1.481210186
SLC52A1	260	0.0004223	0.0186559	57.7593863	56.984833	67.463538	88.1606452	A_23_P15692	Homo sapiens G protein-coupled receptor 172B (GPR172B), mRNA [NM_017986]	NM_017986	GPR172B	0.986590001	1.168009952	1.526343177
TNFAIP8L1	261	0.0004275	0.0188133	297.7271442	310.5544345	365.549017	473.5199703	A_23_P428875	Homo sapiens tumor necrosis factor, alpha-induced protein 8-like 1 (TNFAIP8L1), mRNA [NM_152362]	NM_152362	TNFAIP8L1	1.043084047	1.227798755	1.590449442
	262	0.0004416	0.0193596	20.4854705	19.0507226	21.2074031	31.2421205	A_23_P101121	KTNA1_MOUSE (Q9WV86) Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (p60 katanin) (Lipotransin) , partial (29%) [THC2656479]	THC2656479	THC2656479	0.929962658	1.035241202	1.525086793
SYN1	263	0.0004543	0.0198406	17.7796262	18.0758127	19.2375759	29.5363169	A_23_P33847	Homo sapiens synapsin I (SYN1), transcript variant Ia, mRNA [NM_006950]	NM_006950	SYN1	1.016658759	1.082001145	1.6612451
NR4A3	264	0.0004568	0.0198743	816.6595371	868.379799	1022.125854	1318.518464	A_23_P398566	Homo sapiens nuclear receptor subfamily 4, group A, member 3 (NR4A3), transcript variant 2, mRNA [NM_173198]	NM_173198	NR4A3	1.063331486	1.251593605	1.6145265
RPL26L1	265	0.0004772	0.0206835	4812.3825	6489.594655	6711.306942	6804.394365	A_32_P205550	Homo sapiens ribosomal protein L26-like 1 (RPL26L1), mRNA [NM_016093]	NM_016093	RPL26L1	1.348520126	1.394591336	1.41393465
BTG3	266	0.0004799	0.0207223	15.9399283	19.422123	22.1599451	26.0207964	A_32_P33723	Homo sapiens, clone IMAGE:5240818, mRNA. [BC028229]	BC028229	BTG3	1.218457363	1.390216109	1.632428698
SLCO4A1	267	0.0004838	0.0208125	222.8382938	211.384365	196.9432	149.9984174	A_23_P5903	Homo sapiens solute carrier organic anion transporter family, member 4A1 (SLCO4A1), mRNA [NM_016354]	NM_016354	SLCO4A1	0.948599818	0.883794238	0.673126754
	268	0.0005024	0.021532	2194.05768	2042.093205	1902.945661	1486.10851	A_32_P147969	Unknown	THC2526509	THC2526509	0.930738158	0.867317973	0.677333382
FEZ1	269	0.0005159	0.0220284	44.9789245	55.884788	57.8837632	98.0716288	A_23_P202881	Homo sapiens fasciculation and elongation protein zeta 1 (zygin I) (FEZ1), transcript variant 1, mRNA [NM_005103]	NM_005103	FEZ1	1.24246608	1.286908565	2.180390703
	270	0.0005279	0.0224573	261.6157111	271.9435445	329.2965439	450.0701648	A_32_P137604	Homo sapiens, clone IMAGE:3869276, mRNA. [BC018597]	BC018597	BC018597	1.039477115	1.258703243	1.72034838
	271	0.0005515	0.0233746	72.7187733	77.4057306	88.937545	122.4688984	A_32_P78733	AA878126 oe87f12.s1 NCI_CGAP_Co12 Homo sapiens cDNA clone IMAGE:1418639 3, mRNA sequence [AA878126]	AA878126	AA878126	1.064453195	1.223034176	1.684144174
	272	0.0006028	0.025455	112.8939086	121.0985121	137.6456574	174.1107642	A_32_P40375	Q6PJD4_HUMAN (Q6PJD4) LOC389906 protein (Fragment), partial (10%) [THC2518594]	THC2518594	THC2518594	1.072675343	1.219247868	1.542251184
RAB40B	273	0.0006216	0.0261527	27.6946076	28.8381708	22.3912725	19.424737	A_23_P129801	Homo sapiens RAB40B, member RAS oncogene family (RAB40B), mRNA [NM_006822]	NM_006822	RAB40B	1.041291908	0.808506581	0.701390584
	274	0.0006336	0.0265431	25.2035161	19.5609891	22.1951557	30.7193854	A_24_P901986	Homo sapiens, clone IMAGE:5170250, mRNA. [BC029255]	BC029255	BC029255	0.776121436	0.880637273	1.218853166
TM7SF3	275	0.0006355	0.0265431	240.208422	254.5406859	280.0934927	337.2173926	A_23_P47863	Homo sapiens transmembrane 7 superfamily member 3 (TM7SF3), mRNA [NM_016551]	NM_016551	TM7SF3	1.059665951	1.166043598	1.403853328
ERN1	276	0.0006534	0.0271919	1154.752614	1083.357215	983.7971815	792.9646608	A_23_P436259	Homo sapiens endoplasmic reticulum to nucleus signalling 1 (ERN1), transcript variant 2, mRNA [NM_152461]	NM_152461	ERN1	0.938172559	0.851954929	0.686696572
	277	0.0006636	0.0275166	131.4825564	125.725004	105.0069108	81.8140832	A_32_P125589	Unknown	THC2649341	THC2649341	0.956210523	0.798637581	0.62224287
KATNBL1	278	0.0007187	0.0296942	288.5518471	266.8808314	248.049904	200.3917289	A_23_P77286	Homo sapiens chromosome 15 open reading frame 29 (C15orf29), mRNA [NM_024713]	NM_024713	C15orf29	0.924897325	0.859637207	0.694473908
KIAA1199	279	0.0007343	0.03023	11.246753	11.6239857	12.883365	21.6778421	A_32_P161855	Homo sapiens KIAA1199 (KIAA1199), mRNA [NM_018689]	NM_018689	KIAA1199	1.033541476	1.145518622	1.92747561
OSBPL10	280	0.0007428	0.0304707	129.4754859	126.8808365	107.8620057	77.2385841	A_23_P147245	Homo sapiens oxysterol binding protein-like 10 (OSBPL10), mRNA [NM_017784]	NM_017784	OSBPL10	0.979960304	0.833068939	0.596549869
ASF1B	281	0.0008399	0.0343313	251.9376643	244.7411958	271.6029429	391.8400699	A_23_P119254	Homo sapiens ASF1 anti-silencing function 1 homolog B (S. cerevisiae) (ASF1B), mRNA [NM_018154]	NM_018154	ASF1B	0.971435519	1.078056128	1.555305639
PRICKLE1	282	0.0008506	0.0346454	29.5202978	32.0405708	27.8132331	16.2154699	A_23_P408285	Homo sapiens prickle homolog 1 (Drosophila) (PRICKLE1), mRNA [NM_153026]	NM_153026	PRICKLE1	1.08537424	0.942173188	0.549298995
	283	0.0008715	0.0353712	129.7427837	134.7925939	130.9797278	87.7343272	A_32_P146815	Homo sapiens cDNA clone IMAGE:30374677, partial cds. [BC062473]	BC062473	BC062473	1.038921704	1.009533818	0.676217395
SLC44A1	284	0.0008795	0.0354535	191.771355	179.5975053	161.6088864	132.9450485	A_24_P479510	Choline transporter-like protein 1 (Solute carrier family 44 member 1) (CD92 antigen) (CDw92). [Source:Uniprot/SWISSPROT;Acc:Q8WWI5] [ENST00000361080]	ENST00000361080	SLC44A1	0.936518936	0.842716507	0.693247688
	285	0.0008797	0.0354535	12.0733168	11.6465425	13.1602012	22.3989393	A_24_P611182	Homo sapiens cDNA FLJ31259 fis, clone KIDNE2005798. [AK055821]	AK055821	AK055821	0.964651445	1.090023679	1.855243234
BCL2L15	286	0.0008872	0.0356307	21.7714713	22.7152645	26.6878073	33.4730327	A_24_P924932	Homo sapiens mRNA; cDNA DKFZp779F1429 (from clone DKFZp779F1429). [CR749373]	CR749373	C1orf178	1.043349996	1.225815515	1.537472238
SLC25A27	287	0.0009488	0.0379237	12.0908479	11.9102496	15.3351953	19.8875818	A_23_P81721	Homo sapiens solute carrier family 25, member 27 (SLC25A27), nuclear gene encoding mitochondrial protein, mRNA [NM_004277]	NM_004277	SLC25A27	0.985063223	1.268330842	1.644845917
KANK2	288	0.0009509	0.0379237	178.7807652	164.7519551	145.7725034	123.9980682	A_23_P50426	Homo sapiens ankyrin repeat domain 25 (ANKRD25), mRNA [NM_015493]	NM_015493	ANKRD25	0.921530652	0.815370173	0.693576113
IRF4	289	0.0009873	0.0392392	142.8138773	142.9479897	150.8956001	201.4708029	A_23_P214360	Homo sapiens interferon regulatory factor 4 (IRF4), mRNA [NM_002460]	NM_002460	IRF4	1.000939071	1.056589198	1.41072287
