probe set	gene		Accession	EntrezGene	CNR NY72-4P/CNR NY72-4NP	t statistic	P value
GgaAffx.20470.1.S1_at		Finished cDNA, clone ChEST646l7	CR524145.1		1.03	3.346	0.029436
Gga.8541.1.S1_at	TNKS	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	NM_204340.1	374252	1.03	5	0.008067
Gga.17540.1.S1_at	RCJMB04_23c19	acyl-CoA thioesterase 9	CR406314.1	418600	1.03	5.509	0.021685
Gga.8155.1.S1_at	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	BU484893	422165	1.03	3.438	0.044696
Gga.14598.1.S1_at		Finished cDNA, clone ChEST23f17	CR387417.1		1.03	3.258	0.043761
Gga.6034.1.S1_at	NEK6	NIMA (never in mitosis gene a)-related kinase 6	BU294460	417101	1.03	7.159	0.015022
Gga.3213.1.S1_at	E2F1	E2F transcription factor 1	NM_205219.1	396142	1.02	3.586	0.027904
Gga.13193.1.S1_at		Finished cDNA, clone ChEST79f1	BU312549		1.02	3.869	0.030886
Gga.2309.2.A1_s_at	DNAJC9	DnaJ (Hsp40) homolog, subfamily C, member 9	BU128018	423640	1.02	14.484	0.000245
Gga.2.1.S1_at		Transforming growth factor beta 4 precursor	M31160.1		1.02	4.039	0.048224
GgaAffx.26088.2.S1_s_at	NAV2	neuron navigator 2	ENSGALT00000006371.1	422977	1.02	4.952	0.020035
GgaAffx.3849.1.S1_at	LOC424516	similar to KIAA0231 protein	ENSGALT00000009957.1	424516	1.02	7.025	0.010246
GgaAffx.23576.1.S1_at	LOC422639	similar to nucleoporin 54kDa	ENSGALT00000018760.1	422639	1.02	9.345	0.003494
GgaAffx.1758.1.S1_s_at	DNAJC9	DnaJ (Hsp40) homolog, subfamily C, member 9	ENSGALT00000004257.1	423640	1.02	7.846	0.002624
Gga.944.1.S1_at	CENPH	centromere protein H	NM_204611.1	395316	1.01	5.946	0.00615
Gga.3665.1.S2_at	CDH20	Cadherin 20, type 2	CR405851.1	373927	1.01	4.798	0.026834
GgaAffx.21421.1.S1_s_at	PARL	presenilin associated, rhomboid-like	CR523194.1	424767	1.01	5.053	0.031056
Gga.8823.1.S1_s_at	CMTM7	CKLF-like MARVEL transmembrane domain containing 7	CD733292	420666	1.01	4.671	0.01834
Gga.19118.1.S1_at	ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	CR406449.1	417694	1.01	6.242	0.021847
GgaAffx.25462.2.S1_s_at	ASPM	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	ENSGALT00000003686.1	424354	1.01	6.635	0.005238
Gga.312.1.S2_at	FZD2	Frizzled homolog 2 (Drosophila)	BU267483	374061	1	5.666	0.004785
Gga.8050.1.S1_a_at	MRPS9	mitochondrial ribosomal protein S9	AJ394023	418723	1	3.231	0.036548
Gga.8446.1.S1_at		Finished cDNA, clone ChEST2a10	BU476814		1	3.18	0.036625
Gga.1930.1.S1_at		Finished cDNA, clone ChEST216i16	CK611071		1	4.1	0.015987
Gga.3734.1.S1_at		Finished cDNA, clone ChEST856g7	CR406152.1		1	4.799	0.008658
Gga.13356.1.S1_at	LOC424654	similar to HSPCO34 protein	BX935707.2	424654	1	3.209	0.040605
GgaAffx.4995.2.S1_s_at	NUP85	nucleoporin 85kDa	ENSGALT00000012948.1	422120	1	4.243	0.019948
Gga.7516.1.S1_s_at	RCJMB04_25o1	leukotriene B4 12-hydroxydehydrogenase	BX269515	427337	1	4.811	0.018365
Gga.3459.1.S1_at	COL9A3	collagen, type IX, alpha 3	M83179.1	396242	-1	-12.007	0.003828
Gga.20048.1.S1_at		Finished cDNA, clone ChEST800e6	BU422897		-1	-3.629	0.024912
GgaAffx.12403.1.S1_s_at	PDLIM7	PDZ and LIM domain 7	AJ720300	416362	-1	-4.648	0.018411
NC-001720.CDS14.S1_at		NC-001720.CDS14			-1.01	-6.334	0.003226
GgaAffx.25937.1.S1_s_at	RCJMB04_9d3	jumonji, AT rich interactive domain 1B	ENSGALT00000000581.1	421168	-1.01	-15.66	0.000098
GgaAffx.9588.1.S1_at	LOC418349	hypothetical LOC418349	ENSGALT00000024346.1	418349	-1.01	-7.568	0.006809
GgaAffx.96.1.S1_at			ENSGALT00000000192.1		-1.01	-8.91	0.000931
GgaAffx.20886.1.S1_s_at		Finished cDNA, clone ChEST956k17	CR523729.1		-1.02	-7.366	0.003637
Gga.423.1.S1_at	CLU	clusterin	NM_204900.1	395722	-1.02	-5.365	0.007918
Gga.8110.1.S1_at		Finished cDNA, clone ChEST575m16	BX265149		-1.02	-3.871	0.019837
Gga.7389.1.S1_at		Finished cDNA, clone ChEST336c2	BX262968		-1.02	-5.732	0.019179
Gga.16918.1.S1_at		Finished cDNA, clone ChEST992p24	BU388263		-1.02	-4.126	0.048364
GgaAffx.9906.1.S1_at	LOC428797	similar to VPS10 domain receptor protein SORCS 2	ENSGALT00000025067.1	428797	-1.02	-4.303	0.032398
GgaAffx.10572.3.S1_s_at	LOC427999	Similar to serine /threonine protein phosphatase	ENSGALT00000026663.1	427999	-1.02	-3.084	0.038745
GgaAffx.10088.2.A1_at	LOC421839	similar to putative serine protease 35	ENSGALT00000025552.1	421839	-1.02	-3.565	0.029462
GgaAffx.220.1.S1_at	LOC426076	similar to Dehydrogenase E1 and transketolase domain containing 1	ENSGALT00000000476.1	426076	-1.02	-4.134	0.049419
GgaAffx.994.1.S1_at		Hypothetical protein, clone 29o22	ENSGALT00000002310.1		-1.02	-4.552	0.011385
GgaAffx.9789.1.S1_at	LOC418412	similar to T-cell receptor interacting molecule (TRIM) protein	ENSGALT00000024792.1	418412	-1.02	-3.049	0.039976
GgaAffx.22126.1.S1_at	LOC419762	similar to immunoglobulin superfamily, member 4A isoform a; immunosuperfamily protein Bl2	ENSGALT00000011374.1	419762	-1.02	-3.222	0.045081
GgaAffx.2517.1.S1_at			ENSGALT00000006482.1		-1.02	-4.957	0.020553
Gga.2070.2.S1_a_at	ID4	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	AY040529.1	374150	-1.03	-6.763	0.002532
GgaAffx.20668.1.S1_s_at		Finished cDNA, clone ChEST47f9	CR523947.1		-1.03	-6.532	0.011078
GgaAffx.21574.1.S1_at		Finished cDNA, clone ChEST563g24	CR523041.1		-1.03	-5.665	0.006222
Gga.19228.1.S1_s_at	RABGAP1	RAB GTPase activating protein 1	BU266561	417106	-1.03	-9.191	0.000956
Gga.16322.1.S1_at		Finished cDNA, clone ChEST772i13	BU130385		-1.03	-5.175	0.010572
Gga.17319.1.S1_at		Finished cDNA, clone ChEST551b6	BU301273		-1.03	-4.918	0.013298
Gga.12697.1.S1_at	GPR143	G protein-coupled receptor 143	BU457923	418652	-1.03	-8.797	0.004003
GgaAffx.9643.2.S1_at	PCSK5	proprotein convertase subtilisin/kexin type 5	ENSGALT00000024470.1	395456	-1.03	-10.026	0.005603
Gga.7667.1.S1_at	PDLIM7	PDZ and LIM domain 7	BX262039	416362	-1.03	-8.389	0.003121
Gga.8748.1.S1_at	RCJMB04_6j20	F-box protein 22	BU466939	415355	-1.03	-3.635	0.035717
Gga.2629.1.S1_at	LOC419273	similar to OTTHUMP00000029908	BU457664	419273	-1.03	-6.437	0.003681
GgaAffx.20886.1.S1_at		Finished cDNA, clone ChEST956k17	CR523729.1		-1.04	-4.891	0.011273
Gga.12317.1.S1_at	Finished cDNA, clone ChEST773j15	Finished cDNA, clone ChEST773j15	BX931833.2		-1.04	-3.924	0.017802
GgaAffx.8508.1.S1_s_at	LOC426050	similar to KIAA0802 protein	ENSGALT00000021797.1	426050	-1.04	-5.416	0.005745
GgaAffx.11124.2.S1_at	LOC419080	similar to olfactory receptor Olr62	ENSGALT00000028033.1	419080	-1.04	-5.665	0.021073
Gga.2283.1.S2_at			BU227707		-1.05	-9.765	0.009696
Gga.17255.1.S1_at		Finished cDNA, clone ChEST938c2	BU235976		-1.05	-7.29	0.003
Gga.14851.1.S1_at		Finished cDNA, clone ChEST214f13	BU435503		-1.05	-6.459	0.006151
Gga.15829.1.S1_at			BU104409		-1.05	-2.946	0.042239
Gga.11329.1.S1_at		Finished cDNA, clone ChEST942b22	BX933673.2		-1.05	-4.115	0.025027
Gga.15154.1.S1_at		Finished cDNA, clone ChEST886b9	BU138736		-1.05	-9.07	0.008456
Gga.718.3.S1_at	DMD	dystrophin	AF063193.1	396236	-1.05	-4.485	0.035509
GgaAffx.2978.3.S1_at	LOC423014	similar to phospholipase C beta	ENSGALT00000007649.1	423014	-1.05	-3.45	0.030808
Gga.9195.1.S1_at		Transcribed locus	CK608363		-1.05	-8.184	0.001487
Gga.890.1.S1_at	SOX9	SRY (sex determining region Y)-box 9	NM_204281.1	374148	-1.06	-6.52	0.006675
Gga.15879.1.S1_s_at		Finished cDNA, clone ChEST608p22	CR387838.1		-1.06	-10.872	0.007787
Gga.4942.1.S1_at	HSP70	heat shock protein 70	BU118554	423504	-1.06	-4.788	0.011047
Gga.1931.1.S1_at		Finished cDNA, clone ChEST386m23	CR354117.1		-1.06	-4.256	0.031698
Gga.19209.1.S1_at	LOC423724	Similar to PIAS-like protein hZimp10	CD736604	423724	-1.06	-4.351	0.043688
Gga.15017.1.S1_at		Finished cDNA, clone ChEST1031n10	BU238786		-1.06	-3.013	0.04401
Gga.14494.1.S1_at		Finished cDNA, clone ChEST84b21	BU134659		-1.06	-6.985	0.010572
Gga.18801.1.S1_at		Finished cDNA, clone ChEST766f10	CR391511.1		-1.06	-5.351	0.031907
Gga.9246.1.S1_at		Transcribed locus	CF384738		-1.06	-9.228	0.001662
NC-005264.CDS54.S1_at		NC-005264.CDS54			-1.07	-7.414	0.012544
Gga.1132.1.S1_at	ME1	Malic enzyme 1, NADP(+)-dependent, cytosolic	NM_204303.1	374189	-1.07	-10.11	0.008624
Gga.1846.1.S2_at	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	BU478712	374090	-1.07	-5.621	0.005273
Gga.2334.1.S2_at	PHOSPHO1	Phosphatase, orphan 1	NM_204845.1	395650	-1.07	-8.12	0.001352
GgaAffx.21292.1.S1_at		Finished cDNA, clone ChEST853j10	CR523323.1		-1.07	-7.505	0.005023
Gga.9391.1.S1_at		Finished cDNA, clone ChEST940o8	BU320616		-1.07	-4.333	0.022242
Gga.17976.1.S1_at		Finished cDNA, clone ChEST502c3	CR389234.1		-1.07	-7.556	0.004592
Gga.5281.1.S1_at	ACYP2	acylphosphatase 2, muscle type	CR353528.1	421217	-1.07	-11.908	0.001807
Gga.14918.1.S1_at	Finished cDNA, clone ChEST225c3	Finished cDNA, clone ChEST225c3	BU119129		-1.07	-9.335	0.000985
GgaAffx.11305.1.S1_at			ENSGALT00000028357.1		-1.07	-3.766	0.02093
Gga.7340.1.S1_at	LOC419846	similar to MGC89944 protein	BU115429	419846	-1.07	-5.561	0.008588
Gga.17167.1.S1_at	GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1	NM_204318.1	374214	-1.08	-10.848	0.00086
Gga.805.1.S1_at	EPHA3	EPH receptor A3	NM_205430.1	396402	-1.08	-4.239	0.045182
GgaAffx.20228.1.S1_s_at	LOC422636	similar to shroom family member 3 protein	CR524387.1	422636	-1.08	-4.849	0.014309
GgaAffx.20244.1.S1_at	FCHSD2	FCH and double SH3 domains 2	CR524371.1	419068	-1.08	-3.611	0.030808
GgaAffx.20200.1.S1_at		Finished cDNA, clone ChEST716k3	CR524415.1		-1.08	-3.873	0.023919
Gga.11854.1.S1_at	TSPAN6	tetraspanin 6	BU327841	422262	-1.08	-9.07	0.00182
GgaAffx.4378.1.S1_at			ENSGALT00000011331.1		-1.08	-17.48	0.002947
Gga.8000.1.S1_at	LOC418781	similar to CDEP	BX266605	418781	-1.08	-3.947	0.032321
Gga.389.1.S1_at	HBEGF	heparin-binding EGF-like growth factor	NM_204849.1	395654	-1.09	-4.125	0.033502
Gga.6542.1.S1_at		Finished cDNA, clone ChEST856c6	CR406198.1		-1.09	-4.262	0.022451
Gga.496.1.S1_at	RELN	reelin	BU456347	427850	-1.09	-10.248	0.001613
Gga.13585.1.S1_at	FAM20A	family with sequence similarity 20, member A	BX934750.1	417439	-1.09	-4.507	0.039849
GgaAffx.23017.1.S1_at			ENSGALT00000015781.1		-1.09	-6.636	0.015498
GgaAffx.24584.1.S1_at	LOC427229	hypothetical LOC427229	ENSGALT00000024268.1	427229	-1.09	-3.077	0.03951
Gga.2375.1.S1_at	CTNNA2	catenin (cadherin-associated protein), alpha 2	NM_205136.1	396035	-1.1	-4.326	0.021198
Gga.3972.1.S2_at	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	BU407384	396332	-1.1	-3.088	0.03812
Gga.3685.1.S1_at	MYH1 /// MYH2	Myosin, heavy chain 1, skeletal muscle, adult /// Myosin, heavy chain 2, skeletal muscle, adult	BU129377	374069 /// 417306	-1.1	-4.352	0.012332
Gga.16050.1.S1_s_at	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3	BU334365	418787	-1.1	-3.069	0.038259
Gga.3040.1.S1_at	COL5A2	collagen, type V, alpha 2	BU400548	423986	-1.1	-6.032	0.004397
Gga.372.1.A1_x_at			AF175444.1		-1.1	-4.222	0.036648
GgaAffx.2796.1.S1_s_at	LOC415413	similar to Munc13-3	ENSGALT00000007208.1	415413	-1.1	-5.09	0.019723
Gga.7913.2.S1_s_at	LOC422636	similar to shroom family member 3 protein	BU465326	422636	-1.1	-3.634	0.02789
Gga.2876.1.S2_a_at	VAV3	vav 3 oncogene	NM_206863.1	373939	-1.11	-5.623	0.006526
Gga.3160.2.S1_a_at		Finished cDNA, clone ChEST114p4	BX934664.1		-1.11	-4.996	0.007512
Gga.15886.1.S1_at		Finished cDNA, clone ChEST720e24	CR387145.1		-1.11	-5.621	0.007929
Gga.14155.1.S1_at	TSPAN2	tetraspanin 2	CR353115.1	419889	-1.11	-3.18	0.045899
GgaAffx.2485.1.S1_s_at	PHKB	phosphorylase kinase, beta	ENSGALT00000006378.1	415741	-1.11	-9.056	0.002883
GgaAffx.4695.1.S1_s_at	LOC422099	similar to multidrug resistance-associated protein 3	ENSGALT00000012167.1	422099	-1.11	-9.672	0.000681
Gga.2915.1.S1_at	LOC416906	similar to SEZ6L	AL588315	416906	-1.11	-8.576	0.001043
Gga.20.1.S2_at			BU248748		-1.12	-5.921	0.00821
GgaAffx.21171.1.S1_s_at	BTG2	BTG family, member 2	CR523444.1	419932	-1.12	-4.097	0.040286
GgaAffx.21508.1.S1_at		Finished cDNA, clone ChEST821k12	CR523107.1		-1.12	-7.761	0.001971
Gga.2858.1.S1_at	LOC423675	similar to MMAC1	CR354122.1	423675	-1.12	-28.365	0.000027
Gga.2465.1.S1_at		Finished cDNA, clone ChEST832k3	BU356857		-1.12	-7.396	0.003563
GgaAffx.11537.1.S1_at	LGTN	ligatin	AJ719434	419845	-1.12	-7.152	0.004486
Gga.1106.1.S1_at	LOC424451	similar to niban protein	BU396423	424451	-1.12	-7.858	0.003848
GgaAffx.20726.1.S1_s_at	RCJMB04_24f23	endoplasmic reticulum protein 29	CR523889.1	416882	-1.13	-4.644	0.01441
Gga.15977.1.S1_at		Finished cDNA, clone ChEST536f17	BU314599		-1.13	-4.017	0.0383
Gga.12201.1.S1_at	LOC420764	similar to chromosome 7 open reading frame 36; GK003 protein	BU210732	420764	-1.13	-5.41	0.006491
Gga.16254.1.S1_at		Finished cDNA, clone ChEST237h3	CR386060.1		-1.13	-5.356	0.027109
Gga.11868.1.S1_a_at	LOC418138	similar to hypothetical protein MGC50559	CR407507.1	418138	-1.13	-3.846	0.024073
GgaAffx.10587.1.A1_s_at		Finished cDNA, clone ChEST563g24	ENSGALT00000026693.1		-1.13	-7.915	0.002023
Gga.4674.3.S1_at	LOC421321	similar to MGC82277 protein	BU294830	421321	-1.13	-6.162	0.00614
Gga.2232.1.S1_at		Transcribed locus	BU473446		-1.13	-6.26	0.022405
Gga.2931.1.S1_at	RRBP1	Ribosome binding protein 1 homolog 180kDa (dog)	L13973.1	396414	-1.14	-4.123	0.041029
Gga.4663.1.S1_at	PSPH	phosphoserine phosphatase	BU126038	417540	-1.14	-4.837	0.020595
Gga.16072.1.S1_at		Finished cDNA, clone ChEST515a8	BU288425		-1.14	-10.325	0.00092
Gga.19734.1.S1_at		Finished cDNA, clone ChEST901p5	BU251303		-1.14	-4.777	0.023324
Gga.11492.1.S1_at	LOC424149	similar to mixed lineage kinase-related kinase MRK-beta; mixed lineage kinase with a leucine zipper and a sterile alpha motif; mixed lineage kinase-related kinase	BX933897.2	424149	-1.14	-5.679	0.004746
Gga.15192.1.S1_at		Finished cDNA, clone ChEST93h24	CR385574.1		-1.14	-4.456	0.035405
GgaAffx.6215.3.S1_s_at	RCJMB04_12k21	similar to Protein kinase C, mu type (nPKC-mu) (Protein kinase D)	ENSGALT00000016101.1	423302	-1.14	-3.583	0.032931
Gga.7670.1.S1_at		Transcribed locus, strongly similar to XP_417004.1  hypothetical protein XP_417004 [Gallus gallus]	BU245389		-1.14	-5.082	0.012895
Gga.4967.1.S1_a_at	ARVCF	armadillo repeat gene deletes in velocardiofacial syndrome	NM_204465.1	395119	-1.15	-6.434	0.010729
GgaAffx.23195.3.S1_s_at		Transcribed locus, weakly similar to XP_001060119.1  similar to DNA mismatch repair protein Mlh3 (MutL protein homolog 3) isoform 2 [Rattus norvegicus]	ENSGALT00000016765.1		-1.15	-3.017	0.039366
GgaAffx.10954.1.S1_at	LOC428078	hypothetical LOC428078	ENSGALT00000027624.1	428078	-1.15	-5.879	0.013357
Gga.4154.2.S1_a_at	LSAMP	limbic system-associated membrane protein	Z94718.1	395687	-1.16	-3.097	0.0452
Gga.4810.1.S1_at		Finished cDNA, clone ChEST383l6	BU233595		-1.16	-3.67	0.047884
Gga.9491.1.S1_at	LOC417217	similar to dynamin 1	BU228626	417217	-1.16	-4.884	0.018929
NC-002188.CDS178.S1_at		NC-002188.CDS178			-1.17	-4.719	0.033071
GgaAffx.20504.1.S1_at		Finished cDNA, clone ChEST647i15	CR524111.1		-1.17	-10.934	0.000702
GgaAffx.20248.1.S1_s_at	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	CR524367.1	419349	-1.17	-6.872	0.003814
Gga.6213.1.S1_at		Finished cDNA, clone ChEST296l24	CD733738		-1.17	-4.734	0.039503
Gga.13830.1.S1_at		Finished cDNA, clone ChEST260i20	CR354220.1		-1.17	-3.631	0.023226
Gga.2304.1.S1_at	C-erbB oncogene mRNA activated by ALV insertion, producing a gag-env-erbB fusion protein	C-erbB oncogene mRNA activated by ALV insertion, producing a gag-env-erbB fusion protein	BU223184		-1.17	-14.416	0.003145
Gga.19216.1.S1_at	CREB3L2	cAMP responsive element binding protein 3-like 2	BU280300	418123	-1.17	-5.612	0.004954
GgaAffx.12367.1.S1_at	PDIA4	protein disulfide isomerase family A, member 4	AJ720264	420785	-1.17	-5.049	0.007236
GgaAffx.2235.1.S1_at	LOC425146	hypothetical LOC425146	ENSGALT00000005681.1	425146	-1.17	-3.888	0.021426
GgaAffx.5663.1.S1_at			ENSGALT00000014606.1		-1.17	-4.155	0.031939
Gga.16662.1.S1_at			BU278810		-1.17	-6.829	0.017367
Gga.5900.3.S1_a_at	LOC415360	similar to pDJA1 chaperone	CD736897	415360	-1.17	-3.084	0.03998
Gga.11969.1.S1_at	CYTL1	cytokine-like 1	BU111245	422849	-1.18	-4.849	0.008813
Gga.14976.1.S1_at		Finished cDNA, clone ChEST132d10	CR386242.1		-1.18	-8.556	0.009797
GgaAffx.23826.6.S1_s_at	RCJMB04_18a15	PDZ and LIM domain 5	ENSGALT00000019938.1	422699	-1.18	-4.464	0.020661
Gga.1552.1.A1_at		Transcribed locus	AL586590		-1.18	-4.69	0.037657
Gga.9903.1.S1_at		Transcribed locus	BU207407		-1.18	-4.786	0.018593
Gga.4168.1.S1_at	SERPINH1	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	NM_205291.1	396228	-1.19	-3.357	0.028395
GgaAffx.21150.1.S1_at		Finished cDNA, clone ChEST982e20	CR523465.1		-1.19	-4.504	0.033136
Gga.4329.1.S1_at	GHR	growth hormone receptor	M74057.1	408184	-1.19	-4.018	0.022402
Gga.9002.1.S1_at		Finished cDNA, clone ChEST46a1	CD735855		-1.19	-4.296	0.026507
Gga.17293.1.S1_s_at	RCJMB04_20e4	zinc finger, CCHC domain containing 6	BU354002	427463	-1.19	-6.169	0.004816
Gga.17047.1.S1_at		Finished cDNA, clone ChEST932n14	CR390278.1		-1.19	-6.474	0.003594
GgaAffx.23542.1.S1_s_at	LOC423468	similar to Hypothetical protein KIAA0297/KIAA0329	ENSGALT00000018553.1	423468	-1.19	-9.632	0.009347
GgaAffx.24658.1.S1_at	LOC427290	hypothetical LOC427290	ENSGALT00000024770.1	427290	-1.19	-6.792	0.008824
GgaAffx.10840.1.S1_at	LOC418810	similar to putative transmembrane protein	ENSGALT00000027349.1	418810	-1.19	-3.977	0.017521
Gga.3041.1.S1_at	TNNC1	troponin C type 1 (slow)	NM_205133.1	396032	-1.2	-5.278	0.031538
Gga.9226.1.S1_at		Finished cDNA, clone ChEST124o20	BU440056		-1.2	-11.254	0.000534
Gga.17109.1.S1_at		Finished cDNA, clone ChEST690b10	CR388823.1		-1.2	-7.046	0.015557
Gga.12039.1.S1_a_at		Finished cDNA, clone ChEST959c22	BX933478.1		-1.2	-4.847	0.01108
GgaAffx.12902.1.S1_s_at	PNRC1	proline-rich nuclear receptor coactivator 1	AJ720799	421817	-1.2	-9.027	0.001365
GgaAffx.26668.2.S1_s_at	ST5	suppression of tumorigenicity 5	ENSGALT00000009536.1	423055	-1.2	-4.024	0.023721
GgaAffx.9014.2.S1_at	LOC423106	similar to Efcab4a protein	ENSGALT00000022988.1	423106	-1.2	-3.659	0.021704
Gga.18638.1.S1_at		Finished cDNA, clone ChEST206e18	BU351113		-1.21	-8.246	0.0012
Gga.2876.2.S1_x_at	VAV3	vav 3 oncogene	BU468673	373939	-1.21	-7.996	0.001434
Gga.13750.1.A1_at		Finished cDNA, clone ChEST48d15	BU215996		-1.21	-5.255	0.006391
Gga.11999.1.S1_at		Finished cDNA, clone ChEST353k10	BX932277.2		-1.21	-9.549	0.0014
Gga.15614.1.S2_a_at	PTK2	PTK2 protein tyrosine kinase 2	BU314786	396416	-1.22	-3.774	0.020017
Gga.3811.1.S1_at	BOK	BCL2-related ovarian killer	AF290888.1	395445	-1.22	-4.807	0.016763
GgaAffx.20334.1.S1_at	RCJMB04_18a15	PDZ and LIM domain 5	CR524281.1	422699	-1.22	-3.917	0.024878
Gga.12310.1.S1_at			BX950437.1		-1.22	-3.263	0.033914
GgaAffx.9462.1.S1_at	TYMS	thymidylate synthetase	ENSGALT00000024038.1	421060	-1.22	-3.288	0.032749
Gga.7230.1.S1_at	LOC422439	similar to Ets transcription factor	BX260969	422439	-1.22	-4.859	0.019357
Gga.4384.1.S2_at	BIRC2	baculoviral IAP repeat-containing 2	BU239841	374012	-1.23	-5.489	0.005878
GgaAffx.21583.1.S1_at		Finished cDNA, clone ChEST411n12	CR523032.1		-1.23	-13.758	0.003688
Gga.12608.1.S1_at	RCJMB04_5j21	insulin induced gene 2	BU468246	424276	-1.23	-5.121	0.010605
Gga.10881.1.S1_at		Transcribed locus, weakly similar to XP_369805.1  protein MG06320.4 [Magnaporthe grisea 70-15]	BU258477		-1.23	-8.422	0.001441
Gga.1807.2.S1_a_at		Finished cDNA, clone ChEST427m21	CR352642.1		-1.23	-3.733	0.03562
Gga.16679.1.S1_at		Finished cDNA, clone ChEST619l13	CR385403.1		-1.23	-3.613	0.023069
GgaAffx.1312.1.S1_at		Finished cDNA, clone ChEST594n6	ENSGALT00000003086.1		-1.23	-6.919	0.002393
Gga.7066.1.S1_at	LOC423255	similar to high-risk human papilloma viruses E6 oncoproteins targeted protein E6TP1 alpha; putative GAP protein alpha	BU314603	423255	-1.23	-7.324	0.002078
Gga.17208.1.S1_s_at		Finished cDNA, clone ChEST573o4	CR388881.1		-1.24	-3.91	0.045001
GgaAffx.21561.1.S1_at		Finished cDNA, clone ChEST569a9	CR523054.1		-1.24	-5.599	0.005167
Gga.16130.1.S1_at		Finished cDNA, clone ChEST424a5	CR386776.1		-1.24	-6.105	0.006893
Gga.15370.1.S1_at		Finished cDNA, clone ChEST123b17	BU230972		-1.24	-4.771	0.010972
Gga.4999.2.S1_at	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	AF074605.1	424121	-1.24	-3.509	0.026459
Gga.17034.1.S1_s_at	YPEL2	yippee-like 2 (Drosophila)	BU475817	417632	-1.24	-4.858	0.028665
Gga.2928.1.S1_at		Transcribed locus	BU144717		-1.24	-4.304	0.04438
Gga.2375.1.S2_at	CTNNA2	catenin (cadherin-associated protein), alpha 2	BU223694	396035	-1.25	-4.835	0.026603
Gga.3673.1.S2_at	LDB2	LIM domain binding 2	BU441362	395631	-1.25	-6.142	0.003813
Gga.19192.1.S1_at			CR406964.1		-1.25	-5.231	0.030064
Gga.15903.1.S1_s_at	PDZRN3	PDZ domain containing RING finger 3	CR387480.1	416099	-1.25	-13.897	0.000178
Gga.19285.1.S1_at		Finished cDNA, clone ChEST1018g20	BU221244		-1.25	-3.279	0.049094
GgaAffx.10647.1.S1_s_at	LOC428006	similar to neuroligin X	ENSGALT00000026841.1	428006	-1.25	-4.85	0.03193
GgaAffx.9478.1.S1_s_at	LOC427201	similar to Rho-guanine nucleotide exchange factor	ENSGALT00000024077.1	427201	-1.25	-3.808	0.028109
GgaAffx.21066.1.S1_at		Finished cDNA, clone ChEST859n24	CR523549.1		-1.26	-3.998	0.021966
Gga.1812.1.S1_at	TNFRSF11B	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	BU409388	378803	-1.26	-4.595	0.014294
Gga.1471.1.S1_at		Finished cDNA, clone ChEST189e1	BU357160		-1.26	-4.776	0.01553
Gga.17859.1.S1_at		Finished cDNA, clone ChEST537o15	BU341129		-1.26	-8.563	0.006864
GgaAffx.26426.1.S1_s_at	LOC424808	similar to secretogranin II	ENSGALT00000008311.1	424808	-1.26	-3.327	0.0346
Gga.4146.1.S1_at	LOC395489	EURL	NM_204737.1	395489	-1.27	-9.634	0.001024
Gga.10025.1.S1_at	CHGB	chromogranin B (secretogranin 1)	BU394932	421312	-1.27	-3.31	0.049898
Gga.4588.1.S1_at	CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	BU411780	374106	-1.27	-4.248	0.014036
Gga.19519.1.S1_at		Finished cDNA, clone ChEST572i4	BU415347		-1.27	-3.467	0.026187
Gga.1789.1.S1_at		Transcribed locus	BI067209		-1.27	-6.353	0.01667
Gga.8771.1.S1_at	FGFRL1	fibroblast growth factor receptor-like 1	NM_204456.1	395107	-1.28	-5.478	0.022253
Gga.14016.1.S1_x_at		Finished cDNA, clone ChEST61a6	BU106879		-1.28	-4.683	0.017697
GgaAffx.5185.2.S1_s_at	RCJMB04_28i17	acid phosphatase 2, lysosomal	ENSGALT00000013369.1	428864	-1.28	-3.496	0.037822
Gga.2528.1.S1_at		Transcribed locus, strongly similar to NP_062191.1  musculoaponeurotic fibrosarcoma (avian) oncogene homolog (c-maf) [Rattus norvegicus]	BU121979		-1.28	-3.888	0.024024
GgaAffx.21597.1.S1_at		Finished cDNA, clone ChEST794e4	CR523018.1		-1.29	-10.631	0.000482
Gga.15965.1.S1_at			CR385280.1		-1.29	-9.951	0.002705
GgaAffx.23757.1.S1_at	ANK2	ankyrin 2, neuronal	ENSGALT00000019663.1	422689	-1.29	-6.94	0.003334
