mouse_unigeneid	mouse_mean_by_grade	human_unigeneid	human mean_by_grade	differ_by_grade_human_mouse_NB	mouse_genetitle	human_genetitle	mouse_genesymbol	human_gene_symbol
Mm.463942	3	Hs.660784	1.100529	-1.899471	Zinc finger with KRAB and SCAN domains 16 (Zkscan16), mRNA	zinc finger protein 483	Zkscan16	ZNF483
Mm.390829	3	Hs.657656	1.075397	-1.924603	Mdm2, transformed 3T3 cell double minute p53 binding protein	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) binding protein, 104kDa	Mtbp	MTBP
Mm.250599	4	Hs.165186	2.063492	-1.936508	pyrroline-5-carboxylate reductase-like	pyrroline-5-carboxylate reductase-like	Pycrl	PYCRL
Mm.294693	2.941176	Hs.247744	1	-1.941176	cAMP responsive element binding protein 3-like 3	cAMP responsive element binding protein 3-like 3	Creb3l3	CREB3L3
Mm.292837	3	Hs.534672	1.047619	-1.952381	RIKEN cDNA 2210411K11 gene	PREDICTED: Homo sapiens hypothetical gene supported by BC052596 (LOC388564), mRNA	2210411K11Rik	LOC388564
Mm.100113	4	Hs.534603	2.039683	-1.960317	predicted gene, 100041509 /// predicted gene, EG234703 /// predicted gene, EG665071 /// ribosomal protein 10	similar to ribosomal protein L10 /// similar to QM protein /// similar to ribosomal protein L10 /// similar to ribosomal protein L10 /// ribosomal protein L10	100041509 /// EG234703 /// EG665071 /// Rpl10	LOC100129975 /// LOC284393 /// LOC285176 /// LOC644937 /// RPL10
Mm.352201	4	Hs.534603	2.039683	-1.960317	ribosomal protein 10	similar to ribosomal protein L10 /// similar to QM protein /// similar to ribosomal protein L10 /// similar to ribosomal protein L10 /// ribosomal protein L10	Rpl10	LOC100129975 /// LOC284393 /// LOC285176 /// LOC644937 /// RPL10
Mm.35061	4	Hs.657680	2.039683	-1.960317	polymerase (DNA directed), epsilon	polymerase (DNA directed), epsilon	Pole	POLE
Mm.108677	4	Hs.714839	2.039683	-1.960317	zinc finger protein 384	zinc finger protein 384	Zfp384	ZNF384
Mm.316391	3	Hs.567423	1.037037	-1.962963	phospholipase C, eta 1	phospholipase C, eta 1	Plch1	PLCH1
Mm.46346	3	Hs.369924	1.035714	-1.964286	NHL repeat containing 2	MRNA; cDNA DKFZp313F0131 (from clone DKFZp313F0131)	Nhlrc2	NHLRC2
Mm.378951	3	Hs.495080 /// Hs.697089 /// Hs.74647	1.007936	-1.992064	kinesin family member C3	T-cell receptor active alpha-chain V-region (V-J-C) mRNA, partial cds, clone AB11 /// TCR alpha chain, specific for Mage 3/HLA-A2	Kifc3	KIFC3 /// TRA@
Mm.4453	3	Hs.710330	1.007936	-1.992064	uroplakin 2	uroplakin 2	Upk2	UPK2
Mm.100187	3	Hs.571246	1.007936	-1.992064	solute carrier family 26, member 4	solute carrier family 26, member 4	Slc26a4	SLC26A4
Mm.214132	3	Hs.287554	1.003968	-1.996032	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20	ADAM metallopeptidase with thrombospondin type 1 motif, 20	Adamts20	ADAMTS20
Mm.436650	3	Hs.227115	1	-2	POU domain, class 2, transcription factor 3	POU class 2 homeobox 3	Pou2f3	POU2F3
Mm.89646	3	Hs.259666	1	-2	lactation elevated 1	lactation elevated 1	Lace1	LACE1
Mm.1272	3	Hs.81218	1	-2	receptor-associated protein of the synapse	receptor-associated protein of the synapse	Rapsn	RAPSN
Mm.30110	3.970588	Hs.598731	1.968254	-2.002334	mannosidase, alpha, class 2C, member 1	mannosidase, alpha, class 2C, member 1	Man2c1	MAN2C1
Mm.36699	4	Hs.710086	1.992064	-2.007936	Yip1 interacting factor homolog B (S. cerevisiae)	hypothetical protein LOC541469	Yif1b	LOC541469
Mm.436553	4	Hs.430199	1.97619	-2.023809	coiled-coil domain containing 142 /// mitochondrial ribosomal protein L53	coiled-coil domain containing 142	Ccdc142 /// Mrpl53	CCDC142
Mm.377880	3.117647	Hs.658713	1.071429	-2.046219	histone cluster 1, H2bc /// histone cluster 1, H2be /// histone cluster 1, H2bl /// histone cluster 1, H2bm /// histone cluster 1, H2bp /// similar to Hist1h2bj protein /// H2b histone family member /// predicted gene, OTTMUSG00000013203	histone cluster 1, H2bc	Hist1h2bc /// Hist1h2be /// Hist1h2bl /// Hist1h2bm /// Hist1h2bp /// LOC100046213 /// LOC665622 /// RP23-38E20.1	HIST1H2BC
Mm.477771	3.137255	Hs.280388	1.087302	-2.049953	nephronophthisis 1 (juvenile) homolog (human)	nephronophthisis 1 (juvenile)	Nphp1	NPHP1
Mm.377880	3.117647	Hs.182432	1.007936	-2.109711	histone cluster 1, H2bc /// histone cluster 1, H2be /// histone cluster 1, H2bl /// histone cluster 1, H2bm /// histone cluster 1, H2bp /// similar to Hist1h2bj protein /// H2b histone family member /// predicted gene, OTTMUSG00000013203	histone cluster 1, H2bm	Hist1h2bc /// Hist1h2be /// Hist1h2bl /// Hist1h2bm /// Hist1h2bp /// LOC100046213 /// LOC665622 /// RP23-38E20.1	HIST1H2BM
Mm.30043	4	Hs.705711	1.888889	-2.111111	signal peptidase complex subunit 2 homolog (S. cerevisiae)	signal peptidase complex subunit 2 homolog (S. cerevisiae)	Spcs2	SPCS2
Mm.268854	3.117647	Hs.670497	1	-2.117647	synapse defective 1, Rho GTPase, homolog 2 (C. elegans)	synapse defective 1, Rho GTPase, homolog 2 (C. elegans)	Syde2	SYDE2
Mm.477034	3.117647	Hs.592238	1	-2.117647	trafficking protein particle complex 2	spondyloepiphyseal dysplasia, late, pseudogene /// trafficking protein particle complex 2	Trappc2	SEDLP /// TRAPPC2
Mm.377880	3.117647	Hs.656567	1	-2.117647	histone cluster 1, H2bc /// histone cluster 1, H2be /// histone cluster 1, H2bl /// histone cluster 1, H2bm /// histone cluster 1, H2bp /// similar to Hist1h2bj protein /// H2b histone family member /// predicted gene, OTTMUSG00000013203	histone cluster 1, H2bj	Hist1h2bc /// Hist1h2be /// Hist1h2bl /// Hist1h2bm /// Hist1h2bp /// LOC100046213 /// LOC665622 /// RP23-38E20.1	HIST1H2BJ
Mm.392509	3.176471	Hs.369924	1.035714	-2.140756	NHL repeat containing 2	MRNA; cDNA DKFZp313F0131 (from clone DKFZp313F0131)	Nhlrc2	NHLRC2
Mm.24254	4	Hs.50823 /// Hs.675200	1.833333	-2.166667	programmed cell death 6	Aryl-hydrocarbon receptor repressor, mRNA (cDNA clone IMAGE:5172507)	Pdcd6	PDCD6
Mm.45125	3.176471	Hs.710338	1	-2.176471	mitochondrial fission regulator 1	PREDICTED: Homo sapiens hypothetical protein LOC100128692 (LOC100128692), mRNA	Mtfr1	LOC100128692
Mm.296254	4	Hs.28896	1.801587	-2.198413	RIKEN cDNA A830080D01 gene	chromosome X open reading frame 23	A830080D01Rik	CXorf23
Mm.259293	4	Hs.655373	1.801587	-2.198413	RIKEN cDNA 2700094K13 gene	chromosome 11 open reading frame 31	2700094K13Rik	C11orf31
Mm.249548	3.647059	Hs.639842	1.444444	-2.202614	predicted gene, 100043821 /// cDNA sequence BC094435 /// CCR4 carbon catabolite repression 4-like (S. cerevisiae) /// component of oligomeric golgi complex 6 /// SH3-domain GRB2-like (endophilin) interacting protein 1	CCR4 carbon catabolite repression 4-like (S. cerevisiae)	100043821 /// BC094435 /// Ccrn4l /// Cog6 /// Sgip1	CCRN4L
Mm.289463	4	Hs.128078	1.793651	-2.206349	RIKEN cDNA 0610010B08 gene /// similar to zinc finger protein 14 /// predicted gene, OTTMUSG00000016219	zinc finger protein 624	0610010B08Rik /// LOC627901 /// OTTMUSG00000016219	ZNF624
Mm.37801	4	Hs.123253	1.769841	-2.230159	Shc SH2-domain binding protein 1	SHC SH2-domain binding protein 1	Shcbp1	SHCBP1
Mm.17853	3.5	Hs.102971	1.253968	-2.246032	asparagine-linked glycosylation 10 homolog B (yeast, alpha-1,2-glucosyltransferase)	asparagine-linked glycosylation 10, alpha-1,2-glucosyltransferase homolog (S. pombe)	Alg10b	ALG10
Mm.441022	3.5	Hs.239459	1.222222	-2.277778	DNA-damage inducible protein 2	DDI1, DNA-damage inducible 1, homolog 2 (S. cerevisiae)	Ddi2	DDI2
Mm.229128	4	Hs.655173	1.722222	-2.277778	synaptonemal complex central element protein 2	synaptonemal complex central element protein 2	Syce2	SYCE2
Mm.29536	3.705882	Hs.368348	1.42328	-2.282602	pseudouridylate synthase 10	pseudouridylate synthase 10	Pus10	PUS10
Mm.261676	3.294118	Hs.656567	1	-2.294118	histone cluster 1, H2bc	histone cluster 1, H2bj	Hist1h2bc	HIST1H2BJ
Mm.22776	4	Hs.567374	1.690476	-2.309524	eukaryotic translation initiation factor 3, subunit C	eukaryotic translation initiation factor 3, subunit C	Eif3c	EIF3C
Mm.181488	4	Hs.515114	1.674603	-2.325397	zinc finger protein 414	zinc finger protein 414	Zfp414	ZNF414
Mm.291129	3.352941	Hs.128196	1.015873	-2.337068	MICAL C-terminal like	MICAL C-terminal like	Micalcl	MICALCL
Mm.276096	3.352941	Hs.623978	1.007936	-2.345005	zinc finger, MYM-type 6	zinc finger, MYM-type 6	Zmym6	ZMYM6
Mm.260084	4	Hs.518475	1.642857	-2.357143	eukaryotic translation initiation factor 4A2	eukaryotic translation initiation factor 4A, isoform 2	Eif4a2	EIF4A2
Mm.28540	4	Hs.656420	1.626984	-2.373016	lysine (K)-specific demethylase 1	amine oxidase (flavin containing) domain 2	Kdm1	AOF2
Mm.44355	4	Hs.659778	1.603175	-2.396825	family with sequence similarity 81, member A	Family with sequence similarity 81, member A (FAM81A), mRNA	Fam81a	FAM81A
Mm.205196	4	Hs.187866	1.603175	-2.396825	RIKEN cDNA 2410076I21 gene	chromosome 15 open reading frame 60	2410076I21Rik	C15orf60
Mm.314497	3.411765	Hs.333958	1	-2.411765	solute carrier family 4, sodium bicarbonate cotransporter-like, member 10	solute carrier family 4, sodium bicarbonate transporter, member 10	Slc4a10	SLC4A10
Mm.320432	4	Hs.530000	1.587302	-2.412698	expressed sequence AU022870	chromosome 7 open reading frame 28A	AU022870	C7orf28A
Mm.25339	4	Hs.173043	1.579365	-2.420635	metastasis-associated gene family, member 2	metastasis associated 1 family, member 2	Mta2	MTA2
Mm.1777	4	Hs.648223	1.571429	-2.428571	heat shock protein 1 (chaperonin)	heat shock 60kDa protein 1 (chaperonin) /// heat shock 60kDa protein 1 (chaperonin) pseudogene 4	Hspd1	HSPD1 /// HSPD1P4
Mm.86541	3.882353	Hs.639842	1.444444	-2.437908	predicted gene, 100043775 /// RIKEN cDNA 2700079J08 gene /// CCR4 carbon catabolite repression 4-like (S. cerevisiae)	CCR4 carbon catabolite repression 4-like (S. cerevisiae)	100043775 /// 2700079J08Rik /// Ccrn4l	CCRN4L
Mm.104744	3.441176	Hs.710833	1	-2.441176	tight junction protein 2	hypothetical protein LOC100131414 /// tight junction protein 2 (zona occludens 2)	Tjp2	LOC100131414 /// TJP2
Mm.9870	4	Hs.88663	1.547619	-2.452381	centromere protein Q	centromere protein Q	Cenpq	CENPQ
Mm.336244	3.588235	Hs.60386	1.071429	-2.516807	nuclear RNA export factor 3	nuclear RNA export factor 3	Nxf3	NXF3
Mm.24397	3.764706	Hs.506325	1.166667	-2.598039	nudix (nucleoside diphosphate linked moiety X)-type motif 4	CDNA FLJ23763 fis, clone HEP18716, highly similar to Homo sapiens diphosphoinositol polyphosphate phosphohydrolase type 2 beta (NUDT4) mRNA	Nudt4	NUDT4
Mm.27945	4	Hs.656996	1.392857	-2.607143	GINS complex subunit 4 (Sld5 homolog)	GINS complex subunit 4 (Sld5 homolog)	Gins4	GINS4
Mm.45753	4	Hs.591130	1.380952	-2.619048	Rho GTPase activating protein 11A	Rho GTPase activating protein 11A	Arhgap11a	ARHGAP11A
Mm.364956	3.647059	Hs.636044	1.015873	-2.631186	serine hydroxymethyltransferase 1 (soluble)	serine hydroxymethyltransferase 1 (soluble)	Shmt1	SHMT1
Mm.340090	3.705882	Hs.440895	1.071429	-2.634454	myosin, heavy polypeptide 3, skeletal muscle, embryonic	myosin, heavy chain 3, skeletal muscle, embryonic	Myh3	MYH3
Mm.168688	3.705882	Hs.676457	1	-2.705882	WW domain binding protein 7	myeloid/lymphoid or mixed-lineage leukemia 4	Wbp7	MLL4
Mm.736	4	Hs.666365	1.269841	-2.730159	SH3-domain GRB2-like 3	SH3-domain GRB2-like 3	Sh3gl3	SH3GL3
Mm.212908	4	Hs.632067	1.261905	-2.738095	zinc finger protein 704	zinc finger protein 704	Zfp704	ZNF704
Mm.236256	4	Hs.34012	1.257936	-2.742064	breast cancer 2	breast cancer 2, early onset	Brca2	BRCA2
Mm.44355	4	Hs.710601	1.238095	-2.761905	family with sequence similarity 81, member A	family with sequence similarity 81, member A /// hypothetical protein LOC100130999	Fam81a	FAM81A /// LOC100130999
Mm.38011	3.941176	Hs.632300	1.166667	-2.77451	brain protein I3	hypothetical protein LOC644975	Bri3	FLJ30064
Mm.425171	3.823529	Hs.45056	1.039683	-2.783847	kelch-like 32 (Drosophila)	kelch-like 32 (Drosophila)	Klhl32	KLHL32
Mm.288726	4	Hs.444179	1.178571	-2.821429	lemur tyrosine kinase 2	lemur tyrosine kinase 2	Lmtk2	LMTK2
Mm.316592	4	Hs.452943	1.15873	-2.84127	ribosomal protein L21	similar to ribosomal protein L21 /// similar to mCG9390 /// similar to hCG2016451 /// hypothetical LOC100133773 /// similar to 60S ribosomal protein L21 /// similar to ribosomal protein L21 /// similar to 60S ribosomal protein L21 /// similar t	Rpl21	LOC100129141 /// LOC100131672 /// LOC100133273 /// LOC100133773 /// LOC387753 /// LOC389156 /// LOC402176 /// LOC440575 /// LOC442160 /// LOC641293 /// LOC642738 /// LOC645157 /// LOC645174 /// LOC646279 /// LOC650059 /// LOC653079 /// LOC65366
Mm.335946	3.941176	Hs.459590	1.095238	-2.845938	chemokine (C-C motif) ligand 27A	chemokine (C-C motif) ligand 27	Ccl27a	CCL27
Mm.250980	3.882353	Hs.446077	1	-2.882353	solute carrier family 38, member 4	solute carrier family 38, member 4	Slc38a4	SLC38A4
Mm.478157	3.941176	Hs.592221	1.039683	-2.901494	melanoma associated antigen (mutated) 1-like 1	melanoma associated antigen (mutated) 1-like 1	Mum1l1	MUM1L1
Mm.295212	3.941176	Hs.368639	1.02381	-2.917367	ring finger protein 217	ring finger protein 217	Rnf217	RNF217
Mm.338718	4	Hs.534012	1.063492	-2.936508	predicted gene, EG629732 /// ribosomal protein S8 pseudogene /// similar to ribosomal protein S8 /// predicted gene, OTTMUSG00000000623 /// predicted gene, OTTMUSG00000016200 /// predicted gene, OTTMUSG00000022847 /// ribosomal protein S8	hypothetical LOC388076 /// ribosomal protein S8	EG629732 /// LOC100042180 /// LOC100048094 /// OTTMUSG00000000623 /// OTTMUSG00000016200 /// OTTMUSG00000022847 /// Rps8	LOC388076 /// RPS8
Mm.34580	4	Hs.607889	1.055556	-2.944444	TANK-binding kinase 1	TANK-binding kinase 1	Tbk1	TBK1
Mm.390700	4	Hs.615287	1.015873	-2.984127	neurofilament, medium polypeptide	neurofilament, medium polypeptide	Nefm	NEFM
Mm.24431	4	Hs.632426	1.007936	-2.992064	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa	Taf13	TAF13
Mm.2284	4	Hs.709495	1.007936	-2.992064	hexosaminidase A	hexosaminidase A (alpha polypeptide)	Hexa	HEXA
Mm.27801	4	Hs.162989	1.003968	-2.996032	solute carrier family 30 (zinc transporter), member 4	solute carrier family 30 (zinc transporter), member 4	Slc30a4	SLC30A4
Mm.2679	4	Hs.405348	1	-3	angiotensin II receptor, type 2	angiotensin II receptor, type 2	Agtr2	AGTR2
Mm.311439	4	Hs.666214	1	-3	heterogeneous nuclear ribonucleoprotein M	heterogeneous nuclear ribonucleoprotein M	Hnrnpm	HNRNPM
