Agilent Accession	aAverage Fold Difference	p-value (n=3)	Genbank Accession	Gene Description and Symbol
A_52_P604849	0.223	9.25E-03	NM_013884	Mus musculus chondroitin sulfate proteoglycan 5 (Cspg5), mRNA [NM_013884]
A_51_P160824	0.120	6.12E-05	NM_139001	Mus musculus chondroitin sulfate proteoglycan 4 (Cspg4), mRNA [NM_139001]
A_51_P354307	0.072	1.49E-02	NM_172469	Mus musculus chloride intracellular channel 6 (Clic6), mRNA [NM_172469]
A_51_P193993	4.210	1.92E-02	NM_172621	Mus musculus chloride intracellular channel 5 (Clic5), mRNA [NM_172621]
A_51_P127681	0.276	1.28E-07	NM_013885	Mus musculus chloride intracellular channel 4 (mitochondrial) (Clic4), mRNA [NM_013885]
A_52_P152274	9.208	5.60E-04	NM_024412	Mus musculus chloride channel Ka (Clcnka), mRNA [NM_024412]
A_51_P253074	0.102	2.16E-03	NM_027979	Mus musculus chitinase 1 (chitotriosidase) (Chit1), mRNA [NM_027979]
A_51_P321886	0.069	4.07E-05	NM_024217	Mus musculus chemokine-like factor super family 3 (Cklfsf3), mRNA [NM_024217]
A_52_P675395	0.169	1.70E-06	NM_007722	Mus musculus chemokine orphan receptor 1 (Cmkor1), mRNA [NM_007722]
A_51_P461665	0.190	2.45E-03	NM_008599	Mus musculus chemokine (C-X-C motif) ligand 9 (Cxcl9), mRNA [NM_008599]
A_51_P374203	7.659	1.68E-04	NM_023158	Mus musculus chemokine (C-X-C motif) ligand 16 (Cxcl16), mRNA [NM_023158]
A_51_P172502	0.189	3.11E-06	NM_013655	Mus musculus chemokine (C-X-C motif) ligand 12 (Cxcl12), transcript variant 2, mRNA [NM_013655]
A_52_P685021	0.178	1.37E-04	NM_021704	Mus musculus chemokine (C-X-C motif) ligand 12 (Cxcl12), transcript variant 1, mRNA [NM_021704]
A_51_P432641	0.069	1.15E-02	NM_021274	Mus musculus chemokine (C-X-C motif) ligand 10 (Cxcl10), mRNA [NM_021274]
A_51_P464703	0.052	2.69E-04	NM_021443	Mus musculus chemokine (C-C motif) ligand 8 (Ccl8), mRNA [NM_021443]
A_52_P208763	0.060	2.17E-04	NM_013654	Mus musculus chemokine (C-C motif) ligand 7 (Ccl7), mRNA [NM_013654]
A_51_P436652	0.067	8.65E-07	NM_013654	Mus musculus chemokine (C-C motif) ligand 7 (Ccl7), mRNA [NM_013654]
A_51_P286737	0.352	9.05E-04	NM_011333	Mus musculus chemokine (C-C motif) ligand 2 (Ccl2), mRNA [NM_011333]
A_51_P114462	0.366	2.56E-02	NM_011332	Mus musculus chemokine (C-C motif) ligand 17 (Ccl17), mRNA [NM_011332]
A_51_P117739	0.014	1.41E-03	NM_010216	Mus musculus c-fos induced growth factor (Figf), mRNA [NM_010216]
A_52_P559545	0.149	4.99E-07	NM_207298	Mus musculus cerebral endothelial cell adhesion molecule 1 (Ceecam1), mRNA [NM_207298]
A_52_P233703	0.189	1.87E-02	NM_172633	Mus musculus cerebellin 2 precursor protein (Cbln2), mRNA [NM_172633]
A_52_P233701	0.036	6.31E-03	NM_172633	Mus musculus cerebellin 2 precursor protein (Cbln2), mRNA [NM_172633]
A_52_P613769	0.392	2.28E-03	NM_007697	Mus musculus cell adhesion molecule with homology to L1CAM (Chl1), mRNA [NM_007697]
A_51_P228604	0.341	2.19E-02	NM_027839	Mus musculus CEA-related cell adhesion molecule 20 (Ceacam20), mRNA [NM_027839]
A_52_P244005	0.370	3.40E-04	NM_009855	Mus musculus CD80 antigen (Cd80), mRNA [NM_009855]
A_51_P511810	0.182	8.86E-06	NM_007653	Mus musculus Cd63 antigen (Cd63), mRNA [NM_007653]
A_51_P221014	0.368	2.31E-06	NM_010581	Mus musculus CD47 antigen (Rh-related antigen, integrin-associated signal transducer) (Cd47), mRNA [NM_010581]
A_52_P43549	4.383	5.32E-05	NM_007646	Mus musculus CD38 antigen (Cd38), mRNA [NM_007646]
A_52_P168962	4.227	2.50E-03	NM_007646	Mus musculus CD38 antigen (Cd38), mRNA [NM_007646]
A_51_P514623	0.009	2.86E-03	NM_025422	Mus musculus CD302 antigen (Cd302), mRNA [NM_025422]
A_52_P5454	0.033	2.69E-04	NM_054042	Mus musculus CD248 antigen, endosialin (Cd248), mRNA [NM_054042]
A_51_P188271	0.016	6.09E-05	NM_054042	Mus musculus CD248 antigen, endosialin (Cd248), mRNA [NM_054042]
A_51_P231042	0.250	1.97E-03	NM_053094	Mus musculus CD163 antigen (Cd163), mRNA [NM_053094]
A_52_P8587	0.030	6.47E-03	NM_153098	Mus musculus CD109 antigen (Cd109), mRNA [NM_153098]
A_52_P134052	0.071	3.69E-02	NM_153098	Mus musculus CD109 antigen (Cd109), mRNA [NM_153098]
A_51_P349546	0.077	3.73E-05	NM_153098	Mus musculus CD109 antigen (Cd109), mRNA [NM_153098]
A_51_P444447	0.323	1.27E-07	NM_007679	Mus musculus CCAAT/enhancer binding protein (C/EBP), delta (Cebpd), mRNA [NM_007679]
A_52_P62085	0.209	1.19E-06	NM_022325	Mus musculus cathepsin Z (Ctsz), mRNA [NM_022325]
A_51_P256202	0.167	9.14E-05	NM_022325	Mus musculus cathepsin Z (Ctsz), mRNA [NM_022325]
A_51_P448236	0.126	4.01E-02	NM_007802	Mus musculus cathepsin K (Ctsk), mRNA [NM_007802]
A_52_P433889	0.395	3.66E-05	NM_007798	Mus musculus cathepsin B (Ctsb), mRNA [NM_007798]
A_51_P190249	0.375	3.28E-02	NM_008729	Mus musculus catenin (cadherin associated protein), delta 2 (Ctnnd2), mRNA [NM_008729]
A_52_P416272	3.051	2.36E-03	NM_018761	Mus musculus catenin (cadherin associated protein), alpha-like 1 (Ctnnal1), mRNA [NM_018761]
A_51_P202714	3.114	3.36E-06	NM_018761	Mus musculus catenin (cadherin associated protein), alpha-like 1 (Ctnnal1), mRNA [NM_018761]
A_51_P234113	0.146	1.86E-06	NM_172729	Mus musculus caspase recruitment domain 4 (Card4), mRNA [NM_172729]
A_51_P487518	0.205	4.48E-05	NM_009808	Mus musculus caspase 12 (Casp12), mRNA [NM_009808]
A_51_P511787	0.052	1.87E-05	NM_007609	Mus musculus caspase 11, apoptosis-related cysteine protease (Casp11), mRNA [NM_007609]
A_51_P142861	0.348	9.66E-06	NM_009807	Mus musculus caspase 1 (Casp1), mRNA [NM_009807]
A_51_P491378	0.109	1.98E-04	NM_007784	Mus musculus casein alpha (Csna), mRNA [NM_007784]
A_51_P201721	0.342	9.16E-06	NM_019922	Mus musculus cartilage associated protein (Crtap), mRNA [NM_019922]
A_52_P609711	3.427	3.16E-03	NM_178396	Mus musculus carbonic anyhydrase 12 (Car12), mRNA [NM_178396]
A_52_P625118	12.330	4.70E-02	NM_007592	Mus musculus carbonic anhydrase 8 (Car8), mRNA [NM_007592]
A_51_P258894	0.183	1.77E-02	NM_018763	Mus musculus carbohydrate sulfotransferase 2 (Chst2), mRNA [NM_018763]
A_52_P176409	0.331	6.57E-04	NM_021528	Mus musculus carbohydrate sulfotransferase 12 (Chst12), mRNA [NM_021528]
A_51_P126864	0.139	7.64E-03	NM_021439	Mus musculus carbohydrate sulfotransferase 11 (Chst11), mRNA [NM_021439]
A_51_P445562	3.750	3.25E-04	NM_145142	Mus musculus carbohydrate sulfotransferase 10 (Chst10), mRNA [NM_145142]
A_51_P277006	0.026	1.98E-03	NM_175140	Mus musculus carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8 (Chst8), mRNA [NM_175140]
A_51_P350817	0.026	1.29E-04	NM_009922	Mus musculus calponin 1 (Cnn1), mRNA [NM_009922]
A_51_P448109	0.367	1.62E-06	NM_009794	Mus musculus calpain 2 (Capn2), mRNA [NM_009794]
A_52_P367760	0.182	3.33E-02	NM_138304	Mus musculus calmodulin-like 4 (Calml4), mRNA [NM_138304]
A_51_P485688	0.178	2.40E-02	NM_007666	Mus musculus cadherin 6 (Cdh6), mRNA [NM_007666]
A_51_P433237	0.296	2.20E-02	NM_007665	Mus musculus cadherin 3 (Cdh3), mRNA [NM_007665]
A_51_P262773	0.319	1.31E-04	NM_007664	Mus musculus cadherin 2 (Cdh2), mRNA [NM_007664]
A_51_P114826	0.073	2.74E-05	NM_019707	Mus musculus cadherin 13 (Cdh13), mRNA [NM_019707]
A_52_P437795	0.007	1.07E-04	NM_009866	Mus musculus cadherin 11 (Cdh11), mRNA [NM_009866]
A_51_P506204	0.007	7.23E-05	NM_009866	Mus musculus cadherin 11 (Cdh11), mRNA [NM_009866]
A_52_P384718	0.034	2.13E-02	BC052056	Mus musculus cadherin 10, mRNA (cDNA clone MGC:62439 IMAGE:5696194), complete cds. [BC052056]
A_52_P385546	0.017	6.12E-05	NM_153155	Mus musculus C1q-like 3 (C1ql3), mRNA [NM_153155]
A_52_P405177	0.108	7.32E-06	NM_028331	Mus musculus C1q and tumor necrosis factor related protein 6 (C1qtnf6), mRNA [NM_028331]
A_51_P373911	0.149	2.57E-03	NM_145613	Mus musculus C1q and tumor necrosis factor related protein 5 (C1qtnf5), mRNA [NM_145613]
A_52_P586944	0.017	1.33E-05	NM_007560	Mus musculus bone morphogenetic protein receptor, type 1B (Bmpr1b), mRNA [NM_007560]
A_51_P411926	3.137	9.95E-03	NM_007559	Mus musculus bone morphogenetic protein 8b (Bmp8b), mRNA [NM_007559]
A_51_P213266	0.067	3.70E-06	NM_007558	Mus musculus bone morphogenetic protein 8a (Bmp8a), mRNA [NM_007558]
A_52_P468441	3.715	1.31E-03	NM_007556	Mus musculus bone morphogenetic protein 6 (Bmp6), mRNA [NM_007556]
A_51_P499838	4.278	2.92E-05	NM_009763	Mus musculus bone marrow stromal cell antigen 1 (Bst1), mRNA [NM_009763]
A_52_P437421	0.044	4.54E-05	NM_028472	Mus musculus BMP-binding endothelial regulator (Bmper), mRNA [NM_028472]
A_51_P488196	0.027	7.19E-04	NM_028472	Mus musculus BMP-binding endothelial regulator (Bmper), mRNA [NM_028472]
A_52_P19711	0.096	2.18E-03	BC057185	Mus musculus biglycan, mRNA (cDNA clone IMAGE:5067188), complete cds. [BC057185]
A_52_P162486	0.009	1.25E-05	NM_007542	Mus musculus biglycan (Bgn), mRNA [NM_007542]
A_52_P300786	4.494	9.84E-03	NM_010870	Mus musculus baculoviral IAP repeat-containing 1e (Birc1e), mRNA [NM_010870]
A_51_P265026	5.349	4.66E-04	NM_010872	Mus musculus baculoviral IAP repeat-containing 1b (Birc1b), mRNA [NM_010872]
A_51_P316129	3.294	4.57E-07	NM_174875	Mus musculus autophagy-related 4A-like (yeast) (Atg4al), mRNA [NM_174875]
A_52_P336142	3.370	1.79E-06	NM_011920	Mus musculus ATP-binding cassette, sub-family G (WHITE), member 2 (Abcg2), mRNA [NM_011920]
A_51_P184886	3.896	3.20E-07	NM_011920	Mus musculus ATP-binding cassette, sub-family G (WHITE), member 2 (Abcg2), mRNA [NM_011920]
A_51_P222467	0.369	1.89E-04	NM_009593	Mus musculus ATP-binding cassette, sub-family G (WHITE), member 1 (Abcg1), mRNA [NM_009593]
A_51_P290526	0.122	1.34E-02	NM_011994	Mus musculus ATP-binding cassette, sub-family D (ALD), member 2 (Abcd2), mRNA [NM_011994]
A_52_P628117	0.143	3.09E-03	NM_176839	Mus musculus ATP-binding cassette, sub-family C (CFTR/MRP), member 5 (Abcc5), transcript variant 2, mRNA [NM_176839]
A_51_P116421	0.204	4.24E-06	NM_013790	Mus musculus ATP-binding cassette, sub-family C (CFTR/MRP), member 5 (Abcc5), transcript variant 1, mRNA [NM_013790]
A_51_P116419	0.132	4.36E-02	NM_013790	Mus musculus ATP-binding cassette, sub-family C (CFTR/MRP), member 5 (Abcc5), transcript variant 1, mRNA [NM_013790]
A_51_P249118	0.347	5.64E-05	NM_008830	Mus musculus ATP-binding cassette, sub-family B (MDR/TAP), member 4 (Abcb4), mRNA [NM_008830]
A_52_P170509	0.159	7.07E-05	NM_011075	Mus musculus ATP-binding cassette, sub-family B (MDR/TAP), member 1B (Abcb1b), mRNA [NM_011075]
A_51_P245368	0.159	3.39E-05	NM_011075	Mus musculus ATP-binding cassette, sub-family B (MDR/TAP), member 1B (Abcb1b), mRNA [NM_011075]
A_51_P144696	4.187	2.36E-02	NM_019552	Mus musculus ATP-binding cassette, sub-family B (MDR/TAP), member 10 (Abcb10), nuclear gene encoding mitochondrial protein, mRNA [NM_019552]
A_51_P372393	0.117	6.30E-03	NM_009641	Mus musculus angiopoietin 4 (Angpt4), mRNA [NM_009641]
A_51_P201982	0.060	1.09E-04	NM_007426	Mus musculus angiopoietin 2 (Angpt2), mRNA [NM_007426]
A_52_P574140	0.186	2.01E-02	NM_009640	Mus musculus angiopoietin 1 (Angpt1), mRNA [NM_009640]
A_52_P160328	0.390	8.58E-03	NM_009640	Mus musculus angiopoietin 1 (Angpt1), mRNA [NM_009640]
A_51_P179504	0.167	1.68E-02	U72672	Mus musculus angiogenin-3 precursor mRNA, complete cds [U72672]
A_51_P157223	0.183	1.82E-02	AK019057	Mus musculus clone:2210040K03 product:epiregulin, full insert sequence. [AK019057]
A_51_P286431	5.041	1.95E-02	AK019053	Mus musculus clone:2210018M05 product:midline 1, full insert sequence. [AK019053]
A_51_P286426	7.299	4.71E-04	AK019053	Mus musculus clone:2210018M05 product:midline 1, full insert sequence. [AK019053]
A_52_P544810	0.367	2.17E-02	AK021064	Mus musculus clone:C030011H18 product:TRANSMEMBRANE GLYCOPROTEIN CADHERIN-10 homolog [Mus musculus], full insert sequence. [AK021064]
A_52_P207173	0.204	2.09E-02	AK040662	Mus musculus  clone:A530009B11 product:serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1, full insert sequence. [AK040662]
A_51_P265571	0.393	1.54E-03	NM_009627	Mus musculus adrenomedullin (Adm), mRNA [NM_009627]
A_51_P347862	0.391	2.12E-06	NM_134156	Mus musculus actinin, alpha 1 (Actn1), mRNA [NM_134156]
A_51_P241269	0.232	1.60E-04	NM_009610	Mus musculus actin, gamma 2, smooth muscle, enteric (Actg2), mRNA [NM_009610]
A_51_P149469	0.042	2.76E-05	NM_009608	Mus musculus actin, alpha, cardiac (Actc1), mRNA [NM_009608]
A_52_P420504	0.058	7.97E-05	NM_007392	Mus musculus actin, alpha 2, smooth muscle, aorta (Acta2), mRNA [NM_007392]
A_52_P210078	0.010	6.74E-05	NM_007392	Mus musculus actin, alpha 2, smooth muscle, aorta (Acta2), mRNA [NM_007392]
A_51_P246854	0.047	7.45E-06	NM_009606	Mus musculus actin, alpha 1, skeletal muscle (Acta1), mRNA [NM_009606]
A_52_P640512	0.222	1.29E-03	NM_198649	Mus musculus actin binding LIM protein family, member 3 (Ablim3), mRNA [NM_198649]
A_52_P306305	0.217	1.22E-04	NM_009649	Mus musculus A kinase (PRKA) anchor protein 2 (Akap2), mRNA [NM_009649]
A_52_P49321	0.245	2.19E-04	BC068142	Mus musculus a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 9, mRNA (cDNA clone IMAGE:30536534) [BC068142]
A_52_P509020	4.565	2.35E-04	NM_013906	Mus musculus a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 8 (Adamts8), mRNA [NM_013906]
A_51_P110830	4.443	6.01E-03	NM_013906	Mus musculus a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 8 (Adamts8), mRNA [NM_013906]
A_51_P233534	0.029	5.88E-07	NM_011782	Mus musculus a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2) (Adamts5), mRNA [NM_011782]
A_52_P184042	0.150	4.69E-03	NM_175643	Mus musculus a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2 (Adamts2), mRNA [NM_175643]
A_51_P227222	0.007	1.86E-05	NM_175643	Mus musculus a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2 (Adamts2), mRNA [NM_175643]
A_52_P233305	0.231	3.78E-02	NM_175501	Mus musculus a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 12 (Adamts12), mRNA [NM_175501]
A_52_P489295	0.237	2.72E-05	NM_009621	Mus musculus a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1 (Adamts1), mRNA [NM_009621]
A_52_P213932	0.323	1.94E-05	NM_009621	Mus musculus a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1 (Adamts1), mRNA [NM_009621]
A_52_P280044	0.062	1.63E-05	NM_009616	Mus musculus a disintegrin and metalloproteinase domain 19 (meltrin beta) (Adam19), mRNA [NM_009616]
A_51_P267447	0.097	8.95E-04	NM_009616	Mus musculus a disintegrin and metalloproteinase domain 19 (meltrin beta) (Adam19), mRNA [NM_009616]
A_52_P290457	0.030	4.05E-03	NM_007400	Mus musculus a disintegrin and metalloproteinase domain 12 (meltrin alpha) (Adam12), mRNA [NM_007400]
A_51_P510882	0.107	1.38E-03	NM_007400	Mus musculus a disintegrin and metalloproteinase domain 12 (meltrin alpha) (Adam12), mRNA [NM_007400]
A_51_P344177	0.379	3.05E-02	NM_007401	Mus musculus a disintegrin and metalloprotease domain 5 (Adam5), mRNA [NM_007401]
A_51_P419175	0.308	2.45E-02	NM_033615	Mus musculus a disintegrin and metalloprotease domain 33 (Adam33), mRNA [NM_033615]
A_52_P362757	0.025	1.24E-02	AK044870	Mus musculus  clone:B130009B12 product:procollagen, type VI, alpha 2, full insert sequence. [AK044870]
A_52_P389131	0.339	1.37E-02	AK017692	Mus musculus clone:5730470H08 product:junction cell adhesion molecule 3, full insert sequence. [AK017692]
A_52_P253179	0.083	1.24E-03	AK077477	Mus musculus clone:5730419J04 product:insulin-like growth factor binding protein 3, full insert sequence [AK077477]
A_52_P54274	0.192	4.40E-03	AK043055	Mus musculus clone:A730051H16 product:mannan-binding lectin serine protease 1, full insert sequence. [AK043055]
A_52_P587071	0.131	3.25E-03	NM_145227	Mus musculus 2-5 oligoadenylate synthetase 2 (Oas2), mRNA [NM_145227]
A_51_P277994	0.128	2.00E-05	NM_145227	Mus musculus 2-5 oligoadenylate synthetase 2 (Oas2), mRNA [NM_145227]
A_52_P362360	54.510	1.16E-05	L04961	Mouse nuclear-localized inactive X-specific transcript (Xist) mRNA [L04961]
A_52_P300376	14.570	3.43E-04	L04961	Mouse nuclear-localized inactive X-specific transcript (Xist) mRNA [L04961]
A_51_P145453	49.740	7.23E-05	L04961	Mouse nuclear-localized inactive X-specific transcript (Xist) mRNA [L04961]
A_52_P613255	0.010	7.39E-06	X15052	Mouse  mRNA for 3-end of NCAM-140 and NCAM-180 isoforms [X15052]
A_51_P380309	0.047	7.03E-06	X15052	Mouse  mRNA for 3-end of NCAM-140 and NCAM-180 isoforms [X15052]
