UNIQID	Gene Symbol	Chromosome Map	Gene Description
204933_s_at	TNFRSF11B	chr8q24	tumor necrosis factor receptor superfamily member
205583_s_at	CXorf45	chrxq23	chromosome X open reading frame 45
205680_at	MMP10	chr11q22	matrix metalloproteinase 10 (stromelysin 2)
221974_at	SNRPN	chr15q11	SNRPN upstream reading frame
201219_at	CTBP2	chr10q26	C-terminal binding protein 2
201681_s_at	DLG5	chr10q23	discs large homolog 5 (Drosophila)
209817_at	PPP3CB	chr10q21	protein phosphatase 3 (formerly 2B) catalytic sub
221802_s_at	KIAA1598	chr10q25	KIAA1598
212775_at	KIAA0657	chr2q35	KIAA0657 protein
222075_s_at	OAZ3	chr1q21	ornithine decarboxylase antizyme 3
201445_at	CNN3	chr1p22	calponin 3 acidic
218468_s_at	GREM1	chr15q13	gremlin 1 homolog cysteine knot superfamily (Xeno
202949_s_at	FHL2	chr2q12	four and a half LIM domains 2
203607_at	INPP5F	chr10q26	inositol polyphosphate-5-phosphatase F
203725_at	GADD45A	chr1p31	growth arrest and DNA-damage-inducible alpha
201109_s_at	THBS1	chr15q15	thrombospondin 1
207574_s_at	GADD45B	chr19p13	growth arrest and DNA-damage-inducible beta
201645_at	TNC	chr9q33	tenascin C (hexabrachion)
204324_s_at	GOLPH4	chr3q26	golgi phosphoprotein 4
201579_at	FAT	chr4q34	FAT tumor suppressor homolog 1 (Drosophila)
202729_s_at	LTBP1	chr2p22	latent transforming growth factor beta binding pro
201324_at	EMP1	chr12p12	epithelial membrane protein 1
201925_s_at	DAF	chr1q32	decay accelerating factor for complement (CD55 Cr
201105_at	LGALS1	chr22q13	lectin galactoside-binding soluble 1 (galectin
202620_s_at	PLOD2	chr3q23	procollagen-lysine 2-oxoglutarate 5-dioxygenase (
219890_at	CLECSF5	chr7q33	C-type (calcium dependent carbohydrate-recognitio
219768_at	B7-H4	chr1p13	immune costimulatory protein B7-H4
213413_at	SBLF	chr2p16	stoned B-like factor
218706_s_at	NS3TP2	chr5q23	HCV NS3-transactivated protein 2
202551_s_at	CRIM1	chr2p21	cysteine-rich motor neuron 1
205083_at	AOX1	chr2q33	aldehyde oxidase 1
208131_s_at	PTGIS	chr20q13	prostaglandin I2 (prostacyclin) synthase
213068_at	DPT	chr1q12	dermatopontin
202990_at	PYGL	chr14q21	phosphorylase glycogen; liver (Hers disease glyc
218113_at	TMEM2	chr9q13	transmembrane protein 2
207480_s_at	MEIS2	chr15q14	Meis1 myeloid ecotropic viral integration site 1
204112_s_at	HNMT	chr2q22	histamine N-methyltransferase
212364_at	MYO1B	chr2q12	myosin IB
203889_at	SGNE1	chr15q13	secretory granule neuroendocrine protein 1 (7B2 p
201667_at	GJA1	chr6q21	gap junction protein alpha 1 43kDa (connexin 43)
201028_s_at	CD99	chrxp22	CD99 antigen
205529_s_at	CBFA2T1	chr8q22	core-binding factor runt domain alpha subunit 2;
205559_s_at	PCSK5	chr9q21	proprotein convertase subtilisin/kexin type 5
200878_at	EPAS1	chr2p21	endothelial PAS domain protein 1
203854_at	IF	chr4q25	I factor (complement)
203477_at	COL15A1	chr9q21	collagen type XV alpha 1
203887_s_at	THBD	chr20p12	thrombomodulin
202877_s_at	C1QR1	chr20p11	complement component 1 q subcomponent receptor 1
204677_at	CDH5	chr16q22	cadherin 5 type 2 VE-cadherin (vascular epitheli
219134_at	ELTD1	chr1p33	EGF latrophilin and seven transmembrane domain co
202351_at	ITGAV	chr2q31	integrin alpha V (vitronectin receptor alpha pol
205003_at	DOCK4	chr7q31	dedicator of cytokinesis 4
212298_at	NRP1	chr10p12	neuropilin 1
212511_at	PICALM	chr11q14	Phosphatidylinositol binding clathrin assembly pro
218196_at	OSTM1	chr6q21	osteopetrosis associated transmembrane protein 1
203131_at	PDGFRA	chr4q11	platelet-derived growth factor receptor alpha pol
219935_at	ADAMTS5	chr21q21	a disintegrin-like and metalloprotease (reprolysin
207191_s_at	ISLR	chr15q23	immunoglobulin superfamily containing leucine-rich
204517_at	PPIC	chr5q23	peptidylprolyl isomerase C (cyclophilin C)
202458_at	PRSS23	chr11q14	protease serine 23
201311_s_at	SH3BGRL	chrxq13	SH3 domain binding glutamic acid-rich protein like
204037_at	EDG2	chr9q31	endothelial differentiation lysophosphatidic acid
218820_at	C14orf132	chr14q32	chromosome 14 open reading frame 132
204682_at	LTBP2	chr14q24	latent transforming growth factor beta binding pro
203305_at	F13A1	chr6p25	coagulation factor XIII A1 polypeptide
201147_s_at	TIMP3	chr22q12	tissue inhibitor of metalloproteinase 3 (Sorsby fu
204944_at	PTPRG	chr3p21	protein tyrosine phosphatase receptor type G
204964_s_at	SSPN	chr12p11	sarcospan (Kras oncogene-associated gene)
204451_at	FZD1	chr7q21	frizzled homolog 1 (Drosophila)
205959_at	MMP13	chr11q22	matrix metalloproteinase 13 (collagenase 3)
205990_s_at	WNT5A	chr3p21	wingless-type MMTV integration site family member
206326_at	GRP	chr18q21	gastrin-releasing peptide
204939_s_at	PLN	chr6q22	phospholamban
202555_s_at	MYLK	chr3q21	myosin light polypeptide kinase
201058_s_at	MYL9	chr20q11	myosin light polypeptide 9 regulatory
200974_at	ACTA2	chr10q23	actin alpha 2 smooth muscle aorta
205547_s_at	TAGLN	chr11q23	transgelin
209210_s_at	PLEKHC1	chr14q22	pleckstrin homology domain containing family C (w
202998_s_at	LOXL2	chr8p21	lysyl oxidase-like 2
201505_at	LAMB1	chr7q22	laminin beta 1
202202_s_at	LAMA4	chr6q21	laminin alpha 4
202007_at	NID	chr1q43	nidogen (enactin)
213139_at	SNAI2	chr8q11	snail homolog 2 (Drosophila)
204083_s_at	TPM2	chr9p13	tropomyosin 2 (beta)
213905_x_at	BGN	chrxq28	biglycan
205700_at	RODH	chr12q13	3-hydroxysteroid epimerase
203878_s_at	MMP11	chr22q11	matrix metalloproteinase 11 (stromelysin 3)
204464_s_at	EDNRA	chr4q31	endothelin receptor type A
202310_s_at	COL1A1	chr17q21	collagen type I alpha 1
205226_at	PDGFRL	chr8p22	platelet-derived growth factor receptor-like
205422_s_at	ITGBL1	chr13q33	integrin beta-like 1 (with EGF-like repeat domain
205713_s_at	COMP	chr19p13	cartilage oligomeric matrix protein
201508_at	IGFBP4	chr17q12	insulin-like growth factor binding protein 4
209747_at	TGFB3	chr14q24	transforming growth factor beta 3
212419_at	C10orf56	chr10q22	chromosome 10 open reading frame 56
204589_at	ARK5	chr12q23	AMP-activated protein kinase family member 5
201310_s_at	C5orf13	chr5q22	chromosome 5 open reading frame 13
203570_at	LOXL1	chr15q22	lysyl oxidase-like 1
202363_at	SPOCK	chr5q31	sparc/osteonectin cwcv and kazal-like domains pro
200907_s_at	KIAA0992	chr4q32	palladin
201431_s_at	DPYSL3	chr5q32	dihydropyrimidinase-like 3
201069_at	MMP2	chr16q13	matrix metalloproteinase 2 (gelatinase A 72kDa ge
201438_at	COL6A3	chr2q37	collagen type VI alpha 3
204619_s_at	CSPG2	chr5q14	chondroitin sulfate proteoglycan 2 (versican)
202283_at	SERPINF1	chr17p13	serine (or cysteine) proteinase inhibitor clade F
202450_s_at	CTSK	chr1q21	cathepsin K (pycnodysostosis)
201792_at	AEBP1	chr7p13	AE binding protein 1
201852_x_at	COL3A1	chr2q31	collagen type III alpha 1 (Ehlers-Danlos syndrom
202404_s_at	COL1A2	chr7q22	collagen type I alpha 2
203083_at	THBS2	chr6q27	thrombospondin 2
201185_at	PRSS11	chr10q26	protease serine 11 (IGF binding)
202766_s_at	FBN1	chr15q21	fibrillin 1 (Marfan syndrome)
209955_s_at	FAP	chr2q23	fibroblast activation protein alpha
212667_at	SPARC	chr5q31	secreted protein acidic cysteine-rich (osteonect
204135_at	DOC1	chr3q12	downregulated in ovarian cancer 1
202465_at	PCOLCE	chr7q22	procollagen C-endopeptidase enhancer
204114_at	NID2	chr14q21	nidogen 2 (osteonidogen)
213790_at	ADAM12	chr10q26	A disintegrin and metalloproteinase domain 12 (mel
212488_at	COL5A1	chr9q34	Collagen type V alpha 1
221730_at	COL5A2	chr2q14	collagen type V alpha 2
205499_at	SRPX2	chrxq21	sushi-repeat-containing protein X-linked 2
219179_at	DACT1	chr14q23	dapper homolog 1 antagonist of beta-catenin (xeno
207173_x_at	CDH11	chr16q22	cadherin 11 type 2 OB-cadherin (osteoblast)
219087_at	ASPN	chr9q22	asporin (LRR class 1)
209596_at	DKFZp564I1922	chrxp22	adlican
208850_s_at	LOC94105	chr11q22	Thy-1 co-transcribed
209356_x_at	EFEMP2	chr11q13	EGF-containing fibulin-like extracellular matrix p
219315_s_at	C16orf30	chr16p13	chromosome 16 open reading frame 30
213909_at	LRRC15	chr3q29	leucine rich repeat containing 15
209156_s_at	COL6A2	chr21q22	collagen type VI alpha 2
213428_s_at	COL6A1	chr21q22	collagen type VI alpha 1
219773_at	NOX4	chr11q14	NADPH oxidase 4
204749_at	NAP1L3	chrxq21	nucleosome assembly protein 1-like 3
205381_at	LRRC17	chr7q22	leucine rich repeat containing 17
205407_at	RECK	chr9p13	reversion-inducing-cysteine-rich protein with kaza
202995_s_at	FBLN1	chr22q13	fibulin 1
205907_s_at	OMD	chr9q22	osteomodulin
213994_s_at	SPON1	chr11p15	spondin 1 extracellular matrix protein
206101_at	ECM2	chr9q22	extracellular matrix protein 2 female organ and a
209335_at	DCN	chr12q13	decorin
221900_at	COL8A2	chr1p34	collagen type VIII alpha 2
219778_at	ZFPM2	chr8q23	zinc finger protein multitype 2
212764_at	TCF8	chr10p11	transcription factor 8 (represses interleukin 2 ex
209550_at	NDN	chr15q11	necdin homolog (mouse)
210517_s_at	AKAP12	chr6q24	A kinase (PRKA) anchor protein (gravin) 12
214043_at	PTPRD	chr9p23	Protein tyrosine phosphatase receptor type D
219310_at	C20orf39	chr20p11	chromosome 20 open reading frame 39
220356_at	CORIN	chr4p13	corin serine protease
209651_at	TGFB1I1	chr16p11	transforming growth factor beta 1 induced transcri
213422_s_at	MGC3047	chr1p36	hypothetical protein MGC3047
213765_at	MFAP5	chr12p13	microfibrillar associated protein 5
213125_at	OLFML2B	chr1q23	olfactomedin-like 2B
204457_s_at	GAS1	chr9q21	growth arrest-specific 1
221541_at	DKFZP434B044	chr16q24	hypothetical protein DKFZp434B044
37005_at	NBL1	chr1p36	neuroblastoma suppression of tumorigenicity 1
202238_s_at	NNMT	chr11q23	nicotinamide N-methyltransferase
215446_s_at	LOX	chr5q23	lysyl oxidase
61734_at	RCN3	chr19q13	reticulocalbin 3 EF-hand calcium binding domain
213001_at	ANGPTL2	chr9q34	angiopoietin-like 2
214247_s_at	DKK3	chr11p15	dickkopf homolog 3 (Xenopus laevis)
217890_s_at	PARVA	chr11p15	parvin alpha
212382_at	TCF4	chr18q21	Transcription factor 4
210511_s_at	INHBA	chr7p15	inhibin beta A (activin A activin AB alpha polyp
217428_s_at	COL10A1	chr6q21	collagen type X alpha 1(Schmid metaphyseal chond
37892_at	COL11A1	chr1p21	collagen type XI alpha 1
209496_at	RARRES2	chr7q36	retinoic acid receptor responder (tazarotene induc
203232_s_at	ATXN1	chr6p23	ataxin 1
212256_at	GALNT10	chr5q33	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-a
217892_s_at	EPLIN	chr12q13	epithelial protein lost in neoplasm beta
212473_s_at	MICAL2	chr11p15	flavoprotein oxidoreductase MICAL2
211709_s_at	SCGF	chr19q13	stem cell growth factor; lymphocyte secreted C-typ
213943_at	TWIST1	chr7p21	twist homolog 1 (acrocephalosyndactyly 3; Saethre-
202948_at	IL1R1	chr2q12	interleukin 1 receptor type I
205479_s_at	PLAU	chr10q24	plasminogen activator urokinase
207714_s_at	SERPINH1	chr11q13	serine (or cysteine) proteinase inhibitor clade H
212942_s_at	KIAA1199	chr15q	KIAA1199
221898_at	T1A-2	chr1p36	lung type-I cell membrane-associated glycoprotein
204345_at	COL16A1	chr1p35	collagen type XVI alpha 1
219165_at	PDLIM2	chr8p21	PDZ and LIM domain 2 (mystique)
58780_s_at	FLJ10357	chr14q11	hypothetical protein FLJ10357
209869_at	ADRA2A	chr10q24	adrenergic alpha-2A- receptor
205792_at	WISP2	chr20q12	WNT1 inducible signaling pathway protein 2
206439_at	DSPG3	chr12q21	dermatan sulfate proteoglycan 3
220988_s_at	C1QTNF3	chr5p13	C1q and tumor necrosis factor related protein 3
209360_s_at	RUNX1	chr21q22	runt-related transcription factor 1 (acute myeloid
217763_s_at	RAB31	chr18p11	RAB31 member RAS oncogene family
209684_at	RIN2	chr20p11	Ras and Rab interactor 2
221760_at	MAN1A1	chr6q22	Mannosidase alpha class 1A member 1
202409_at	IGF2	chr11p15	Insulin-like growth factor 2 (somatomedin A)
213348_at	CDKN1C	chr11p15	cyclin-dependent kinase inhibitor 1C (p57 Kip2)
212651_at	RHOBTB1	chr10q21	Rho-related BTB domain containing 1
214761_at	ZNF423	chr16q12	zinc finger protein 423
204955_at	SRPX	chrxp21	sushi-repeat-containing protein X-linked
206227_at	CILP	chr15q22	cartilage intermediate layer protein nucleotide p
204719_at	ABCA8	chr17q24	ATP-binding cassette sub-family A (ABC1) member
202746_at	ITM2A	chrxq13	integral membrane protein 2A
208335_s_at	FY	chr1q21	Duffy blood group
209894_at	LEPR	chr1p31	leptin receptor
200795_at	SPARCL1	chr4q22	SPARC-like 1 (mast9 hevin)
203851_at	IGFBP6	chr12q13	insulin-like growth factor binding protein 6
204052_s_at	SFRP4	chr7p14	secreted frizzled-related protein 4
204115_at	GNG11	chr7q31	guanine nucleotide binding protein (G protein) ga
206481_s_at	LDB2	chr4p16	LIM domain binding 2
213541_s_at	ERG	chr21q22	v-ets erythroblastosis virus E26 oncogene like (av
204359_at	FLRT2	chr14q24	fibronectin leucine rich transmembrane protein 2
209687_at	CXCL12	chr10q11	chemokine (C-X-C motif) ligand 12 (stromal cell-de
212097_at	CAV1	chr7q31	caveolin 1 caveolae protein 22kDa
209541_at	IGF1	chr12q22	insulin-like growth factor 1 (somatomedin C)
209960_at	HGF	chr7q21	hepatocyte growth factor (hepapoietin A; scatter f
219213_at	JAM2	chr21q21	junctional adhesion molecule 2
218656_s_at	LHFP	chr13q12	lipoma HMGIC fusion partner
212865_s_at	COL14A1	chr8q23	Collagen type XIV alpha 1 (undulin)
207808_s_at	PROS1	chr3q11	protein S (alpha)
221773_at	ELK3	chr12q23	ELK3 ETS-domain protein (SRF accessory protein 2)
210946_at	PPAP2A	chr5q11	phosphatidic acid phosphatase type 2A
218730_s_at	OGN	chr9q22	osteoglycin (osteoinductive factor mimecan)
218353_at	RGS5	chr1q23	regulator of G-protein signalling 5
219304_s_at	PDGFD	chr11q22	platelet derived growth factor D
213519_s_at	LAMA2	chr6q22	laminin alpha 2 (merosin congenital muscular dys
218162_at	OLFML3	chr1p13	olfactomedin-like 3
218418_s_at	ANKRD25	chr19p13	ankyrin repeat domain 25
208949_s_at	GALIG	chr14q21	galectin-3 internal gene
209348_s_at	MAF	chr16q22	v-maf musculoaponeurotic fibrosarcoma oncogene hom
217989_at	DHRS8	chr4q22	dehydrogenase/reductase (SDR family) member 8
212912_at	RPS6KA2	chr6q27	ribosomal protein S6 kinase 90kDa polypeptide 2
218901_at	PLSCR4	chr3q24	phospholipid scramblase 4
221045_s_at	PER3	chr1p36	period homolog 3 (Drosophila)
218574_s_at	LMCD1	chr3p26	LIM and cysteine-rich domains 1
203817_at	GUCY1B3	chr4q31	guanylate cyclase 1 soluble beta 3
218181_s_at	MAP4K4	chr2q11	mitogen-activated protein kinase kinase kinase kin
202457_s_at	PPP3CA	chr4q21	protein phosphatase 3 (formerly 2B) catalytic sub
218285_s_at	DHRS6	chr4q24	dehydrogenase/reductase (SDR family) member 6
210139_s_at	PMP22	chr17p12	peripheral myelin protein 22
211538_s_at	HSPA2	chr14q24	heat shock 70kDa protein 2
212586_at	CAST	chr5q15	calpastatin
218147_s_at	AD-017	chr3p21	glycosyltransferase AD-017
212887_at	SEC23A	chr14q21	Sec23 homolog A (S. cerevisiae)
219479_at	KDELC1	chr13q33	KDEL (Lys-Asp-Glu-Leu) containing 1
218718_at	PDGFC	chr4q32	platelet derived growth factor C
221911_at	LOC221810	chr7p21	hypothetical protein LOC221810
203865_s_at	ADARB1	chr21q22	adenosine deaminase RNA-specific B1 (RED1 homolo
202336_s_at	PAM	chr5q14	peptidylglycine alpha-amidating monooxygenase
202440_s_at	ST5	chr11p15	suppression of tumorigenicity 5
212609_s_at	AKT3	chr1q43	V-akt murine thymoma viral oncogene homolog 3 (pro
202267_at	LAMC2	chr1q25	laminin gamma 2
209270_at	LAMB3	chr1q32	laminin beta 3
203892_at	WFDC2	chr20q12	WAP four-disulfide core domain 2
220177_s_at	TMPRSS3	chr21q22	transmembrane protease serine 3
208165_s_at	PRSS16	chr6p21	protease serine 16 (thymus)
206448_at	ZNF365	chr10q21	zinc finger protein 365
212992_at	C14orf78	chr14q32	Chromosome 14 open reading frame 78
204780_s_at	TNFRSF6	chr10q24	tumor necrosis factor receptor superfamily member
207002_s_at	PLAGL1	chr6q24	pleiomorphic adenoma gene-like 1
203903_s_at	HEPH	chrxq11	hephaestin
205100_at	GFPT2	chr5q34	glutamine-fructose-6-phosphate transaminase 2
203886_s_at	FBLN2	chr3p25	fibulin 2
203417_at	MFAP2	chr1p36	microfibrillar-associated protein 2
206025_s_at	TNFAIP6	chr2q23	tumor necrosis factor alpha-induced protein 6
213170_at	GPX7	chr1p32	glutathione peroxidase 7
209708_at	MOXD1	chr6q23	monooxygenase DBH-like 1
208747_s_at	C1S	chr12p13	complement component 1 s subcomponent
212067_s_at	C1R	chr12p13	complement component 1 r subcomponent
219489_s_at	NXN	chr17p13	nucleoredoxin
203706_s_at	FZD7	chr2q33	frizzled homolog 7 (Drosophila)
200762_at	DPYSL2	chr8p22	dihydropyrimidinase-like 2
212190_at	SERPINE2	chr2q33	serine (or cysteine) proteinase inhibitor clade E
212915_at	PDZRN3	chr3p13	PDZ domain containing RING finger 3
217897_at	FXYD6	chr11q23	FXYD domain containing ion transport regulator 6
218974_at	FLJ10159	chr6q21	hypothetical protein FLJ10159
212158_at	SDC2	chr8q22	syndecan 2 (heparan sulfate proteoglycan 1 cell s
209351_at	KRT14	chr17q12	keratin 14 (epidermolysis bullosa simplex Dowling
209909_s_at	TGFB2	chr1q41	transforming growth factor beta 2
221935_s_at	MGC34132	chr3p14	hypothetical protein MGC34132
221530_s_at	BHLHB3	chr12p11	basic helix-loop-helix domain containing class B
212848_s_at	C9orf3	chr9q22	chromosome 9 open reading frame 3
201289_at	CYR61	chr1p31	cysteine-rich angiogenic inducer 61
209101_at	CTGF	chr6q23	connective tissue growth factor
212923_s_at	C6orf145	chr6p25	chromosome 6 open reading frame 145
201506_at	TGFBI	chr5q31	transforming growth factor beta-induced 68kDa
205173_x_at	CD58	chr1p13	CD58 antigen (lymphocyte function-associated anti
218084_x_at	FXYD5	chr19q12	FXYD domain containing ion transport regulator 5
207826_s_at	ID3	chr1p36	inhibitor of DNA binding 3 dominant negative heli
215464_s_at	TAX1BP3	chr17p13	Tax1 (human T-cell leukemia virus type I) binding
218729_at	LXN	chr3q25	latexin
201286_at	SDC1	chr2p24	syndecan 1
217875_s_at	TMEPAI	chr20q13	transmembrane prostate androgen induced RNA
209621_s_at	PDLIM3	chr4q35	PDZ and LIM domain 3
208690_s_at	PDLIM1	chr10q22	PDZ and LIM domain 1 (elfin)
212233_at	MAP1B	chr5q13	Microtubule-associated protein 1B
210135_s_at	SHOX2	chr3q25	short stature homeobox 2
212353_at	SULF1	chr8q13	sulfatase 1
212582_at	OSBPL8	chr12q14	oxysterol binding protein-like 8
212338_at	MYO1D	chr17q11	myosin ID
218788_s_at	SMYD3	chr1q44	SET and MYND domain containing 3
212013_at	D2S448	chr2p25	Melanoma associated gene
219093_at	FLJ20701	chr2q36	hypothetical protein FLJ20701
206116_s_at	TPM1	chr15q22	tropomyosin 1 (alpha)
219157_at	KLHL2	chr4q21	kelch-like 2 Mayven (Drosophila)
204362_at	SCAP2	chr7p21	src family associated phosphoprotein 2
201924_at	MLLT2	chr4q21	myeloid/lymphoid or mixed-lineage leukemia (tritho
202687_s_at	TNFSF10	chr3q26	tumor necrosis factor (ligand) superfamily member
204254_s_at	VDR	chr12q12	vitamin D (125- dihydroxyvitamin D3) receptor
212294_at	GNG12	chr1p31	guanine nucleotide binding protein (G protein) ga
212328_at	KIAA1102	chr4p13	KIAA1102 protein
212614_at	ARID5B	chr10q21	AT rich interactive domain 5B (MRF1-like)
203041_s_at	LAMP2	chrxq24	lysosomal-associated membrane protein 2
217995_at	SQRDL	chr15q15	sulfide quinone reductase-like (yeast)
204070_at	RARRES3	chr11q23	retinoic acid receptor responder (tazarotene induc
203474_at	IQGAP2	chr5q13	IQ motif containing GTPase activating protein 2
218298_s_at	C14orf159	chr14q32	chromosome 14 open reading frame 159
208788_at	ELOVL5	chr6p21	ELOVL family member 5 elongation of long chain fa
201061_s_at	STOM	chr9q34	stomatin
203518_at	CHS1	chr1q42	Chediak-Higashi syndrome 1
205105_at	MAN2A1	chr5q21	mannosidase alpha class 2A member 1
204951_at	RHOH	chr4p13	ras homolog gene family member H
201990_s_at	CREBL2	chr12p13	cAMP responsive element binding protein-like 2
214719_at	LOC283537	chr13q12	hypothetical protein LOC283537
200648_s_at	GLUL	chr1q31	glutamate-ammonia ligase (glutamine synthase)
201288_at	ARHGDIB	chr12p12	Rho GDP dissociation inhibitor (GDI) beta
203845_at	PCAF	chr3p24	p300/CBP-associated factor
207565_s_at	MR1	chr1q25	major histocompatibility complex class I-related
219147_s_at	C9orf95	chr9q21	chromosome 9 open reading frame 95
221972_s_at	Cab45	chr1p36	calcium binding protein Cab45 precursor
207655_s_at	BLNK	chr10q23	B-cell linker
213572_s_at	SERPINB1	chr6p25	serine (or cysteine) proteinase inhibitor clade B
213689_x_at	RPL5	chr1p22	ribosomal protein L5
216044_x_at	LOC388650	chr1p22	hypothetical LOC388650
213238_at	ATP10D	chr4p12	ATPase Class V type 10D
218396_at	VPS13C	chr15q22	vacuolar protein sorting 13C (yeast)
221081_s_at	FLJ22457	chr1p13	hypothetical protein FLJ22457
210426_x_at	RORA	chr15q21	RAR-related orphan receptor A
205420_at	PEX7	chr6q21	peroxisomal biogenesis factor 7
203306_s_at	SLC35A1	chr6q15	solute carrier family 35 (CMP-sialic acid transpor
217983_s_at	RNASET2	chr6q27	ribonuclease T2
221786_at	PHF10	chr6q27	PHD finger protein 10
218751_s_at	FBXW7	chr4q31	F-box and WD-40 domain protein 7 (archipelago homo
212558_at	SPRY1	chr4q28	sprouty homolog 1 antagonist of FGF signaling (Dr
218736_s_at	PALMD	chr1p22	palmdelphin
203243_s_at	LIM	chr4q22	LIM protein (similar to rat protein kinase C-bindi
208407_s_at	CTNND1	chr11q11	catenin (cadherin-associated protein) delta 1
217800_s_at	NDFIP1	chr5q31	Nedd4 family interacting protein 1
212463_at	CD59	chr11p13	CD59 antigen p18-20 (antigen identified by monoclo
222016_s_at	ZNF323	chr6p21	zinc finger protein 323
202421_at	IGSF3	chr1p13	Immunoglobulin superfamily member 3
201746_at	TP53	chr17p13	tumor protein p53 (Li-Fraumeni syndrome)
204784_s_at	MLF1	chr3q25	myeloid leukemia factor 1
203184_at	FBN2	chr5q23	fibrillin 2 (congenital contractural arachnodactyl
203896_s_at	PLCB4	chr20p12	phospholipase C beta 4
203037_s_at	MTSS1	chr8p22	metastasis suppressor 1
209031_at	IGSF4	chr11q23	Immunoglobulin superfamily member 4
209692_at	EYA2	chr20q13	eyes absent homolog 2 (Drosophila)
202718_at	IGFBP2	chr2q33	insulin-like growth factor binding protein 2 36kD
213067_at	MYH10	chr17p13	myosin heavy polypeptide 10 non-muscle
214464_at	CDC42BPA	chr1q42	CDC42 binding protein kinase alpha (DMPK-like)
219260_s_at	DERP6	chr17p13	S-phase 2 protein
211071_s_at	AF1Q	chr1q21	ALL1-fused gene from chromosome 1q
213725_x_at	LOC283824	chr16p13	hypothetical protein LOC283824
44783_s_at	HEY1	chr8q21	hairy/enhancer-of-split related with YRPW motif 1
212094_at	PEG10	chr7q21	Paternally expressed 10
202887_s_at	DDIT4	chr10pter	DNA-damage-inducible transcript 4
204099_at	SMARCD3	chr7q35	SWI/SNF related matrix associated actin dependen
218723_s_at	RGC32	chr13q14	response gene to complement 32
218824_at	FLJ10781	chr19q13	hypothetical protein FLJ10781
218502_s_at	TRPS1	chr8q24	trichorhinophalangeal syndrome I
204437_s_at	FOLR1	chr11q13	folate receptor 1 (adult)
213150_at	HOXA10	chr7p15	homeo box A10
214651_s_at	HOXA9	chr7p15	homeo box A9
211726_s_at	FMO2	chr1q23	flavin containing monooxygenase 2
209839_at	DNM3	chr1q24	dynamin 3
210437_at	MAGEA9	chrxq28	melanoma antigen family A 9
214321_at	NOV	chr8q24	nephroblastoma overexpressed gene
218625_at	NRN1	chr6p25	neuritin 1
218717_s_at	LEPREL1	chr3q28	leprecan-like 1
220051_at	PRSS21	chr16p13	protease serine 21 (testisin)
215356_at	FLJ13072	chr19q13	Hypothetical gene FLJ13072
201242_s_at	ATP1B1	chr1q24	ATPase Na+/K+ transporting beta 1 polypeptide
203337_x_at	ITGB1BP1	chr2p25	integrin beta 1 binding protein 1
201189_s_at	ITPR3	chr6p21	inositol 145-triphosphate receptor type 3
201730_s_at	TPR	chr1q25	translocated promoter region (to activated MET onc
201510_at	ELF3	chr1q32	E74-like factor 3 (ets domain transcription factor
202085_at	TJP2	chr9q13	tight junction protein 2 (zona occludens 2)
201456_s_at	BUB3	chr10q26	BUB3 budding uninhibited by benzimidazoles 3 homol
203397_s_at	GALNT3	chr2q24	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-a
208683_at	CAPN2	chr1q41	calpain 2 (m/II) large subunit
204019_s_at	SH3YL1	chr2p25	SH3 domain containing Ysc84-like 1 (S. cerevisiae
203407_at	PPL	chr16p13	periplakin
205807_s_at	TUFT1	chr1q21	tuftelin 1
218186_at	RAB25	chr1q22	RAB25 member RAS oncogene family
202023_at	EFNA1	chr1q21	ephrin-A1
205107_s_at	EFNA4	chr1q21	ephrin-A4
201275_at	FDPS	chr1q22	farnesyl diphosphate synthase (farnesyl pyrophosph
202427_s_at	DKFZP564B167	chr1q24	DKFZP564B167 protein
217908_s_at	IQWD1	chr1q24	IQ motif and WD repeats 1
202825_at	SLC25A4	chr4q35	solute carrier family 25 (mitochondrial carrier; a
222140_s_at	GPR89	chr1p36	G protein-coupled receptor 89
209340_at	UAP1	chr1q23	UDP-N-acteylglucosamine pyrophosphorylase 1
220945_x_at	MANSC1	chr12p13	MANSC domain containing 1
219373_at	DPM3	chr1q22	dolichyl-phosphate mannosyltransferase polypeptide
204288_s_at	ARGBP2	chr4q35	Arg/Abl-interacting protein ArgBP2
219476_at	SARG	chr1q32	specifically androgen-regulated protein
202289_s_at	TACC2	chr10q26	transforming acidic coiled-coil containing protei
39248_at	AQP3	chr9p13	aquaporin 3
206544_x_at	SMARCA2	chr9p22	SWI/SNF related matrix associated actin dependen
218451_at	CDCP1	chr3p21	CUB domain-containing protein 1
213050_at	COBL	chr7p12	cordon-bleu homolog (mouse)
218792_s_at	BSPRY	chr9q32	B-box and SPRY domain containing
201995_at	EXT1	chr8q24	exostoses (multiple) 1
209301_at	CA2	chr8q22	carbonic anhydrase II
203266_s_at	MAP2K4	chr17p11	mitogen-activated protein kinase kinase 4
209014_at	MAGED1	chrxp11	melanoma antigen family D 1
204363_at	F3	chr1p22	coagulation factor III (thromboplastin tissue fac
205111_s_at	PLCE1	chr10q23	phospholipase C epsilon 1
204082_at	PBX3	chr9q33	pre-B-cell leukemia transcription factor 3
203408_s_at	SATB1	chr3p23	special AT-rich sequence binding protein 1 (binds
202892_at	CDC23	chr5q31	CDC23 (cell division cycle 23 yeast homolog)
