Symbol	Description
SOAT1	sterol o-acyltransferase (acyl-coenzyme a: cholesterol acyltransferase) 1
SOCS6	suppressor of cytokine signaling 6
SOX11	sry (sex determining region y)-box 11
SOX9	sry (sex determining region y)-box 9 (campomelic dysplasia, autosomal sex-reversal)
SP3	sp3 transcription factor
SPAG5	sperm associated antigen 5
SPAST	spastin
SPATA5L1	spermatogenesis associated 5-like 1
SPATA6	spermatogenesis associated 6
SPATS2	spermatogenesis associated, serine-rich 2
SPBC25	spindle pole body component 25 homolog (s. cerevisiae)
SQLE	squalene epoxidase
SRD5A1	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)
SRP19	signal recognition particle 19kda
SRP54	signal recognition particle 54kda
SRP72	signal recognition particle 72kda
SRPK1	sfrs protein kinase 1
SRPRB	signal recognition particle receptor, b subunit
SRRM1	serine/arginine repetitive matrix 1
SS18L1	synovial sarcoma translocation gene on chromosome 18-like 1
SS18L2	synovial sarcoma translocation gene on chromosome 18-like 2
SSBP2	single-stranded dna binding protein 2
SSR1	signal sequence receptor, alpha (translocon-associated protein alpha)
SSR2	signal sequence receptor, beta (translocon-associated protein beta)
SSRP1	structure specific recognition protein 1
SSX2IP	kiaa0923 protein
ST5	suppression of tumorigenicity 5
ST6GALNAC4	st6 (alpha-n-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-n-acetylgalactosaminide alpha-2,6-sialyltransferase 4
ST6GALNAC5	st6 (alpha-n-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-n-acetylgalactosaminide alpha-2,6-sialyltransferase 5
STAG2	stromal antigen 2
STAG3	stromal antigen 3
STAU1	staufen, rna binding protein, homolog 1 (drosophila)
STIL	scl/tal1 interrupting locus
STK32B	serine/threonine kinase 32b
STMN1	stathmin 1/oncoprotein 18
STRA13	stimulated by retinoic acid 13 homolog (mouse)
STT3A	stt3, subunit of the oligosaccharyltransferase complex, homolog a (s. cerevisiae)
STXBP3	syntaxin binding protein 3
SUB1	sub1 homolog (s. cerevisiae)
SULT1C2	sulfotransferase family, cytosolic, 1c, member 2
SUMO2	smt3 suppressor of mif two 3 homolog 2 (yeast)
SUMO4	smt3 suppressor of mif two 3 homolog 4 (yeast)
SUPT4H1	suppressor of ty 4 homolog 1 (s. cerevisiae)
SUPT5H	suppressor of ty 5 homolog (s. cerevisiae)
SUZ12	suppressor of zeste 12 homolog (drosophila)
SUZ12P	suppressor of zeste 12 homolog pseudogene
SYBL1	synaptobrevin-like 1
SYCP1	synaptonemal complex protein 1
SYCP2	synaptonemal complex protein 2
SYMPK	symplekin
SYNJ1	synaptojanin 1
SYT11	synaptotagmin xi
TACC3	transforming, acidic coiled-coil containing protein 3
TAF11	taf11 rna polymerase ii, tata box binding protein (tbp)-associated factor, 28kda
TAF2	taf2 rna polymerase ii, tata box binding protein (tbp)-associated factor, 150kda
TAF4	taf4 rna polymerase ii, tata box binding protein (tbp)-associated factor, 135kda
TAF5	taf5 rna polymerase ii, tata box binding protein (tbp)-associated factor, 100kda
TAF6	taf6 rna polymerase ii, tata box binding protein (tbp)-associated factor, 80kda
TARDBP	tar dna binding protein
TATDN2	tatd dnase domain containing 2
TAX1BP1	tax1 (human t-cell leukemia virus type i) binding protein 1
TBL2	dkfzp434n024 protein
TCF12	transcription factor 12 (htf4, helix-loop-helix transcription factors 4)
TCF3	transcription factor 3 (e2a immunoglobulin enhancer binding factors e12/e47)
TDG	thymine-dna glycosylase
TDO2	tryptophan 2,3-dioxygenase
TEX10	testis expressed sequence 10
TFDP1	transcription factor dp-1
TFPT	tcf3 (e2a) fusion partner (in childhood leukemia)
TGFB1	transforming growth factor, beta 1 (camurati-engelmann disease)
THOC1	tho complex 1
THOC2	tho complex 2
THRAP5	thyroid hormone receptor associated protein 5
THUMPD1	thump domain containing 1
TIA1	tia1 cytotoxic granule-associated rna binding protein
TIAL1	tia1 cytotoxic granule-associated rna binding protein-like 1
TIAM1	t-cell lymphoma invasion and metastasis 1
TICAM2	toll-like receptor adaptor molecule 2
TIMELESS	timeless homolog (drosophila)
TIMM13	translocase of inner mitochondrial membrane 13 homolog (yeast)
TIMM44	translocase of inner mitochondrial membrane 44 homolog (yeast)
TIPRL	tip41, tor signalling pathway regulator-like (s. cerevisiae)
TJAP1	tight junction associated protein 1 (peripheral)
TK1	thymidine kinase 1, soluble
TLK2	tousled-like kinase 2
TMCO1	transmembrane and coiled-coil domains 1
TMED3	transmembrane emp24 protein transport domain containing 3
TMED7	transmembrane emp24 protein transport domain containing 7
TMED9	transmembrane emp24 protein transport domain containing 9
TMEFF1	transmembrane protein with egf-like and two follistatin-like domains 1
TMEM106B	transmembrane protein 106b
TMEM131	transmembrane protein 131
TMEM14A	transmembrane protein 14a
TMEM33	transmembrane protein 33
TMEM38B	transmembrane protein 38b
TMEM39A	transmembrane protein 39a
TMEM45A	transmembrane protein 45a
TMEM48	transmembrane protein 48
TMEM49	transmembrane protein 49
TMEM51	transmembrane protein 51
TMEM57	transmembrane protein 57
TMEM97	transmembrane protein 97
TMF1	tata element modulatory factor 1
TMPO	thymopoietin
TMSL8	thymosin-like 8
TNKS2	tankyrase, trf1-interacting ankyrin-related adp-ribose polymerase 2
TNPO2	transportin 2 (importin 3, karyopherin beta 2b)
TNRC5	trinucleotide repeat containing 5
TOMM70A	translocase of outer mitochondrial membrane 70 homolog a (yeast)
TOP2A	topoisomerase (dna) ii alpha 170kda
TOP2B	topoisomerase (dna) ii beta 180kda
TOP3A	topoisomerase (dna) iii alpha
TOPBP1	topoisomerase (dna) ii binding protein 1
TOR3A	torsin family 3, member a
TP53BP1	tumor protein p53 binding protein, 1
TPM4	tropomyosin 4
TPP2	tripeptidyl peptidase ii
TPST1	tyrosylprotein sulfotransferase 1
TPX2	tpx2, microtubule-associated, homolog (xenopus laevis)
TRAM1	translocation associated membrane protein 1
TRAPPC2	trafficking protein particle complex 2
TRFP	trf (tata binding protein-related factor)-proximal homolog (drosophila)
TRIM23	tripartite motif-containing 23
TRIM24	tripartite motif-containing 24
TRIM28	tripartite motif-containing 28
TRIM37	tripartite motif-containing 37
TRIM38	tripartite motif-containing 38
TRIM52	tripartite motif-containing 52
TRIO	triple functional domain (ptprf interacting)
TRIP13	thyroid hormone receptor interactor 13
TRIT1	trna isopentenyltransferase 1
TRMT5	trm5 trna methyltransferase 5 homolog (s. cerevisiae)
TRMU	trna 5-methylaminomethyl-2-thiouridylate methyltransferase
TRO	trophinin
TROAP	trophinin associated protein (tastin)
TRPC1	transient receptor potential cation channel, subfamily c, member 1
TRRAP	transformation/transcription domain-associated protein
TSPYL4	tspy-like 4
TSSC1	tumor suppressing subtransferable candidate 1
TSTA3	tissue specific transplantation antigen p35b
TTF1	transcription termination factor, rna polymerase i
TTK	ttk protein kinase
TTLL5	tubulin tyrosine ligase-like family, member 5
TUBB	tubulin, beta
TUBG1	tubulin, gamma 1
TUFT1	tuftelin 1
TUSC3	tumor suppressor candidate 3
TUSC4	tumor suppressor candidate 4
TXLNA	taxilin alpha
TXNL1	thioredoxin-like 1
TYK2	tyrosine kinase 2
TYMS	thymidylate synthetase
U2AF2	u2 (rnu2) small nuclear rna auxiliary factor 2
UBE1DC1	ubiquitin-activating enzyme e1-domain containing 1
UBE2A	ubiquitin-conjugating enzyme e2a (rad6 homolog)
UBE2C	ubiquitin-conjugating enzyme e2c
UBE2S	ubiquitin-conjugating enzyme e2s
UBE2V2	ubiquitin-conjugating enzyme e2 variant 2
UBE2Z	ubiquitin-conjugating enzyme e2z (putative)
UBL5	ubiquitin-like 5
UBP1	upstream binding protein 1 (lbp-1a)
UBPH	ubiquitin-binding protein homolog
UBQLN2	ubiquilin 2
UFD1L	ubiquitin fusion degradation 1 like (yeast)
ULK2	unc-51-like kinase 2 (c. elegans)
UPF3B	upf3 regulator of nonsense transcripts homolog b (yeast)
UROD	uroporphyrinogen decarboxylase
USP1	ubiquitin specific peptidase 1
USP11	ubiquitin specific peptidase 11
USP39	ubiquitin specific peptidase 39
USP48	hypothetical protein flj11328
USP9X	ubiquitin specific peptidase 9, x-linked
UTX	ubiquitously transcribed tetratricopeptide repeat, x chromosome
VANGL1	hypothetical protein mgc5338
VBP1	von hippel-lindau binding protein 1
VDAC3	voltage-dependent anion channel 3
VDP	vesicle docking protein p115
VGLL4	vestigial like 4 (drosophila)
VRK1	vaccinia related kinase 1
WBP5	ww domain binding protein 5
WDHD1	wd repeat and hmg-box dna binding protein 1
WDR1	wd repeat domain 1
WDR4	wd repeat domain 4
WDR55	wd repeat domain 55
WDR57	wd repeat domain 57 (u5 snrnp specific)
WDR6	wd repeat domain 6
WDR62	chromosome 19 open reading frame 14
WDR67	wd repeat domain 67
WDR68	wd repeat domain 68
WDR70	wd repeat domain 70
WDR8	wd repeat domain 8
WHSC1	wolf-hirschhorn syndrome candidate 1
WNT5B	wingless-type mmtv integration site family, member 5b
XPNPEP1	x-prolyl aminopeptidase (aminopeptidase p) 1, soluble
XPO1	exportin 1 (crm1 homolog, yeast)
XPO7	exportin 7
XRCC1	x-ray repair complementing defective repair in chinese hamster cells 1
XRCC2	x-ray repair complementing defective repair in chinese hamster cells 2
YEATS2	yeats domain containing 2
YKT6	snare protein ykt6
YTHDC2	yth domain containing 2
YTHDF1	yth domain family, member 1
YTHDF2	yth domain family, member 2
YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
YY1	yy1 transcription factor
YY1AP1	yy1 associated protein 1
ZBTB11	zinc finger and btb domain containing 11
ZBTB24	zinc finger and btb domain containing 24
ZBTB5	zinc finger and btb domain containing 5
ZCCHC10	zinc finger, cchc domain containing 10
ZCCHC11	zinc finger, cchc domain containing 11
ZCCHC6	zinc finger, cchc domain containing 6
ZDHHC13	zinc finger, dhhc-type containing 13
ZDHHC6	zinc finger, dhhc-type containing 6
ZFP30	zinc finger protein 30 homolog (mouse)
ZFP37	zinc finger protein 37 homolog (mouse)
ZFR	zinc finger rna binding protein
ZFYVE16	zinc finger, fyve domain containing 16
ZIC1	zic family member 1 (odd-paired homolog, drosophila)
ZMPSTE24	zinc metallopeptidase (ste24 homolog, yeast)
ZMYM1	zinc finger, mym-type 1
ZMYM4	zinc finger, mym-type 4
ZNF12	zinc finger protein 12
ZNF131	zinc finger protein 131 (clone phz-10)
ZNF133	zinc finger protein 133 (clone phz-13)
ZNF137	zinc finger protein 137 (clone phz-30)
ZNF146	zinc finger protein 146
ZNF167	zinc finger protein 167
ZNF180	zinc finger protein 180 (hhz168)
ZNF184	zinc finger protein 184 (kruppel-like)
ZNF187	zinc finger protein 187
ZNF189	zinc finger protein 189
ZNF193	zinc finger protein 193
ZNF20	zinc finger protein 20 (kox 13)
ZNF200	zinc finger protein 200
ZNF211	zinc finger protein 211
ZNF217	zinc finger protein 217
ZNF222	zinc finger protein 222
ZNF223	zinc finger protein 223
ZNF224	zinc finger protein 224
ZNF226	zinc finger protein 226
ZNF227	zinc finger protein 227
ZNF228	zinc finger protein 228
ZNF236	zinc finger protein 236
ZNF248	zinc finger protein 248
ZNF267	zinc finger protein 267
ZNF273	zinc finger protein 273
ZNF287	zinc finger protein 287
ZNF292	zinc finger protein 292
ZNF294	zinc finger protein 294
ZNF302	zinc finger protein znf140-like protein
ZNF313	zinc finger protein 313
ZNF318	zinc finger protein 318
ZNF322A	zinc finger protein 322a
ZNF329	zinc finger protein 329
ZNF345	zinc finger protein 345
ZNF43	zinc finger protein 43 (htf6)
ZNF432	zinc finger protein 432
ZNF443	zinc finger protein 443
ZNF451	zinc finger protein 451
ZNF500	zinc finger protein 500
ZNF506	zinc finger protein 506
ZNF529	zinc finger protein 529
ZNF532	zinc finger protein 532
ZNF551	zinc finger protein 551
ZNF571	zinc finger protein 571
ZNF573	zinc finger protein 573
ZNF587	hypothetical protein flj20813
ZNF588	zinc finger protein 588
ZNF606	zinc finger protein 606
ZNF623	zinc finger protein 623
ZNF673	zinc finger protein 673
ZNF74	zinc finger protein 74 (cos52)
ZNF75	zinc finger protein 75 (d8c6)
ZNF83	zinc finger protein 83 (hpf1)
ZNF84	zinc finger protein 84 (hpf2)
ZNF93	zinc finger protein 93 (htf34)
ZRF1	zuotin related factor 1
ZWILCH	zwilch, kinetochore associated, homolog (drosophila)
ZWINT	zw10 interactor
ZZZ3	zinc finger, zz-type containing 3
