Probeset ID	Gene Title	Gene Symbol	RefSeq Transcript ID	p-value(hcc vs. control)_comp1	FC (hcc vs. control) comp 1	p-value(tumor vs. hep) comp 2	FC (tumor vs. hep) comp 2	a	b	c
1418719_at	RIKEN cDNA 2410004L22 gene	2410004L22Rik	NM_029621	0.0426	1.6364	0.2139	1.1665	Yes	No	No
1418386_at	RIKEN cDNA 2510005D08 gene	2510005D08Rik	NM_026526	0.0314	1.4692	0.0184	1.517	No	Yes	No
1425054_a_at	RIKEN cDNA 2510006D16 gene	2510006D16Rik	NM_029748	0.0381	1.6847	0.4797	1.0765	Yes	No	No
1437862_at	RIKEN cDNA 2600011C06 gene	2600011C06Rik	XM_619008	0.0391	1.805	0.3502	1.1258	Yes	No	No
1452997_at	RIKEN cDNA 2610005L07 gene	2610005L07Rik	NM_001033456	0.0411	1.6066	0.5217	1.0643	Yes	No	No
1457673_at	RIKEN cDNA 2610005L07 gene	2610005L07Rik	NM_001033456	0.0439	1.5032	0.4685	1.066	Yes	No	No
1427080_at	RIKEN cDNA 2610036D13 gene	2610036D13Rik	NM_029282	0.0035	1.62	0.0267	1.1508	Yes	No	No
1435628_x_at	RIKEN cDNA 2610305J24 gene /// cDNA sequence BC005512 /// hypothetical protein L	2610305J24Rik	XM_001001705	0.0228	2.701	0.2502	1.2212	Yes	No	No
1418389_at	RIKEN cDNA 2810453I06 gene	2810453I06Rik	NM_026050	0.003	-1.5828	0.0337	-1.1148	Yes	No	No
1447977_x_at	RIKEN cDNA 3100002L24 gene /// RIKEN cDNA 9230108I15 gene /// similar to gonadot	3100002L24Rik	XM_001004269	0.011	1.5279	0.4886	1.0314	Yes	No	No
1428468_at	RIKEN cDNA 3110043O21 gene	3110043O21Rik	XM_896076	0.0064	1.85	0.597	1.0255	Yes	No	No
1428861_at	RIKEN cDNA 4631422O05 gene /// similar to downregulated in ovarian cancer 1 isof	4631422O05Rik	NM_001040397	0.0138	3.3392	0.2098	1.2372	Yes	No	No
1427059_at	RIKEN cDNA 4732495E13 gene	4732495E13Rik	NM_172608	0.0302	1.6824	0.1729	1.1703	Yes	No	No
1445862_at	RIKEN cDNA 4921513D23 gene	4921513D23Rik	XM_148595	0.0221	1.7599	0.0617	1.308	Yes	No	No
1436129_at	RIKEN cDNA 4930523C11 gene /// a disintegrin and metallopeptidase domain 6	4930523C11Rik	NM_001009545	0.003	-1.9704	0.0867	1.1009	Yes	No	No
1460361_at	RIKEN cDNA 5033414D02 gene	5033414D02Rik	NM_026362	0.0155	2.4915	0.1373	1.2545	Yes	No	No
1427063_at	RIKEN cDNA 5330417C22 gene	5330417C22Rik	NM_001033304	0.0398	1.5068	0.1773	1.151	Yes	No	No
1429538_a_at	RIKEN cDNA 5730406M06 gene	5730406M06Rik	XM_283936	0.0296	3.3138	0.269	1.2979	Yes	No	No
1428748_at	RIKEN cDNA 5830428H23 gene	5830428H23Rik	NM_001001737	0.0395	3.2592	0.137	1.6124	Yes	No	No
1444456_at	RIKEN cDNA 9030425P06 gene	9030425P06Rik	---	0.0176	1.9319	0.069	1.2975	Yes	No	No
1436054_at	RIKEN cDNA 9130227C08Rik gene	9130227C08Rik	NM_027143	0.0455	1.6183	0.3103	1.1242	Yes	No	No
1457671_at	RIKEN cDNA 9330120H11 gene	9330120H11Rik	NM_177029	0.0471	-1.8283	0.0679	-1.497	Yes	No	No
1436353_at	RIKEN cDNA A230046K03 gene	A230046K03Rik	XM_985835	0.0214	1.5519	0.173	1.1177	Yes	No	No
1439815_at	RIKEN cDNA A230048G03 gene	A230048G03Rik	XM_283480	0.0069	1.7047	0.0768	1.1313	Yes	No	No
1439595_at	RIKEN cDNA A430107P09 gene	A430107P09Rik	NM_177288	0.0148	1.5358	0.0279	1.2871	Yes	No	No
1435267_at	RIKEN cDNA A430108E01 gene	A430108E01Rik	NM_001033637	0.0369	2.1192	0.1927	1.2638	Yes	No	No
1460342_s_at	expressed sequence AA536749	AA536749	NM_012027	0.0217	1.9079	0.1869	1.1693	Yes	No	No
