Probe Set	Genbank	Gene name	FC M/T	M	T	% of I	% of D	% of NC	Description
218162_at	NM_020190	OLFML3	0.59	0.85	1.45	7.69	42.31	50	olfactomedin-like 3
214598_at	AL049977	CLDN8	0.51	0.69	1.35	7.69	42.31	50	claudin 8
218638_s_at	NM_012445	SPON2	0.65	0.81	1.25	7.69	42.31	50	spondin 2, extracellular matrix protein
227874_at	AI635774	EMCN	0.74	0.73	0.99	7.69	42.31	50	endomucin
224786_at	AL133580	SCOC	0.79	0.74	0.93	7.69	42.31	50	short coiled-coil protein
202465_at	NM_002593	PCOLCE	0.65	0.7	1.06	7.69	42.31	50	procollagen C-endopeptidase enhancer
217739_s_at	NM_005746	PBEF1	0.81	0.84	1.04	7.69	42.31	50	pre-B-cell colony enhancing factor 1
209135_at	AF289489	ASPH	0.69	0.74	1.07	7.69	42.31	50	aspartate beta-hydroxylase
210987_x_at	M19267	TPM1	0.76	0.86	1.13	3.85	42.31	53.85	tropomyosin 1 (alpha)
224937_at	BF311866	PTGFRN	0.71	0.79	1.11	3.85	42.31	53.85	prostaglandin F2 receptor negative regulator
214844_s_at	AL050069	DOK5	0.76	0.97	1.28	3.85	42.31	53.85	docking protein 5
204992_s_at	NM_002628	PFN2	0.75	0.74	0.98	3.85	42.31	53.85	profilin 2
210830_s_at	AF001602	PON2	0.74	0.91	1.24	3.85	42.31	53.85	paraoxonase 2
205648_at	NM_003391	WNT2	0.4	0.62	1.55	3.85	42.31	53.85	wingless-type MMTV integration site family member 2
227705_at	BF591534	MGC23947	0.58	0.74	1.27	3.85	42.31	53.85	hypothetical protein MGC23947
210896_s_at	AF306765	ASPH	0.74	0.84	1.13	0	42.31	57.69	aspartate beta-hydroxylase
225008_at	AW469351	MGC34646	0.76	0.97	1.27	0	42.31	57.69	hypothetical protein MGC34646
201601_x_at	NM_003641	IFITM1	0.87	1.12	1.29	26.92	46.15	26.92	interferon induced transmembrane protein 1 (9-27)
230795_at	AI828075	HIST2H4	0.9	0.82	0.92	26.92	46.15	26.92	histone 2, H4
226702_at	AI742057	LOC129607	0.84	0.91	1.08	26.92	46.15	26.92	hypothetical protein LOC129607
203324_s_at	NM_001233	CAV2	0.71	0.78	1.11	26.92	46.15	26.92	caveolin 2
228750_at	AI693516	---	0.59	0.7	1.2	23.08	46.15	30.77	Transcribed sequences
243489_at	BF514098	---	0.93	1.14	1.23	23.08	46.15	30.77	---
206378_at	NM_002411	SCGB2A2	0.51	0.61	1.2	23.08	46.15	30.77	secretoglobin, family 2A, member 2
208892_s_at	BC003143	DUSP6	0.93	0.91	0.98	23.08	46.15	30.77	dual specificity phosphatase 6
214079_at	AK000345	DHRS2	1.02	1.1	1.08	23.08	46.15	30.77	dehydrogenase
226695_at	AA775472	PRRX1	0.86	0.82	0.94	23.08	46.15	30.77	paired related homeobox 1
204622_x_at	NM_006186	NR4A2	0.9	0.94	1.05	23.08	46.15	30.77	nuclear receptor subfamily 4, group A, member 2
223044_at	AL136944	SLC40A1	0.77	0.79	1.03	23.08	46.15	30.77	solute carrier family 40 (iron-regulated transporter), member 1
204351_at	NM_005980	S100P	0.6	0.64	1.07	23.08	46.15	30.77	S100 calcium binding protein P
218718_at	NM_016205	PDGFC	0.83	0.8	0.96	23.08	46.15	30.77	platelet derived growth factor C
223235_s_at	AB014737	SMOC2	0.76	0.72	0.96	23.08	46.15	30.77	SPARC related modular calcium binding 2
AFFX-hum_alu_at	AFFX-hum_alu	LRRC8	0.99	0.95	0.96	23.08	46.15	30.77	leucine rich repeat containing 8
204955_at	NM_006307	SRPX	0.67	0.84	1.25	23.08	46.15	30.77	sushi-repeat-containing protein, X-linked
211161_s_at	AF130082	---	0.72	0.89	1.24	19.23	46.15	34.62	---
228141_at	AA173223	---	0.64	0.86	1.33	19.23	46.15	34.62	MRNA; cDNA DKFZp686G03142 (from clone DKFZp686G03142)
232653_at	AW265514	---	0.61	0.74	1.21	19.23	46.15	34.62	Transcribed sequences
200748_s_at	NM_002032	FTH1	0.88	0.92	1.04	19.23	46.15	34.62	ferritin, heavy polypeptide 1
204475_at	NM_002421	MMP1	0.55	0.97	1.77	19.23	46.15	34.62	matrix metalloproteinase 1 (interstitial collagenase)
212460_at	BE738425	C14orf147	0.76	0.83	1.09	19.23	46.15	34.62	chromosome 14 open reading frame 147
209210_s_at	Z24725	PLEKHC1	0.8	0.92	1.14	19.23	46.15	34.62	pleckstrin homology domain containing, family C (with FERM domain) member 1
206790_s_at	NM_004545	NDUFB1	0.83	0.89	1.07	19.23	46.15	34.62	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa
231513_at	BF111326	KCNJ2	0.67	0.76	1.14	19.23	46.15	34.62	potassium inwardly-rectifying channel, subfamily J, member 2
201289_at	NM_001554	CYR61	0.74	0.89	1.2	19.23	46.15	34.62	cysteine-rich, angiogenic inducer, 61
204463_s_at	AU118882	EDNRA	0.84	0.89	1.06	19.23	46.15	34.62	endothelin receptor type A
200897_s_at	NM_016081	KIAA0992	0.76	0.89	1.17	19.23	46.15	34.62	palladin
201041_s_at	NM_004417	DUSP1	0.8	0.87	1.08	19.23	46.15	34.62	dual specificity phosphatase 1
223463_at	AF161486	RAB23	0.74	0.79	1.07	19.23	46.15	34.62	RAB23, member RAS oncogene family
201739_at	NM_005627	SGK	0.82	0.9	1.1	19.23	46.15	34.62	serum
212599_at	AK025298	AUTS2	0.86	0.97	1.13	19.23	46.15	34.62	autism susceptibility candidate 2
203323_at	BF197655	CAV2	0.77	0.94	1.22	19.23	46.15	34.62	caveolin 2
212865_s_at	BF449063	COL14A1	0.6	0.8	1.32	19.23	46.15	34.62	collagen, type XIV, alpha 1 (undulin)
226777_at	AA147933	ADAM12	0.68	0.83	1.21	15.38	46.15	38.46	a disintegrin and metalloproteinase domain 12 (meltrin alpha)
205547_s_at	NM_003186	TAGLN	0.63	0.83	1.33	15.38	46.15	38.46	transgelin
210312_s_at	BC002640	LOC90410	0.78	0.94	1.21	15.38	46.15	38.46	intraflagellar transport protein IFT20
217767_at	NM_000064	C3	0.7	0.82	1.18	15.38	46.15	38.46	complement component 3
202421_at	AB007935	IGSF3	0.82	0.85	1.04	15.38	46.15	38.46	immunoglobulin superfamily, member 3
202286_s_at	J04152	TACSTD2	0.62	0.55	0.89	15.38	46.15	38.46	tumor-associated calcium signal transducer 2
202018_s_at	NM_002343	LTF	0.26	0.36	1.4	15.38	46.15	38.46	lactotransferrin
209387_s_at	M90657	TM4SF1	0.66	0.85	1.29	15.38	46.15	38.46	transmembrane 4 superfamily member 1
205066_s_at	NM_006208	ENPP1	0.74	0.79	1.07	15.38	46.15	38.46	ectonucleotide pyrophosphatase
209487_at	D84109	RBPMS	0.83	0.85	1.02	15.38	46.15	38.46	RNA binding protein with multiple splicing
203325_s_at	AI130969	COL5A1	0.64	0.8	1.25	15.38	46.15	38.46	collagen, type V, alpha 1
232113_at	N90870	---	0.66	0.71	1.09	11.54	46.15	42.31	MRNA; cDNA DKFZp564B182 (from clone DKFZp564B182)
202952_s_at	NM_003474	ADAM12	0.55	0.67	1.22	11.54	46.15	42.31	a disintegrin and metalloproteinase domain 12 (meltrin alpha)
214164_x_at	BF752277	CA12	0.78	0.75	0.97	11.54	46.15	42.31	carbonic anhydrase XII
209684_at	AL136924	RIN2	0.78	0.82	1.05	11.54	46.15	42.31	Ras and Rab interactor 2
216442_x_at	AK026737	FN1	0.47	0.62	1.31	11.54	46.15	42.31	fibronectin 1
205051_s_at	NM_000222	KIT	0.52	0.71	1.38	11.54	46.15	42.31	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
205150_s_at	AV724192	KIAA0644	0.71	0.87	1.22	11.54	46.15	42.31	KIAA0644 gene product
214039_s_at	T15777	LAPTM4B	0.78	0.91	1.16	11.54	46.15	42.31	lysosomal associated protein transmembrane 4 beta
218049_s_at	NM_014078	MRPL13	0.8	0.89	1.11	11.54	46.15	42.31	mitochondrial ribosomal protein L13
205908_s_at	NM_005014	OMD	0.42	0.56	1.31	11.54	46.15	42.31	osteomodulin
201215_at	NM_005032	PLS3	0.62	0.73	1.18	11.54	46.15	42.31	plastin 3 (T isoform)
235733_at	AW043921	---	0.55	0.72	1.32	7.69	46.15	46.15	Transcribed sequence with moderate similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry
209436_at	AB018305	SPON1	0.58	0.9	1.56	7.69	46.15	46.15	spondin 1, extracellular matrix protein
208949_s_at	BC001120	LGALS3	0.65	0.74	1.14	7.69	46.15	46.15	lectin, galactoside-binding, soluble, 3 (galectin 3)
209366_x_at	M22865	CYB5	0.68	0.73	1.08	7.69	46.15	46.15	cytochrome b-5
238066_at	AI733027	RBP7	0.48	0.62	1.29	7.69	46.15	46.15	retinol binding protein 7, cellular
213422_s_at	AW888223	MGC3047	0.7	0.89	1.28	7.69	46.15	46.15	hypothetical protein MGC3047
223126_s_at	AI159874	C1orf21	0.71	0.78	1.1	7.69	46.15	46.15	chromosome 1 open reading frame 21
201286_at	Z48199	SDC1	0.58	0.7	1.2	7.69	46.15	46.15	syndecan 1
212958_x_at	AI022882	PAM	0.88	0.87	0.99	7.69	46.15	46.15	peptidylglycine alpha-amidating monooxygenase
203305_at	NM_000129	F13A1	0.54	0.79	1.46	7.69	46.15	46.15	coagulation factor XIII, A1 polypeptide
225803_at	AW006123	FBXO32	0.67	0.83	1.23	7.69	46.15	46.15	F-box only protein 32
203699_s_at	U53506	DIO2	0.38	0.65	1.72	3.85	46.15	50	deiodinase, iodothyronine, type II
210986_s_at	Z24727	TPM1	0.72	0.82	1.14	3.85	46.15	50	tropomyosin 1 (alpha)
203180_at	NM_000693	ALDH1A3	0.36	0.53	1.46	3.85	46.15	50	aldehyde dehydrogenase 1 family, member A3
235944_at	BF446673	FIBL-6	0.29	0.47	1.65	3.85	46.15	50	hemicentin
209396_s_at	M80927	CHI3L1	0.43	0.77	1.81	3.85	46.15	50	chitinase 3-like 1 (cartilage glycoprotein-39)
200906_s_at	AK025843	KIAA0992	0.75	0.8	1.07	3.85	46.15	50	palladin
204948_s_at	NM_013409	FST	0.4	0.56	1.41	3.85	46.15	50	follistatin
223276_at	AF313413	NID67	0.76	0.86	1.12	3.85	46.15	50	putative small membrane protein NID67
214428_x_at	K02403	C4A	0.57	0.85	1.47	3.85	46.15	50	complement component 4A
210427_x_at	BC001388	ANXA2	0.7	0.78	1.12	0	46.15	53.85	annexin A2
204268_at	NM_005978	S100A2	0.31	0.45	1.45	0	46.15	53.85	S100 calcium binding protein A2
215271_at	BF432086	TNN	0.38	0.63	1.68	0	46.15	53.85	tenascin N
201105_at	NM_002305	LGALS1	0.68	0.87	1.26	0	46.15	53.85	lectin, galactoside-binding, soluble, 1 (galectin 1)
203434_s_at	AI433463	MME	0.27	0.44	1.62	0	46.15	53.85	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)
204455_at	NM_001723	DST	0.19	0.37	1.94	0	46.15	53.85	dystonin
203153_at	NM_001548	IFIT1	0.63	0.72	1.15	26.92	50	23.08	interferon-induced protein with tetratricopeptide repeats 1
206799_at	NM_006551	SCGB1D2	0.52	0.91	1.73	26.92	50	23.08	secretoglobin, family 1D, member 2
204439_at	NM_006820	C1orf29	0.85	1.01	1.18	26.92	50	23.08	chromosome 1 open reading frame 29
226237_at	AL359062	COL8A1	0.56	0.63	1.14	26.92	50	23.08	collagen, type VIII, alpha 1
223484_at	AF228422	NMES1	0.77	0.77	1	23.08	50	26.92	normal mucosa of esophagus specific 1
210519_s_at	BC000906	NQO1	0.74	0.8	1.09	23.08	50	26.92	NAD(P)H dehydrogenase, quinone 1
204285_s_at	AI857639	PMAIP1	1.08	1.08	1	23.08	50	26.92	phorbol-12-myristate-13-acetate-induced protein 1
205573_s_at	NM_015976	SNX7	0.71	0.79	1.11	23.08	50	26.92	sorting nexin 7
202555_s_at	NM_005965	MYLK	0.75	0.9	1.21	23.08	50	26.92	myosin, light polypeptide kinase
205120_s_at	U29586	SGCB	0.83	0.99	1.19	23.08	50	26.92	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)
212097_at	AU147399	CAV1	0.76	0.91	1.19	23.08	50	26.92	caveolin 1, caveolae protein, 22kDa
212489_at	AI983428	COL5A1	0.64	0.76	1.19	23.08	50	26.92	collagen, type V, alpha 1
204589_at	NM_014840	ARK5	0.76	0.86	1.14	19.23	50	30.77	AMP-activated protein kinase family member 5
214038_at	AI984980	CCL8	0.69	1.02	1.47	19.23	50	30.77	chemokine (C-C motif) ligand 8
201466_s_at	NM_002228	JUN	0.68	0.75	1.1	19.23	50	30.77	v-jun sarcoma virus 17 oncogene homolog (avian)
208782_at	BC000055	FSTL1	0.7	0.84	1.2	19.23	50	30.77	follistatin-like 1
228640_at	BE644809	PCDH7	0.61	0.74	1.21	19.23	50	30.77	BH-protocadherin (brain-heart)
212077_at	AL583520	CALD1	0.76	0.8	1.04	19.23	50	30.77	caldesmon 1
224549_x_at	AF194537	---	0.68	0.82	1.2	15.38	50	34.62	---
227062_at	AU155361	TncRNA	0.58	0.8	1.38	15.38	50	34.62	trophoblast-derived noncoding RNA
234989_at	AV699657	TncRNA	0.81	1.01	1.24	15.38	50	34.62	trophoblast-derived noncoding RNA
221541_at	AL136861	DKFZP434B044	0.65	0.84	1.31	15.38	50	34.62	hypothetical protein DKFZp434B044
224560_at	BF107565	TIMP2	0.64	0.68	1.05	15.38	50	34.62	tissue inhibitor of metalloproteinase 2
231579_s_at	BE968786	TIMP2	0.68	0.74	1.1	15.38	50	34.62	tissue inhibitor of metalloproteinase 2
226535_at	AK026736	ITGB6	0.61	0.63	1.03	15.38	50	34.62	integrin, beta 6
203706_s_at	NM_003507	FZD7	0.64	0.87	1.34	15.38	50	34.62	frizzled homolog 7 (Drosophila)
225242_s_at	AW303375	URB	0.51	0.82	1.6	15.38	50	34.62	steroid sensitive gene 1
209386_at	AI346835	TM4SF1	0.67	0.76	1.13	15.38	50	34.62	transmembrane 4 superfamily member 1
225975_at	AW189885	PCDH18	0.55	0.74	1.35	15.38	50	34.62	protocadherin 18
226065_at	N98595	PRICKLE1	0.76	0.89	1.17	11.54	50	38.46	prickle-like 1 (Drosophila)
224445_s_at	BC005999	ZFYVE21	0.84	0.77	0.92	11.54	50	38.46	zinc finger, FYVE domain containing 21
37408_at	AB014609	MRC2	0.66	0.81	1.23	11.54	50	38.46	mannose receptor, C type 2
215726_s_at	M22976	CYB5	0.69	0.7	1.01	11.54	50	38.46	cytochrome b-5
202436_s_at	AU144855	CYP1B1	0.69	0.93	1.34	11.54	50	38.46	cytochrome P450, family 1, subfamily B, polypeptide 1
209955_s_at	U76833	FAP	0.28	0.45	1.58	11.54	50	38.46	fibroblast activation protein, alpha
204237_at	NM_016315	GULP1	0.45	0.63	1.39	11.54	50	38.46	GULP, engulfment adaptor PTB domain containing 1
228335_at	AW264204	CLDN11	0.55	0.83	1.52	11.54	50	38.46	claudin 11 (oligodendrocyte transmembrane protein)
201579_at	NM_005245	FAT	0.7	0.84	1.21	11.54	50	38.46	FAT tumor suppressor homolog 1 (Drosophila)
203474_at	NM_006633	IQGAP2	0.78	0.82	1.05	11.54	50	38.46	IQ motif containing GTPase activating protein 2
203786_s_at	NM_003287	TPD52L1	0.69	0.61	0.88	11.54	50	38.46	tumor protein D52-like 1
213902_at	AI379338	ASAH1	0.82	0.97	1.18	11.54	50	38.46	N-acylsphingosine amidohydrolase (acid ceramidase) 1
201012_at	NM_000700	ANXA1	0.66	0.81	1.22	11.54	50	38.46	annexin A1
203638_s_at	NM_022969	FGFR2	0.54	0.58	1.09	7.69	50	42.31	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)
218468_s_at	AF154054	GREM1	0.57	0.72	1.25	7.69	50	42.31	gremlin 1 homolog, cysteine knot superfamily (Xenopus laevis)
207843_x_at	NM_001914	CYB5	0.73	0.8	1.1	7.69	50	42.31	cytochrome b-5
206754_s_at	NM_000767	CYP2B6	0.59	0.99	1.68	7.69	50	42.31	cytochrome P450, family 2, subfamily B, polypeptide 6
213428_s_at	AA292373	COL6A1	0.57	0.75	1.33	7.69	50	42.31	collagen, type VI, alpha 1
232458_at	AU146808	COL3A1	0.35	0.64	1.83	7.69	50	42.31	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
222549_at	AF101051	CLDN1	0.67	1.03	1.53	7.69	50	42.31	claudin 1
200665_s_at	NM_003118	SPARC	0.63	0.8	1.26	7.69	50	42.31	secreted protein, acidic, cysteine-rich (osteonectin)
201999_s_at	NM_006519	TCTEL1	0.84	0.8	0.96	7.69	50	42.31	t-complex-associated-testis-expressed 1-like 1
225328_at	N21643	FBXO32	0.64	0.87	1.37	7.69	50	42.31	F-box only protein 32
203453_at	NM_001038	SCNN1A	0.48	0.58	1.22	3.85	50	46.15	sodium channel, nonvoltage-gated 1 alpha
202310_s_at	K01228	COL1A1	0.53	0.75	1.4	3.85	50	46.15	collagen, type I, alpha 1
209395_at	M80927	CHI3L1	0.23	0.44	1.9	3.85	50	46.15	chitinase 3-like 1 (cartilage glycoprotein-39)
201307_at	AL534972	FLJ10849	0.78	0.91	1.16	3.85	50	46.15	hypothetical protein FLJ10849
217975_at	NM_016303	LOC51186	0.74	0.85	1.15	3.85	50	46.15	pp21 homolog
205363_at	NM_003986	BBOX1	0.39	0.53	1.37	0	50	50	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1
201590_x_at	NM_004039	ANXA2	0.72	0.78	1.08	0	50	50	annexin A2
213503_x_at	BE908217	ANXA2	0.69	0.79	1.14	0	50	50	annexin A2
203854_at	NM_000204	IF	0.67	0.85	1.26	0	50	50	I factor (complement)
214247_s_at	AU148057	DKK3	0.77	0.87	1.13	26.92	53.85	19.23	dickkopf homolog 3 (Xenopus laevis)
217428_s_at	X98568	COL10A1	0.48	0.6	1.24	26.92	53.85	19.23	collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)
244579_at	AI086336	---	0.72	0.71	0.99	23.08	53.85	23.08	Transcribed sequences
207173_x_at	D21254	CDH11	0.65	0.79	1.21	23.08	53.85	23.08	cadherin 11, type 2, OB-cadherin (osteoblast)
221729_at	AL575735	COL5A2	0.54	0.84	1.57	23.08	53.85	23.08	collagen, type V, alpha 2
212724_at	BG054844	ARHE	0.89	0.9	1.02	23.08	53.85	23.08	ras homolog gene family, member E
212667_at	AL575922	SPARC	0.73	0.78	1.07	23.08	53.85	23.08	secreted protein, acidic, cysteine-rich (osteonectin)
201923_at	NM_006406	PRDX4	0.82	0.93	1.13	23.08	53.85	23.08	peroxiredoxin 4
236297_at	AI420817	PLXDC2	0.63	0.77	1.23	19.23	53.85	26.92	plexin domain containing 2
224566_at	AI042152	TncRNA	0.76	0.85	1.12	19.23	53.85	26.92	trophoblast-derived noncoding RNA
202376_at	NM_001085	SERPINA3	0.52	0.53	1.01	19.23	53.85	26.92	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
210139_s_at	L03203	PMP22	0.67	0.7	1.04	19.23	53.85	26.92	peripheral myelin protein 22
202917_s_at	NM_002964	S100A8	0.56	1	1.78	19.23	53.85	26.92	S100 calcium binding protein A8 (calgranulin A)
223125_s_at	AL563236	C1orf21	0.71	0.79	1.12	19.23	53.85	26.92	chromosome 1 open reading frame 21
218728_s_at	NM_014184	HSPC163	0.82	0.95	1.16	19.23	53.85	26.92	HSPC163 protein
202133_at	BF674349	TAZ	0.61	0.79	1.3	19.23	53.85	26.92	transcriptional co-activator with PDZ-binding motif (TAZ)
213909_at	AU147799	LRRC15	0.55	0.84	1.53	19.23	53.85	26.92	leucine rich repeat containing 15
204464_s_at	NM_001957	EDNRA	0.83	0.96	1.16	19.23	53.85	26.92	endothelin receptor type A
204619_s_at	BF590263	CSPG2	0.44	0.58	1.31	19.23	53.85	26.92	chondroitin sulfate proteoglycan 2 (versican)
203083_at	NM_003247	THBS2	0.52	0.74	1.41	19.23	53.85	26.92	thrombospondin 2
201505_at	NM_002291	LAMB1	0.68	0.93	1.37	19.23	53.85	26.92	laminin, beta 1
219304_s_at	NM_025208	PDGFD	0.66	0.72	1.09	15.38	53.85	30.77	platelet derived growth factor D
224918_x_at	AI220117	MGST1	0.68	0.62	0.92	15.38	53.85	30.77	microsomal glutathione S-transferase 1
231736_x_at	NM_020300	MGST1	0.71	0.62	0.88	15.38	53.85	30.77	microsomal glutathione S-transferase 1
213764_s_at	AW665892	MFAP5	0.4	0.62	1.57	15.38	53.85	30.77	microfibrillar associated protein 5
1598_g_at	L13720	GAS6	0.87	0.95	1.09	15.38	53.85	30.77	growth arrest-specific 6
225464_at	N30138	C14orf31	0.7	0.75	1.06	15.38	53.85	30.77	chromosome 14 open reading frame 31
225481_at	AL040051	C14orf31	0.7	0.72	1.01	15.38	53.85	30.77	chromosome 14 open reading frame 31
224917_at	BF674052	VMP1	0.77	0.88	1.15	15.38	53.85	30.77	likely ortholog of rat vacuole membrane protein 1
218824_at	NM_018215	FLJ10781	0.6	0.84	1.4	15.38	53.85	30.77	hypothetical protein FLJ10781
201438_at	NM_004369	COL6A3	0.67	0.79	1.18	15.38	53.85	30.77	collagen, type VI, alpha 3
204620_s_at	NM_004385	CSPG2	0.53	0.8	1.51	15.38	53.85	30.77	chondroitin sulfate proteoglycan 2 (versican)
202336_s_at	NM_000919	PAM	0.75	0.77	1.03	15.38	53.85	30.77	peptidylglycine alpha-amidating monooxygenase
202404_s_at	NM_000089	COL1A2	0.57	0.84	1.49	15.38	53.85	30.77	collagen, type I, alpha 2
204472_at	NM_005261	GEM	0.6	0.85	1.42	15.38	53.85	30.77	GTP binding protein overexpressed in skeletal muscle
227628_at	AL571557	---	0.5	0.7	1.4	11.54	53.85	34.62	MRNA; cDNA DKFZp686G03142 (from clone DKFZp686G03142)
227997_at	AW007080	---	0.64	0.9	1.41	11.54	53.85	34.62	CDNA FLJ43603 fis, clone SPLEN2005767
210495_x_at	AF130095	FN1	0.48	0.65	1.35	11.54	53.85	34.62	fibronectin 1
211719_x_at	BC005858	FN1	0.5	0.62	1.23	11.54	53.85	34.62	fibronectin 1
227276_at	AI264121	PLXDC2	0.67	0.79	1.17	7.69	53.85	38.46	plexin domain containing 2
224565_at	BE675516	TncRNA	0.75	0.74	0.99	7.69	53.85	38.46	trophoblast-derived noncoding RNA
203917_at	NM_001338	CXADR	0.66	0.62	0.93	7.69	53.85	38.46	coxsackie virus and adenovirus receptor
203797_at	AF039555	VSNL1	0.4	0.64	1.59	7.69	53.85	38.46	visinin-like 1
203695_s_at	NM_004403	DFNA5	0.7	0.79	1.13	7.69	53.85	38.46	deafness, autosomal dominant 5
213139_at	AI572079	SNAI2	0.56	0.77	1.39	7.69	53.85	38.46	snail homolog 2 (Drosophila)
209170_s_at	AF016004	GPM6B	0.57	0.8	1.4	7.69	53.85	38.46	glycoprotein M6B
201445_at	NM_001839	CNN3	0.68	0.81	1.19	3.85	53.85	42.31	calponin 3, acidic
229400_at	AW299531	HOXD10	0.61	0.84	1.39	3.85	53.85	42.31	homeo box D10
222885_at	AF205940	EMCN	0.7	0.78	1.11	3.85	53.85	42.31	endomucin
213943_at	X99268	TWIST1	0.55	0.7	1.27	3.85	53.85	42.31	twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)
209160_at	AB018580	AKR1C3	0.49	0.67	1.37	0	53.85	46.15	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)
235182_at	AI816793	C20orf82	0.37	0.57	1.54	0	53.85	46.15	chromosome 20 open reading frame 82
206726_at	NM_014485	PGDS	0.52	0.76	1.47	0	53.85	46.15	prostaglandin D2 synthase, hematopoietic
205941_s_at	AI376003	COL10A1	0.51	0.86	1.68	26.92	57.69	15.38	collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)
225239_at	AI355441	---	0.65	0.79	1.23	23.08	57.69	19.23	CDNA FLJ26120 fis, clone SYN00419
202768_at	NM_006732	FOSB	0.64	0.61	0.94	23.08	57.69	19.23	FBJ murine osteosarcoma viral oncogene homolog B
229218_at	AA628535	COL1A2	0.4	0.69	1.73	23.08	57.69	19.23	collagen, type I, alpha 2
206101_at	NM_001393	ECM2	0.7	0.96	1.38	23.08	57.69	19.23	extracellular matrix protein 2, female organ and adipocyte specific
217762_s_at	BE789881	RAB31	0.68	0.74	1.09	19.23	57.69	23.08	RAB31, member RAS oncogene family
215076_s_at	AU144167	COL3A1	0.66	0.79	1.2	19.23	57.69	23.08	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
222453_at	AL136693	CYBRD1	0.64	0.69	1.07	19.23	57.69	23.08	cytochrome b reductase 1
205907_s_at	AI765819	OMD	0.51	0.76	1.49	19.23	57.69	23.08	osteomodulin
222288_at	AI004009	---	0.57	0.83	1.47	15.38	57.69	26.92	Transcribed sequence with moderate similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry
225710_at	H99792	---	0.76	0.74	0.98	15.38	57.69	26.92	CDNA FLJ34013 fis, clone FCBBF2002111
231993_at	AK026784	---	0.32	0.46	1.41	15.38	57.69	26.92	CDNA: FLJ23131 fis, clone LNG08502
208747_s_at	M18767	C1S	0.73	0.87	1.18	15.38	57.69	26.92	complement component 1, s subcomponent
217757_at	NM_000014	A2M	0.83	0.94	1.13	15.38	57.69	26.92	alpha-2-macroglobulin
58780_s_at	R42449	FLJ10357	0.74	0.89	1.2	15.38	57.69	26.92	hypothetical protein FLJ10357
217763_s_at	NM_006868	RAB31	0.68	0.94	1.38	15.38	57.69	26.92	RAB31, member RAS oncogene family
201852_x_at	AI813758	COL3A1	0.55	0.86	1.56	15.38	57.69	26.92	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
215034_s_at	AI189753	TM4SF1	0.61	0.81	1.32	15.38	57.69	26.92	transmembrane 4 superfamily member 1
206509_at	NM_002652	PIP	0.36	0.51	1.4	15.38	57.69	26.92	prolactin-induced protein
226865_at	AW130600	---	0.53	0.73	1.38	11.54	57.69	30.77	MRNA; cDNA DKFZp564O0862 (from clone DKFZp564O0862)
229476_s_at	AW272342	THRSP	0.61	0.77	1.26	11.54	57.69	30.77	thyroid hormone responsive (SPOT14 homolog, rat)
209758_s_at	U37283	MFAP5	0.43	0.6	1.38	11.54	57.69	30.77	microfibrillar associated protein 5
225782_at	AW027333	LOC253827	0.54	0.68	1.26	11.54	57.69	30.77	hypothetical protein LOC253827
201069_at	NM_004530	MMP2	0.47	0.64	1.35	11.54	57.69	30.77	matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)
212464_s_at	X02761	FN1	0.49	0.63	1.29	11.54	57.69	30.77	fibronectin 1
235371_at	AI452595	---	0.49	0.75	1.53	11.54	57.69	30.77	Similar to CG9996-PA (LOC389129), mRNA
209875_s_at	M83248	SPP1	0.54	0.79	1.46	11.54	57.69	30.77	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)
221911_at	BE881590	LOC221810	0.46	0.59	1.3	11.54	57.69	30.77	hypothetical protein LOC221810
204457_s_at	NM_002048	GAS1	0.58	0.74	1.29	11.54	57.69	30.77	growth arrest-specific 1
200974_at	NM_001613	ACTA2	0.62	0.76	1.23	7.69	57.69	34.62	actin, alpha 2, smooth muscle, aorta
211813_x_at	AF138303	DCN	0.47	0.65	1.39	7.69	57.69	34.62	decorin
