Probe Set ID	Status	Gene Symbol	Gene Name	RefSeq Transcript ID	Chrom . Loc.
203556_at	Luminal	ZHX2	zinc fingers and homeoboxes 2	NM_014943	8q24.13
223373_s_at	Luminal	PLA2G12A	phospholipase A2, group XIIA	NM_030821	4q25
229963_at	Luminal	LOC340542	hypothetical protein LOC340542	---	xq22.1
218639_s_at	Luminal	MGC11349	hypothetical protein MGC11349	NM_025112	3q21.3
233571_x_at	Luminal	C20orf149	chromosome 20 open reading frame 149	NM_024299	20q13.33
209333_at	Luminal	ULK1	unc-51-like kinase 1 (C. elegans)	NM_003565	12q24.3
228708_at	Luminal	RAB27B	RAB27B, member RAS oncogene family	NM_004163	18q21.2
218048_at	Luminal	COMMD3	COMM domain containing 3	NM_012071	10pter-q22.1
217014_s_at	Luminal	GJE1	gap junction protein, epsilon 1, 29kDa	NM_001185	7q22.1
223864_at	Luminal	ANKRD30A	ankyrin repeat domain 30A	NM_052997	10p11.21
204554_at	Luminal	PPP1R3D	protein phosphatase 1, regulatory subunit 3D	NM_006242	20q13.3
224921_at	Luminal	SCAMP2	secretory carrier membrane protein 2	NM_005697	15q23-q25
210740_s_at	Luminal	ITPK1	inositol 1,3,4-triphosphate 5/6 kinase	NM_014216	14q31
204951_at	Luminal	RHOH	ras homolog gene family, member H	NM_004310	4p13
209343_at	Luminal	EFHD1	EF hand domain containing 1	NM_025202	2q37.1
202201_at	Luminal	BLVRB	biliverdin reductase B (flavin reductase (NADPH))	NM_000713	19q13.1-q13.2
213884_s_at	Luminal	TRIM3	tripartite motif-containing 3	NM_006458 /// NM_033278	11p15.5
227544_at	Luminal	C14orf83	chromosome 14 open reading frame 83	---	14q23.3
224482_s_at	Luminal	RAB11-FIP4	rab11-family interacting protein 4	NM_032932	17q11.2
225305_at	Luminal	SLC25A29	solute carrier family 25, member 29	NM_152333	14q32.32
224513_s_at	Luminal	C1orf6	chromosome 1 open reading frame 6	NM_020131	1q21
223421_at	Luminal	MGC13010	hypothetical protein MGC13010	NM_032687	8q24.3
203429_s_at	Luminal	C1orf9	chromosome 1 open reading frame 9	NM_014283 /// NM_016227	1q24
212053_at	Luminal	KIAA0251	KIAA0251 protein	NM_015027	16p13.13
218010_x_at	Luminal	C20orf149	chromosome 20 open reading frame 149	NM_024299	20q13.33
204765_at	Luminal	ARHGEF5	Rho guanine nucleotide exchange factor (GEF) 5	NM_001002861 /// NM_005435	7q33-q35
55616_at	Luminal	PERLD1	per1-like domain containing 1	NM_033419	17q21.2
224808_s_at	Luminal	C7orf20	chromosome 7 open reading frame 20	NM_015949	7p22.3
210312_s_at	Luminal	LOC90410	intraflagellar transport protein IFT20	NM_174887	17q11.2
217223_s_at	Luminal	BCR	breakpoint cluster region	NM_004327 /// NM_021574	22q11.23
214670_at	Luminal	ZNF36	zinc finger protein 36 (KOX 18)	NM_003439	7q21.3-q22.1
205258_at	Luminal	INHBB	inhibin, beta B (activin AB beta polypeptide)	NM_002193	2cen-q13
213693_s_at	Luminal	MUC1	mucin 1, transmembrane	NM_002456 /// NM_182741	1q21
205780_at	Luminal	BIK	BCL2-interacting killer (apoptosis-inducing)	---	22q13.31
203509_at	Luminal	SORL1	sortilin-related receptor, L(DLR class) A repeats-containing	NM_003105	11q23.2-q24.2
207761_s_at	Luminal	DKFZP586A0522	DKFZP586A0522 protein	NM_014033	12q13.13
213431_x_at	Luminal	KIAA0542	KIAA0542 gene product	NM_001007467 /// NM_014775	22q12.2
1554595_at	Luminal	SYMPK	symplekin	NM_004819	19q13.3
226121_at	Luminal	MGC23280	hypothetical protein MGC23280	NM_144683	17q11.2
52940_at	Luminal	SIGIRR	single Ig IL-1R-related molecule	NM_021805	11p15.5
242323_at	Luminal		Transcribed sequence with weak  similarity to protein ref:NP-060312.1 (H.sapiens)  hypothetical protein FLJ20489 [Homo sapiens]	---
204378_at	Luminal	BCAS1	breast carcinoma amplified sequence 1	NM_003657	20q13.2-q13.3
232231_at	Mesenchymal		MRNA; cDNA DKFZp761J1112 (from clone DKFZp761J1112)	NM_001015051 /// NM_004348
218726_at	Mesenchymal	DKFZp762E1312	hypothetical protein DKFZp762E1312	NM_018410	2q37.2
211995_x_at	Mesenchymal	ACTG1	actin, gamma 1	NM_001614	17q25
228063_s_at	Mesenchymal	NAP1L5	nucleosome assembly protein 1-like 5	NM_153757	4q22.1
227138_at	Mesenchymal	LOC253263	hypothetical protein LOC253263	NM_006371	3p22.3
227126_at	Mesenchymal		Transcribed sequences	---
226722_at	Mesenchymal	FAM20C	family with sequence similarity 20, member C	NM_020223	7p22.3
211675_s_at	Mesenchymal	HIC	I-mfa domain-containing protein	NM_199072	7q31.2
225646_at	Mesenchymal	CTSC	cathepsin C	NM_001814 /// NM_148170	11q14.1-q14.3
204748_at	Mesenchymal	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	NM_000963	1q25.2-q25.3
202690_s_at	Mesenchymal	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide 16kDa	NM_006938	18q11.2
1553101_a_at	Mesenchymal	FLJ20308	hypothetical protein FLJ20308	NM_017758	17p11.2
209537_at	Mesenchymal	EXTL2	exostoses (multiple)-like 2	NM_001439	1p21
222154_s_at	Mesenchymal	DNAPTP6	DNA polymerase-transactivated protein 6	NM_015535	2q33.2
202351_at	Mesenchymal	ITGAV	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	NM_002210	2q31-q32
201594_s_at	Mesenchymal	PPP4R1	protein phosphatase 4, regulatory subunit 1	NM_005134	18p11.22
225338_at	Mesenchymal	FLJ13456	hypothetical protein FLJ13456	NM_024646	1p32.3
227486_at	Mesenchymal	NT5E	5-nucleotidase, ecto (CD73)	NM_002526	6q14-q21
221510_s_at	Mesenchymal	GLS	glutaminase	NM_014905	2q32-q34
202037_s_at	Mesenchymal	SFRP1	secreted frizzled-related protein 1	NM_003012	8p12-p11.1
202627_s_at	Mesenchymal	SERPINE1	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	NM_000602	7q21.3-q22
1558015_s_at	Mesenchymal	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	NM_001005386 /// NM_005722	2p14
224955_at	Mesenchymal	TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)	NM_021961	11p15.4
202765_s_at	Mesenchymal	FBN1	fibrillin 1 (Marfan syndrome)	NM_000138	15q21.1
201185_at	Mesenchymal	PRSS11	protease, serine, 11 (IGF binding)	NM_002775	10q26.3
211953_s_at	Mesenchymal	KPNB3	karyopherin (importin) beta 3	NM_002271	13q32.2
215198_s_at	Mesenchymal	CALD1	caldesmon 1	NM_004342 /// NM_033138 /// NM_033139 /// NM_033140 /// NM_033157	7q33
216268_s_at	Mesenchymal	JAG1	jagged 1 (Alagille syndrome)	NM_000214	20p12.1-p11.23
202900_s_at	Mesenchymal	NUP88	nucleoporin 88kDa	NM_002532	17p13.2
212012_at	Mesenchymal	D2S448	Melanoma associated gene	XM_056455	2p25
223094_s_at	Mesenchymal	ANKH	ankylosis, progressive homolog (mouse)	NM_054027	5p15.1
202589_at	Mesenchymal	TYMS	thymidylate synthetase	NM_001071	18p11.32
1557051_s_at	Mesenchymal		Clone IMAGE:5019307, mRNA	---
201615_x_at	Mesenchymal	CALD1	caldesmon 1	NM_004342 /// NM_033138 /// NM_033139 /// NM_033140 /// NM_033157	7q33
203570_at	Mesenchymal	LOXL1	lysyl oxidase-like 1	NM_005576	15q22
204011_at	Mesenchymal	SPRY2	sprouty homolog 2 (Drosophila)	NM_005842	13q22.2
200713_s_at	Mesenchymal	MAPRE1	microtubule-associated protein, RP/EB family, member 1	NM_012325	20q11.1-11.23
224790_at	Mesenchymal	DDEF1	development and differentiation enhancing factor 1	NM_018482	8q24.1-q24.2
226713_at	Mesenchymal	C3orf6	chromosome 3 open reading frame 6	NM_174908 /// NM_178335	3q28
223007_s_at	Mesenchymal	C9orf5	chromosome 9 open reading frame 5	NM_032012	9q31
201136_at	Mesenchymal	PLP2	proteolipid protein 2 (colonic epithelium-enriched)	NM_002668	xp11.23
230372_at	Mesenchymal	HAS2	hyaluronan synthase 2	NM_005328	8q24.12
202240_at	Mesenchymal	PLK1	polo-like kinase 1 (Drosophila)	NM_005030	16p12.3
225129_at	Mesenchymal	CPNE2	copine II	NM_152727	16q13
242787_at	Mesenchymal	INCENP	inner centromere protein antigens 135/155kDa	NM_020238	11q12-q13
215116_s_at	Mesenchymal	DNM1	dynamin 1	NM_001005336 /// NM_004408	9q34
1552619_a_at	Mesenchymal	ANLN	anillin, actin binding protein (scraps homolog, Drosophila)	NM_018685	7p15-p14
228188_at	Mesenchymal	FOSL2	FOS-like antigen 2	NM_005253	2p23.3
229610_at	Mesenchymal	FLJ40629	hypothetical protein FLJ40629	NM_152515	2q14.1
202990_at	Mesenchymal	PYGL	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)	NM_002863	14q21-q22
1554082_a_at	Mesenchymal	FLJ23323	hypothetical protein FLJ23323	NM_024654	1p36.23
203705_s_at	Mesenchymal	FZD7	frizzled homolog 7 (Drosophila)	NM_003507	2q33
244503_at	Mesenchymal		Transcribed sequences	NM_001709 /// NM_170731 /// NM_170732 /// NM_170733 /// NM_170734 /// NM_170735
233656_s_at	Mesenchymal	VPS54	vacuolar protein sorting 54 (yeast)	NM_001005739 /// NM_016516	2p13-p14
1555480_a_at	Mesenchymal	FBLP-1	filamin-binding LIM protein-1	NM_017556	1p36.13
217879_at	Mesenchymal	CDC27	cell division cycle 27	NM_001256	17q12-17q23.2
229307_at	Mesenchymal	ANKRD28	ankyrin repeat domain 28	NM_015199	3p25.1
202910_s_at	Mesenchymal	CD97	CD97 antigen	NM_001784 /// NM_078481	19p13
209193_at	Mesenchymal	PIM1	pim-1 oncogene	---	6p21.2
222409_at	Mesenchymal	CORO1C	coronin, actin binding protein, 1C	NM_014325	12q24.1
227862_at	Mesenchymal		LOC388610 (LOC388610), mRNA	NM_001013642	1p35.3
211343_s_at	Mesenchymal	COL13A1	collagen, type XIII, alpha 1	NM_005203 /// NM_080798 /// NM_080799 /// NM_080800 /// NM_080801 /// NM_080802 /// NM_080803 /// NM_080804 /// NM_080805 /// NM_080806 /// NM_080807 /// NM_080808 /// NM_080809 /// NM_080810 /// NM_080811 /// NM_080812 /// NM_080813 /// NM_080814 /// NM_080815	10q22
208747_s_at	Mesenchymal	C1S	complement component 1, s subcomponent	NM_001734 /// NM_201442	12p13
223093_at	Mesenchymal	ANKH	ankylosis, progressive homolog (mouse)	NM_054027	5p15.1
206580_s_at	Mesenchymal	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	NM_016938	11q13
211366_x_at	Mesenchymal	CASP1	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)	NM_001223 /// NM_033292 /// NM_033293 /// NM_033294 /// NM_033295	11q23
206432_at	Mesenchymal	HAS2	hyaluronan synthase 2	NM_005328	8q24.12
215509_s_at	Mesenchymal	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	NM_004336	2q14
224204_x_at	Mesenchymal	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	NM_020183	12p12.2-p11.2
204159_at	Mesenchymal	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	NM_001262 /// NM_078626	1p32
238462_at	Mesenchymal	KIAA1959	nm23-phosphorylated unknown substrate	NM_032873	11q24.1
225128_at	Mesenchymal	MGC33424	hypothetical protein MGC33424	NM_153705	11q23.1
204162_at	Mesenchymal	KNTC2	kinetochore associated 2	NM_006101	18p11.31
205339_at	Mesenchymal	SIL	TAL1 (SCL) interrupting locus	NM_003035	1p32
211651_s_at	Mesenchymal	LAMB1	laminin, beta 1	NM_002291	7q22
212672_at	Mesenchymal	ATM	ataxia telangiectasia mutated (includes complementation groups A, C and D)	NM_000051 /// NM_138292 /// NM_138293	11q22-q23
212414_s_at	Mesenchymal	38961	septin 6	NM_015129 /// NM_032569 /// NM_145799 /// NM_145800 /// NM_145802	xq25
209789_at	Mesenchymal	CORO2B	coronin, actin binding protein, 2B	NM_006091	15q22.31
228745_at	Mesenchymal		CDNA FLJ33275 fis, clone ASTRO2008040	NM_024941
201642_at	Mesenchymal	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	NM_005534	21q22.11
201727_s_at	Mesenchymal	ELAVL1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	NM_001419	19p13.2
208827_at	Mesenchymal	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6	NM_002798	17p13
226905_at	Mesenchymal	MGC45871	hypothetical protein MGC45871	NM_182705	17p13
201585_s_at	Mesenchymal	SFPQ	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	NM_005066	1p34.3
217762_s_at	Mesenchymal	RAB31	RAB31, member RAS oncogene family	NM_006868	18p11.3
235545_at	Mesenchymal	DEPDC1	DEP domain containing 1	NM_017779	1p31.2
200813_s_at	Mesenchymal	PAFAH1B1	platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa	NM_000430	17p13.3
229641_at	Mesenchymal		Transcribed sequence with moderate similarity to protein sp:P39192 (H.sapiens)	---
222039_at	Mesenchymal	LOC146909	hypothetical protein LOC146909	XM_085634	17q21.31
209090_s_at	Mesenchymal	SH3GLB1	SH3-domain GRB2-like endophilin B1	NM_016009	1p22
224773_at	Mesenchymal	NAV1	neuron navigator 1	NM_020443	1q32.3
201809_s_at	Mesenchymal	ENG	endoglin (Osler-Rendu-Weber syndrome 1)	NM_000118	9q33-q34.1
205463_s_at	Mesenchymal	PDGFA	platelet-derived growth factor alpha polypeptide	---	7p22
226751_at	Mesenchymal	DKFZP566K1924	DKFZP566K1924 protein	NM_015463	2p13.3
202845_s_at	Mesenchymal	RALBP1	ralA binding protein 1	NM_006788	18p11.3
212423_at	Mesenchymal	C10orf56	chromosome 10 open reading frame 56	NM_153367	10q23.1
221039_s_at	Mesenchymal	DDEF1	development and differentiation enhancing factor 1	NM_018482	8q24.1-q24.2
226017_at	Mesenchymal	CKLFSF7	chemokine-like factor super family 7	NM_138410 /// NM_181472	3p22.3
226005_at	Mesenchymal		CDNA clone IMAGE:4431242, partial cds	NM_003342 /// NM_182682
219935_at	Mesenchymal	ADAMTS5	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)	NM_007038	21q21.3
202506_at	Mesenchymal	SSFA2	sperm specific antigen 2	NM_006751	2q32.1
202628_s_at	Mesenchymal	SERPINE1	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	NM_000602	7q21.3-q22
226136_at	Mesenchymal	HRB2	HIV-1 rev binding protein 2	---	12q21.1
203921_at	Mesenchymal	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	NM_004267	3q24
201752_s_at	Mesenchymal	ADD3	adducin 3 (gamma)	NM_001121 /// NM_016824 /// NM_019903	10q24.2-q24.3
221958_s_at	Mesenchymal	FLJ23091	putative NFkB activating protein 373	NM_001002292 /// NM_024911	1p31.2
200671_s_at	Mesenchymal	SPTBN1	spectrin, beta, non-erythrocytic 1	NM_003128 /// NM_178313	2p21
228082_at	Mesenchymal	ASAM	adipocyte-specific adhesion molecule	NM_024769	11q24.1
218084_x_at	Mesenchymal	FXYD5	FXYD domain containing ion transport regulator 5	NM_014164 /// NM_144779	19q12-q13.1
224772_at	Mesenchymal	NAV1	neuron navigator 1	NM_020443	1q32.3
218662_s_at	Mesenchymal	HCAP-G	chromosome condensation protein G	NM_022346	4p16-p15
244025_at	Mesenchymal		Transcribed sequences	---
206550_s_at	Mesenchymal	NUP155	nucleoporin 155kDa	NM_004298 /// NM_153485	5p13.1
210139_s_at	Mesenchymal	PMP22	peripheral myelin protein 22	NM_000304 /// NM_153321 /// NM_153322	17p12-p11.2
201438_at	Mesenchymal	COL6A3	collagen, type VI, alpha 3	NM_004369 /// NM_057164 /// NM_057165 /// NM_057166 /// NM_057167	2q37
213689_x_at	Mesenchymal	RPL5	ribosomal protein L5	NM_001006605	1p22.1
200665_s_at	Mesenchymal	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	NM_003118	5q31.3-q32
210968_s_at	Mesenchymal	RTN4	reticulon 4	NM_007008 /// NM_020532 /// NM_153828 /// NM_207520 /// NM_207521	2p16.3
218656_s_at	Mesenchymal	LHFP	lipoma HMGIC fusion partner	NM_005780	13q12
201859_at	Mesenchymal	PRG1	proteoglycan 1, secretory granule	NM_002727	10q22.1
212506_at	Mesenchymal	PICALM	phosphatidylinositol binding clathrin assembly protein	NM_001008660 /// NM_007166	11q14
235548_at	Mesenchymal	FLJ90166	hypothetical protein FLJ90166	NM_153360	20q13.32
230722_at	Mesenchymal	BNC2	basonuclin 2	NM_017637	9p22.2
1554390_s_at	Mesenchymal	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	NM_001005386 /// NM_005722	2p14
210097_s_at	Mesenchymal	NOL7	nucleolar protein 7, 27kDa	NM_016167	6p23
238587_at	Mesenchymal	KIAA1959	nm23-phosphorylated unknown substrate	NM_032873	11q24.1
201037_at	Mesenchymal	PFKP	phosphofructokinase, platelet	NM_002627	10p15.3-p15.2
228573_at	Mesenchymal	ANTXR2	anthrax toxin receptor 2	NM_058172	4q21.3
217975_at	Mesenchymal	LOC51186	pp21 homolog	NM_001006612 /// NM_001006613 /// NM_001006614 /// NM_016303	xq22.2
224374_s_at	Mesenchymal	EMILIN2	elastin microfibril interfacer 2	NM_032048	18p11.3
204337_at	Mesenchymal	RGS4	regulator of G-protein signalling 4	NM_005613	1q23.2
227413_at	Mesenchymal	MGC10067	hypothetical protein MGC10067	NM_145049	5q33.3
210427_x_at	Mesenchymal	ANXA2	annexin A2	NM_001002857 /// NM_001002858 /// NM_004039	15q21-q22
227530_at	Mesenchymal	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	NM_005100 /// NM_144497	6q24-q25
226876_at	Mesenchymal	MGC45871	hypothetical protein MGC45871	NM_182705	17p13
217764_s_at	Mesenchymal	RAB31	RAB31, member RAS oncogene family	NM_006868	18p11.3
202779_s_at	Mesenchymal	UBE2S	ubiquitin-conjugating enzyme E2S	NM_014501	19q13.43
222875_at	Mesenchymal	DHX33	DEAH (Asp-Glu-Ala-His) box polypeptide 33	NM_020162	17p13.3
228479_at	Mesenchymal		Transcribed sequence with weak  similarity to protein sp:P39194 (H.sapiens)	---
203510_at	Mesenchymal	MET	met proto-oncogene (hepatocyte growth factor receptor)	NM_000245	7q31
229067_at	Mesenchymal		CDNA FLJ42565 fis, clone BRACE3007472	XM_209227	1q32.1
228949_at	Mesenchymal	FLJ23091	putative NFkB activating protein 373	NM_001002292 /// NM_024911	1p31.2
203881_s_at	Mesenchymal	DMD	dystrophin (muscular dystrophy, Duchenne and Becker types)	NM_000109 /// NM_004006 /// NM_004007 /// NM_004009 /// NM_004010 /// NM_004011 /// NM_004012 /// NM_004013 /// NM_004014 /// NM_004015 /// NM_004016 /// NM_004017 /// NM_004018 /// NM_004019 /// NM_004020 /// NM_004021 /// NM_004022 /// NM_004023	xp21.2
224252_s_at	Mesenchymal	FXYD5	FXYD domain containing ion transport regulator 5	NM_014164 /// NM_144779	19q12-q13.1
220199_s_at	Mesenchymal	FLJ12806	hypothetical protein FLJ12806	NM_022831	1q42.12
203047_at	Mesenchymal	STK10	serine/threonine kinase 10	NM_005990	5q35.1
209297_at	Mesenchymal	ITSN1	intersectin 1 (SH3 domain protein)	NM_001001132 /// NM_003024	21q22.1-q22.2
225831_at	Mesenchymal	LUZP1	leucine zipper protein 1	NM_033631	1p36
227713_at	Mesenchymal		MRNA; cDNA DKFZp686I21166 (from clone DKFZp686I21166)	NM_001014380 /// NM_032116
204268_at	Mesenchymal	S100A2	S100 calcium binding protein A2	NM_005978	1q21
215707_s_at	Mesenchymal	PRNP	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	NM_000311 /// NM_183079	20pter-p12
203554_x_at	Mesenchymal	PTTG1	pituitary tumor-transforming 1	NM_004219	5q35.1
44563_at	Mesenchymal	FLJ10385	hypothetical protein FLJ10385	NM_018081	17p13.2
200958_s_at	Mesenchymal	SDCBP	syndecan binding protein (syntenin)	NM_001007067 /// NM_001007068 /// NM_001007069 /// NM_001007070 /// NM_005625	8q12
209755_at	Mesenchymal	NMNAT2	nicotinamide nucleotide adenylyltransferase 2	NM_015039 /// NM_170706	1q25
203069_at	Mesenchymal	SV2A	synaptic vesicle glycoprotein 2A	---	1q21.3
205525_at	Mesenchymal	CALD1	caldesmon 1	NM_004342 /// NM_033138 /// NM_033139 /// NM_033140 /// NM_033157	7q33
213260_at	Mesenchymal	FOXC1	forkhead box C1	NM_001453	6p25
212265_at	Mesenchymal	QKI	quaking homolog, KH domain RNA binding (mouse)	NM_006775 /// NM_206853 /// NM_206854 /// NM_206855	6q26-27
232174_at	Mesenchymal		MRNA; cDNA DKFZp686H2244 (from clone DKFZp686H2244)	NM_000127
223092_at	Mesenchymal	ANKH	ankylosis, progressive homolog (mouse)	NM_054027	5p15.1
210298_x_at	Mesenchymal	FHL1	four and a half LIM domains 1	NM_001449	xq26
210664_s_at	Mesenchymal	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	NM_006287	2q31-q32.1
203637_s_at	Mesenchymal	MID1	midline 1 (Opitz/BBB syndrome)	NM_000381 /// NM_033290 /// NM_033291	xp22
226633_at	Mesenchymal	RAB8B	RAB8B, member RAS oncogene family	NM_016530	15q22.1
224851_at	Mesenchymal	CDK6	cyclin-dependent kinase 6	NM_001259	7q21-q22
201505_at	Mesenchymal	LAMB1	laminin, beta 1	NM_002291	7q22
212818_s_at	Mesenchymal	ASB1	ankyrin repeat and SOCS box-containing 1	NM_016114	2q37
213503_x_at	Mesenchymal	ANXA2	annexin A2	NM_001002857 /// NM_001002858 /// NM_004039	15q21-q22
213524_s_at	Mesenchymal	G0S2	putative lymphocyte G0/G1 switch gene	NM_015714	1q32.2-q41
217763_s_at	Mesenchymal	RAB31	RAB31, member RAS oncogene family	NM_006868	18p11.3
210470_x_at	Mesenchymal	NONO	non-POU domain containing, octamer-binding	NM_007363	xq13.1
224908_s_at	Mesenchymal	TTL	tubulin tyrosine ligase	NM_153712	2q13
212320_at	Mesenchymal	OK/SW-cl.56	beta 5-tubulin	NM_178014	6p21.32
225381_at	Mesenchymal		MRNA; cDNA DKFZp686J24156 (from clone DKFZp686J24156)	XM_378316	11q24.1
212667_at	Mesenchymal	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	NM_003118	5q31.3-q32
230973_at	Mesenchymal	LOC400745	hypothetical gene supported by AK124869	XM_375698	1p36.12
1555579_s_at	Mesenchymal	PTPRM	protein tyrosine phosphatase, receptor type, M	NM_002845	18p11.2
201590_x_at	Mesenchymal	ANXA2	annexin A2	NM_001002857 /// NM_001002858 /// NM_004039	15q21-q22
211787_s_at	Mesenchymal	EIF4A1	eukaryotic translation initiation factor 4A, isoform 1	NM_001416	17p13
228507_at	Mesenchymal	PDE3A	phosphodiesterase 3A, cGMP-inhibited	NM_000921	12p12
200974_at	Mesenchymal	ACTA2	actin, alpha 2, smooth muscle, aorta	NM_001613	10q23.3
212992_at	Mesenchymal	C14orf78	chromosome 14 open reading frame 78	XM_290629	14q32.33
215997_s_at	Mesenchymal	CUL4B	cullin 4B	NM_003588	xq23
200729_s_at	Mesenchymal	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	NM_001005386 /// NM_005722	2p14
209505_at	Mesenchymal	NR2F1	nuclear receptor subfamily 2, group F, member 1	NM_005654	5q14
202133_at	Mesenchymal	TAZ	transcriptional co-activator with PDZ-binding motif (TAZ)	NM_015472	3q23-q24
207057_at	Mesenchymal	SLC16A7	solute carrier family 16 (monocarboxylic acid transporters), member 7	NM_004731	12q13
203044_at	Mesenchymal	CHSY1	carbohydrate (chondroitin) synthase 1	NM_014918	15q26.3
218284_at	Mesenchymal	DKFZP586N0721	DKFZP586N0721 protein	NM_005902	15q22.31
224941_at	Mesenchymal	PAPPA	pregnancy-associated plasma protein A	NM_002581	9q33.2
219973_at	Mesenchymal	FLJ23548	hypothetical protein FLJ23548	NM_024590	4q26
213434_at	Mesenchymal	EPIM	epimorphin	NM_001980 /// NM_194356	12q24.33
224560_at	Mesenchymal	TIMP2	tissue inhibitor of metalloproteinase 2	NM_003255	17q25
208816_x_at	Mesenchymal	ANXA2P1	annexin A2 pseudogene 1	---	4q21-q31
217998_at	Mesenchymal	PHLDA1	pleckstrin homology-like domain, family A, member 1	NM_007350	12q15
225522_at	Mesenchymal		MRNA; cDNA DKFZp686K16132 (from clone DKFZp686K16132)	NM_001012987	2p13.3
201028_s_at	Mesenchymal	CD99	CD99 antigen	NM_002414	xp22.32; yp11.3
229221_at	Mesenchymal	CD44	CD44 antigen (homing function and Indian blood group system)	---	11p13
228128_x_at	Mesenchymal	PAPPA	pregnancy-associated plasma protein A	NM_002581	9q33.2
210757_x_at	Mesenchymal	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	NM_001343	5p13
224942_at	Mesenchymal	PAPPA	pregnancy-associated plasma protein A	NM_002581	9q33.2
201666_at	Mesenchymal	TIMP1	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	NM_003254	xp11.3-p11.23
203810_at	Mesenchymal	DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4	NM_007034	1p31.1
212940_at	Mesenchymal	COL6A1	collagen, type VI, alpha 1	NM_001848	21q22.3
230109_at	Mesenchymal	PDE7B	phosphodiesterase 7B	NM_018945	6q23-q24
227584_at	Mesenchymal	NAV1	neuron navigator 1	---
238877_at	Mesenchymal	EYA4	eyes absent homolog 4 (Drosophila)	NM_004100 /// NM_172103 /// NM_172104 /// NM_172105	6q23
225602_at	Mesenchymal	C9orf19	chromosome 9 open reading frame 19	NM_022343	9p13-p12
218418_s_at	Mesenchymal	ANKRD25	ankyrin repeat domain 25	NM_015493	19p13.2
202369_s_at	Mesenchymal	TRAM2	translocation associated membrane protein 2	NM_012288	6p21.1-p12
209298_s_at	Mesenchymal	ITSN1	intersectin 1 (SH3 domain protein)	NM_001001132 /// NM_003024	21q22.1-q22.2
212795_at	Mesenchymal	KIAA1033	KIAA1033 protein	NM_015275	12q24.11
216044_x_at	Mesenchymal		Similar to RIKEN cDNA 2900024C23 (LOC388650), mRNA	NM_001006605	1p22.1
200039_s_at	Mesenchymal	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2	NM_002794	1p34.2
220750_s_at	Mesenchymal	LEPRE1	leucine proline-enriched proteoglycan (leprecan) 1	NM_022356	1p34.1
216493_s_at	Mesenchymal	IMP-3	IGF-II mRNA-binding protein 3	NM_006547	7p11
235496_at	Mesenchymal		Clone DNA49141 LGLL338 (UNQ338) mRNA, complete cds	---
204237_at	Mesenchymal	GULP1	GULP, engulfment adaptor PTB domain containing 1	NM_016315	2q32.3-q33
210605_s_at	Mesenchymal	MFGE8	milk fat globule-EGF factor 8 protein	NM_005928	15q25
206412_at	Mesenchymal	FER	fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94)	NM_005246	5q21
1554696_s_at	Mesenchymal	TYMS	thymidylate synthetase	NM_001071	18p11.32
213807_x_at	Mesenchymal	MET	met proto-oncogene (hepatocyte growth factor receptor)	NM_000245	7q31
205573_s_at	Mesenchymal	SNX7	sorting nexin 7	NM_015976 /// NM_152238	1p21.3
209356_x_at	Mesenchymal	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	NM_016938	11q13
