Gene	Unigene title	Source mRNA	Class	Cluster
MAF	V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	af055376	Class I	Cluster 5
ENTH	Enthoprotin	NM_014666	Class I	Cluster 5
MTMR2	Myotubularin related protein 2	NM_016156	Class I	Cluster 5
KCTD6	Potassium channel tetramerisation domain containing 6	NM_153331	Class I	Cluster 5
ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	NM_001677	Class I	Cluster 5
FOXJ3	Forkhead box J3	NM_014947	Class I	Cluster 5
CHD7	Chromodomain helicase DNA binding protein 7	ak000368	Class I	Cluster 5
UBE3A	Ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)	NM_130839	Class I	Cluster 5
FUSIP1	FUS interacting protein (serine-arginine rich) 1	NM_006625	Class I	Cluster 5
CBX3	Chromobox homolog 3 (HP1 gamma homolog, Drosophila)	NM_016587	Class I	Cluster 5
RAB1A	RAB1A, member RAS oncogene family	ak055927	Class I	Cluster 5
FLJ37562	Hypothetical protein FLJ37562	NM_152409	Class I	Cluster 5
DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	NM_001356	Class I	Cluster 5
LRP11	Low density lipoprotein receptor-related protein 11	NM_032832	Class I	Cluster 5
PPP1R14C	Protein phosphatase 1, regulatory (inhibitor) subunit 14C	NM_030949	Class I	Cluster 5
DKFZp547A023	Hypothetical protein DKFZp547A023	NM_018704	Class I	Cluster 5
P15RS	Hypothetical protein FLJ10656	NM_018170	Class I	Cluster 5
TBPL1	TBP-like 1	NM_004865	Class I	Cluster 5
RNF14	Ring finger protein 14	NM_004290	Class I	Cluster 5
GRPEL2	GrpE-like 2, mitochondrial (E. coli)	NM_152407	Class I	Cluster 5
SMBP	SM-11044 binding protein	NM_020123	Class I	Cluster 5
ST13	Suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	NM_003932	Class I	Cluster 5
RALBP1	RalA binding protein 1	NM_006788	Class I	Cluster 5
PMAIP1	Phorbol-12-myristate-13-acetate-induced protein 1	NM_021127	Class I	Cluster 5
LATS2	LATS, large tumor suppressor, homolog 2 (Drosophila)	BC071572	Class I	Cluster 5
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	AK090487	Class I	Cluster 5
SLC16A1	Solute carrier family 16 (monocarboxylic acid transporters), member 1	AL162079	Class I	Cluster 5
	Hypothetical protein dJ122O8.2	NM_020466	Class I	Cluster 5
WDR26	WD repeat domain 26	AK023023	Class I	Cluster 5
H2AFV	H2A histone family, member V	AL110212	Class I	Cluster 5
GFM2	G elongation factor, mitochondrial 2	NM_170691	Class I	Cluster 5
MAK3	Mak3 homolog (S. cerevisiae)	BC012731	Class I	Cluster 5
NDP52	Nuclear domain 10 protein	NM_005831	Class I	Cluster 5
TIAM1	T-cell lymphoma invasion and metastasis 1	AK124647	Class I	Cluster 5
HSPA14	Heat shock 70kDa protein 14	BC026226	Class I	Cluster 5
AMD1	Adenosylmethionine decarboxylase 1	NM_001634	Class I	Cluster 5
ZMPSTE24	Zinc metallopeptidase (STE24 homolog, yeast)	NM_005857	Class I	Cluster 5
ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	NM_002940	Class I	Cluster 5
TIMM17A	Translocase of inner mitochondrial membrane 17 homolog A (yeast)	NM_006335	Class I	Cluster 5
G3BP2	Ras-GTPase activating protein SH3 domain-binding protein 2	NM_012297	Class I	Cluster 5
MCM10	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	NM_182751	Class I	Cluster 5
PRKAR1A	Protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	NM_002734	Class I	Cluster 5
DYRK1A	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	NM_130438	Class I	Cluster 5
FLJ34922	Hypothetical protein FLJ34922	NM_152270	Class I	Cluster 5
ABLIM1	Actin binding LIM protein 1	NM_006720	Class I	Cluster 5
P15RS	Hypothetical protein FLJ10656	NM_018170	Class I	Cluster 5
ATP6V1A	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A	NM_001690	Class I	Cluster 5
GNPNAT1	Glucosamine-phosphate N-acetyltransferase 1	ak090577	Class I	Cluster 5
EED	Embryonic ectoderm development	NM_152991	Class I	Cluster 5
IDH3A	Isocitrate dehydrogenase 3 (NAD+) alpha	NM_005530	Class I	Cluster 5
QKI	Quaking homolog, KH domain RNA binding (mouse)	ab067801	Class I	Cluster 5
SMBP	SM-11044 binding protein	NM_020123	Class I	Cluster 5
SLC38A1	Solute carrier family 38, member 1	NM_030674	Class I	Cluster 5
ST13	Suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	NM_003932	Class I	Cluster 5
ADAMTS1	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	NM_006988	Class I	Cluster 5
PMAIP1	Phorbol-12-myristate-13-acetate-induced protein 1	NM_021127	Class I	Cluster 5
YME1L1	YME1-like 1 (S. cerevisiae)	NM_139312	Class I	Cluster 5
SLC16A1	Solute carrier family 16 (monocarboxylic acid transporters), member 1	AL162079	Class I	Cluster 5
MYO10	Myosin X	AB018342	Class I	Cluster 5
SYNCRIP	Synaptotagmin binding, cytoplasmic RNA interacting protein	AK056188	Class I	Cluster 5
BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	BX647392	Class I	Cluster 5
RAP1B	RAP1B, member of RAS oncogene family	AK127392	Class I	Cluster 5
JARID2	Jumonji, AT rich interactive domain 2	NM_004973	Class I	Cluster 5
TMF1	TATA element modulatory factor 1	AK096365	Class I	Cluster 5
RANBP5	RAN binding protein 5	BC001497	Class I	Cluster 5
NUP153	Nucleoporin 153kDa	NM_005124	Class I	Cluster 5
TIMM17A	Translocase of inner mitochondrial membrane 17 homolog A (yeast)	NM_006335	Class I	Cluster 5
MCM10	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	NM_182751	Class I	Cluster 5
FSTL1	Follistatin-like 1	NM_007085	Class I	Cluster 5
PRKAR1A	Protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	NM_002734	Class I	Cluster 5
ARCN1	Archain 1	NM_001655	Class I	Cluster 5
RAB1A	RAB1A, member RAS oncogene family	ak055927	Class I	Cluster 5
CUL3	Cullin 3	NM_003590	Class I	Cluster 5
DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	NM_001356	Class I	Cluster 5
CLIC4	Chloride intracellular channel 4	NM_013943	Class I	Cluster 5
MTPN	Myotrophin	NM_145808	Class I	Cluster 5
IKBKAP	Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	NM_003640	Class I	Cluster 5
NARS	Asparaginyl-tRNA synthetase	NM_004539	Class I	Cluster 5
USP14	Ubiquitin specific protease 14 (tRNA-guanine transglycosylase)	NM_005151	Class I	Cluster 5
BAG5	BCL2-associated athanogene 5	NM_004873	Class I	Cluster 5
PSMD10	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	NM_170750	Class I	Cluster 5
DHFR	Dihydrofolate reductase	NM_000791	Class I	Cluster 5
YME1L1	YME1-like 1 (S. cerevisiae)	NM_139312	Class I	Cluster 5
SYNCRIP	Synaptotagmin binding, cytoplasmic RNA interacting protein	AK056188	Class I	Cluster 5
TLE4	Transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	NM_007005	Class I	Cluster 5
BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	BX647392	Class I	Cluster 5
XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	AK022162	Class I	Cluster 5
CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	NM_001254	Class I	Cluster 5
HNRPU	Heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	AK095525	Class I	Cluster 5
CDC23	CDC23 (cell division cycle 23, yeast, homolog)	BC005258	Class I	Cluster 5
RANBP5	RAN binding protein 5	BC001497	Class I	Cluster 5
NCOA4	Nuclear receptor coactivator 4	BC012736	Class I	Cluster 5
DHFR	Dihydrofolate reductase	NM_000791	Class I	Cluster 5
TOMM20	Translocase of outer mitochondrial membrane 20 homolog (yeast)	NM_014765	Class I	Cluster 5
SLC16A1	Solute carrier family 16 (monocarboxylic acid transporters), member 1	AL162079	Class I	Cluster 5
HNRPU	Heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	AK095525	Class I	Cluster 5
PLOD2	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	NM_182943	Class I	Cluster 5
CDC27	Cell division cycle 27	BC050604	Class I	Cluster 5
KPNA4	Karyopherin alpha 4 (importin alpha 3)	NM_002268	Class I	Cluster 5
C9orf10	Chromosome 9 open reading frame 10	af214738	Class I	Cluster 5
C2orf30	Chromosome 2 open reading frame 30	NM_015701	Class I	Cluster 5
PGM3	Phosphoglucomutase 3	AL117443	Class I	Cluster 5
GPR126	G protein-coupled receptor 126	ak075087	Class II	Cluster 4
GPR64	G protein-coupled receptor 64	NM_005756	Class II	Cluster 4
C21orf91	Chromosome 21 open reading frame 91	ak023825	Class II	Cluster 4
PLCB1	Phospholipase C, beta 1 (phosphoinositide-specific)	NM_182734	Class II	Cluster 4
FALZ	Fetal Alzheimer antigen	NM_182641	Class II	Cluster 4
OPA1	Optic atrophy 1 (autosomal dominant)	NM_130837	Class II	Cluster 4
ATRX	Alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	NM_138271	Class II	Cluster 4
ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	NM_006421	Class II	Cluster 4
MNAB	Membrane associated DNA binding protein	AL833455	Class II	Cluster 4
ZFX	Zinc finger protein, X-linked	NM_003410	Class II	Cluster 4
ULK2	Unc-51-like kinase 2 (C. elegans)	NM_014683	Class II	Cluster 4
NEK1	NIMA (never in mitosis gene a)-related kinase 1	ak025658	Class II	Cluster 4
OPA1	Optic atrophy 1 (autosomal dominant)	NM_130837	Class II	Cluster 4
TBC1D1	TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1	ak074954	Class II	Cluster 4
C10orf137	Chromosome 10 open reading frame 137	NM_015608	Class II	Cluster 4
NBEA	Neurobeachin	NM_015678	Class II	Cluster 4
DZIP3	Zinc finger DAZ interacting protein 3	NM_014648	Class II	Cluster 4
CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	NM_006449	Class II	Cluster 4
GLS	Glutaminase	af158555	Class II	Cluster 4
KIAA0888	KIAA0888 protein	ak022981	Class II	Cluster 4
CLCN4	Chloride channel 4	NM_001830	Class II	Cluster 4
NOTCH2	Notch homolog 2 (Drosophila)	NM_024408	Class II	Cluster 4
ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	NM_006421	Class II	Cluster 4
KIAA1102	KIAA1102 protein	AK021927	Class II	Cluster 4
PELI2	Pellino homolog 2 (Drosophila)	NM_021255	Class II	Cluster 4
NEDD4L	Neural precursor cell expressed, developmentally down-regulated 4-like	NM_015277	Class II	Cluster 4
GLS	Glutaminase	af158555	Class II	Cluster 4
GALC	Galactosylceramidase (Krabbe disease)	NM_000153	Class II	Cluster 4
BAZ1A	Bromodomain adjacent to zinc finger domain, 1A	NM_182648	Class II	Cluster 4
ENPP4	Ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)	NM_014936	Class II	Cluster 4
DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9	af115512	Class II	Cluster 4
ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	NM_006421	Class II	Cluster 4
USP46	Ubiquitin specific protease 46	AF070557	Class II	Cluster 4
EXOC8	Exocyst complex component 8	NM_175876	Class II	Cluster 4
SEL1L	Sel-1 suppressor of lin-12-like (C. elegans)	NM_005065	Class II	Cluster 4
ELL2	Elongation factor, RNA polymerase II, 2	NM_012081	Class II	Cluster 4
MTUS1	Mitochondrial tumor suppressor 1	AB033114	Class II	Cluster 4
MYEF2	Myelin expression factor 2	NM_016132	Class II	Cluster 4
RKHD2	Ring finger and KH domain containing 2	NM_016626	Class II	Cluster 4
USP46	Ubiquitin specific protease 46	AF070557	Class II	Cluster 4
MSI2	Musashi homolog 2 (Drosophila)	NM_138962	Class II	Cluster 4
ULK2	Unc-51-like kinase 2 (C. elegans)	NM_014683	Class II	Cluster 4
ZNF304	Zinc finger protein 304	NM_020657	Class II	Cluster 4
SH3BGRL2	SH3 domain binding glutamic acid-rich protein like 2	NM_031469	Class II	Cluster 4
CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	NM_006449	Class II	Cluster 4
OSBPL11	Oxysterol binding protein-like 11	ak023226	Class II	Cluster 4
C6orf111	Chromosome 6 open reading frame 111	NM_032870	Class II	Cluster 4
VPS13D	Vacuolar protein sorting 13D (yeast)	ak001481	Class II	Cluster 4
RAP2A	RAP2A, member of RAS oncogene family	NM_021033	Class II	Cluster 4
ANLN	Anillin, actin binding protein (scraps homolog, Drosophila)	AK001472	Class II	Cluster 4
KCTD3	Potassium channel tetramerisation domain containing 3	NM_016121	Class II	Cluster 4
MSI2	Musashi homolog 2 (Drosophila)	NM_138962	Class II	Cluster 4
ZFX	Zinc finger protein, X-linked	NM_003410	Class II	Cluster 4
B4GALT4	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4	NM_003778	Class II	Cluster 4
RNF146	Ring finger protein 146	NM_030963	Class II	Cluster 4
FALZ	Fetal Alzheimer antigen	NM_182641	Class II	Cluster 4
MACF1	Microtubule-actin crosslinking factor 1	NM_033044	Class II	Cluster 4
C18orf9	Chromosome 18 open reading frame 9	NM_024899	Class II	Cluster 4
RAP2A	RAP2A, member of RAS oncogene family	NM_021033	Class II	Cluster 4
HSPC159	HSPC159 protein	BC036082	Class II	Cluster 4
FALZ	Fetal Alzheimer antigen	NM_182641	Class II	Cluster 4
DAF	Decay accelerating factor for complement (CD55, Cromer blood group system)	NM_000574	Class II	Cluster 4
AFTIPHILIN	Aftiphilin protein	NM_017657	Class II	Cluster 4
GTF2A1	General transcription factor IIA, 1, 19/37kDa	AK021641	Class II	Cluster 4
ANLN	Anillin, actin binding protein (scraps homolog, Drosophila)	AK001472	Class II	Cluster 4
ASCC3	DJ467N11.1  protein	NM_006828	Class II	Cluster 4
KIAA1102	KIAA1102 protein	AK021927	Class II	Cluster 4
RAD17	RAD17 homolog (S. pombe)	NM_133340	Class II	Cluster 4
MNAB	Membrane associated DNA binding protein	AL833455	Class II	Cluster 4
MLF1	Myeloid leukemia factor 1	BX647666	Class II	Cluster 4
TRUB1	TruB pseudouridine (psi) synthase homolog 1 (E. coli)	NM_139169	Class II	Cluster 4
THAP10	THAP domain containing 10	NM_020147	Class II	Cluster 4
EPS8	Epidermal growth factor receptor pathway substrate 8	NM_004447	Class II	Cluster 4
VPS13D	Vacuolar protein sorting 13D (yeast)	ak001481	Class II	Cluster 4
HCAP-G	Chromosome condensation protein G	ak027511	Class II	Cluster 4
RAD17	RAD17 homolog (S. pombe)	NM_133340	Class II	Cluster 4
LOC152485	Hypothetical protein LOC152485	NM_178835	Class II	Cluster 4
MNAB	Membrane associated DNA binding protein	AL833455	Class II	Cluster 4
SEMA6A	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	ak027867	Class II	Cluster 4
MTUS1	Mitochondrial tumor suppressor 1	AB033114	Class II	Cluster 4
KIAA1423	KIAA1423	XM_376550	Class II	Cluster 4
RNF146	Ring finger protein 146	NM_030963	Class II	Cluster 4
MACF1	Microtubule-actin crosslinking factor 1	NM_033044	Class II	Cluster 4
RAB11FIP1	RAB11 family interacting protein 1 (class I)	ak026275	Class II	Cluster 4
C10orf22	Chromosome 10 open reading frame 22	NM_032804	Class II	Cluster 4
GLS	Glutaminase	af158555	Class II	Cluster 4
RAD17	RAD17 homolog (S. pombe)	NM_133340	Class II	Cluster 4
Ells1	Hypothetical protein Ells1	NM_152793	Class II	Cluster 4
MACF1	Microtubule-actin crosslinking factor 1	NM_033044	Class II	Cluster 4
ZFP62	Zinc finger protein 62 homolog (mouse)	NM_152283	Class II	Cluster 4
NT5C3	5-nucleotidase, cytosolic III	BC066914	Class II	Cluster 4
SLC39A9	Solute carrier family 39 (zinc transporter), member 9	NM_018375	Class II	Cluster 4
DCC1	Defective in sister chromatid cohesion homolog 1 (S. cerevisiae)	NM_024094	Class II	Cluster 4
OSBPL11	Oxysterol binding protein-like 11	ak023226	Class II	Cluster 4
ZNRF3	Zinc and ring finger 3	ak022809	Class II	Cluster 4
HCAP-G	Chromosome condensation protein G	ak027511	Class II	Cluster 4
RHOT1	Ras homolog gene family, member T1	AJ496730	Class II	Cluster 4
SEL1L	Sel-1 suppressor of lin-12-like (C. elegans)	NM_005065	Class II	Cluster 4
DLAT	Dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	NM_001931	Class II	Cluster 4
MACF1	Microtubule-actin crosslinking factor 1	NM_033044	Class II	Cluster 4
NKRF	NF-kappa B repressing factor	NM_017544	Class II	Cluster 4
C10orf137	Chromosome 10 open reading frame 137	NM_015608	Class II	Cluster 4
FLJ11506	Hypothetical protein FLJ11506	NM_024666	Class II	Cluster 4
CAST	Calpastatin	NM_173060	Class II	Cluster 4
NOTCH2	Notch homolog 2 (Drosophila)	NM_024408	Class II	Cluster 4
ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	AF111705	Class II	Cluster 4
SEMA6A	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	ak027867	Class II	Cluster 4
WDR3	WD repeat domain 3	NM_006784	Class II	Cluster 4
CAST	Calpastatin	NM_173060	Class II	Cluster 4
CHSY1	Carbohydrate (chondroitin) synthase 1	NM_014918	Class II	Cluster 4
ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	NM_170665	Class II	Cluster 4
NOTCH2	Notch homolog 2 (Drosophila)	NM_024408	Class II	Cluster 4
HNRPH3	Heterogeneous nuclear ribonucleoprotein H3 (2H9)	AF132362	Class II	Cluster 4
FLJ31951	Hypothetical protein FLJ31951	NM_144726	Class II	Cluster 4
NOTCH2	Notch homolog 2 (Drosophila)	NM_024408	Class II	Cluster 4
PRKAR2A	Protein kinase, cAMP-dependent, regulatory, type II, alpha	BC002763	Class II	Cluster 4
FLJ20273	RNA-binding protein	NM_019027	Class II	Cluster 4
HPS5	Hermansky-Pudlak syndrome 5	NM_181508	Class II	Cluster 4
UBE3C	Ubiquitin protein ligase E3C	NM_014671	Class II	Cluster 3
ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	NM_001682	Class II	Cluster 3
VEZATIN	Transmembrane protein vezatin	NM_017599	Class II	Cluster 3
USP37	Ubiquitin specific protease 37	NM_020935	Class II	Cluster 3
ZBTB26	Zinc finger and BTB domain containing 26	AB046792	Class II	Cluster 3
TULP4	Tubby like protein 4	NM_020245	Class II	Cluster 3
TRPS1	Trichorhinophalangeal syndrome I	NM_014112	Class II	Cluster 3
SCN3B	Sodium channel, voltage-gated, type III, beta	NM_018400	Class II	Cluster 3
ZAK	Sterile alpha motif and leucine zipper containing kinase AZK	NM_016653	Class II	Cluster 3
TBC1D1	TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1	AF147397	Class II	Cluster 3
SELI	Selenoprotein I	AK091340	Class II	Cluster 3
C14orf145	Chromosome 14 open reading frame 145	AK056756	Class II	Cluster 3
LOC158402	Hypothetical protein LOC158402	BC080633	Class II	Cluster 3
SOCS4	Suppressor of cytokine signaling 4	NM_199421	Class II	Cluster 3
ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	NM_001682	Class II	Cluster 3
NIN	Ninein (GSK3B interacting protein)	NM_182944	Class II	Cluster 3
USP31	Ubiquitin specific protease 31	NM_020718	Class II	Cluster 3
WDFY3	WD repeat and FYVE domain containing 3	NM_178585	Class II	Cluster 3
SUHW2	Suppressor of hairy wing homolog 2 (Drosophila)	NM_080764	Class II	Cluster 3
SUV420H1	Suppressor of variegation 4-20 homolog 1 (Drosophila)	NM_016028	Class II	Cluster 3
RASEF	RAS and EF hand domain containing	AK056882	Class II	Cluster 3
CHD6	Chromodomain helicase DNA binding protein 6	NM_032221	Class II	Cluster 3
OCLN	Occludin	NM_002538	Class II	Cluster 3
ENTPD4	Ectonucleoside triphosphate diphosphohydrolase 4	AB002390	Class II	Cluster 3
ZNF565	Zinc finger protein 565	NM_152477	Class II	Cluster 3
SELI	Selenoprotein I	AK091340	Class II	Cluster 3
ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	NM_001682	Class II	Cluster 3
SWAP70	SWAP-70 protein	NM_015055	Class II	Cluster 3
ANKRD32	Ankyrin repeat domain 32	NM_032290	Class II	Cluster 3
TRPS1	Trichorhinophalangeal syndrome I	NM_014112	Class II	Cluster 3
WDFY3	WD repeat and FYVE domain containing 3	NM_178585	Class II	Cluster 3
ZNF451	KIAA1702 protein	NM_015555	Class II	Cluster 3
SLC16A9	Solute carrier family 16 (monocarboxylic acid transporters), member 9	AK125791	Class II	Cluster 3
SCYE1	Small inducible cytokine subfamily E, member 1 (endothelial monocyte-activating)	BC014051	Class II	Cluster 3
RPS6KB1	Ribosomal protein S6 kinase, 70kDa, polypeptide 1	AK091503	Class II	Cluster 3
C14orf145	Chromosome 14 open reading frame 145	AK056756	Class II	Cluster 3
ZNF193	Zinc finger protein 193	NM_006299	Class II	Cluster 3
MGC13017	Similar to RIKEN cDNA A430101B06 gene	NM_080656	Class II	Cluster 3
AKAP11	A kinase (PRKA) anchor protein 11	NM_016248	Class II	Cluster 3
MERTK	C-mer proto-oncogene tyrosine kinase	NM_006343	Class II	Cluster 3
STCH	Stress 70 protein chaperone, microsome-associated, 60kDa	NM_006948	Class II	Cluster 3
STK3	Serine/threonine kinase 3 (STE20 homolog, yeast)	NM_006281	Class II	Cluster 3
VEZATIN	Transmembrane protein vezatin	NM_017599	Class II	Cluster 3
RPS6KB1	Ribosomal protein S6 kinase, 70kDa, polypeptide 1	AK091503	Class II	Cluster 3
PPP1CB	Protein phosphatase 1, catalytic subunit, beta isoform	NM_002709	Class II	Cluster 3
CUL5	Cullin 5	BC037203	Class II	Cluster 3
LSM11	LSM11, U7 small nuclear RNA associated	AK055297	Class II	Cluster 3
TRA1	Tumor rejection antigen (gp96) 1	BC009195	Class II	Cluster 3
BIRC4	Baculoviral IAP repeat-containing 4	NM_001167	Class II	Cluster 3
LSM11	LSM11, U7 small nuclear RNA associated	AK055297	Class II	Cluster 3
DOCK5	Dedicator of cytokinesis 5	AK129574	Class II	Cluster 3
PB1	Polybromo 1	AF225871	Class II	Cluster 3
INSR	Insulin receptor	AK025527	Class II	Cluster 3
TXNDC9	Thioredoxin domain containing 9	BC024223	Class II	Cluster 3
RAB28	RAB28, member RAS oncogene family	BX537681	Class II	Cluster 3
THRAP1	Thyroid hormone receptor associated protein 1	AB011165	Class II	Cluster 3
ZAK	Sterile alpha motif and leucine zipper containing kinase AZK	NM_016653	Class II	Cluster 3
ZNF638	Zinc finger protein 638	AK128706	Class II	Cluster 3
LRP6	Low density lipoprotein receptor-related protein 6	AK094666	Class II	Cluster 3
PB1	Polybromo 1	AF225871	Class II	Cluster 3
RBM25	RNA binding motif protein 25	AK125513	Class II	Cluster 3
FRAS1	Fraser syndrome 1	AK025684	Class II	Cluster 3
VEZATIN	Transmembrane protein vezatin	NM_017599	Class II	Cluster 3
USP37	Ubiquitin specific protease 37	NM_020935	Class II	Cluster 3
RNASEH1	Ribonuclease H1	AK027610	Class II	Cluster 3
ZNF638	Zinc finger protein 638	AK128706	Class II	Cluster 3
SEPP1	Selenoprotein P, plasma, 1	BC030009	Class II	Cluster 3
INSR	Insulin receptor	AK025527	Class II	Cluster 3
PTP4A1	Protein tyrosine phosphatase type IVA, member 1	NM_003463	Class II	Cluster 3
CD164	CD164 antigen, sialomucin	NM_006016	Class II	Cluster 3
SWAP70	SWAP-70 protein	NM_015055	Class II	Cluster 3
PELI1	Pellino homolog 1 (Drosophila)	NM_020651	Class II	Cluster 3
SUV420H1	Suppressor of variegation 4-20 homolog 1 (Drosophila)	NM_016028	Class II	Cluster 3
RBM25	RNA binding motif protein 25	AK125513	Class II	Cluster 3
HBS1L	HBS1-like (S. cerevisiae)	NM_006620	Class II	Cluster 3
BTAF1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)	NM_003972	Class II	Cluster 3
ARL10C	ADP-ribosylation factor-like 10C	NM_018184	Class II	Cluster 3
SLC2A3	Solute carrier family 2 (facilitated glucose transporter), member 3	NM_006931	Class II	Cluster 3
C3orf4	Chromosome 3 open reading frame 4	NM_019895	Class II	Cluster 3
PTCH	Patched homolog (Drosophila)	AK124593	Class II	Cluster 3
SCYE1	Small inducible cytokine subfamily E, member 1 (endothelial monocyte-activating)	BC014051	Class II	Cluster 3
COQ6	Coenzyme Q6 homolog (yeast)	AK025209	Class II	Cluster 3
RNF103	Ring finger protein 103	NM_005667	Class II	Cluster 3
PDHX	Pyruvate dehydrogenase complex, component X	NM_003477	Class II	Cluster 3
PTP4A1	Protein tyrosine phosphatase type IVA, member 1	NM_003463	Class II	Cluster 3
ENTPD4	Ectonucleoside triphosphate diphosphohydrolase 4	AB002390	Class II	Cluster 3
RBM25	RNA binding motif protein 25	AK125513	Class II	Cluster 3
SLC9A6	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 6	NM_006359	Class II	Cluster 3
POU4F1	POU domain, class 4, transcription factor 1	NM_006237	Class II	Cluster 3
FOXP1	Forkhead box P1	NM_032682	Class II	Cluster 3
CD164	CD164 antigen, sialomucin	NM_006016	Class II	Cluster 3
LOC203547	Hypothetical protein LOC203547	AK096835	Class II	Cluster 3
CNOT2	CCR4-NOT transcription complex, subunit 2	AL833404	Class II	Cluster 3
HIF1A	Hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	NM_181054	Class II	Cluster 3
HBS1L	HBS1-like (S. cerevisiae)	NM_006620	Class II	Cluster 3
POU4F1	POU domain, class 4, transcription factor 1	NM_006237	Class II	Cluster 3
TXNRD1	Thioredoxin reductase 1	NM_182743	Class II	Cluster 3
PTP4A1	Protein tyrosine phosphatase type IVA, member 1	NM_003463	Class II	Cluster 3
FOXP1	Forkhead box P1	NM_032682	Class II	Cluster 3
SLC2A3	Solute carrier family 2 (facilitated glucose transporter), member 3	NM_006931	Class II	Cluster 3
MIS12	MIS12 homolog (yeast)	NM_024039	Class II	Cluster 3
LSM11	LSM11, U7 small nuclear RNA associated	AK055297	Class II	Cluster 3
TRA1	Tumor rejection antigen (gp96) 1	BC009195	Class II	Cluster 3
VBP1	Von Hippel-Lindau binding protein 1	NM_003372	Class II	Cluster 3
CAPZA1	Capping protein (actin filament) muscle Z-line, alpha 1	NM_006135	Class II	Cluster 3
PTP4A1	Protein tyrosine phosphatase type IVA, member 1	NM_003463	Class II	Cluster 3
ARL10C	ADP-ribosylation factor-like 10C	NM_018184	Class II	Cluster 3
CD164	CD164 antigen, sialomucin	NM_006016	Class II	Cluster 3
TMEM32	Transmembrane protein 32	NM_173470	Class II	Cluster 3
CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	NM_004380	Class II	Cluster 3
TRA1	Tumor rejection antigen (gp96) 1	BC009195	Class II	Cluster 3
ELAVL1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	NM_001419	Class II	Cluster 2
ASPH	Aspartate beta-hydroxylase	NM_032468	Class II	Cluster 2
