U133A probe set	Gene	MLL-rearranged	MLL-wild type	Fold	t statistic	P	q
216214_at	---	13.7	29.5	-2.1	-3.4	0.0022	0.0483
217909_s_at	TCFL4	921.4	756.7	1.2	3.4	0.0022	0.0483
202501_at	MAPRE2	1078.5	1464.5	-1.4	-3.5	0.0023	0.0483
204537_s_at	GABRE	62.9	459.6	-7.3	-3.6	0.0023	0.0483
206772_at	PTHR2	120.4	300.6	-2.5	-3.7	0.0023	0.0483
209396_s_at	CHI3L1	68.2	230.9	-3.4	-3.5	0.0023	0.0484
213947_s_at	NUP210	1765.4	1416.1	1.2	3.3	0.0023	0.0484
44702_at	7h3	287	388.6	-1.4	-3.5	0.0023	0.0485
210958_s_at	KIAA0303	274	560.8	-2	-3.6	0.0023	0.0486
201147_s_at	TIMP3	16	59.2	-3.7	-3.3	0.0023	0.0487
201596_x_at	KRT18	221.6	634.9	-2.9	-3.5	0.0023	0.0487
206293_at	SULT2A1	72.8	63.4	1.1	3.2	0.0023	0.0487
209628_at	NXT2	1550.9	790.2	2	3.6	0.0023	0.0487
217886_at	EPS15	578.5	797.5	-1.4	-3.5	0.0023	0.0487
204808_s_at	TMEM5	568.7	829.1	-1.5	-3.6	0.0023	0.0487
216417_x_at	HOXB9	168.4	149.5	1.1	3.2	0.0023	0.0489
202401_s_at	SRF	391.9	332.2	1.2	3.3	0.0023	0.0492
210977_s_at	HSF4	31.7	59.6	-1.9	-3.4	0.0023	0.0492
216012_at	---	1123.8	547.8	2.1	3.6	0.0023	0.0492
201432_at	CAT	17928.5	11816.3	1.5	3.4	0.0024	0.0495
63825_at	ABHD2	766.9	600.9	1.3	3.2	0.0024	0.0499
201883_s_at	B4GALT1	1060.9	761	1.4	3.5	0.0024	0.0499
204315_s_at	GTSE1	228.5	172.6	1.3	3.3	0.0024	0.0499
214297_at	---	218.4	39	5.6	3.6	0.0024	0.0499
