Probe Set	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	L1.24h._Signal	L3.24h_Signal	L4.24h_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
206727_at	C9	0.049103	complement component 9	complement activation, alternative pathway		membrane attack complex	Complement_Activation_Classical	GENMAPP/KEGG	1.39	-0.33	1.22	-0.59	-1.16	-0.77
206787_at	BRDT	0.007108	bromodomain, testis-specific		transcription coactivator activity	nucleus			1.75	0.81	0.45	-1.23	-0.8	-1.19
206810_at	ZNF44	0.000462	zinc finger protein 44 (KOX 7)	regulation of transcription, DNA-dependent	nucleic acid binding	intracellular			0.64	1.01	0.73	-0.66	-0.99	-0.73
206822_s_at	L3MBTL	0.000105	l(3)mbt-like (Drosophila)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.32	0.88	1.12	-0.99	-1.12	-1.23
206828_at	TXK	0.04177	TXK tyrosine kinase	protein amino acid phosphorylation	non-membrane spanning protein tyrosine kinase activity	cytoplasm			0.81	-0.18	1.05	-0.44	-0.79	-0.55
206860_s_at	FLJ20323	0.016	hypothetical protein FLJ20323						0.55	0.53	0.05	-0.33	-0.24	-0.57
206906_at	ICAM5	0.049697	intercellular adhesion molecule 5, telencephalin	cell-cell adhesion	protein binding	membrane			0.3	0.04	1.69	-0.61	-0.72	-1.03
206926_s_at	IL11	0.017009	interleukin 11	cell-cell signaling	cytokine activity	extracellular			1.11	0.42	1.27	-1.1	-1.45	-0.16
206951_at	HIST1H4E	0.029265	histone 1, H4e		histone;DNA binding;2.5e-10				0.3	0.47	0.69	-0.97	-0.33	-0.1
206953_s_at	LPHN2	0.001278	latrophilin 2	heterophilic cell adhesion	receptor activity	integral to membrane			0.83	0.56	1.33	-0.84	-0.97	-0.97
206977_at	PTH	0.030208	parathyroid hormone	skeletal development	hormone activity	extracellular			0.47	0.9	0.07	-0.3	-0.82	-0.34
207019_s_at	AKAP4	0.037087	A kinase (PRKA) anchor protein 4	cell motility	protein kinase A binding	cytoskeleton			0.12	0.35	1.92	-1.09	-0.9	-0.9
207045_at	FLJ20097	0.005257	hypothetical protein FLJ20097						1.21	0.28	1.3	-0.77	-1.13	-1.01
207066_at	HRC	0.003553	histidine rich calcium binding protein						0.41	1.03	1.47	-0.83	-1.18	-1.01
207074_s_at	SLC18A1	0.003704	solute carrier family 18 (vesicular monoamine), member 1	monoamine transport	monoamine transporter activity	membrane fraction			0.59	0.75	0.66	-1.04	-0.31	-0.6
207151_at	ADCYAP1R1	0.022229	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	G-protein coupled receptor protein signaling pathway	receptor activity	integral to plasma membrane	GPCRs_Class_B_Secretin-like	GENMAPP/KEGG	0.48	0.41	0.86	-0.35	-0.21	-1.12
207160_at	IL12A	0.003847	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)	immune response	interleukin-12 receptor binding	extracellular			0.84	0.52	1.53	-1.19	-1.05	-0.75
207195_at	CNTN6	0.020025	contactin 6	cell adhesion					2.14	0.95	0.05	-1.38	-1.23	-1.09
207197_at	ZIC3	0.026211	Zic family member 3 heterotaxy 1 (odd-paired homolog, Drosophila)	regulation of transcription, DNA-dependent	DNA binding	nucleus			1.6	0	0.73	-0.67	-1.04	-0.86
207232_s_at	DZIP3	0.023063	zinc finger DAZ interacting protein 3						0.53	0.02	1.12	-0.67	-0.54	-0.56
207284_s_at	ASPH	0.020766	aspartate beta-hydroxylase	peptidyl-amino acid modification	peptide-aspartate beta-dioxygenase activity	integral to endoplasmic reticulum membrane			1.29	0.26	0.36	-0.93	-0.5	-0.59
207294_at	AGTR2	0.022641	angiotensin II receptor, type 2	apoptosis	rhodopsin-like receptor activity	integral to plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	0.69	0.01	0.45	-0.55	-0.31	-0.31
207301_at	EFNA5	0.011422	ephrin-A5	cell-cell signaling	ephrin receptor binding	extracellular space			0.38	1.18	0.94	-1.23	-0.26	-0.99
207327_at	EYA4	0.032716	eyes absent homolog 4 (Drosophila)	regulation of transcription, DNA-dependent	magnesium ion binding	nucleus			1.29	0.51	0.41	-0.34	-1.43	-0.37
207347_at	ERCC6	0.011743	excision repair cross-complementing rodent repair deficiency, complementation group 6	DNA repair	DNA binding	nucleus			1.33	0.14	0.8	-0.79	-0.65	-0.96
207400_at	NPY5R	0.012868	neuropeptide Y receptor Y5	G-protein coupled receptor protein signaling pathway	rhodopsin-like receptor activity	integral to plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	1.29	0.34	1.17	-0.38	-0.93	-1.47
207429_at	SLC22A2	0.004845	solute carrier family 22 (organic cation transporter), member 2	ion transport	ion transporter activity	membrane fraction			0.82	0.79	0.63	-0.73	-0.29	-1.17
207523_at	C6orf10	0.016245	chromosome 6 open reading frame 10						1.63	0.16	1.17	-0.51	-1.31	-1.29
207571_x_at	C1orf38	0.049432	chromosome 1 open reading frame 38	cell adhesion					0.33	1.26	0.07	-0.27	-0.56	-0.93
207599_at	MMP20	0.006417	matrix metalloproteinase 20 (enamelysin)	proteolysis and peptidolysis	metalloendopeptidase activity	extracellular matrix	Matrix_Metalloproteinases	GENMAPP/KEGG	0.55	1.43	0.47	-0.67	-0.92	-0.97
207626_s_at	SLC7A2	0.006387	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	amino acid metabolism	basic amino acid transporter activity	membrane fraction			1.71	0.49	0.7	-1.16	-0.88	-1.08
207728_at	ATF7IP	0.023743	activating transcription factor 7 interacting protein	DNA methylation	protein binding	nucleus			1.39	-0.16	1.67	-1.05	-0.94	-1.26
207729_at	CDH9	0.0056	cadherin 9, type 2 (T1-cadherin)	homophilic cell adhesion	calcium ion binding	integral to membrane			0.45	0.34	1.05	-0.73	-0.64	-0.52
207757_at	FLJ21628	0.019277	hypothetical protein FLJ21628		nucleic acid binding	nucleus			0.69	0.62	0.22	-0.47	-0.91	-0.13
207768_at	EGR4	0.006508	early growth response 4	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.53	0.39	1.21	-0.86	-0.5	-0.83
207781_s_at	ZNF6	0.041813	zinc finger protein 6 (CMPX1)						1.19	-0.14	1.39	-1.23	-0.27	-1.06
207915_at	MYCL2	0.027288	v-myc myelocytomatosis viral oncogene homolog 2 (avian)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.64	-0.08	0.91	-1.13	-0.93	-0.69
207958_at	UGT2A1	0.046497	UDP glycosyltransferase 2 family, polypeptide A1	perception of smell	glucuronosyltransferase activity	microsome			0.76	-0.16	0.73	-0.53	-0.28	-0.56
207981_s_at	ESRRG	0.00246	estrogen-related receptor gamma	development	transcription factor activity	nucleus			1.18	0.95	0.4	-0.92	-0.99	-0.66
208007_at	---	0.013849							0.45	1.29	0.75	-0.23	-1.27	-0.96
208107_s_at	LOC81691	0.024939	exonuclease NEF-sp		exonuclease activity	intracellular			0.42	0.64	1.04	-0.06	-0.7	-1.27
208130_s_at	TBXAS1	0.035509	thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A)	electron transport	monooxygenase activity		Prostaglandin and leukotriene metabolism	GENMAPP/KEGG	0.7	0.12	0.76	-0.96	-0.04	-0.55
208145_at	FLJ20802	0.02158	hypothetical protein FLJ20802						0.07	0.95	1.03	-0.98	-0.26	-0.85
208175_s_at	DMP1	0.003585	dentin matrix acidic phosphoprotein	ossification	integrin binding	extracellular matrix			0.9	0.26	1.03	-0.77	-0.68	-0.8
208187_s_at	---	0.027424							1.56	0.57	0.37	-1.11	-0.19	-1.28
208190_s_at	LISCH7	0.043661	liver-specific bHLH-Zip transcription factor						0.88	1	-0.17	-0.42	-0.49	-0.88
208198_x_at	KIR3DL2	0.026447	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2	cellular defense response	receptor activity	integral to plasma membrane			1.82	0.27	0.87	-1.32	-1.48	-0.28
208269_s_at	ADAM28	0.038426	a disintegrin and metalloproteinase domain 28	proteolysis and peptidolysis	metalloendopeptidase activity	integral to membrane			2.08	0	0.52	-1.2	-1.16	-0.83
208321_s_at	CABP1	0.04324	calcium binding protein 1 (calbrain)		calcium ion binding				0.47	-0.06	1.5	-0.87	-0.68	-0.59
208327_at	CYP2A7	0.007263	cytochrome P450, family 2, subfamily A, polypeptide 7	electron transport	monooxygenase activity	endoplasmic reticulum	Fatty acid metabolism	GENMAPP/KEGG	0.52	0.58	0.45	-0.13	-0.59	-0.8
208332_at	PRY	0.023128	PTPN13-like, Y-linked						0.24	0.17	0.42	-0.01	-0.34	-0.46
208358_s_at	UGT8	0.003815	UDP glycosyltransferase 8 (UDP-galactose ceramide galactosyltransferase)	glycosphingolipid biosynthesis	2-hydroxyacylsphingosine 1-beta-galactosyltransferase activity	microsome			0.5	0.69	1.43	-1.06	-0.82	-0.85
208387_s_at	MMP24	0.01513	matrix metalloproteinase 24 (membrane-inserted)	proteolysis and peptidolysis	metalloendopeptidase activity	extracellular matrix	Matrix_Metalloproteinases	GENMAPP/KEGG	1.15	0.56	0.47	-1.2	-0.73	-0.22
208390_s_at	GLP1R	0.016897	glucagon-like peptide 1 receptor	energy pathways	G-protein coupled receptor activity	plasma membrane	GPCRs_Class_B_Secretin-like	GENMAPP/KEGG	0.63	0.61	0.7	-0.24	-1.24	-0.34
208482_at	SSTR1	0.017017	somatostatin receptor 1	G-protein signaling, coupled to cyclic nucleotide second messenger	rhodopsin-like receptor activity	integral to plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	1.89	0.01	1.17	-1.2	-1.27	-0.99
208575_at	HIST1H3H	0.040447	histone 1, H3h	nucleosome assembly	DNA binding	nucleosome			0.14	1.98	0.27	-1	-0.9	-1.05
208823_s_at	PCTK1	0.01618	PCTAIRE protein kinase 1	regulation of cell cycle	protein serine/threonine kinase activity		Phosphatidylinositol signaling system	GENMAPP/KEGG	0.87	0.45	0.25	-0.87	-0.21	-0.51
209070_s_at	RGS5	0.038049	regulator of G-protein signalling 5	signal transduction	signal transducer activity				0.96	-0.24	1.72	-0.84	-0.89	-1.07
209148_at	RXRB	0.041289	retinoid X receptor, beta	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	Nuclear_Receptors	GENMAPP/KEGG	0.5	-0.09	0.5	-0.34	-0.19	-0.38
209192_x_at	HTATIP	0.047221	HIV-1 Tat interacting protein, 60kDa	regulation of transcription, DNA-dependent	transcription coactivator activity	nucleus			1.06	-0.11	0.92	-0.15	-0.79	-0.98
209230_s_at	P8	0.040034	p8 protein (candidate of metastasis 1)	induction of apoptosis		nucleus			1.38	0.04	1.41	-1.18	-0.09	-1.56
209235_at	CLCN7	0.032997	chloride channel 7	ion transport	voltage-gated chloride channel activity	membrane fraction			0.91	0.42	0.09	-0.52	-0.15	-0.78
209241_x_at	MINK	0.012564	misshapen/NIK-related kinase	protein amino acid phosphorylation	protein serine/threonine kinase activity				1.31	0.78	0.12	-0.91	-0.71	-0.72
209273_s_at	HBLD2	0.041976	HESB like domain containing 2						0.49	0.41	0.53	-0.24	-1.06	-0.04
209298_s_at	ITSN1	0.026208	intersectin 1 (SH3 domain protein)	endocytosis	guanyl-nucleotide exchange factor activity				1.14	0.63	0.5	-1.11	-1.1	0.04
209419_at	C22orf19	0.036846	chromosome 22 open reading frame 19						-0.04	0.54	1.16	-0.51	-0.84	-0.41
209480_at	HLA-DQB1	0.040367	major histocompatibility complex, class II, DQ beta 1	immune response	MHC class II receptor activity	integral to membrane			1.24	-0.29	1.71	-0.7	-0.99	-1.31
209517_s_at	ASH2L	0.031832	ash2 (absent, small, or homeotic)-like (Drosophila)	regulation of transcription, DNA-dependent	DNA binding	nucleus			0.4	0.34	1.61	-1.13	-1.11	-0.27
209601_at	ACOX1	0.027162	acyl-Coenzyme A oxidase 1, palmitoyl	energy pathways	acyl-CoA oxidase activity	peroxisome	Fatty acid metabolism	GENMAPP/KEGG	1.25	0.97	-0.11	-0.94	-0.72	-0.59
209621_s_at	PDLIM3	0.026532	PDZ and LIM domain 3	PDZ;intracellular signaling cascade;1.6e-20	protein binding				1.8	0.3	0.82	-1.33	-1.46	-0.26
209722_s_at	SERPINB9	0.043201	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 9		serine-type endopeptidase inhibitor activity	cytosol			0.75	0.41	0.92	-1.33	-0.74	0.15
209734_at	HEM1	0.036543	hematopoietic protein 1			membrane fraction			0.12	1.22	0.35	-0.88	-0.29	-0.61
209789_at	CORO2B	0.00029	coronin, actin binding protein, 2B	actin cytoskeleton organization and biogenesis	actin binding	actin cytoskeleton			0.83	0.93	1.27	-1.23	-0.89	-0.92
209847_at	CDH17	0.01917	cadherin 17, LI cadherin (liver-intestine)	transport	transporter activity	membrane fraction			0.56	0.23	1.02	-0.2	-0.67	-0.95
209859_at	TRIM9	0.015557	tripartite motif-containing 9		zinc ion binding	intracellular			2.19	0.06	1.18	-1.37	-1.35	-1.29
209878_s_at	RELA	0.016582	v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	Apoptosis	GENMAPP/KEGG	0.24	0.31	1.14	-0.55	-0.57	-0.66
209907_s_at	ITSN2	0.023263	intersectin 2		efhand;calcium ion binding;0.00048				0.25	0.9	0.4	-0.93	-0.33	-0.28
210033_s_at	SPAG6	0.007303	sperm associated antigen 6	spermatid development		axoneme			0.64	0.35	1.14	-0.93	-0.4	-0.84
210091_s_at	DTNA	0.013355	dystrobrevin, alpha	striated muscle contraction	protein binding	synapse			0.54	1.46	0.48	-1.11	-1.07	-0.37
210109_at	NSG-X	0.044653	brain and nasopharyngeal carcinoma susceptibility protein						0	0.58	0.42	-0.55	-0.04	-0.41
210117_at	SPAG1	0.035615	sperm associated antigen 1						1.2	0.52	0.01	-0.34	-0.89	-0.6
210124_x_at	SEMA4F	0.021824	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F	cell-cell signaling	receptor activity	membrane fraction			1.14	0.09	0.9	-0.34	-1.13	-0.7
210163_at	CXCL11	0.039186	chemokine (C-X-C motif) ligand 11	chemotaxis	chemokine activity	extracellular			0.15	0.3	1.52	-0.66	-0.52	-1
210179_at	KCNJ13	0.037337	potassium inwardly-rectifying channel, subfamily J, member 13	ion transport	inward rectifier potassium channel activity	voltage-gated potassium channel complex			1.04	-0.29	2.26	-1.33	-1.19	-1.26
210258_at	RGS13	0.04097	regulator of G-protein signalling 13	signal transduction	signal transducer activity				0.9	-0.08	1.51	-0.47	-1.36	-0.63
210289_at	NAT8	0.002715	N-acetyltransferase 8 (camello like)	response to drug	N-acetyltransferase activity				0.95	0.93	0.79	-0.34	-1.14	-1.11
210326_at	AGXT	0.014662	alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase)	metabolism	serine-pyruvate transaminase activity	mitochondrion	Alanine and aspartate metabolism	GENMAPP/KEGG	0.58	0.32	1.7	-1.16	-0.74	-0.94
210341_at	MYT1	0.032655	myelin transcription factor 1	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.41	0.32	0.15	-0.87	-0.7	-0.48
210353_s_at	SLC6A2	0.049508	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2	neurotransmitter transport	neurotransmitter:sodium symporter activity	membrane fraction			1.3	0.53	-0.07	-0.31	-0.65	-0.92
210401_at	P2RX1	0.049619	purinergic receptor P2X, ligand-gated ion channel, 1	ion transport	receptor activity	integral to plasma membrane			0.19	1.1	1.02	-0.87	0.12	-1.42
210408_s_at	CPNE6	0.000179	copine VI (neuronal)	lipid metabolism	transporter activity				0.6	0.89	0.71	-0.69	-0.64	-0.87
210414_at	FLRT1	0.024008	fibronectin leucine rich transmembrane protein 1	cell adhesion	receptor signaling protein activity	extracellular matrix			1.67	0.01	1.32	-1.62	-0.66	-0.9
210420_at	SLC24A1	0.045256	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1	transport	calcium, potassium:sodium antiporter activity	integral to membrane			0.6	-0.04	0.9	-0.41	-0.87	-0.2
210551_s_at	ASMT	0.039184	acetylserotonin O-methyltransferase	protein biosynthesis	neuropeptide hormone activity		Tryptophan metabolism	GENMAPP/KEGG	-0.2	0.96	1.34	-0.49	-0.86	-0.92
210637_at	TACR1	0.018188	tachykinin receptor 1	inflammatory response	rhodopsin-like receptor activity	integral to plasma membrane	Peptide_GPCRs	GENMAPP/KEGG	1.23	0.2	0.98	-1.28	-0.81	-0.32
210763_x_at	NCR3	0.036227	natural cytotoxicity triggering receptor 3	inflammatory response					0.83	0.41	0.62	-0.6	-1.22	0.06
210769_at	CNGB1	0.041018	cyclic nucleotide gated channel beta 1	ion transport	ion channel activity	intracellular cyclic nucleotide activated cation channel complex			1.62	0.57	-0.07	-0.81	-0.57	-1.01
210816_s_at	CYB561	0.048064	cytochrome b-561	energy pathways	cytochrome-b5 reductase activity	integral to plasma membrane			1.01	-0.04	0.45	-0.18	-0.63	-0.67
210873_x_at	APOBEC3A	0.013301	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A		zinc ion binding				0.98	0.78	0.34	-0.56	-0.3	-1.2
210884_s_at	SPAG11	0.011026	sperm associated antigen 11	spermatogenesis		extracellular space			1.55	0.6	0.84	-0.31	-1.27	-1.38
210909_x_at	LPAL2	0.009601	lipoprotein, Lp(a)-like 2						1.31	1.19	0.16	-0.74	-1.18	-0.87
210960_at	ADRA1D	0.046364	adrenergic, alpha-1D-, receptor	DNA metabolism	rhodopsin-like receptor activity	integral to plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	0.25	0.46	0.96	-0.88	0.1	-0.86
211054_at	INVS	0.004965	inversin						1.57	0.33	1.03	-0.97	-1.09	-1.04
211106_at	SUPT3H	0.010768	suppressor of Ty 3 homolog (S. cerevisiae)	regulation of cell cycle	RNA polymerase II transcription factor activity	nucleus			1.9	0.28	1.19	-0.77	-1.41	-1.45
211108_s_at	JAK3	0.033136	Janus kinase 3 (a protein tyrosine kinase, leukocyte)	SH2;intracellular signaling cascade;0.002					1	0.24	0.29	-0.92	-0.21	-0.42
211340_s_at	MCAM	0.020713	melanoma cell adhesion molecule	cell adhesion	protein binding	integral to plasma membrane			2.15	0.25	0.6	-1.26	-1	-1.31
211343_s_at	COL13A1	0.015983	collagen, type XIII, alpha 1		extracellular matrix structural constituent	collagen type XIII			1.34	0.05	1.34	-0.6	-1.09	-1.21
211467_s_at	NFIB	0.015667	nuclear factor I/B	DNA replication	transcription factor activity	nucleus			1.03	0.11	1.68	-1.19	-0.68	-1.18
211481_at	SLCO1A2	0.002354	solute carrier organic anion transporter family, member 1A2	transport	transporter activity	integral to membrane			1.4	1.63	0.49	-1.23	-1.15	-1.32
211484_s_at	DSCAM	0.018239	Down syndrome cell adhesion molecule	cell adhesion	protein binding	membrane fraction			1.48	0.07	1.5	-1.34	-1.33	-0.54
211691_x_at	---	0.022649	Ornithine decarboxylase antizyme 4 mRNA, complete cds						1.61	0.21	0.89	-1.01	-0.36	-1.43
211779_x_at	AP2A2	0.04126	adaptor-related protein complex 2, alpha 2 subunit	intracellular protein transport	structural molecule activity	Golgi apparatus			0.51	-0.02	0.27	-0.16	-0.41	-0.2
211815_s_at	GGA3	0.037255	golgi associated, gamma adaptin ear containing, ARF binding protein 3	intracellular protein transport	protein transporter activity	Golgi stack			1.39	0.07	0.37	-0.62	-0.5	-0.88
211884_s_at	MHC2TA	0.04207	MHC class II transactivator						1.76	-0.17	1.06	-1.51	-0.68	-0.7
211958_at	IGFBP5	0.049637	insulin-like growth factor binding protein 5	regulation of cell growth	insulin-like growth factor binding	extracellular			0.6	0.6	0.62	-0.2	-0.07	-1.36
212029_s_at	PTOV1	0.019133	prostate tumor overexpressed gene 1						0.74	0.56	0.13	-0.81	-0.38	-0.24
212050_at	WIRE	0.01588	WIRE protein						0.3	0.55	0.12	-0.26	-0.52	-0.19
212059_s_at	TRPC4AP	0.026476	transient receptor potential cation channel, subfamily C, member 4 associated protein	protein complex assembly	ATP binding	endoplasmic reticulum lumen			0.08	0.76	0.37	-0.66	-0.36	-0.21
212194_s_at	TM9SF4	0.044093	transmembrane 9 superfamily protein member 4	transport	transporter activity	integral to membrane			0.42	0.25	0.68	-0.16	-0.15	-0.98
212239_at	PIK3R1	0.035459	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	intracellular signaling cascade	phosphatidylinositol binding	phosphoinositide 3-kinase complex			1.04	-0.15	1.04	-0.75	-0.39	-0.89
212275_s_at	SRCAP	0.039557	Snf2-related CBP activator protein	regulation of transcription, DNA-dependent	DNA binding	nucleus			0.93	-0.15	0.66	-0.49	-0.43	-0.58
212318_at	TNPO3	0.033079	transportin 3		receptor activity				1.19	0.22	0.17	-0.45	-0.72	-0.52
212319_at	RUTBC1	0.025358	RUN and TBC1 domain containing 1						1.73	0.26	0.36	-0.98	-0.74	-0.94
212337_at	TI-227H	0.049354	hypothetical protein TI-227H						0.63	0.28	0.31	-0.89	0.02	-0.31
212464_s_at	FN1	0.047	fibronectin 1	acute-phase response	extracellular matrix structural constituent	extracellular	Inflammatory_Response_Pathway	GENMAPP/KEGG	1.31	0.44	-0.01	-0.33	-0.61	-0.93
212465_at	FLJ23027	0.029927	hypothetical protein FLJ23027						0.54	-0.02	0.3	-0.24	-0.24	-0.35
212487_at	KIAA0553	0.048744	KIAA0553 protein						0.07	0.6	0.43	-0.63	-0.52	0.05
212493_s_at	HYPB	0.035083	huntingtin interacting protein B						1.3	0.96	-0.1	-0.71	-1.15	-0.42
212496_s_at	JMJD2B	0.037533	jumonji domain containing 2B						0.23	0.36	0.04	-0.38	-0.04	-0.21
212509_s_at	FLJ46603	0.033311	FLJ46603 protein						0.15	1.33	0.63	-0.31	-0.58	-1.26
212518_at	PIP5K1C	0.039174	phosphatidylinositol-4-phosphate 5-kinase, type I, gamma		1-phosphatidylinositol-4-phosphate 5-kinase activity				0.42	0.64	0.1	-0.02	-0.41	-0.73
212568_s_at	DLAT	0.031978	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	acetyl-CoA biosynthesis	dihydrolipoyllysine-residue acetyltransferase activity	mitochondrion	Glycolysis / Gluconeogenesis	GENMAPP/KEGG	0.83	0.01	1.01	-0.16	-0.84	-0.89
212669_at	CAMK2G	0.025658	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	protein amino acid phosphorylation	protein serine/threonine kinase activity				0.41	0.28	0.02	-0.38	-0.22	-0.11
212683_at	KIAA0446	0.023426	KIAA0446 gene product	transport	transporter activity	mitochondrial inner membrane			1.21	0.24	0.24	-0.66	-0.55	-0.59
212850_s_at	LRP4	0.004539	low density lipoprotein receptor-related protein 4	endocytosis	receptor activity	integral to membrane			1.58	0.41	0.93	-1.13	-1.06	-0.88
212882_at	KIAA0795	0.033755	KIAA0795 protein		protein binding				0.82	0.01	0.31	-0.36	-0.48	-0.33
212906_at	KIAA1201	0.035432	KIAA1201 protein						0.54	-0.05	1.04	-0.64	-0.31	-0.65
212909_at	MGC29643	0.012541	hypothetical protein MGC29643						1.12	0.08	1.56	-1.1	-1.01	-0.88
212962_at	7h3	0.005022	hypothetical protein FLJ13511						0.65	0.65	0.2	-0.49	-0.33	-0.68
213130_at	ZNF473	0.013373	zinc finger protein 473	regulation of transcription, DNA-dependent	nucleic acid binding	nucleus			0.36	0.67	1.85	-1.32	-0.8	-1.07
213146_at	JMJD3	0.03885	jumonji domain containing 3						1.7	0.16	0.36	-0.46	-0.93	-1.11
213177_at	MAPK8IP3	0.017285	mitogen-activated protein kinase 8 interacting protein 3	vesicle-mediated transport	MAP-kinase scaffold activity	cytoplasm			0.57	0.37	2.1	-0.94	-1.31	-1.28
213195_at	LOC201229	0.009014	hypothetical protein LOC201229						0.6	0.28	1.33	-0.68	-0.73	-0.92
213252_at	NEURL	0.042818	neuralized-like (Drosophila)	neurogenesis					0.94	0.13	0.45	-0.88	-0.03	-0.62
213335_s_at	SIAT10	3.50E-05	sialyltransferase 10 (alpha-2,3-sialyltransferase VI)	amino sugar metabolism	sialyltransferase activity	Golgi apparatus			0.95	1.08	0.91	-1.12	-0.84	-0.97
213420_at	DHX57	0.004653	DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57		nucleic acid binding				0.81	1.07	0.98	-0.29	-1.34	-1.11
213447_at	IPW	0.02709	imprinted in Prader-Willi syndrome						0.74	0.13	0.28	-0.25	-0.65	-0.26
213448_at	MTX1	0.000226	metaxin 1						0.97	0.69	1.16	-1.05	-0.96	-0.84
213456_at	SOSTDC1	0.027414	sclerostin domain containing 1						0.53	0.6	0.01	-0.62	-0.22	-0.3
213512_at	C14orf79	0.025486	chromosome 14 open reading frame 79						-0.02	0.8	1.9	-0.99	-1.01	-1.12
213545_x_at	SNX3	0.022969	sorting nexin 3	intracellular protein transport	protein transporter activity				0.96	0.43	0.67	-1.08	0.02	-0.92
213625_at	ZNF307	0.019003	zinc finger protein 307	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.7	0.61	0.13	-0.27	-0.83	-0.33
213635_s_at	SAFB	0.013007	scaffold attachment factor B	establishment and/or maintenance of chromatin architecture	double-stranded DNA binding	nucleus			0.62	0.28	1.14	-0.37	-0.63	-1.06
213652_at	PCSK5	0.024508	proprotein convertase subtilisin/kexin type 5	proteolysis and peptidolysis	subtilase activity	extracellular space			1.44	0.27	0.32	-0.52	-0.96	-0.73
213690_s_at	PTOV1	0.029402	prostate tumor overexpressed gene 1						-0.07	1.92	0.79	-0.97	-1.06	-1.07
213740_s_at	ZFPL1	0.045208	zinc finger protein-like 1		zinc ion binding				0.93	0.53	-0.07	-0.79	-0.31	-0.34
213748_at	KIAA0298	0.013195	KIAA0298 gene product		zinc ion binding	intracellular			1.16	0.38	0.54	-0.57	-0.39	-1.13
213819_s_at	FLOT1	0.001241	flotillin 1			caveola			0.84	0.83	0.9	-0.59	-1.25	-0.68
213844_at	HOXA5	0.04374	homeo box A5	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.82	-0.12	1.42	-1.17	-0.68	-0.4
213870_at	COL11A2	0.033006	collagen, type XI, alpha 2	skeletal development	extracellular matrix structural constituent conferring tensile strength	collagen			1.65	0.1	0.46	-0.74	-1.1	-0.65
213882_at	BBP	0.014252	beta-amyloid binding protein precursor						0.15	0.41	0.65	-0.15	-0.51	-0.56
213902_at	ASAH1	0.023768	N-acylsphingosine amidohydrolase (acid ceramidase) 1	fatty acid metabolism	hydrolase activity	lysosome	Sphingoglycolipid metabolism	GENMAPP/KEGG	1.12	0.78	-0.05	-0.48	-0.79	-0.68
213905_x_at	BGN	0.037077	biglycan		extracellular matrix structural constituent	extracellular matrix			1.25	-0.26	1.16	-0.85	-0.73	-0.78
213976_at	CIZ1	0.02357	CDKN1A interacting zinc finger protein 1	regulation of cell cycle	nucleic acid binding	nucleus			1.33	0.09	0.78	-0.32	-1	-0.97
214060_at	SSBP1	0.04642	single-stranded DNA binding protein 1	DNA replication	single-stranded DNA binding	mitochondrion			1.83	0.4	0.18	-0.45	-0.79	-1.45
214078_at	---	0.017901	Clone 24540 mRNA sequence						1.31	-0.02	1.18	-1.1	-0.82	-0.7
214079_at	DHRS2	0.003249	dehydrogenase/reductase (SDR family) member 2	metabolism	oxidoreductase activity				1.18	0.56	0.65	-0.48	-0.99	-0.95
