Mouse Gene Identifier	Geometric mean of intensity in class 1: Early	Geometric mean of intensity in class 2: Late	Early/Late Ratio	Parametric p-value	FDR	Mouse 430 2.0 array probe set	Human U133A 2.0 array orthologous probe set	Description	Human Gene Identifier
							217982_s_at	mortality factor 4 like 1 /// mortality factor 4	MORF4L1
XM_125830	238	155.6	1.53	0.0006969	0.018491	1429413_at	206100_at	carboxypeptidase M	CPM
							217542_at	Carboxypeptidase M	CPM
Lrfn4	58.9	27	2.181	0.0007019	0.018491	1454700_at	219491_at	leucine rich repeat and fibronectin type III domain containing 4	LRFN4
Aug-02	61.3	44	1.393	0.000702	0.018491	1436819_at	205004_at	NF-kappaB repressing factor	NKRF
Pafah1b3	342.6	193.1	1.774	0.0007069	0.018491	1416410_at	203228_at	platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit 29kDa	PAFAH1B3
Lipc	111.1	298.7	0.372	0.0007071	0.018491	1419560_at	206606_at	lipase, hepatic	LIPC
Rdh5	60.9	110.2	0.553	0.0007088	0.018491	1418808_at	210106_at	retinol dehydrogenase 5 (11-cis/9-cis)	RDH5
Slc44a4	41	76.3	0.537	0.0007095	0.018491	1416596_at	205597_at	solute carrier family 44, member 4	SLC44A4
Dcxr	52.6	121.1	0.434	0.0007115	0.018491	1419456_at	217973_at	dicarbonyl/L-xylulose reductase	DCXR
Gstt1	145.1	394.5	0.368	0.0007123	0.018491	1418186_at	203815_at	glutathione S-transferase theta 1	GSTT1
							207215_at	glutathione S-transferase theta pseudogene	HS322B1A
Gm2a	141.3	200.2	0.706	0.0007125	0.018491	1448241_at	209727_at	GM2 ganglioside activator	GM2A
							212737_at	GM2 ganglioside activator	GM2A
							215890_at	GM2 ganglioside activator	GM2A
							215891_s_at	GM2 ganglioside activator	GM2A
							33646_g_at	GM2 ganglioside activator	GM2A
							35820_at	GM2 ganglioside activator	GM2A
Camp	68.7	340.4	0.202	0.0007135	0.018491	1419691_at	210244_at	cathelicidin antimicrobial peptide	CAMP
Cbfb	526.9	281.8	1.87	0.0007161	0.018491	1460716_a_at	202370_s_at	core-binding factor, beta subunit	CBFB
							206788_s_at	core-binding factor, beta subunit	CBFB
Tacc1	288.9	395	0.731	0.0007188	0.018491	1429591_at	200911_s_at	transforming, acidic coiled-coil containing protein 1	TACC1
							217433_at	transforming, acidic coiled-coil containing protein 1	TACC1
							217437_s_at	transforming, acidic coiled-coil containing protein 1	TACC1
Hmox1	359.4	583.9	0.616	0.0007204	0.018491	1448239_at	203665_at	heme oxygenase (decycling) 1	HMOX1
Smarca2	122	68.3	1.786	0.0007242	0.018491	1430526_a_at	206542_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	SMARCA2
							206543_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	SMARCA2
							212257_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	SMARCA2
							212258_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	SMARCA2
Nes	90	48.9	1.84	0.000735	0.0187314	1449022_at	218678_at	nestin	NES
Igf2bp2	357.9	188.7	1.897	0.0007413	0.0188566	1437103_at	218847_at	insulin-like growth factor 2 mRNA binding protein 2	IGF2BP2
Rbm34	217.9	131.3	1.66	0.0007483	0.0189281	1436595_at	212591_at	RNA binding motif protein 34	RBM34
							214942_at	RNA binding motif protein 34	RBM34
							214943_s_at	RNA binding motif protein 34	RBM34
Spats2	465.1	309.8	1.501	0.0007576	0.0191276	1460677_at	218324_s_at	spermatogenesis associated, serine-rich 2	SPATS2
Sema3d	72.5	42.5	1.706	0.0007632	0.0191975	1429459_at	215324_at	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	SEMA3D
							215643_at	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	SEMA3D
Lcat	292.6	439.8	0.665	0.0007741	0.0193997	1417043_at	204428_s_at	lecithin-cholesterol acyltransferase	LCAT
							216390_at	Lecithin-cholesterol acyltransferase	LCAT
Ngly1	172.7	240.3	0.719	0.0007785	0.0194381	1417827_at	207492_at	N-glycanase 1	NGLY1
							220742_s_at	N-glycanase 1	NGLY1
Lyst	60.9	90.5	0.673	0.0007841	0.0194704	1434674_at	203518_at	lysosomal trafficking regulator	LYST
							210943_s_at	lysosomal trafficking regulator	LYST
							215415_s_at	lysosomal trafficking regulator	LYST
Tmprss2	58.1	91.1	0.638	0.0007876	0.019485	1458347_s_at	205102_at	transmembrane protease, serine 2	TMPRSS2
							211689_s_at	transmembrane protease, serine 2 /// transmembrane protease, serine 2	TMPRSS2
Golt1b	128.2	86.8	1.477	0.000789	0.019485	1460583_at	218193_s_at	golgi transport 1 homolog B (S. cerevisiae)	GOLT1B
Fkbp3	1002	616.1	1.626	0.0007924	0.0195127	1416859_at	218003_s_at	FK506 binding protein 3, 25kDa	FKBP3
Tulp4	111.4	76	1.466	0.000793	0.0195127	1448548_at	218184_at	tubby like protein 4	TULP4
Spp2	379.9	1102.9	0.344	0.0007996	0.0196395	1418916_a_at	214478_at	secreted phosphoprotein 2, 24kDa	SPP2
Tmem34	142.5	79.6	1.79	0.0008037	0.0197045	1426628_at	219074_at	transmembrane protein 34	TMEM34
Rwdd1	578.1	431.1	1.341	0.0008096	0.0198133	1427913_at	219598_s_at	RWD domain containing 1	RWDD1
NM_009915	32.1	51.3	0.626	0.000813	0.0198249	1421188_at	206978_at	chemokine (C-C motif) receptor 2 /// chemokine (C-C motif) receptor 2	CCR2
							207794_at	chemokine (C-C motif) receptor 2 /// chemokine (C-C motif) receptor 2	CCR2
Hdac2	702.4	505	1.391	0.0008381	0.0203928	1449080_at	201833_at	histone deacetylase 2	HDAC2
Ehbp1	129.5	92.7	1.397	0.0008408	0.0203928	1424586_at	212650_at	EH domain binding protein 1	EHBP1
							212653_s_at	EH domain binding protein 1	EHBP1
Gas1	299.8	30.4	9.862	0.0008451	0.020424	1416855_at	204456_s_at	growth arrest-specific 1	GAS1
							204457_s_at	growth arrest-specific 1	GAS1
Plod2	107.9	60.4	1.786	0.0008501	0.0204719	1416686_at	202619_s_at	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	PLOD2
							202620_s_at	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	PLOD2
Alox5ap	111.2	151.5	0.734	0.0008612	0.0206541	1452016_at	204174_at	arachidonate 5-lipoxygenase-activating protein	ALOX5AP
Pgcp	87.4	165.3	0.529	0.0008653	0.0206541	1416441_at	203501_at	plasma glutamate carboxypeptidase	PGCP
							208454_s_at	plasma glutamate carboxypeptidase	PGCP
NM_008938	47.9	36.5	1.312	0.000866	0.0206541	1420511_at	206625_at	retinal degeneration, slow	RDS
Nr2f1	138.3	9	15.367	0.0008688	0.0206541	1418157_at	209505_at	Nuclear receptor subfamily 2, group F, member 1	NR2F1
							209506_s_at	nuclear receptor subfamily 2, group F, member 1	NR2F1
Ttpa	105	166.8	0.629	0.0008707	0.0206541	1427284_a_at	210614_at	tocopherol (alpha) transfer protein (ataxia (Friedreich-like) with vitamin E deficiency) /// similar to Alpha-tocopherol transfer protein (Alpha-TTP)	TTPA
Tnfrsf11a	154.6	216.7	0.713	0.0008708	0.0206541	1419214_at	207037_at	tumor necrosis factor receptor superfamily, member 11a, NFKB activator	TNFRSF11A
Angptl3	132.7	777.5	0.171	0.0008728	0.0206541	1424485_at	219803_at	angiopoietin-like 3	ANGPTL3
Slc16a2	68.3	128.5	0.532	0.0008729	0.0206541	1418445_at	204462_s_at	solute carrier family 16, member 2 (monocarboxylic acid transporter 8)	SLC16A2
Slc2a4	111	194.3	0.571	0.0008764	0.0207008	1415958_at	206603_at	solute carrier family 2 (facilitated glucose transporter), member 4	SLC2A4
March5	547.8	794.9	0.689	0.0008808	0.0207685	1430994_at	218582_at	membrane-associated ring finger (C3HC4) 5	MARCH5
Kifap3	161.1	90.9	1.772	0.0008874	0.0208878	1451783_a_at	203333_at	kinesin-associated protein 3	KIFAP3
Sema4g	172.8	242.8	0.712	0.0008937	0.0209613	1449202_at	203483_at	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G	SEMA4G
							219194_at	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G	SEMA4G
Lrp12	130.8	81.2	1.611	0.0008994	0.0209613	1433864_at	219631_at	low density lipoprotein-related protein 12	LRP12
							220253_s_at	low density lipoprotein-related protein 12	LRP12
							220254_at	low density lipoprotein-related protein 12	LRP12
Ptbp2	228.1	102.5	2.225	0.0008998	0.0209613	1423470_at	218683_at	polypyrimidine tract binding protein 2	PTBP2
Abca8b	64.1	119.2	0.538	0.0009052	0.0209798	1427546_at	204719_at	ATP-binding cassette, sub-family A (ABC1), member 8	ABCA8
Pfdn4	645.2	464.6	1.389	0.0009067	0.0209798	1454888_at	205361_s_at	prefoldin subunit 4	PFDN4
							205362_s_at	prefoldin subunit 4	PFDN4
Dlg3	100.7	54.2	1.858	0.0009142	0.0209798	1416918_at	207732_s_at	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	DLG3
							212727_at	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	DLG3
							212728_at	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	DLG3
							212729_at	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	DLG3
NM_016674	87	189.9	0.458	0.0009156	0.0209798	1437932_a_at	218182_s_at	claudin 1	CLDN1
2010309E21Rik	834.1	581.6	1.434	0.0009205	0.0209798	1417075_at	215947_s_at	hypothetical protein FLJ14668	FLJ14668
Fkbp10	120.1	59.1	2.032	0.0009212	0.0209798	1415951_at	219249_s_at	FK506 binding protein 10, 65 kDa	FKBP10
Spag5	158.2	214.5	0.738	0.0009215	0.0209798	1433893_s_at	203145_at	sperm associated antigen 5	SPAG5
Hoxc6	54.6	28.3	1.929	0.0009217	0.0209798	1427454_at	206858_s_at	homeobox C6	HOXC6
Pkn2	176.9	252.6	0.7	0.0009262	0.0209798	1437296_at	210969_at	protein kinase N2	PKN2
							212628_at	protein kinase N2	PKN2
							212629_s_at	protein kinase N2	PKN2
							216112_at	Protein kinase N2	PKN2
Cysltr1	39.8	23.7	1.679	0.0009269	0.0209798	1418944_at	216288_at	cysteinyl leukotriene receptor 1	CYSLTR1
XM_132322	236.7	338.5	0.699	0.0009329	0.0210407	1435575_at	206316_s_at	kinetochore associated 1	KNTC1
Pcolce2	124.3	70.4	1.766	0.0009345	0.0210407	1451527_at	219295_s_at	procollagen C-endopeptidase enhancer 2	PCOLCE2
Rnf138	140.7	78.3	1.797	0.0009388	0.0210407	1454064_a_at	218738_s_at	ring finger protein 138	RNF138
Sh3gl3	67.5	35	1.929	0.0009389	0.0210407	1432103_a_at	205636_at	SH3-domain GRB2-like 3	SH3GL3
							205637_s_at	SH3-domain GRB2-like 3	SH3GL3
							211565_at	SH3-domain GRB2-like 3	SH3GL3
XM_110937	144.8	228.2	0.635	0.0009446	0.0210949	1459857_at	211702_s_at	ubiquitin specific peptidase 32 /// ubiquitin specific peptidase 32	USP32
Tspyl4	50.7	18	2.817	0.0009474	0.0210949	1424029_at	212928_at	TSPY-like 4	TSPYL4
Sfrs7	651.7	445.5	1.463	0.0009491	0.0210949	1424033_at	201129_at	splicing factor, arginine/serine-rich 7, 35kDa	SFRS7
							211439_at	splicing factor, arginine/serine-rich 7, 35kDa	SFRS7
							213649_at	splicing factor, arginine/serine-rich 7, 35kDa	SFRS7
Cd248	136.9	82.1	1.667	0.0009767	0.0215851	1417439_at	219025_at	CD248 molecule, endosialin	CD248
Upk1b	34.8	49.1	0.709	0.0009784	0.0215851	1435831_at	210064_s_at	uroplakin 1B	UPK1B
							210065_s_at	uroplakin 1B	UPK1B
Sp4	177.2	251.7	0.704	0.0009798	0.0215851	1421504_at	206663_at	Sp4 transcription factor	SP4
NM_007572	153.3	312.2	0.491	0.0009822	0.0215851	1417381_at	218232_at	complement component 1, q subcomponent, A chain	C1QA
Ldb2	66.1	39.2	1.686	0.0009823	0.0215851	1439557_s_at	206481_s_at	LIM domain binding 2	LDB2
Srm	1388.3	912.1	1.522	0.0009843	0.0215941	1421260_a_at	201516_at	spermidine synthase	SRM
Etfa	816.7	1106.2	0.738	0.0009956	0.0217978	1423972_at	201931_at	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	ETFA
Pgm2	346	437.5	0.791	0.0009968	0.0217978	1451149_at	201968_s_at	phosphoglucomutase 1	PGM1
