Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with 5q- and normal
207906_at	IL3	5q31.1	absent in all cases	absent in all cases
207539_s_at	IL4	5q31.1	absent in all cases	absent in all cases
207538_at	IL4	5q31.1	present at least in one case	present at least in one case
207952_at	IL5	5q31.1	present at least in one case	present at least in one case
208193_at	IL9	5q31.1	present at least in one case	present at least in one case
202531_at	IRF1	5q31.1	present at least in one case	present at least in one case
208202_s_at	KIAA0239	5q31.1	absent in all cases	absent in all cases
232279_at	KIAA0239	5q31.1	absent in all cases	absent in all cases
212660_at	KIAA0239	5q31.1	present at least in one case	present at least in one case
202462_s_at	KIAA0801	5q31.1	present at least in one case	present at least in one case
214859_at	KIAA1061	5q31.1	absent in all cases	absent in all cases
223997_at	KIAA1961	5q31.1	present at least in one case	present at least in one case
228250_at	KIAA1961	5q31.1	present at least in one case	present at least in one case
228768_at	KIAA1961	5q31.1	present at least in one case	present at least in one case
230238_at	LOC134548	5q31.1	absent in all cases	absent in all cases
231372_at	LOC153328	5q31.1	present at least in one case	present at least in one case
223512_at	LOC51128	5q31.1	present at least in one case	present at least in one case
218254_s_at	LOC51128	5q31.1	present at least in one case	present at least in one case
231840_x_at	LOC90624	5q31.1	present at least in one case	present at least in one case
235006_at	MGC13017	5q31.1	present at least in one case	present at least in one case
228769_at	QP-C	5q31.1	present at least in one case	present at least in one case
201568_at	QP-C	5q31.1	present at least in one case	present at least in one case
226236_at	QP-C	5q31.1	present at least in one case	present at least in one case
239438_at	RA-GEF-2	5q31.1	present at least in one case	present at least in one case
219112_at	RA-GEF-2	5q31.1	present at least in one case	present at least in one case
230078_at	RA-GEF-2	5q31.1	present at least in one case	present at least in one case
211564_s_at	RIL	5q31.1	present at least in one case	absent in all cases
214174_s_at	RIL	5q31.1	absent in all cases	absent in all cases
214175_x_at	RIL	5q31.1	present at least in one case	absent in all cases
218690_at	RIL	5q31.1	absent in all cases	absent in all cases
218691_s_at	RIL	5q31.1	absent in all cases	absent in all cases
244841_at	SEC24A	5q31.1	present at least in one case	present at least in one case
212902_at	SEC24A	5q31.1	present at least in one case	present at least in one case
212900_at	SEC24A	5q31.1	present at least in one case	present at least in one case
205896_at	SLC22A4	5q31.1	present at least in one case	present at least in one case
229026_at	SPEC2	5q31.1	present at least in one case	present at least in one case
224709_s_at	SPEC2	5q31.1	present at least in one case	present at least in one case
205254_x_at	TCF7	5q31.1	present at least in one case	present at least in one case
205255_x_at	TCF7	5q31.1	present at least in one case	present at least in one case
238099_at	HSPA4	5q31.1-q31.2	absent in all cases	absent in all cases
211016_x_at	HSPA4	5q31.1-q31.2	present at least in one case	present at least in one case
211015_s_at	HSPA4	5q31.1-q31.2	present at least in one case	present at least in one case
208815_x_at	HSPA4	5q31.1-q31.2	present at least in one case	present at least in one case
214479_at	GFRA3	5q31.1-q31.3	absent in all cases	absent in all cases
229936_at	GFRA3	5q31.1-q31.3	absent in all cases	absent in all cases
207409_at	LECT2	5q31.1-q32	absent in all cases	absent in all cases
206849_at	GABRG2	5q31.1-q33.1	absent in all cases	absent in all cases
207901_at	IL12B	5q31.1-q33.1	present at least in one case	present at least in one case
200093_s_at - HG-U133A	HINT1	5q31.2	present at least in one case	present at least in one case
200093_s_at - HG-U133B	HINT1	5q31.2	present at least in one case	present at least in one case
208826_x_at	HINT1	5q31.2	present at least in one case	present at least in one case
207721_x_at	HINT1	5q31.2	present at least in one case	present at least in one case
206408_at	KIAA0416	5q31.2	absent in all cases	absent in all cases
238993_at	MATR3	5q31.2	absent in all cases	absent in all cases
242260_at	MATR3	5q31.2	present at least in one case	present at least in one case
228012_at	MATR3	5q31.2	present at least in one case	present at least in one case
200624_s_at	MATR3	5q31.2	present at least in one case	present at least in one case
200626_s_at	MATR3	5q31.2	present at least in one case	present at least in one case
214363_s_at	MATR3	5q31.2	present at least in one case	present at least in one case
220767_at	PRO2133	5q31.2	present at least in one case	absent in all cases
208589_at	TRPC7	5q31.2	absent in all cases	absent in all cases
234407_s_at	TRPC7	5q31.2	present at least in one case	present at least in one case
223732_at	SLC23A2	5q31.2-q31.3	present at least in one case	present at least in one case
206623_at	PDE6A	5q31.2-q34	absent in all cases	absent in all cases
235806_at	ARAP3	5q31.3	present at least in one case	present at least in one case
218950_at	ARAP3	5q31.3	present at least in one case	present at least in one case
223536_at	DKFZp761B0514	5q31.3	absent in all cases	absent in all cases
226699_at	FLJ00007	5q31.3	absent in all cases	absent in all cases
222114_x_at	FLJ20195	5q31.3	absent in all cases	absent in all cases
222070_at	FLJ20195	5q31.3	present at least in one case	present at least in one case
223833_at	FLJ20195	5q31.3	present at least in one case	present at least in one case
57739_at	FLJ20195	5q31.3	present at least in one case	present at least in one case
219809_at	FLJ20195	5q31.3	present at least in one case	present at least in one case
233292_s_at	FLJ20288	5q31.3	present at least in one case	present at least in one case
229457_at	FLJ20288	5q31.3	present at least in one case	present at least in one case
208773_s_at	FLJ20288	5q31.3	present at least in one case	present at least in one case
208772_at	FLJ20288	5q31.3	present at least in one case	present at least in one case
219081_at	FLJ20288	5q31.3	present at least in one case	present at least in one case
224782_at	FLJ31121	5q31.3	present at least in one case	present at least in one case
226698_at	FLJ90583	5q31.3	absent in all cases	absent in all cases
208240_s_at	GLIO703	5q31.3	present at least in one case	present at least in one case
202042_at	HARS	5q31.3	present at least in one case	present at least in one case
209252_at	HARSL	5q31.3	present at least in one case	present at least in one case
208302_at	HB-1	5q31.3	present at least in one case	present at least in one case
222996_s_at	HSPC195	5q31.3	present at least in one case	present at least in one case
224516_s_at	HSPC195	5q31.3	present at least in one case	present at least in one case
233955_x_at	HSPC195	5q31.3	present at least in one case	present at least in one case
200066_at - HG-U133B	IK	5q31.3	present at least in one case	present at least in one case
200066_at - HG-U133A	IK	5q31.3	present at least in one case	present at least in one case
201977_s_at	KIAA0141	5q31.3	present at least in one case	present at least in one case
201978_s_at	KIAA0141	5q31.3	present at least in one case	present at least in one case
238027_at	LOC202051	5q31.3	present at least in one case	present at least in one case
224626_at	MGC2541	5q31.3	present at least in one case	present at least in one case
227169_at	MGC29463	5q31.3	present at least in one case	present at least in one case
227166_at	MGC29463	5q31.3	present at least in one case	present at least in one case
222422_s_at	NDFIP1	5q31.3	present at least in one case	present at least in one case
222423_at	NDFIP1	5q31.3	present at least in one case	present at least in one case
217800_s_at	NDFIP1	5q31.3	present at least in one case	present at least in one case
224707_at	ORF1-FL49	5q31.3	present at least in one case	present at least in one case
222984_at	PAIP2	5q31.3	present at least in one case	present at least in one case
222983_s_at	PAIP2	5q31.3	present at least in one case	present at least in one case
222971_at	PRO1580	5q31.3	absent in all cases	absent in all cases
221096_s_at	PRO1580	5q31.3	present at least in one case	present at least in one case
224953_at	SMAP-5	5q31.3	present at least in one case	present at least in one case
224949_at	SMAP-5	5q31.3	present at least in one case	present at least in one case
221423_s_at	SMAP-5	5q31.3	present at least in one case	present at least in one case
224934_at	SMAP-5	5q31.3	present at least in one case	present at least in one case
220983_s_at	SPRY4	5q31.3	absent in all cases	absent in all cases
221489_s_at	SPRY4	5q31.3	present at least in one case	present at least in one case
224130_s_at	SRA1	5q31.3	present at least in one case	present at least in one case
224864_at	SRA1	5q31.3	present at least in one case	present at least in one case
201344_at	UBE2D2	5q31.3	present at least in one case	present at least in one case
201343_at	UBE2D2	5q31.3	present at least in one case	present at least in one case
201345_s_at	UBE2D2	5q31.3	present at least in one case	present at least in one case
229593_at	H2AFY	5q31.3-q32	present at least in one case	present at least in one case
214500_at	H2AFY	5q31.3-q32	present at least in one case	present at least in one case
220375_s_at	H2AFY	5q31.3-q32	present at least in one case	present at least in one case
214501_s_at	H2AFY	5q31.3-q32	present at least in one case	present at least in one case
207168_s_at	H2AFY	5q31.3-q32	present at least in one case	present at least in one case
212667_at	SPARC	5q31.3-q32	present at least in one case	present at least in one case
200665_s_at	SPARC	5q31.3-q32	present at least in one case	present at least in one case
209727_at	GM2A	5q31.3-q33.1	absent in all cases	absent in all cases
215890_at	GM2A	5q31.3-q33.1	absent in all cases	absent in all cases
215891_s_at	GM2A	5q31.3-q33.1	present at least in one case	present at least in one case
33646_g_at	GM2A	5q31.3-q33.1	present at least in one case	present at least in one case
35820_at	GM2A	5q31.3-q33.1	present at least in one case	present at least in one case
212737_at	GM2A	5q31.3-q33.1	present at least in one case	present at least in one case
205643_s_at	PPP2R2B	5q31-5q33	present at least in one case	present at least in one case
213849_s_at	PPP2R2B	5q31-5q33	present at least in one case	present at least in one case
206170_at	ADRB2	5q31-q32	present at least in one case	present at least in one case
48031_r_at	C5orf4	5q31-q32	present at least in one case	present at least in one case
220751_s_at	C5orf4	5q31-q32	present at least in one case	present at least in one case
48030_i_at	C5orf4	5q31-q32	present at least in one case	present at least in one case
233490_at	DCTN4	5q31-q32	present at least in one case	present at least in one case
218013_x_at	DCTN4	5q31-q32	present at least in one case	present at least in one case
222488_s_at	DCTN4	5q31-q32	present at least in one case	present at least in one case
211339_s_at	ITK	5q31-q32	present at least in one case	present at least in one case
232135_at	LOC56755	5q31-q32	present at least in one case	present at least in one case
225509_at	LOC56757	5q31-q32	present at least in one case	present at least in one case
202273_at	PDGFRB	5q31-q32	absent in all cases	absent in all cases
208494_at	SLC6A7	5q31-q32	absent in all cases	absent in all cases
222682_s_at	C5orf3	5q31-q33	present at least in one case	present at least in one case
218588_s_at	C5orf3	5q31-q33	present at least in one case	present at least in one case
206430_at	CDX1	5q31-q33	absent in all cases	absent in all cases
202163_s_at	CNOT8	5q31-q33	present at least in one case	present at least in one case
202162_s_at	CNOT8	5q31-q33	present at least in one case	present at least in one case
202164_s_at	CNOT8	5q31-q33	present at least in one case	present at least in one case
216939_s_at	HTR4	5q31-q33	absent in all cases	absent in all cases
207577_at	HTR4	5q31-q33	present at least in one case	present at least in one case
207578_s_at	HTR4	5q31-q33	present at least in one case	present at least in one case
214245_at	RPS14	5q31-q33	present at least in one case	present at least in one case
208646_at	RPS14	5q31-q33	present at least in one case	present at least in one case
208645_s_at	RPS14	5q31-q33	present at least in one case	present at least in one case
205097_at	SLC26A2	5q31-q34	present at least in one case	present at least in one case
203454_s_at	ATOX1	5q32	present at least in one case	present at least in one case
226074_at	CD74	5q32	present at least in one case	present at least in one case
209619_at	CD74	5q32	present at least in one case	present at least in one case
235464_at	CSNK1A1	5q32	present at least in one case	present at least in one case
226920_at	CSNK1A1	5q32	present at least in one case	present at least in one case
208866_at	CSNK1A1	5q32	present at least in one case	present at least in one case
208867_s_at	CSNK1A1	5q32	present at least in one case	present at least in one case
206562_s_at	CSNK1A1	5q32	present at least in one case	present at least in one case
208865_at	CSNK1A1	5q32	present at least in one case	present at least in one case
213086_s_at	CSNK1A1	5q32	present at least in one case	present at least in one case
231987_at	DKFZp586C0721	5q32	present at least in one case	present at least in one case
201430_s_at	DPYSL3	5q32	present at least in one case	present at least in one case
201431_s_at	DPYSL3	5q32	present at least in one case	present at least in one case
223720_at	ECG2	5q32	present at least in one case	present at least in one case
219608_s_at	FLJ13962	5q32	present at least in one case	present at least in one case
228892_at	FLJ23654	5q32	absent in all cases	absent in all cases
235768_at	FLJ23654	5q32	absent in all cases	absent in all cases
243582_at	FLJ23654	5q32	absent in all cases	absent in all cases
238427_at	FLJ33918	5q32	present at least in one case	present at least in one case
226881_at	FLJ33918	5q32	present at least in one case	present at least in one case
226955_at	FLJ36748	5q32	present at least in one case	present at least in one case
207972_at	GLRA1	5q32	present at least in one case	present at least in one case
205889_s_at	KIAA0555	5q32	present at least in one case	present at least in one case
205888_s_at	KIAA0555	5q32	present at least in one case	present at least in one case
205730_s_at	KIAA0843	5q32	absent in all cases	absent in all cases
222300_at	KIAA0843	5q32	present at least in one case	present at least in one case
243295_at	KIAA1311	5q32	present at least in one case	present at least in one case
225326_at	KIAA1311	5q32	present at least in one case	present at least in one case
219710_at	KIAA1985	5q32	present at least in one case	present at least in one case
223888_s_at	LARS	5q32	present at least in one case	present at least in one case
217810_x_at	LARS	5q32	present at least in one case	present at least in one case
222428_s_at	LARS	5q32	present at least in one case	present at least in one case
222427_s_at	LARS	5q32	present at least in one case	present at least in one case
233340_at	LOC153218	5q32	absent in all cases	absent in all cases
235828_at	LOC153768	5q32	present at least in one case	present at least in one case
218953_s_at	MGC3265	5q32	present at least in one case	present at least in one case
228782_at	SCGB3A2	5q32	absent in all cases	absent in all cases
221257_x_at	SP329	5q32	present at least in one case	present at least in one case
224369_s_at	SP329	5q32	present at least in one case	present at least in one case
206239_s_at	SPINK1	5q32	present at least in one case	present at least in one case
205185_at	SPINK5	5q32	absent in all cases	absent in all cases
220273_at	IL17B	5q32-34	absent in all cases	absent in all cases
221128_at	ADAM19	5q32-q33	present at least in one case	present at least in one case
209765_at	ADAM19	5q32-q33	present at least in one case	present at least in one case
208153_s_at	FAT2	5q32-q33	absent in all cases	absent in all cases
203918_at	PCDH1	5q32-q33	absent in all cases	absent in all cases
215277_at	PCDH1	5q32-q33	absent in all cases	absent in all cases
244686_at	TCOF1	5q32-q33.1	absent in all cases	absent in all cases
202385_s_at	TCOF1	5q32-q33.1	present at least in one case	present at least in one case
202384_s_at	TCOF1	5q32-q33.1	present at least in one case	present at least in one case
207196_s_at	TNIP1	5q32-q33.1	present at least in one case	present at least in one case
201434_at	TTC1	5q32-q33.2	present at least in one case	present at least in one case
244250_at	ANXA6	5q32-q34	present at least in one case	present at least in one case
200982_s_at	ANXA6	5q32-q34	present at least in one case	present at least in one case
208796_s_at	CCNG1	5q32-q34	present at least in one case	present at least in one case
220138_at	HAND1	5q33	present at least in one case	present at least in one case
236517_at	MEGF10	5q33	present at least in one case	present at least in one case
232523_at	MEGF10	5q33	present at least in one case	present at least in one case
207678_s_at	SOX30	5q33	present at least in one case	present at least in one case
207613_s_at	CAMK2A	5q33.1	absent in all cases	absent in all cases
213108_at	CAMK2A	5q33.1	absent in all cases	absent in all cases
212886_at	DKFZP434C171	5q33.1	present at least in one case	present at least in one case
222527_s_at	FLJ10290	5q33.1	present at least in one case	present at least in one case
218134_s_at	FLJ10290	5q33.1	present at least in one case	present at least in one case
224068_x_at	FLJ10290	5q33.1	present at least in one case	present at least in one case
201514_s_at	G3BP	5q33.1	present at least in one case	present at least in one case
244396_at	G3BP	5q33.1	present at least in one case	present at least in one case
201503_at	G3BP	5q33.1	present at least in one case	present at least in one case
212431_at	KIAA0194	5q33.1	present at least in one case	present at least in one case
34221_at	KIAA0194	5q33.1	present at least in one case	present at least in one case
202796_at	KIAA1029	5q33.1	absent in all cases	absent in all cases
235128_at	KIAA1029	5q33.1	absent in all cases	absent in all cases
235914_at	KIAA1029	5q33.1	absent in all cases	absent in all cases
233234_at	KIAA1317	5q33.1	present at least in one case	absent in all cases
213119_at	LOC91974	5q33.1	present at least in one case	present at least in one case
213955_at	MYOZ3	5q33.1	absent in all cases	absent in all cases
202608_s_at	NDST1	5q33.1	absent in all cases	absent in all cases
202607_at	NDST1	5q33.1	present at least in one case	present at least in one case
223276_at	NID67	5q33.1	present at least in one case	present at least in one case
224088_at	NMU2R	5q33.1	present at least in one case	present at least in one case
220986_s_at	TIGD6	5q33.1	present at least in one case	present at least in one case
228144_at	ZNF300	5q33.1	present at least in one case	present at least in one case
218339_at	MRPL22	5q33.1-q33.3	present at least in one case	present at least in one case
244578_at	LCP2	5q33.1-qter	present at least in one case	present at least in one case
205269_at	LCP2	5q33.1-qter	present at least in one case	present at least in one case
205270_s_at	LCP2	5q33.1-qter	present at least in one case	present at least in one case
226772_s_at	FLJ11526	5q33.2	absent in all cases	absent in all cases
222831_at	FLJ11526	5q33.2	present at least in one case	present at least in one case
219129_s_at	FLJ11526	5q33.2	present at least in one case	present at least in one case
220296_at	FLJ11715	5q33.2	absent in all cases	absent in all cases
230906_at	GALNT10	5q33.2	present at least in one case	present at least in one case
207357_s_at	GALNT10	5q33.2	present at least in one case	present at least in one case
212256_at	GALNT10	5q33.2	present at least in one case	present at least in one case
225712_at	GEMIN5	5q33.2	present at least in one case	present at least in one case
207052_at	HAVCR1	5q33.2	present at least in one case	present at least in one case
239663_x_at	LARP	5q33.2	absent in all cases	absent in all cases
212193_s_at	LARP	5q33.2	present at least in one case	present at least in one case
210966_x_at	LARP	5q33.2	present at least in one case	present at least in one case
212137_at	MGC19556	5q33.2	present at least in one case	present at least in one case
207165_at	HMMR	5q33.2-qter	present at least in one case	present at least in one case
209709_s_at	HMMR	5q33.2-qter	present at least in one case	present at least in one case
223749_at	C1QTNF2	5q33.3	present at least in one case	absent in all cases
204349_at	CRSP9	5q33.3	present at least in one case	present at least in one case
204350_s_at	CRSP9	5q33.3	present at least in one case	present at least in one case
219227_at	FLJ14166	5q33.3	present at least in one case	present at least in one case
219122_s_at	FLJ20546	5q33.3	present at least in one case	present at least in one case
239899_at	FLJ31951	5q33.3	absent in all cases	absent in all cases
238949_at	FLJ31951	5q33.3	present at least in one case	present at least in one case
226077_at	FLJ31951	5q33.3	present at least in one case	present at least in one case
242112_at	FLJ38273	5q33.3	absent in all cases	absent in all cases
241599_at	FLJ38273	5q33.3	present at least in one case	present at least in one case
235458_at	HAVCR2	5q33.3	present at least in one case	present at least in one case
220770_s_at	LOC63920	5q33.3	present at least in one case	present at least in one case
227413_at	MGC10067	5q33.3	present at least in one case	present at least in one case
243916_x_at	MGC10067	5q33.3	present at least in one case	present at least in one case
220999_s_at	PRO1331	5q33.3	present at least in one case	present at least in one case
208139_s_at	PRO1386	5q33.3	absent in all cases	absent in all cases
207829_s_at	BNIP1	5q33-q34	present at least in one case	present at least in one case
204930_s_at	BNIP1	5q33-q34	present at least in one case	present at least in one case
37226_at	BNIP1	5q33-q34	present at least in one case	present at least in one case
205044_at	GABRP	5q33-q34	absent in all cases	absent in all cases
210329_s_at	SGCD	5q33-q34	absent in all cases	absent in all cases
214492_at	SGCD	5q33-q34	absent in all cases	absent in all cases
210330_at	SGCD	5q33-q34	present at least in one case	present at least in one case
215886_x_at	USP12	5q33-q34	present at least in one case	present at least in one case
213327_s_at	USP12	5q33-q34	present at least in one case	present at least in one case
203104_at	CSF1R	5q33-q35	present at least in one case	present at least in one case
215961_at	F12	5q33-qter	absent in all cases	absent in all cases
205774_at	F12	5q33-qter	present at least in one case	present at least in one case
214070_s_at	ATP10B	5q34	present at least in one case	present at least in one case
215785_s_at	CYFIP2	5q34	present at least in one case	present at least in one case
226578_s_at	DUSP1	5q34	present at least in one case	present at least in one case
201044_x_at	DUSP1	5q34	present at least in one case	present at least in one case
201041_s_at	DUSP1	5q34	present at least in one case	present at least in one case
232204_at	EBF	5q34	present at least in one case	present at least in one case
206987_x_at	FGF18	5q34	absent in all cases	absent in all cases
211029_x_at	FGF18	5q34	absent in all cases	absent in all cases
211485_s_at	FGF18	5q34	absent in all cases	absent in all cases
206986_at	FGF18	5q34	present at least in one case	present at least in one case
214284_s_at	FGF18	5q34	present at least in one case	present at least in one case
220920_at	FLJ21477	5q34	absent in all cases	absent in all cases
208006_at	FOXI1	5q34	absent in all cases	absent in all cases
207182_at	GABRA6	5q34	absent in all cases	absent in all cases
207352_s_at	GABRB2	5q34	absent in all cases	absent in all cases
209948_at	KCNMB1	5q34	present at least in one case	present at least in one case
228337_at	KIAA1935	5q34	present at least in one case	present at least in one case
228336_at	KIAA1935	5q34	present at least in one case	present at least in one case
226720_at	KIAA1935	5q34	present at least in one case	present at least in one case
226643_s_at	LOC134492	5q34	present at least in one case	present at least in one case
226642_s_at	LOC134492	5q34	present at least in one case	present at least in one case
206578_at	NKX2-5	5q34	absent in all cases	absent in all cases
218433_at	PANK3	5q34	present at least in one case	present at least in one case
219661_at	RANBP17	5q34	present at least in one case	present at least in one case
210316_at	FLT4	5q34-q35	present at least in one case	present at least in one case
206678_at	GABRA1	5q34-q35	absent in all cases	absent in all cases
244118_at	GABRA1	5q34-q35	absent in all cases	absent in all cases
205100_at	GFPT2	5q34-q35	present at least in one case	present at least in one case
205555_s_at	MSX2	5q34-q35	present at least in one case	present at least in one case
205556_at	MSX2	5q34-q35	present at least in one case	present at least in one case
210319_x_at	MSX2	5q34-q35	present at least in one case	present at least in one case
229284_at	MAT2B	5q34-q35.1	present at least in one case	present at least in one case
217993_s_at	MAT2B	5q34-q35.1	present at least in one case	present at least in one case
221421_s_at	ADAMTS12	5q35	present at least in one case	present at least in one case
217207_s_at	BTNL3	5q35	present at least in one case	present at least in one case
238034_at	CANX	5q35	present at least in one case	present at least in one case
208852_s_at	CANX	5q35	present at least in one case	present at least in one case
208853_s_at	CANX	5q35	present at least in one case	present at least in one case
200068_s_at - HG-U133B	CANX	5q35	present at least in one case	present at least in one case
200068_s_at - HG-U133A	CANX	5q35	present at least in one case	present at least in one case
221996_s_at	CLTB	5q35	absent in all cases	absent in all cases
205172_x_at	CLTB	5q35	present at least in one case	present at least in one case
206284_x_at	CLTB	5q35	present at least in one case	present at least in one case
211043_s_at	CLTB	5q35	present at least in one case	present at least in one case
202849_x_at	GPRK6	5q35	absent in all cases	absent in all cases
211543_s_at	GPRK6	5q35	present at least in one case	present at least in one case
210981_s_at	GPRK6	5q35	present at least in one case	present at least in one case
202848_s_at	GPRK6	5q35	present at least in one case	present at least in one case
208035_at	GRM6	5q35	present at least in one case	present at least in one case
206480_at	LTC4S	5q35	present at least in one case	present at least in one case
202360_at	MAML1	5q35	present at least in one case	present at least in one case
210570_x_at	MAPK9	5q35	present at least in one case	present at least in one case
203218_at	MAPK9	5q35	present at least in one case	present at least in one case
232690_at	MGAT1	5q35	present at least in one case	present at least in one case
201126_s_at	MGAT1	5q35	present at least in one case	present at least in one case
220189_s_at	MGAT4B	5q35	present at least in one case	present at least in one case
224598_at	MGAT4B	5q35	present at least in one case	present at least in one case
221923_s_at	NPM1	5q35	present at least in one case	present at least in one case
221691_x_at	NPM1	5q35	present at least in one case	present at least in one case
200063_s_at - HG-U133A	NPM1	5q35	present at least in one case	present at least in one case
200063_s_at - HG-U133B	NPM1	5q35	present at least in one case	present at least in one case
208177_at	SLC34A1	5q35	absent in all cases	absent in all cases
203813_s_at	SLIT3	5q35	absent in all cases	absent in all cases
216216_at	SLIT3	5q35	absent in all cases	absent in all cases
203812_at	SLIT3	5q35	present at least in one case	present at least in one case
207853_s_at	SNCB	5q35	absent in all cases	absent in all cases
213112_s_at	SQSTM1	5q35	absent in all cases	absent in all cases
201471_s_at	SQSTM1	5q35	present at least in one case	present at least in one case
234409_at	ZNF354C	5q35	present at least in one case	present at least in one case
213160_at	DOCK2	5q35.1	present at least in one case	present at least in one case
214652_at	DRD1	5q35.1	absent in all cases	absent in all cases
209456_s_at	FBXW1B	5q35.1	present at least in one case	present at least in one case
209455_at	FBXW1B	5q35.1	present at least in one case	present at least in one case
221685_s_at	FLJ20364	5q35.1	present at least in one case	present at least in one case
221307_at	KCNIP1	5q35.1	present at least in one case	present at least in one case
213085_s_at	KIBRA	5q35.1	absent in all cases	absent in all cases
216074_x_at	KIBRA	5q35.1	absent in all cases	absent in all cases
229180_at	KIBRA	5q35.1	absent in all cases	absent in all cases
231867_at	ODZ2	5q35.1	present at least in one case	present at least in one case
203554_x_at	PTTG1	5q35.1	present at least in one case	present at least in one case
203047_at	STK10	5q35.1	present at least in one case	present at least in one case
40420_at	STK10	5q35.1	present at least in one case	present at least in one case
208495_at	TLX3	5q35.1	present at least in one case	present at least in one case
204579_at	FGFR4	5q35.1-qter	absent in all cases	absent in all cases
211237_s_at	FGFR4	5q35.1-qter	absent in all cases	absent in all cases
201171_at	ATP6V0E	5q35.2	present at least in one case	present at least in one case
214244_s_at	ATP6V0E	5q35.2	present at least in one case	present at least in one case
214149_s_at	ATP6V0E	5q35.2	present at least in one case	present at least in one case
200096_s_at - HG-U133A	ATP6V0E	5q35.2	present at least in one case	present at least in one case
200096_s_at - HG-U133B	ATP6V0E	5q35.2	present at least in one case	present at least in one case
214150_x_at	ATP6V0E	5q35.2	present at least in one case	present at least in one case
201172_x_at	ATP6V0E	5q35.2	present at least in one case	present at least in one case
224827_at	DC-UbP	5q35.2	present at least in one case	present at least in one case
224834_at	DC-UbP	5q35.2	present at least in one case	present at least in one case
225355_at	DKFZP761M1511	5q35.2	present at least in one case	present at least in one case
205936_s_at	HK3	5q35.2	present at least in one case	present at least in one case
218623_at	HMP19	5q35.2	absent in all cases	absent in all cases
224024_at	KIAA1181	5q35.2	present at least in one case	present at least in one case
223847_s_at	KIAA1181	5q35.2	present at least in one case	present at least in one case
224577_at	KIAA1181	5q35.2	present at least in one case	present at least in one case
224576_at	KIAA1181	5q35.2	present at least in one case	present at least in one case
231823_s_at	KIAA1295	5q35.2	present at least in one case	present at least in one case
238476_at	LOC153222	5q35.2	present at least in one case	present at least in one case
225957_at	LOC153222	5q35.2	present at least in one case	present at least in one case
225956_at	LOC153222	5q35.2	present at least in one case	present at least in one case
225030_at	LOC91272	5q35.2	present at least in one case	present at least in one case
218830_at	RPL26L1	5q35.2	present at least in one case	present at least in one case
203438_at	STC2	5q35.2	absent in all cases	absent in all cases
203439_s_at	STC2	5q35.2	present at least in one case	present at least in one case
222191_s_at	B4GALT7	5q35.2-q35.3	present at least in one case	present at least in one case
53076_at	B4GALT7	5q35.2-q35.3	present at least in one case	present at least in one case
217840_at	ABS	5q35.3	present at least in one case	present at least in one case
200805_at	C5orf8	5q35.3	present at least in one case	present at least in one case
206368_at	CPLX2	5q35.3	present at least in one case	present at least in one case
217025_s_at	DBN1	5q35.3	present at least in one case	present at least in one case
202806_at	DBN1	5q35.3	present at least in one case	present at least in one case
229168_at	DKFZp434K0621	5q35.3	present at least in one case	present at least in one case
225815_at	DKFZp547D155	5q35.3	absent in all cases	absent in all cases
203369_x_at	ENIGMA	5q35.3	absent in all cases	absent in all cases
214266_s_at	ENIGMA	5q35.3	absent in all cases	absent in all cases
214122_at	ENIGMA	5q35.3	present at least in one case	present at least in one case
214121_x_at	ENIGMA	5q35.3	present at least in one case	present at least in one case
203370_s_at	ENIGMA	5q35.3	present at least in one case	present at least in one case
212106_at	ETEA	5q35.3	present at least in one case	present at least in one case
212108_at	ETEA	5q35.3	present at least in one case	present at least in one case
243047_at	FLJ10404	5q35.3	absent in all cases	absent in all cases
236596_at	FLJ10404	5q35.3	present at least in one case	present at least in one case
218920_at	FLJ10404	5q35.3	present at least in one case	present at least in one case
220711_at	FLJ12121	5q35.3	absent in all cases	absent in all cases
220421_at	FLJ21458	5q35.3	present at least in one case	absent in all cases
207757_at	FLJ21628	5q35.3	absent in all cases	absent in all cases
218262_at	FLJ22318	5q35.3	present at least in one case	present at least in one case
220320_at	FLJ22570	5q35.3	present at least in one case	present at least in one case
223553_s_at	FLJ22570	5q35.3	present at least in one case	present at least in one case
219881_s_at	FLJ23053	5q35.3	present at least in one case	present at least in one case
219880_at	FLJ23053	5q35.3	present at least in one case	present at least in one case
227796_at	FLJ34231	5q35.3	present at least in one case	present at least in one case
242411_at	FLJ39249	5q35.3	absent in all cases	absent in all cases
234488_s_at	GMCL	5q35.3	present at least in one case	present at least in one case
222034_at	GNB2L1	5q35.3	present at least in one case	present at least in one case
200651_at	GNB2L1	5q35.3	present at least in one case	present at least in one case
222058_at	GP	5q35.3	present at least in one case	present at least in one case
217865_at	GP	5q35.3	present at least in one case	present at least in one case
231060_at	HNRPAB	5q35.3	present at least in one case	present at least in one case
201277_s_at	HNRPAB	5q35.3	present at least in one case	present at least in one case
213472_at	HNRPH1	5q35.3	present at least in one case	present at least in one case
213470_s_at	HNRPH1	5q35.3	present at least in one case	present at least in one case
201031_s_at	HNRPH1	5q35.3	present at least in one case	present at least in one case
213619_at	HNRPH1	5q35.3	present at least in one case	present at least in one case
220805_at	HRH2	5q35.3	present at least in one case	present at least in one case
208757_at	HSGP25L2G	5q35.3	present at least in one case	present at least in one case
