Gene ID	Gene Identifier	ANOVA P value	B&H P value	mean 1	mean 2	mean 3	mean 4	SEM 1	SEM 2	SEM 3	SEM 4	Quality 1	Quality 2	Quality 3	Quality 4	Gene Title	Other ID	UG Cluster	LocusLink	Chromosome
PTHLH	J03580	0.003478	0.014997652	8.130	8.306	7.806	7.131	0.237	0.236	0.053	0.143	8.130	8.306	7.806	7.131	Parathyroid hormone-like hormone	MmugDNA.10839.1.S1_at	Hs.591159	5744	12
PTN	AL565812	0.006914	0.023479763	8.047	8.960	8.972	9.412	0.180	0.229	0.143	0.307	8.047	8.960	8.972	9.412	Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	MmugDNA.12997.1.S1_at	Hs.371249	5764	7
PTN	BC005916	0.01981	0.047892361	8.143	9.121	9.102	9.525	0.265	0.266	0.146	0.350	8.143	9.121	9.102	9.525	Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	MmugDNA.32481.1.S1_s_at	Hs.371249	5764	7
PTN	M57399	0.015419	0.040264807	7.079	8.063	8.025	8.434	0.293	0.243	0.112	0.313	7.079	8.063	8.025	8.434	Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	MmugDNA.3340.1.S1_at	Hs.371249	5764	7
PTPRC	NM_002838	0.015627	0.040641862	8.578	7.959	7.454	7.117	0.244	0.247	0.297	0.320	8.578	7.959	7.454	7.117	Protein tyrosine phosphatase, receptor type, C	MmugDNA.23562.1.S1_at	Hs.654514	5788	1
PURA	BF739943	0.000265	0.003161445	11.979	11.581	11.793	11.707	0.046	0.051	0.052	0.014	11.979	11.581	11.793	11.707	Purine-rich element binding protein A	MmugDNA.5736.1.S1_at	Hs.443121	5813	5
RARRES1	AI669229	0.014241	0.038074769	4.653	4.001	3.855	4.013	0.266	0.072	0.120	0.063	4.653	4.001	3.855	4.013	Retinoic acid receptor responder (tazarotene induced) 1	MmugDNA.22077.1.S1_at	Hs.131269	5918	3
RBP4	NM_006744	0.000406	0.00410299	8.289	10.099	11.147	10.692	0.329	0.532	0.170	0.232	8.289	10.099	11.147	10.692	Retinol binding protein 4, plasma	MmugDNA.27239.1.S1_s_at	Hs.50223	5950	10
RBP4	NM_006744	0.000633	0.005333199	8.618	10.394	11.436	11.038	0.401	0.524	0.180	0.222	8.618	10.394	11.436	11.038	Retinol binding protein 4, plasma	MmugDNA.27239.1.S1_at	Hs.50223	5950	10
RUNX3	AA541630	0.002141	0.011053904	6.457	6.094	6.097	6.087	0.086	0.051	0.041	0.056	6.457	6.094	6.097	6.087	Runt-related transcription factor 3	MmugDNA.31236.1.S1_at	Hs.170019	864	1
RUNX3	NM_004350	0.003749	0.015672619	7.559	6.489	6.477	6.108	0.229	0.281	0.149	0.217	7.559	6.489	6.477	6.108	Runt-related transcription factor 3	MmugDNA.6347.1.S1_at	Hs.170019	864	1
S100A6	AW166825	0.002354	0.011750077	8.710	7.524	7.855	7.354	0.085	0.228	0.263	0.193	8.710	7.524	7.855	7.354	S100 calcium binding protein A6	MmugDNA.43216.1.S1_at	Hs.275243	6277	1
S1PR2	AI032786	0.000015	0.000714317	8.829	9.793	9.501	9.509	0.078	0.122	0.050	0.044	8.829	9.793	9.501	9.509	Sphingosine-1-phosphate receptor 2	MmugDNA.37151.1.S1_at	Hs.655405	9294	19
S1PR3	AA534817	0.00055	0.004874971	8.036	9.792	8.628	9.076	0.173	0.193	0.243	0.225	8.036	9.792	8.628	9.076	Sphingosine-1-phosphate receptor 3	MmugDNA.20012.1.S1_at	Hs.585118	1903	9
S1PR3	NM_005226	0.001172	0.007717441	6.621	7.437	6.963	7.154	0.058	0.155	0.121	0.054	6.621	7.437	6.963	7.154	Sphingosine-1-phosphate receptor 3	MmugDNA.20555.1.S1_at	Hs.585118	1903	9
SESN1	NM_014454	0.000012	0.000646398	10.668	9.745	9.905	10.039	0.066	0.128	0.014	0.055	10.668	9.745	9.905	10.039	Sestrin 1	MmugDNA.18391.1.S1_at	Hs.591336	27244	6
SFN	BC000329	0.013302	0.036341525	6.450	7.163	6.639	6.862	0.059	0.206	0.144	0.046	6.450	7.163	6.639	6.862	Stratifin	MmugDNA.3990.1.S1_at	Hs.523718	2810	1
SKP2	BC001441	0.000235	0.002942425	7.191	8.313	7.866	7.635	0.162	0.091	0.073	0.136	7.191	8.313	7.866	7.635	S-phase kinase-associated protein 2 (p45)	MmugDNA.10117.1.S1_s_at	Hs.23348	6502	5
SKP2	BG105365	0.001048	0.007182672	7.793	8.212	7.861	7.815	0.063	0.040	0.042	0.085	7.793	8.212	7.861	7.815	S-phase kinase-associated protein 2 (p45)	MmugDNA.40534.1.S1_s_at	Hs.23348	6502	5
SKP2	NM_005983	0.000372	0.003887493	6.971	7.584	7.292	7.153	0.025	0.063	0.063	0.106	6.971	7.584	7.292	7.153	S-phase kinase-associated protein 2 (p45)	MmugDNA.38052.1.S1_at	Hs.23348	6502	5
SMAD4	AW055351	0.004446	0.017430108	11.004	10.604	10.702	10.747	0.052	0.079	0.035	0.074	11.004	10.604	10.702	10.747	SMAD family member 4	MmugDNA.19781.1.S1_at	Hs.75862	4089	18
SMARCB1	AK021419	0.004621	0.017869472	9.248	9.937	9.817	9.738	0.054	0.142	0.149	0.066	9.248	9.937	9.817	9.738	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	MmugDNA.35123.1.S1_s_at	Hs.534350	6598	22
SRA1	BG397813	0.000719	0.005730325	8.732	9.305	9.034	9.191	0.072	0.114	0.031	0.044	8.732	9.305	9.034	9.191	Steroid receptor RNA activator 1	MmugDNA.10660.1.S1_at	Hs.653135	10011	5
SRA1	AF293026	0.000602	0.005166643	8.744	9.444	9.166	9.203	0.047	0.148	0.028	0.055	8.744	9.444	9.166	9.203	Steroid receptor RNA activator 1	MmugDNA.32650.1.S1_at	Hs.653135	10011	5
SSR1	BF679286	0.00023	0.00290672	8.940	8.267	8.434	8.393	0.062	0.103	0.032	0.089	8.940	8.267	8.434	8.393	Signal sequence receptor, alpha (translocon-associated protein alpha)	MmugDNA.9896.1.S1_at	Hs.114033	6745	6
SSTR1	R62424	0.009972	0.029931616	6.011	8.073	5.533	5.505	0.378	0.855	0.311	0.159	6.011	8.073	5.533	5.505	Somatostatin receptor 1	MmugDNA.19056.1.S1_at	Hs.248160	6751	14
ST8SIA1	L32867	0.001749	0.009785636	8.625	8.042	7.499	7.001	0.260	0.307	0.093	0.190	8.625	8.042	7.499	7.001	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	MmugDNA.18105.1.S1_at	Hs.408614	6489	12
STAT4	NM_003151	0.00751	0.02483645	7.192	6.663	6.413	6.274	0.191	0.120	0.174	0.142	7.192	6.663	6.413	6.274	Signal transducer and activator of transcription 4	MmugDNA.3505.1.S1_at	Hs.80642	6775	2
STAT5B	BE645861	0.007513	0.024839229	11.329	10.650	10.980	11.005	0.076	0.148	0.141	0.004	11.329	10.650	10.980	11.005	Signal transducer and activator of transcription 5B	MmugDNA.18169.1.S1_at	Hs.714309	6777	17
STAT6	NM_003153	0.000391	0.004009537	8.119	7.748	7.906	7.811	0.042	0.051	0.036	0.047	8.119	7.748	7.906	7.811	Signal transducer and activator of transcription 6, interleukin-4 induced	MmugDNA.3509.1.S1_at	Hs.524518	6778	12
STAT6	NM_003153	0.014676	0.038880751	8.854	8.428	8.488	8.490	0.123	0.083	0.076	0.027	8.854	8.428	8.488	8.490	Signal transducer and activator of transcription 6, interleukin-4 induced	MmugDNA.3509.1.S1_s_at	Hs.524518	6778	12
STK11	AI914604	0.013246	0.03624881	8.416	8.142	8.242	8.387	0.038	0.039	0.082	0.047	8.416	8.142	8.242	8.387	Serine/threonine kinase 11	MmugDNA.19351.1.S1_at	Hs.515005	6794	19
STK11	NM_000455	0.002991	0.013685298	9.458	9.188	9.283	9.276	0.053	0.038	0.035	0.026	9.458	9.188	9.283	9.276	Serine/threonine kinase 11	MmugDNA.3549.1.S1_at	Hs.515005	6794	19
SYK	BF593625	0.001555	0.009091789	7.200	7.729	8.086	8.084	0.127	0.079	0.203	0.092	7.200	7.729	8.086	8.084	Spleen tyrosine kinase	MmugDNA.5213.1.S1_at	Hs.371720	6850	9
TAL1	X51990	0.019211	0.046902899	6.587	6.245	6.328	6.183	0.073	0.092	0.109	0.016	6.587	6.245	6.328	6.183	T-cell acute lymphocytic leukemia 1	MmugDNA.13271.1.S1_at	Hs.709194	6886	1
TBRG1	AI701055	0.006329	0.022090035	9.884	9.475	9.633	9.671	0.018	0.054	0.102	0.055	9.884	9.475	9.633	9.671	Transforming growth factor beta regulator 1	MmugDNA.39854.1.S1_at	Hs.436410	84897	11
TCF7L2	AA664011	0.001537	0.009016204	12.421	12.074	12.222	12.107	0.013	0.079	0.039	0.047	12.421	12.074	12.222	12.107	Transcription factor 7-like 2 (T-cell specific, HMG-box)	MmugDNA.39471.1.S1_s_at	Hs.593995	6934	10
TCF7L2	AI949687	0.000369	0.003875511	12.233	11.895	11.957	11.909	0.026	0.070	0.035	0.024	12.233	11.895	11.957	11.909	Transcription factor 7-like 2 (T-cell specific, HMG-box)	MmugDNA.14620.1.S1_at	Hs.593995	6934	10
TFDP1	NM_007111	0.00098	0.006897485	8.111	8.765	8.489	8.477	0.079	0.077	0.064	0.102	8.111	8.765	8.489	8.477	Transcription factor Dp-1	MmugDNA.3042.1.S1_at	Hs.79353	7027	13
TGFBI	NM_000358	0.001268	0.008052255	10.742	13.591	11.864	11.460	0.372	0.282	0.509	0.310	10.742	13.591	11.864	11.460	Transforming growth factor, beta-induced, 68kDa	MmugDNA.5064.1.S1_at	Hs.369397	7045	5
TIPIN	NM_017858	0.001528	0.008990926	6.986	7.687	7.162	7.273	0.056	0.100	0.151	0.021	6.986	7.687	7.162	7.273	TIMELESS interacting protein	MmugDNA.30164.1.S1_at	Hs.710139	54962	15
TP53I11	NM_006034	0.000046	0.001237481	8.065	8.470	8.888	9.049	0.090	0.160	0.048	0.035	8.065	8.470	8.888	9.049	Tumor protein p53 inducible protein 11	MmugDNA.37944.1.S1_at	Hs.554791	9537	11
TRIM27	AL523814	0.002219	0.011286963	11.111	10.913	10.853	10.843	0.047	0.034	0.045	0.040	11.111	10.913	10.853	10.843	Tripartite motif-containing 27	MmugDNA.39216.1.S1_at	Hs.440382	5987	6
TSHR	BE551097	0.000926	0.006645531	4.509	4.223	4.291	4.188	0.032	0.041	0.045	0.053	4.509	4.223	4.291	4.188	Thyroid stimulating hormone receptor	MmugDNA.796.1.S1_at	Hs.160411	7253	14
TUSC2	BF308548	0.009605	0.029269291	7.763	8.171	8.122	8.148	0.109	0.045	0.077	0.069	7.763	8.171	8.122	8.148	Tumor suppressor candidate 2	MmugDNA.35789.1.S1_s_at	Hs.517981	11334	3
TUSC2	BF308548	0.006904	0.023463127	6.914	7.350	7.347	7.221	0.104	0.058	0.059	0.088	6.914	7.350	7.347	7.221	Tumor suppressor candidate 2	MmugDNA.35789.1.S1_at	Hs.517981	11334	3
TXN	AF313911	0.001487	0.008828727	11.731	12.178	12.049	12.046	0.079	0.039	0.024	0.080	11.731	12.178	12.049	12.046	Thioredoxin	MmugDNA.4158.1.S1_at	Hs.435136	7295	9
UBR5	BF515424	0.000428	0.004225076	10.175	9.798	9.758	9.905	0.073	0.062	0.033	0.024	10.175	9.798	9.758	9.905	Ubiquitin protein ligase E3 component n-recognin 5	MmugDNA.32717.1.S1_at	Hs.591856	51366	8
UBR5	U69567	0.000008	0.000544402	10.551	10.096	10.072	10.154	0.053	0.052	0.025	0.027	10.551	10.096	10.072	10.154	Ubiquitin protein ligase E3 component n-recognin 5	MmugDNA.32715.1.S1_at	Hs.591856	51366	8
UHRF1	AK025578	0.000017	0.0007667	4.413	7.041	4.881	4.857	0.074	0.399	0.216	0.088	4.413	7.041	4.881	4.857	Ubiquitin-like, containing PHD and RING finger domains, 1	MmugDNA.19464.1.S1_at	Hs.108106	29128	19
UHRF2	BF511410	0.000003	0.000359391	10.360	9.864	9.843	9.888	0.021	0.061	0.022	0.046	10.360	9.864	9.843	9.888	Ubiquitin-like, containing PHD and RING finger domains, 2	MmugDNA.38001.1.S1_at	Hs.493401	115426	9
WARS	NM_004184	0.013389	0.036509827	9.904	10.260	10.199	10.168	0.076	0.030	0.048	0.096	9.904	10.260	10.199	10.168	Tryptophanyl-tRNA synthetase	MmugDNA.25634.1.S1_at	Hs.497599	7453	14
WARS	M61715	0.002065	0.010787432	10.471	11.010	10.899	10.782	0.119	0.029	0.057	0.074	10.471	11.010	10.899	10.782	Tryptophanyl-tRNA synthetase	MmugDNA.22837.1.S1_at	Hs.497599	7453	14
ZAK	AF465843	0.000355	0.00377676	8.980	8.515	8.943	8.849	0.065	0.088	0.027	0.022	8.980	8.515	8.943	8.849	Sterile alpha motif and leucine zipper containing kinase AZK	MmugDNA.15629.1.S1_at	Hs.444451	51776	2
ZAP70	AB083211	0.010528	0.031057398	7.524	7.442	7.257	7.038	0.083	0.068	0.078	0.119	7.524	7.442	7.257	7.038	Zeta-chain (TCR) associated protein kinase 70kDa	MmugDNA.19140.1.S1_at	Hs.234569	7535	2
ZEB1	NM_030751	0.001264	0.008035728	8.494	7.311	7.919	7.976	0.251	0.116	0.073	0.100	8.494	7.311	7.919	7.976	Zinc finger E-box binding homeobox 1	MmugDNA.1154.1.S1_at	Hs.124503	6935	10
-	BC003355	0.000025	0.000911292	10.584	11.032	11.546	11.745	0.056	0.103	0.085	0.159	10.584	11.032	11.546	11.745	laminin, alpha 5	MmugDNA.6074.1.S1_at	-	3911	-
-	NM_015928	0.008414	0.026801054	11.231	11.527	11.440	11.184	0.060	0.070	0.077	0.055	11.231	11.527	11.440	11.184	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)	MmugDNA.33780.1.S1_at	-	23047	-
-	AF123570	0.016216	0.041672128	5.645	5.905	5.982	5.627	0.081	0.108	0.082	0.021	5.645	5.905	5.982	5.627	neurofibromin 2 (merlin)	MmugDNA.40014.1.S1_at	-	4771	-
-	X95152	0.00181	0.009995633	4.654	5.205	4.584	4.638	0.096	0.100	0.101	0.082	4.654	5.205	4.584	4.638	breast cancer 2, early onset	MmugDNA.41929.1.S1_at	-	675	-
-	S82592	0.007164	0.024062378	5.647	6.706	6.511	6.546	0.090	0.242	0.192	0.191	5.647	6.706	6.511	6.546	ecotropic viral integration site 1	MmugDNA.18742.1.S1_at	-	2122	-
-	NM_018123	0.000123	0.002053065	4.018	4.844	4.041	4.222	0.060	0.137	0.051	0.099	4.018	4.844	4.041	4.222	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	MmugDNA.5265.1.S1_at	-	259266	-
-	S67779	0.015526	0.040466122	9.435	8.834	9.201	9.080	0.124	0.160	0.057	0.061	9.435	8.834	9.201	9.080	B-cell CLL/lymphoma 6 (zinc finger protein 51)	MmugDNA.3948.1.S1_at	-	604	-
-	AF122828	0.002564	0.012415698	5.484	6.079	5.816	5.849	0.077	0.092	0.113	0.028	5.484	6.079	5.816	5.849	neurofibromin 2 (merlin)	MmugDNA.40012.1.S1_at	-	4771	-
-	AP_000693	0.000059	0.001416554	9.996	9.560	9.494	9.482	0.027	0.082	0.020	0.064	9.996	9.560	9.494	9.482	MORC family CW-type zinc finger 3	MmugDNA.12900.1.S1_at	-	23515	-
-	AF208043	0.009235	0.028541139	11.515	11.034	11.004	10.975	0.035	0.166	0.111	0.045	11.515	11.034	11.004	10.975	interferon, gamma-inducible protein 16	MmugDNA.42447.1.S1_s_at	-	3428	-
-	K03199	0.001132	0.007551372	6.703	7.667	7.056	6.929	0.109	0.202	0.107	0.027	6.703	7.667	7.056	6.929	tumor protein p53	MmugDNA.27541.1.S1_at	-	7157	-
-	J05008	0.006553	0.022631464	8.356	7.267	7.755	7.289	0.174	0.204	0.158	0.242	8.356	7.267	7.755	7.289	endothelin 1	MmugDNA.24783.1.S1_at	-	1906	-
