in_house ID	RefSeq ID	annotation
GS2147	NM_006012	Homo sapiens ClpP caseinolytic protease, ATP-dependent, proteolyticsubunit homolog (E. coli) (CLPP), nuclear gene encodingmitochondrial protein, mRNA.
GS110	NM_000982	Homo sapiens ribosomal protein L21 (RPL21), mRNA.
GS3724	NM_024509	Homo sapiens hypothetical protein MGC2656 (MGC2656), mRNA.
GS61	NM_000986	Homo sapiens ribosomal protein L24 (RPL24), mRNA.
GS15173	NM_024681	Homo sapiens hypothetical protein FLJ12242 (FLJ12242), mRNA.
GS7986	NM_024316	Homo sapiens leukocyte receptor cluster (LRC) member 1 (LENG1),mRNA.
GS2667	NA	NA
GS9410	NM_005682	Homo sapiens G protein-coupled receptor 56 (GPR56), mRNA.
GS7418	NM_018986	Homo sapiens hypothetical protein FLJ20356 (FLJ20356), mRNA.
GS11081	NM_012267	Homo sapiens hsp70-interacting protein (HSPBP1), mRNA.
GS2835	NM_024292	Homo sapiens ubiquitin-like 5 (UBL5), mRNA.
GS1151	NM_002539	Homo sapiens ornithine decarboxylase 1 (ODC1), mRNA.
GS14779	NM_003107	Homo sapiens SRY (sex determining region Y)-box 4 (SOX4), mRNA.
GS3784	NM_024324	Homo sapiens hypothetical protein MGC11256 (MGC11256), mRNA.
GS2954	NM_014873	Homo sapiens KIAA0205 gene product (KIAA0205), mRNA.
GS7741	NA	NA
GS3317	NM_006423	Homo sapiens Rab acceptor 1 (prenylated) (RABAC1), mRNA.
GS1683	NM_021034	Homo sapiens interferon induced transmembrane protein 3 (1-8U)(IFITM3), mRNA.
GS2547	NM_005327	Homo sapiens L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain(HADHSC), mRNA.
GS2810	NM_033301	Homo sapiens ribosomal protein L8 (RPL8), transcript variant 2,mRNA.
GS643	NM_002948	Homo sapiens ribosomal protein L15 (RPL15), mRNA.
GS411	NM_001007	Homo sapiens ribosomal protein S4, X-linked (RPS4X), mRNA.
GS993	NA	NA
GS14902	NM_014096	Homo sapiens likely ortholog of mouse embryonic epithelial gene 1(EEG1), mRNA.
GS4626	NM_013392	Homo sapiens nuclear receptor binding protein (NRBP), mRNA.
GS11641	NA	NA
GS5276	NM_016222	Homo sapiens DEAD-box protein abstrakt (ABS), mRNA.
GS15668	NM_003646	Homo sapiens diacylglycerol kinase, zeta 104kDa (DGKZ), mRNA.
GS4538	NM_006702	Homo sapiens neuropathy target esterase (NTE), mRNA.
GS2036	NM_000181	Homo sapiens glucuronidase, beta (GUSB), mRNA.
GS15011	NA	NA
GS538	NM_003973	Homo sapiens ribosomal protein L14 (RPL14), mRNA.
GS7329	NM_020381	Homo sapiens candidate tumor suppressor protein (LOC57107), mRNA.
GS3127	NM_022833	Homo sapiens hypothetical protein DKFZp434H0820 (DKFZP434H0820),mRNA.
GS3253	NM_006398	Homo sapiens ubiquitin D (UBD), mRNA.
GS13884	NM_012111	Homo sapiens chromosome 14 open reading frame 3 (C14orf3), mRNA.
GS3921	NM_006401	Homo sapiens acidic (leucine-rich) nuclear phosphoprotein 32family, member B (ANP32B), mRNA.
GS7742	NA	NA
GS243	NM_004048	Homo sapiens beta-2-microglobulin (B2M), mRNA.
GS12458	NM_000178	Homo sapiens glutathione synthetase (GSS), mRNA.
GS8237	NM_006267	Homo sapiens RAN binding protein 2 (RANBP2), mRNA.
GS2722	NA	NA
GS3224	NM_006697	Homo sapiens cisplatin resistance associated (CRA), mRNA.
GS3460	NM_002157	Homo sapiens heat shock 10kDa protein 1 (chaperonin 10) (HSPE1),mRNA.
GS3680	NM_018589	Homo sapiens hypothetical protein PRO1635 (PRO1635), mRNA.
GS15803	NM_004953	Homo sapiens eukaryotic translation initiation factor 4 gamma, 1(EIF4G1), mRNA.
GS2923	NM_006156	Homo sapiens neural precursor cell expressed, developmentallydown-regulated 8 (NEDD8), mRNA.
GS1523	NM_015224	Homo sapiens KIAA1105 protein (RAP140), mRNA.
GS2308	NM_003146	Homo sapiens structure specific recognition protein 1 (SSRP1), mRNA.
GS1252	NM_002212	Homo sapiens integrin beta 4 binding protein (ITGB4BP), mRNA.
GS11146	NM_024329	Homo sapiens hypothetical protein MGC4342 (MGC4342), mRNA.
GS4533	NM_032350	Homo sapiens hypothetical protein MGC11257 (MGC11257), mRNA.
GS3943	NM_018683	Homo sapiens zinc finger protein 313 (ZNF313), mRNA.
GS12422	NM_001834	Homo sapiens clathrin, light polypeptide (Lcb) (CLTB), transcriptvariant nonbrain, mRNA.
GS11942	NM_002709	Homo sapiens protein phosphatase 1, catalytic subunit, beta isoform(PPP1CB), mRNA.
GS489	NM_006013	Homo sapiens ribosomal protein L10 (RPL10), mRNA.
GS12675	NM_148921	Homo sapiens epsin 2 (EPN2), transcript variant 1, mRNA.
GS1140	NM_006826	Homo sapiens tyrosine 3-monooxygenase/tryptophan 5-monooxygenaseactivation protein, theta polypeptide (YWHAQ), mRNA.
GS3254	NM_007103	Homo sapiens NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa(NDUFV1), mRNA.
GS1089	NM_005719	Homo sapiens actin related protein 2/3 complex, subunit 3, 21kDa(ARPC3), mRNA.
GS7926	NM_032327	Homo sapiens likely ortholog of mouse Abl-philin 2 (APH2), mRNA.
GS7451	NM_080822	Homo sapiens candidate tumor suppressor OVCA2 (OVCA2), mRNA.
GS11448	NM_014765	Homo sapiens translocase of outer mitochondrial membrane 20 (yeast)homolog (KIAA0016), mRNA.
GS239	NM_006294	Homo sapiens ubiquinol-cytochrome c reductase binding protein(UQCRB), mRNA.
GS15000	NM_024946	Homo sapiens NEFA-interacting nuclear protein NIP30 (NIP30), mRNA.
GS1064	NM_030673	Homo sapiens SEC13-like 1 (S. cerevisiae) (SEC13L1), mRNA.
GS4078	NA	NA
GS6383	NA	NA
GS324	NM_003333	Homo sapiens ubiquitin A-52 residue ribosomal protein fusionproduct 1 (UBA52), mRNA.
GS5569	NM_001901	Homo sapiens connective tissue growth factor (CTGF), mRNA.
GS3043	NM_002354	Homo sapiens tumor-associated calcium signal transducer 1 (TACSTD1),mRNA.
GS654	NM_021976	Homo sapiens retinoid X receptor, beta (RXRB), mRNA.
GS15507	NM_019023	Homo sapiens hypothetical protein FLJ10640 (FLJ10640), mRNA.
GS6800	NM_016201	Homo sapiens angiomotin like 2 (AMOTL2), mRNA.
GS4760	NA	NA
GS6783	NM_001387	Homo sapiens dihydropyrimidinase-like 3 (DPYSL3), mRNA.
GS5389	NM_016131	Homo sapiens RAB10, member RAS oncogene family (RAB10), mRNA.
GS15147	NM_002884	Homo sapiens RAP1A, member of RAS oncogene family (RAP1A), mRNA.
GS10310	NM_032635	Homo sapiens seven transmembrane domain protein (NIFIE14), mRNA.
GS3591	NA	NA
GS4668	NM_013974	Homo sapiens dimethylarginine dimethylaminohydrolase 2 (DDAH2), mRNA.
GS6637	NG_000012	Homo sapiens genomic protocadherin gamma cluster (PCDHG@) on chromosome5.
GS330	NM_002300	Homo sapiens lactate dehydrogenase B (LDHB), mRNA.
GS15426	NA	NA
GS690	NM_002065	Homo sapiens glutamate-ammonia ligase (glutamine synthase) (GLUL),mRNA.
GS4060	NM_170752	Homo sapiens chromodomain protein, Y chromosome-like (CDYL),transcript variant 3, mRNA.
GS6996	NA	NA
GS6498	NM_005163	Homo sapiens v-akt murine thymoma viral oncogene homolog 1 (AKT1),mRNA.
GS13396	NM_015914	Homo sapiens hypothetical protein LOC51061 (LOC51061), mRNA.
GS8927	NM_013411	Homo sapiens adenylate kinase 2 (AK2), nuclear gene encodingmitochondrial protein, transcript variant AK2B, mRNA.
GS4768	NA	NA
GS3999	NA	NA
GS2380	NM_003119	Homo sapiens spastic paraplegia 7, paraplegin (pure and complicatedautosomal recessive) (SPG7), mRNA.
GS12377	NA	NA
GS2268	NM_003350	Homo sapiens ubiquitin-conjugating enzyme E2 variant 2 (UBE2V2),mRNA.
GS13840	NM_032601	Homo sapiens methylmalonyl CoA epimerase (MCEE), mRNA.
GS15881	NM_001998	Homo sapiens fibulin 2 (FBLN2), mRNA.
GS4647	NA	NA
GS14713	NM_003235	Homo sapiens thyroglobulin (TG), mRNA.
GS15849	NM_133325	Homo sapiens PHD zinc finger protein XAP135 (XAP135), transcriptvariant 2, mRNA.
GS15688	NM_012198	Homo sapiens grancalcin, EF-hand calcium binding protein (GCA),mRNA.
GS7376	NM_014448	Homo sapiens Rho guanine exchange factor (GEF) 16 (ARHGEF16), mRNA.
GS492	NA	NA
GS6350	NM_006230	Homo sapiens polymerase (DNA directed), delta 2, regulatory subunit50kDa (POLD2), mRNA.
GS589	NA	NA
GS1813	NM_001685	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0 complex,subunit F6 (ATP5J), nuclear gene encoding mitochondrialprotein, mRNA.
GS2998	NM_013230	Homo sapiens CD24 antigen (small cell lung carcinoma cluster 4antigen) (CD24), mRNA.
GS4353	NM_014399	Homo sapiens transmembrane 4 superfamily member tetraspan NET-6(NET-6), mRNA.
GS3119	NM_003641	Homo sapiens interferon induced transmembrane protein 1 (9-27)(IFITM1), mRNA.
GS416	NM_001567	Homo sapiens inositol polyphosphate phosphatase-like 1 (INPPL1),mRNA.
GS775	NA	NA
GS2144	NM_003500	Homo sapiens acyl-Coenzyme A oxidase 2, branched chain (ACOX2), mRNA.
GS15566	NM_005533	Homo sapiens interferon-induced protein 35 (IFI35), mRNA.
GS4294	NM_004593	Homo sapiens splicing factor, arginine/serine-rich 10 (transformer 2homolog, Drosophila) (SFRS10), mRNA.
GS15672	NM_016510	Homo sapiens putative selenocysteine lyase (SCLY), mRNA.
GS1785	NM_002567	Homo sapiens prostatic binding protein (PBP), mRNA.
GS15728	NM_004706	Homo sapiens Rho guanine nucleotide exchange factor (GEF) 1(ARHGEF1), mRNA.
GS4657	NM_033453	Homo sapiens inosine triphosphatase (nucleoside triphosphatepyrophosphatase) (ITPA), mRNA.
GS15316	NM_003107	Homo sapiens SRY (sex determining region Y)-box 4 (SOX4), mRNA.
GS7199	NM_005574	Homo sapiens LIM domain only 2 (rhombotin-like 1) (LMO2), mRNA.
GS15079	NM_020313	Homo sapiens hypothetical protein LOC57019 (LOC57019), mRNA.
GS13057	NM_021914	Homo sapiens cofilin 2 (muscle) (CFL2), mRNA.
GS7768	NA	NA
GS4433	NM_001416	Homo sapiens eukaryotic translation initiation factor 4A, isoform 1(EIF4A1), mRNA.
GS6870	NM_005174	Homo sapiens ATP synthase, H+ transporting, mitochondrial F1complex, gamma polypeptide 1 (ATP5C1), mRNA.
GS15615	NA	NA
GS8442	NM_170711	Homo sapiens DAZ associated protein 1 (DAZAP1), transcript variant 1,mRNA.
GS949	NA	NA
GS15855	NM_138794	Homo sapiens hypothetical protein BC016711 (LOC127018), mRNA.
GS11962	NM_021129	Homo sapiens pyrophosphatase (inorganic) (PP), nuclear gene encodingmitochondrial protein, mRNA.
GS197	NM_000445	Homo sapiens plectin 1, intermediate filament binding protein 500kDa(PLEC1), mRNA.
GS3013	NM_000918	Homo sapiens procollagen-proline, 2-oxoglutarate 4-dioxygenase(proline 4-hydroxylase), beta polypeptide (proteindisulfide isomerase; thyroid hormone binding protein p55)(P4HB), mRNA.
GS6488	NM_007099	Homo sapiens acid phosphatase 1, soluble (ACP1), transcript variantb, mRNA.
GS3739	NM_016199	Homo sapiens U6 snRNA-associated Sm-like protein LSm7 (LSM7), mRNA.
GS4414	NM_006360	Homo sapiens dendritic cell protein (GA17), mRNA.
GS5905	NM_001903	Homo sapiens catenin (cadherin-associated protein), alpha 1, 102kDa(CTNNA1), mRNA.
GS2431	NA	NA
GS5567	NM_004965	Homo sapiens high-mobility group nucleosome binding domain 1 (HMGN1),mRNA.
GS4579	NM_002473	Homo sapiens myosin, heavy polypeptide 9, non-muscle (MYH9), mRNA.
GS13686	NM_015847	Homo sapiens methyl-CpG binding domain protein 1 (MBD1), transcriptvariant PCM1, mRNA.
GS8315	NM_001152	Homo sapiens solute carrier family 25 (mitochondrial carrier; adeninenucleotide translocator), member 5 (SLC25A5), nucleargene encoding mitochondrial protein, mRNA.
GS4573	NM_016397	Homo sapiens TH1-like (Drosophila) (TH1L), mRNA.
GS9792	NM_004047	Homo sapiens ATPase, H+ transporting, lysosomal 21kDa, V0 subunitc (ATP6V0B), mRNA.
GS3884	NM_005979	Homo sapiens S100 calcium binding protein A13 (S100A13), mRNA.
GS4807	NM_006601	Homo sapiens unactive progesterone receptor, 23 kD (TEBP), mRNA.
GS10397	NM_014669	Homo sapiens KIAA0095 gene product (KIAA0095), mRNA.
GS1057	NM_002074	Homo sapiens guanine nucleotide binding protein (G protein), betapolypeptide 1 (GNB1), mRNA.
GS6706	NM_001172	Homo sapiens arginase, type II (ARG2), nuclear gene encodingmitochondrial protein, mRNA.
GS2343	NM_033296	Homo sapiens T-cell activation protein (PGR1), mRNA.
GS15248	NM_001025	Homo sapiens ribosomal protein S23 (RPS23), mRNA.
GS1353	NA	NA
GS1761	NM_006899	Homo sapiens isocitrate dehydrogenase 3 (NAD+) beta (IDH3B), mRNA.
GS1897	NM_133491	Homo sapiens polyamine N-acetyltransferase (SSAT2), mRNA.
GS4694	NM_006216	Homo sapiens serine (or cysteine) proteinase inhibitor, clade E(nexin, plasminogen activator inhibitor type 1), member 2(SERPINE2), mRNA.
GS1870	NA	NA
GS1008	NM_002107	Homo sapiens H3 histone, family 3A (H3F3A), mRNA.
GS9675	NM_019610	Homo sapiens hypothetical protein 669 (LOC56267), mRNA.
GS8421	NM_005186	Homo sapiens calpain 1, (mu/I) large subunit (CAPN1), mRNA.
GS2505	NM_015535	Homo sapiens DKFZP564A2416 protein (DKFZP564A2416), mRNA.
GS3506	NM_032413	Homo sapiens normal mucosa of esophagus specific 1 (NMES1), mRNA.
GS6987	NM_024040	Homo sapiens hypothetical protein MGC2491 (MGC2491), mRNA.
GS15440	NM_006035	Homo sapiens CDC42 binding protein kinase beta (DMPK-like)(CDC42BPB), mRNA.
GS14862	NM_007276	Homo sapiens chromobox homolog 3 (HP1 gamma homolog, Drosophila)(CBX3), transcript variant 1, mRNA.
GS3838	NM_005439	Homo sapiens myeloid leukemia factor 2 (MLF2), mRNA.
GS874	NM_001743	Homo sapiens calmodulin 2 (phosphorylase kinase, delta) (CALM2),mRNA.
GS1548	NM_006096	Homo sapiens N-myc downstream regulated gene 1 (NDRG1), mRNA.
GS1838	NM_014367	Homo sapiens hypothetical protein, estradiol-induced (E2IG5), mRNA.
GS441	NM_016053	Homo sapiens CGI-116 protein (CGI-116), mRNA.
GS12793	NM_033010	Homo sapiens poly(rC) binding protein 4 (PCBP4), transcript variant4, mRNA.
GS15062	NM_000600	Homo sapiens interleukin 6 (interferon, beta 2) (IL6), mRNA.
GS3651	NM_002208	Homo sapiens integrin, alpha E (antigen CD103, human mucosallymphocyte antigen 1; alpha polypeptide) (ITGAE), mRNA.
GS3553	NM_003906	Homo sapiens MCM3 minichromosome maintenance deficient 3 (S.cerevisiae) associated protein (MCM3AP), mRNA.
GS12161	NA	NA
GS15815	NM_005273	Homo sapiens guanine nucleotide binding protein (G protein), betapolypeptide 2 (GNB2), mRNA.
GS15115	NM_020360	Homo sapiens phospholipid scramblase 3 (PLSCR3), mRNA.
GS2553	NM_080861	Homo sapiens SPRY domain-containing SOCS box protein SSB-3 (SSB3),mRNA.
GS2283	NM_020130	Homo sapiens chromosome 8 open reading frame 4 (C8orf4), mRNA.
GS15285	NM_005109	Homo sapiens oxidative-stress responsive 1 (OSR1), mRNA.
GS6436	NM_002856	Homo sapiens poliovirus receptor-related 2 (herpesvirus entrymediator B) (PVRL2), mRNA.
GS3022	NM_004911	Homo sapiens protein disulfide isomerase related protein(calcium-binding protein, intestinal-related) (ERP70),mRNA.
GS2271	NM_015710	Homo sapiens glioma tumor suppressor candidate region gene 2(GLTSCR2), mRNA.
GS15784	NA	NA
GS3729	NM_080821	Homo sapiens chromosome 20 open reading frame 108 (C20orf108), mRNA.
GS4911	NM_033408	Homo sapiens hypothetical protein MBC3205 (MBC3205), mRNA.
GS4735	NM_021978	Homo sapiens suppression of tumorigenicity 14 (colon carcinoma,matriptase, epithin) (ST14), mRNA.
GS7993	NM_139323	Homo sapiens tyrosine 3-monooxygenase/tryptophan 5-monooxygenaseactivation protein, beta polypeptide (YWHAB), transcriptvariant 2, mRNA.
GS4523	NM_153201	Homo sapiens heat shock 70kDa protein 8 (HSPA8), transcript variant2, mRNA.
GS802	NA	NA
GS12304	NM_031901	Homo sapiens mitochondrial ribosomal protein S21 (MRPS21),transcript variant 1, nuclear gene encodingmitochondrial protein, mRNA.
GS14308	NM_032478	Homo sapiens mitochondrial ribosomal protein L38 (MRPL38), nucleargene encoding mitochondrial protein, mRNA.
GS14822	NA	NA
GS15806	NM_007375	Homo sapiens TAR DNA binding protein (TARDBP), mRNA.
GS15429	NM_152705	Homo sapiens hypothetical protein MGC9850 (MGC9850), mRNA.
LT51	U50410	heparan sulphate proteoglycan (OCI5) mRNA
GS5328	NA	NA
GS6929	NA	NA
GS15780	NM_002811	Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase,7 (Mov34 homolog) (PSMD7), mRNA.
GS15159	NM_002916	Homo sapiens replication factor C (activator 1) 4, 37kDa (RFC4),mRNA.
GS1409	NM_000998	Homo sapiens ribosomal protein L37a (RPL37A), mRNA.
GS1816	NM_014294	Homo sapiens translocating chain-associating membrane protein (TRAM),mRNA.
GS2993	NM_014402	Homo sapiens low molecular mass ubiquinone-binding protein (9.5kD)(QP-C), mRNA.
GS15263	NA	NA
GS2065	NM_017510	Homo sapiens gp25L2 protein (HSGP25L2G), mRNA.
GS12351	NM_004396	Homo sapiens DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 5 (RNAhelicase, 68kDa) (DDX5), mRNA.
LT59	AF093774	type 2 iodothyronine deiodinase mRNA
GS3207	NM_001527	Homo sapiens histone deacetylase 2 (HDAC2), mRNA.
GS4447	NM_005255	Homo sapiens cyclin G associated kinase (GAK), mRNA.
GS15411	NM_006620	Homo sapiens HBS1-like (S. cerevisiae) (HBS1L), mRNA.
GS4528	NA	NA
GS103	NM_001022	Homo sapiens ribosomal protein S19 (RPS19), mRNA.
GS3849	NA	NA
GS1825	NM_005271	Homo sapiens glutamate dehydrogenase 1 (GLUD1), mRNA.
GS7231	NM_016306	Homo sapiens DnaJ (Hsp40) homolog, subfamily B, member 11 (DNAJB11),mRNA.
GS13455	NM_000203	Homo sapiens iduronidase, alpha-L- (IDUA), mRNA.
GS1379	NM_006289	Homo sapiens talin 1 (TLN1), mRNA.
LT98	NM_000633	BCL2(B-cell lymphoma protein 2 alpha)
GS899	NM_001018	Homo sapiens ribosomal protein S15 (RPS15), mRNA.
GS6502	NM_016946	Homo sapiens junctional adhesion molecule 1 (JAM1), transcriptvariant 1, mRNA.
GS14754	NM_001521	Homo sapiens general transcription factor IIIC, polypeptide 2, beta110kDa (GTF3C2), mRNA.
GS4085	NM_000611	Homo sapiens CD59 antigen p18-20 (antigen identified by monoclonalantibodies 16.3A5, EJ16, EJ30, EL32 and G344) (CD59),mRNA.
GS11750	NM_022830	Homo sapiens hypothetical protein FLJ22347 (FLJ22347), mRNA.
GS15835	NM_033019	Homo sapiens PCTAIRE protein kinase 1 (PCTK1), transcript variant 3,mRNA.
GS12144	NM_004364	Homo sapiens CCAAT/enhancer binding protein (C/EBP), alpha (CEBPA),mRNA.
GS11675	NM_153477	Homo sapiens ubiquitously-expressed transcript (UXT), transcriptvariant 1, mRNA.
GS1102	NG_000008	Homo sapiens cytochrome P450, subfamily IIA (phenobarbital-inducible)(CYP2A) on chromosome 19.
GS443	NM_004539	Homo sapiens asparaginyl-tRNA synthetase (NARS), mRNA.
GS4287	NM_024320	Homo sapiens hypothetical protein MGC11242 (MGC11242), mRNA.
GS1329	NM_005252	Homo sapiens v-fos FBJ murine osteosarcoma viral oncogene homolog(FOS), mRNA.
GS2335	NM_007310	Homo sapiens catechol-O-methyltransferase (COMT), transcriptvariant S-COMT, mRNA.
GS13243	NM_017916	Homo sapiens hypothetical protein FLJ20643 (FLJ20643), mRNA.
GS3006	NM_000224	Homo sapiens keratin 18 (KRT18), mRNA.
GS15304	NM_001306	Homo sapiens claudin 3 (CLDN3), mRNA.
GS2947	NM_030789	Homo sapiens histocompatibility (minor) 13 (HM13), mRNA.
GS4747	NA	NA
GS13943	NM_015913	Homo sapiens thioredoxin-like protein p19 (TLP19), mRNA.
GS1401	NM_005646	Homo sapiens TAR (HIV) RNA binding protein 1 (TARBP1), mRNA.
GS8423	NM_017689	Homo sapiens hypothetical protein FLJ20151 (FLJ20151), mRNA.
GS12251	NM_138387	Homo sapiens hypothetical protein BC002494 (LOC92579), mRNA.
GS4971	NM_002950	Homo sapiens ribophorin I (RPN1), mRNA.
GS1880	NM_015966	Homo sapiens serologically defined breast cancer antigen 84(SDBCAG84), mRNA.
GS6724	NM_025084	Homo sapiens hypothetical protein FLJ22795 (FLJ22795), mRNA.
GS8029	NM_006513	Homo sapiens seryl-tRNA synthetase (SARS), mRNA.
GS2019	NM_002793	Homo sapiens proteasome (prosome, macropain) subunit, beta type, 1(PSMB1), mRNA.
GS12417	NM_006761	Homo sapiens tyrosine 3-monooxygenase/tryptophan 5-monooxygenaseactivation protein, epsilon polypeptide (YWHAE), mRNA.
GS14977	NM_006373	Homo sapiens vesicle amine transport protein 1 homolog (Tcalifornica) (VAT1), mRNA.
GS3424	NM_017830	Homo sapiens ovarian carcinoma immunoreactive antigen (OCIA), mRNA.
GS2298	NM_053047	Homo sapiens hypothetical protein MGC16063 (MGC16063), mRNA.
GS15468	NM_003077	Homo sapiens SWI/SNF related, matrix associated, actin dependentregulator of chromatin, subfamily d, member 2 (SMARCD2),mRNA.
GS6823	NM_004907	Homo sapiens immediate early protein (ETR101), mRNA.
GS15469	NM_001402	Homo sapiens eukaryotic translation elongation factor 1 alpha 1(EEF1A1), mRNA.
GS2737	NM_013417	Homo sapiens isoleucine-tRNA synthetase (IARS), transcript variantlong, mRNA.
GS12129	NM_152516	Homo sapiens copper metabolism gene MURR1 (MURR1), mRNA.
GS3853	NM_004477	Homo sapiens FSHD region gene 1 (FRG1), mRNA.
GS7177	NM_007007	Homo sapiens cleavage and polyadenylation specific factor 6, 68kDa(CPSF6), mRNA.
GS3828	NM_002913	Homo sapiens replication factor C (activator 1) 1, 145kDa (RFC1),mRNA.
GS5316	NM_002870	Homo sapiens RAB13, member RAS oncogene family (RAB13), mRNA.
GS15123	NM_002180	Homo sapiens immunoglobulin mu binding protein 2 (IGHMBP2), mRNA.
GS15343	NM_016489	Homo sapiens 5-nucleotidase, cytosolic III (NT5C3), mRNA.
GS14409	NM_018253	Homo sapiens YY1 associated protein (YAP), transcript variant 1,mRNA.
GS1555	NM_152612	Homo sapiens hypothetical protein FLJ36046 (FLJ36046), mRNA.
GS2140	NA	NA
GS15193	NM_032175	Homo sapiens hypothetical protein FLJ12787 (FLJ12787), mRNA.
GS7516	NM_020155	Homo sapiens chromosome 11 hypothetical protein ORF4 (C11ORF4), mRNA.
GS15562	NM_002657	Homo sapiens pleiomorphic adenoma gene-like 2 (PLAGL2), mRNA.
GS2141	NM_005850	Homo sapiens splicing factor 3b, subunit 4, 49kDa (SF3B4), mRNA.
GS3469	NM_001568	Homo sapiens eukaryotic translation initiation factor 3, subunit 648kDa (EIF3S6), mRNA.
GS10478	NA	NA
GS4332	NM_002951	Homo sapiens ribophorin II (RPN2), mRNA.
GS3953	NM_018838	Homo sapiens 13kDa differentiation-associated protein (DAP13),mRNA.
LT112	NM_000077	CDKN2A(cyclin-dependent kinase inhibitor 2A, isoform 1)
GS3294	NM_004753	Homo sapiens short-chain dehydrogenase/reductase 1 (SDR1), mRNA.
GS1851	NM_000090	Homo sapiens collagen, type III, alpha 1 (Ehlers-Danlos syndrome typeIV, autosomal dominant) (COL3A1), mRNA.
GS15494	NM_014078	Homo sapiens mitochondrial ribosomal protein L13 (MRPL13), nucleargene encoding mitochondrial protein, mRNA.
GS3245	NM_003329	Homo sapiens thioredoxin (TXN), mRNA.
GS15151	NM_019852	Homo sapiens putative methyltransferase (M6A), mRNA.
GS9671	NM_004442	Homo sapiens EphB2 (EPHB2), transcript variant 2, mRNA.
GS2766	NM_025075	Homo sapiens hypothetical protein FLJ23445 (FLJ23445), mRNA.
GS4857	NM_001641	Homo sapiens APEX nuclease (multifunctional DNA repair enzyme) 1(APEX1), transcript variant 1, mRNA.
GS4702	NM_000282	Homo sapiens propionyl Coenzyme A carboxylase, alpha polypeptide(PCCA), nuclear gene encoding mitochondrial protein,mRNA.
GS205	NM_018294	Homo sapiens hypothetical protein FLJ10998 (FLJ10998), mRNA.
GS15872	NM_000988	Homo sapiens ribosomal protein L27 (RPL27), mRNA.
GS1174	NM_020524	Homo sapiens hematopoietic PBX-interacting protein (HPIP), mRNA.
GS2813	NM_000852	Homo sapiens glutathione S-transferase pi (GSTP1), mRNA.
GS15555	NM_002266	Homo sapiens karyopherin alpha 2 (RAG cohort 1, importin alpha 1)(KPNA2), mRNA.
GS15857	NM_139353	Homo sapiens TATA box binding protein (TBP)-associated factor, RNApolymerase I, C, 110kDa (TAF1C), transcript variant 2,mRNA.
GS13045	NM_003405	Homo sapiens tyrosine 3-monooxygenase/tryptophan 5-monooxygenaseactivation protein, eta polypeptide (YWHAH), mRNA.
GS3003	NM_006406	Homo sapiens peroxiredoxin 4 (PRDX4), mRNA.
GS7266	NM_016404	Homo sapiens hypothetical protein HSPC152 (HSPC152), mRNA.
GS14913	NM_001555	Homo sapiens immunoglobulin superfamily, member 1 (IGSF1), mRNA.
GS2231	NM_003001	Homo sapiens succinate dehydrogenase complex, subunit C, integralmembrane protein, 15kDa (SDHC), nuclear gene encodingmitochondrial protein, mRNA.
GS679	NM_003094	Homo sapiens small nuclear ribonucleoprotein polypeptide E (SNRPE),mRNA.
GS4681	NM_013943	Homo sapiens chloride intracellular channel 4 (CLIC4), mRNA.
GS3924	NM_013449	Homo sapiens bromodomain adjacent to zinc finger domain, 2A (BAZ2A),mRNA.
GS1067	NM_020424	Homo sapiens hypothetical protein A-211C6.1 (LOC57149), mRNA.
GS2943	NM_002798	Homo sapiens proteasome (prosome, macropain) subunit, beta type, 6(PSMB6), mRNA.
GS3175	NM_014413	Homo sapiens heme-regulated initiation factor 2-alpha kinase (HRI),mRNA.
GS3240	NM_001780	Homo sapiens CD63 antigen (melanoma 1 antigen) (CD63), mRNA.
GS3919	NM_012256	Homo sapiens zinc finger protein 212 (ZNF212), mRNA.
GS715	NG_000002	Homo sapiens immunoglobulin lambda locus (IGL@) on chromosome 22.
GS7816	NM_014593	Homo sapiens CpG binding protein (CGBP), mRNA.
GS7478	NM_002806	Homo sapiens proteasome (prosome, macropain) 26S subunit, ATPase, 6(PSMC6), mRNA.
LT16	NM_006879	mouse double minute 2 homolog isoform MDM2b
GS189	NM_015449	Homo sapiens NICE-3 protein (NICE-3), mRNA.
GS5246	NA	NA
GS4781	NA	NA
GS3310	NM_016576	Homo sapiens guanosine monophosphate reductase 2 (GMPR2), mRNA.
GS815	NM_001005	Homo sapiens ribosomal protein S3 (RPS3), mRNA.
GS3375	NM_019025	Homo sapiens chromosome 20 open reading frame 16 (C20orf16), mRNA.
GS15654	NM_024591	Homo sapiens hypothetical protein FLJ11749 (FLJ11749), mRNA.
GS11116	NM_005105	Homo sapiens RNA binding motif protein 8A (RBM8A), mRNA.
GS3249	NM_014390	Homo sapiens EBNA-2 co-activator (100kD) (p100), mRNA.
GS3125	NM_139267	Homo sapiens START domain containing 7 (STARD7), transcript variant2, mRNA.
GS207	NM_020239	Homo sapiens small protein effector 1 of Cdc42 (SPEC1), mRNA.
GS2535	NA	NA
