Probe SetID	Gene Symbol	Gene Title
221012_s_at	TRIM8	egl nine homolog 2 (C. elegans)
221046_s_at	GTPBP8	tripartite motif-containing 8
221059_s_at	COTL1	GTP-binding protein 8 (putative)
221139_s_at	CSAD	coactosin-like 1 (Dictyostelium)
221203_s_at	YEATS2	cysteine sulfinic acid decarboxylase
221215_s_at	RIPK4	YEATS domain containing 2
221223_x_at	CISH	receptor-interacting serine-threonine kinase 4
221253_s_at	TXNDC5	cytokine inducible SH2-containing protein
221272_s_at	C1orf21	thioredoxin domain containing 5 (endoplasmic reticulum)
221276_s_at	SYNC	chromosome 1 open reading frame 21
221277_s_at	PUS3	syncoilin, intermediate filament protein
221436_s_at	CDCA3	pseudouridylate synthase 3
221472_at	SERINC3	cell division cycle associated 3
221477_s_at	SOD2	serine incorporator 3
221505_at	ANP32E	superoxide dismutase 2, mitochondrial
221510_s_at	GLS	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E
221516_s_at	SMCR7L	glutaminase
221520_s_at	CDCA8	Smith-Magenis syndrome chromosome region, candidate 7-like
221523_s_at	RRAGD	cell division cycle associated 8
221524_s_at	RRAGD	Ras-related GTP binding D
221562_s_at	SIRT3	Ras-related GTP binding D
221580_s_at	TAF1D	sirtuin (silent mating type information regulation 2 homolog) 3 (S. cerevisiae)
221591_s_at	FAM64A	TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa
221598_s_at	LOC100131612	family with sequence similarity 64, member A
221614_s_at	RPH3AL	similar to cofactor required for Sp1 transcriptional activation, subunit 8, 34kDa /// mediator complex subunit 27
221641_s_at	ACOT9	rabphilin 3A-like (without C2 domains)
221652_s_at	C12orf11	acyl-CoA thioesterase 9
221677_s_at	DONSON	chromosome 12 open reading frame 11
221698_s_at	CLEC7A	downstream neighbor of SON
221710_x_at	FAM176B	C-type lectin domain family 7, member A
221750_at	HMGCS1	family with sequence similarity 176, member B /// hypothetical protein LOC100133999
221759_at	G6PC3	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
221779_at	MICALL1	glucose 6 phosphatase, catalytic, 3
221823_at	C5orf30	MICAL-like 1
221830_at	RAP2A	chromosome 5 open reading frame 30
221842_s_at	ZNF131	RAP2A, member of RAS oncogene family
221854_at	PKP1	zinc finger protein 131
221856_s_at	FAM63A	plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)
221864_at	ORAI3	family with sequence similarity 63, member A
221872_at	RARRES1	ORAI calcium release-activated calcium modulator 3
221913_at	SIRT3	retinoic acid receptor responder (tazarotene induced) 1
221922_at	GPSM2	sirtuin (silent mating type information regulation 2 homolog) 3 (S. cerevisiae)
221934_s_at	DALRD3	G-protein signaling modulator 2 (AGS3-like, C. elegans)
221946_at	C9orf116	DALR anticodon binding domain containing 3 /// similar to DALR anticodon binding domain containing 3
221959_at	FAM110B	chromosome 9 open reading frame 116
221985_at	KLHL24	family with sequence similarity 110, member B
222010_at	TCP1	kelch-like 24 (Drosophila)
222039_at	KIF18B	t-complex 1
222125_s_at	P4HTM	kinesin family member 18B
222201_s_at	CASP8AP2	prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)
222212_s_at	LASS2	caspase 8 associated protein 2
222257_s_at	ACE2	LAG1 homolog, ceramide synthase 2
222327_x_at	OR7E156P	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2
222379_at	KCNE4	olfactory receptor, family 7, subfamily E, member 156 pseudogene
31846_at	RHOD	potassium voltage-gated channel, Isk-related family, member 4
35666_at	SEMA3F	ras homolog gene family, member D
36499_at	CELSR2	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F
37145_at	GNLY	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)
37950_at	PREP	granulysin
40016_g_at	MAST4	prolyl endopeptidase
40093_at	BCAM	microtubule associated serine/threonine kinase family member 4
40148_at	APBB2	basal cell adhesion molecule (Lutheran blood group)
41037_at	TEAD4	amyloid beta (A4) precursor protein-binding, family B, member 2
41113_at	ZNF500	TEA domain family member 4
41660_at	CELSR1	zinc finger protein 500
44654_at	G6PC3	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)
49306_at	RASSF4	glucose 6 phosphatase, catalytic, 3
51192_at	SSH3	Ras association (RalGDS/AF-6) domain family member 4
52159_at	HEMK1	slingshot homolog 3 (Drosophila)
52940_at	SIGIRR	HemK methyltransferase family member 1
55081_at	MICALL1	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain
57540_at	RBKS	MICAL-like 1
59437_at	C9orf116	ribokinase
60471_at	RIN3	chromosome 9 open reading frame 116
63009_at	SHQ1	Ras and Rab interactor 3
200054_at	ZNF259	SHQ1 homolog (S. cerevisiae)
200067_x_at	SNX3	zinc finger protein 259
203625_x_at	SKP2	sorting nexin 3
206538_at	MRAS	S-phase kinase-associated protein 2 (p45)
208617_s_at	PTP4A2	muscle RAS oncogene homolog
209640_at	PML	protein tyrosine phosphatase type IVA, member 2
210469_at	DLG5	promyelocytic leukemia
212256_at	GALNT10	discs, large homolog 5 (Drosophila)
212907_at	SLC30A1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)
212985_at	APBB2	Solute carrier family 30 (zinc transporter), member 1
213179_at	RQCD1	amyloid beta (A4) precursor protein-binding, family B, member 2
213266_at	TUBGCP4	RCD1 required for cell differentiation1 homolog (S. pombe)
213545_x_at	SNX3	Tubulin, gamma complex associated protein 4
214657_s_at	NCRNA00084	sorting nexin 3
215304_at	---	non-protein coding RNA 84
216604_s_at	SLC7A8	---
217329_x_at	---	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8
219177_at	BXDC2	---
220540_at	KCNK15	brix domain containing 2
222036_s_at	MCM4	potassium channel, subfamily K, member 15
222037_at	MCM4	minichromosome maintenance complex component 4
222129_at	FAM134A	family with sequence similarity 134, member A
