Probe Set	Identifier	LocusLink	Name	GeneOntology.txt	ProteinDomain.txt	Cytoband	Description
209385_s_at	AL136616	11212	proline synthetase co-transcribed (bacterial homolog)	|5737|5622|5623|		|8|8p|8p11|	gb:AL136616.1 /DEF=Homo sapiens mRNA; cDNA DKFZp564I2423 (from clone DKFZp564I2423); complete cds.  /FEA=mRNA /GEN=DKFZp564I2423 /PROD=hypothetical protein /DB_XREF=gi:12052757 /UG=Hs.301959 proline synthetase co-transcribed (bacterial homolog) /FL=gb:AL1
209386_at	AI346835	4071	transmembrane 4 superfamily member 1	|9405|7582|5886|5622|5623|16020|8283|8151|9059|9058|8152|9100|6411|19538|6464|16021|5887|		|3|3q|3q21|	Consensus includes gb:AI346835 /FEA=EST /DB_XREF=gi:4084041 /DB_XREF=est:qp58g11.x1 /CLONE=IMAGE:1927268 /UG=Hs.3337 transmembrane 4 superfamily member 1 /FL=gb:M90657.1
209391_at	AF061729	8818	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	|9059|9058|8152|8151|9100|6411|19538|6464|5789|5783|5737|5622|5623|16020|		|9|	gb:AF061729.1 /DEF=Homo sapiens clone 014b03 My026 protein mRNA, complete cds. /FEA=mRNA /PROD=My026 protein /DB_XREF=gi:12001993 /UG=Hs.108973 dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit /FL=gb:AF061729.1 gb:AB013361.1 gb:NM
209409_at	D86962	2887	growth factor receptor-bound protein 10	|5737|5622|5623|5886|16020|7267|7154|5066|5057|4871|7167|7602|9582|9581|9605|9628|9314|7166|7165|	|169|17|	|7|7p|7p12|	gb:D86962.1 /DEF=Human mRNA for KIAA0207 gene, complete cds. /FEA=mRNA /GEN=KIAA0207 /DB_XREF=gi:1503997 /UG=Hs.81875 growth factor receptor-bound protein 10 /FL=gb:D86962.1 gb:AF000017.1
209417_s_at	BC001356	3430	interferon-induced protein 35	|5634|5622|5623|5737|5625|267|8134|5515|5488|		|17|17q|	gb:BC001356.1 /DEF=Homo sapiens, Similar to interferon-induced protein 35, clone MGC:2935, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to interferon-induced protein 35 /DB_XREF=gi:12655016 /UG=Hs.50842 interferon-induced protein 35 /FL=gb:BC001356.1
209418_s_at	BC003615	8563	gene from NF2/meningioma region of 22q12			|22|22q|	gb:BC003615.1 /DEF=Homo sapiens, gene from NF2meningioma region of 22q12, clone MGC:1540, mRNA, complete cds.  /FEA=mRNA /PROD=gene from NF2meningioma region of 22q12 /DB_XREF=gi:13177658 /UG=Hs.75361 gene from NF2meningioma region of 22q12 /FL=gb:BC0036
209422_at	AL109965	51282	SCAN domain-containing 1	|5515|5488|8134|	|2023|	|20|20q|20q11|	Consensus includes gb:AL109965 /DEF=Human DNA sequence from clone RP5-1121G12 on chromosome 20 Contains the 3 end of a gene encoding two isoforms (the hepatocellular carcinoma-associated antigen 58 (HCA58) and a putative novel protein containing a PHD fi
209427_at	AF064238	6525	smoothelin	|5856|5737|5622|5623|8092|5515|5488|7498|7397|7345|7275|15629|6939|6936|6928|8151|8307|5198|7148|	|307|	|22|22q|22q12|	gb:AF064238.3 /DEF=Homo sapiens smoothelin large isoform L2 (SMTN) mRNA, complete cds. /FEA=mRNA /GEN=SMTN /PROD=smoothelin large isoform L2 /DB_XREF=gi:8119287 /UG=Hs.149098 smoothelin /FL=gb:AF064238.3
209432_s_at	AF029674	10488	cAMP responsive element binding protein 3 (luman)	|8494|8135|3676|6350|6139|8152|8151|	|170|	|9|9p|9pter|	gb:AF029674.1 /DEF=Homo sapiens basic leucine zipper protein LZIP (LZIP) mRNA, complete cds.  /FEA=mRNA /GEN=LZIP /PROD=basic leucine zipper protein LZIP /DB_XREF=gi:2599559 /UG=Hs.287921 cAMP responsive element binding protein 3 (luman) /FL=gb:AF211848.
209440_at	BC001605	5631	phosphoribosyl pyrophosphate synthetase 1	|7399|7398|7397|7345|7275|6144|9112|6139|8152|8151|4749|19200|16301|3824|16778|16772|16740|	|156|	|X|Xq|Xq21|	gb:BC001605.1 /DEF=Homo sapiens, phosphoribosyl pyrophosphate synthetase 1, clone MGC:2256, mRNA, complete cds.  /FEA=mRNA /PROD=phosphoribosyl pyrophosphate synthetase 1 /DB_XREF=gi:12804406 /UG=Hs.56 phosphoribosyl pyrophosphate synthetase 1 /FL=gb:BC0
209442_x_at	AL136710	288	ankyrin 3, node of Ranvier (ankyrin G)	|5856|5737|5622|5623|5794|5198|5783|6996|7028|16043|8151|6886|15031|6810|5200|	|23|791|531|	|10|10q|	gb:AL136710.1 /DEF=Homo sapiens mRNA; cDNA DKFZp566P0524 (from clone DKFZp566P0524); complete cds.  /FEA=mRNA /GEN=DKFZp566P0524 /PROD=hypothetical protein /DB_XREF=gi:12052939 /UG=Hs.75893 ankyrin 3, node of Ranvier (ankyrin G) /FL=gb:AL136710.1
209444_at	BC001851	5910	RAP1, GTP-GDP dissociation stimulator 1		|514|	|4|4q|4q23|	gb:BC001851.1 /DEF=Homo sapiens, Similar to RAP1, GTP-GDP dissociation stimulator 1, clone MGC:4525, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to RAP1, GTP-GDP dissociation stimulator1 /DB_XREF=gi:12804812 /UG=Hs.7940 RAP1, GTP-GDP dissociation stimul
209449_at	AF196468	57819	U6 snRNA-associated Sm-like protein		|1423|	|6|6p|6p21|	gb:AF196468.1 /DEF=Homo sapiens SMX5-like protein mRNA, complete cds. /FEA=mRNA /PROD=SMX5-like protein /DB_XREF=gi:11225486 /UG=Hs.103106 U6 snRNA-associated Sm-like protein /FL=gb:NM_021177.1 gb:AF196468.1 gb:AF136977.1 gb:AF182288.1
209454_s_at	AF142482	7005	TEA domain family member 3	|7565|7582|3700|3677|3676|6355|6350|6139|8152|8151|	|1285|	|6|6p|6p21|	gb:AF142482.1 /DEF=Homo sapiens transcription enhancer factor-5 mRNA, complete cds. /FEA=mRNA /PROD=transcription enhancer factor-5 /DB_XREF=gi:4755000 /UG=Hs.203846 TEA domain family member 3 /FL=gb:AF142482.1
209487_at	D84109	11030	RNA-binding protein gene with multiple splicing	|3723|3676|16070|6139|8152|8151|	|76|	|8|8p|8p12|	gb:D84109.1 /DEF=Homo sapiens mRNA for RBP-MStype 3, complete cds. /FEA=mRNA /GEN=RBP-MS /PROD=RBP-MStype 3 /DB_XREF=gi:1669550 /UG=Hs.80248 RNA-binding protein gene with multiple splicing /FL=gb:BC003608.1 gb:D84109.1
209488_s_at	D84109	11030	RNA-binding protein gene with multiple splicing	|3723|3676|16070|6139|8152|8151|	|76|	|8|8p|8p12|	gb:D84109.1 /DEF=Homo sapiens mRNA for RBP-MStype 3, complete cds. /FEA=mRNA /GEN=RBP-MS /PROD=RBP-MStype 3 /DB_XREF=gi:1669550 /UG=Hs.80248 RNA-binding protein gene with multiple splicing /FL=gb:BC003608.1 gb:D84109.1
209506_s_at	BC004154	7025	nuclear receptor subfamily 2, group F, member 1	|7165|7154|3700|3677|3676|8134|5515|5488|4879|3706|4872|4871|	|105|104|	|5|5q|	gb:BC004154.1 /DEF=Homo sapiens, nuclear receptor subfamily 2, group F, member 1, clone MGC:2388, mRNA, complete cds.  /FEA=mRNA /PROD=nuclear receptor subfamily 2, group F, member 1 /DB_XREF=gi:13278758 /UG=Hs.144630 nuclear receptor subfamily 2, group
209515_s_at	U38654	5873	RAB27A, member RAS oncogene family	|3924|16818|16817|16787|3824|17076|166|5488|	|71|25|	|15|15q|15q15|	gb:U38654.3 /DEF=Homo sapiens Rab27a mRNA, complete cds. /FEA=mRNA /PROD=Rab27a /DB_XREF=gi:4887230 /UG=Hs.50477 RAB27A, member RAS oncogene family /FL=gb:U38654.3
209524_at	AK001280	50810	CGI-142	|5634|5622|5623|8283|8151|	|855|	|15|15q|15q11|	Consensus includes gb:AK001280.1 /DEF=Homo sapiens cDNA FLJ10418 fis, clone NT2RP1000130, moderately similar to HEPATOMA-DERIVED GROWTH FACTOR.  /FEA=mRNA /DB_XREF=gi:7022435 /UG=Hs.127842 CGI-142 /FL=gb:AF151900.1 gb:AB029156.1 gb:NM_016073.1
209529_at	AF047760	8612	phosphatidic acid phosphatase type 2C	|16020|5623|4721|16791|16788|16787|3824|16302|	|1569|	|19|19p|	gb:AF047760.1 /DEF=Homo sapiens phosphatidic acid phosphohydrolase type-2c mRNA, complete cds.  /FEA=mRNA /PROD=phosphatidic acid phosphohydrolase type-2c /DB_XREF=gi:2911497 /UG=Hs.24879 phosphatidic acid phosphatase type 2C /FL=gb:BC002806.1 gb:AF04776
209534_x_at	BF222823	3928	lymphoid blast crisis oncogene	|5624|267|5623|4871|17076|166|5488|5083|5057|	|621|	|15|15q|15q24|	Consensus includes gb:BF222823 /FEA=EST /DB_XREF=gi:11130000 /DB_XREF=est:7q23e12.x1 /CLONE=IMAGE:3699190 /UG=Hs.301946 lymphoid blast crisis oncogene /FL=gb:AF127481.1
209539_at	D25304	9459	Rac/Cdc42 guanine exchange factor (GEF) 6			|X|Xq|	Consensus includes gb:D25304.1 /DEF=Human mRNA for KIAA0006 gene, partial cds. /FEA=mRNA /GEN=KIAA0006 /DB_XREF=gi:435445 /UG=Hs.79307 RacCdc42 guanine exchange factor (GEF) 6 /FL=gb:D13631.1
209540_at	AU144912	3479	insulin-like growth factor 1 (somatomedin C)	|6928|8151|6260|67|7049|6259|6139|8152|84|278|5179|5102|4871|7498|7397|7345|7275|7165|7154|7264|7242|8284|8283|8083|	|49|	|12|12q|12q22|	Consensus includes gb:AU144912 /FEA=EST /DB_XREF=gi:11006433 /DB_XREF=est:AU144912 /CLONE=HEMBA1003364 /UG=Hs.85112 insulin-like growth factor 1 (somatomedin C) /FL=gb:NM_000618.1 gb:M29644.1 gb:M27544.1 gb:X00173.1
209541_at	AI972496	3479	insulin-like growth factor 1 (somatomedin C)	|6928|8151|6260|67|7049|6259|6139|8152|84|278|5179|5102|4871|7498|7397|7345|7275|7165|7154|7264|7242|8284|8283|8083|	|49|	|12|12q|12q22|	Consensus includes gb:AI972496 /FEA=EST /DB_XREF=gi:5769242 /DB_XREF=est:wr38c02.x1 /CLONE=IMAGE:2489954 /UG=Hs.85112 insulin-like growth factor 1 (somatomedin C) /FL=gb:NM_000618.1 gb:M29644.1 gb:M27544.1 gb:X00173.1
209542_x_at	M29644	3479	insulin-like growth factor 1 (somatomedin C)	|6928|8151|6260|67|7049|6259|6139|8152|84|278|5179|5102|4871|7498|7397|7345|7275|7165|7154|7264|7242|8284|8283|8083|	|49|	|12|12q|12q22|	gb:M29644.1 /DEF=Human insulin-like growth factor I mRNA, complete cds. /FEA=mRNA /GEN=IGF1 /DB_XREF=gi:183119 /UG=Hs.85112 insulin-like growth factor 1 (somatomedin C) /FL=gb:NM_000618.1 gb:M29644.1 gb:M27544.1 gb:X00173.1
209543_s_at	M81104	947	CD34 antigen	|5886|5622|5623|16020|5557|16171|		|1|1q|	gb:M81104.1 /DEF=Human CD34 mRNA, complete cds. /FEA=mRNA /PROD=CD34 /DB_XREF=gi:180108 /UG=Hs.85289 CD34 antigen /FL=gb:M81104.1
209555_s_at	M98399	948	CD36 antigen (collagen type I receptor, thrombospondin receptor)	|7155|7154|5194|7596|7599|7582|6629|8152|8151|5624|267|5623|6631|5887|5886|5622|16020|16021|	|1130|	|7|7q|7q11|	gb:M98399.1 /DEF=Human antigen CD36 (clone 21) mRNA, complete cds. /FEA=mRNA /GEN=CD36 /PROD=antigen CD36 /DB_XREF=gi:180112 /UG=Hs.75613 CD36 antigen (collagen type I receptor, thrombospondin receptor) /FL=gb:M98399.1
209558_s_at	AB013384	9026	huntingtin interacting protein-1-related			|12|12q|	gb:AB013384.1 /DEF=Homo sapiens mRNA for HIP1R, complete cds. /FEA=mRNA /GEN=HIP1R /PROD=HIP1R /DB_XREF=gi:3721835 /UG=Hs.96731 huntingtin interacting protein-1-related /FL=gb:AB013384.1
209568_s_at	AF186779	23179	RalGDS-like gene		|788|617|618|	|1|1q|1q25|	gb:AF186779.1 /DEF=Homo sapiens RGL protein (RGL) mRNA, complete cds. /FEA=mRNA /GEN=RGL /PROD=RGL protein /DB_XREF=gi:7682470 /UG=Hs.79219 RalGDS-like gene; KIAA0959 protein /FL=gb:AF186779.1
209569_x_at	NM_014392	27065	neuron-specific protein	|5634|5622|5623|5737|		|4|4p|4p16|	Consensus includes gb:NM_014392.1 /DEF=Homo sapiens neuron-specific protein (D4S234E), mRNA. /FEA=CDS /GEN=D4S234E /PROD=neuron-specific protein /DB_XREF=gi:7657002 /UG=Hs.79404 neuron-specific protein /FL=gb:BC001745.1 gb:NM_014392.1
209575_at	BC001903	3588	interleukin 10 receptor, beta	|4872|4871|6955|6952|9607|9605|7154|5886|5622|5623|16020|7165|6954|9613|6950|8151|9611|4888|16021|	|1108|	|21|21q|21q22|	gb:BC001903.1 /DEF=Homo sapiens, Similar to interleukin 10 receptor, beta, clone MGC:2210, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to interleukin 10 receptor, beta /DB_XREF=gi:12804902 /UG=Hs.173936 interleukin 10 receptor, beta /FL=gb:BC001903.1 gb
209583_s_at	AF063591	4345	antigen identified by monoclonal antibody MRC OX-2	|5887|5886|5622|5623|16020|16021|		|3|3q|3q12|	gb:AF063591.1 /DEF=Homo sapiens brain my033 protein mRNA, complete cds. /FEA=mRNA /PROD=brain my033 protein /DB_XREF=gi:12002013 /UG=Hs.79015 antigen identified by monoclonal antibody MRC OX-2 /FL=gb:AF063591.1
209624_s_at	AB050049	64087	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)		|1039|	|5|5q|5q12|	gb:AB050049.1 /DEF=Homo sapiens mccb mRNA for non-biotin containing subunit of 3-methylcrotonyl-CoA carboxylase, complete cds.  /FEA=mRNA /GEN=mccb /PROD=non-biotin containing subunit of3-methylcrotonyl-CoA carboxylase /DB_XREF=gi:10934058 /UG=Hs.167531
209631_s_at	U87460	2861	G protein-coupled receptor 37 (endothelin receptor type B-like)	|4888|4872|4871|5887|5886|5622|5623|16020|16021|7186|7166|7165|7154|	|1604|1|	|7|7q|	gb:U87460.1 /DEF=Human putative endothelin receptor type B-like protein mRNA, complete cds.  /FEA=mRNA /PROD=putative endothelin receptor type B-likeprotein /DB_XREF=gi:2076881 /UG=Hs.27747 G protein-coupled receptor 37 (endothelin receptor type B-like)
209651_at	BC001830	56912	hypothetical protein			|11|	gb:BC001830.1 /DEF=Homo sapiens, Similar to transforming growth factor beta 1 induced transcript 1, clone MGC:4078, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to transforming growth factor beta 1induced transcript 1 /DB_XREF=gi:12804778 /UG=Hs.25511 tr
209652_s_at	BC001422	5228	placental growth factor, vascular endothelial growth factor-related protein	|8083|5102|4871|7165|7154|7267|8284|8283|8151|	|341|	|14|14q|14q24|	gb:BC001422.1 /DEF=Homo sapiens, Similar to placental growth factor, vascular endothelial growth factor-related protein, clone MGC:1683, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to placental growth factor, vascularendothelial growth factor-related pr
209670_at	M12959	6955	T cell receptor alpha locus			|14|14q|14q11|	gb:M12959.1 /DEF=Human T-cell receptor active alpha-chain mRNA from JM cell line, complete cds.  /FEA=mRNA /GEN=TCRA /DB_XREF=gi:338734 /UG=Hs.74647 Human T-cell receptor active alpha-chain mRNA from JM cell line, complete cds /FL=gb:M12959.1 gb:M12423.1
209681_at	AF153330	10560	solute carrier family 19 (thiamine transporter), member 2	|5215|5886|5622|5623|16020|5887|16021|		|1|1q|1q23|	gb:AF153330.1 /DEF=Homo sapiens thiamine carrier 1 (TC1) mRNA, complete cds. /FEA=mRNA /GEN=TC1 /PROD=thiamine carrier 1 /DB_XREF=gi:5453325 /UG=Hs.30246 solute carrier family 19 (thiamine transporter), member 2 /FL=gb:AF153330.1 gb:AF135488.1 gb:AF16081
209682_at	U26710	868	Cas-Br-M (murine) ectropic retroviral transforming sequence b	|8270|5505|5488|5515|7165|7154|6605|6411|8152|8151|6913|16482|6810|	|97|2262|	|3|3q|3q13|	gb:U26710.1 /DEF=Human cbl-b mRNA, complete cds. /FEA=mRNA /PROD=cbl-b /DB_XREF=gi:862406 /UG=Hs.3144 Cas-Br-M (murine) ectropic retroviral transforming sequence b /FL=gb:U26710.1
209683_at	AA243659	81553	hypothetical protein DKFZp566A1524				Consensus includes gb:AA243659 /FEA=EST /DB_XREF=gi:1874478 /DB_XREF=est:zr68c06.s1 /CLONE=IMAGE:668554 /UG=Hs.4863 hypothetical protein DKFZp566A1524 /FL=gb:AL136704.1
209692_at	U71207	2139	eyes absent homolog 2 (Drosophila)	|7456|7455|7398|7397|7345|7275|9653|7498|	|702|	|20|20q|20q13|	gb:U71207.1 /DEF=Human eyes absent homolog (Eab1) mRNA, complete cds. /FEA=mRNA /GEN=Eab1 /PROD=Eab1 /DB_XREF=gi:1916005 /UG=Hs.29279 eyes absent (Drosophila) homolog 2 /FL=gb:U71207.1 gb:NM_005244.1
209695_at	BC003105	11156	protein tyrosine phosphatase type IVA, member 3	|4725|4721|16791|16788|16787|3824|16302|	|102|782|		gb:BC003105.1 /DEF=Homo sapiens, Similar to protein tyrosine phosphatase type IVA, member 3, clone MGC:1950, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to protein tyrosine phosphatase typeIVA, member 3 /DB_XREF=gi:13111874 /UG=Hs.43666 protein tyrosine
209708_at	AY007239	26002	DKFZP564G202 protein			|6|6q|6q23|	gb:AY007239.1 /DEF=Homo sapiens monooxygenase X mRNA, complete cds. /FEA=mRNA /PROD=monooxygenase X /DB_XREF=gi:9988949 /UG=Hs.6909 DKFZP564G202 protein /FL=gb:AY007239.1
209721_s_at	BC002857	25900	DKFZP586I2223 protein		|38|	|12|12p|12p13|	gb:BC002857.1 /DEF=Homo sapiens, clone MGC:3442, mRNA, complete cds. /FEA=mRNA /PROD=Unknown (protein for MGC:3442) /DB_XREF=gi:12804008 /UG=Hs.46659 DKFZP586I2223 protein /FL=gb:BC002857.1 gb:BC001790.1 gb:NM_015438.1 gb:BC004384.1
209723_at	BC002538	5272	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 9	|4866|4857|30234|5829|5737|5622|5623|5515|5488|	|79|	|6|6p|	gb:BC002538.1 /DEF=Homo sapiens, serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 9, clone MGC:2131, mRNA, complete cds.  /FEA=mRNA /PROD=serine (or cysteine) proteinase inhibitor, cladeB (ovalbumin), member 9 /DB_XREF=gi:12803428 /
209738_x_at	M31125	5675	pregnancy specific beta-1-glycoprotein 6	|7565|7582|5615|5576|5211|5209|5198|		|19|19q|19q13|	gb:M31125.1 /DEF=Human pregnancy-specific-beta 1-glycoprotein (PS1) mRNA, complete cds, clone hPS12.  /FEA=mRNA /DB_XREF=gi:190619 /UG=Hs.252097 pregnancy specific beta-1-glycoprotein 6 /FL=gb:M31125.1
209739_s_at	AI814551	8228	GS2 gene			|X|Xp|Xp22|	Consensus includes gb:AI814551 /FEA=EST /DB_XREF=gi:5425766 /DB_XREF=est:wj74e05.x1 /CLONE=IMAGE:2408576 /UG=Hs.264 GS2 gene /FL=gb:U03886.1
209741_x_at	AF119814	49855	zinc finger protein 291			|15|15q|	gb:AF119814.1 /DEF=Homo sapiens MSTP063 mRNA, complete cds. /FEA=mRNA /PROD=MSTP063 /DB_XREF=gi:12056567 /UG=Hs.285848 KIAA1454 protein /FL=gb:AF119814.1
209747_at	J03241	7043	transforming growth factor, beta 3	|7165|7154|7267|7397|7345|7275|8083|5102|4871|	|688|19|	|14|14q|	gb:J03241.1 /DEF=Human transforming growth factor-beta 3 (TGF-beta3) mRNA, complete cds.  /FEA=mRNA /GEN=TGFB3 /DB_XREF=gi:339551 /UG=Hs.2025 transforming growth factor, beta 3 /FL=gb:J03241.1 gb:NM_003239.1
209761_s_at	AA969194	3431	SP110 nuclear body protein	|5634|5622|5623|3677|3676|5062|5057|4871|	|1342|	|2|2q|2q37|	Consensus includes gb:AA969194 /FEA=EST /DB_XREF=gi:3144374 /DB_XREF=est:op51c02.s1 /CLONE=IMAGE:1580354 /UG=Hs.38125 interferon-induced protein 75, 52kD /FL=gb:AF280094.1
209762_x_at	AF280094	3431	SP110 nuclear body protein	|5634|5622|5623|3677|3676|5062|5057|4871|	|1342|	|2|2q|2q37|	gb:AF280094.1 /DEF=Homo sapiens transcriptional coactivator Sp110b mRNA, complete cds. /FEA=mRNA /PROD=transcriptional coactivator Sp110b /DB_XREF=gi:9800493 /UG=Hs.38125 interferon-induced protein 75, 52kD /FL=gb:AF280094.1
209765_at	Y13786	8728	a disintegrin and metalloproteinase domain 19 (meltrin beta)		|200|1562|1421|	|5|5q|5q32|	Consensus includes gb:Y13786.2 /DEF=Homo sapiens mRNA for meltrin-betaADAM 19 homologue. /FEA=mRNA /PROD=meltrin-betaADAM 19 homologue /DB_XREF=gi:12053590 /UG=Hs.278679 a disintegrin and metalloproteinase domain 19 (meltrin beta) /FL=gb:AF311317.1
209780_at	AL136883	57157	hypothetical protein DKFZp564F013			|7|7q|7q11|	gb:AL136883.1 /DEF=Homo sapiens mRNA; cDNA DKFZp434D166 (from clone DKFZp434D166); complete cds.  /FEA=mRNA /GEN=DKFZp434D166 /PROD=hypothetical protein /DB_XREF=gi:12053266 /UG=Hs.128653 hypothetical protein DKFZp564F013 /FL=gb:AL136883.1
209785_s_at	AF065214	8605	phospholipase A2, group IVC (cytosolic, calcium-independent)	|16020|5623|6644|6643|6629|8152|8151|16788|16787|3824|	|1735|	|19|19q|19q13|	gb:AF065214.1 /DEF=Homo sapiens cytosolic phospholipase A2 gamma (cPLA2 gamma) mRNA, complete cds.  /FEA=mRNA /GEN=cPLA2 gamma /PROD=cytosolic phospholipase A2 gamma /DB_XREF=gi:3811344 /UG=Hs.18858 phospholipase A2, group IVC (cytosolic, calcium-indepen
209836_x_at	AF060511						gb:AF060511.1 /DEF=Homo sapiens clone 016b10 My016 protein mRNA, complete cds. /FEA=mRNA /PROD=My016 protein /DB_XREF=gi:12001971 /UG=Hs.181634 Homo sapiens cDNA: FLJ23602 fis, clone LNG15735 /FL=gb:AF060511.1
209873_s_at	AF053719	11187	plakophilin 3	|5194|19815|16327|5886|5622|5623|16020|30054|		|11|11p|	gb:AF053719.1 /DEF=Homo sapiens plakophilin-3 protein mRNA, complete cds. /FEA=mRNA /PROD=plakophilin-3 protein /DB_XREF=gi:6670884 /UG=Hs.26557 plakophilin 3 /FL=gb:BC000081.1 gb:NM_007183.1 gb:AF053719.1
209874_x_at	AF216962	54805	cyclin M2			|10|10q|10q24|	gb:AF216962.1 /DEF=Homo sapiens ancient conserved domain protein 2 (ACDP2) mRNA, complete cds.  /FEA=mRNA /GEN=ACDP2 /PROD=ancient conserved domain protein 2 /DB_XREF=gi:9280369 /UG=Hs.271221 hypothetical protein FLJ20064 /FL=gb:AF216962.1
209913_x_at	AB007875	9907	KIAA0415 gene product			|7|7p|7p22|	gb:AB007875.1 /DEF=Homo sapiens KIAA0415 mRNA, complete cds. /FEA=mRNA /GEN=KIAA0415 /DB_XREF=gi:2887450 /UG=Hs.229950 KIAA0415 gene product /FL=gb:AB007875.1
209967_s_at	D14826	1390	cAMP responsive element modulator	|5634|5622|5623|7165|7154|	|2173|170|	|10|10p|10p12|	gb:D14826.1 /DEF=Human mRNA for hCREM (cyclic AMP-responsive element modulator) type 2 protein, complete cds.  /FEA=mRNA /GEN=hCREM-2; hCREM-2; hCREM-2; hCREM-2 /PROD=hCREM 2beta-b protein; hCREM 2beta-a protein; hCREM 2alpha-b protein; hCREM 2alpha-a pr
209969_s_at	BC002704	6772	signal transducer and activator of transcription 1, 91kD	|5634|5622|5623|5737|3677|3676|7243|7242|7165|7154|8632|6915|8219|16265|74|7049|8151|3700|9613|9607|9605|6950|6350|6139|8152|6468|16310|6796|6464|6411|5062|5057|4871|	|1017|17|	|2|2q|2q32|	gb:BC002704.1 /DEF=Homo sapiens, Similar to signal transducer and activator of transcription 1, 91kD, clone MGC:3493, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to signal transducer and activator oftranscription 1, 91kD /DB_XREF=gi:12803734 /UG=Hs.2148
209974_s_at	AF047473	9184	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	|7067|87|279|7049|8151|278|280|5699|5694|5622|5623|8283|75|74|7088|	|400|	|10|10q|	gb:AF047473.1 /DEF=Homo sapiens testis mitotic checkpoint BUB3 (BUB3) mRNA, complete cds.  /FEA=mRNA /GEN=BUB3 /PROD=testis mitotic checkpoint BUB3 /DB_XREF=gi:3378103 /UG=Hs.40323 BUB3 (budding uninhibited by benzimidazoles 3, yeast) homolog /FL=gb:AF04
209976_s_at	AF182276	1571	cytochrome P450, subfamily IIE (ethanol-inducible)	|4497|3824|15034|19825|5488|	|67|	|10|10q|10q24|	gb:AF182276.1 /DEF=Homo sapiens cytochrome P450-2E1 (CYP2E1) mRNA, complete cds. /FEA=mRNA /GEN=CYP2E1 /PROD=cytochrome P450-2E1 /DB_XREF=gi:6470140 /UG=Hs.75183 cytochrome P450, subfamily IIE (ethanol-inducible) /FL=gb:NM_000773.2 gb:J02625.1 gb:AF18227
209991_x_at	AF069755	9568	G protein-coupled receptor 51	|4888|4872|4871|7268|19226|7267|7154|7186|7166|7165|5887|5886|5622|5623|16020|16021|	|38|1094|3|	|9|9q|9q22|	gb:AF069755.1 /DEF=Homo sapiens orphan G protein-coupled receptor HG20 (HG20) mRNA, complete cds.  /FEA=mRNA /GEN=HG20 /PROD=orphan G protein-coupled receptor HG20 /DB_XREF=gi:4091932 /UG=Hs.198612 G protein-coupled receptor 51 /FL=gb:AF056085.1 gb:AF069
210001_s_at	AB005043	8651	JAK binding protein	|5737|5622|5623|7243|7242|7165|7154|19210|4857|30234|19207|	|17|	|16|16p|16p13|	gb:AB005043.1 /DEF=Homo sapiens mRNA for STAT induced STAT inhibitor-1, complete cds. /FEA=mRNA /PROD=STAT induced STAT inhibitor-1 /DB_XREF=gi:2443364 /UG=Hs.50640 JAK binding protein /FL=gb:U88326.1 gb:AB005043.1 gb:AB000734.1 gb:NM_003745.1
210007_s_at	U36310	2820	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	|5739|5737|5622|5623|5509|5488|16052|5975|8152|8151|9056|5996|16614|16491|3824|	|1224|	|2|2q|2q24|	gb:U36310.1 /DEF=Human glycerol-3-phosphate dehydrogenase mRNA, nuclear gene encoding mitochondrial protein, complete cds.  /FEA=mRNA /PROD=glycerol-3-phosphate dehydrogenase /DB_XREF=gi:1020314 /UG=Hs.93201 glycerol-3-phosphate dehydrogenase 2 (mitochon
210021_s_at	BC004877	10309	uracil-DNA glycosylase 2	|5634|5622|5623|6259|6139|8152|8151|4844|3686|3824|3685|3677|3676|8578|16798|16787|	|134|	|5|5p|5p15|	gb:BC004877.1 /DEF=Homo sapiens, Similar to uracil-DNA glycosylase 2, clone MGC:11071, mRNA, complete cds.  /FEA=mRNA /PROD=Similar to uracil-DNA glycosylase 2 /DB_XREF=gi:13436115 /UG=Hs.3041 uracil-DNA glycosylase 2 /FL=gb:BC004877.1
210086_at	AF039196	55806	hairless homolog (mouse)	|3700|3677|3676|7398|7397|7345|7275|	|2373|	|8|8p|8p21|	gb:AF039196.2 /DEF=Homo sapiens putative single zinc finger transcription factor protein (hairless) mRNA, complete cds.  /FEA=mRNA /GEN=hairless /PROD=putative single zinc finger transcription factorprotein /DB_XREF=gi:5042382 /UG=Hs.284126 hairless (mou
