Cluster	GeneID	Symbol	Description	Probeset(s)	GO Name
2.Inv3-Regulated-GO	ENSMUSG00000030516	Tjp1	tight junction protein 1	99935_at	cell-cell adherens junction
2.Inv3-Regulated-GO	ENSMUSG00000037815	Ctnna1	catenin (cadherin associated protein), alpha 1	93364_at	cell-cell adherens junction
2.Inv3-Regulated-GO	ENSMUSG00000022443	Myh9	myosin, heavy polypeptide 9, non-muscle	100915_at|102108_f_at	cell-cell adherens junction
2.Inv3-Regulated-GO	ENSMUSG00000006932	Ctnnb1	catenin (cadherin associated protein), beta 1	160430_at	cell-cell adherens junction
2.Inv3-Regulated-GO	ENSMUSG00000025006	Sorbs1	sorbin and SH3 domain containing 1	160320_at	cell-cell adherens junction
2.Inv3-Regulated-GO	ENSMUSG00000019528	Gyg	glycogenin	162262_f_at	carbohydrate biosynthesis
2.Inv3-Regulated-GO	ENSMUSG00000031633	Slc25a4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4	93084_at	mitochondrial transport
2.Inv3-Regulated-GO	ENSMUSG00000022404	Slc25a17	solute carrier family 25 (mitochondrial carrier, peroxisomal membrane protein), member 17	97472_at	mitochondrial transport
2.Inv3-Regulated-GO	ENSMUSG00000018167	Stard3	START domain containing 3	95607_at	mitochondrial transport
2.Inv3-Regulated-GO	ENSMUSG00000002985	Apoe	apolipoprotein E	95356_at	learning and/or memory
2.Inv3-Regulated-GO	ENSMUSG00000031278	Acsl4	acyl-CoA synthetase long-chain family member 4	102381_at|104017_at	learning and/or memory
2.Inv3-Regulated-GO	ENSMUSG00000005142	Man2b1	mannosidase 2, alpha B1	99562_at	learning and/or memory
2.Inv3-Regulated-GO	ENSMUSG00000000594	Gm2a	GM2 ganglioside activator protein	99141_at	learning and/or memory
2.Inv3-Regulated-GO	ENSMUSG00000027808		stress-associated endoplasmic reticulum protein 1	95708_at	plasma membrane organization and biogenesis
2.Inv3-Regulated-GO	ENSMUSG00000041936	Agrn	agrin	97921_at	plasma membrane organization and biogenesis
2.Inv3-Regulated-GO	ENSMUSG00000057738	Spna2	spectrin alpha 2	103345_at	Z disc
2.Inv3-Regulated-GO	ENSMUSG00000020911	Krt1-19	keratin complex 1, acidic, gene 19	92550_at	Z disc
2.Inv3-Regulated-GO	ENSMUSG00000049382	Krt2-8	keratin complex 2, basic, gene 8	101009_at	Z disc
2.Inv3-Regulated-GO	ENSMUSG00000015143	Actn1	actinin, alpha 1	104578_f_at	Z disc
2.Inv3-Regulated-GO	ENSMUSG00000028465	Tln1	talin 1	162089_r_at	basolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000006304	Arpc2	actin related protein 2/3 complex, subunit 2	93288_at	basolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000006932	Ctnnb1	catenin (cadherin associated protein), beta 1	160430_at	basolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000025006	Sorbs1	sorbin and SH3 domain containing 1	160320_at	basolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000038366	Lasp1	LIM and SH3 protein 1	93793_at	basolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000021823	Vcl	vinculin	94963_at	basolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000020122	Egfr	epidermal growth factor receptor	101842_g_at	basolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000001507	Itga3	integrin alpha 3	104210_at	basolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000020758	Itgb4	integrin beta 4	103305_at	basolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000024597	Slc12a2	solute carrier family 12, member 2	99500_at	basolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000062078	Qk	quaking	95096_at	muscle cell differentiation
2.Inv3-Regulated-GO	ENSMUSG00000039745	Htatip2	HIV-1 tat interactive protein 2, homolog (human)	103671_at	regulation of angiogenesis
2.Inv3-Regulated-GO	ENSMUSG00000006386	Tek	endothelial-specific receptor tyrosine kinase	102720_at	regulation of angiogenesis
2.Inv3-Regulated-GO	ENSMUSG00000002289	Angptl4	angiopoietin-like 4	96119_s_at	regulation of angiogenesis
2.Inv3-Regulated-GO	ENSMUSG00000041688	Amot	angiomotin	95531_at	regulation of angiogenesis
2.Inv3-Regulated-GO	ENSMUSG00000036478	Btg1	B-cell translocation gene 1, anti-proliferative	93104_at	regulation of angiogenesis
2.Inv3-Regulated-GO	ENSMUSG00000033191	Tie1	tyrosine kinase receptor 1	161184_f_at	regulation of angiogenesis
2.Inv3-Regulated-GO	ENSMUSG00000000753	Serpinf1	serine (or cysteine) peptidase inhibitor, clade F, member 1	93574_at	regulation of angiogenesis
2.Inv3-Regulated-GO	ENSMUSG00000033585	Ndn	necdin	101059_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000037035	Inhbb	inhibin beta-B	160828_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000032187	Smarca4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	98463_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000036478	Btg1	B-cell translocation gene 1, anti-proliferative	93104_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000022892	App	amyloid beta (A4) precursor protein	93063_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000059552	Trp53	transformation related protein 53	104154_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000019997	Ctgf	connective tissue growth factor	93294_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000028646	Rragc	Ras-related GTP binding C	98950_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000002603	Tgfb1	transforming growth factor, beta 1	101918_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000018736	Ndel1	nuclear distribution gene E-like homolog 1 (A. nidulans)	98882_s_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000030208	Emp1	epithelial membrane protein 1	97426_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000055737	Ghr	growth hormone receptor	99107_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000021253	Tgfb3	transforming growth factor, beta 3	102751_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000007564	Ppp2r1a	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform	92573_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000021190	Lgmn	legumain	93261_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000031451	Gas6	growth arrest specific 6	99067_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000024962	Vegfb	vascular endothelial growth factor B	103001_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000026185	Igfbp5	insulin-like growth factor binding protein 5	100566_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000030717	Nupr1	nuclear protein 1	160108_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000004040	Stat3	signal transducer and activator of transcription 3	99099_at|99100_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000050953	Gja1	gap junction membrane channel protein alpha 1	100064_f_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000010095	Slc3a2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	99133_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000035551	Igfbpl1	insulin-like growth factor binding protein-like 1	162354_f_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000022105	Rb1	retinoblastoma 1	97948_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000017493	Igfbp4	insulin-like growth factor binding protein 4	101571_g_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000002308	Cd320	CD320 antigen	102343_at	growth
2.Inv3-Regulated-GO	ENSMUSG00000054428	Atpif1	ATPase inhibitory factor 1	93984_at	generation of precursor metabolites and energy
2.Inv3-Regulated-GO	ENSMUSG00000029695	Aass	aminoadipate-semialdehyde synthase	103389_at	generation of precursor metabolites and energy
2.Inv3-Regulated-GO	ENSMUSG00000031633	Slc25a4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4	93084_at	generation of precursor metabolites and energy
2.Inv3-Regulated-GO	ENSMUSG00000003123	Lipe	lipase, hormone sensitive	103083_at	generation of precursor metabolites and energy
2.Inv3-Regulated-GO	ENSMUSG00000020456	Ogdh	oxoglutarate dehydrogenase (lipoamide)	96879_at	generation of precursor metabolites and energy
2.Inv3-Regulated-GO	ENSMUSG00000053898	Ech1	enoyl coenzyme A hydratase 1, peroxisomal	93754_at	generation of precursor metabolites and energy
2.Inv3-Regulated-GO	ENSMUSG00000046402	Rbp1	retinol binding protein 1, cellular	104716_at	retinol metabolism
2.Inv3-Regulated-GO	ENSMUSG00000056666	Retsat	retinol saturase (all trans retinol 13,14 reductase)	95026_at	retinol metabolism
2.Inv3-Regulated-GO	ENSMUSG00000066441	Rdh11	retinol dehydrogenase 11	99591_i_at|99592_f_at	retinol metabolism
2.Inv3-Regulated-GO	ENSMUSG00000026042	Col5a2	procollagen, type V, alpha 2	92567_at	collagen
2.Inv3-Regulated-GO	ENSMUSG00000022371	Col14a1	procollagen, type XIV, alpha 1	99476_at	collagen
2.Inv3-Regulated-GO	ENSMUSG00000036390	Gadd45a	growth arrest and DNA-damage-inducible 45 alpha	102292_at	negative regulation of enzyme activity
2.Inv3-Regulated-GO	ENSMUSG00000032562	Gnai2	guanine nucleotide binding protein, alpha inhibiting 2	99596_f_at|99597_at|99598_g_at	negative regulation of enzyme activity
2.Inv3-Regulated-GO	ENSMUSG00000007564	Ppp2r1a	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform	92573_at	negative regulation of enzyme activity
2.Inv3-Regulated-GO	ENSMUSG00000023067	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	94881_at	negative regulation of enzyme activity
2.Inv3-Regulated-GO	ENSMUSG00000032011	Thy1	thymus cell antigen 1, theta	99057_at	negative regulation of enzyme activity
2.Inv3-Regulated-GO	ENSMUSG00000002289	Angptl4	angiopoietin-like 4	96119_s_at	negative regulation of enzyme activity
2.Inv3-Regulated-GO	ENSMUSG00000019960	Dusp6	dual specificity phosphatase 6	93285_at	negative regulation of enzyme activity
2.Inv3-Regulated-GO	ENSMUSG00000059552	Trp53	transformation related protein 53	104154_at	negative regulation of enzyme activity
2.Inv3-Regulated-GO	ENSMUSG00000022105	Rb1	retinoblastoma 1	97948_at	negative regulation of enzyme activity
2.Inv3-Regulated-GO	ENSMUSG00000031628	Casp3	caspase 3	98436_s_at	negative regulation of enzyme activity
2.Inv3-Regulated-GO	ENSMUSG00000032076	Igsf4a	immunoglobulin superfamily, member 4A	93604_f_at	calcium-independent cell-cell adhesion
2.Inv3-Regulated-GO	ENSMUSG00000041378	Cldn5	claudin 5	104516_at	calcium-independent cell-cell adhesion
2.Inv3-Regulated-GO	ENSMUSG00000066720	Cldn9	claudin 9	94493_at	calcium-independent cell-cell adhesion
2.Inv3-Regulated-GO	ENSMUSG00000026421	Csrp1	cysteine and glycine-rich protein 1	160065_s_at	actin cytoskeleton organization and biogenesis
2.Inv3-Regulated-GO	ENSMUSG00000004530	Coro1c	coronin, actin binding protein 1C	98107_at	actin cytoskeleton organization and biogenesis
2.Inv3-Regulated-GO	ENSMUSG00000041688	Amot	angiomotin	95531_at	actin cytoskeleton organization and biogenesis
2.Inv3-Regulated-GO	ENSMUSG00000024456	Diap1	diaphanous homolog 1 (Drosophila)	160976_at	actin cytoskeleton organization and biogenesis
2.Inv3-Regulated-GO	ENSMUSG00000050347	Tmsb10	thymosin, beta 10	98129_at	actin cytoskeleton organization and biogenesis
2.Inv3-Regulated-GO	ENSMUSG00000002812	Fliih	flightless I homolog (Drosophila)	95489_at|97594_r_at	actin cytoskeleton organization and biogenesis
2.Inv3-Regulated-GO	ENSMUSG00000024143	Rhoq	ras homolog gene family, member Q	104725_at	actin cytoskeleton organization and biogenesis
2.Inv3-Regulated-GO	ENSMUSG00000021910	Nisch	nischarin	94236_at	actin cytoskeleton organization and biogenesis
2.Inv3-Regulated-GO	ENSMUSG00000033880	Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein	97507_at	isomerase activity
2.Inv3-Regulated-GO	ENSMUSG00000053898	Ech1	enoyl coenzyme A hydratase 1, peroxisomal	93754_at	isomerase activity
2.Inv3-Regulated-GO	ENSMUSG00000029781	Fkbp9	FK506 binding protein 9	93731_at	isomerase activity
2.Inv3-Regulated-GO	ENSMUSG00000024538	Ppic	peptidylprolyl isomerase C	100089_at	isomerase activity
2.Inv3-Regulated-GO	ENSMUSG00000020571	Pdia6	protein disulfide isomerase associated 6	94209_g_at	isomerase activity
2.Inv3-Regulated-GO	ENSMUSG00000024975	Pdcd4	programmed cell death 4	103029_at	isomerase activity
2.Inv3-Regulated-GO	ENSMUSG00000036427	Gpi1	glucose phosphate isomerase 1	100574_f_at	isomerase activity
2.Inv3-Regulated-GO	ENSMUSG00000019139	Isyna1	myo-inositol 1-phosphate synthase A1	160337_at	isomerase activity
2.Inv3-Regulated-GO	ENSMUSG00000011752	Pgam1	phosphoglycerate mutase 1	160091_at	isomerase activity
2.Inv3-Regulated-GO	ENSMUSG00000021417	Peci	peroxisomal delta3, delta2-enoyl-Coenzyme A isomerase	94485_at	isomerase activity
2.Inv3-Regulated-GO	ENSMUSG00000025823	Pdia4	protein disulfide isomerase associated 4	95423_at	isomerase activity
2.Inv3-Regulated-GO	ENSMUSG00000041378	Cldn5	claudin 5	104516_at	apicolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000037815	Ctnna1	catenin (cadherin associated protein), alpha 1	93364_at	apicolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000025006	Sorbs1	sorbin and SH3 domain containing 1	160320_at	apicolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000066720	Cldn9	claudin 9	94493_at	apicolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000030516	Tjp1	tight junction protein 1	99935_at	apicolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000031871	Cdh5	cadherin 5	104083_at	apicolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000038235	F11r	F11 receptor	103816_at	apicolateral plasma membrane
2.Inv3-Regulated-GO	ENSMUSG00000034868	Mylc2b	myosin light chain, regulatory B	94536_s_at|94537_at	apical part of cell
2.Inv3-Regulated-GO	ENSMUSG00000021190	Lgmn	legumain	93261_at	apical part of cell
2.Inv3-Regulated-GO	ENSMUSG00000006932	Ctnnb1	catenin (cadherin associated protein), beta 1	160430_at	apical part of cell
2.Inv3-Regulated-GO	ENSMUSG00000022892	App	amyloid beta (A4) precursor protein	93063_at	apical part of cell
2.Inv3-Regulated-GO	ENSMUSG00000027452	Acss1	acyl-CoA synthetase short-chain family member 1	160921_at	acetyl-CoA biosynthesis
2.Inv3-Regulated-GO	ENSMUSG00000000168	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	96746_at	acetyl-CoA biosynthesis
2.Inv3-Regulated-GO	ENSMUSG00000034957	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	98447_at	mitochondrion organization and biogenesis
2.Inv3-Regulated-GO	ENSMUSG00000003617	Cp	ceruloplasmin	92851_at	copper ion homeostasis
2.Inv3-Regulated-GO	ENSMUSG00000031996	Aplp2	amyloid beta (A4) precursor-like protein 2	93498_s_at	copper ion homeostasis
2.Inv3-Regulated-GO	ENSMUSG00000027338	Prnp	prion protein	100606_at	copper ion homeostasis
2.Inv3-Regulated-GO	ENSMUSG00000018585	Atox1	ATX1 (antioxidant protein 1) homolog 1 (yeast)	101984_at	copper ion homeostasis
2.Inv3-Regulated-GO	ENSMUSG00000022892	App	amyloid beta (A4) precursor protein	93063_at	copper ion homeostasis
2.Inv3-Regulated-GO	ENSMUSG00000024338	Psmb8	proteosome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)	102791_at	antigen processing
2.Inv3-Regulated-GO	ENSMUSG00000054328	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	93583_s_at	antigen processing
2.Inv3-Regulated-GO	ENSMUSG00000021772	Nkiras1	NFKB inhibitor interacting Ras-like protein 1	160991_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000027852	Nras	neuroblastoma ras oncogene	94362_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000002059	Rab34	RAB34, member of RAS oncogene family	160317_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000006575	Rap2ip	Rap2 interacting protein	103960_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000001768	Rin2	Ras and Rab interactor 2	160827_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000047446	Arl4a	ADP-ribosylation factor-like 4A	92805_s_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000033629	Ptplad1	protein tyrosine phosphatase-like A domain containing 1	93212_at|93747_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000004451	Ralb	v-ral simian leukemia viral oncogene homolog B (ras related)	160756_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000064037	Xab1	XPA binding protein 1	103406_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000038671	Arfrp1	ADP-ribosylation factor related protein 1	101866_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000002233	Rhoc	ras homolog gene family, member C	96056_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000019478	Rab4a	RAB4A, member RAS oncogene family	101921_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000041845	Rhod	ras homolog gene family, member D	95547_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000024143	Rhoq	ras homolog gene family, member Q	104725_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000034789	Rab24	RAB24, member RAS oncogene family	93347_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000028646	Rragc	Ras-related GTP binding C	98950_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000056515	Rab31	RAB31, member RAS oncogene family	96811_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000023460	Rab12	RAB12, member RAS oncogene family	104082_at	small GTPase mediated signal transduction
2.Inv3-Regulated-GO	ENSMUSG00000020097	Sgpl1	sphingosine phosphate lyase 1	96127_at	ceramide metabolism
2.Inv3-Regulated-GO	ENSMUSG00000007564	Ppp2r1a	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform	92573_at	ceramide metabolism
2.Inv3-Regulated-GO	ENSMUSG00000033191	Tie1	tyrosine kinase receptor 1	161184_f_at	plasma membrane fusion
2.Inv3-Regulated-GO	ENSMUSG00000029994	Anxa4	annexin A4	100584_at	phospholipase inhibitor activity
2.Inv3-Regulated-GO	ENSMUSG00000024659	Anxa1	annexin A1	161703_f_at|93037_i_at|93038_f_at	phospholipase inhibitor activity
2.Inv3-Regulated-GO	ENSMUSG00000032231	Anxa2	annexin A2	100569_at	phospholipase inhibitor activity
2.Inv3-Regulated-GO	ENSMUSG00000006007	Pdc	phosducin	162267_r_at	phospholipase inhibitor activity
2.Inv3-Regulated-GO	ENSMUSG00000034957	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	98447_at	embryonic placenta development
2.Inv3-Regulated-GO	ENSMUSG00000027315	Spint1	serine protease inhibitor, Kunitz type 1	97206_at	embryonic placenta development
2.Inv3-Regulated-GO	ENSMUSG00000056501	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta	92925_at	embryonic placenta development
2.Inv3-Regulated-GO	ENSMUSG00000035547	Capn5	calpain 5	102316_at	calpain activity
2.Inv3-Regulated-GO	ENSMUSG00000024942	Capn1	calpain 1	100932_at	calpain activity
2.Inv3-Regulated-GO	ENSMUSG00000026509	Capn2	calpain 2	101040_at	calpain activity
2.Inv3-Regulated-GO	ENSMUSG00000038366	Lasp1	LIM and SH3 protein 1	93793_at	cortical cytoskeleton organization and biogenesis
2.Inv3-Regulated-GO	ENSMUSG00000026923	Notch1	Notch gene homolog 1 (Drosophila)	97497_at	regulation of development
2.Inv3-Regulated-GO	ENSMUSG00000030302	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2	95324_at	di-\, tri-valent inorganic cation transporter activity
2.Inv3-Regulated-GO	ENSMUSG00000030287	Itpr2	inositol 1,4,5-triphosphate receptor 2	101441_i_at	di-\, tri-valent inorganic cation transporter activity
2.Inv3-Regulated-GO	ENSMUSG00000003617	Cp	ceruloplasmin	92851_at	di-\, tri-valent inorganic cation transporter activity
2.Inv3-Regulated-GO	ENSMUSG00000018585	Atox1	ATX1 (antioxidant protein 1) homolog 1 (yeast)	101984_at	di-\, tri-valent inorganic cation transporter activity
2.Inv3-Regulated-GO	ENSMUSG00000022797	Tfrc	transferrin receptor	103957_at	di-\, tri-valent inorganic cation transporter activity
2.Inv3-Regulated-GO	ENSMUSG00000005802	Slc30a4	solute carrier family 30 (zinc transporter), member 4	95571_at	di-\, tri-valent inorganic cation transporter activity
2.Inv3-Regulated-GO	ENSMUSG00000027247	Arhgap1	Rho GTPase activating protein 1	104315_at	Rho GTPase activator activity
2.Inv3-Regulated-GO	ENSMUSG00000028967	Errfi1	ERBB receptor feedback inhibitor 1	93975_at	Rho GTPase activator activity
2.Inv3-Regulated-GO	ENSMUSG00000032011	Thy1	thymus cell antigen 1, theta	99057_at	Rho GTPase activator activity
2.Inv3-Regulated-GO	ENSMUSG00000062033	HV52_MOUSE	Ig heavy chain V region VH558 A1/A4 precursor.	100362_f_at	antigen binding
2.Inv3-Regulated-GO	ENSMUSG00000059466	KV6A_MOUSE	Ig kappa chain V-VI region SAPC 10.	96971_f_at	antigen binding
2.Inv3-Regulated-GO	ENSMUSG00000007564	Ppp2r1a	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform	92573_at	antigen binding
2.Inv3-Regulated-GO	ENSMUSG00000036594	H2-Aa	histocompatibility 2, class II antigen E alpha	92866_at	antigen binding
2.Inv3-Regulated-GO	ENSMUSG00000066292	HV05_MOUSE	Ig heavy chain V region 3 precursor.	100721_f_at|101320_f_at	antigen binding
2.Inv3-Regulated-GO	ENSMUSG00000061944	Igl-V1	immunoglobulin lambda chain, variable 1	93638_s_at	antigen binding
2.Inv3-Regulated-GO	ENSMUSG00000066295	HV04_MOUSE	Ig heavy chain V region 23 precursor.	101320_f_at|92470_f_at	antigen binding
2.Inv3-Regulated-GO	ENSMUSG00000068408	KV4A_MOUSE	Ig kappa chain V-IV region S107B precursor.	96972_f_at	antigen binding
2.Inv3-Regulated-GO	ENSMUSG00000054328	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	93583_s_at	antigen binding
2.Inv3-Regulated-GO	ENSMUSG00000020097	Sgpl1	sphingosine phosphate lyase 1	96127_at	carboxylic acid metabolism
2.Inv3-Regulated-GO	ENSMUSG00000041688	Amot	angiomotin	95531_at	gastrulation (sensu Mammalia)
2.Inv3-Regulated-GO	ENSMUSG00000029201	Ugdh	UDP-glucose dehydrogenase	102322_at	gastrulation (sensu Mammalia)
2.Inv3-Regulated-GO	ENSMUSG00000006932	Ctnnb1	catenin (cadherin associated protein), beta 1	160430_at	gastrulation (sensu Mammalia)
2.Inv3-Regulated-GO	ENSMUSG00000024515	Smad4	MAD homolog 4 (Drosophila)	160440_at	gastrulation (sensu Mammalia)
2.Inv3-Regulated-GO	ENSMUSG00000059552	Trp53	transformation related protein 53	104154_at	protein tetramerization
2.Inv3-Regulated-GO	ENSMUSG00000002985	Apoe	apolipoprotein E	95356_at	protein tetramerization
2.Inv3-Regulated-GO	ENSMUSG00000029695	Aass	aminoadipate-semialdehyde synthase	103389_at	protein tetramerization
2.Inv3-Regulated-GO	ENSMUSG00000036446	Lum	lumican	93353_at	collagen fibril organization
2.Inv3-Regulated-GO	ENSMUSG00000033327	Tnxb	tenascin XB	102916_s_at	collagen fibril organization
2.Inv3-Regulated-GO	ENSMUSG00000032231	Anxa2	annexin A2	100569_at	collagen fibril organization
2.Inv3-Regulated-GO	ENSMUSG00000022371	Col14a1	procollagen, type XIV, alpha 1	99476_at	collagen fibril organization
2.Inv3-Regulated-GO	ENSMUSG00000006932	Ctnnb1	catenin (cadherin associated protein), beta 1	160430_at	synapse organization and biogenesis
2.Inv3-Regulated-GO	ENSMUSG00000041936	Agrn	agrin	97921_at	synapse organization and biogenesis
2.Inv3-Regulated-GO	ENSMUSG00000007458	M6pr	mannose-6-phosphate receptor, cation dependent	92847_s_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000036322	H2-Ea	histocompatibility 2, class II antigen E alpha	102904_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000006373	Pgrmc1	progesterone receptor membrane component 1	101585_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000028076	Cd1d1	CD1d1 antigen	101897_g_at|103422_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000010095	Slc3a2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	99133_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000036594	H2-Aa	histocompatibility 2, class II antigen E alpha	92866_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000032011	Thy1	thymus cell antigen 1, theta	99057_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000005672	Kit	kit oncogene	99956_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000026864	Hspa5	heat shock 70kD protein 5 (glucose-regulated protein)	101955_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000041750	Cd1d2	CD1d2 antigen	101897_g_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000016494	Cd34	CD34 antigen	160358_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000022892	App	amyloid beta (A4) precursor protein	93063_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000047139	Cd24a	CD24a antigen	100600_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000024610	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	101054_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000031778	Cx3cl1	chemokine (C-X3-C motif) ligand 1	98008_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000054328	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	93583_s_at	cell surface
2.Inv3-Regulated-GO	ENSMUSG00000028649	Macf1	microtubule-actin crosslinking factor 1	98402_at	actin binding
2.Inv3-Regulated-GO	ENSMUSG00000021998	Lcp1	lymphocyte cytosolic protein 1	94278_at	actin binding
2.Inv3-Regulated-GO	ENSMUSG00000004665	Cnn2	calponin 2	94004_at	actin binding
2.Inv3-Regulated-GO	ENSMUSG00000002812	Fliih	flightless I homolog (Drosophila)	95489_at|97594_r_at	actin binding
2.Inv3-Regulated-GO	ENSMUSG00000016382	Pls3	plastin 3 (T-isoform)	94445_at	actin binding
2.Inv3-Regulated-GO	ENSMUSG00000022443	Myh9	myosin, heavy polypeptide 9, non-muscle	100915_at|102108_f_at	actin binding
2.Inv3-Regulated-GO	ENSMUSG00000030707	Coro1a	coronin, actin binding protein 1A	96648_at	actin binding
2.Inv3-Regulated-GO	ENSMUSG00000015804	Med28	mediator of RNA polymerase II transcription, subunit 28 homolog (yeast)	95044_at	actin binding
2.Inv3-Regulated-GO	ENSMUSG00000060791	Gmfg	glia maturation factor, gamma	97384_at	actin binding
2.Inv3-Regulated-GO	ENSMUSG00000053931	Cnn3	calponin 3, acidic	160150_f_at	actin binding
