Rank	GO category	GO term	GO description	Unique id	Annotations	Description	GB acc	UG cluster	Gene symbol	Map Location	Parametric p-value	Geom mean of ratios in class 1	Geom mean of ratios in class 2	Ratio of geom means
272	6820	BP	anion transport	A_23_P101992	Info	MARCO; macrophage receptor with collagenous structure	NM_006770	Hs.67726	MARCO	chr2 (119,794,886-119,847,390)	0.8691375	3.066	3.248	0.944
273	6820	BP	anion transport	A_24_P235316	Info	VDAC3; voltage-dependent anion channel 3	NM_005662	Hs.439253	VDAC3	chr8 (42,266,686-42,280,822)	0.8774277	0.795	0.826	0.962
274	6820	BP	anion transport	A_23_P39647	Info	SLC4A3; solute carrier family 4, anion exchanger, member 3	NM_005070	Hs.1176	SLC4A3	chr2 (220,695,243-220,709,224)	0.8889837	1.197	1.235	0.969
275	6820	BP	anion transport	A_23_P45365	Info	COL4A5; collagen, type IV, alpha 5 (Alport syndrome)	NM_033380	Hs.169825	COL4A5	chrX (106,455,011-106,712,641)	0.9049948	0.699	0.669	1.045
276	6820	BP	anion transport	A_24_P372223	Info	MSR1; macrophage scavenger receptor 1	NM_138715	Hs.436887	MSR1	chr8 (15,975,756-16,060,590)	0.9312767	5.332	5.196	1.026
277	5021	MF	vascular endothelial growth factor receptor activity	A_23_P14798	Info	NEO1; neogenin homolog 1 (chicken)	NM_002499	Hs.388613	NEO1	chr15 (71,060,692-71,311,903)	0.0122176	0.822	1.19	0.691
278	5021	MF	vascular endothelial growth factor receptor activity	A_23_P421401	Info	PDGFRB; platelet-derived growth factor receptor, beta polypeptide	NM_002609	Hs.307783	PDGFRB	chr5 (149,521,886-149,563,917)	0.0405169	8.085	4.372	1.849
279	5021	MF	vascular endothelial growth factor receptor activity	A_23_P300033	Info	PDGFRA; platelet-derived growth factor receptor, alpha polypeptide	NM_006206	Hs.74615	PDGFRA	chr4 (55,011,053-55,076,981)	0.0684279	1.438	0.919	1.565
280	5021	MF	vascular endothelial growth factor receptor activity	A_23_P110253	Info	KIT; v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	NM_000222	Hs.81665	KIT	chr4 (55,439,643-55,522,397)	0.2348697	1.257	2.174	0.578
281	5021	MF	vascular endothelial growth factor receptor activity	A_24_P135322	Info	NRP1; neuropilin 1	BC007533	Hs.173548	NRP1	chr10 (33,470,413-33,627,604)	0.5171928	1.17	0.976	1.199
282	5001	MF	transmembrane receptor protein tyrosine phosphatase activity	A_23_P200984	Info	PTPRF; protein tyrosine phosphatase, receptor type, F	BC029466	Hs.75216	PTPRF	chr1 (43,499,512-43,502,078)	0.0004604	1.127	2.156	0.523
283	5001	MF	transmembrane receptor protein tyrosine phosphatase activity	A_24_P385313	Info	PTPRF; protein tyrosine phosphatase, receptor type, F	NM_002840	Hs.75216	PTPRF	chr1 (43,409,841-43,503,445)	0.0335206	2.259	4.108	0.55
284	5001	MF	transmembrane receptor protein tyrosine phosphatase activity	A_23_P53390	Info	PTPRB; protein tyrosine phosphatase, receptor type, B	NM_002837	Hs.434375	PTPRB	chr12 (69,200,990-69,317,458)	0.1026781	2.89	1.734	1.667
285	5001	MF	transmembrane receptor protein tyrosine phosphatase activity	A_32_P99100	Info	PTPRK; protein tyrosine phosphatase, receptor type, K	NM_002844	Hs.354262	PTPRK	chr6 (128,270,490-128,822,329)	0.1413545	1.195	1.824	0.655
286	5001	MF	transmembrane receptor protein tyrosine phosphatase activity	A_23_P125451	Info	PTPRC; protein tyrosine phosphatase, receptor type, C	NM_002838	Hs.444324	PTPRC	chr1 (195,896,425-196,014,864)	0.224932	4.512	3.053	1.478
287	5001	MF	transmembrane receptor protein tyrosine phosphatase activity	A_32_P79434	Info	PTPRN2; protein tyrosine phosphatase, receptor type, N polypeptide 2	NM_002847	Hs.74624	PTPRN2		0.3298326	0.535	0.423	1.265
288	5001	MF	transmembrane receptor protein tyrosine phosphatase activity	A_23_P138495	Info	PTPRE; protein tyrosine phosphatase, receptor type, E	NM_006504	Hs.437980	PTPRE	chr10 (129,179,718-129,356,833)	0.9017207	1.938	2	0.969
289	5001	MF	transmembrane receptor protein tyrosine phosphatase activity	A_24_P235248	Info	PTPRZ1; protein tyrosine phosphatase, receptor-type, Z polypeptide 1	NM_002851	Hs.78867	PTPRZ1	chr7 (121,067,683-121,256,884)	0.934593	0.512	0.521	0.983
290	5001	MF	transmembrane receptor protein tyrosine phosphatase activity	A_24_P213494	Info	PTPRE; protein tyrosine phosphatase, receptor type, E	AF406557	Hs.437980	PTPRE	chr10 (129,179,718-129,356,833)	0.9436477	3.446	3.501	0.984
291	19198	MF	transmembrane receptor protein phosphatase activity	A_23_P200984	Info	PTPRF; protein tyrosine phosphatase, receptor type, F	BC029466	Hs.75216	PTPRF	chr1 (43,499,512-43,502,078)	0.0004604	1.127	2.156	0.523
292	19198	MF	transmembrane receptor protein phosphatase activity	A_24_P385313	Info	PTPRF; protein tyrosine phosphatase, receptor type, F	NM_002840	Hs.75216	PTPRF	chr1 (43,409,841-43,503,445)	0.0335206	2.259	4.108	0.55
293	19198	MF	transmembrane receptor protein phosphatase activity	A_23_P53390	Info	PTPRB; protein tyrosine phosphatase, receptor type, B	NM_002837	Hs.434375	PTPRB	chr12 (69,200,990-69,317,458)	0.1026781	2.89	1.734	1.667
294	19198	MF	transmembrane receptor protein phosphatase activity	A_32_P99100	Info	PTPRK; protein tyrosine phosphatase, receptor type, K	NM_002844	Hs.354262	PTPRK	chr6 (128,270,490-128,822,329)	0.1413545	1.195	1.824	0.655
295	19198	MF	transmembrane receptor protein phosphatase activity	A_23_P125451	Info	PTPRC; protein tyrosine phosphatase, receptor type, C	NM_002838	Hs.444324	PTPRC	chr1 (195,896,425-196,014,864)	0.224932	4.512	3.053	1.478
296	19198	MF	transmembrane receptor protein phosphatase activity	A_32_P79434	Info	PTPRN2; protein tyrosine phosphatase, receptor type, N polypeptide 2	NM_002847	Hs.74624	PTPRN2		0.3298326	0.535	0.423	1.265
297	19198	MF	transmembrane receptor protein phosphatase activity	A_23_P138495	Info	PTPRE; protein tyrosine phosphatase, receptor type, E	NM_006504	Hs.437980	PTPRE	chr10 (129,179,718-129,356,833)	0.9017207	1.938	2	0.969
298	19198	MF	transmembrane receptor protein phosphatase activity	A_24_P235248	Info	PTPRZ1; protein tyrosine phosphatase, receptor-type, Z polypeptide 1	NM_002851	Hs.78867	PTPRZ1	chr7 (121,067,683-121,256,884)	0.934593	0.512	0.521	0.983
299	19198	MF	transmembrane receptor protein phosphatase activity	A_24_P213494	Info	PTPRE; protein tyrosine phosphatase, receptor type, E	AF406557	Hs.437980	PTPRE	chr10 (129,179,718-129,356,833)	0.9436477	3.446	3.501	0.984
300	7185	BP	transmembrane receptor protein tyrosine phosphatase signaling pathway	A_23_P200984	Info	PTPRF; protein tyrosine phosphatase, receptor type, F	BC029466	Hs.75216	PTPRF	chr1 (43,499,512-43,502,078)	0.0004604	1.127	2.156	0.523
301	7185	BP	transmembrane receptor protein tyrosine phosphatase signaling pathway	A_24_P385313	Info	PTPRF; protein tyrosine phosphatase, receptor type, F	NM_002840	Hs.75216	PTPRF	chr1 (43,409,841-43,503,445)	0.0335206	2.259	4.108	0.55
302	7185	BP	transmembrane receptor protein tyrosine phosphatase signaling pathway	A_23_P303087	Info	PTN; pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	NM_002825	Hs.44	PTN	chr7 (136,328,122-136,444,642)	0.5820492	1.264	0.911	1.387
303	7185	BP	transmembrane receptor protein tyrosine phosphatase signaling pathway	A_23_P425880	Info	TRIO; triple functional domain (PTPRF interacting)	NM_007118	Hs.367689	TRIO	chr5 (14,196,548-14,562,649)	0.7462962	0.914	0.882	1.036
304	7185	BP	transmembrane receptor protein tyrosine phosphatase signaling pathway	A_23_P170551	Info	PTN; pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	NM_002825	Hs.44	PTN	chr7 (136,328,122-136,444,642)	0.9911332	1.591	1.599	0.995
305	31072	MF	heat shock protein binding	A_24_P402064	Info	SEC63; SEC63-like (S. cerevisiae)	BC023598	Hs.330767	SEC63	chr6 (108,237,089-108,324,964)	0.0061324	1.223	2.175	0.562
306	31072	MF	heat shock protein binding	A_24_P192183	Info	SEC63; SEC63-like (S. cerevisiae)	BC023598	Hs.330767	SEC63	chr6 (108,237,089-108,324,964)	0.0107723	1.32	2.146	0.615
307	31072	MF	heat shock protein binding	A_24_P63827	Info	DNAJB6; DnaJ (Hsp40) homolog, subfamily B, member 6	NM_005494	Hs.181195	DNAJB6	chr11 (127,347,705-127,349,361)	0.0340934	0.871	1.385	0.629
308	31072	MF	heat shock protein binding	A_32_P229746	Info	DNAJB6; DnaJ (Hsp40) homolog, subfamily B, member 6	NM_005494	Hs.181195	DNAJB6	chr11 (127,347,705-127,349,361)	0.0613227	1.117	1.678	0.666
309	31072	MF	heat shock protein binding	A_23_P15090	Info	DNAJA2; DnaJ (Hsp40) homolog, subfamily A, member 2	NM_005880	Hs.368078	DNAJA2	chr16 (46,770,358-46,788,714)	0.065477	0.719	0.856	0.84
310	31072	MF	heat shock protein binding	A_23_P215227	Info	DNAJB6; DnaJ (Hsp40) homolog, subfamily B, member 6	NM_005494	Hs.181195	DNAJB6	chr11 (127,347,705-127,349,361)	0.10029	1.011	1.452	0.696
311	31072	MF	heat shock protein binding	A_23_P214977	Info	SEC63; SEC63-like (S. cerevisiae)	NM_007214	Hs.330767	SEC63	chr6 (108,237,089-108,324,964)	0.2134029	1.233	1.531	0.805
312	31072	MF	heat shock protein binding	A_23_P127128	Info	DNAJC1; DnaJ (Hsp40) homolog, subfamily C, member 1	NM_022365	Hs.13015	DNAJC1	chr10 (22,049,473-22,296,690)	0.2490499	1.169	1.485	0.787
313	31072	MF	heat shock protein binding	A_23_P51339	Info	DNAJB4; DnaJ (Hsp40) homolog, subfamily B, member 4	NM_007034	Hs.380282	DNAJB4	chr1 (77,893,194-77,906,244)	0.3143874	1.352	1.066	1.268
314	31072	MF	heat shock protein binding	A_23_P385063	Info	DNAJB6; DnaJ (Hsp40) homolog, subfamily B, member 6	NM_058246	Hs.181195	DNAJB6	chr7 (156,546,504-156,627,300)	0.3218648	1.214	1.411	0.86
315	31072	MF	heat shock protein binding	A_24_P393958	Info	DNAJB4; DnaJ (Hsp40) homolog, subfamily B, member 4	NM_007034	Hs.380282	DNAJB4	chr1 (77,893,194-77,906,244)	0.3273699	1.711	1.258	1.36
316	31072	MF	heat shock protein binding	A_23_P155700	Info	GAK; cyclin G associated kinase	NM_005255	Hs.153227	GAK	chr4 (832,896-916,005)	0.575673	0.633	0.685	0.924
317	31072	MF	heat shock protein binding	A_23_P60479	Info	DNAJA1; DnaJ (Hsp40) homolog, subfamily A, member 1	NM_001539	Hs.388392	DNAJA1	chr9 (33,015,160-33,029,903)	0.6486608	0.994	0.884	1.124
318	31072	MF	heat shock protein binding	A_24_P9671	Info	DNAJA1; DnaJ (Hsp40) homolog, subfamily A, member 1	NM_001539	Hs.388392	DNAJA1	chr9 (33,015,160-33,029,903)	0.7123874	0.991	0.903	1.097
319	31072	MF	heat shock protein binding	A_23_P206140	Info	DNAJA4; DnaJ (Hsp40) homolog, subfamily A, member 4	NM_018602	Hs.76853	DNAJA4	chr15 (76,272,306-76,290,355) chr15 (76,278,178-76,288,706)	0.7662279	1.908	1.801	1.059
320	31072	MF	heat shock protein binding	A_24_P397150	Info	GAK; cyclin G associated kinase	AK092587	Hs.153227	GAK	chr4 (832,890-835,172)	0.9176136	0.692	0.683	1.013
321	31072	MF	heat shock protein binding	A_23_P104372	Info	DNAJC9; DnaJ (Hsp40) homolog, subfamily C, member 9	NM_015190	Hs.400676	DNAJC9	chr10 (74,346,287-74,352,806)	0.9609546	0.695	0.703	0.989
322	31072	MF	heat shock protein binding	A_23_P166899	Info	DNAJB11; DnaJ (Hsp40) homolog, subfamily B, member 11	NM_016306	Hs.317192	DNAJB11	chr3 (187,606,100-187,624,501)	0.981973	0.742	0.739	1.004
323	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P200984	Info	PTPRF; protein tyrosine phosphatase, receptor type, F	BC029466	Hs.75216	PTPRF	chr1 (43,499,512-43,502,078)	0.0004604	1.127	2.156	0.523
324	7167	BP	enzyme linked receptor protein signaling pathway	A_24_P304636	Info	RPS6KA5; ribosomal protein S6 kinase, 90kDa, polypeptide 5	AF074393	Hs.109058	RPS6KA5	chr14 (89,327,213-89,517,000)	0.0046269	1.087	1.675	0.649
325	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P90359	Info	NRTN; neurturin	NM_004558	Hs.234775	NRTN	chr19 (5,756,064-5,779,338)	0.0171517	0.304	0.571	0.532
326	7167	BP	enzyme linked receptor protein signaling pathway	A_24_P385313	Info	PTPRF; protein tyrosine phosphatase, receptor type, F	NM_002840	Hs.75216	PTPRF	chr1 (43,409,841-43,503,445)	0.0335206	2.259	4.108	0.55
327	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P69958	Info	AP3S1; adaptor-related protein complex 3, sigma 1 subunit	NM_001284	Hs.406191	AP3S1	chr5 (115,243,229-115,326,016)	0.0361674	1.568	1.025	1.53
328	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P421401	Info	PDGFRB; platelet-derived growth factor receptor, beta polypeptide	NM_002609	Hs.307783	PDGFRB	chr5 (149,521,886-149,563,917)	0.0405169	8.085	4.372	1.849
329	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P95060	Info	EPHB3; EphB3	NM_004443	Hs.2913	EPHB3	chr3 (185,600,462-185,621,118)	0.0594061	2.511	4.269	0.588
330	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P251387	Info	REPS2; RALBP1 associated Eps domain containing 2	NM_004726	Hs.334168	REPS2	chrX (16,326,240-16,527,793)	0.0663184	0.979	1.335	0.733
331	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P300033	Info	PDGFRA; platelet-derived growth factor receptor, alpha polypeptide	NM_006206	Hs.74615	PDGFRA	chr4 (55,011,053-55,076,981)	0.0684279	1.438	0.919	1.565
332	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P30547	Info	LCP2; lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	NM_005565	Hs.2488	LCP2	chr5 (169,655,975-169,706,137)	0.0941657	2.532	1.85	1.369
333	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P167468	Info	PRLR; prolactin receptor	NM_000949	Hs.212892	PRLR	chr5 (35,109,728-35,276,105)	0.1078558	1.626	2.561	0.635
334	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P374695	Info	TEK; TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)	NM_000459	Hs.89640	TEK	chr9 (27,099,236-27,220,178)	0.1100204	1.972	1.18	1.671
335	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P61810	Info	BAIAP2; BAI1-associated protein 2	NM_017450	Hs.128316	BAIAP2	chr17 (79,709,174-79,782,917)	0.1575111	1.055	0.724	1.457
336	7167	BP	enzyme linked receptor protein signaling pathway	A_24_P235266	Info	GRB10; growth factor receptor-bound protein 10	NM_005311	Hs.512118	GRB10	chr7 (50,401,988-50,592,013)	0.2032678	1.18	0.952	1.239
337	7167	BP	enzyme linked receptor protein signaling pathway	A_24_P79054	Info	TGFB1; transforming growth factor, beta 1 (Camurati-Engelmann disease)	NM_000660	Hs.1103	TGFB1	chr19 (46,527,920-46,551,826)	0.2062943	0.477	0.399	1.195
338	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P168443	Info	EPHB4; EphB4	NM_004444	Hs.437008	EPHB4	chr7 (100,011,584-100,036,570)	0.2117456	0.922	1.152	0.8
339	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P66219	Info	PDPK1; 3-phosphoinositide dependent protein kinase-1	NM_002613	Hs.154729	PDPK1	chr16 (2,527,519-2,587,908)	0.2120497	0.902	0.794	1.136
340	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P110253	Info	KIT; v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	NM_000222	Hs.81665	KIT	chr4 (55,439,643-55,522,397)	0.2348697	1.257	2.174	0.578
341	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P77847	Info		NM_025199		GRB2	chr17 (73,911,281-73,998,930)	0.2650063	1.298	1.029	1.261
342	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P24926	Info	FNTA; farnesyltransferase, CAAX box, alpha	NM_002027	Hs.356463	FNTA	chr8 (42,928,420-42,958,304)	0.3274421	1.298	1.494	0.869
343	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P79221	Info	ACVR1; activin A receptor, type I	NM_001105	Hs.150402	ACVR1	chr2 (158,795,311-158,934,168)	0.3320299	1.348	1.176	1.146
344	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P301304	Info	FGFR1; fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	NM_000604	Hs.748	FGFR1	chr8 (38,287,090-38,343,531)	0.4013537	0.751	0.542	1.386
345	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P110791	Info	CSF1R; colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog	NM_005211	Hs.174142	CSF1R	chr5 (149,461,154-149,521,453)	0.4285066	14.685	12.541	1.171
346	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P145024	Info	ADRB2; adrenergic, beta-2-, receptor, surface	NM_000024	Hs.2551	ADRB2	chr5 (148,234,683-148,236,706)	0.4299205	1.281	1.069	1.198
347	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P61406	Info	SHC3; src homology 2 domain containing transforming protein C3	NM_016848	Hs.151123	SHC3	chr9 (87,117,543-87,283,731)	0.4306054	1.022	0.915	1.117
348	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P200443	Info	SHC1; SHC (Src homology 2 domain containing) transforming protein 1	NM_003029	Hs.433795	SHC1	chr1 (152,151,481-152,160,000) chr1 (152,151,567-152,163,672)	0.4425948	0.856	0.764	1.12
349	7167	BP	enzyme linked receptor protein signaling pathway	A_32_P163247	Info	CD8A; CD8 antigen, alpha polypeptide (p32)	NM_001768	Hs.85258	CD8A	chr2 (86,986,263-87,010,279)	0.4466339	2.789	2.274	1.226
350	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P347632	Info	MTSS1; metastasis suppressor 1	NM_014751	Hs.77694	MTSS1	chr8 (125,519,618-125,697,295) chr8 (125,519,619-125,528,429)	0.4630633	2.159	2.679	0.806
351	7167	BP	enzyme linked receptor protein signaling pathway	A_24_P123601	Info	DDR1; discoidin domain receptor family, member 1	NM_013994	Hs.423573	DDR1	chr6 (30,962,418-30,974,188)	0.4690592	2.046	2.785	0.735
352	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P89249	Info	ERBB2; v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	NM_004448	Hs.446352	ERBB2	chr17 (38,231,256-38,260,161)	0.4873523	2.47	1.707	1.447
353	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P312150	Info	EDN2; endothelin 2	NM_001956	Hs.1407	EDN2	chr1 (41,357,736-41,363,624)	0.516936	1.459	1.768	0.825
354	7167	BP	enzyme linked receptor protein signaling pathway	A_24_P242391	Info	MPZL1; myelin protein zero-like 1	AF092424	Hs.14891	MPZL1	chr1 (164,878,604-164,948,129)	0.5222694	1.215	1.412	0.86
355	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P303087	Info	PTN; pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	NM_002825	Hs.44	PTN	chr7 (136,328,122-136,444,642)	0.5820492	1.264	0.911	1.387
356	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P12363	Info	ROR1; receptor tyrosine kinase-like orphan receptor 1	NM_005012	Hs.274243	ROR1	chr1 (63,844,403-64,014,629)	0.6041884	0.462	0.4	1.155
357	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P255785	Info	NCK1; NCK adaptor protein 1	NM_006153	Hs.54589	NCK1	chr3 (137,901,968-137,988,881)	0.6079272	1.221	1.315	0.929
358	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P200780	Info	TGFBR3; transforming growth factor, beta receptor III (betaglycan, 300kDa)	NM_003243	Hs.342874	TGFBR3	chr1 (91,619,775-91,823,467)	0.6275679	1.617	1.369	1.181
359	7167	BP	enzyme linked receptor protein signaling pathway	A_24_P156781	Info	PIK3R3; phosphoinositide-3-kinase, regulatory subunit, polypeptide 3 (p55, gamma)	NM_003629	Hs.372548	PIK3R3	chr1 (45,875,723-45,967,962)	0.6445961	1.274	1.096	1.162
360	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P11874	Info	MPZL1; myelin protein zero-like 1	NM_003953	Hs.14891	MPZL1	chr1 (164,878,604-164,948,129)	0.6865261	1.093	1.197	0.913
361	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P114883	Info	FMOD; fibromodulin	NM_002023	Hs.442844	FMOD	chr1 (200,598,003-200,608,865)	0.7174004	19.406	16.994	1.142
362	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P19829	Info	PILRB; paired immunoglobin-like type 2 receptor beta	NM_175047	Hs.349256	PILRB	chr7 (99,560,663-99,576,752) chr7 (99,545,129-99,576,853)	0.7337575	1.925	1.785	1.078
363	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P215790	Info	EGFR; epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	NM_005228	Hs.77432	EGFR	chr7 (54,828,533-55,017,074)	0.7339032	0.954	1.085	0.879
364	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P425880	Info	TRIO; triple functional domain (PTPRF interacting)	NM_007118	Hs.367689	TRIO	chr5 (14,196,548-14,562,649)	0.7462962	0.914	0.882	1.036
365	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P202388	Info	SORBS1; sorbin and SH3 domain containing 1	NM_006434	Hs.108924	SORBS1	chr10 (96,739,403-96,985,717)	0.7984123	2.147	2.312	0.929
366	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P108501	Info	EPHA4; EphA4	NM_004438	Hs.73964	EPHA4	chr2 (222,492,495-222,639,560)	0.829802	1.058	1.011	1.046
367	7167	BP	enzyme linked receptor protein signaling pathway	A_24_P317907	Info	SORBS1; sorbin and SH3 domain containing 1	NM_015385	Hs.108924	SORBS1	chr10 (96,739,403-96,861,909)	0.8345512	2.489	2.251	1.106
368	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P169819	Info	EPHA3; EphA3	NM_005233	Hs.123642	EPHA3	chr3 (89,077,575-89,451,582)	0.8352008	0.656	0.632	1.038
369	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P35617	Info	PLCE1; phospholipase C, epsilon 1	NM_016341	Hs.103417	PLCE1	chr10 (95,418,333-95,753,171)	0.8393188	0.979	0.941	1.04
370	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P500501	Info	FGFR3; fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	NM_000142	Hs.1420	FGFR3	chr4 (1,757,262-1,772,237)	0.8546903	0.213	0.236	0.903
371	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P169756	Info	HIPK2; homeodomain interacting protein kinase 2	NM_022740	Hs.397465	HIPK2	chr7 (138,671,048-138,884,807)	0.8627285	1.655	1.732	0.956
372	7167	BP	enzyme linked receptor protein signaling pathway	A_24_P403244	Info	PILRB; paired immunoglobin-like type 2 receptor beta	NM_175047	Hs.349256	PILRB	chr7 (99,560,663-99,576,752) chr7 (99,545,129-99,576,853)	0.8639302	1.23	1.276	0.964
373	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P136347	Info	EPS8; epidermal growth factor receptor pathway substrate 8	NM_004447	Hs.2132	EPS8	chr12 (15,664,336-15,833,650)	0.8685758	1.654	1.721	0.961
374	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P5601	Info	DOK1; docking protein 1, 62kDa (downstream of tyrosine kinase 1)	NM_001381	Hs.103854	DOK1	chr2 (74,756,355-74,759,233)	0.8696723	1.239	1.203	1.03
375	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P349416	Info	ERBB3; v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	NM_001982	Hs.306251	ERBB3	chr12 (54,760,154-54,783,019)	0.9790758	1.092	1.096	0.996
376	7167	BP	enzyme linked receptor protein signaling pathway	A_23_P170551	Info	PTN; pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	NM_002825	Hs.44	PTN	chr7 (136,328,122-136,444,642)	0.9911332	1.591	1.599	0.995
377	15662	MF	ATPase activity\, coupled to transmembrane movement of ions\, phosphorylative mechanism	A_23_P128319	Info	ATP2B1; ATPase, Ca++ transporting, plasma membrane 1	NM_001682	Hs.20952	ATP2B1	chr12 (88,484,287-88,552,355)	0.0071359	0.676	0.459	1.473
378	15662	MF	ATPase activity\, coupled to transmembrane movement of ions\, phosphorylative mechanism	A_23_P142815	Info	ATP6V1B1; ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B, isoform 1 (Renal tubular acidosis with deafness)	NM_001692	Hs.64173	ATP6V1B1	chr2 (71,137,527-71,167,105)	0.0087132	0.786	1.451	0.542
379	15662	MF	ATPase activity\, coupled to transmembrane movement of ions\, phosphorylative mechanism	A_23_P31844	Info	ATP6V1B2; ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B, isoform 2	NM_001693	Hs.295917	ATP6V1B2	chr8 (20,064,977-20,089,491)	0.1170167	0.59	0.984	0.6
380	15662	MF	ATPase activity\, coupled to transmembrane movement of ions\, phosphorylative mechanism	A_23_P27472	Info	ATP1A3; ATPase, Na+/K+ transporting, alpha 3 polypeptide	NM_152296	Hs.380447	ATP1A3	chr19 (47,162,573-47,190,185)	0.1672952	0.579	0.782	0.74
381	15662	MF	ATPase activity\, coupled to transmembrane movement of ions\, phosphorylative mechanism	A_23_P143916	Info	ATP2C1; ATPase, Ca++ transporting, type 2C, member 1	NM_014382	Hs.106778	ATP2C1	chr3 (131,933,751-132,041,755)	0.2632599	1.654	2.041	0.81
382	15662	MF	ATPase activity\, coupled to transmembrane movement of ions\, phosphorylative mechanism	A_23_P148879	Info	ATP1A2; ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide	NM_000702	Hs.34114	ATP1A2	chr1 (157,300,962-157,330,367)	0.2667875	1.809	0.848	2.133
383	15662	MF	ATPase activity\, coupled to transmembrane movement of ions\, phosphorylative mechanism	A_23_P207632	Info	ATP2A3; ATPase, Ca++ transporting, ubiquitous	NM_174953	Hs.5541	ATP2A3	chr17 (4,033,759-4,074,326)	0.3080404	0.96	0.852	1.127
384	15662	MF	ATPase activity\, coupled to transmembrane movement of ions\, phosphorylative mechanism	A_23_P1072	Info	ATP1A1; ATPase, Na+/K+ transporting, alpha 1 polypeptide	NM_000701	Hs.371889	ATP1A1	chr1 (116,262,194-116,294,165)	0.3830648	0.881	1.073	0.821
385	15662	MF	ATPase activity\, coupled to transmembrane movement of ions\, phosphorylative mechanism	A_23_P146943	Info	ATP1B1; ATPase, Na+/K+ transporting, beta 1 polypeptide	NM_001677	Hs.78629	ATP1B1	chr1 (166,263,318-166,289,948)	0.5700685	0.865	1.071	0.808
386	15662	MF	ATPase activity\, coupled to transmembrane movement of ions\, phosphorylative mechanism	A_23_P68007	Info	ATP1B3; ATPase, Na+/K+ transporting, beta 3 polypeptide	NM_001679	Hs.76941	ATP1B3	chr3 (142,916,301-142,966,291)	0.6548458	0.678	0.621	1.092
