UGCluster	Symbol	Name	GOabr	Genes Overexpressed in
Hs.356739	PPP6C	protein phosphatase 6, catalytic subunit	G1/S transition of mitotic cell cycle|hydrolase activity|manganese ion binding|protein amino acid dephosphorylation|protein serine/threonine phosphatase activity	Immortal cell lines
Hs.95577	CDK4	cyclin-dependent kinase 4	ATP binding|G1/S transition of mitotic cell cycle|cyclin-dependent protein kinase activity|cytokinesis|protein amino acid phosphorylation|protein kinase activity|regulation of cell cycle|transferase activity	Immortal cell lines
Hs.150555	HSU79274	protein predicted by clone 23733		Immortal cell lines
Hs.154672	MTHFD2	methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	electron transporter activity|folic acid and derivative biosynthesis|hydrolase activity|magnesium ion binding|methenyltetrahydrofolate cyclohydrolase activity|methylenetetrahydrofolate dehydrogenase (NAD+) activity|mitochondrion|one-carbon compound metabolism|oxidoreductase activity	Immortal cell lines
Hs.34045	CDCA4	cell division cycle associated 4		Immortal cell lines
Hs.75850	WASF1	WAS protein family, member 1	actin binding|actin cytoskeleton|actin filament polymerization|cell motility|protein complex assembly	Immortal cell lines
Hs.58488	CTNNAL1	catenin (cadherin-associated protein), alpha-like 1	apoptosis	Immortal cell lines
Hs.99987	ERCC2	excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)	ATP binding|ATP-dependent DNA helicase activity|DNA binding|hydrolase activity|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides|magnesium ion binding|nucleotide-excision repair|nucleus|perception of sound|regulation of transcription, DNA-dependent	Immortal cell lines
Hs.425427	LYAR	hypothetical protein FLJ20425		Immortal cell lines
Hs.367821	DTYMK	deoxythymidylate kinase (thymidylate kinase)	ATP binding|DNA metabolism|cell cycle|dTDP biosynthesis|dTTP biosynthesis|kinase activity|nucleotide biosynthesis|thymidylate kinase activity|transferase activity	Immortal cell lines
Hs.87491	TYMS	thymidylate synthetase		Immortal cell lines
Hs.141347	MGC33864	ADP-ribosylation-like factor 6-interacting protein 6		Immortal cell lines
Hs.119960		Data not found		Immortal cell lines
Hs.318526	FLJ12661	hypothetical protein FLJ12661		Immortal cell lines
Hs.446311	MGC10911	hypothetical protein MGC10911		Immortal cell lines
Hs.13340	HAT1	histone acetyltransferase 1	DNA packaging|acyltransferase activity|histone acetyltransferase activity|internal protein amino acid acetylation|nucleus|protein binding|transferase activity	Immortal cell lines
Hs.146161	MGC2408	hypothetical protein MGC2408	S-adenosylmethionine-dependent methyltransferase activity	Immortal cell lines
Hs.291898	MRPL16	mitochondrial ribosomal protein L16	intracellular|protein biosynthesis|ribosome|structural constituent of ribosome	Immortal cell lines
Hs.94308	RAB35	RAB35, member RAS oncogene family		Immortal cell lines
Hs.408355	LRP11	low density lipoprotein receptor-related protein 11		Immortal cell lines
Hs.18528	SSNA1	Sjogrens syndrome nuclear autoantigen 1	nucleus	Immortal cell lines
Hs.374491	PA2G4	proliferation-associated 2G4, 38kDa	cell cycle arrest|cell proliferation|hydrolase activity|methionyl aminopeptidase activity|nucleus|proteolysis and peptidolysis	Immortal cell lines
Hs.172865	CSTF1	cleavage stimulation factor, 3 pre-RNA, subunit 1, 50kDa	RNA binding|RNA processing|mRNA cleavage|mRNA polyadenylation|nucleus	Immortal cell lines
Hs.442609	MRPL38	mitochondrial ribosomal protein L38		Immortal cell lines
Hs.433208	MGC11257	hypothetical protein MGC11257		Immortal cell lines
Hs.401703	C20orf52	chromosome 20 open reading frame 52	integral to membrane	Immortal cell lines
Hs.29874	RNF135	ring finger protein 135		Immortal cell lines
Hs.103834	MGC5576	hypothetical protein MGC5576		Immortal cell lines
Hs.306122	GPSN2	glycoprotein, synaptic 2	integral to membrane	Immortal cell lines
Hs.19236	NDUFB5	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa	NADH dehydrogenase (ubiquinone) activity|NADH dehydrogenase activity|mitochondrial electron transport, NADH to ubiquinone|mitochondrion|oxidoreductase activity	Immortal cell lines
Hs.444536	SLC5A8	solute carrier family 5 (iodide transporter), member 8	membrane|transport|transporter activity	Immortal cell lines
Hs.339697	GRINA	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding)	receptor activity	Immortal cell lines
Hs.296422	COASY	Coenzyme A synthase	ATP binding|cellular_component unknown|coenzyme A biosynthesis|dephospho-CoA kinase activity|nucleotide binding|pantetheine-phosphate adenylyltransferase activity|transferase activity	Immortal cell lines
Hs.12106	MMAB	methylmalonic aciduria (cobalamin deficiency) type B		Immortal cell lines
Hs.130607	MVK	mevalonate kinase (mevalonic aciduria)	ATP binding|biosynthesis|cholesterol biosynthesis|cytoplasm|isoprenoid biosynthesis|mevalonate kinase activity|peroxisome|protein amino acid phosphorylation|transferase activity	Immortal cell lines
Hs.348495	HIST3H2A	histone 3, H2a	DNA binding|chromosome organization and biogenesis (sensu Eukarya)|nucleosome|nucleosome assembly|nucleus	Immortal cell lines
Hs.513334		Transcribed sequence with weak similarity to protein ref:NP_055131.1 (H.sapiens) calcium-regulated heat-stable protein		Immortal cell lines
Hs.95583	NET-7	transmembrane 4 superfamily member tetraspan NET-7	integral to plasma membrane|membrane fraction	Immortal cell lines
Hs.144949	ZNF313	zinc finger protein 313	nucleic acid binding|nucleus|zinc ion binding	Immortal cell lines
Hs.399981	C20orf178	chromosome 20 open reading frame 178	molecular_function unknown	Immortal cell lines
Hs.443292	CPS1	carbamoyl-phosphate synthetase 1, mitochondrial	ATP binding|arginine biosynthesis|carbamoyl-phosphate synthase (ammonia) activity|ligase activity|mitochondrion|pyrimidine base biosynthesis|urea cycle	Immortal cell lines
Hs.137594	HIST1H2BL	histone 1, H2bl	DNA binding|chromosome|chromosome organization and biogenesis (sensu Eukarya)|nucleosome|nucleosome assembly|nucleus	Immortal cell lines
Hs.2178	HIST2H2BE	histone 2, H2be	DNA binding|chromosome|chromosome organization and biogenesis (sensu Eukarya)|nucleosome|nucleosome assembly|nucleus	Immortal cell lines
Hs.519945	HIST1H2BJ	histone 1, H2bj	DNA binding|chromosome|chromosome organization and biogenesis (sensu Eukarya)|nucleosome|nucleosome assembly|nucleus	Immortal cell lines
Hs.301636	PEX6	peroxisomal biogenesis factor 6	ATP binding|ATPase activity, coupled|cytoplasm|nucleic acid binding|nucleotide binding|peroxisome|peroxisome organization and biogenesis	Immortal cell lines
Hs.153591	ALG3	asparagine-linked glycosylation 3 homolog (yeast, alpha-1,3-mannosyltransferase)	endoplasmic reticulum|integral to endoplasmic reticulum membrane|mannosyltransferase activity|protein amino acid glycosylation|transferase activity, transferring glycosyl groups	Immortal cell lines
Hs.380875	TEB4	similar to S. cerevisiae SSM4		Immortal cell lines
Hs.1973	CCNF	cyclin F	cytokinesis|mitosis|nucleus|regulation of cell cycle	Immortal cell lines
Hs.289271	CYC1	cytochrome c-1	electron transport|electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity|heme binding|integral to membrane|mitochondrial electron transport chain|mitochondrion	Immortal cell lines
Hs.157818	KCNAB1	potassium voltage-gated channel, shaker-related subfamily, beta member 1		Immortal cell lines
Hs.83765	DHFR	dihydrofolate reductase	cellular_component unknown|dihydrofolate reductase activity|glycine biosynthesis|nucleotide biosynthesis|one-carbon compound metabolism|oxidoreductase activity	Immortal cell lines
Hs.204891	IL11RA	interleukin 11 receptor, alpha	integral to plasma membrane|transmembrane receptor activity	Immortal cell lines
Hs.433291	ARD1	ARD1 homolog, N-acetyltransferase (S. cerevisiae)	DNA packaging|N-acetyltransferase activity|acyltransferase activity|chromosome organization and biogenesis (sensu Eukarya)|internal protein amino acid acetylation|nucleus|transferase activity	Immortal cell lines
Hs.502	TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	ATP binding|ATP-binding cassette (ABC) transporter activity|MHC class I protein binding|TAP complex|antigen presentation, endogenous peptide antigen|antigen processing, endogenous antigen via MHC class I|cytosol|cytosol to ER transport|endoplasmic reticulum lumen|homoaconitate hydratase activity|integral to membrane|intracellular protein transport|nucleotide binding|peptide antigen binding|peptide antigen transporter activity|peptide transport|phosphate binding|protein complex assembly|protein heterodimerization activity|tapasin binding	Immortal cell lines
Hs.2985	EMD	emerin (Emery-Dreifuss muscular dystrophy)	integral to membrane|muscle contraction|muscle development|nuclear membrane	Immortal cell lines
Hs.237971	XTP3TPA	XTP3-transactivated protein A		Immortal cell lines
Hs.444776	PTE1	peroxisomal acyl-CoA thioesterase	acyl-CoA metabolism|acyl-CoA thioesterase II activity|antimicrobial humoral response (sensu Vertebrata)|hydrolase activity|lipid metabolism|palmitoyl-CoA hydrolase activity|peroxisome|serine esterase activity	Immortal cell lines
Hs.344400	MPHOSPH6	M-phase phosphoprotein 6	M phase of mitotic cell cycle|nucleus|regulation of cell cycle	Immortal cell lines
Hs.75313	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)		Immortal cell lines
Hs.15106	C14orf1	chromosome 14 open reading frame 1	biological_process unknown|integral to membrane|molecular_function unknown	Immortal cell lines
Hs.11806	DHCR7	7-dehydrocholesterol reductase	7-dehydrocholesterol reductase activity|cholesterol biosynthesis|endoplasmic reticulum|integral to membrane|oxidoreductase activity	Immortal cell lines
Hs.213289	LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	O-linked glycosylation|calcium ion binding|cholesterol metabolism|coated pit|endocytosis|integral to plasma membrane|lipid metabolism|lipid transport|lipid transporter activity|lipoprotein binding|low-density lipoprotein receptor activity|transmembrane receptor activity	Immortal cell lines
Hs.3686 |		Data not found		Immortal cell lines
Hs.129055	ODF2	outer dense fiber of sperm tails 2	structural molecule activity	Immortal cell lines
Hs.181466	FLJ14502	TRAF4 associated factor 1		Immortal cell lines
Hs.24641	CKAP2	cytoskeleton associated protein 2		Immortal cell lines
Hs.166887	CPNE1	copine I	calcium-dependent phospholipid binding|lipid metabolism|transporter activity|vesicle-mediated transport	Immortal cell lines
Hs.83758	CKS2	CDC28 protein kinase regulatory subunit 2	cell cycle|cyclin-dependent protein kinase activity|cytokinesis|regulation of cyclin dependent protein kinase activity	Immortal cell lines
Hs.398111	LOC93081	hypothetical protein BC015148		Immortal cell lines
Hs.75069	SHMT2	serine hydroxymethyltransferase 2 (mitochondrial)	L-serine metabolism|glycine hydroxymethyltransferase activity|glycine metabolism|mitochondrion|one-carbon compound metabolism|transferase activity	Immortal cell lines
Hs.3104 |		Data not found		Immortal cell lines
Hs.435935	HSPC129	hypothetical protein HSPC129		Immortal cell lines
Hs.35086	USP1	ubiquitin specific protease 1	cysteine-type endopeptidase activity|hydrolase activity|ubiquitin thiolesterase activity|ubiquitin-dependent protein catabolism|ubiquitin-specific protease activity	Immortal cell lines
Hs.24529	CHEK1	CHK1 checkpoint homolog (S. pombe)	ATP binding|DNA damage response, signal transduction resulting in cell cycle arrest|cell cycle|condensed nuclear chromosome|gametogenesis|meiotic recombination|negative regulation of cell proliferation|nucleus|protein amino acid phosphorylation|protein serine/threonine kinase activity|regulation of cyclin dependent protein kinase activity|response to DNA damage stimulus|transferase activity	Immortal cell lines
Hs.408312	TP53	tumor protein p53 (Li-Fraumeni syndrome)	DNA damage response, signal transduction resulting in induction of apoptosis|DNA recombination|DNA repair|apoptosis|cell cycle checkpoint|induction of apoptosis by hormones|negative regulation of cell cycle|nuclease activity|nucleus|regulation of transcription, DNA-dependent|transcription factor activity	Immortal cell lines
Hs.383396	RRM1	ribonucleotide reductase M1 polypeptide	DNA replication|oxidoreductase activity|ribonucleoside-diphosphate reductase activity|ribonucleoside-diphosphate reductase complex	Immortal cell lines
Hs.193725	PSMD5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	proteasome complex (sensu Eukarya)	Immortal cell lines
Hs.20555	MRE11A	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	3-5 exonuclease activity|double-strand break repair via nonhomologous end-joining|double-stranded DNA binding|hydrolase activity|manganese ion binding|meiosis|meiotic recombination|nucleoplasm|regulation of mitotic recombination|single-stranded DNA specific endodeoxyribonuclease activity|telomerase-dependent telomere maintenance	Immortal cell lines
Hs.419170	GPR126	G protein-coupled receptor 126	G-protein coupled receptor activity|membrane|neuropeptide signaling pathway|receptor activity	Immortal cell lines
Hs.75133	TFAM	transcription factor A, mitochondrial	DNA-dependent DNA replication|mitochondrion|regulation of transcription from Pol I promoter|transcription factor activity|transcription from mitochondrial promoter	Immortal cell lines
Hs.115285	DLAT	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	acetyl-CoA biosynthesis|acyltransferase activity|dihydrolipoyllysine-residue acetyltransferase activity|glycolysis|metabolism|mitochondrion|protein binding|pyruvate dehydrogenase complex (sensu Eukarya)|transferase activity	Immortal cell lines
Hs.435326	BAF53A	BAF53	actin filament|chromatin binding|chromatin remodeling|motor activity|nucleus|response to pest/pathogen/parasite|signal transduction|structural constituent of cytoskeleton	Immortal cell lines
Hs.168625	APRIN	androgen-induced proliferation inhibitor	ATP binding|DNA binding|DNA binding|cell proliferation|negative regulation of cell proliferation|nucleus|nucleus|regulation of transcription, DNA-dependent	Immortal cell lines
Hs.389996	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2		Immortal cell lines
Hs.99014		Clone IMAGE:5441520, mRNA		Immortal cell lines
Hs.77783	PKMYT1	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	ATP binding|Golgi apparatus|endoplasmic reticulum|membrane fraction|protein amino acid phosphorylation|protein serine/threonine kinase activity|regulation of cyclin dependent protein kinase activity|regulation of mitosis|transferase activity	Immortal cell lines
Hs.207134	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	cytoskeleton	Immortal cell lines
Hs.36708	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	ATP binding|anaphase-promoting complex|cell cycle|kinetochore|mitosis|mitotic checkpoint|nucleus|protein amino acid phosphorylation|protein serine/threonine kinase activity|transferase activity	Immortal cell lines
Hs.347524	MGC24665	hypothetical protein MGC24665		Immortal cell lines
Hs.4854 |		Data not found		Immortal cell lines
Hs.196177	PHKG2	phosphorylase kinase, gamma 2 (testis)	ATP binding|ATP binding|calmodulin binding|energy pathways|glycogen biosynthesis|phosphorylase kinase activity|phosphorylase kinase activity|phosphorylase kinase complex|phosphorylase kinase complex|protein amino acid phosphorylation|protein amino acid phosphorylation|protein kinase activity|protein serine/threonine kinase activity|transferase activity	Immortal cell lines
Hs.19192	CDK2	cyclin-dependent kinase 2	ATP binding|G2/M transition of mitotic cell cycle|cell cycle|cyclin-dependent protein kinase activity|cytokinesis|cytoplasm|mitosis|nucleus|positive regulation of cell proliferation|protein amino acid phosphorylation|protein serine/threonine kinase activity|regulation of DNA replication|transferase activity|traversing start control point of mitotic cell cycle	Immortal cell lines
Hs.108112	POLE3	polymerase (DNA directed), epsilon 3 (p17 subunit)	DNA binding|DNA replication|epsilon DNA polymerase activity|nucleus	Immortal cell lines
Hs.22302	GTF3C4	general transcription factor IIIC, polypeptide 4, 90kDa	H3/H4 histone acetyltransferase activity|RNA polymerase III transcription factor activity|enzyme activator activity|transcription factor TFIIIC complex|transcription initiation from Pol III promoter	Immortal cell lines
Hs.435166	LBR	lamin B receptor	DNA binding|integral to nuclear inner membrane|lamin binding|nucleus|receptor activity	Immortal cell lines
Hs.314623	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	cytoplasm|hemopoiesis|nucleic acid binding|nucleus|regulation of transcription, DNA-dependent|zinc ion binding	Immortal cell lines
Hs.460 ||		Data not found		Immortal cell lines
Hs.406913	FLJ38753	hypothetical protein FLJ38753		Immortal cell lines
Hs.443495	CYB5-M	cytochrome b5 outer mitochondrial membrane precursor		Immortal cell lines
Hs.407477	PEX13	peroxisome biogenesis factor 13	integral to membrane|integral to peroxisomal membrane|intracellular protein transport|membrane fraction|peroxisome|peroxisome receptor docking|protein transporter activity	Immortal cell lines
Hs.443139	KIAA1833	hypothetical protein KIAA1833		Immortal cell lines
Hs.512742	KIAA1815	KIAA1815		Immortal cell lines
Hs.446414	CD47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	cell-matrix adhesion|integral to plasma membrane|integrin-mediated signaling pathway|protein binding	Immortal cell lines
Hs.502773	SIPL	SIPL protein		Immortal cell lines
Hs.355533	ADK	adenosine kinase	adenosine kinase activity|kinase activity|magnesium ion binding|purine ribonucleoside salvage|ribonucleoside monophosphate biosynthesis|transferase activity	Immortal cell lines
Hs.284275	PAK2	p21 (CDKN1A)-activated kinase 2	ATP binding|negative regulation of protein kinase activity|protein amino acid phosphorylation|protein serine/threonine kinase activity|signal transduction|transferase activity	Immortal cell lines
Hs.203637	PLS1	plastin 1 (I isoform)	actin cytoskeleton|actin filament binding|brush border|calcium ion binding|structural constituent of cytoskeleton	Immortal cell lines
Hs.389649	DDX48	DEAD (Asp-Glu-Ala-Asp) box polypeptide 48	ATP binding|ATP-dependent helicase activity|DNA binding|RNA binding|nucleus|rRNA processing	Immortal cell lines
Hs.406492	KIAA0738	KIAA0738 gene product		Immortal cell lines
Hs.27278		Transcribed sequence with weak similarity to protein pdb:2RMA (H.sapiens) S Chain S, Cyclophilin A		Immortal cell lines
Hs.387567	ACLY	ATP citrate lyase	ATP binding|ATP catabolism|ATP citrate synthase activity|citrate (Si)-synthase activity|citrate lyase complex|citrate metabolism|coenzyme A metabolism|lipid biosynthesis|magnesium ion binding|metabolism|transferase activity|tricarboxylic acid cycle	Immortal cell lines
Hs.283127		Similar to diaphanous homolog 3 (Drosophila), clone IMAGE:5277415, mRNA		Immortal cell lines
Hs.124085	NRXN2	neurexin 2	cell adhesion|integral to membrane|protein binding	Immortal cell lines
Hs.3566	NOB1P	likely ortholog of mouse nin one binding protein		Immortal cell lines
Hs.311097	XPO4	exportin 4	intracellular protein transport|nucleus|protein transporter activity	Immortal cell lines
Hs.435733	CDCA7	cell division cycle associated 7		Immortal cell lines
Hs.407135	ADA	adenosine deaminase	adenosine deaminase activity|antimicrobial humoral response (sensu Vertebrata)|hydrolase activity|nucleotide metabolism|purine ribonucleoside monophosphate biosynthesis	Immortal cell lines
Hs.434059	ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	nucleus|nucleus|regulation of transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription factor activity|transcriptional activator activity	Immortal cell lines
Hs.173724	CKB	creatine kinase, brain	creatine kinase activity|cytoplasm|transferase activity, transferring phosphorus-containing groups	Immortal cell lines
Hs.212957	TSBF1	tumor suppressor TSBF1	intracellular|zinc ion binding	Immortal cell lines
Hs.12702	ARID5B	AT rich interactive domain 5B (MRF1-like)	DNA binding|nucleus|regulation of transcription, DNA-dependent	Tumor tissue and tumor cultures
Hs.390463	SYTL2	synaptotagmin-like 2		Tumor tissue and tumor cultures
Hs.365706	MGP	matrix Gla protein	calcium ion binding|cartilage condensation|extracellular matrix|extracellular matrix structural constituent|ossification|regulation of bone mineralization|structural constituent of bone	Tumor tissue and tumor cultures
Hs.439040	RPESP	RPE-spondin		Tumor tissue and tumor cultures
Hs.80342	KRT15	keratin 15	epidermis development|intermediate filament|structural constituent of cytoskeleton	Tumor tissue and tumor cultures
Hs.2256	MMP7	matrix metalloproteinase 7 (matrilysin, uterine)	calcium ion binding|collagen catabolism|extracellular matrix|extracellular space|hydrolase activity|matrilysin activity|zinc ion binding	Tumor tissue and tumor cultures
Hs.79404	D4S234E	DNA segment on chromosome 4 (unique) 234 expressed sequence	Golgi apparatus|integral to membrane|nucleus	Tumor tissue and tumor cultures
Hs.259412		hypothetical protein dJ465N24.2.1		Tumor tissue and tumor cultures
Hs.293748		CDNA FLJ26063 fis, clone PRS04788		Tumor tissue and tumor cultures
Hs.410774	RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	ATP binding|cell growth and/or maintenance|development|nucleus|regulation of transcription, DNA-dependent|transcription factor activity	Tumor tissue and tumor cultures
Hs.386078	MYLK	myosin, light polypeptide kinase	ATP binding|calmodulin binding|kinase activity|myosin-light-chain kinase activity|protein amino acid phosphorylation|protein serine/threonine kinase activity|signal transducer activity|transferase activity	Tumor tissue and tumor cultures
Hs.300642	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)		Tumor tissue and tumor cultures
Hs.211573	HSPG2	heparan sulfate proteoglycan 2 (perlecan)	basement membrane|extracellular space|structural molecule activity	Tumor tissue and tumor cultures
Hs.65436	LOXL1	lysyl oxidase-like 1	copper ion binding|electron transporter activity|extracellular|oxidoreductase activity|protein modification|protein-lysine 6-oxidase activity	Tumor tissue and tumor cultures
Hs.169487	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	DNA binding|nucleus|regulation of transcription, DNA-dependent|sensory organ development	Tumor tissue and tumor cultures
Hs.433845	KRT5	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)	epidermis development|intermediate filament|structural constituent of cytoskeleton	Tumor tissue and tumor cultures
Hs.409934	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	MHC class II receptor activity|MHC class II receptor activity|antigen presentation, exogenous antigen|antigen processing, exogenous antigen via MHC class II|immune response|immune response|integral to membrane	Tumor tissue and tumor cultures
Hs.351874	HLA-DOA	major histocompatibility complex, class II, DO alpha	MHC class II receptor activity|antigen presentation, exogenous antigen|antigen processing, exogenous antigen via MHC class II|immune response|integral to membrane|plasma membrane	Tumor tissue and tumor cultures
Hs.26204	KIAA1295	KIAA1295 protein		Tumor tissue and tumor cultures
Hs.412559	FLJ21127	hypothetical protein FLJ21127		Tumor tissue and tumor cultures
Hs.410037	CTGF	connective tissue growth factor	DNA metabolism|cell adhesion|cell growth and/or maintenance|cell motility|epidermis development|extracellular matrix|extracellular space|heparin binding|insulin-like growth factor binding|plasma membrane|protein binding|regulation of cell growth|response to wounding|soluble fraction	Tumor tissue and tumor cultures
Hs.15535	TCEB3	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	defense response|nucleus|protein binding|regulation of transcription from Pol II promoter|transcription|transcriptional elongation regulator activity	Tumor tissue and tumor cultures
Hs.181244	HLA-A	major histocompatibility complex, class I, A	MHC class I receptor activity|antigen presentation, endogenous antigen|antigen processing, endogenous antigen via MHC class I|immune response|integral to plasma membrane	Tumor tissue and tumor cultures
Hs.240443		MRNA; cDNA DKFZp686L01105 (from clone DKFZp686L01105)		Tumor tissue and tumor cultures
Hs.433995		CDNA FLJ26120 fis, clone SYN00419		Tumor tissue and tumor cultures
Hs.169294	TCF7	transcription factor 7 (T-cell specific, HMG-box)	DNA binding|RNA polymerase II transcription factor activity|Wnt receptor signaling pathway|immune response|nucleus|regulation of transcription from Pol II promoter|regulation of transcription, DNA-dependent	Tumor tissue and tumor cultures
Hs.250615	CYP2A7	cytochrome P450, family 2, subfamily A, polypeptide 7	electron transport|endoplasmic reticulum|membrane|microsome|monooxygenase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen|oxygen binding	Tumor tissue and tumor cultures
Hs.429994	KIAA1010	scaffold protein TUBA		Tumor tissue and tumor cultures
Hs.8850	ADAM12	a disintegrin and metalloproteinase domain 12 (meltrin alpha)		Tumor tissue and tumor cultures
Hs.409202	JAG1	jagged 1 (Alagille syndrome)	Notch binding|Notch signaling pathway|angiogenesis|calcium ion binding|calcium ion binding|cell communication|cell fate determination|development|endothelial cell differentiation|extracellular|growth factor activity|hemopoiesis|integral to plasma membrane|keratinocyte differentiation|myoblast differentiation|neurogenesis|regulation of cell migration|regulation of cell proliferation|structural molecule activity	Tumor tissue and tumor cultures
Hs.93675	C10orf10	chromosome 10 open reading frame 10		Tumor tissue and tumor cultures
Hs.434044	PRKCDBP	protein kinase C, delta binding protein		Tumor tissue and tumor cultures
Hs.426967	PIK3CD	phosphoinositide-3-kinase, catalytic, delta polypeptide	inositol/phosphatidylinositol kinase activity|phosphatidylinositol 3-kinase activity|phosphatidylinositol 3-kinase activity|phosphatidylinositol-4,5-bisphosphate 3-kinase activity|phosphoinositide 3-kinase complex|phosphoinositide 3-kinase complex|protein amino acid phosphorylation|signal transduction|signal transduction|transferase activity	Tumor tissue and tumor cultures
Hs.372031	PMP22	peripheral myelin protein 22	integral to plasma membrane|mechanosensory behavior|membrane fraction|negative regulation of cell proliferation|perception of sound|peripheral nervous system development|synaptic transmission	Tumor tissue and tumor cultures
Hs.30559		CDNA FLJ46906 fis, clone BRHIP2020930		Tumor tissue and tumor cultures
Hs.80395	MAL	mal, T-cell differentiation protein	channel/pore class transporter activity|endosome|hemocyte development|insoluble fraction|integral to plasma membrane|membrane fraction|signal transduction	Tumor tissue and tumor cultures
Hs.179526	TXNIP	thioredoxin interacting protein	biological_process unknown|cellular_component unknown|molecular_function unknown	Tumor tissue and tumor cultures
Hs.1074	SFTPC	surfactant, pulmonary-associated protein C	extracellular space|regulation of liquid surface tension|respiratory gaseous exchange	Tumor tissue and tumor cultures
Hs.284135		Hypothetical protein MGC3036 (MGC3036), mRNA		Tumor tissue and tumor cultures
Hs.443435	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	calcium ion binding|cell adhesion|homophilic cell adhesion|homophilic cell adhesion|integral to membrane|membrane|ossification|protein binding	Tumor tissue and tumor cultures
Hs.434488	CSPG2	chondroitin sulfate proteoglycan 2 (versican)	calcium ion binding|cell recognition|development|extracellular matrix|heterophilic cell adhesion|hyaluronic acid binding|sugar binding	Tumor tissue and tumor cultures
Hs.9585		CDNA FLJ30010 fis, clone 3NB692000154		Tumor tissue and tumor cultures
Hs.57209	LBH	likely ortholog of mouse limb-bud and heart gene		Tumor tissue and tumor cultures
Hs.435795	IGFBP7	insulin-like growth factor binding protein 7	extracellular|insulin-like growth factor binding|negative regulation of cell proliferation|regulation of cell growth	Tumor tissue and tumor cultures
Hs.322735	YARS	tyrosyl-tRNA synthetase	ATP binding|apoptosis|cell motility|cytoplasm|extracellular space|interleukin-8 receptor binding|ligase activity|protein biosynthesis|signal transducer activity|soluble fraction|tRNA binding|tyrosine-tRNA ligase activity|tyrosyl-tRNA aminoacylation	Tumor tissue and tumor cultures
Hs.372463	MACF1	microtubule-actin crosslinking factor 1	actin binding|actin filament binding|calcium ion binding|calcium ion binding|cell cycle arrest|cytoskeleton|cytoskeleton|microtubule binding|microtubule binding	Tumor tissue and tumor cultures
Hs.244318	DAPK1	death-associated protein kinase 1	ATP binding|actin cytoskeleton|apoptosis|calcium/calmodulin-dependent protein kinase activity|calmodulin binding|calmodulin-dependent protein kinase I activity|induction of apoptosis by extracellular signals|protein amino acid phosphorylation|protein kinase cascade|protein serine/threonine kinase activity|signal transduction|transferase activity	Tumor tissue and tumor cultures
Hs.15432	DOC1	downregulated in ovarian cancer 1	biological_process unknown|molecular_function unknown|myosin	Tumor tissue and tumor cultures
Hs.270532	PEX12	peroxisomal biogenesis factor 12	integral to membrane|integral to peroxisomal membrane|peroxisome|protein binding|zinc ion binding	Tumor tissue and tumor cultures
Hs.512776	C14orf141	chromosome 14 open reading frame 141		Tumor tissue and tumor cultures
Hs.105689	LTBP2	latent transforming growth factor beta binding protein 2	calcium ion binding|extracellular matrix|extracellular space|extracellular transport|growth factor binding|protein secretion|protein targeting|regulation of cell cycle|transforming growth factor beta receptor signaling pathway	Tumor tissue and tumor cultures
Hs.10862	AK3	adenylate kinase 3	ATP binding|GTP binding|adenylate kinase activity|kinase activity|mitochondrion|nucleobase, nucleoside, nucleotide and nucleic acid metabolism|transferase activity	Tumor tissue and tumor cultures
