Mouse Probe Set ID	Gene Title	Gene Symbol	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Human Probe Set ID	Gene Symbol
1416832_at	solute carrier family 39 (metal ion transporter), member 8	Slc39a8	6810 // transport // inferred from electronic annotation /// 30001 // metal ion transport // inferred from sequence or structural similarity	5615 // extracellular space // traceable author statement /// 16020 // membrane // inferred from sequence or structural similarity /// 16021 // integral to membrane // traceable author statement	46873 // metal ion transporter activity // inferred from sequence or structural similarity	209266_s_at	SLC39A8
1450982_at	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1	Slc9a3r1	16055 // Wnt receptor signaling pathway // inferred from electronic annotation /// 19933 // cAMP-mediated signaling // inferred from sequence or structural similarity /// 30643 // phosphate ion homeostasis // inferred from mutant phenotype	16324 // apical plasma membrane // inferred from direct assay /// 45177 // apical part of cell // inferred from direct assay	5515 // protein binding // inferred from sequence or structural similarity	201349_at	SLC9A3R1
1451722_s_at	---	---	---	---	---	209516_at	SMYD5
1452269_at	spectrin beta 3	Spnb3	---	16020 // membrane // inferred from electronic annotation	---	205155_s_at	SPTBN2
1418076_at	suppression of tumorigenicity 14 (colon carcinoma)	St14	6508 // proteolysis and peptidolysis // inferred from electronic annotation /// 16477 // cell migration // traceable author statement	5576 // extracellular region // inferred from direct assay /// 5887 // integral to plasma membrane // traceable author statement /// 16021 // integral to membrane // traceable author statement /// 19897 // extrinsic to plasma membrane // inferred from direct assay	4252 // serine-type endopeptidase activity // inferred from electronic annotation /// 4263 // chymotrypsin activity // inferred from sequence or structural similarity /// 4295 // trypsin activity // inferred from electronic annotation /// 8233 // peptidase activity // inferred from electronic annotation /// 8236 // serine-type peptidase activity // inferred from direct assay /// 16787 // hydrolase activity // inferred from electronic annotation	216906_at	ST14
1449079_s_at	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	St3gal6	6486 // protein amino acid glycosylation // inferred from electronic annotation	5794 // Golgi apparatus // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	8373 // sialyltransferase activity // inferred from sequence or structural similarity /// 16740 // transferase activity // inferred from electronic annotation /// 16757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation	213335_s_at	ST3GAL6
1419186_a_at	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	St8sia4	6486 // protein amino acid glycosylation // inferred from electronic annotation	5794 // Golgi apparatus // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	3828 // alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity // inferred from direct assay /// 8373 // sialyltransferase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 16757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation	242943_at	ST8SIA4
1429502_at	stress 70 protein chaperone, microsome-associated, human homolog	Stch	6457 // protein folding // inferred from electronic annotation /// 6986 // response to unfolded protein // inferred from electronic annotation	5615 // extracellular space // traceable author statement	5524 // ATP binding // inferred from electronic annotation	202558_s_at	STCH
1437390_x_at	syntaxin 1A (brain)	Stx1a	6810 // transport // inferred from electronic annotation /// 6836 // neurotransmitter transport // inferred from electronic annotation /// 6886 // intracellular protein transport // inferred from electronic annotation	5886 // plasma membrane // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement	149 // SNARE binding // inferred from direct assay /// 5515 // protein binding // inferred from physical interaction /// 8565 // protein transporter activity // inferred from electronic annotation	204729_s_at	STX1A
1427345_a_at	sulfotransferase family 1A, phenol-preferring, member 1	Sult1a1	6629 // lipid metabolism // inferred from electronic annotation /// 8202 // steroid metabolism // inferred from electronic annotation	---	166 // nucleotide binding // inferred from direct assay /// 4062 // aryl sulfotransferase activity // inferred from electronic annotation /// 8146 // sulfotransferase activity // inferred from direct assay /// 16740 // transferase activity // inferred from electronic annotation	215299_x_at	SULT1A1
1428460_at	synapsin II	Syn2	7269 // neurotransmitter secretion // inferred from electronic annotation	8021 // synaptic vesicle // inferred from electronic annotation /// 30672 // synaptic vesicle membrane // inferred from direct assay /// 45202 // synapse // inferred from direct assay	46983 // protein dimerization activity // traceable author statement	210315_at	SYN2
1436074_at	cDNA sequence AY078069	AY078069	---	---	---	241889_at	TA-NFKBH
1424810_at	RIKEN cDNA 4930485D02 gene	4930485D02Rik	6516 // glycoprotein catabolism // inferred from sequence or structural similarity	---	4067 // asparaginase activity // inferred from sequence or structural similarity /// 8233 // peptidase activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation	233719_s_at	TASP1
1421234_at	transcription factor 1	Tcf1	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 45893 // positive regulation of transcription, DNA-dependent // inferred from direct assay /// 45941 // positive regulation of transcription // inferred from electronic annotation /// 45944 // positive regulation of transcription from RNA polymerase II promoter // inferred from direct assay	5634 // nucleus // inferred from direct assay /// 5667 // transcription factor complex // inferred from physical interaction	3677 // DNA binding // inferred from direct assay /// 3700 // transcription factor activity // inferred from direct assay /// 3700 // transcription factor activity // inferred from electronic annotation /// 16563 // transcriptional activator activity // inferred from electronic annotation	210515_at	TCF1
1425546_a_at	transferrin	Trf	6810 // transport // inferred from electronic annotation /// 6826 // iron ion transport // inferred from sequence or structural similarity /// 6879 // iron ion homeostasis // inferred from sequence or structural similarity	5576 // extracellular region // inferred from sequence or structural similarity /// 5615 // extracellular space // traceable author statement /// 5768 // endosome // inferred from direct assay /// 30139 // endocytic vesicle // inferred from direct assay /// 30139 // endocytic vesicle // inferred from sequence or structural similarity	8199 // ferric iron binding // inferred from sequence or structural similarity	220109_at	TF
1452661_at	transferrin receptor	Tfrc	6508 // proteolysis and peptidolysis // inferred from electronic annotation /// 6879 // iron ion homeostasis // inferred from mutant phenotype /// 6897 // endocytosis // inferred from electronic annotation	5768 // endosome // inferred from direct assay /// 5768 // endosome // inferred from sequence or structural similarity /// 5768 // endosome // traceable author statement /// 5886 // plasma membrane // inferred from direct assay /// 5886 // plasma membrane // traceable author statement /// 16021 // integral to membrane // inferred from electronic annotation /// 48471 // perinuclear region // inferred from direct assay	4872 // receptor activity // inferred from electronic annotation /// 4998 // transferrin receptor activity // traceable author statement /// 5381 // iron ion transporter activity // traceable author statement /// 8233 // peptidase activity // inferred from electronic annotation	237215_s_at	TFRC
1417500_a_at	transglutaminase 2, C polypeptide	Tgm2	6508 // proteolysis and peptidolysis // inferred from sequence or structural similarity /// 7200 // G-protein signaling, coupled to IP3 second messenger (phospholipase C activating) // inferred from sequence or structural similarity /// 18149 // peptide cross-linking // inferred from electronic annotation	5737 // cytoplasm // inferred from sequence or structural similarity	3810 // protein-glutamine gamma-glutamyltransferase activity // inferred from direct assay /// 3810 // protein-glutamine gamma-glutamyltransferase activity // inferred from electronic annotation /// 4197 // cysteine-type endopeptidase activity // inferred from sequence or structural similarity /// 5509 // calcium ion binding // inferred from electronic annotation /// 8415 // acyltransferase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	211003_x_at	TGM2
1424737_at	thyroid hormone responsive SPOT14 homolog (Rattus)	Thrsp	---	5634 // nucleus // inferred from electronic annotation	---	229476_s_at	THRSP
1428758_at	RIKEN cDNA 1810054O13 gene	1810054O13Rik	---	---	---	227570_at	TMEM86A
1453285_at	RIKEN cDNA 2600017H02 gene	2600017H02Rik	---	---	---	229452_at	TMEM88
1459957_at	Trinucleotide repeat containing 6a	Tnrc6	---	---	3676 // nucleic acid binding // inferred from sequence or structural similarity	233836_at	TNRC6A
1448551_a_at	tripartite motif protein 2	Trim2	16567 // protein ubiquitination // inferred from electronic annotation	151 // ubiquitin ligase complex // inferred from electronic annotation /// 5622 // intracellular // inferred from electronic annotation /// 5737 // cytoplasm // inferred from direct assay	4842 // ubiquitin-protein ligase activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 8270 // zinc ion binding // inferred from electronic annotation	243945_at	TRIM2
1436393_a_at	tripartite motif protein 37	Trim37	---	---	16015 // morphogen activity // traceable author statement	213009_s_at	TRIM37
1444659_at	Thyroid hormone receptor interactor 11	6030460N08Rik	---	---	4872 // receptor activity // inferred from electronic annotation	210760_x_at	TRIP11
1441333_at	Trichorhinophalangeal syndrome I (human)	Trps1	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5634 // nucleus // inferred from electronic annotation	3676 // nucleic acid binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation	224218_s_at	TRPS1
1450004_at	thymic stromal lymphopoietin	Tslp	---	5615 // extracellular space // traceable author statement	5125 // cytokine activity // inferred from direct assay	235737_at	TSLP
1426544_a_at	tetratricopeptide repeat domain 14	Ttc14	---	5634 // nucleus // inferred from electronic annotation	3676 // nucleic acid binding // inferred from electronic annotation /// 3723 // RNA binding // inferred from sequence or structural similarity	225178_at	TTC14
1415997_at	thioredoxin interacting protein	Txnip	6979 // response to oxidative stress // inferred from direct assay	5737 // cytoplasm // inferred from direct assay	4857 // enzyme inhibitor activity // inferred from direct assay /// 5515 // protein binding // inferred from physical interaction	201008_s_at	TXNIP
1421269_at	UDP-glucose ceramide glucosyltransferase	Ugcg	6679 // glucosylceramide biosynthesis // inferred from sequence or structural similarity /// 6688 // glycosphingolipid biosynthesis // inferred from sequence or structural similarity /// 8544 // epidermis development // inferred from sequence or structural similarity	5615 // extracellular space // inferred from sequence or structural similarity /// 5624 // membrane fraction // inferred from sequence or structural similarity /// 5737 // cytoplasm // inferred from sequence or structural similarity /// 5783 // endoplasmic reticulum // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement	8120 // ceramide glucosyltransferase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 16757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation	221765_at	UGCG
1439227_at	Ubiquitin-like, containing PHD and RING finger domains, 1	Uhrf1	6355 // regulation of transcription, DNA-dependent // inferred from sequence or structural similarity /// 6810 // transport // inferred from sequence or structural similarity /// 8283 // cell proliferation // traceable author statement	5634 // nucleus // traceable author statement	3677 // DNA binding // inferred from sequence or structural similarity /// 5215 // transporter activity // inferred from sequence or structural similarity	225655_at	UHRF1
1430522_a_at	vesicle-associated membrane protein 5	Vamp5	7519 // myogenesis // inferred from direct assay /// 16192 // vesicle-mediated transport // inferred from electronic annotation /// 30154 // cell differentiation // inferred from electronic annotation	5887 // integral to plasma membrane // inferred from direct assay /// 16021 // integral to membrane // traceable author statement	---	204929_s_at	VAMP5
1451156_s_at	very low density lipoprotein receptor	Vldlr	6629 // lipid metabolism // inferred from electronic annotation /// 6810 // transport // inferred from electronic annotation /// 6869 // lipid transport // inferred from electronic annotation /// 6897 // endocytosis // inferred from electronic annotation /// 8202 // steroid metabolism // inferred from electronic annotation /// 8203 // cholesterol metabolism // inferred from electronic annotation	5615 // extracellular space // traceable author statement /// 5905 // coated pit // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement	4872 // receptor activity // inferred from electronic annotation /// 5319 // lipid transporter activity // inferred from electronic annotation /// 5509 // calcium ion binding // inferred from electronic annotation	209822_s_at	VLDLR
1426993_at	xenotropic and polytropic retrovirus receptor 1	Xpr1	---	---	4872 // receptor activity // inferred from electronic annotation	222581_at	XPR1
1430134_a_at	RIKEN cDNA 2210023C10 gene	2210023C10Rik	6412 // protein biosynthesis // inferred from electronic annotation /// 6418 // tRNA aminoacylation for protein translation // inferred from sequence or structural similarity /// 6437 // tyrosyl-tRNA aminoacylation // inferred from sequence or structural similarity	5739 // mitochondrion // inferred from electronic annotation	4812 // tRNA ligase activity // inferred from sequence or structural similarity /// 4831 // tyrosine-tRNA ligase activity // inferred from sequence or structural similarity /// 5524 // ATP binding // inferred from sequence or structural similarity /// 16874 // ligase activity // inferred from electronic annotation	218470_at	YARS2
1441986_at	zinc finger, CCHC domain containing 6	Zcchc6	---	---	---	242776_at	ZCCHC6
1417794_at	zinc finger protein 261	Zfp261	---	5634 // nucleus // inferred from electronic annotation	8270 // zinc ion binding // inferred from electronic annotation	207559_s_at	ZMYM3
1436122_at	RIKEN cDNA A830025F02 gene	A830025F02Rik	6355 // regulation of transcription, DNA-dependent // inferred from sequence or structural similarity	5622 // intracellular // inferred from sequence or structural similarity /// 5634 // nucleus // inferred from electronic annotation	3676 // nucleic acid binding // inferred from sequence or structural similarity /// 3677 // DNA binding // inferred from electronic annotation	207120_at	ZNF667
1436574_at	Similar to RIKEN cDNA 1700029I01	---	---	---	---
1420137_at	Transcribed locus, weakly similar to NP_795929.1 RIKEN cDNA 8030475D13 gene [Mus musculus]	---	---	---	---
1420136_a_at	Transcribed locus, weakly similar to NP_795929.1 RIKEN cDNA 8030475D13 gene [Mus musculus]	---	---	---	---
1442056_at	Transcribed locus	---	---	---	---
1456130_at	CDNA clone IMAGE:6741091	---	---	---	---
1425032_at	---	---	---	---	---
AFFX-18SRNAMur/X00686_3_at	---	---	---	---	---
1455930_at	---	---	---	---	---
1427817_at	---	---	---	---	---
1431251_at	RIKEN cDNA 1300011L04 gene	1300011L04Rik	---	---	---
1423933_a_at	RIKEN cDNA 1600029D21 gene	1600029D21Rik	---	---	---
1428331_at	RIKEN cDNA 2210016F16 gene	2210016F16Rik	---	---	---
1428452_at	RIKEN cDNA 2810025M15 gene	2810025M15Rik	---	---	---
1439520_at	RIKEN cDNA 2810047L02 gene	2810047L02Rik	---	---	---
1447914_x_at	RIKEN cDNA 4833411O04 gene	4833411O04Rik	---	---	---
1443790_x_at	RIKEN cDNA 4930414L22 gene	4930414L22Rik	---	---	---
1429157_at	RIKEN cDNA 4930507C10 gene	4930507C10Rik	---	---	---
1450410_a_at	RIKEN cDNA 4930570C03 gene	4930570C03Rik	---	---	---
1445938_at	RIKEN cDNA 5930427L02 gene	5930427L02Rik	---	---	---
1444992_at	expressed sequence AI120166	AI120166	---	---	---
1455612_at	expressed sequence AI848218	AI848218	---	---	---
1433826_at	expressed sequence AW212607	AW212607	---	---	---
1421754_at	cDNA sequence AY036118	AY036118	8284 // positive regulation of cell proliferation // inferred from direct assay /// 30097 // hemopoiesis // inferred from direct assay	---	---
1427367_at	cDNA sequence BC026645	BC026645	---	---	---
1459202_at	Cat eye syndrome chromosome region, candidate 2 homolog (human)	Cecr2	7049 // cell cycle // inferred from electronic annotation	---	---
1455232_at	camello-like 2	Cml2	7162 // negative regulation of cell adhesion // inferred from sequence or structural similarity	5615 // extracellular space // inferred from sequence or structural similarity /// 5783 // endoplasmic reticulum // inferred from sequence or structural similarity /// 5794 // Golgi apparatus // inferred from sequence or structural similarity /// 16021 // integral to membrane // traceable author statement	8080 // N-acetyltransferase activity // inferred from sequence or structural similarity /// 16740 // transferase activity // inferred from electronic annotation
1440908_at	hypothetical protein D030063E12	D030063E12	---	---	---
1443330_at	DNA segment, Chr 1, ERATO Doi 646, expressed	D1Ertd646e	---	---	---
1438788_at	DNA segment, Chr 5, Wayne State University 152, expressed	D5Wsu152e	---	---	---
1459703_at	DNA segment, Chr 7, ERATO Doi 443, expressed	D7Ertd443e	---	---	---
1459725_s_at	demilune cell and parotid protein /// cDNA sequence BC005655	Dcpp /// BC005655	---	5615 // extracellular space // traceable author statement	---
1419229_at	ES cell derived homeobox containing gene /// EHOX-like /// similar to homeobox protein EHOX	Ehox /// MGC68128 /// LOC434767	6355 // regulation of transcription, DNA-dependent // inferred from sequence or structural similarity	5634 // nucleus // inferred from sequence or structural similarity	3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from sequence or structural similarity
1442223_at	Enabled homolog (Drosophila)	Enah	1843 // neural tube closure // inferred from genetic interaction /// 7275 // development // inferred from electronic annotation /// 7399 // neurogenesis // inferred from electronic annotation /// 7411 // axon guidance // inferred from genetic interaction /// 7411 // axon guidance // inferred from mutant phenotype /// 8154 // actin polymerization and/or depolymerization // inferred from direct assay /// 30036 // actin cytoskeleton organization and biogenesis // inferred from genetic interaction /// 30154 // cell differentiation // inferred from electronic annotation	1725 // stress fiber // inferred from direct assay /// 15629 // actin cytoskeleton // traceable author statement /// 30027 // lamellipodium // inferred from direct assay /// 30175 // filopodium // inferred from direct assay	5515 // protein binding // inferred from physical interaction /// 5522 // profilin binding // inferred from direct assay /// 5522 // profilin binding // inferred from mutant phenotype /// 17124 // SH3 domain binding // inferred from direct assay
1437252_at	opposite strand transcription unit to Stag3	Gats	---	---	---
1436115_at	gene model 266, (NCBI)	Gm266	---	---	---
1440355_at	potassium channel tetramerisation domain containing 12b	Kctd12b	---	---	5216 // ion channel activity // inferred from electronic annotation
1424451_at	3-ketoacyl-CoA thiolase B	MGC29978	---	---	---
1420465_s_at	major urinary protein 1 /// major urinary protein 2	Mup1 /// Mup2	6810 // transport // inferred from electronic annotation /// 16068 // type I hypersensitivity // inferred from electronic annotation	---	5215 // transporter activity // inferred from electronic annotation /// 5550 // pheromone binding // inferred from electronic annotation /// 5550 // pheromone binding // inferred from sequence or structural similarity
1459256_at	Neuropilin 2	Nrp2	7155 // cell adhesion // inferred from electronic annotation /// 7399 // neurogenesis // inferred from electronic annotation /// 7507 // heart development // inferred from genetic interaction /// 30154 // cell differentiation // inferred from electronic annotation	5615 // extracellular space // traceable author statement /// 5886 // plasma membrane // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement	4872 // receptor activity // inferred from electronic annotation /// 17154 // semaphorin receptor activity // inferred from physical interaction
1460341_at	pleckstrin homology domain containing, family B (evectins) member 2	Plekhb2	---	16020 // membrane // inferred from electronic annotation	---
1453299_a_at	purine-nucleoside phosphorylase	Pnp	---	---	4731 // purine-nucleoside phosphorylase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 16757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// 16763 // transferase activity, transferring pentosyl groups // inferred from electronic annotation
1446440_at	Prickle-like 2 (Drosophila)	Prickle2	---	5634 // nucleus // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation	8270 // zinc ion binding // inferred from electronic annotation
1447561_at	Plasmacytoma variant translocation 1	Pvt1	---	---	---
1427417_at	sex comb on midleg-like 4 (Drosophila)	Scml4	---	---	---
1448386_a_at	whey acidic protein	Wap	---	5615 // extracellular space // traceable author statement	4866 // endopeptidase inhibitor activity // inferred from electronic annotation
1440471_x_at	Wiskott-Aldrich syndrome protein interacting protein	Waspip	902 // cellular morphogenesis // inferred from sequence or structural similarity /// 6461 // protein complex assembly // inferred from sequence or structural similarity /// 8154 // actin polymerization and/or depolymerization // inferred from sequence or structural similarity /// 30048 // actin filament-based movement // inferred from direct assay	15629 // actin cytoskeleton // inferred from direct assay /// 15629 // actin cytoskeleton // inferred from sequence or structural similarity	3779 // actin binding // inferred from sequence or structural similarity /// 5522 // profilin binding // inferred from sequence or structural similarity
1425831_at	zinc finger protein 101	Zfp101	---	5634 // nucleus // inferred from electronic annotation	3676 // nucleic acid binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation
