UGCluster	Symbol	Name	GOabr
Hs.153591	ALG3	asparagine-linked glycosylation 3 homolog (yeast, alpha-1,3-mannosyltransferase)	endoplasmic reticulum|integral to endoplasmic reticulum membrane|mannosyltransferase activity|protein amino acid glycosylation|transferase activity, transferring glycosyl groups
Hs.380875	TEB4	similar to S. cerevisiae SSM4	NA
Hs.1973	CCNF	cyclin F	cytokinesis|mitosis|nucleus|regulation of cell cycle
Hs.289271	CYC1	cytochrome c-1	electron transport|electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity|heme binding|integral to membrane|mitochondrial electron transport chain|mitochondrion
Hs.157818	KCNAB1	potassium voltage-gated channel, shaker-related subfamily, beta member 1	NA
Hs.83765	DHFR	dihydrofolate reductase	cellular_component unknown|dihydrofolate reductase activity|glycine biosynthesis|nucleotide biosynthesis|one-carbon compound metabolism|oxidoreductase activity
Hs.204891	IL11RA	interleukin 11 receptor, alpha	integral to plasma membrane|transmembrane receptor activity
Hs.433291	ARD1	ARD1 homolog, N-acetyltransferase (S. cerevisiae)	DNA packaging|N-acetyltransferase activity|acyltransferase activity|chromosome organization and biogenesis (sensu Eukarya)|internal protein amino acid acetylation|nucleus|transferase activity
Hs.502	TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	ATP binding|ATP-binding cassette (ABC) transporter activity|MHC class I protein binding|TAP complex|antigen presentation, endogenous peptide antigen|antigen processing, endogenous antigen via MHC class I|cytosol|cytosol to ER transport|endoplasmic reticulum lumen|homoaconitate hydratase activity|integral to membrane|intracellular protein transport|nucleotide binding|peptide antigen binding|peptide antigen transporter activity|peptide transport|phosphate binding|protein complex assembly|protein heterodimerization activity|tapasin binding
Hs.2985	EMD	emerin (Emery-Dreifuss muscular dystrophy)	integral to membrane|muscle contraction|muscle development|nuclear membrane
Hs.237971	XTP3TPA	XTP3-transactivated protein A	NA
Hs.444776	PTE1	peroxisomal acyl-CoA thioesterase	acyl-CoA metabolism|acyl-CoA thioesterase II activity|antimicrobial humoral response (sensu Vertebrata)|hydrolase activity|lipid metabolism|palmitoyl-CoA hydrolase activity|peroxisome|serine esterase activity
Hs.344400	MPHOSPH6	M-phase phosphoprotein 6	M phase of mitotic cell cycle|nucleus|regulation of cell cycle
Hs.75313	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	NA
Hs.15106	C14orf1	chromosome 14 open reading frame 1	biological_process unknown|integral to membrane|molecular_function unknown
Hs.11806	DHCR7	7-dehydrocholesterol reductase	7-dehydrocholesterol reductase activity|cholesterol biosynthesis|endoplasmic reticulum|integral to membrane|oxidoreductase activity
Hs.213289	LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	O-linked glycosylation|calcium ion binding|cholesterol metabolism|coated pit|endocytosis|integral to plasma membrane|lipid metabolism|lipid transport|lipid transporter activity|lipoprotein binding|low-density lipoprotein receptor activity|transmembrane receptor activity
Hs.3686 |	NA	NA	NA
Hs.129055	ODF2	outer dense fiber of sperm tails 2	structural molecule activity
Hs.181466	FLJ14502	TRAF4 associated factor 1	NA
Hs.24641	CKAP2	cytoskeleton associated protein 2	NA
Hs.166887	CPNE1	copine I	calcium-dependent phospholipid binding|lipid metabolism|transporter activity|vesicle-mediated transport
Hs.83758	CKS2	CDC28 protein kinase regulatory subunit 2	cell cycle|cyclin-dependent protein kinase activity|cytokinesis|regulation of cyclin dependent protein kinase activity
Hs.398111	LOC93081	hypothetical protein BC015148	NA
Hs.75069	SHMT2	serine hydroxymethyltransferase 2 (mitochondrial)	L-serine metabolism|glycine hydroxymethyltransferase activity|glycine metabolism|mitochondrion|one-carbon compound metabolism|transferase activity
Hs.3104 |	NA	NA	NA
Hs.435935	HSPC129	hypothetical protein HSPC129	NA
Hs.35086	USP1	ubiquitin specific protease 1	cysteine-type endopeptidase activity|hydrolase activity|ubiquitin thiolesterase activity|ubiquitin-dependent protein catabolism|ubiquitin-specific protease activity
Hs.24529	CHEK1	CHK1 checkpoint homolog (S. pombe)	ATP binding|DNA damage response, signal transduction resulting in cell cycle arrest|cell cycle|condensed nuclear chromosome|gametogenesis|meiotic recombination|negative regulation of cell proliferation|nucleus|protein amino acid phosphorylation|protein serine/threonine kinase activity|regulation of cyclin dependent protein kinase activity|response to DNA damage stimulus|transferase activity
Hs.408312	TP53	tumor protein p53 (Li-Fraumeni syndrome)	DNA damage response, signal transduction resulting in induction of apoptosis|DNA recombination|DNA repair|apoptosis|cell cycle checkpoint|induction of apoptosis by hormones|negative regulation of cell cycle|nuclease activity|nucleus|regulation of transcription, DNA-dependent|transcription factor activity
Hs.383396	RRM1	ribonucleotide reductase M1 polypeptide	DNA replication|oxidoreductase activity|ribonucleoside-diphosphate reductase activity|ribonucleoside-diphosphate reductase complex
Hs.193725	PSMD5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	proteasome complex (sensu Eukarya)
Hs.20555	MRE11A	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	3-5 exonuclease activity|double-strand break repair via nonhomologous end-joining|double-stranded DNA binding|hydrolase activity|manganese ion binding|meiosis|meiotic recombination|nucleoplasm|regulation of mitotic recombination|single-stranded DNA specific endodeoxyribonuclease activity|telomerase-dependent telomere maintenance
Hs.419170	GPR126	G protein-coupled receptor 126	G-protein coupled receptor activity|membrane|neuropeptide signaling pathway|receptor activity
Hs.75133	TFAM	transcription factor A, mitochondrial	DNA-dependent DNA replication|mitochondrion|regulation of transcription from Pol I promoter|transcription factor activity|transcription from mitochondrial promoter
Hs.115285	DLAT	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	acetyl-CoA biosynthesis|acyltransferase activity|dihydrolipoyllysine-residue acetyltransferase activity|glycolysis|metabolism|mitochondrion|protein binding|pyruvate dehydrogenase complex (sensu Eukarya)|transferase activity
Hs.435326	BAF53A	BAF53	actin filament|chromatin binding|chromatin remodeling|motor activity|nucleus|response to pest/pathogen/parasite|signal transduction|structural constituent of cytoskeleton
Hs.168625	APRIN	androgen-induced proliferation inhibitor	ATP binding|DNA binding|DNA binding|cell proliferation|negative regulation of cell proliferation|nucleus|nucleus|regulation of transcription, DNA-dependent
Hs.389996	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2	NA
Hs.99014	NA	Clone IMAGE:5441520, mRNA	NA
Hs.77783	PKMYT1	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	ATP binding|Golgi apparatus|endoplasmic reticulum|membrane fraction|protein amino acid phosphorylation|protein serine/threonine kinase activity|regulation of cyclin dependent protein kinase activity|regulation of mitosis|transferase activity
Hs.207134	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	cytoskeleton
Hs.36708	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	ATP binding|anaphase-promoting complex|cell cycle|kinetochore|mitosis|mitotic checkpoint|nucleus|protein amino acid phosphorylation|protein serine/threonine kinase activity|transferase activity
Hs.347524	MGC24665	hypothetical protein MGC24665	NA
Hs.4854 |	NA	NA	NA
Hs.196177	PHKG2	phosphorylase kinase, gamma 2 (testis)	ATP binding|ATP binding|calmodulin binding|energy pathways|glycogen biosynthesis|phosphorylase kinase activity|phosphorylase kinase activity|phosphorylase kinase complex|phosphorylase kinase complex|protein amino acid phosphorylation|protein amino acid phosphorylation|protein kinase activity|protein serine/threonine kinase activity|transferase activity
Hs.19192	CDK2	cyclin-dependent kinase 2	ATP binding|G2/M transition of mitotic cell cycle|cell cycle|cyclin-dependent protein kinase activity|cytokinesis|cytoplasm|mitosis|nucleus|positive regulation of cell proliferation|protein amino acid phosphorylation|protein serine/threonine kinase activity|regulation of DNA replication|transferase activity|traversing start control point of mitotic cell cycle
Hs.108112	POLE3	polymerase (DNA directed), epsilon 3 (p17 subunit)	DNA binding|DNA replication|epsilon DNA polymerase activity|nucleus
Hs.22302	GTF3C4	general transcription factor IIIC, polypeptide 4, 90kDa	H3/H4 histone acetyltransferase activity|RNA polymerase III transcription factor activity|enzyme activator activity|transcription factor TFIIIC complex|transcription initiation from Pol III promoter
Hs.435166	LBR	lamin B receptor	DNA binding|integral to nuclear inner membrane|lamin binding|nucleus|receptor activity
Hs.314623	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	cytoplasm|hemopoiesis|nucleic acid binding|nucleus|regulation of transcription, DNA-dependent|zinc ion binding
Hs.460 ||	NA	NA	NA
Hs.406913	FLJ38753	hypothetical protein FLJ38753	NA
Hs.443495	CYB5-M	cytochrome b5 outer mitochondrial membrane precursor	NA
Hs.407477	PEX13	peroxisome biogenesis factor 13	integral to membrane|integral to peroxisomal membrane|intracellular protein transport|membrane fraction|peroxisome|peroxisome receptor docking|protein transporter activity
Hs.443139	KIAA1833	hypothetical protein KIAA1833	NA
Hs.512742	KIAA1815	KIAA1815	NA
Hs.446414	CD47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	cell-matrix adhesion|integral to plasma membrane|integrin-mediated signaling pathway|protein binding
Hs.502773	SIPL	SIPL protein	NA
Hs.355533	ADK	adenosine kinase	adenosine kinase activity|kinase activity|magnesium ion binding|purine ribonucleoside salvage|ribonucleoside monophosphate biosynthesis|transferase activity
Hs.284275	PAK2	p21 (CDKN1A)-activated kinase 2	ATP binding|negative regulation of protein kinase activity|protein amino acid phosphorylation|protein serine/threonine kinase activity|signal transduction|transferase activity
Hs.203637	PLS1	plastin 1 (I isoform)	actin cytoskeleton|actin filament binding|brush border|calcium ion binding|structural constituent of cytoskeleton
Hs.389649	DDX48	DEAD (Asp-Glu-Ala-Asp) box polypeptide 48	ATP binding|ATP-dependent helicase activity|DNA binding|RNA binding|nucleus|rRNA processing
Hs.406492	KIAA0738	KIAA0738 gene product	NA
Hs.27278	NA	Transcribed sequence with weak similarity to protein pdb:2RMA (H.sapiens) S Chain S, Cyclophilin A	NA
Hs.387567	ACLY	ATP citrate lyase	ATP binding|ATP catabolism|ATP citrate synthase activity|citrate (Si)-synthase activity|citrate lyase complex|citrate metabolism|coenzyme A metabolism|lipid biosynthesis|magnesium ion binding|metabolism|transferase activity|tricarboxylic acid cycle
Hs.283127	NA	Similar to diaphanous homolog 3 (Drosophila), clone IMAGE:5277415, mRNA	NA
Hs.124085	NRXN2	neurexin 2	cell adhesion|integral to membrane|protein binding
Hs.3566	NOB1P	likely ortholog of mouse nin one binding protein	NA
Hs.311097	XPO4	exportin 4	intracellular protein transport|nucleus|protein transporter activity
Hs.435733	CDCA7	cell division cycle associated 7	NA
Hs.407135	ADA	adenosine deaminase	adenosine deaminase activity|antimicrobial humoral response (sensu Vertebrata)|hydrolase activity|nucleotide metabolism|purine ribonucleoside monophosphate biosynthesis
Hs.434059	ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	nucleus|nucleus|regulation of transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription  factor activity|transcriptional activator activity
Hs.173724	CKB	creatine kinase, brain	creatine kinase activity|cytoplasm|transferase activity, transferring phosphorus-containing groups
Hs.212957	TSBF1	tumor suppressor TSBF1	intracellular|zinc ion binding
