Ref seq	locus link	Gene  symbol	cytoband	kb middle position	gene median class 1	gene median class 2	pvalue ttest gene	correlation with closest relevant clone	pvalue correlation with closest relevant clone	ref seq best correlated clone	p-value ttest best correlated clone (in S)	median class (poor)	median class (good)	% class (poor) UP	% class (good) UP	% class (poor) DOWN	% class (good) DOWN
AF028828	6641	SNTB1,A1B,SNT2,BSYN2,DAPA1B,SNT2B1,TIP-43,FLJ22442	8q24.12	121757	7.72E-02	-6.92E-03	3.07E-01	7.41E-02	5.48E-01	RP6-98A24	1.19E-02	1.97E-01	3.15E-02	3.64E+01	4.17E+00	0	0
AI225105	7881	KCNAB1	8q24.12	120019	1.66E-02	4.77E-02	4.96E-01	-5.07E-02	6.81E-01	RP6-98A24	1.19E-02	1.97E-01	3.15E-02	3.64E+01	4.17E+00	0	0
NM_003129	6713	SQLE	8q24.13	126092	1.24E-01	-1.72E-01	1.25E-05	5.06E-01	1.06E-05	RP11-495D4	6.53E-03	3.08E-01	1.06E-01	50	1.67E+01	0	0
NM_005005	4715	NDUFB9,B22,UQOR22	8q24.13	125626	8.06E-02	-6.93E-02	2.72E-05	6.91E-01	7.18E-11	RP11-115M9	1.34E-02	1.96E-01	1.16E-01	3.18E+01	8.33E+00	0	0
NM_014109	29028	ATAD2,MGC5254,PRO2000,MGC29843,DKFZp667N1320	8q24.13	124440	2.97E-02	-1.60E-01	1.14E-04	5.70E-01	3.95E-07	RP11-16G11	6.27E-03	1.50E-01	8.18E-02	2.05E+01	0	0	0
NM_017956	55039	FLJ20772	8q24.13	125533	-9.75E-03	-6.86E-02	3.38E-02	6.40E-01	4.28E-09	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
AF212250	83940	CDA11	8q24.13	125595	-3.56E-03	-1.63E-03	1.11E-01	5.68E-01	4.33E-07	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
AL110137	136319	MTPN	8q24.13	126311	1.23E-02	-4.93E-02	1.31E-01	1.94E-01	1.13E-01	RP11-494N20	1.27E-02	2.52E-01	9.27E-02	3.64E+01	8.33E+00	0	0
NM_014943	22882	ZHX2,KIAA0854	8q24.13	123960	4.14E-02	7.81E-02	1.60E-01	3.50E-01	3.41E-03	RP11-115M9	1.34E-02	1.96E-01	1.16E-01	3.18E+01	8.33E+00	0	0
NM_058229	114907	FBXO32,MAFbx,ATROGIN1,FLJ32424,MGC33610	8q24.13	124604	2.25E-02	-1.36E-01	2.96E-01	2.89E-01	1.69E-02	RP11-3O20	5.54E-03	2.17E-01	1.21E-01	2.95E+01	4.17E+00	0	0
NM_007222	11244	ZHX1	8q24.13	124343	-6.57E-02	1.63E-02	5.27E-01	2.98E-01	1.36E-02	RP11-16G11	6.27E-03	1.50E-01	8.18E-02	2.05E+01	0	0	0
NM_014751	9788	MTSS1,MIM,MIMA,MIMB,KIAA0429	8q24.13	125721	7.16E-02	-6.67E-02	5.46E-01	2.58E-01	3.34E-02	RP11-114O8	1.06E-02	1.32E-01	6.50E-02	2.05E+01	0	0	0
NM_018024	55093	FLJ10204	8q24.13	124511	-6.23E-02	-1.82E-02	7.38E-01	4.72E-01	4.86E-05	RP11-96B2	1.41E-02	2.45E-01	9.71E-02	3.18E+01	8.33E+00	0	0
AA088388	158405	KIAA1958	8q24.13	124791	-4.24E-03	-2.73E-02	8.53E-01	-5.16E-03	9.67E-01	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
NM_004306	312	ANXA13,ISA,ANX13	8q24.13	124791	-2.97E-01	-2.58E-01	8.73E-01	9.05E-02	4.63E-01	RP11-96B2	1.41E-02	2.45E-01	9.71E-02	3.18E+01	8.33E+00	0	0
NM_014846	9897	KIAA0196	8q24.13	126139	-2.01E-02	-2.84E-02	9.44E-01	5.54E-01	9.55E-07	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
NM_007218	11236	RNF139,RCA1,TRC8,HRCA1,MGC31961	8q24.13	125563	-6.88E-02	-3.22E-02	9.47E-01	5.44E-01	1.65E-06	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
AJ000480	10221	TRIB1,C8FW,GIG2,SKIP1	8q24.13	126516	3.92E-02	2.55E-02	9.58E-01	1.84E-02	8.82E-01	RP6-98A24	1.19E-02	1.97E-01	3.15E-02	3.64E+01	4.17E+00	0	0
AB042405	56169	MLZE	8q24.21	130844	7.70E-03	-8.84E-02	2.28E-03	3.95E-01	8.64E-04	RP11-3O20	5.54E-03	2.17E-01	1.21E-01	2.95E+01	4.17E+00	0	0
K02276	4609	MYC,c-Myc	8q24.21	128820	4.62E-02	-6.29E-02	1.11E-01	3.30E-01	6.05E-03	RP11-96B2	1.41E-02	2.45E-01	9.71E-02	3.18E+01	8.33E+00	0	0
BC052957	157638	NSE2,BCMP101	8q24.21	127637	-8.13E-02	-4.37E-03	1.36E-01	2.78E-01	2.15E-02	RP11-67N21	3.61E-02	2.06E-01	7.32E-02	2.73E+01	4.17E+00	2.27E+00	0
N32498		0	8q24.21	128965	2.42E-02	2.44E-02	7.51E-01	-2.85E-02	8.17E-01	RP11-3O20	5.54E-03	2.17E-01	1.21E-01	2.95E+01	4.17E+00	0	0
NM_006096	10397	NDRG1,GC4,RTP,DRG1,NDR1,NMSL,TDD5,CAP43,CMT4D,HMSNL,RIT42,TARG1,PROXY1	8q24.22	134349	-7.39E-02	-3.30E-01	1.62E-04	6.35E-01	5.93E-09	RP11-127J8	2.23E-02	2.62E-01	9.62E-02	3.64E+01	8.33E+00	0	0
AY117413	196047	EMX2OS	8q24.22	134597	-2.18E-02	4.40E-02	2.03E-02	7.97E-02	5.18E-01	RP11-127J8	2.23E-02	2.62E-01	9.62E-02	3.64E+01	8.33E+00	0	0
NM_003882	8840	WISP1,CCN4	8q24.22	134292	-1.26E-01	1.38E-02	2.61E-02	3.75E-02	7.62E-01	RP6-98A24	1.19E-02	1.97E-01	3.15E-02	3.64E+01	4.17E+00	0	0
NM_006748	6503	SLA,SLA1,SLAP	8q24.22	134151	7.38E-04	-1.05E-01	3.08E-02	1.88E-01	1.24E-01	RP11-3O20	5.54E-03	2.17E-01	1.21E-01	2.95E+01	4.17E+00	0	0
AB040918	57623	ZNF406,ZFAT-1,KIAA1485	8q24.22	135677	1.57E-02	-6.00E-02	3.93E-02	2.21E-01	7.04E-02	RP11-96B2	1.41E-02	2.45E-01	9.71E-02	3.18E+01	8.33E+00	0	0
NM_016018	51105	CGI-72,FLJ13649,FLJ21615,MGC64923	8q24.22	133921	-1.57E-02	7.58E-02	3.18E-01	1.07E-01	3.85E-01	RP11-532M24	1.84E-02	1.88E-01	1.03E-01	2.95E+01	8.33E+00	0	0
BC039492	4082	MARCKS	8q24.22	134349	-5.03E-02	-2.25E-02	6.01E-01	-8.47E-02	4.92E-01	RP11-3O20	5.54E-03	2.17E-01	1.21E-01	2.95E+01	4.17E+00	0	0
D63477	23167	KIAA0143	8q24.22	133040	-3.95E-02	-1.65E-02	6.56E-01	3.08E-01	1.06E-02	RP11-17E16	3.01E-03	2.61E-01	1.24E-01	4.32E+01	8.33E+00	0	0
AL122089	148223	C19orf25,FLJ36666	8q24.23	136634	-3.36E-02	1.37E-04	2.38E-03	8.70E-02	4.80E-01	RP11-114O8	1.06E-02	1.32E-01	6.50E-02	2.05E+01	0	0	0
NM_006558	10656	KHDRBS3,Etle,SALP,SLM2,SLM-2,T-STAR,etoile	8q24.23	136634	-1.60E-02	-1.17E-01	2.36E-02	3.10E-01	1.02E-02	RP11-96B2	1.41E-02	2.45E-01	9.71E-02	3.18E+01	8.33E+00	0	0
=======
Ref seq	locus link	Gene  symbol	cytoband	kb middle position	gene median class 1	gene median class 2	pvalue ttest gene	correlation with closest relevant clone	pvalue correlation with closest relevant clone	ref seq best correlated clone	p-value ttest best correlated clone (in S)	median class (poor)	median class (good)	% class (poor) UP	% class (good) UP	% class (poor) DOWN	% class (good) DOWN
NM_017702	54849	FLJ20186	14q31.3	85113	1.44E-01	-1.50E-01	4.02E-05	-4.35E-01	2.09E-04	RP11-406A9	5.49E-04	-1.05E-01	-1.82E-02	0	0	9.09E+00	0
NM_013231	23768	FLRT2,KIAA0405	14q31.3	85113	-2.21E-01	-2.66E-02	3.17E-04	3.28E-01	6.26E-03	RP11-203D9	5.24E-05	-8.55E-02	3.60E-04	0	0	4.55E+00	0
NM_012417	26207	PITPNC1,RDGBB,RDGBB1,RDGB-BETA	17q23.3	62962	3.35E-02	-5.22E-02	6.26E-03	3.94E-01	8.90E-04	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_002816	5718	PSMD12,p55	17q23.3	62779	-5.66E-02	-1.09E-01	7.33E-01	5.82E-01	1.88E-07	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_002266	3838	KPNA2,QIP2,RCH1,IPOA1,SRP1alpha	17q24.1	63468	1.15E-01	-2.76E-01	2.20E-08	5.29E-01	3.45E-06	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_004694	9120	SLC16A6,MCT6	17q24.1	63787	-4.92E-01	-2.29E-02	6.72E-04	2.02E-01	9.93E-02	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_015462	25926	DKFZP586L0724	17q24.1	63158	2.31E-02	-7.15E-02	1.05E-03	6.60E-01	9.55E-10	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_007168	10351	ABCA8,KIAA0822	17q24.1	64419	-1.74E-01	-1.96E-02	1.29E-03	-9.64E-02	4.34E-01	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
AL133105	54757	FAM20A,DKFZp434F2322	17q24.1	64077	-1.52E-02	-1.61E-01	2.99E-02	-1.69E-01	1.69E-01	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
NM_017983	55062	FLJ10055	17q24.1	63947	1.07E-02	-6.37E-02	3.13E-01	5.05E-01	1.15E-05	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_016627	51321	LOC51321	17q24.1	63760	-8.05E-02	-1.04E-01	3.41E-01	6.71E-01	3.68E-10	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_004459	2186	FALZ,BPTF,FAC1,NURF301	17q24.1	63332	-5.76E-02	-4.39E-02	5.46E-01	7.00E-01	3.19E-11	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_002734	5573	PRKAR1A,CAR,CNC1,PKR1,TSE1,PRKAR1,MGC17251	17q24.1	64030	-8.03E-02	-5.11E-02	9.58E-01	6.21E-01	1.59E-08	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_000346	6662	SOX9,CMD1,SRA1,CMPD1	17q24.2	67631	1.89E-01	2.75E-02	1.01E-01	9.01E-02	4.65E-01	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
AB067475	23461	ABCA5,ABC13,EST90625	17q24.2	64795	-1.62E-01	-1.32E-01	2.63E-01	3.00E-01	1.28E-02	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
AJ275973	23461	ABCA5,ABC13,EST90625	17q24.2	64795	-4.27E-02	-3.50E-02	4.05E-01	2.67E-01	2.75E-02	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
AI524330	2906	GRIN2D	17q24.2	67631	2.44E-02	1.62E-02	8.64E-01	8.10E-02	5.11E-01	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
NM_016185	51155	HN1	17q24.3	70653	8.62E-02	-1.79E-01	4.32E-07	4.83E-01	3.05E-05	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AL833387	60386	SLC25A19,DNC,MUP1,MCPHA	17q24.3	70789	6.31E-02	-1.08E-01	6.14E-07	4.76E-01	4.16E-05	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
NM_000154	2584	GALK1,GK1,GALK	17q24.3	71269	9.08E-02	-5.64E-02	2.73E-05	3.62E-01	2.42E-03	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_002086	2885	GRB2,ASH,Grb3-3,EGFRBP-GRB2	17q24.3	70870	1.05E-01	-3.50E-02	5.42E-04	2.82E-01	2.00E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_004695	9121	SLC16A5,MCT5	17q24.3	70605	-2.30E-01	4.93E-02	5.88E-04	8.31E-02	5.00E-01	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_013260	29115	HCNGP	17q24.3	71195	5.96E-02	-3.97E-02	6.46E-04	6.25E-01	1.21E-08	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_007292	51	ACOX1,ACOX,MGC1198,PALMCOX	17q24.3	71470	9.77E-02	-5.38E-02	1.16E-03	4.67E-01	5.89E-05	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_015971	51081	MRPS7,MRP-S,RP-S7,RPMS7,MRP-S7	17q24.3	70772	2.29E-02	-9.40E-02	2.09E-03	5.10E-01	8.78E-06	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_006937	6613	SMT3H2,HSMT3,SMT3B,SUMO-2	17q24.3	70683	9.46E-03	-9.82E-02	2.88E-03	5.27E-01	3.98E-06	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_006356	10476	ATP5H,ATPQ,ATP5JD	17q24.3	70551	-7.77E-03	-9.50E-02	6.61E-03	5.16E-01	6.53E-06	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AJ224864	11314	CMRF-35H,IRC1,IRC2,IRp60,CMRF35H,CMRF35H9,CMRF-35-H9	17q24.3	69983	3.79E-02	-1.29E-01	6.68E-03	6.48E-02	5.99E-01	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
AA824321		0	17q24.3	71470	-4.38E-02	1.05E-01	1.24E-02	1.24E-01	3.14E-01	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_005324	3021	H3F3B	17q24.3	71286	-2.22E-02	-1.64E-01	1.36E-02	6.33E-01	6.73E-09	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
U79458	23558	WBP2	17q24.3	71358	6.06E-02	-1.00E-02	1.47E-02	5.34E-01	2.71E-06	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
BC013311	64978	MRPL38,RPML3,MRP-L3,HSPC262,MGC4810	17q24.3	71428	8.10E-02	3.23E-03	1.90E-02	5.03E-01	1.25E-05	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_001545	3396	ICT1,DS-1	17q24.3	70525	2.25E-02	-4.29E-02	3.32E-02	3.33E-01	5.53E-03	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AB032965	57513	CASKIN2,FLJ21609,KIAA1139	17q24.3	71016	8.67E-02	6.25E-03	3.90E-02	4.30E-01	2.52E-04	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
AF331643	201266	SLC39A11,C17orf26	17q24.3	68377	1.90E-02	-2.03E-02	4.50E-02	1.68E-01	1.72E-01	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
D63876	23163	GGA3,KIAA0154	17q24.3	70757	2.95E-02	-2.62E-02	4.67E-02	4.11E-01	4.96E-04	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_002876	5889	RAD51C,RAD51L2	17q24.3	70217	-3.21E-02	-9.37E-02	4.70E-02	2.09E-01	8.64E-02	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_004035	51	ACOX1,ACOX,MGC1198,PALMCOX	17q24.3	71470	5.66E-02	-9.29E-03	4.95E-02	4.46E-01	1.39E-04	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
AI698198		0	17q24.3	70267	-4.55E-02	3.99E-02	5.55E-02	-6.87E-02	5.78E-01	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
AL137521	54868	FLJ20255	17q24.3	70316	6.12E-02	-2.20E-02	5.73E-02	3.47E-01	3.78E-03	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AA843926		0	17q24.3	70564	-1.51E-01	-1.09E-01	6.08E-02	-6.71E-02	5.86E-01	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_017728	54868	FLJ20255	17q24.3	70316	5.20E-02	-5.95E-03	7.82E-02	3.04E-01	1.16E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AK094466	283989	LOC283989	17q24.3	71028	-2.62E-02	-1.04E-01	8.81E-02	2.65E-01	2.88E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_004524	3993	LLGL2,HGL	17q24.3	71067	-5.84E-02	-1.38E-01	1.14E-01	3.92E-01	9.32E-04	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_018653	55890	GPRC5C,RAIG3,RAIG-3	17q24.3	69948	-7.99E-02	-9.21E-02	1.51E-01	1.38E-01	2.61E-01	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_000999	6169	RPL38	17q24.3	69715	5.28E-02	-2.76E-02	1.73E-01	4.28E-01	2.67E-04	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
D79998	23510	KCTD2,KIAA0176	17q24.3	70564	-4.20E-02	1.32E-02	2.07E-01	2.97E-01	1.38E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AB037802	9382	COG1,LDLB,KIAA1381,DKFZP762L1710	17q24.3	68708	9.59E-03	-5.35E-02	2.24E-01	4.76E-01	4.04E-05	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AA481491	4680	CEACAM6	17q24.3	70051	2.78E-02	5.26E-02	2.78E-01	9.33E-02	4.49E-01	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
AL050187	11328	FKBP9	17q24.3	70653	-5.50E-02	-6.49E-03	2.92E-01	-7.84E-02	5.25E-01	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
NM_000213	3691	ITGB4	17q24.3	71247	7.12E-02	1.53E-03	2.98E-01	1.81E-02	8.84E-01	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
NM_015654	26151	DKFZP564C103	17q24.3	70281	4.20E-02	-3.61E-02	4.05E-01	3.62E-01	2.41E-03	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_004252	9368	SLC9A3R1,EBP50,NHERF	17q24.3	70267	-1.31E-01	-1.01E-01	4.47E-01	2.47E-01	4.27E-02	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
AF319952	94015	TTYH2,MGC4837	17q24.3	69746	-1.69E-02	-4.73E-02	4.92E-01	1.74E-01	1.56E-01	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
NM_013289	3811	KIR3DL1,KIR,CL-2,NKB1,AMB11,CL-11,NKAT3,NKB1B,CD158E1,KIR3DS1,CD158E1,CD158E2	17q24.3	71192	2.90E-02	2.88E-02	6.05E-01	-4.44E-02	7.19E-01	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
BC040661	6854	SYN2,SYNII,SYNIIa,SYNIIb	17q24.3	67903	-5.63E-02	-2.82E-02	6.70E-01	-1.87E-02	8.80E-01	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
AK022297	7275	TUB	17q24.3	68806	-1.93E-02	-3.04E-02	7.17E-01	3.16E-02	7.98E-01	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
BC012195	7415	VCP	17q24.3	70316	-6.29E-02	-6.42E-02	7.25E-01	-1.29E-01	2.95E-01	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
NM_014595	30833	NT5C,DNT,cdN,DNT1,P5N2,PN-I,PN-II,UMPH2,dNT-1	17q24.3	70639	-5.92E-02	-3.51E-02	7.28E-01	3.28E-01	6.24E-03	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AF331643	201266	SLC39A11,C17orf26	17q24.3	68377	-1.13E-01	-1.41E-01	7.42E-01	2.03E-01	9.68E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AI761644	9456	HOMER1	17q24.3	71067	-3.03E-02	4.06E-02	8.68E-01	9.61E-02	4.36E-01	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
NM_014738	9772	KIAA0195	17q24.3	70986	1.58E-02	4.79E-02	8.74E-01	3.76E-01	1.59E-03	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_004110	2232	FDXR,ADXR	17q24.3	70375	-1.23E-01	-7.49E-02	8.90E-01	2.48E-01	4.12E-02	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
AA897419	10746	MAP3K2	17q24.3	70605	1.38E-02	-5.48E-03	9.05E-01	2.30E-03	9.85E-01	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
NM_001168	332	BIRC5,API4,EPR-1	17q25.1	73727	1.94E-01	-3.85E-01	7.74E-11	6.78E-01	2.15E-10	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
NM_003258	7083	TK1	17q25.1	73688	1.14E-01	-2.74E-01	2.90E-10	6.80E-01	1.84E-10	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
AF070621	85458	DIXDC1,KIAA1735	17q25.1	71646	-1.12E-01	6.28E-02	1.95E-05	-2.68E-01	2.71E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_004762	9267	PSCD1,B2-1,SEC7,D17S811E,CYTOHESIN-1	17q25.1	74236	4.05E-02	-1.12E-01	1.69E-04	5.53E-01	1.03E-06	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
NM_007267	11322	EVER1,EV1,TMC6,EVIN1,LAK-4P	17q25.1	73629	1.64E-02	-1.30E-01	1.90E-04	5.32E-01	2.96E-06	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
NM_017456	9267	PSCD1,B2-1,SEC7,D17S811E,CYTOHESIN-1	17q25.1	74236	3.90E-02	-8.74E-02	2.56E-04	5.67E-01	4.55E-07	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
NM_003255	7077	TIMP2	17q25.1	74398	1.60E-02	-1.53E-01	7.78E-04	2.33E-01	5.57E-02	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
BC025951	9489	PGS1,DKFZP762M186	17q25.1	73909	4.88E-02	-7.81E-02	6.78E-03	6.03E-01	5.18E-08	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
NM_018695	55914	ERBB2IP,ERBIN	17q25.1	74236	-4.47E-02	2.65E-02	7.25E-03	-2.18E-02	8.60E-01	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_014230	6730	SRP68	17q25.1	71563	4.85E-02	-3.63E-02	9.49E-03	6.22E-01	1.51E-08	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_006640	10801	MSF,MSF1,SEPT9,SINT1,PNUTL4,AF17q25,KIAA0991	17q25.1	72899	5.01E-02	-3.36E-02	3.54E-02	5.96E-01	8.44E-08	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_002766	5635	PRPSAP1,PAP39	17q25.1	71840	6.67E-02	-5.72E-02	4.98E-02	5.98E-01	7.04E-08	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
AL122077	8632	DNAH17,DNEL2	17q25.1	73967	-4.80E-02	-9.13E-02	5.51E-02	1.45E-01	2.37E-01	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
AB011157	23210	PTDSR,PSR,PTDSR1,KIAA0585	17q25.1	72227	3.72E-02	-4.04E-02	6.16E-02	3.89E-01	1.04E-03	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
NM_004710	9144	SYNGR2	17q25.1	73678	-4.53E-02	-8.55E-02	7.75E-02	5.46E-01	1.48E-06	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
BC045819	124512	LOC124512	17q25.1	72238	4.98E-03	-3.75E-02	8.74E-02	5.39E-01	2.11E-06	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_018996	57690	KIAA1582,FLJ20015	17q25.1	73585	-5.71E-02	6.65E-02	1.20E-01	2.76E-01	2.27E-02	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_005567	3959	LGALS3BP,90K,MAC-2-BP	17q25.1	74483	3.32E-02	-9.48E-02	1.24E-01	3.75E-01	1.64E-03	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
AB040886	57602	USP36,FLJ12851,KIAA1453	17q25.1	74322	7.40E-02	-6.22E-02	1.25E-01	3.78E-01	1.50E-03	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
AK002117	10672	GNA13	17q25.1	72685	2.05E-02	-3.23E-02	1.30E-01	3.07E-01	1.09E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_001088	15	AANAT,SNAT,AA-NAT	17q25.1	71977	2.95E-02	9.63E-03	2.53E-01	-5.79E-02	6.39E-01	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_003016	6427	SFRS2,SC35,PR264,SC-35,SRp30b	17q25.1	72243	2.82E-02	-1.53E-02	2.67E-01	2.92E-01	1.58E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
