probeset	GeneSymbol	Gene Title	UniGene ID	Entrez Gene	cluster group
235048_at	KIAA0888	KIAA0888 protein	Hs.91662	26049	f
235341_at	DNAJC3	Hypothetical protein LOC144871	Hs.59214	5611	f
235683_at	SESN3	sestrin 3	Hs.120633	143686	f
235885_at	P2RY12	purinergic receptor P2Y, G-protein coupled, 12	Hs.558534	64805	f
236203_at	HLADQA1	Major histocompatibility complex, class II, DQ alpha 1	Hs.555872	3117	f
237215_s_at	TFRC	transferrin receptor (p90, CD71)	Hs.529618	7037	f
238029_s_at	SLC16A14	solute carrier family 16 (monocarboxylic acid transporters), member 14	Hs.504317	151473	f
239723_at	SLC40A1	Solute carrier family 40 (iron-regulated transporter), member 1	Hs.529285	30061	f
240137_at	TDRD6	Tudor domain containing 6	Hs.427227	221400	f
241819_at		---	---	---	f
243602_at	MGC40069	Hypothetical protein MGC40069	Hs.369380	348035	f
244439_at	SPRED1	sprouty-related, EVH1 domain containing 1	Hs.525781	161742	f
244780_at	SGPP2	sphingosine-1-phosphate phosphotase 2	Hs.210043	130367	f
