ID	GenBank ID	UniGene ID	Description
28347	L76702	Hs.118244	protein phosphatase 2, regulatory subunit B (B56), delta isoform
28401	V00568	Hs.79070	v-myc myelocytomatosis viral oncogene homolog (avian)
28449	U51432	Hs.79008	SKI-interacting protein
28451	U57342	Hs.79026	myeloid leukemia factor 2
28454	D16431	Hs.89525	hepatoma-derived growth factor (high-mobility group protein 1-like)
28486	S74221	Hs.8024	IK cytokine, down-regulator of HLA II
28494	AF016582	Hs.20295	CHK1 checkpoint homolog (S. pombe)
28497	AF069765	Hs.237825	signal recognition particle 72kD
28503	X87843	Hs.82380	menage a trois 1 (CAK assembly factor)
28508	U34683	Hs.82327	glutathione synthetase
28514	U41668	Hs.77494	deoxyguanosine kinase
28524	D15057	Hs.82890	defender against cell death 1
28534	X54941	Hs.348669	CDC28 protein kinase 1
28549	U65928	Hs.198767	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)
28559	X91247	Hs.13046	thioredoxin reductase 1
28562	NM_006000	Hs.75318	tubulin, alpha 1 (testis specific)
28580	M64929	Hs.179574	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform
28595	X02152	Hs.2795	lactate dehydrogenase A
28601	U12595	Hs.182366	heat shock protein 75
28610	U51004	Hs.256697	histidine triad nucleotide binding protein 1
28651	U24231	Hs.86131	Fas (TNFRSF6)-associated via death domain
28652	X97335	Hs.78921	A kinase (PRKA) anchor protein 1
28675	U11791	Hs.514	cyclin H
28679	X12654	Hs.84746	chromosome condensation 1
28710	U05040	Hs.118962	far upstream element (FUSE) binding protein 1
28715	D38502	Hs.292996	postmeiotic segregation increased 2-like 2
28717	D38500	Hs.278468	postmeiotic segregation increased 2-like 4
28722	U89896	Hs.181390	casein kinase 1, gamma 2
28726	AF014118	Hs.77783	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
28738	X89416	Hs.75180	protein phosphatase 5, catalytic subunit
28759	X53793	Hs.117950	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
28801	U20972	Hs.79474	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide
28803	U78305	Hs.100980	protein phosphatase 1D magnesium-dependent, delta isoform
28814	AF015592	Hs.28853	CDC7 cell division cycle 7-like 1 (S. cerevisiae)
28837	X17644	Hs.2707	G1 to S phase transition 1
28839	M97388	Hs.16697	down-regulator of transcription 1, TBP-binding (negative cofactor 2)
28842	J00140	Hs.83765	dihydrofolate reductase
28844	X77743	Hs.184298	cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)
28863	NM_004300	Hs.75393	acid phosphatase 1, soluble
28885	AB009356	Hs.7510	mitogen-activated protein kinase kinase kinase 7
28887	AF007871	Hs.19261	dystonia 1, torsion (autosomal dominant; torsin A)
28924	U43077	Hs.160958	CDC37 cell division cycle 37 homolog (S. cerevisiae)
28957	AF008552	Hs.180655	serine/threonine kinase 12
28968	L37042	Hs.283738	casein kinase 1, alpha 1
28981	S52784	Hs.19904	cystathionase (cystathionine gamma-lyase)
28988	NM_003600	Hs.333116	serine/threonine kinase 6
29098	Y08915	Hs.3631	immunoglobulin (CD79A) binding protein 1
29140	D38502	Hs.292996	postmeiotic segregation increased 2-like 2
29152	D38502	Hs.292996	postmeiotic segregation increased 2-like 2
29165	M29536	Hs.12163	eukaryotic translation initiation factor 2, subunit 2 (beta, 38kD )
29170	X96752	Hs.8110	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain
29175	U10117	Hs.333513	small inducible cytokine subfamily E, member 1 (endothelial monocyte-activating)
29188	D89052	Hs.7476	ATPase, H+ transporting, lysosomal 21kD, V0 subunit c
29190	L24559	Hs.81942	polymerase (DNA-directed), alpha (70kD)
29191	X74262	Hs.16003	retinoblastoma binding protein 4
29205	X83544	Hs.159627	death associated protein 3
29217	U78723	Hs.16085	putative G-protein coupled receptor
29230	NM_004446	Hs.55921	glutamyl-prolyl-tRNA synthetase
29238	AF008442	Hs.5409	RNA polymerase I subunit
29247	BF214508	Hs.169248	cytochrome c
29250	D32050	Hs.75102	alanyl-tRNA synthetase
29263	U62962	Hs.106673	eukaryotic translation initiation factor 3, subunit 6 (48kD)
29276	AF060479	Hs.47504	exonuclease 1
29300			LC_29300
29305	U20998	Hs.75975	signal recognition particle 9kD
29330	NM_003362	Hs.78853	uracil-DNA glycosylase
29340	AF038554	Hs.22393	density-regulated protein
29357			LC_29357
29383	M96577	Hs.96055	E2F transcription factor 1
29389	NM_017443	Hs.108112	polymerase (DNA directed), epsilon 3 (p17 subunit)
29455	Y17394	Hs.198307	von Hippel-Lindau binding protein 1
29484	U21914	Hs.367729	survival of motor neuron 2, centromeric
29526	U05040	Hs.118962	far upstream element (FUSE) binding protein 1
29586	U21090	Hs.74598	polymerase (DNA directed), delta 2, regulatory subunit (50kD)
29588	U10323	Hs.75117	interleukin enhancer binding factor 2, 45kD
29592	X77584	Hs.76136	thioredoxin
29597	M14328	Hs.254105	enolase 1, (alpha)
29608	U21090	Hs.74598	polymerase (DNA directed), delta 2, regulatory subunit (50kD)
29610	M86826	Hs.839	insulin-like growth factor binding protein, acid labile subunit
29623	U34683	Hs.82327	glutathione synthetase
29640	M10036	Hs.83848	triosephosphate isomerase 1
29710			LC_29710
29723	V00568	Hs.79070	v-myc myelocytomatosis viral oncogene homolog (avian)
29739			LC_29739
29768	AB014458	Hs.35086	ubiquitin specific protease 1
29771	M77698	Hs.97496	YY1 transcription factor
29791			LC_29791
29816	D78586	Hs.154868	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
29835	U76420	Hs.85302	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)
29868	X64707	Hs.180842	ribosomal protein L13
29876	U10117	Hs.333513	small inducible cytokine subfamily E, member 1 (endothelial monocyte-activating)
29887	L15189	Hs.3069	heat shock 70kD protein 9B (mortalin-2)
29889		Hs.88523	Homo sapiens, clone MGC:4832 IMAGE:3604003, mRNA, complete cds
29892		Hs.112318	6.2 kd protein
29902	U20979	Hs.79018	chromatin assembly factor 1, subunit A (p150)
29948		Hs.115221	ESTs
29976			LC_29976
29994			LC_29994
30013	X51688	Hs.85137	cyclin A2
30016	L04483	Hs.1948	ribosomal protein S21
30040	U72511	Hs.7771	repressor of estrogen receptor activity
30060	Z15005	Hs.75573	centromere protein E (312kD)
30067	U11791	Hs.514	cyclin H
30072			LC_30072
30102	S50223	Hs.108642	zinc finger protein 22 (KOX 15)
30111	U66589	Hs.180946	ribosomal protein L5
30112	U09564	Hs.75761	SFRS protein kinase 1
30122	AL162048	Hs.104859	hypothetical protein DKFZp762E1312
30140	M32110	Hs.15243	nucleolar protein 1 (120kD)
30176	AB029151	Hs.47572	elaC homolog 1 (E. coli)
30187	J02853	Hs.155140	casein kinase 2, alpha 1 polypeptide
30215	U33286	Hs.90073	CSE1 chromosome segregation 1-like (yeast)
30258
30279	S78085	Hs.41639	programmed cell death 2
30282	K00558	Hs.334842	tubulin, alpha, ubiquitous
30283	AK024484	Hs.13889	Homo sapiens mRNA for FLJ00083 protein, partial cds
30313	AF087659	Hs.193313	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2 (14.5kD, B14.5b)
30317			LC_30317
30319			LC_30319
30331			LC_30331
30348	U20979	Hs.79018	chromatin assembly factor 1, subunit A (p150)
30360			LC_30360
30419			LC_30419
30421	D14660	Hs.75574	mitochondrial ribosomal protein L19
30427			LC_30427
30525	AF071593	Hs.110457	Wolf-Hirschhorn syndrome candidate 1
30528			LC_30528
30536			LC_30536
30541	M62810	Hs.75133	transcription factor A, mitochondrial
30547			LC_30547
30560
30582	D38553	Hs.1192	KIAA0074 protein
30591	AK022744	Hs.18616	hypothetical protein FLJ20311
30620	AK001720	Hs.134403	hypothetical protein FLJ10858
30636			LC_30636
30669	M27364	Hs.181165	eukaryotic translation elongation factor 1 alpha 1
30749	D38553	Hs.1192	KIAA0074 protein
30759	Z50115	Hs.78769	thimet oligopeptidase 1
30831	X59618	Hs.75319	ribonucleotide reductase M2 polypeptide
30865
30866	AK021695	Hs.43299	hypothetical protein FLJ12890
30870	AB037805	Hs.88442	KIAA1384 protein
30879	AJ005821	Hs.181042	Dmx-like 1
30897
30898			LC_30898
30905		Hs.14877	ESTs, Weakly similar to T22825 hypothetical protein F57A8.7 - Caenorhabditis elegans [C.elegans]
30917	M91670	Hs.174070	ubiquitin carrier protein
30921	AB014597	Hs.12329	KIAA0697 protein
30929	AF000231	Hs.75618	RAB11A, member RAS oncogene family
30945	M32110	Hs.15243	nucleolar protein 1 (120kD)
30986	AK027711	Hs.193264	hypothetical protein MGC3234
30989	AF201925	Hs.279529	px19-like protein
31015	AJ224326	Hs.125845	ribulose-5-phosphate-3-epimerase
31019	X04808	Hs.82609	hydroxymethylbilane synthase
31024	AJ249366	Hs.10326	coatomer protein complex, subunit epsilon
31029	U11791	Hs.514	cyclin H
31037	Y13936	Hs.17883	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform
31040	U50523	Hs.83583	actin related protein 2/3 complex, subunit 2 (34 kD)
31043	D16481	Hs.146812	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit
31047	X66699	Hs.296290	ribosomal protein L37a
31053	AB014548	Hs.31921	KIAA0648 protein
31074	AK023160	Hs.274319	hypothetical protein FLJ10509
31114		Hs.350572	Homo sapiens, clone IMAGE:4342902, mRNA
31176	U80040	Hs.300463	aconitase 2, mitochondrial
31189	L35013
31199			LC_31199
31200			LC_31200
31213	K03515	Hs.279789	glucose phosphate isomerase
31230	NM_014034	Hs.108110	DKFZP547E2110 protein
31231	AK026724	Hs.99395	hypothetical protein FLJ23071
31232	AF001687
31241		Hs.291953	ESTs
31245	AK000632	Hs.109773	hypothetical protein FLJ20625
31313	U65928	Hs.198767	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)
31328	J03075	Hs.1432	protein kinase C substrate 80K-H
31364
31366	NM_014800	Hs.31463	engulfment and cell motility 1 (ced-12 homolog, C. elegans)
31377	NM_022551	Hs.275865	ribosomal protein S18
31380			LC_31380
31382	X60656	Hs.275959	eukaryotic translation elongation factor 1 beta 2
31383			LC_31383
31384	AK023296	Hs.240075	Homo sapiens cDNA FLJ13234 fis, clone OVARC1000302
31395	D84109	Hs.80248	RNA-binding protein gene with multiple splicing
31410	NM_002629	Hs.181013	phosphoglycerate mutase 1 (brain)
31416	AF017789	Hs.13063	transcription elongation regulator 1 (CA150)
31419	M27364	Hs.181165	eukaryotic translation elongation factor 1 alpha 1
31422			LC_31422
31425	U32986	Hs.108327	damage-specific DNA binding protein 1 (127kD)
31427	U65928	Hs.198767	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)
31428	D45887	Hs.182278	calmodulin 2 (phosphorylase kinase, delta)
31432	M15353	Hs.79306	eukaryotic translation initiation factor 4E
31433	X87843	Hs.82380	menage a trois 1 (CAK assembly factor)
31443	X54941	Hs.348669	CDC28 protein kinase 1
31448	D00860	Hs.56	phosphoribosyl pyrophosphate synthetase 1
31451	AF001433	Hs.13495	requiem, apoptosis response zinc finger gene
31452			LC_31452
31456	U28918	Hs.119222	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
31457	U41668	Hs.77494	deoxyguanosine kinase
31458	X95648	Hs.78592	eukaryotic translation initiation factor 2B, subunit 1 (alpha, 26kD)
31465			LC_31465
31468	U37436	Hs.90280	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
31471	X03342	Hs.169793	ribosomal protein L32
31509	X64707	Hs.180842	ribosomal protein L13
31517			LC_31517
31519	BC000077	Hs.178551	ribosomal protein L8
31561	X02152	Hs.2795	lactate dehydrogenase A
31565	L16991	Hs.79006	deoxythymidylate kinase (thymidylate kinase)
31572	X87843	Hs.82380	menage a trois 1 (CAK assembly factor)
31576	L29217	Hs.73987	CDC-like kinase 3
31577	D29641	Hs.278608	KIAA0052 protein
31578	M63167	Hs.71816	v-akt murine thymoma viral oncogene homolog 1
31579	M37104	Hs.73851	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6
31592	X67155	Hs.270845	kinesin-like 5 (mitotic kinesin-like protein 1)
31602	AF107840	Hs.367697	nucleoporin 50kD
31618	NM_016403	Hs.42743	hypothetical protein HSPC148
31663	AY052405	Hs.348673	Homo sapiens 4-1BB-mediated signaling molecule mRNA, complete cds
31669	AF134159	Hs.15106	chromosome 14 open reading frame 1
31672	D14043	Hs.43910	CD164 antigen, sialomucin
31675	AF281134	Hs.283741	exosome component Rrp46
31689	U84143	Hs.180015	D-dopachrome tautomerase
31692			LC_31692
31693		Hs.349887	Homo sapiens, Similar to RIKEN cDNA 2600001B17 gene, clone IMAGE:2822298, mRNA, partial cds
31704			LC_31704
31705	AB020645	Hs.239189	glutaminase
31710	AF110643	Hs.11463	UMP-CMP kinase
31712	AF026030	Hs.123178	translocase of inner mitochondrial membrane 44 homolog (yeast)
31723	AF186382	Hs.264190	vacuolar protein sorting 35 (yeast)
31733	NM_014366	Hs.279923	putative nucleotide binding protein, estradiol-induced
31802	AB020623	Hs.22960	breast carcinoma amplified sequence 2
31815	X64707	Hs.180842	ribosomal protein L13
31816	AK023114	Hs.220324	NAD kinase
31831	D26181	Hs.2499	protein kinase C-like 1
31832	U78310	Hs.13501	pescadillo homolog 1, containing BRCT domain (zebrafish)
31838		Hs.170935	ESTs
31981	BC012161	Hs.99741	septin 1
32012	AK000067	Hs.54617	hypothetical protein FLJ20060
32028
32042	AF159615	Hs.133968	FGF receptor activating protein 1
32054	AF006012	Hs.118640	dishevelled, dsh homolog 2 (Drosophila)
32071	AF079098	Hs.355315	arginyltransferase 1
32121	AL050030	Hs.264431	Homo sapiens mRNA; cDNA DKFZp566E0124 (from clone DKFZp566E0124)
32233	AK000296	Hs.274448	hypothetical protein FLJ11029
32242	NM_017588	Hs.323518	WD repeat domain 5
32245	J02902	Hs.173902	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform
32261	AF072810	Hs.194688	bromodomain adjacent to zinc finger domain, 1B
32272	U43077	Hs.160958	CDC37 cell division cycle 37 homolog (S. cerevisiae)
32274	S75174	Hs.108371	E2F transcription factor 4, p107/p130-binding
32285	NM_001320	Hs.165843	casein kinase 2, beta polypeptide
32316	L22253	Hs.184167	splicing factor, arginine/serine-rich 7 (35kD)
32318			LC_32318
32329	AF327722	Hs.125034	hypothetical protein FLJ13340
32334	AK002021	Hs.27021	hypothetical protein FLJ11159
32349
32356			LC_32356
32363			LC_32363
32414		Hs.374205	ESTs
32483	NM_032313	Hs.8715	hypothetical protein MGC3232
32545			LC_32545
32555	AF039703	Hs.356442	histone deacetylase 3
32557			LC_32557
32593			LC_32593
32684			LC_32684
32690		Hs.116649	ESTs
32704	X63563	Hs.296014	polymerase (RNA) II (DNA directed) polypeptide B (140kD)
32706	AF100753	Hs.173736	ancient ubiquitous protein 1
32711	U10117	Hs.333513	small inducible cytokine subfamily E, member 1 (endothelial monocyte-activating)
32727	U79256	Hs.80305	hypothetical protein MGC14258
32747	M55905	Hs.75342	malic enzyme 2, NAD(+)-dependent, mitochondrial
32863		Hs.300333	ESTs
32914	AF100757	Hs.6671	COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis)
32930	D26067	Hs.174905	KIAA0033 protein
32932	AF100757	Hs.6671	COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis)
33049	NM_004596	Hs.173255	small nuclear ribonucleoprotein polypeptide A
33164			LC_33164
33201		Hs.145637	ESTs
33364	AK000340	Hs.79828	hypothetical protein FLJ20333
33418	AF014118	Hs.77783	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
33467	AK025974	Hs.4253	hypothetical protein MGC2574
33476	AF113123	Hs.9857	dicarbonyl/L-xylulose reductase
33514	U09564	Hs.75761	SFRS protein kinase 1
33605	AF136977	Hs.103106	chromosome 6 open reading frame 28
33705	J00140	Hs.83765	dihydrofolate reductase
33726			LC_33726
33743			LC_33743
33768	NM_004156	Hs.80350	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform
33771			LC_33771
33801	AK024967	Hs.288368	Homo sapiens cDNA: FLJ21314 fis, clone COL02248
33822	AF054988	Hs.75782	general transcription factor IIIC, polypeptide 2 (beta subunit, 110kD)
33824	AF054988	Hs.75782	general transcription factor IIIC, polypeptide 2 (beta subunit, 110kD)
33840	AL050283	Hs.118926	sentrin/SUMO-specific protease 3
33874	AY007123	Hs.286088	general transcription factor IIIC, polypeptide 5 (63kD)
33876	AF058718	Hs.239631	component of oligomeric golgi complex 5
33888			LC_33888
33911		Hs.136915	EST
33922			LC_33922
33956	BC003549	Hs.239218	uncharacterized hypothalamus protein HCDASE
34436	U40462	Hs.54452	zinc finger protein, subfamily 1A, 1 (Ikaros)
34457		Hs.298275	solute carrier family 38, member 2
34506	X64707	Hs.180842	ribosomal protein L13
34522	AF135016	Hs.124942	protein phosphatase 2A 48 kDa regulatory subunit
34524		Hs.121973	Homo sapiens, clone MGC:20874 IMAGE:4547239, mRNA, complete cds
34533			LC_34533
34534	U84143	Hs.180015	D-dopachrome tautomerase
34543	X64707	Hs.180842	ribosomal protein L13
34579	U46571	Hs.5542	DnaJ (Hsp40) homolog, subfamily C, member 7
34586	M62810	Hs.75133	transcription factor A, mitochondrial
34607	AF081280	Hs.90691	nucleophosmin/nucleoplasmin, 3
34609		Hs.35962	ESTs
34610	D88378	Hs.75925	proteasome (prosome, macropain) inhibitor subunit 1 (PI31)
34624	NM_004300	Hs.75393	acid phosphatase 1, soluble
34653	X64707	Hs.180842	ribosomal protein L13
34657	AK027016	Hs.301732	hypothetical protein MGC5306
34659	X64707	Hs.180842	ribosomal protein L13
34671	BC003503	Hs.49994	hypothetical protein similar to RNA-binding protein lark
34678	L09159	Hs.77273	ras homolog gene family, member A
34679	BC008306	Hs.31989	NICE-3 protein
34686	X17620	Hs.118638	non-metastatic cells 1, protein (NM23A) expressed in
34699	BC000070	Hs.77496	small nuclear ribonucleoprotein polypeptide G
34700	AJ005892	Hs.23170	FtsJ homolog 1 (E. coli)
34715	X74801	Hs.1708	chaperonin containing TCP1, subunit 3 (gamma)
34718	AF161463
34723	AK027506	Hs.100861	hypothetical protein FLJ14600
34728	AF063603	Hs.107127	mitochondrial ribosomal protein S22
34743	U14971	Hs.180920	ribosomal protein S9
34750	D55654	Hs.75375	malate dehydrogenase 1, NAD (soluble)
34760	AB011173	Hs.174174	KIAA0601 protein
34767	X66899	Hs.129953	Ewing sarcoma breakpoint region 1
34768			LC_34768
34771	K00558	Hs.334842	tubulin, alpha, ubiquitous
34778	NM_006098	Hs.5662	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1
34783			LC_34783
34785	X17206	Hs.182426	ribosomal protein S2
34789	X73459	Hs.180394	signal recognition particle 14kD (homologous Alu RNA binding protein)
34801	BC004531	Hs.6455	RuvB-like 2 (E. coli)
34805	M84711	Hs.77039	ribosomal protein S3A
34821	M84711	Hs.77039	ribosomal protein S3A
34823			LC_34823
34825	D90209	Hs.181243	activating transcription factor 4 (tax-responsive enhancer element B67)
34829	M64716	Hs.113029	ribosomal protein S25
34830	M17885	Hs.350108	ribosomal protein, large, P0
34835	AF131837	Hs.226440	Homo sapiens clone 24881 mRNA sequence
34836
34840	BC000524	Hs.350166	ribosomal protein S6
34850
34861	M23613	Hs.9614	nucleophosmin (nucleolar phosphoprotein B23, numatrin)
34869	L06498	Hs.8102	ribosomal protein S20
34878	M14328	Hs.254105	enolase 1, (alpha)
34897	S37431	Hs.181357	laminin receptor 1 (67kD, ribosomal protein SA)
34901			LC_34901
34902			LC_34902
34905	M34479	Hs.979	pyruvate dehydrogenase (lipoamide) beta
34910	L09159	Hs.77273	ras homolog gene family, member A
15940	NM_002592	Hs.78996	proliferating cell nuclear antigen
16258			LC_16258
16469	M31469	Hs.10842	RAN, member RAS oncogene family
16521	Z17227	Hs.173936	interleukin 10 receptor, beta
16537			LC_16537
16825	M36981	Hs.275163	non-metastatic cells 2, protein (NM23B) expressed in
16835	X54942	Hs.83758	CDC28 protein kinase 2
16938	D30658	Hs.283108	glycyl-tRNA synthetase
17059	M25753	Hs.23960	cyclin B1
17060	M25753	Hs.23960	cyclin B1
17063	AF011792	Hs.347349	cell cycle progression 2 protein
17071	D90209	Hs.181243	activating transcription factor 4 (tax-responsive enhancer element B67)
17220	U31814	Hs.3352	histone deacetylase 2
17232	S78085	Hs.41639	programmed cell death 2
17281	U29343	Hs.72550	hyaluronan-mediated motility receptor (RHAMM)
17343	NM_001168	Hs.1578	baculoviral IAP repeat-containing 5 (survivin)
17606	U20972	Hs.79474	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide
23837			LC_23837
24288			LC_24288
24324		Hs.121536	hypothetical protein BC011716
24464	AB049656	Hs.151945	mitochondrial ribosomal protein L43
24496	AF070556	Hs.74405	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
24514	X60036	Hs.78713	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3
24693	D13315	Hs.75207	glyoxalase I
24710	U31930	Hs.367676	dUTP pyrophosphatase
24716	L07493	Hs.1608	replication protein A3 (14kD)
24721	NM_002592	Hs.78996	proliferating cell nuclear antigen
24826	U65410	Hs.79078	MAD2 mitotic arrest deficient-like 1 (yeast)
24827	M25753	Hs.23960	cyclin B1
24857	AF070556	Hs.74405	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
24992	M69039	Hs.78614	complement component 1, q subcomponent binding protein
26012	M37400	Hs.597	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)
26202	D13315	Hs.75207	glyoxalase I
26505	Y13647	Hs.119597	stearoyl-CoA desaturase (delta-9-desaturase)
27057	M31469	Hs.10842	RAN, member RAS oncogene family
27071	M33374	Hs.661	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7 (18kD, B18)
27339	Z47087	Hs.171626	transcription elongation factor B (SIII), polypeptide 1-like
27416	D30658	Hs.283108	glycyl-tRNA synthetase
27524	NM_002539	Hs.75212	ornithine decarboxylase 1
27531	D45887	Hs.182278	calmodulin 2 (phosphorylase kinase, delta)
27613	M74091	Hs.118442	cyclin C
27702	U31930	Hs.367676	dUTP pyrophosphatase
27765	U29343	Hs.72550	hyaluronan-mediated motility receptor (RHAMM)
27820	U01038	Hs.77597	polo-like kinase (Drosophila)
27854	M27364	Hs.181165	eukaryotic translation elongation factor 1 alpha 1
27911	U65410	Hs.79078	MAD2 mitotic arrest deficient-like 1 (yeast)
28013	U31930	Hs.367676	dUTP pyrophosphatase
28074	M31469	Hs.10842	RAN, member RAS oncogene family
28191	NM_005412	Hs.75069	serine hydroxymethyltransferase 2 (mitochondrial)
28215	NM_005412	Hs.75069	serine hydroxymethyltransferase 2 (mitochondrial)
28381	U31814	Hs.3352	histone deacetylase 2
28581	NM_002592	Hs.78996	proliferating cell nuclear antigen
28640	L25876	Hs.84113	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
28677	X51688	Hs.85137	cyclin A2
28872	NM_001168	Hs.1578	baculoviral IAP repeat-containing 5 (survivin)
29176	M29536	Hs.12163	eukaryotic translation initiation factor 2, subunit 2 (beta, 38kD )
29249	AF006012	Hs.118640	dishevelled, dsh homolog 2 (Drosophila)
29382	U31930	Hs.367676	dUTP pyrophosphatase
29420	AK001218	Hs.5216	HSPC028 protein
29573	M32011	Hs.949	neutrophil cytosolic factor 2 (65kD, chronic granulomatous disease, autosomal 2)
30010	X51688	Hs.85137	cyclin A2
30050	NM_006263	Hs.75348	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)
30117	S78085	Hs.41639	programmed cell death 2
30188	X54942	Hs.83758	CDC28 protein kinase 2
30272	M27364	Hs.181165	eukaryotic translation elongation factor 1 alpha 1
30322			LC_30322
30343			LC_30343
30861	AK027607	Hs.17731	hypothetical protein FLJ12892
30949	AF151871	Hs.152738	mitochondrial ribosomal protein L11
31329			LC_31329
31379	BC003394	Hs.182447	heterogeneous nuclear ribonucleoprotein C (C1/C2)
31407	M31469	Hs.10842	RAN, member RAS oncogene family
31420	AF008552	Hs.180655	serine/threonine kinase 12
31642	AK027315	Hs.121076	peptidylprolyl isomerase (cyclophilin)-like 3
31824
32291	Z47087	Hs.171626	transcription elongation factor B (SIII), polypeptide 1-like
33014	BC004451	Hs.334808	hypothetical protein MGC4189
33040	AK000486	Hs.23990	nucleolar protein family A, member 2 (H/ACA small nucleolar RNPs)
33051	D78132	Hs.279903	Ras homolog enriched in brain 2
34599	U51432	Hs.79008	SKI-interacting protein
34674	AF113220
34690	X03559	Hs.25	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide
34735			LC_34735
34889	U17248	Hs.64	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)
