Gene Name	Gene Description	Gene Symbol	Chromosomal Location	Tumor Group	P-value	Fold Change
1422498_at	melanoma antigen, family H, 1	Mageh1	chrX F2	C	4.66E-03	-2.81
1447883_x_at	microtubule-associated protein 1 light chain 3 alpha	Map1lc3a	chr2 H2	C and D	1.962E-06	-17.34
1415972_at	myristoylated alanine rich protein kinase C substrate	Marcks	chr10 B1	D	0.0003207	-23.90
1418316_a_at	MAP/microtubule affinity-regulating kinase 3	Mark3	chr12 F1	C and D	3.579E-05	4.01
1431235_at	Matrin 3	Matr3	chr18 B2	D	0.003158	5.63
1426653_at	minichromosome maintenance deficient 3	Mcm3	chr1 A3-A5	C	1.97E-04	5.79
1425967_a_at	Mast cell protease 4	Mcpt4	chr14 C2	C and D	8.256E-07	-190.30
1422180_a_at	mast cell protease 6	Mcpt6	chr17 A3.3	C and D	1.648E-06	-68.56
1449965_at	mast cell protease 8	Mcpt8	chr14 C2	C and D	4.683E-06	-58.64
1427040_at	kidney cell line derived transcript 1	Mdfic	chr6 A1	C and D	2.385E-06	-26.28
1456777_at	Maltase-glucoamylase	Mgam	chr6 B1	C and D	0.0001381	-25.35
1437226_x_at	MARCKS-like protein	Mlp	chr4 D2.2	C	4.16E-03	3.32
1449366_at	matrix metalloproteinase 8	Mmp8	chr9 A1	C and D	5.396E-07	-50.62
1448291_at	matrix metalloproteinase 9	Mmp9	chr2 H1-H2	C and D	2.652E-08	-284.30
1438676_at	expressed sequence AI595338	Mpa2l	chr5 E5	C and D	4.716E-07	-48.16
1415960_at	myeloperoxidase	Mpo	chr11 C	C and D	9.74E-11	-205.70
1440396_at	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)	Mpp6	chr6 B2.3	C and D	0.003309	9.63
1447585_s_at	mitochondrial ribosomal protein S6	Mrps6	chr16 C4	C and D	9.306E-06	6.56
1450912_at	membrane-spanning 4-domains, subfamily A, member 1	Ms4a1(CD20)	chr19 B	C and D	0.000913	-10.88
1443264_at	membrane-spanning 4-domains, subfamily A, member 2	Ms4a2	chr19 A1	C and D	9.055E-06	-17.40
1423467_at	membrane-spanning 4-domains, subfamily A, member 4B	Ms4a4b	chr19 A	C and D	2.73E-09	-410.70
1460718_s_at	mitochondrial carrier homolog 1	Mtch1	chr17 A3.3	D	2.144E-05	-2.42
1415916_a_at	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase	Mthfd1	chr12 C3	C and D	3.704E-05	5.84
1452330_a_at	matrix-remodelling associated 8	Mxra8	chr4 E2	D	4.119E-05	3.55
1424942_a_at	myelocytomatosis oncogene	Myc	chr15 D2-D3	D	2.473E-06	13.16
1422580_at	myosin, light polypeptide 4	Myl4	chr11 E	C and D	0.002689	3.73
1429524_at	myosin IF	Myo1f	chr17 B-C	C and D	2.679E-07	-34.75
1417930_at	Ngfi-A binding protein 2	Nab2	chr10 D3	D	2.272E-05	-8.37
1420476_a_at	Nucleosome assembly protein 1-like 1	Nap1l1	chr10 D1	C and D	0.0001295	14.34
1430744_at	napsin A aspartic peptidase	Napsa	chr7 B3	D	3.239E-05	10.78
1457113_at	Nuclear autoantigenic sperm protein (histone-binding)	Nasp	chr4 D1	C	3.88E-03	8.98
1452251_at	Hypothetical protein D930017F01	Nbea	chr3 C	C and D	1.598E-06	-20.00
1451767_at	neutrophil cytosolic factor 1	Ncf1	chr5 G2	D	4.556E-07	-38.76
1415772_at	Nucleolin	Ncl	chr1 C5	C and D	1.424E-07	5.38
1421905_at	nuclear receptor coactivator 6 interacting protein	Ncoa6ip	chr4 A1	D	0.0024	7.03
1424847_at	neurofilament, heavy polypeptide	Nefh	chr11 A1-A5	D	8.934E-06	14.49
1436959_x_at	nasal embryonic LHRH factor	Nelf	chr2 A3	D	0.0008241	3.49
1435527_at	Nuclear factor I/C	Nfic	chr10 C1	C	1.41E-03	-8.37
1418932_at	nuclear factor, interleukin 3, regulated	Nfil3	chr13 B1	C and D	5.892E-05	-12.80
1436363_a_at	nuclear factor I/X	Nfix	chr8 C1-C2	D	8.076E-05	7.87
1458299_s_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	Nfkbie	chr17 C	D	0.0002303	-5.35
1422082_a_at	nuclear transcription factor-Y alpha	Nfya	chr17 C-D	C	9.95E-04	7.78
1422952_at	Ng23 protein	Ng23	chr17 B1	C and D	0.00386	14.69
1418722_at	neutrophilic granule protein	Ngp	chr9 F2	C and D	9.849E-12	-62.80
1434864_at	Non imprinted in Prader-Willi/Angelman syndrome 1 homolog	Nipa1	chr7 C	D	0.0003908	9.14
1450753_at	natural killer cell group 7 sequence	Nkg7	chr7 B2	C and D	6.302E-10	-127.60
1418305_s_at	nucleolar protein family A, member 1 (H/ACA small nucleolar RNPs)	Nola1	chr3 G3	C and D	0.0003476	5.15
1450087_a_at	nucleolar and coiled-body phosphoprotein 1	Nolc1	chr19 C3	C and D	3.269E-07	6.15
1420978_at	Nuclear respiratory factor 1	Nrf1	chr6 A3.3	D	0.00341	9.29
1418469_at	Nuclear receptor interacting protein 1	Nrip1	chr16 C3.1	C	2.41E-03	-9.27
1448944_at	RIKEN cDNA D030005H02 gene	Nrp1	chr8 E	C and D	0.000583	-10.16
1443632_at	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	Obscn	chr11 B1.3	D	0.0001238	22.34
1455796_x_at	olfactomedin 1	Olfm1	chr2 A3	C and D	4.78E-06	-40.32
1437060_at	olfactomedin 4	Olfm4	chr14 D3	C and D	1.601E-05	-29.64
1418531_at	oocyte secreted protein 1	Oosp1	chr19 A	C and D	8.296E-06	-31.55
1428995_at	5-oxoprolinase (ATP-hydrolysing)	Oplah	chr15 D3	D	7.014E-05	-6.96
1428484_at	oxysterol binding protein-like 3	Osbpl3	chr6 B3	C and D	5.549E-08	-191.60
1417575_at	OTU domain, ubiquitin aldehyde binding 2	Otub2	chr12 E	C and D	0.001247	4.20
1418501_a_at	Oxidation resistance 1	Oxr1	chr15 D1	C and D	0.0001349	-11.77
1424733_at	purinergic receptor P2Y, G-protein coupled, 14	P2ry14	chr3 D	C and D	1.361E-05	-13.80
1417149_at	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide	P4ha2	chr11	C and D	0.002708	-9.03
1453840_at	poly A binding protein, cytoplasmic 1	Pabpc1	chr15 C	C and D	0.000305	9.51
1448489_at	platelet-activating factor acetylhydrolase 2	Pafah2	chr4 D3	C and D	0.001974	-4.60
1426910_at	PRKC, apoptosis, WT1, regulator	Pawr	chr10 D1	C and D	7.353E-05	-58.12
1449261_at	pre B-cell leukemia transcription factor 2	Pbx2	chr17 B1	D	0.0001818	-5.52
1445381_at	poly(rC) binding protein 2	Pcbp2	chr15 F1	D	8.846E-05	-4.07
1460214_at	Purkinje cell protein 4	Pcp4	chr16 C4	D	0.00226	24.38
1452202_at	phosphodiesterase 2A, cGMP-stimulated	Pde2a	chr7 E1	C	1.39E-04	3.25
1416554_at	PDZ and LIM domain 1 (elfin)	Pdlim1	chr19 D1	C and D	6.128E-05	2.90
1435553_at	PDZ domain containing 3	Pdzk3	chr15 A2	D	0.000172	7.72
1452279_at	RIKEN cDNA 1500032P08 gene	Pfc	chrX A3	C and D	7.382E-07	-53.16
1449184_at	peptidoglycan recognition protein 1	Pglyrp1	chr7 A3	C and D	6.19E-06	-513.10
1422743_at	phosphorylase kinase alpha 1	Phka1	chrX D	D	0.003562	-4.69
1453069_at	Phosphatidylinositol 3-kinase, catalytic, beta polypeptide	Pik3cb	chr9 E4	C and D	0.001376	-6.76
1452487_x_at	paired-Ig-like receptor B	Pira2	chr7 A1	D	3.323E-05	-14.04
1424302_at	paired-Ig-like receptor B	Pirb	chr7 A1	C and D	2.736E-05	-39.51
1434820_s_at	protein kinase inhibitor, gamma	Pkig	chr2 H3	C and D	0.0003699	5.95
1435771_at	Phospholipase C, beta 4	Plcb4	chr2 F3	C and D	2.643E-06	-30.54
1448749_at	pleckstrin	Plek	chr11 A2	C and D	0.000184	-9.78
1427005_at	polo-like kinase 2 (Drosophila)	Plk2	chr13 D2.1	D	0.003699	67.16
1416687_at	procollagen lysine, 2-oxoglutarate 5-dioxygenase 2	Plod2	chr9 E3.3	C	4.02E-03	-10.09
1453181_x_at	phospholipid scramblase 1	Plscr1	chr9 E3.3	C and D	3.47E-06	-49.03
1456323_at	protein O-fucosyltransferase 1	Pofut1	chr2 H2	C and D	4.231E-05	5.81
1450075_at	polymerase (DNA directed), eta (RAD 30 related)	Polh	chr17 C	C and D	9.228E-05	13.03
1419298_at	paraoxonase 3	Pon3	chr6 A1	C and D	5.546E-07	-29.83
1440568_at	protection of telomeres 1	Pot1	chr6 A3.1	C and D	0.002219	13.38
1428154_s_at	phosphatidic acid phosphatase type 2 domain containing 1	Ppapdc1	chr8 A3	C and D	7.691E-09	-17.46
1429501_s_at	Protein phosphatase 1A, magnesium dependent, alpha isoform	Ppm1a	chr12 C3	D	0.0001957	4.84
1434990_at	Protein phosphatase 1E (PP2C domain containing)	Ppm1e	chr11 C	C and D	9.685E-06	6.67
1430631_at	protein phosphatase 1F (PP2C domain containing)	Ppm1f	chr16 A2	C	8.87E-04	2.57
1455080_at	Protein phosphatase 1, regulatory (inhibitor) subunit 16B	Ppp1r16b	chr2 H1	D	0.0002972	-9.10
1442024_at	protein phosphatase 1, regulatory (inhibitor) subunit 3E	Ppp1r3e	chr14 C1	D	0.0008872	-6.09
1420425_at	PR domain containing 1, with ZNF domain	Prdm1	chr10 B2	C and D	1.006E-09	-16.50
1422873_at	proteoglycan 2, bone marrow	Prg2	chr2 D	C and D	1.149E-07	-93.90
1457197_at	Transcribed sequences	Prkacb	chr3 H3	C and D	5.241E-05	9.02
1426044_a_at	protein kinase C, theta	Prkcq	chr2 A1	C and D	2.401E-09	-40.47
1448923_at	protein kinase, interferon inducible double stranded RNA dependent activator	Prkra	chr2 C3	D	0.003492	-3.76
1448556_at	Prolactin receptor	Prlr	chr15 A1	C and D	7.103E-06	-41.73
1437054_x_at	protamine 1	Prm1	chr16 cen-C3	C	2.28E-03	11.99
1417629_at	proline dehydrogenase	Prodh	chr16 A3	D	5.138E-05	8.50
1431057_a_at	RIKEN cDNA 2310046G15 gene	Prss23	chr7 D3	D	0.002816	36.96
1419669_at	proteinase 3	Prtn3	chr10 C1	C and D	2.886E-09	-286.40
1460437_at	pleckstrin homology, Sec7 and coiled/coil domains 4	Pscd4	chr15 E1	D	0.0005973	-8.25
1419348_at	parotid secretory protein	Psp	chr2 H1	C	1.41E-03	-78.68
1455405_at	proline-serine-threonine phosphatase-interacting protein 2	Pstpip2	chr18 E3	D	8.416E-06	-12.16
1446490_at	polypyrimidine tract binding protein 2	Ptbp2	chr3 G1	D	3.417E-08	4.62
1417667_a_at	phosphotriesterase related	Pter	chr2 A1	C	1.74E-04	3.40
1423059_at	PTK2 protein tyrosine kinase 2	Ptk2	chr15 D3	C and D	1.531E-06	7.39
1417995_at	protein tyrosine phosphatase, non-receptor type 8	Ptpn22	chr3 F3	C and D	0.0001376	-8.43
1418539_a_at	Protein tyrosine phosphatase, receptor type, E	Ptpre	chr7 F3	C and D	1.553E-05	-39.50
1427688_a_at	Protein tyrosine phosphatase, receptor type, S	Ptprs	chr17 C	C and D	0.004291	6.99
1452324_at	plasmacytoma variant translocation 1	Pvt1	chr15 D2-D3	C and D	0.0023	7.39
1417741_at	liver glycogen phosphorylase	Pygl	chr12 C2	C and D	2.578E-05	-56.58
1438097_at	RAB20, member RAS oncogene family	Rab20	chr8 A1.1	C	2.59E-05	-18.28
1416527_at	RAB32, member RAS oncogene family	Rab32	chr10 A1	C and D	1.868E-06	-57.83
1449259_at	RAB3D, member RAS oncogene family	Rab3d	chr9 A2-A3	C and D	6.649E-05	-17.43
1421430_at	RAD51-like 1	Rad51l1	chr12 C3	C and D	3.908E-10	43.89
1423123_at	RAD54 like	Rad54l	chr4 D1	C and D	0.000735	4.35
1443878_at	RIKEN cDNA C030018K18 gene	Rapgef6	chr11 B1.3	D	1.97E-05	9.69
1434302_at	RIKEN cDNA 9430025M21 gene	Raph1	chr1 C2	C and D	0.0002275	-22.90
1455165_at	RAR-related orphan receptor alpha	Rar	chr9 C	C and D	1.027E-08	-53.55
1438030_at	Transcribed locus	Rasgrp3	chr17 E2	C and D	6.257E-09	-22.93
1424840_at	ribokinase	Rbks	chr5 B1	C	2.44E-03	16.20
1437545_at	REST corepressor 1	Rcor1	chr12 F1	C and D	5.463E-05	3.60
1450784_at	reversion-inducing-cysteine-rich protein with kazal motifs	Reck	chr4 B1	C and D	0.0001246	-34.44
1417601_at	regulator of G-protein signaling 1	Rgs1	chr1 F	C	2.63E-05	-16.50
1442263_at	regulator of G-protein signaling 13	Rgs13	chr1 F	C and D	8.37E-06	-19.88
1420398_at	regulator of G-protein signaling 18	Rgs18	chr1 F	C and D	0.0002422	-36.31
1449110_at	Ras homolog gene family, member B	Rhob	chr12 A1.1	C and D	0.000171	-12.60
1429319_at	ras homolog gene family, member H	Rhoh	chr5 D	C and D	0.001318	3.79
1434628_a_at	rhophilin, Rho GTPase binding protein 2	Rhpn2	chr7 B1	C and D	0.0001018	-19.60
1425477_x_at	Response to metastatic cancers 1	Rmcs1	chr17 B1	D	0.001526	2.56
1418731_at	ring finger protein 12	Rnf12	chrX D	C	1.51E-03	7.69
1429399_at	Ring finger protein 125	Rnf125	chr18 A2	C	2.11E-06	-11.92
1449036_at	ring finger protein 128	Rnf128	chrX F1	C and D	0.0006787	-8.15
1427008_at	ring finger protein 43	Rnf43	chr11 C	C	3.48E-06	-19.61
1421265_a_at	RNA-binding region (RNP1, RRM) containing 1	Rnpc1	chr2 H3	C and D	0.004112	3.91
1421144_at	retinitis pigmentosa GTPase regulator interacting protein 1	Rpgrip1	chr14 C1	D	1.75E-06	-4.48
1422859_a_at	ribosomal protein L23	Rpl23	chr11 D	C and D	0.0002297	5.38
1460215_at	RNA polymerase 1-4	Rpo1-4	chr6 C1	D	0.00179	8.26
1417398_at	related RAS viral (r-ras) oncogene homolog 2	Rras2	chr7	C and D	0.004205	-4.89
1437222_x_at	ribonucleotide reductase M2 B (TP53 inducible)	Rrm2b	chr15 B3.1	D	0.0001712	9.24
1426452_a_at	RIKEN cDNA 2010107C10 gene	Rsb30	chr7 E1	C	1.14E-06	-34.07
1431098_at	restin (Reed-Steinberg cell-expressed intermediate filament-associated protein)	Rsn	chr5 F	C	3.32E-04	3.54
1424704_at	Runt related transcription factor 2	Runx2	chr17 B3	C and D	9.565E-09	-75.79
1451809_s_at	RWD domain containing 3	Rwdd3	chr3 G1	D	3.769E-05	3.59
1419814_s_at	S100 calcium binding protein A1	S100a1	chr3 F1-F2	D	1.647E-05	-8.05
1418704_at	S100 calcium binding protein A13	S100a13	chr3 F1-F2	D	1.563E-06	-5.35
1421375_a_at	S100 calcium binding protein A6 (calcyclin)	S100a6	chr3 F1-F2	D	0.002674	-19.97
1419394_s_at	S100 calcium binding protein A8 (calgranulin A)	S100a8	chr3 F1-F2	C and D	3.751E-10	-1863.00
1448756_at	S100 calcium binding protein A9 (calgranulin B)	S100a9	chr3 F1-F2	C and D	2.318E-09	-3244.00
1417548_at	squamous cell carcinoma antigen recognized by T-cells 3	Sart3	chr5 F	C and D	0.002383	16.66
1420502_at	spermidine/spermine N1-acetyl transferase 1	Sat1	chrX F3-F4	C	1.09E-03	-3.33
1451190_a_at	SH3-binding kinase	Sbk1	chr7 F1-F3	C and D	6.47E-05	4.06
1426775_s_at	Secretory carrier membrane protein 1	Scamp1	chr13 D1	C and D	0.0001252	-14.61
1437378_x_at	scavenger receptor class B, member 1	Scarb1	chr5 G1.1	C and D	0.0001092	2.86
1426972_at	SEC24 related gene family, member D	Sec24d	chr3 G3	C and D	3.177E-07	-28.09
1445111_at	Transcribed sequence with weak  similarity to protein ref:NP_081764.1 (M.musculus)  RIKEN cDNA 5730493B19	Sec8l1	chr6 A3.3	D	8.921E-05	-10.53
1424394_at	Selenoprotein M	Selm	chr11 A1	C and D	1.108E-07	-115.40
1448110_at	semaphorin 4A	Sema4a	chr3 F1	C and D	6.247E-06	-32.96
1439768_x_at	semaphorin 4f	Sema4f	chr6 C3	C and D	9.268E-08	-36.63
1452141_a_at	selenoprotein P, plasma, 1	Sepp1	chr15 A1	C and D	2.333E-06	-28.57
1454908_x_at	small EDRK-rich factor 1	Serf1	chr13 D1	C and D	0.0008404	7.57
1424923_at	serine (or cysteine) proteinase inhibitor, clade A, member 3G	Serpina3g	chr12 E	C and D	2.563E-07	-126.80
1416318_at	serine (or cysteine) proteinase inhibitor, clade B, member 1a	Serpinb1a	chr13 A4	C	2.04E-03	-22.23
1454877_at	SERTA domain containing 4	Sertad4	chr1 H6	D	0.000774	6.79
1425239_at	SET domain containing 4	Setd4	chr16 C4	D	2.324E-05	10.13
1432488_a_at	splicing factor 3a, subunit 3	Sf3a3	chr4 D1	C and D	0.0002692	5.14
1434353_at	Scm-like with four mbt domains 2	Sfmbt2	chr2 A1	C	1.70E-03	-5.74
1449393_at	SH2 domain protein 1A	Sh2d1a	chrX A5	C and D	1.597E-06	-39.94
1434109_at	SH3 domain binding glutamic acid-rich protein like 2	Sh3bgrl2	chr9 E2	D	0.001793	10.20
1460222_at	SH3-domain binding protein 1	Sh3bp1	chr15 E1	D	1.57E-05	-12.58
1425179_at	Serine hydroxymethyl transferase 1 (soluble)	Shmt1	chr11 B2	C and D	1.839E-05	7.55
1448025_at	signal-regulatory protein beta	Sirpb	chr3 A1	C and D	0.000244	-37.28
1426323_x_at	Cd27 binding protein (Hindu God of destruction)	Siva	chr12 F2	C and D	0.0002251	5.01
1449293_a_at	S-phase kinase-associated protein 2 (p45)	Skp2	chr15 A2	C	8.05E-05	6.45
1420697_at	solute carrier family 15, member 3	Slc15a3	chr19 B	D	0.002249	2.44
1415802_at	solute carrier family 16 (monocarboxylic acid transporters), member 1	Slc16a1	chr3 F2.2	C and D	2.743E-06	6.83
1434473_at	solute carrier family 16 (monocarboxylic acid transporters), member 5	Slc16a5	chr11 E2	C and D	6.135E-07	-22.98
1452717_at	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24	Slc25a24	chr3 F3	C and D	1.469E-06	-101.90
1450639_at	solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	Slc28a2 /// LOC381417	chr2 E3 /// chr2 E5	D	7.178E-05	-7.43
1451782_a_at	solute carrier family 29 (nucleoside transporters), member 1	Slc29a1	chr17 C	C and D	8.187E-05	4.85
1436164_at	solute carrier family 30 (zinc transporter), member 1	Slc30a1	chr1 H6	C	2.76E-03	-8.72
1429154_at	solute carrier family 35, member F2	Slc35f2	chr9 A5.3	D	0.0003253	3.92
1426601_at	solute carrier family 37 (glycerol-3-phosphate transporter), member 1	Slc37a1	chr17 A3.3	D	0.0001274	-6.46
1452445_at	solute carrier family 41, member 2	Slc41a2	chr10 C1	C and D	1.906E-05	-27.51
1448918_at	Solute carrier organic anion transporter family, member 3a1	Slco3a1	chr7 D1	C and D	0.0003112	-35.17
1437870_at	solute carrier organic anion transporter family, member 4C1	Slco4c1	chr1 D	C and D	5.342E-06	-59.96
1418612_at	schlafen 1	Slfn1	chr11 C	C and D	0.0001804	-103.00
1427102_at	schlafen 4	Slfn4	chr11 C	C and D	7.521E-07	-81.51
1448377_at	secretory leukocyte protease inhibitor	Slpi	chr2 H3	C and D	1.205E-05	-17.86
1459843_s_at	MAD homolog 1 (Drosophila)	Smad1	chr8 C1	C and D	0.002399	-36.85
1420492_s_at	Submaxillary gland androgen regulated protein 1	Smr1 /// Smr3	chr5 E1 /// chr5 E2	C	4.51E-03	-434.60
1447763_at	Synaptosomal-associated protein 25	Snap25	chr2 F3	D	0.0009104	-9.03
1428672_at	small nuclear ribonucleoprotein polypeptide F	Snrpf	chr4 E2	C and D	5.618E-05	5.83
1417695_a_at	Sterol O-acyltransferase 1	Soat1	chr1 G3	C	2.51E-04	-10.33
1419155_a_at	SRY-box containing gene 4	Sox4	chr13 A3-A5	C and D	0.0005129	13.22
1460677_at	spermatogenesis associated, serine-rich 2	Spats2	chr15 F1	D	0.000604	6.50
1452794_x_at	Transcribed locus	Speer1-ps1 /// LOC381615 /// LOC545728 /// LOC545731 /// LOC545732	chr5 A1	C and D	5.509E-07	-102.90
1460407_at	Spi-B transcription factor (Spi-1/PU.1 related)	Spib	chr7 B3	C	2.87E-03	5.85
1458203_at	spire homolog 1	Spire1	chr18 E1	D	0.004122	4.95
1451342_at	spondin 1, (f-spondin) extracellular matrix protein	Spon1	chr7 F1	C and D	1.122E-08	-39.33
1449254_at	Secreted phosphoprotein 1	Spp1	chr5 E5	C	1.17E-06	-18.37
1420641_a_at	sulfide quinone reductase-like	Sqrdl	chr2 F2	C and D	1.039E-05	-25.10
1420510_at	RIKEN cDNA 2810036K01 gene	Srfbp1	chr18 D1	C and D	1.799E-06	9.04
1427967_at	SLIT-ROBO Rho GTPase activating protein 2	Srgap2	chr1 E4	C and D	0.001124	11.28
1460241_a_at	sialyltransferase 9 (CMP-NeuAc:lactosylceramide alpha-2,3-sialyltransferase)	St3gal5	chr6 C3	D	4.951E-05	-5.31
1456147_at	Sialyltransferase 8 (alpha-2, 8-sialyltransferase) F	st8sia6	chr2 A1	C and D	1.971E-07	-30.01
1448713_at	signal transducer and activator of transcription 4	Stat4	chr1 C1.1	C and D	1.514E-09	-124.10
1460197_a_at	tumor necrosis factor, alpha-induced protein 9	Steap4	chr5 A1	C and D	0.001331	-64.49
1435761_at	Stefin A1	Stfa1 /// Stfa2	chr16 B3	C and D	2.379E-08	-76.34
1442339_at	Stefin 2-like	Stfa2l1	chr16 B3	C and D	0.0004893	-60.93
1435985_at	serine/threonine kinase 25 (yeast)	Stk25	chr1 D	C and D	2.306E-05	-14.71
1418513_at	serine/threonine kinase 3	Stk3	chr15 B3.3	D	0.001429	-9.07
1420505_a_at	syntaxin binding protein 1	Stxbp1	chr2 B	C and D	3.969E-05	7.32
1455973_at	Sad1 and UNC84 domain containing 1	Sunc1	chr11 A1	C and D	0.0005499	-19.14
1449578_at	Retinitis pigmentosa GTPase regulator interacting protein 1	Supt16h	chr14 C1	C and D	0.0001962	8.79
1428975_at	sushi domain containing 3	Susd3	chr13 B1	D	0.001686	4.08
1426501_a_at	Traf2 binding protein	T2bp	chr3 G2	C and D	0.003631	4.53
1416579_a_at	tumor-associated calcium signal transducer 1	Tacstd1	chr17 E4	C and D	1.693E-13	-373.80
1416996_at	TBC1 domain family, member 8	Tbc1d8	chr1 B	C and D	0.000138	-20.20
1449361_at	T-box 21	Tbx21	chr11 D	C and D	1.378E-07	-37.06
1419537_at	transcription factor EC	Tcfec	chr6 E4-G	C and D	0.001364	-84.59
1439595_at	T-cell receptor alpha chain	Tcra	chr14 C1	C and D	3.125E-06	-25.39
1452205_x_at	T-cell receptor beta, variable 13	Tcrb-V13	chr6 B1	C and D	2.061E-10	-82.68
1422188_s_at	T-cell receptor gamma, variable 4	Tcrg	chr13	C and D	1.977E-07	-161.50
1422189_x_at	T-cell receptor gamma, variable 6	Tcrg	chr13	C and D	1.408E-05	-30.19
1427802_a_at	T-cell receptor gamma-chain mRNA V4-J1 region, 3 end.	Tcrg	chr13	C and D	0.0002728	-22.21
1421682_a_at	t-complex-associated testis expressed 3	Tcte3	chr17 A1	C and D	4.741E-07	19.33
1459057_at	tudor domain containing 3	Tdrd3	chr14 D3	C and D	4.518E-05	13.32
1426716_at	tudor domain containing 7	Tdrd7	chr4 B1	D	0.0009884	-10.83
1452661_at	transferrin receptor	Tfrc	chr16 B2	C and D	1.048E-06	5.41
1456250_x_at	transforming growth factor, beta induced	Tgfbi	chr13	C and D	1.552E-07	-85.60
1449009_at	T-cell specific GTPase	Tgtp	chr11 B1.2	C and D	1.269E-06	-31.12
1418057_at	T-cell lymphoma invasion and metastasis 1	Tiam1	chr16	C and D	9.339E-06	-16.13
1449886_a_at	translocase of inner mitochondrial membrane 10 homolog	Timm10	chr12 C3	D	0.0004606	8.23
1459720_x_at	Timeless interacting protein	Tipin	chr9D	C and D	0.001865	9.94
1435700_at	talin 2	Tln2	chr9 C	D	0.004479	3.28
1435258_at	transmembrane protein 141	Tmem141	chr2 A3	D	0.001197	-6.44
1436499_at	transmembrane protein 23	Tmem23	chr19 C1	C and D	2.698E-06	3.14
1449677_s_at	DNA segment, Chr 4, ERATO Doi 89, expressed	Tmem38b	chr4 B2	C and D	0.002598	-2.96
1422754_at	tropomodulin 1	Tmod1	chr4 B1	C and D	3.948E-05	6.21
1420782_at	tumor necrosis factor receptor superfamily, member 17	Tnfrsf17 (BCMA)	chr16 B3	C and D	4.717E-07	-50.83
1450731_s_at	tumor necrosis factor receptor superfamily, member 21	Tnfrsf21	chr17 C	C	1.28E-04	-15.49
1455333_at	Similar to tensin-like SH2 domain containing 1; tumor endothelial marker 6; thyroid specific PTB domain protein; tensin 3; tensin-like SH2 domain-containing 1; H_NH0549I23.2	Tns3	chr11 A1	C and D	1.323E-08	-22.09
1449996_a_at	Tropomyosin 3, gamma	Tpm3	chr3 F1	C and D	0.000438	4.87
1437432_a_at	tripartite motif protein 12	Trim12	chr7 E3	C	5.04E-03	-22.14
1459860_x_at	tripartite motif protein 2	Trim2	chr3 F1	C and D	1.279E-05	4.01
1424857_a_at	Tripartite motif protein 34	Trim34 /// LOC434218	chr7 F1 /// chr7 E3	C and D	3.377E-06	-7.20
1425742_a_at	TSC22 domain family, member 1	Tsc22d1	chr14 D3	C	5.23E-05	-21.70
1417643_at	testis specific gene A2	Tsga2	chr17 A3.3	C and D	3.482E-05	-11.44
1424567_at	RIKEN cDNA 6330415F13 gene	Tspan2	chr3 F3	C and D	1.516E-05	-1.29
1447119_at	Transcription termination factor, RNA polymerase II	Ttf2	chr3 F2.2	C and D	0.001091	4.92
1450484_a_at	thymidylate kinase family LPS-inducible member	Tyki	chr12 A1.3	D	5.594E-06	-8.13
1438690_at	thymidylate synthase	Tyms	chr5 B1	C	1.48E-03	6.81
1457534_at	ubiquitin associated protein 2-like	Ubap2l	chr3 F2	C and D	0.001215	9.21
1460244_at	ureidopropionase, beta	Upb1	chr10 C1	D	0.0003944	-15.58
1448562_at	uridine phosphorylase 1	Upp1	chr11 A1-2	C and D	1.294E-05	-37.29
1446186_at	Ubiquitin specific protease 15	Usp15	chr10 D3	D	0.001038	12.26
1448939_at	ubiquitin specific protease 25	Usp25	chr16	C and D	0.001001	2.73
1457582_at	Ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome	Uty	chrY A1	D	0.002154	-10.25
1448600_s_at	Vav 3 oncogene	Vav3	chr3 G1	C and D	7.888E-07	-35.50
1448162_at	vascular cell adhesion molecule 1	Vcam1	chr3 G1	C and D	6.826E-05	-42.25
1449869_at	pre-B lymphocyte gene 1	Vpreb1	chr16 A2	C and D	0.00301	13.40
1422921_at	pre-B lymphocyte gene 3	Vpreb3	chr10 C	C	1.61E-05	3.79
1429174_at	WD repeat domain 34	Wdr34	chr2 B	D	0.002933	19.13
1456624_at	WD repeat domain, phosphoinositide interacting 1	Wipi1	chr11 E1	C and D	0.00016	-9.19
1451006_at	xanthine dehydrogenase	Xdh	chr17 E2	C and D	1.899E-06	-97.47
1436936_s_at	inactive X specific transcripts	Xist	chrX D	C	1.61E-03	-21.07
1440663_at	Exportin 4	Xpo4	chr14 C2	D	0.001524	7.26
1429835_at	X-ray repair complementing defective repair in Chinese hamster cells 1	Xrcc1	chr7 A3-B2	C and D	0.001321	11.13
1426706_s_at	xylulokinase homolog	Xylb	chr9 F3	C and D	9.2E-06	9.44
