Gene symbol	Chromosomal location	Gene name	Cell line	Fold change
STAT6	12q13	signal transducer and activator of transcription 6, interleukin-4 induced	MM1, NCI-H929	-7.8, -6.8
SUCLG2	3p14.1	succinate-CoA ligase, GDP-forming, beta subunit	NCI-H929	-6.4
SUHW4	15q21.3	suppressor of hairy wing homolog 4 (Drosophila)	NCI-H929	-16.6
SULF1	8q13.2-q13.3	sulfatase 1	MM1, NCI-H929	-5.3, -5.5
SUMO3	21q22.3	SMT3 suppressor of mif two 3 homolog 3 (yeast)	NCI-H929	-4.4
TACSTD1	2p21	tumor-associated calcium signal transducer 1	MM1	-5.6
TAPBPL	12p13.31	TAP binding protein-like	MM1, NCI-H929	-8.9, -21.6
TCF4	18q21.1	transcription factor 4	NCI-H929	-5.6
TENS1	7p13-p12.3	Tensin 3	MM1, NCI-H929	-5.5, -22.5
THUMPD2	2p22.1	THUMP domain containing 2	NCI-H929	-5.8
TIMM44	19p13.3-p13.2	translocase of inner mitochondrial membrane 44 homolog (yeast)	MM1	-9.9
TLK1	2q31.1	tousled-like kinase 1	NCI-H929	-5.6
TNFRSF10D	8p21	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain	MM1	-10.1
TNFRSF14	1p36.3-p36.2	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	MM1	-4.7
TNFRSF17	16p13.1	tumor necrosis factor receptor superfamily, member 17	MM1, U266, NCI-H929	-566.8, -23.2, -848.5
TPP1	11p15	tripeptidyl peptidase I	MM1	-34.3
TRA1	12q24.2-q24.3	tumor rejection antigen (gp96) 1	MM1	-11.7
TRAF3IP3	1q32.3-q41	TRAF3 interacting protein 3	NCI-H929	-41.6
TRIB1	8q24.13	tribbles homolog 1 (Drosophila)	NCI-H929	-5.7
TRIB3	20p13-p12.2	tribbles homolog 3 (Drosophila)	MM1	-15.3
TRY6	7q34	trypsinogen C	MM1	-6.9
TSHR	14q31	thyroid stimulating hormone receptor	MM1, NCI-H929	-4.9, -13.0
TXNDC5	6p24.3	thioredoxin domain containing 5	MM1, NCI-H929	-4.6, -5.9
TYMS	18p11.32	thymidylate synthetase	NCI-H929	-6.0
UBE2E1	3p24.2	ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)	NCI-H929	-7.3
UBE2J1	6q15	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	MM1, U266, NCI-H929	-10.6, -4.8, -5.4
UCK2	1q23	uridine-cytidine kinase 2	NCI-H929	-6.6
USF2	19q13	upstream transcription factor 2, c-fos interacting	NCI-H929	-8.3
VEGF	6p12	vascular endothelial growth factor	MM1	-7.3
WASPIP	2q31.1	Wiskott-Aldrich syndrome protein interacting protein	MM1, NCI-H929	-7.4, -10.5
WHSC1	4p16.3	Wolf-Hirschhorn syndrome candidate 1	MM1, U266, NCI-H929	-41.8, -5.2, -59.5
WISP1	8q24.1-q24.3	WNT1 inducible signaling pathway protein 1	U266	-11.4
WNT5B	12p13.3	wingless-type MMTV integration site family, member 5B	NCI-H929	-13.0
XBP1	22q12.1|22q12	X-box binding protein 1	MM1, U266, NCI-H929	-12.0, -6.8, -5.2
ZBTB38	3q23	zinc finger and BTB domain containing 38	MM1, U266, NCI-H929	-36.5, -5.3, -59.7
ZFHX1B	2q22	zinc finger homeobox 1b	U266	-7.2
ZHX2	8q24.13	zinc fingers and homeoboxes 2	MM1, NCI-H929	-14.9, -15.8
ZNF42	19q13.2-q13.4	zinc finger protein 42 (myeloid-specific retinoic acid-responsive)	MM1	-8.4
ZNF532	18q21.32	zinc finger protein 532	NCI-H929	-37.5
