Fold Change	Primary Name	Accession code	Description	P-value
-1.71	Mbtps2	NM_178266	Membrane-bound transcription factor peptidase, site 2, transcript variant 1, mRNA (cDNA clone MGC:25655 IMAGE:4460515)	4.77E-07
-1.71	Midn	NM_021565	Midnolin, mRNA (cDNA clone MGC:28080 IMAGE:3710931)	1.56E-21
-1.72	Za20d2	NM_009551	Zinc finger, A20 domain containing 2 (Za20d2), mRNA	4.27E-05
-1.72	Crsp6	NM_144933	Cofactor required for Sp1 transcriptional activation, subunit 6 (Crsp6), mRNA	5.66E-06
-1.72	Mrps35	NM_145573	Mitochondrial ribosomal protein S35 (Mrps35), mRNA	1.55E-08
-1.72	1700007E06Rik	AK029781	PREDICTED: Mus musculus RIKEN cDNA 1700007E06 gene (1700007E06Rik), mRNA	6.49E-08
-1.72	Elavl3	NM_010487	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C) (Elavl3), mRNA	4.05E-04
-1.73	9930017N22Rik	AK036847	Metadherin (Mtdh), mRNA	7.01E-04
-1.73	B430110G05Rik	NM_178696	RIKEN cDNA B430110G05 gene, mRNA (cDNA clone MGC:56884 IMAGE:6310271)	6.76E-05
-1.73	2610028A01Rik	NM_028228	RIKEN cDNA 2610028A01 gene (2610028A01Rik), mRNA	1.88E-07
-1.73	Cebpz	AK017537	Mus musculus 8 days embryo whole body cDNA, RIKEN full-length enriched library, clone:5730409M10 product:CCAAT/enhancer binding protein alpha (C/EBP), related sequence 1, full insert sequence.	1.28E-05
-1.73	Rab14	NM_026697	RAB14, member RAS oncogene family, mRNA (cDNA clone MGC:36272 IMAGE:3980228)	2.84E-05
-1.73	Tia1	NM_011585	Cytotoxic granule-associated RNA binding protein 1, mRNA (cDNA clone MGC:36034 IMAGE:5353938)	1.34E-07
-1.73	H2-Bl	NM_008199	Histocompatibility 2, blastocyst (H2-Bl), mRNA	1.44E-04
-1.73	Rpa3	NM_026632	Replication protein A3, mRNA (cDNA clone MGC:41008 IMAGE:1448430)	8.62E-09
-1.73	Cenpc1	NM_007683	Centromere autoantigen C1 (Cenpc1), mRNA	1.89E-05
-1.73	2410076I21Rik	XM_134948	PREDICTED: hypothetical protein LOC73673 [Mus musculus], mRNA sequence	1.79E-19
-1.74	Lmtk2	BC058653	Lemur tyrosine kinase 2, mRNA (cDNA clone IMAGE:6407188)	2.28E-12
-1.74	Aire	BC068026	Autoimmune regulator (Aire) mRNA, alternatively spliced product 3d	1.79E-04
-1.74	Diablo	BC024780	Diablo homolog (Drosophila), mRNA (cDNA clone MGC:35815 IMAGE:5365266)	7.89E-04
-1.74	Sco1	AK017794	PREDICTED: Mus musculus SCO cytochrome oxidase deficient homolog 1 (yeast) (Sco1), mRNA	8.08E-04
-1.74	2610036L11Rik	BC050071	PREDICTED: hypothetical protein LOC66311 [Mus musculus], mRNA sequence	6.54E-04
-1.74	Srfbp1	NM_026040	Serum response factor binding protein 1, mRNA (cDNA clone MGC:35681 IMAGE:5009612)	1.61E-04
-1.74	Agtrl1	NM_011784	Angiotensin receptor-like 1, mRNA (cDNA clone MGC:31413 IMAGE:4457726)	4.51E-05
-1.74	Nr0b1	NM_007430	Nuclear receptor subfamily 0, group B, member 1 (Nr0b1), mRNA	5.08E-05
-1.74	Cbll1	AK051737	Casitas B-lineage lymphoma-like 1 (Cbll1), mRNA	7.34E-05
-1.74	Ahnak	BC021494	AHNAK nucleoprotein (desmoyokin), mRNA (cDNA clone IMAGE:1246244)	8.73E-07
-1.74	1810011O10Rik	NM_026931	RIKEN cDNA 1810011O10 gene (1810011O10Rik), mRNA	1.88E-04
-1.74	Atp11c	NM_0010017 98	Atpase, class VI, type 11C (Atp11c), mRNA	3.07E-04
-1.74	Hist1h1e	NM_015787	Histone 1, H1e (Hist1h1e), mRNA	1.20E-05
-1.74	Rpgr	NM_011285	Mus musculus retinitis pigmentosa GTPase regulator (Rpgr), mRNA [NM_011285]	1.78E-09
-1.74	NM_146009	NM_146009	Mus musculus cDNA sequence BC004690 (BC004690), mRNA [NM_146009]	1.06E-12
-1.74	BC010981	BC010981	Nucleoporin like 1 (Nupl1), mRNA	6.68E-08
-1.74	S100a10	NM_009112	S100 calcium binding protein A10 (calpactin), mRNA (cDNA clone MGC:36182 IMAGE:4949465)	2.61E-09
-1.75	Hip2	NM_016786	Huntingtin interacting protein 2, mRNA (cDNA clone MGC:5809 IMAGE:3496393)	3.04E-05
-1.75	Rpl24	NM_024218	Ribosomal protein L24 (Rpl24), mRNA	8.93E-06
-1.75	Hcfc1	NM_008224	Host cell factor C1 (Hcfc1), mRNA	1.09E-04
-1.75	Dlgh3	NM_016747	Discs, large homolog 3 (Drosophila) (Dlgh3), mRNA	1.00E-06
-1.75	Pfdn5	NM_027044	Prefoldin 5, transcript variant 2, mRNA (cDNA clone MGC:30379 IMAGE:3666296)	6.93E-08
-1.75	Rsrc1	NM_025822	Arginine/serine-rich coiled-coil 1, mRNA (cDNA clone MGC:47904 IMAGE:1445711)	1.39E-04
-1.75	NAP101638-1	null	Unknown	2.04E-10
-1.75	XM_144452	XM_144452	Mus musculus similar to hypothetical protein FLJ38281 (LOC231545), mRNA [XM_144452]	4.75E-17
-1.75	Pogz	NM_172683	Pogo transposable element with ZNF domain, mRNA (cDNA clone IMAGE:5322259)	3.78E-09
-1.75	3100002L24Rik	BC042711	Mus musculus RIKEN cDNA 3100002L24 gene, mRNA (cDNA clone MGC:51354 IMAGE:4503689), complete cds.	1.36E-04
-1.76	Dgkh	AK083897	PREDICTED: similar to diacylglycerol kinase, eta isoform 2 [Mus musculus], mRNA sequence	2.66E-07
-1.76	Tpr	NM_133780	Translocated promoter region (Tpr), mRNA	3.40E-09
-1.76	Odz4	AK122490	Odd Oz/ten-m homolog 4 (Drosophila) (Odz4), mRNA	6.96E-18
-1.76	Phf17	NM_172303	PHD finger protein 17, mRNA (cDNA clone MGC:31036 IMAGE:5250231)	9.67E-16
-1.76	Bex1	NM_009052	Brain expressed X-linked protein 1 (Bex1)	2.45E-04
-1.76	Zic2	NM_009574	Zic finger protein of the cerebellum 2 (Zic2), mRNA	4.23E-06
-1.76	Pcolce2	NM_029620	Procollagen C-endopeptidase enhancer 2 (Pcolce2), mRNA	1.36E-04
-1.76	BC049807	NM_0010020 08	CDNA sequence BC049807 (BC049807), mRNA	7.78E-19
-1.76	Hmgb2	AK012568	High mobility group box 2, mRNA (cDNA clone MGC:6061 IMAGE:3489780)	2.10E-04
-1.76	0610040D20Rik	AK013670	RIKEN cDNA 0610040D20 gene, mRNA (cDNA clone MGC:7896 IMAGE:3582653)	2.75E-12
-1.76	Mcee	BC038157	Methylmalonyl CoA epimerase, mRNA (cDNA clone MGC:48155 IMAGE:1479934)	4.50E-13
-1.77	CB850089	CB850089	12 days embryo female mullerian duct includes surrounding region cDNA, RIKEN full-length enriched library, clone:6820415O06 product:hypothetical protein, full insert sequence	3.09E-04
-1.77	Sat1	NM_009121	Spermidine/spermine N1-acetyl transferase 1 (Sat1), mRNA	5.29E-05
-1.77	Cdc40	AK040680	PREDICTED: cell division cycle 40 homolog [Mus musculus], mRNA sequence	6.97E-06
-1.77	LOC230595	BC024681	hypothetical protein LOC230595	7.13E-05
-1.77	Etohi1	XM_194572	PREDICTED: Mus musculus similar to zinc finger protein 97 (LOC270474), mRNA.	8.96E-04
-1.77	TC1069143	null	Unknown	5.04E-18
-1.77	Zbtb12	NM_198886	Zinc finger and BTB domain containing 12 (Zbtb12), mRNA	3.22E-04
-1.77	Slc23a1	NM_011397	Solute carrier family 23 (nucleobase transporters), member 1, mRNA (cDNA clone MGC:19208 IMAGE:4238222)	2.12E-09
-1.77	Xylb	BC026406	Xylulokinase homolog (H. influenzae), mRNA (cDNA clone IMAGE:5043428)	1.51E-05
-1.77	BC068171	XM_204426	Mus musculus similar to DYSKERIN (LOC245474), mRNA [XM_204426]	6.82E-07
-1.78	Rad18	AK028505	RAD18 homolog (S. cerevisiae), mRNA (cDNA clone MGC:19000 IMAGE:4014013)	6.05E-10
-1.78	Axin2	NM_015732	Axin2 (Axin2), mRNA	2.86E-04
-1.78	NAP037201-1	null	Unknown	1.76E-06
-1.78	LOC546021	XM_355884	similar to SMT3 suppressor of mif two 3 homolog 2	2.23E-05
-1.78	Atp11a	AK028779	ATPase, class VI, type 11A (Atp11a), mRNA	1.58E-12
-1.78	Gnpda2	NM_027681	Glucosamine-6-phosphate deaminase 2 (Gnpda2), mRNA	5.49E-07
-1.78	Lass4	AK036108	Longevity assurance homolog 4 (S. cerevisiae), mRNA (cDNA clone MGC:7360 IMAGE:3487343)	2.41E-05
-1.79	Taf7	NM_175770	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, mRNA (cDNA clone MGC:36036 IMAGE:5373242)	2.31E-05
-1.79	Azin1	NM_018745	Antizyme inhibitor 1, mRNA (cDNA clone MGC:30222 IMAGE:5151406)	2.18E-04
-1.79	3110068G20Rik	AK014241	13 days embryo head cDNA, RIKEN full-length enriched library, clone:3110068G20 product:unclassifiable, full insert sequence	6.13E-04
-1.79	Mynn	NM_030557	Myoneurin (Mynn), mRNA	6.21E-04
-1.79	AK083162	AK083162	Adult male hippocampus cDNA, RIKEN full-length enriched library, clone:C630020O05 product:unclassifiable, full insert sequence	2.23E-06
-1.8	Armc8	AK078280	Armadillo repeat containing 8, mRNA (cDNA clone MGC:47965 IMAGE:1230321)	2.08E-07
-1.8	4921507P07Rik	NM_027564	TISP74	9.92E-05
-1.8	2610036F08Rik	BC019219	RIKEN cDNA 2610036F08 gene, mRNA (cDNA clone MGC:29393 IMAGE:5066012)	3.84E-04
-1.8	Prdm16	NM_027504	MKIAA1675 protein	4.40E-06
-1.8	Rrbp1	AK050411	Mus musculus adult male liver tumor cDNA, RIKEN full-length enriched library, clone:C730046C01 product:RIBOSOME BINDING PROTEIN 1 (RIBOSOME RECEPTOR PROTEIN) (RRP) (P180) homolog [Mus musculus], full insert sequence.	2.26E-04
-1.81	Cbx7	NM_144811	Chromobox homolog 7 (Cbx7), mRNA	3.64E-12
-1.81	D15Bwg0759e	AK089177	DNA segment, Chr 15, Brigham & Womens Genetics 0759 expressed (D15Bwg0759e), mRNA	1.71E-11
-1.81	Kras	NM_021284	V-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog (Kras), mRNA	3.34E-05
-1.81	A430085C19	AK040305	hypothetical protein A430085C19	1.11E-06
-1.81	Pja2	NM_144859	Praja 2, RING-H2 motif containing (Pja2), transcript variant 2, mRNA	2.93E-10
-1.81	Rps21	AK010610	Ribosomal protein S21 (Rps21), mRNA	8.52E-21
-1.81	Slc35d3	AK018094	Solute carrier family 35, member D3 (Slc35d3), mRNA	3.75E-07
-1.82	Lgr5	NM_010195	Leucine rich repeat containing G protein coupled receptor 5 (Lgr5), mRNA	6.54E-04
-1.82	Mthfd2	NM_008638	Methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase, mRNA (cDNA clone MGC:28481 IMAGE:4164253)	1.41E-06
-1.82	AK038173	AK038173	16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130084C19 product:Prothymosin alpha homolog, full insert sequence	1.42E-04
-1.82	NAP113018-1	null	Unknown	4.60E-04
-1.82	TC1060134	null	AF039567 Msx-interacting-zinc finger protein 1 {Mus musculus}, partial (4%) [TC1060134]	2.33E-09
-1.83	NAP017720-001	null	Unknown	1.41E-08
-1.83	2610507B11Rik	NM_0010020 04	E1 protein	4.31E-05
-1.83	LOC385323	XM_358193	similar to transcription elongation factor B (SIII), polypeptide 2	2.42E-08
-1.83	Akap11	AK032821	MKIAA0629 protein	3.81E-04
-1.83	Cdc40	AK004569	PREDICTED: cell division cycle 40 homolog [Mus musculus], mRNA sequence	5.54E-04
-1.83	3321401G04Rik	AK173013	RIKEN cDNA 3321401G04 gene, mRNA (cDNA clone MGC:25421 IMAGE:3156550)	4.45E-04
-1.84	TC969267	null	Unknown	3.82E-04
-1.84	CB845695	CB845695	7 days embryo whole body cDNA, RIKEN full-length enriched library, clone:C430029M22 product:unclassifiable, full insert sequence	9.49E-11
-1.84	1700011J10Rik	NM_183265	RIKEN cDNA 1700011J10 gene (1700011J10Rik), mRNA	4.44E-05
-1.84	Dusp11	NM_028099	Dual specificity phosphatase 11 (RNA/RNP complex 1-interacting) (Dusp11), mRNA	2.28E-04
-1.84	BY710919	BY710919	CDNA clone MGC:60813 IMAGE:30044792	1.81E-04
-1.85	Thap6	AK084295	Androgen receptor N-terminal-interacting protein ARNIP (Arnip)	5.08E-04
-1.85	Gtse1	NM_013882	G two S phase expressed protein 1, mRNA (cDNA clone MGC:25262 IMAGE:4039841)	1.33E-05
-1.85	Bcl11a	NM_016707	B-cell CLL/lymphoma 11A (zinc finger protein), mRNA (cDNA clone MGC:19371 IMAGE:2631265)	6.19E-04
-1.85	Luc7l2	BC056383	LUC7-like 2 (S. cerevisiae) (Luc7l2), mRNA	2.70E-06
-1.85	D930017J03Rik	AK081934	Heterogeneous nuclear ribonucleoprotein C, mRNA (cDNA clone MGC:5715 IMAGE:3499283)	7.52E-04
-1.86	BC040823	BC040823	CDNA sequence BC040823, mRNA (cDNA clone MGC:117552 IMAGE:30933544)	8.67E-09
-1.86	Igf2bp1	AK050850	Insulin-like growth factor 2, binding protein 1 (Igf2bp1), mRNA	1.51E-14
-1.86	Stk4	NM_021420	Serine/threonine kinase 4 (Stk4), mRNA	2.57E-08
-1.86	B930095G15Rik	NM_177121	RIKEN cDNA B930095G15 gene, mRNA (cDNA clone MGC:106552 IMAGE:6825849)	4.36E-04
-1.87	ENSMUST00000 069752	null	Unknown	7.78E-05
-1.87	Fbs1	XM_284344	Fibrosin 1, mRNA (cDNA clone MGC:28549 IMAGE:4205868)	9.66E-05
-1.87	Gm944	BC049983	MKIAA4238 protein	9.18E-05
-1.87	Zdhhc15	BU610239	Zinc finger, DHHC domain containing 15 (Zdhhc15), mRNA	2.97E-07
-1.87	Tmem39a	NM_026407	Transmembrane protein 39a, mRNA (cDNA clone MGC:30980 IMAGE:5250532)	2.13E-14
-1.87	Spcs3	AK048051	Signal peptidase complex subunit 3 homolog (S. cerevisiae), mRNA (cDNA clone MGC:62761 IMAGE:5375997)	3.19E-08
-1.87	Hnrpa3	NM_146130	Heterogeneous nuclear ribonucleoprotein A3, transcript variant b, mRNA (cDNA clone MGC:36410 IMAGE:5322033)	1.14E-06
-1.87	Ccdc10	NM_176966	Coiled-coil domain containing 10 (Ccdc10), mRNA	5.75E-05
-1.87	BC003993	NM_030560	CDNA sequence BC003993, mRNA (cDNA clone MGC:7531 IMAGE:3492146)	7.07E-13
-1.88	Adpn	NM_054088	Adiponutrin, mRNA (cDNA clone MGC:41626 IMAGE:1265861)	2.42E-04
-1.88	Fubp1	NM_057172	Far upstream element (FUSE) binding protein 1 (Fubp1), mRNA	3.38E-18
-1.88	Wdr50	AK078033	PREDICTED: Mus musculus WD repeat domain 50 (Wdr50), mRNA	8.23E-07
-1.88	Adh5	NM_007410	Alcohol dehydrogenase 5 (class III), chi polypeptide (Adh5), mRNA	3.51E-04
-1.88	Dnajb6	AK032039	DnaJ (Hsp40) homolog, subfamily B, member 6, mRNA (cDNA clone MGC:5651 IMAGE:3601332)	6.84E-05
-1.88	1810030N24Rik	AK013007	RIKEN cDNA 1810030N24 gene, mRNA (cDNA clone MGC:41047 IMAGE:1494969)	7.77E-05
-1.89	Tmem30a	NM_133718	Transmembrane protein 30A, mRNA (cDNA clone IMAGE:3669745)	4.87E-05
-1.89	Olfr187	NM_146322	Olfactory receptor 187 (Olfr187), mRNA	1.84E-05
-1.89	Trim59	NM_025863	Tripartite motif-containing 59, mRNA (cDNA clone MGC:29290 IMAGE:4017983)	6.58E-04
-1.89	Plekha8	AK078040	Pleckstrin homology domain containing,	2.87E-08
			family A (phosphoinositide binding specific) member 8 (Plekha8), mRNA
-1.89	Pcdha9	NM_138661	Protocadherin alpha 7 (Pcdha7), mRNA	7.05E-06
-1.9	Cbl	AK039331	Casitas B-lineage lymphoma (Cbl), mRNA	4.34E-04
-1.9	Ubn1	AK020146	Ubinuclein 1 (Ubn1), mRNA	1.22E-04
-1.9	Mtif2	NM_133767	Mitochondrial translational initiation factor 2 (Mtif2), mRNA	2.87E-04
-1.9	LOC434773	XM_356322	Mus musculus similar to Tho2 (LOC382210), mRNA [XM_356322]	9.04E-05
-1.91	Gclm	NM_008129	Glutamate-cysteine ligase , modifier subunit (Gclm), mRNA	1.82E-07
-1.91	Ncl	AK079553	Nucleolin, mRNA (cDNA clone MGC:6363 IMAGE:3495665)	2.38E-07
-1.91	D430039N05Rik	NM_175514	RIKEN cDNA D430039N05 gene, mRNA (cDNA clone IMAGE:4501762)	4.33E-06
-1.91	Arhgap12	NM_029277	Rho GTPase activating protein 12, mRNA (cDNA clone MGC:47185 IMAGE:5358025)	3.47E-04
-1.91	1600014C10Rik	BI147984	RIKEN cDNA 1600014C10 gene (1600014C10Rik), mRNA	8.50E-12
-1.91	Arcn1	NM_145985	Mus musculus archain 1 (Arcn1), mRNA.	1.12E-08
-1.91	Dhfr	NM_010049	Dihydrofolate reductase, mRNA (cDNA clone MGC:11577 IMAGE:3707582)	3.14E-04
-1.91	2700007P21Rik	BC054106	RIKEN cDNA 2700007P21 gene (2700007P21Rik), transcript variant 1, mRNA	4.66E-17
-1.91	Insig2	NM_178082	Insulin induced gene 2, mRNA (cDNA clone MGC:36451 IMAGE:5355039)	5.42E-07
-1.92	Stard4	NM_133774	Strain C57BL/6 StAR-related lipid transfer protein 4 (Stard4)	3.99E-05
-1.92	2310050N11Rik	BC022925	RIKEN cDNA 2310050N11 gene, mRNA (cDNA clone IMAGE:3984921)	1.97E-06
-1.92	NAP036193-1	null	Unknown	5.87E-09
-1.92	Gsk3b	AK088784	Glycogen synthase kinase 3 beta, mRNA (cDNA clone MGC:6814 IMAGE:2648507)	7.25E-06
-1.92	Sfrs2ip	BC058682	PREDICTED: Mus musculus splicing factor, arginine/serine-rich 2, interacting protein (Sfrs2ip), mRNA	6.30E-05
-1.92	NAP123135-1	null	Unknown	1.48E-10
-1.92	A430103D13Rik	AK020759	PREDICTED: Mus musculus zinc finger protein 50 (Zfp50), mRNA	1.62E-10
-1.92	Plk2	NM_152804	Polo-like kinase 2 (Drosophila) (Plk2), mRNA	4.25E-22
-1.92	BI158793	BI158793	Adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230374E14 product:hypothetical Phenylalanine-rich region profile containing protein, full insert sequence	5.94E-05
-1.93	Sox11	AK004158	SRY-box containing gene 11 (Sox11), mRNA	3.65E-04
-1.93	Pphln1	NM_146062	Periphilin 1 (Pphln1), transcript variant 1, mRNA	6.65E-26
-1.93	Tmsb10	NM_025284	Thymosin, beta 10 (Tmsb10), mRNA	8.75E-18
-1.93	NAP061240-1	null	Unknown	1.31E-08
-1.93	Baz2a	AK122243	TTF-I interacting protein 5 (TIP5 gene)	8.80E-05
-1.94	Arid3a	NM_007880	AT rich interactive domain 3A (Bright like) (Arid3a), mRNA	1.22E-07
-1.94	Tnrc4	NM_172434	Trinucleotide repeat containing 4, mRNA (cDNA clone MGC:66604 IMAGE:6401356)	1.59E-10
-1.94	Tubb2b	NM_023716	RIKEN cDNA 2410129E14 gene (2410129E14Rik), mRNA	1.35E-07
-1.94	Eif2c1	BC027783	Eukaryotic translation initiation factor 2C, 1 (Eif2c1), mRNA	4.67E-08
-1.95	Ascc3l1	NM_177214	MKIAA0788 protein	9.75E-05
-1.95	Nup54	AK014260	Nucleoporin 54, mRNA (cDNA clone MGC:92978 IMAGE:5707888)	9.50E-05
-1.95	Phf20l1	AK053606	0 day neonate eyeball cDNA, RIKEN full-length enriched library, clone:E130113K22 product:hypothetical FYVE/PHD zinc finger structure containing protein, full insert sequence	2.71E-09
-1.95	Psmd7	AK012463	Mus musculus 11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2700060P05 product:proteasome (prosome, macropain) 26S subunit, non-ATPase, 7, full insert sequence.	5.34E-07
-1.95	Uqcrb	NM_026219	Fc receptor-like mucin-like 1 (Fcrlm1), mRNA	4.17E-05
-1.95	Sass6	AK013338	RIKEN cDNA 2810453L12 gene (2810453L12Rik), mRNA	2.92E-05
-1.95	BC003479	NM_145428	CDNA sequence BC003479 (BC003479), mRNA	8.18E-25
-1.95	BY709185	BY709185	BY709185 RIKEN full-length enriched, adult male tongue Mus musculus cDNA clone 2310022D20 5, mRNA sequence.	4.10E-07
-1.96	ENSMUST00000 023249	null	Unknown	7.34E-05
-1.97	Hs3st1	NM_010474	Heparan sulfate (glucosamine) 3-O-sulfotransferase 1, mRNA (cDNA clone MGC:11450 IMAGE:3155049)	4.63E-10
-1.97	Edg2	NM_010336	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2, mRNA (cDNA clone MGC:29102 IMAGE:5009055)	3.31E-06
-1.97	Fst	NM_008046	Follistatin (Fst), mRNA	4.61E-07
-1.97	Pfdn4	BC065407	PREDICTED: Mus musculus prefoldin 4 (Pfdn4), mRNA	9.46E-08
-1.98	A_52_P1013396	null	Unknown	2.33E-04
-1.98	2810021B07Rik	NM_025479	RIKEN cDNA 2810021B07 gene (2810021B07Rik), mRNA	8.88E-20
-1.98	Herpud1	NM_022331	Partial homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 (Herpud1 gene)	1.08E-05
-1.98	Psmc5	NM_008950	Protease (prosome, macropain) 26S subunit, ATPase 5, mRNA (cDNA clone MGC:31044 IMAGE:3994523)	1.31E-09
-1.98	Akap10	AK079275	A kinase (PRKA) anchor protein 10 (Akap10), mRNA	5.15E-06
-1.98	Tnrc6b	NM_144812	Trinucleotide repeat containing 6b (Tnrc6b), transcript variant 1, mRNA	4.26E-05
-1.98	Was	NM_009515	Wiskott-Aldrich syndrome homolog (human) (Was), mRNA	7.94E-04
-1.99	Sdc4	NM_011521	Syndecan 4, mRNA (cDNA clone MGC:11456 IMAGE:3154160)	3.10E-16
-1.99	Arpp19	NM_021548	CAMP-regulated phosphoprotein 19 (Arpp19), mRNA	1.17E-10
-1.99	Npat	AK033012	PREDICTED: nuclear protein in the AT region [Mus musculus], mRNA sequence	9.42E-05
-1.99	9230104K21Rik	AK020313	RIKEN cDNA 9130208E07 gene, mRNA (cDNA clone IMAGE:4237122)	1.14E-05
-1.99	TC1066345	null	AF077615 TGF beta inducible nuclear protein TINP1 {Homo sapiens}, complete [TC1066345]	3.58E-13
-1.99	Uxs1	NM_026430	UDP-glucuronate decarboxylase 1, mRNA (cDNA clone MGC:47494 IMAGE:4935237)	6.72E-07
-1.99	Unc5b	NM_029770	Netrin receptor Unc5h2 (Unc5h2 gene)	4.02E-06
-2	Wbp5	NM_011712	WW domain binding protein 5, mRNA (cDNA clone MGC:7478 IMAGE:3490650)	1.60E-23
-2	LOC432823	BC020078	similar to hypothetical protein MGC37588	5.59E-04
-2	NAP103344-1	null	Unknown	1.35E-05
-2	Ubxd2	NM_026390	UBX domain containing 2 (Ubxd2), mRNA	8.43E-05
-2.01	Mtif2	NM_133767	Mitochondrial translational initiation factor 2 (Mtif2), mRNA	2.02E-15
-2.01	A_51_P292332	null	Unknown	4.69E-30
-2.01	4930455C21Rik	AK078465	RIKEN cDNA 4930455C21 gene (4930455C21Rik), mRNA	3.91E-04
-2.01	Aff4	NM_033565	AF4/FMR2 family, member 4 (Aff4), mRNA	4.76E-05
-2.01	D3Ertd751e	AK012700	DNA segment, Chr 3, ERATO Doi 751, expressed (D3Ertd751e), mRNA	6.88E-18
-2.01	Pparbp	NM_134027	Peroxisome proliferator activated receptor binding protein (Pparbp), transcript variant 2, mRNA	1.30E-10
-2.01	Smc4l1	AK048650	SMC4 structural maintenance of chromosomes 4-like 1 (yeast), mRNA (cDNA clone IMAGE:3491533)	1.66E-06
-2.02	Cacna2d2	NM_020263	Voltage-dependent calcium channel alpha-2-delta-2 mutant subunit 1 (Cacna2d2)	4.73E-04
-2.02	Ifitm5	NM_053088	Interferon induced transmembrane protein 5 (Ifitm5), mRNA	5.01E-09
-2.02	Pard3	AK053563	Par-3 (partitioning defective 3) homolog (C. elegans) (Pard3), transcript variant 3, mRNA	2.25E-04
-2.02	Fbxo17	NM_015796	F-box protein 17, mRNA (cDNA clone MGC:31493 IMAGE:4486850)	6.35E-04
-2.02	Gadd45a	NM_007836	Growth arrest and DNA-damage-inducible 45 alpha, mRNA (cDNA clone MGC:18457 IMAGE:4035898)	3.79E-14
-2.03	BC046331	AK129163	MKIAA0562 protein	1.43E-06
-2.03	Ncoa4	AK044951	Nuclear receptor coactivator 4, mRNA (cDNA clone MGC:28270 IMAGE:4008986)	5.11E-05
-2.03	Cabin1	BC039933	Calcineurin binding protein 1, mRNA (cDNA clone IMAGE:6412956)	7.56E-04
-2.03	Rpo1-3	NM_009087	RNA polymerase 1-3, mRNA (cDNA clone MGC:36184 IMAGE:4987975)	7.19E-04
-2.03	Fndc6	AK076401	PREDICTED: similar to hypothetical protein MGC34923 [Mus musculus], mRNA sequence	2.71E-04
-2.03	TC1053336	null	BC031435 Chpt1 protein {Mus musculus}, partial (17%) [TC1053336]	2.05E-14
-2.03	Prpf38b	NM_025845	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B (Prpf38b), mRNA	3.58E-18
-2.03	Edd1	BB283834	Hyperplastic discs protein (Edd)	3.65E-14
-2.04	2310002J21Rik	BC037041	Programmed cell death 4 (Pdcd4), mRNA	6.55E-05
-2.04	Fgl1	AK083397	Fibrinogen-like protein 1 (Fgl1), mRNA	7.06E-04
-2.04	Wnk1	NM_198703	Protein kinase, lysine deficient 1, mRNA (cDNA clone IMAGE:5371931)	1.03E-08
-2.04	AI314180	NM_172381	Expressed sequence AI314180, mRNA (cDNA clone IMAGE:4953720)	1.27E-05
-2.04	Ncoa5	AK047935	Nuclear receptor coactivator 5 (Ncoa5), mRNA	1.52E-05
-2.05	Bicd1	NM_009753	Bicaudal D protein (BICD1 gene), alternatively spliced	4.08E-04
-2.05	Ogg1	NM_010957	8-oxoguanine DNA-glycosylase 1 (Ogg1), mRNA	6.21E-17
-2.05	Cd2ap	NM_009847	CD2-associated protein (CD2AP gene)	2.05E-04
-2.06	Dck	NM_007832	Deoxycytidine kinase (Dck), mRNA	3.41E-10
-2.06	Nlk	NM_008702	Nemo like kinase (Nlk), mRNA	2.21E-07
-2.06	Sfrs11	AK040467	Splicing factor, arginine/serine-rich 11, mRNA (cDNA clone IMAGE:30626765)	2.34E-04
-2.06	Zfml	NM_008717	Zinc finger, matrin-like, mRNA (cDNA clone IMAGE:3497456)	3.62E-06
-2.06	B3gat3	AK013004	Mus musculus 10, 11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2810405M13 product:beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I), full insert sequence.	4.96E-05
-2.07	Strbp	NM_009261	Spermatid perinuclear RNA binding protein, mRNA (cDNA clone MGC:25337 IMAGE:4502840)	1.49E-08
-2.07	LOC384017	XM_357371	PREDICTED: similar to ribosomal protein S18 [Mus musculus], mRNA sequence	5.59E-09
-2.07	Ebf1	NM_007897	Early B-cell factor 1 (Ebf1), mRNA	3.33E-05
-2.07	Efnb2	NM_010111	Ephrin B2 (Efnb2), mRNA	5.28E-06
-2.07	Lims1	NM_026148	LIM and senescent cell antigen-like domains 1 (Lims1), mRNA	2.08E-04
-2.08	Rai14	AK045733	Retinoic acid induced 14 (Rai14), mRNA	4.55E-05
-2.08	NM_173444	NM_173444	Mus musculus RIKEN cDNA A530083I02 gene (A530083I02Rik), mRNA [NM_173444]	1.95E-12
-2.08	A_51_P256818	null	Unknown	2.56E-11
