Fisher score	Gene symbol	Gene name	Reporter	Accession number
-0.242181821	FNBP4	Formin binding protein 4	H200001313	AL137480
-0.243130699	LIN7B	Lin-7 homolog B (C. elegans)	H200009577	NM_022165
-0.24419619	D2L	D2 D replication helicase 2-like (yeast)	H200014642	D42046
-0.244537022	ARF5	ADP-ribosylation factor 5	H200006414	NM_001662
-0.247758055	AES	Amino-terminal enhancer of split	H200000067	NM_001130
-0.249397122	IMPA1	Inositol(myo)-1(or 4)-monophosphatase 1	H200007991	NM_005536
-0.250209534	GARNL4	GTPase activating Rap/RanGAP domain-like 4	H200010046	AB028962
-0.25061199	NUP35	Nucleoporin 35kDa	H300007872	NM_138285
-0.251608968	TIEG	TGFB inducible early growth response	H200006902	NM_005655
-0.252295786	LUC7L2	LUC7-like 2 (S. cerevisiae)	H200001385	NM_016019
-0.254416045	ACBD5	Acyl-Coenzyme A binding domain containing 5	H200002345	AL133064
-0.255364332	CD69	CD69 antigen (p60, early T-cell activation antigen)	H200006938	NM_001781
-0.25584223	CPNE3	Copine III	H200002356	NM_003909
-0.261032678	PTP4A1	Protein tyrosine phosphatase type IVA, member 1	H200015401	NM_003463
-0.261882299	RNF126	Ring finger protein 126	H200005685	NM_017876
-0.262721798	MAGEA12	Melanoma antigen, family A, 12	H200007799	NM_005367
-0.265507089	LOC56930	Hypothetical protein from EUROIMAGE 1669387	H200001882	AL365410
-0.266233057	RPL30	Ribosomal protein L30	H300020619	NM_000989
-0.26652908	FLJ20793	FLJ20793 protein	H200010758	AB058733
-0.266698923	C6orf80	Chromosome 6 open reading frame 80	H200004705	AJ420568
-0.268164756	ARPP-21	Cyclic AMP-regulated phosphoprotein, 21 kD	H200018035	AL049254
-0.268567621	ENTH	Enthoprotin	H200013044	NM_014666
-0.269023076	SCAMP4	Secretory carrier membrane protein 4	H200013489	BC011824
-0.269222198	ABT1	Activator of basal transcription 1	H200011644	NM_013375
-0.269521174	PARG	Poly (ADP-ribose) glycohydrolase	H200010486	NM_003631
-0.26984689	FLJ14007	Hypothetical protein FLJ14007	H200010974	NM_024699
-0.270724584	A4GNT	Alpha-1,4-N-acetylglucosaminyltransferase	H200017402	NM_016161
-0.273035557	SRGAP1	SLIT-ROBO Rho GTPase activating protein 1	H200017383	BF541376
-0.273832878	LOC124402	LOC124402	H200002347	AK056747
-0.27522946	MYOM2	Myomesin (M-protein) 2, 165kDa	H200006651	NM_003970
-0.275336193	PABPC3	Poly(A) binding protein, cytoplasmic 3	H200018688	NM_030979
-0.279343798	CAMLG	Calcium modulating ligand	H200002306	NM_001745
-0.281761986	ZNF408	Zinc finger protein 408	H200012341	NM_024741
-0.284630802	CAD	Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	H200014004	NM_004341
-0.285940453	SPG3A	Spastic paraplegia 3A (autosomal dominant)	H200015752	AF444143
-0.286490196	TACC1	Transforming, acidic coiled-coil containing protein 1	H200008118	NM_006283
-0.287186178	FLJ13868	Hypothetical protein FLJ13868	H200001720	NM_022744
-0.288562017	ORMDL1	ORM1-like 1 (S. cerevisiae)	H200001510	NM_016467
-0.291595552	EIF3S4	Eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa	H200003813	NM_003755
-0.292116947	PRO2730	Hypothetical protein PRO2730	H200014605	NM_025222
-0.293100228	G1P2	Interferon, alpha-inducible protein (clone IFI-15K)	H200000220	NM_005101
-0.295471687	RPS6	Ribosomal protein S6	H200020494	NM_001010
-0.298170464	ACYP2	Acylphosphatase 2, muscle type	H200004121	BC012290
-0.298432523	ADD3	Adducin 3 (gamma)	H200019102	NM_016824
-0.30016901	FLJ20273	R-binding protein	H200010700	NM_019027
-0.301075793	RHOG	Ras homolog gene family, member G (rho G)	H200005997	NM_001665
-0.301627576	FOXJ2	Forkhead box J2	H200012264	NM_018416
-0.302932827	ACYP1	Acylphosphatase 1, erythrocyte (common) type	H200002740	NM_001107
-0.304552382	GABRR2	Gamma-aminobutyric acid (GABA) receptor, rho 2	H200011023	NM_002043
-0.305043434	MYCBP2	MYC binding protein 2	H200013765	NM_015057
-0.306067412	EIF3S6	Eukaryotic translation initiation factor 3, subunit 6 48kDa	H200011463	NM_001568
-0.306647373	DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	H200006245	NM_004396
-0.309412913	R3HDM	R3H domain (binds single-stranded nucleic acids) containing	H200016624	NM_015361
-0.310333622	METTL3	Methyltransferase like 3	H200016627	NM_019852
-0.310566227	KIAA0433	KIAA0433 protein	H200003607	NM_015216
-0.310688294	VAMP3	Vesicle-associated membrane protein 3 (cellubrevin)	H200005618	BC007050
-0.314516559	EDF1	Endothelial differentiation-related factor 1	H200008197	NM_003792
-0.314796932	FLJ20232	Hypothetical protein FLJ20232	H200007068	NM_019008
-0.316979647	FLJ33979	Hypothetical protein FLJ33979	H300013839	NM_152636
-0.318069978	LM	Lamin A/C	H200006462	NM_005572
-0.320018172	INPP5E	Inositol polyphosphate-5-phosphatase, 72 kDa	H200003486	NM_019892
-0.320380043	RPL34	Ribosomal protein L34	H200016271	NM_033625
-0.320407739	SLC6A15	Solute carrier family 6 (neurotransmitter transporter), member 15	H200009328	AK022853
-0.321068715	TCERG1	Transcription elongation regulator 1	H200002225	NM_006706
-0.322381564	RNF153	Ring finger protein 153	H200019970	BC015480
-0.322917947	ZNF307	Zinc finger protein 307	H200004726	NM_019110
-0.323368554	CHSY1	Carbohydrate (chondroitin) synthase 1	H200011698	NM_014918
-0.323563141	RGS2	Regulator of G-protein signalling 2, 24kDa	H200006587	NM_002923
-0.3249343	PRPF31	PRP31 pre-mR processing factor 31 homolog (yeast)	H200008668	NM_015629
-0.326238868	SPATA2	Spermatogenesis associated 2	H200004883	NM_006038
-0.326527373	HSC20	J-type co-chaperone HSC20	H300004419	NM_172002
-0.326646457	DAZAP2	DAZ associated protein 2	H200006096	NM_014764
-0.32681575	NOMO1	Nodal modulator 3	H200015406	NM_014287
-0.327836339	TERE1	Transitional epithelia response protein	H200006247	AY044167
-0.334235203	DKFZp761H0	Hypothetical protein DKFZp761H039	H200000890	AL359592
-0.334377745	ITGB7	Integrin, beta 7	H200000455	NM_000889
-0.335328109	DPM3	Dolichyl-phosphate mannosyltransferase polypeptide 3	H200011696	NM_018973
-0.335665751	ARC92	ARC/mediator transcriptional coactivator subunit	H200009576	NM_030973
-0.335827245	NT5C3	5-nucleotidase, cytosolic III	H200005159	NM_016489
-0.339381399	KIAA0649	KIAA0649	H200003605	NM_014811
-0.343535741	LOC51136	PTD016 protein	H300022884	NM_016125
-0.346705275	MARCKS	Myristoylated alanine-rich protein kinase C substrate	H200019295	AK027274
-0.347121781	RPS23	Ribosomal protein S23	H200000793	NM_001025
-0.347542005	DKFZP564K2	DKFZP564K2062 protein	H200005724	NM_015421
-0.349682435	RAB40B	RAB40B, member RAS oncogene family	H200018126	NM_006822
-0.352259873	RHOT1	Ras homolog gene family, member T1	H200002359	NM_018307
-0.35330369	TWSG1	Twisted gastrulation homolog 1 (Drosophila)	H200015862	NM_020648
-0.353824438	MGC19604	Similar to RIKEN cD B230118G17 gene	H200019825	BC010155
-0.355993781	DOC2A	Double C2-like domains, alpha	H200005265	NM_003586
-0.3562111	C20orf44	Chromosome 20 open reading frame 44	H200003670	NM_018244
-0.356943959	KIAA1007	KIAA1007 protein	H200017568	AB023224
-0.357401446	MORF4L2	Mortality factor 4 like 2	H200008161	NM_012286
-0.358542687	FLJ23375	Hypothetical protein FLJ23375	H200008862	NM_024956
-0.358726522	USP25	Ubiquitin specific protease 25	H200014365	AF170562
-0.358863564	SAT	Spermidine/spermine N1-acetyltransferase	H200003843	NM_002970
-0.361615557	TIM14	Homolog of yeast TIM14	H200020414	BC009702
-0.364565491	IPLA2(GAMM	Intracellular membrane-associated calcium-independent phospholipase A2 gamma	H200004678	AF263613
-0.365402015	AMOTL1	Angiomotin like 1	H200011128	BC014126
-0.369958222	APOE	Apolipoprotein E	H200007822	NM_000041
-0.370024302	COG8	Component of oligomeric golgi complex 8	H200015263	NM_032382
-0.370703527	LOC144363	Hypothetical protein LOC144363	H200014248	AK057730
-0.372934243	DDX55	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55	H200008880	AB046815
-0.373454942	NDUFS4	DH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (DH-coenzyme Q reductase)	H200001939	NM_002495
-0.374080809	FLJ10569	Hypothetical protein FLJ10569	H200000997	NM_018142
-0.374220828	SEPHS2	Selenophosphate synthetase 2	H200012142	NM_012248
-0.375156423	RAB21	RAB21, member RAS oncogene family	H200014302	NM_014999
-0.376316425	WTAP	Wilms tumor 1 associated protein	H200000038	NM_004906
-0.377227248	PTGER2	Prostaglandin E receptor 2 (subtype EP2), 53kDa	H200000534	NM_000956
-0.377294376	RPL37	Ribosomal protein L37	H300001092	NM_000997
-0.377945349	CASP7	Caspase 7, apoptosis-related cysteine protease	H200001749	NM_033339
-0.378909341	CREG1	Cellular repressor of E1A-stimulated genes 1	H200001091	NM_003851
-0.379795011	PORIMIN	Pro-oncosis receptor inducing membrane injury gene	H200008026	NM_052932
-0.380177971	HCFC1	Host cell factor C1 (VP16-accessory protein)	H200007048	NM_005334
-0.381117204	SPIN	Spindlin	H200009456	AL136719
-0.38155144	CBWD2	COBW domain containing 2	H200001451	NM_018491
-0.382137196	SH3GLB1	SH3-domain GRB2-like endophilin B1	H200013208	AB007960
-0.382442076	MRPL32	Mitochondrial ribosomal protein L32	H200004974	NM_031903
-0.382669861	PHGDH	Phosphoglycerate dehydrogenase	H300006924	NM_006623
-0.383828952	AP3M1	Adaptor-related protein complex 3, mu 1 subunit	H200009867	NM_012095
-0.384188793	SF3B1	Splicing factor 3b, subunit 1, 155kDa	H200019696	NM_012433
-0.384712093	ACP1	Acid phosphatase 1, soluble	H200006091	NM_004300
-0.38795314	C6orf93	Chromosome 6 open reading frame 93	H200005415	NM_032860
-0.388264093	FBP1	Fructose-1,6-bisphosphatase 1	H200000145	NM_000507
-0.390345581	PP784	PP784 protein	H200008786	AF155654
-0.392869009	H63	H63 breast cancer expressed gene	H200019085	AK022565
-0.3948721	PPARBP	PPAR binding protein	H200002494	NM_004774
-0.394996405	ITGB1BP1	Integrin beta 1 binding protein 1	H200008126	NM_004763
-0.396164919	FGF13	Fibroblast growth factor 13	H200001250	NM_033642
-0.397914999	RNF159	Ring finger protein (C3HC4 type) 159	H200001993	AK055625
-0.398228244	RFXANK	Regulatory factor X-associated ankyrin-containing protein	H200009817	NM_003721
-0.399361814	C14orf78	Chromosome 14 open reading frame 78	H200005247	BC011859
-0.399375052	ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	H200005878	NM_001685
-0.404100038	MGC4707	MGC4707 protein	H300001106	NM_024113
-0.404210502	FUT4	Fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)	H200000551	AF305083
-0.405481217	MGMT	O-6-methylguanine-D methyltransferase	H200000362	NM_002412
-0.40772468	SLC7A3	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 3	H200008227	NM_032803
-0.409120472	LOC80298	Transcription termination factor-like protein	H200000974	NM_025198
-0.409972742	ETF1	Eukaryotic translation termination factor 1	H200006383	NM_004730
-0.411032992	GM2A	GM2 ganglioside activator	H200009479	NM_000405
-0.411709821	FLJ10707	Hypothetical protein FLJ10707	H200001381	AB051544
-0.413073193	ICA1	Islet cell autoantigen 1, 69kDa	H200007749	NM_022307
-0.413854708	GRCC10	Likely ortholog of mouse gene rich cluster, C10 gene	H300008556	NM_138425
-0.41450845	MYLIP	Myosin regulatory light chain interacting protein	H200002872	AF212221
-0.416062972	PLEKHA2	Pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2	H200002741	AK057205
-0.417611795	LOC389203	Hypothetical gene supported by BC032431	H200015536	BC006003
-0.418376013	ANKMY2	Ankyrin repeat and MYND domain containing 2	H200002452	AK001740
-0.418948013	RPL7	Ribosomal protein L7	H200000043	NM_000971
-0.42076344	DJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	H200006965	NM_006145
-0.422800725	DEPDC6	DEP domain containing 6	H200010250	NM_022783
-0.424681231	KIAA0974	KIAA0974	H200020345	BC015394
-0.425129865	PCSK4	Proprotein convertase subtilisin/kexin type 4	H200004809	AK057235
-0.426533804	C6orf62	Chromosome 6 open reading frame 62	H200008158	NM_030939
-0.426574459	MGC3265	Hypothetical protein MGC3265	H200016427	NM_024028
-0.428309529	DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	H200013521	NM_014314
-0.428346948	MGC35169	Hypothetical protein MGC35169	H300006701	NM_152324
-0.428476789	USP4	Ubiquitin specific protease 4 (proto-oncogene)	H200006406	NM_003363
-0.428535862	SIAH1	Seven in absentia homolog 1 (Drosophila)	H200009646	NM_003031
-0.429890832	RPP25	Ribonuclease P 25kDa subunit	H200001656	NM_017793
-0.430855783	MTHFR	5,10-methylenetetrahydrofolate reductase (DPH)	H200009620	BC011614
-0.431153207	SHFM1	Split hand/foot malformation (ectrodactyly) type 1	H200019472	NM_006304
-0.433079914	FLJ22729	Hypothetical protein FLJ22729	H200010671	NM_024683
-0.434391782	EP300	E1A binding protein p300	H200003499	NM_001429
-0.434680632	BMI1	B lymphoma Mo-MLV insertion region (mouse)	H200000117	NM_005180
-0.435589002	LOC51337	Mesenchymal stem cell protein DSCD75	H200003495	NM_016647
-0.435963746	RYBP	RING1 and YY1 binding protein	H200001522	AB029551
-0.436249861	FLJ90013	Hypothetical protein FLJ90013	H300012337	NM_153365
-0.436257784	FLJ23221	Hypothetical protein FLJ23221	H200002725	NM_024579
-0.436823339	MAP1LC3B	Microtubule-associated protein 1 light chain 3 beta	H200012358	NM_022818
-0.438306006	FBXO8	F-box protein 8	H200006342	NM_012180
-0.438703726	TCEAL8	Transcription elongation factor A (SII)-like 8	H200009246	AK026349
-0.44175171	NCBP2	Nuclear cap binding protein subunit 2, 20kDa	H200015709	BC001255
-0.442328413	SCAMP1	Secretory carrier membrane protein 1	H200004075	AK001541
-0.44369323	CNP	2,3-cyclic nucleotide 3 phosphodiesterase	H200021310	NM_033133
-0.44606076	NUDT8	Nudix (nucleoside diphosphate linked moiety X)-type motif 8	H200019980	BC018644
-0.44626323	NRM	Nurim (nuclear envelope membrane protein)	H200005241	AF143676
-0.446465089	USP8	Ubiquitin specific protease 8	H200013833	NM_005154
-0.446654513	CEP1	Centrosomal protein 1	H200010799	NM_007018
-0.447064687	TMEM29	Transmembrane protein 29	H200001229	AK054721
-0.447696915	BNIP2	BCL2/adenovirus E1B 19kDa interacting protein 2	H200014098	NM_004330
-0.447980233	MB	Membrane associated D binding protein	H200011804	NM_018835
-0.449129998	ZA20D2	Zinc finger, A20 domain containing 2	H200000830	NM_006007
-0.451434794	ZAK	Sterile alpha motif and leucine zipper containing kinase AZK	H200011939	NM_016653
-0.451823174	WDR41	WD repeat domain 41	H200002578	NM_018268
-0.454715694	C9orf10OS	Chromosome 9 open reading frame 10 opposite strand	H200020513	AK056096
-0.457869584	PHF2	PHD finger protein 2	H200010615	AB014562
-0.459318025	CTN1	Catenin (cadherin-associated protein), alpha 1, 102kDa	H200008320	NM_001903
-0.459566835	CTBP1	C-terminal binding protein 1	H200015681	NM_001328
-0.460079913	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7	H200013117	NM_019112
-0.46046349	DKFZP434K1	Hypothetical protein DKFZp434K1421	H200015789	NM_032141
-0.461784276	C13orf10	Chromosome 13 open reading frame 10	H200004454	AK027339
-0.46358614	C9orf25	Chromosome 9 open reading frame 25	H200001541	AK022819
-0.463728136	MRPL20	Mitochondrial ribosomal protein L20	H200008616	NM_017971
-0.463982162	SH2BP1	SH2 domain binding protein 1 (tetratricopeptide repeat containing)	H200008128	NM_014633
-0.464416125	MAK10	MAK10 homolog, amino-acid N-acetyltransferase subunit, (S. cerevisiae)	H200004636	NM_024635
-0.46441843	TDE1	Tumor differentially expressed 1	H200016782	NM_006811
-0.464953185	C17	Cytokine-like protein C17	H200002330	NM_018659
-0.467763097	C20orf14	Chromosome 20 open reading frame 14	H200004082	NM_012469
-0.467996474	ZNF8	Zinc finger protein 8 (clone HF.18)	H200000532	M29581
-0.469326997	CIAO1	WD40 protein Ciao1	H200020520	AK056423
-0.469951421	CETN3	Centrin, EF-hand protein, 3 (CDC31 homolog, yeast)	H200003926	NM_004365
-0.470260924	C10orf47	Chromosome 10 open reading frame 47	H300009957	NM_153256
-0.472222607	DKFZp586I1	Hypothetical protein DKFZp586I1420	H200011821	AL050378
-0.472740374	STXBP3	Syntaxin binding protein 3	H200001688	NM_007269
-0.475151729	TRAF6	TNF receptor-associated factor 6	H200010465	NM_004620
-0.475683788	HEBP2	Heme binding protein 2	H200011731	NM_014320
-0.476154248	PDCD10	Programmed cell death 10	H200003874	NM_007217
-0.476306327	FLJ10349	Hypothetical protein FLJ10349	H200002815	NM_018066
-0.477430574	STRA13	Stimulated by retinoic acid 13	H200004400	BC009571
-0.47747105	MYCPBP	C-myc promoter binding protein	H200013161	X63417
-0.484715006	KIAA0947	KIAA0947 protein	H200000989	AB023164
-0.485729224	LENG5	Leukocyte receptor cluster (LRC) member 5	H200002493	AK054944
-0.486776411	HIST1H4C	Histone 1, H4c	H200004769	NM_003542
-0.488981552	PLS1	Plastin 1 (I isoform)	H200000116	NM_002670
-0.489208734	FLJ11021	Similar to splicing factor, arginine/serine-rich 4	H200006847	NM_023012
-0.491138547	C6orf119	Chromosome 6 open reading frame 119	H200006780	NM_031452
-0.492194412	SUPT3H	Suppressor of Ty 3 homolog (S. cerevisiae)	H200010751	NM_003599
-0.493863557	AMD1	Adenosylmethionine decarboxylase 1	H200016519	NM_001634
-0.49463594	C9orf10	Chromosome 9 open reading frame 10	H200006310	D80005
-0.495643222	LHFPL2	Lipoma HMGIC fusion partner-like 2	H200006658	D86961
-0.496723998	LOC253981	Hypothetical protein LOC253981	H200017729	AK025431
-0.497867369	KIAA0831	KIAA0831	H200011216	NM_014924
-0.497987396	NFE2L2	Nuclear factor (erythroid-derived 2)-like 2	H200014064	NM_006164
-0.498326734	CDC42SE1	CDC42 small effector 1	H200003105	NM_020239
-0.49991875	STATIP1	Signal transducer and activator of transcription 3 interacting protein 1	H200001679	NM_018255
-0.503541739	G12	Guanine nucleotide binding protein (G protein) alpha 12	H200008627	AK025582
-0.505060133	HSPC129	Hypothetical protein HSPC129	H200011302	NM_016396
-0.507275127	CIR	CBF1 interacting corepressor	H200010319	NM_004882
-0.509273864	SRM	Spermidine synthase	H200006269	NM_003132
-0.509663436	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	H200006203	NM_004315
-0.509816437	LOC127262	Hypothetical protein LOC127262	H200002909	AK025464
-0.511905641	HIG1	Likely ortholog of mouse hypoxia induced gene 1	H200001526	NM_014056
-0.512022254	SNRPA	Small nuclear ribonucleoprotein polypeptide A	H200008124	NM_004596
-0.512081239	ARMC5	Armadillo repeat containing 5	H200012360	AK024430
-0.512987717	LTA4H	Leukotriene A4 hydrolase	H200006819	NM_000895
-0.514375564	TEGT	Testis enhanced gene transcript (BAX inhibitor 1)	H200005982	NM_003217
-0.515605745	UCKL1	Uridine-cytidine kinase 1-like 1	H200004463	NM_017859
-0.516599642	TCEB1	Transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)	H200014311	AK057889
-0.520349232	CDC26	Cell division cycle 26	H300009154	NM_139286
-0.522051943	TIAL1	TIA1 cytotoxic granule-associated R binding protein-like 1	H200008621	NM_022333
-0.522825188	ATP5I	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit e	H200007155	NM_007100
-0.523882478	RPL19	Ribosomal protein L19	H200016332	NM_000981
-0.526746243	AK3	Adenylate kinase 3	H200001948	AK026966
-0.527094819	SUCLG2	Succinate-CoA ligase, GDP-forming, beta subunit	H200015863	BC007716
-0.527201699	TPD52L2	Tumor protein D52-like 2	H200013992	NM_003288
-0.527218142	FLJ14936	Hypothetical protein FLJ14936	H200001028	NM_032864
-0.527700103	PPIL3	Peptidylprolyl isomerase (cyclophilin)-like 3	H200012281	NM_032472
-0.527910529	GMPR2	Guanosine monophosphate reductase 2	H200015507	NM_016576
-0.529633053	HNRPH3	Heterogeneous nuclear ribonucleoprotein H3 (2H9)	H200017468	NM_012207
-0.530165686	ADRA1A	Adrenergic, alpha-1A-, receptor	H200005055	NM_033303
-0.531858863	IRF7	Interferon regulatory factor 7	H200007660	NM_004031
-0.533166577	CUEDC2	CUE domain containing 2	H200001988	NM_024040
-0.533613185	WBP4	WW domain binding protein 4 (formin binding protein 21)	H200003828	NM_007187
-0.535294259	WBSCR18	Williams Beuren syndrome chromosome region 18	H200002733	NM_032317
-0.536678929	GNL2	Guanine nucleotide binding protein-like 2 (nucleolar)	H200006126	NM_013285
-0.537514211	H1FX	H1 histone family, member X	H200011670	NM_006026
-0.537815097	OSBPL5	Oxysterol binding protein-like 5	H200011785	NM_020896
-0.537981591	MRE11A	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	H200002912	NM_005591
-0.53824512	CIB1	Calcium and integrin binding 1 (calmyrin)	H200001942	NM_006384
-0.538582186	ACOX3	Acyl-Coenzyme A oxidase 3, pristanoyl	H200002180	NM_003501
-0.539614852	ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)	H200006304	NM_001697
-0.539929634	C21orf119	Chromosome 21 open reading frame 119	H200005302	NM_032910
-0.540316935	SSBP1	Single-stranded D binding protein 1	H200000243	NM_003143
-0.541122427	ATP6V0E	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e	H200003390	NM_003945
-0.541250654	KIDINS220	Likely homolog of rat kinase D-interacting substance of 220 kDa	H200001846	AB033076
-0.54191673	HDLBP	High density lipoprotein binding protein (vigilin)	H200008264	NM_005336
-0.541983082	SFRS3	Splicing factor, arginine/serine-rich 3	H200007728	AF107405
-0.543627084	MGC35232	Hypothetical LOC26149	H200013718	AL110217
-0.545103383	DJC8	DnaJ (Hsp40) homolog, subfamily C, member 8	H200005985	NM_014280
-0.546296779	HSPH1	Heat shock 105kDa/110kDa protein 1	H200004348	NM_006644
-0.547431409	ZBTB34	Zinc finger and BTB domain containing 34	H200008279	AK055661
-0.548268651	FZD7	Frizzled homolog 7 (Drosophila)	H200008173	NM_003507
-0.548330875	LGTN	Ligatin	H200017010	NM_006893
-0.548675986	MTF1	Metal-regulatory transcription factor 1	H200015119	NM_005955
-0.549106173	HDCMA18P	HDCMA18P protein	H200017330	NM_016648
-0.549972247	RPS18	Ribosomal protein S18	H200017207	NM_022551
-0.550727689	FDX1	Ferredoxin 1	H200000187	BC010284
-0.551071805	UBE2N	Ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)	H200006084	NM_003348
-0.552527178	TNFRSF25	Tumor necrosis factor receptor superfamily, member 25	H200008420	NM_003790
-0.552593914	SP100	Nuclear antigen Sp100	H200010186	AF056322
-0.553982992	LOC92906	Hypothetical protein BC008217	H200010509	AK000155
-0.554227072	NME2	Non-metastatic cells 2, protein (NM23B) expressed in	H200017194	NM_002512
-0.55691933	RSHL2	Radial spokehead-like 2	H200007360	NM_031924
-0.557560679	HLA-C	Major histocompatibility complex, class I, C	H200017888	Y10520
-0.557744941	VPS29	Vacuolar protein sorting 29 (yeast)	H200005662	NM_057180
-0.558374019	COX7A2L	Cytochrome c oxidase subunit VIIa polypeptide 2 like	H200004043	NM_004718
-0.558659101	NHP2L1	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	H200008572	NM_005008
-0.559396121	FLJ39370	Hypothetical protein FLJ39370	H300005324	NM_152400
-0.559571878	PTTG1IP	Pituitary tumor-transforming 1 interacting protein	H200011736	NM_004339
-0.5598636	C13orf22	Chromosome 13 open reading frame 22	H200013751	NM_005800
-0.5608504	LOC151438	Hypothetical protein LOC151438	H200020832	AK055877
-0.562770606	CKLF	Chemokine-like factor	H200002454	NM_016951
-0.563594334	JDP2	Jun dimerization protein 2	H300006943	NM_130469
-0.565798664	SEC24D	SEC24 related gene family, member D (S. cerevisiae)	H200002852	NM_014822
-0.565896207	LOC119710	Hypothetical protein BC009561	H200012495	BC009561
-0.567520055	EBAG9	Estrogen receptor binding site associated, antigen, 9	H200001750	NM_004215
-0.568110252	NDUFB1	DH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa	H200008667	AK055348
-0.568422107	CGI-115	CGI-115 protein	H200005206	NM_016052
-0.569583998	RPL18	Ribosomal protein L18	H200019922	NM_000979
-0.570485947	C2orf25	Chromosome 2 open reading frame 25	H200001036	NM_015702
-0.570660009	LOC83690	CocoaCrisp	H200008580	NM_031461
-0.570842094	TMEM8	Transmembrane protein 8 (five membrane-spanning domains)	H200009417	NM_021259
-0.571249517	DCXR	Dicarbonyl/L-xylulose reductase	H200001845	NM_016286
-0.571832769	MGC45871	Hypothetical protein MGC45871	H200020080	BC014203
-0.57425104	DJC13	DnaJ (Hsp40) homolog, subfamily C, member 13	H200002173	AK023168
-0.57434837	RNF139	Ring finger protein 139	H200003827	NM_007218
-0.574371174	NDUFB5	DH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa	H200002808	NM_002492
-0.574893283	FAM33A	Family with sequence similarity 33, member A	H200005680	AK056473
-0.57513684	HIRA	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)	H200008043	NM_003325
-0.57755727	HTPAP	HTPAP protein	H200007814	NM_032483
-0.577660642	YWHAZ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	H200006002	NM_003406
-0.578891898	COX7C	Cytochrome c oxidase subunit VIIc	H200000792	NM_001867
-0.58276899	FBXL19	F-box and leucine-rich repeat protein 19	H200013806	AL137589
-0.583672351	TMX2	Thioredoxin-related transmembrane protein 2	H200017517	NM_015959
-0.585571031	HNF4A	Hepatocyte nuclear factor 4, alpha	H200005084	NM_000457
-0.586208678	FLJ10747	Hypothetical protein FLJ10747	H200014440	NM_018202
-0.588365095	PDCD6	Programmed cell death 6	H200006735	NM_013232
-0.59131564	USP48	Ubiquitin specific protease 48	H300022052	NM_032236
-0.591544685	SFRS7	Splicing factor, arginine/serine-rich 7, 35kDa	H200014255	NM_006276
-0.591581289	SCOTIN	Scotin	H200003380	AK056328
-0.593223912	BTBD3	BTB (POZ) domain containing 3	H200001530	NM_014962
-0.594759265	ZNF79	Zinc finger protein 79 (pT7)	H200002645	AK054606
-0.595143508	MAMDC2	MAM domain containing 2	H200012984	BC015417
-0.597100485	SRP14	Signal recognition particle 14kDa (homologous Alu R binding protein)	H200008427	NM_003134
-0.60038916	RAP2C	RAP2C, member of RAS oncogene family	H200015320	NM_021183
-0.60093974	HCMOGT-1	Sperm antigen HCMOGT-1	H200002437	AB041533
-0.602211389	STK32C	Serine/threonine kinase 32C	H200003800	BC015792
-0.602610136	ASCC3L1	Activating signal cointegrator 1 complex subunit 3-like 1	H200015838	AK024391
-0.603594922	PPP4R1	Protein phosphatase 4, regulatory subunit 1	H200000779	NM_005134
-0.604371044	TOPORS	Topoisomerase I binding, arginine/serine-rich	H200008394	NM_005802
-0.605090696	MRPS16	Mitochondrial ribosomal protein S16	H200008418	AK025715
-0.605502297	SCC-112	SCC-112 protein	H200004133	AB014548
-0.605623075	KIAA1553	KIAA1553	H200014321	AB046773
-0.605777759	MGC10067	Hypothetical protein MGC10067	H200004564	AK057996
-0.606425406	SOX18	SRY (sex determining region Y)-box 18	H200010091	NM_018419
-0.610706484	SDCCAG3	Serologically defined colon cancer antigen 3	H200010638	NM_006643
-0.612971361	IRS2	Insulin receptor substrate 2	H200013414	AF073310
