Pathway name	Pathway Code	Genbank ID	Gene Title	Gene Symbol	5 h CS vs Air                         FC + SEM	8 d CS vs Air            FC + SEM	8 d Air vs 5 h Air            FC + SEM	1.5 mo CS vs Air                         FC + SEM	1.5 mos Air vs 5 h Air            FC + SEM	6 mos CS vs Air                                  FC + SEM	6 mos Air vs 5 h Air  FC + SEM
Signal Transduction	17	AK014829	tousled-like kinase 2 (Arabidopsis)	Tlk2	3.1 ± 0.4	N.C.	N.C.	N.C.	1.5 + 0.4	N.C.	N.C.
Signal Transduction	17	AK009693	torsin family 3, member A	Tor3a	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Signal Transduction	17	BC020044	WD repeat domain 26	Wdr26	1.8 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Signal Transduction	17	BB067079	wingless-related MMTV integration site 5A	Wnt5a	N.C.	1.8 ± 0.4	N.C.	N.C.	N.C.	1.6 ± 0.4	N.C.
Heat shock	18	C77509	DnaJ (Hsp40) homolog, subfamily A, member 2	Dnaja2	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Heat shock	18	AK002290	DnaJ (Hsp40) homolog, subfamily B, member 1	Dnajb1	2.4 ± 0.4	N.C.	N.C.	1.6 ± 0.4	N.C.	N.C.	2.1 + 0.4
Heat shock	18	AK006478	DnaJ (Hsp40) homolog, subfamily B, member 4	Dnajb4	2.9 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	1.5 + 0.4
Heat shock	18	BE624323	DnaJ (Hsp40) homolog, subfamily C, member 3	Dnajc3	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Heat shock	18	AA110927	DnaJ (Hsp40) homolog, subfamily C, member 8	Dnajc8	1.5 ± 0.3	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Heat shock	18	BI499717	heat shock protein 105	Hsp105	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Heat shock	18	BI499717	heat shock protein 110	Hsp110	N.C.	N.C.	N.C.	2.2 ± 0.4	N.C.	N.C.	N.C.
Heat shock	18	BC011103	heat shock protein 12B	Hspa12b	N.C.	N.C.	N.C.	1.8 ± 0.4	N.C.	N.C.	N.C.
Heat shock	18	AW763765	heat shock protein 1A	Hspa1a	N.C.	N.C.	N.C.	2.4 ± 0.4	N.C.	N.C.	2.3 + 0.4
Heat shock	18	M12573	heat shock protein 1B	Hspa1b	N.C.	N.C.	N.C.	3.0 ± 0.5	N.C.	N.C.	4.0 + 0.4
Heat shock	18	BC004714	heat shock protein 2	Hspa2	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Heat shock	18	BE912771	heat shock protein 4	Hspa4	1.8 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	1.6 + 0.3
Heat shock	18	NM_011020	heat shock 70kDa protein 4 like	Hspa4l	N.C.	N.C.	N.C.	1.6 ± 0.4	N.C.	N.C.	N.C.
Heat shock	18	AJ002387	heat shock 70kD protein 5 (glucose-regulated protein)	Hspa5	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Heat shock	18	D11089	heat shock protein 9A	Hspa9a	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Heat shock	18	U03561	heat shock protein 1	Hspb1	1.9 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Heat shock	18	BM124741	heat shock protein family, member 7 (cardiovascular)	Hspb7	N.C.	N.C.	N.C.	N.C.	N.C.	1.6 ± 0.4	N.C.
Heat shock	18	AF250139	heat shock 27kDa protein 8	Hspb8	1.9 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Heat shock	18	BF160731	praja 2, RING-H2 motif containing	Pja2	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Heat shock	18	BE533039	stress 70 protein chaperone, microsome-associated, human homolog	Stch	1.5 ± 0.4	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AK003781	RIKEN cDNA 1110018J12 gene	1110018J12Rik	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_033268	actinin alpha 2	Actn2	N.C.	N.C.	N.C.	N.C.	N.C.	1.7 ± 0.4	N.C.
Cytoskeleton	19	BF140063	adducin 1 (alpha)	Add1	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BI410363	adducin 3 (gamma)	Add3	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AK003821	anaphase-promoting complex subunit 5	Anapc5	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BC021657	ankyrin 3, epithelial	Ank3	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BB398671	CD2-associated protein	Cd2ap	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BB312117	cytoskeleton-associated protein 4	Ckap4	2.1 ± 0.5	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AI156158	desmin	Des	N.C.	N.C.	N.C.	N.C.	N.C.	1.5 ± 0.4	N.C.
Cytoskeleton	19	AK015410	dynamin 2	Dnm2	N.C.	2.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BC025944	dynamin binding protein	Dnmbp	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_134448	dystonin	Dst	1.5 ± 0.3	N.C.	N.C.	N.C.	2.2 + 0.4	N.C.	N.C.
Cytoskeleton	19	BC018220	dymeclin	Dym	N.C.	2.6 + 0.6	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AF188290	dysferlin	Dysf	N.C.	N.C.	4.2 + 0.5	N.C.	N.C.	10.5 ± 0.6	N.C.
Cytoskeleton	19	AK007560	EF hand domain containing 2	Efhd2	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BB396016	engulfment and cell motility 1, ced-12 homolog (C. elegans)	Elmo1	4.8 ± 0.5	1.8 ± 0.4	N.C.	N.C.	1.9 + 0.4	N.C.	N.C.
Cytoskeleton	19	AV329519	Enabled homolog (Drosophila)	Enah	1.8 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BC017137	erythrocyte protein band 4.1		1.7 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AV307614	erythrocyte protein band 4.1-like 5		N.C.	N.C.	N.C.	1.5 ± 0.4	N.C.	N.C.	N.C.
Cytoskeleton	19	BC016454	epsin 3	Epn3	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BC026387	epiplakin 1	Eppk1	2.0 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BM233746	filamin, alpha	Flna	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AK013152	formin binding protein 4	Fnbp4	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BI988550	kelch repeat and BTB (POZ) domain containing 9	Kbtbd9	2.8 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AW764104	kelch-like ECH-associated protein 1	Keap1	1.5 ± 0.4	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BQ175246	kinesin family member 1B	Kif1b	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AI596396	kelch-like 15 (Drosophila)	Klhl15	2.4 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BB428573	kelch-like 2, Mayven (Drosophila)	Klhl2	1.7 ± 0.4	N.C.	N.C.	1.6 ± 0.4	N.C.	1.6 ± 0.4	-1.1
Cytoskeleton	19	BM120233	kelch-like 5 (Drosophila)	Klhl5	N.C.	N.C.	N.C.	1.5 ± 0.3	N.C.	1.5 ± 0.4	N.C.
Cytoskeleton	19	BM247104	kelch-like 6 (Drosophila)	Klhl6	2.4 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_010664	keratin complex 1, acidic, gene 18	Krt1-18	2.0 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	M21836	keratin complex 2, basic, gene 8	Krt2-8	2.1 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BE457796	similar to Nebulette (Actin-binding Z-disk protein)	LOC433402	2.4 ± 0.5	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BC025840	similar to titin isoform N2-A; connectin; CMH9, included; cardiomyopathy, dilated 1G (autosomal dominant)	LOC433436	N.C.	N.C.	N.C.	N.C.	N.C.	2.3 ± 0.5	N.C.
Cytoskeleton	19	NM_080728	similar to myosin, heavy polypeptide 4, skeletal muscle /// similar to myosin, heavy polypeptide 7, cardiac muscle, beta	LOC671894 /// LOC674761	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BB463428	lysosomal trafficking regulator	Lyst	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AU080586	microtubule-associated protein 1 light chain 3 beta	Map1lc3b	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BC027056	microtubule-associated protein, RP/EB family, member 2	Mapre2	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	M18775	microtubule-associated protein tau	Mapt	N.C.	N.C.	N.C.	1.6 ± 0.4	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_010833	moesin	Msn	N.C.	2.1 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BB667459	Vmyotubularin related protein 12	Mtmr12	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BB327612	myotubularin related protein 13	Mtmr13	2.4 ± 0.5	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BB481540	myosin, heavy polypeptide 6, cardiac muscle, alpha	Myh6	N.C.	2.2 ± 0.7	N.C.	N.C.	N.C.	1.6 ± 0.5	N.C.
Cytoskeleton	19	NM_022410	myosin, heavy polypeptide 9, non-muscle	Myh9	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AK003182	myosin, light polypeptide 1	Myl1	N.C.	N.C.	N.C.	N.C.	N.C.	2.3 ± 0.6	N.C.
Cytoskeleton	19	BB759556	myoneurin	Mynn	2.1 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AV297945	myosin X	Myo10	N.C.	2.3 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AI255256	myosin IB	Myo1b	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_008659	myosin IC	Myo1c	2.4 ± 0.4	1.9 ± 0.4	-1.2	N.C.	1.6 + 0.4	N.C.	1.5 + 0.4
Cytoskeleton	19	C76327	myosin ID	Myo1d	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_010864	myosin Va	Myo5a	2.0 ± 0.3	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_010867	myomesin 1	Myom1	N.C.	N.C.	-1.3	N.C.	N.C.	2.1 ± 0.4	-1.3
Cytoskeleton	19	BB288010	myomesin 2	Myom2	N.C.	N.C.	-2.1	N.C.	N.C.	2.0 ± 0.5	N.C.
Cytoskeleton	19	BB429683	myosin VIIA and Rab interacting protein	Myrip	3.4 ± 0.4	N.C.	N.C.	3.5 ± 0.4	N.C.	2.8 ± 0.5	N.C.
Cytoskeleton	19	AF323918	nuclear distribution gene E-like homolog 1 (A. nidulans)	Ndel1	1.5 ± 0.3	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_017464	neural precursor cell expressed, developmentally down-regulated gene 9	Nedd9	1.7 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BB350308	neogenin	Neo1	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AF281278	netrin 4	Ntn4	N.C.	1.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_020606	parvin, alpha	Parva	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AK010339	PDZ and LIM domain 7	Pdlim7	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_011072	profilin 1	Pfn1	N.C.	2.1 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BM210485	plectin 1	Plec1	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_032398	plasmalemma vesicle associated protein	Plvap	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BF714312	Restin (Reed-Steinberg cell-expressed intermediate filament-associated protein)	Rsn	2.1 ± 0.4	2.3 ± 0.5	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BB141248	SAC1 (supressor of actin mutations 1, homolog)-like (S. cerevisiae)	Sacm1l	1.9 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_011892	sarcoglycan, gamma (dystrophin-associated glycoprotein)	Sgcg	N.C.	N.C.	N.C.	N.C.	N.C.	1.7 ± 0.4	N.C.
Cytoskeleton	19	AK003320	shroom	Shrm	N.C.	1.9 + 0.5	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AK018493	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	Smarce1	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AV016275	spectrin beta 2	Spnb2	2.1 ± 0.4	1.7 ± 0.4	-1.8	N.C.	1.6 + 0.4	N.C.	N.C.
Cytoskeleton	19	BB322227	synaptopodin 2-like	Synpo2l	N.C.	N.C.	N.C.	N.C.	N.C.	1.9 ± 0.5	N.C.
Cytoskeleton	19	AF043943	TAP binding protein	Tapbp	N.C.	2.1 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_009443	trans-golgi network protein	Tgoln1	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_021883	tropomodulin 1	Tmod1	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AK017725	tropomodulin 3	Tmod3	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AW045551	TRAF2 and NCK interacting kinase	Tnik	2.7 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_011619	troponin T2, cardiac	Tnnt2	N.C.	N.C.	N.C.	N.C.	N.C.	1.5 ± 0.4	N.C.
Cytoskeleton	19	BE380713	tropomyosin 3, gamma	Tpm3	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	AW491660	tubulin, alpha 4	Tuba4	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	NM_009448	tubulin, alpha 6	Tuba6	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BG871810	vesicle-associated membrane protein 2	Vamp2	N.C.	1.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cytoskeleton	19	BM119387	villin 2	Vil2	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_130864	acetyl-Coenzyme A acyltransferase 1A /// acetyl-Coenzyme A acyltransferase 1B	Acaa1a /// Acaa1b	N.C.	1.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BB718075	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	Acaa2	N.C.	2.2 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BB504570	aconitase 1	Aco1	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_012006	acyl-CoA thioesterase 1	Acot1	N.C.	N.C.	N.C.	1.8 ± 0.4	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_134188	acyl-CoA thioesterase 1 /// acyl-CoA thioesterase 2	Acot1 /// Acot2	N.C.	N.C.	N.C.	1.8 ± 0.4	N.C.	N.C.	N.C.
Lipid Metabolism	20	AB034914	acyl-Coenzyme A oxidase 1, palmitoyl	Acox1	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_053115	acyl-Coenzyme A oxidase 2, branched chain	Acox2	1.6 ± 0.4	N.C.	N.C.	1.6 ± 0.4	N.C.	1.8 ± 0.4	N.C.
Lipid Metabolism	20	AB033886	acyl-CoA synthetase long-chain family member 4	Acsl4	N.C.	1.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_009605	adiponectin, C1Q and collagen domain containing	Adipoq	N.C.	N.C.	N.C.	N.C.	N.C.	1.8 ± 0.5	N.C.
Lipid Metabolism	20	AI255644	aminolevulinic acid synthase 1	Alas1	N.C.	2.1 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	AK013026	annexin A6	Anxa6	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_007470	apolipoprotein D	Apod	N.C.	N.C.	N.C.	N.C.	N.C.	1.7 ± 0.4	N.C.
Lipid Metabolism	20	BB312717	apolipoprotein L, 2	Apol2	7.4 ± 0.6	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_054094	butyryl Coenzyme A synthetase 1	Bucs1	N.C.	N.C.	N.C.	N.C.	N.C.	1.6 ± 0.4	N.C.
Lipid Metabolism	20	AK014670	CDP-diacylglycerol synthase 1	Cds1	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BB027654	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2	Cds2	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	AF320340	carnitine deficiency-associated gene expressed in ventricle 3	Cdv3	1.5 ± 0.4	N.C.	3.1 + 0.4	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_013490	choline kinase alpha	Chka	2.1 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_007692	choline kinase beta	Chkb	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BB119196	carnitine palmitoyltransferase 1a, liver	Cpt1a	N.C.	2.2 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_012006	cytosolic acyl-CoA thioesterase 1	Cte1	N.C.	N.C.	N.C.	N.C.	N.C.	1.9 ± 0.4	N.C.
Lipid Metabolism	20	NM_134188	cytosolic acyl-CoA thioesterase 1 /// mitochondrial acyl-CoA thioesterase 1		N.C.	N.C.	N.C.	N.C.	N.C.	1.8 ± 0.4	N.C.
Lipid Metabolism	20	BB132393	DDHD domain containing 1	Ddhd1	2.4 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BB353853	Diacylglycerol kinase, eta	Dgkh	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BC023104	enoyl Coenzyme A hydratase domain containing 1	Echdc1	2.4 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BB133079	endothelial differentiation sphingolipid G-protein-coupled receptor 1	Edg1	1.6 ± 0.4	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BB532532	endothelial differentiation, sphingolipid G-protein-coupled receptor, 3	Edg3	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BC002148	fatty acid binding protein 4, adipocyte	Fabp4	N.C.	N.C.	N.C.	N.C.	N.C.	1.9 ± 0.5	N.C.
Lipid Metabolism	20	BE652876	fatty acid desaturase 3	Fads3	N.C.	3.5 + 0.8	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BM119198	Flotillin 2	Flot2	2.3 ± 0.4	1.5 ± 0.4	-1.2	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	AK016023	glycerophosphodiester phosphodiesterase domain containing 1	Gdpd1	1.7 ± 0.4	2.5 ± 0.4	-1.4	1.9 ± 0.4	N.C.	N.C.	N.C.
Lipid Metabolism	20	BC014714	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	Hmgcs2	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	X14607	lipocalin 2	Lcn2	N.C.	2.1 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	U42467	leptin receptor	Lepr	N.C.	1.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_022882	lipin 2	Lpin2	2.4 ± 0.4	2.0 ± 0.4	-2.3	1.9 ± 0.4	-2.2	N.C.	N.C.
Lipid Metabolism	20	AK017272	lipoprotein lipase	Lpl	1.9 ± 0.4	N.C.	N.C.	1.7 ± 0.4	N.C.	2.1 ± 0.4	N.C.
Lipid Metabolism	20	NM_008512	low density lipoprotein receptor-related protein 1	Lrp1	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BC011058	low-density lipoprotein receptor-related protein 10	Lrp10	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	AF247637	low density lipoprotein receptor-related protein 4	Lrp4	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BB437173	low density lipoprotein receptor-related protein 6	Lrp6	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	AI848122	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	Lrp8	14.3 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	D00622	low density lipoprotein receptor-related protein associated protein 1	Lrpap1	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BC019882	3-ketoacyl-CoA thiolase B	MGC29978	N.C.	N.C.	N.C.	N.C.	N.C.	1.6 ± 0.3	N.C.
Lipid Metabolism	20	NM_019736	acyl-Coenzyme A thioesterase 2, mitochondrial		1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_022816	acyl-Coenzyme A thioesterase 2, mitochondrial /// acyl-Coenzyme A thioesterase 3, mitochondrial		1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	AB074008	oxysterol binding protein-like 5	Osbpl5	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BG070848	oxysterol binding protein-like 6	Osbpl6	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	AA561726	3-phosphoglycerate dehydrogenase /// similar to 3-phosphoglycerate dehydrogenase	Phgdh /// LOC434252	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BB222968	Phosphatidylinositol binding clathrin assembly protein	Picalm	1.6 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	AV340508	phosphatidylinositol glycan, class A	Piga	1.9 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	AY007382	phospholipase A2, group XIIA	Pla2g12a	2.4 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BB224034	phospholipase C, beta 4	Plcb4	N.C.	1.6 ± 0.4	N.C.	1.9 ± 0.4	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_011125	phospholipid transfer protein	Pltp	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BI713896	phosphomevalonate kinase	Pmvk	2.3 ± 0.4	N.C.	N.C.	N.C.	N.C.	1.5 ± 0.4	N.C.
Lipid Metabolism	20	AK003207	patatin-like phospholipase domain containing 2	Pnpla2	1.8 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BM212050	prosaposin	Psap	N.C.	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BC004827	phosphoserine aminotransferase 1	Psat1	2.7 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	AK017622	phosphatidylserine receptor	Ptdsr	1.9 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	AA833146	prostaglandin-endoperoxide synthase 1	Ptgs1	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	AA833146	prostaglandin-endoperoxide synthase 1	Ptgs1	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_016741	scavenger receptor class B, member 1	Scarb1	1.6 ± 0.4	1.6 ± 0.4	-1.2	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_007644	scavenger receptor class B, member 2	Scarb2	1.6 ± 0.3	1.5 ± 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BG060909	stearoyl-Coenzyme A desaturase 2	Scd2	N.C.	2.4 + 0.5	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	BB360745	sphingosine-1-phosphate phosphotase 2	Sgpp2	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	NM_133741	SNF related kinase	Snrk	N.C.	1.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Lipid Metabolism	20	AK013519	sortilin-related receptor, LDLR class A repeats-containing	Sorl1	N.C.	2.0 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
