#Clone ID	Gene Symbol	Unigene ID	Genomic Data	Expression Data (Ratio huT78/PanT)	log2(Genomic Data)	log2(Expression Data)
hAA8016	COPEB	Hs.285313	1.703		0.768
hAE0846	-	Hs.177687	1.177	0.786	0.235	-0.348
hAA7231	FLJ20360	Hs.26434	1.264	0.944	0.338	-0.083
hAA0381	GDI2	Hs.56845	1.25	1.346	0.322	0.429
hAA1618	IL15RA	Hs.12503	1.245	1.302	0.316	0.381
hAA2617	MGC14439	Hs.107001	1.64	1.241	0.714	0.312
hAA8193	PRKCQ	Hs.211593	1.011	0.239	0.016	-2.062
hAA9190	ATP5C1	Hs.155433	1.109	2.352	0.149	1.234
hAA9349	RENT2	Hs.3862	1.149	0.462	0.2	-1.115
hAA2737	FIP2	Hs.278898		0.344		-1.537
hAC8068	PRP18	Hs.155244		0.549		-0.865
hAA5504	FLJ10210	Hs.183639	1.14	1.475	0.189	0.561
hAC8192	NMT2	Hs.122647	1.45	0.814	0.536	-0.298
hAA1976	RSU1	Hs.75551	1.341	1.712	0.423	0.776
hAC9903	STAM	Hs.153487	0.886	0.843	-0.175	-0.246
hAA1674	STAM	Hs.153487	1.163	2.214	0.218	1.147
hAD1224	STAM	Hs.153487		0.803		-0.316
hAA4966	BUP	Hs.35660	1.11	0.335	0.151	-1.576
hAA5398	BMI1	Hs.431	0.88	0.412	-0.184	-1.278
hAB4136	BMI1	Hs.431	0.955	0.405	-0.066	-1.304
hAA1570	BMI1	Hs.431		1.075		0.104
hAA8984	GAD2	Hs.170808	1.147		0.198
hAC7823	GAD2	Hs.170808		1.434		0.52
hAA0149	MAP3K8	Hs.248	1.27	1.442	0.345	0.528
hAA0449	TCF8	Hs.232068	0.818	0.626	-0.29	-0.676
hAA0301	ITGB1	Hs.287797	1.51	0.087	0.595	-3.522
hAA2032	CUL2	Hs.82919		0.594		-0.752
hAD9958	-	Hs.302078	1.179	0.987	0.238	-0.019
hAC2808	ZNF33A	Hs.70617	1.294	1.608	0.372	0.685
hAA2098	HNRPF	Hs.808	1.024	0.559	0.034	-0.84
hAA1415	SDF1	Hs.237356		1.008		0.012
hAA7142	KIAA0913	Hs.65135	1.492	0.396	0.577	-1.338
hAC2327	-	Hs.181174	1.066	2.89	0.092	1.531
hAA1947	GDF10	Hs.2171	0.863	0.121	-0.213	-3.043
hAA5963	LOC58481	Hs.349333	1.652	0.976	0.724	-0.035
hAA8966	NCOA4	Hs.99908	0.987	0.657	-0.019	-0.605
hAC4376	ANXA8	Hs.87268	1.315	0.534	0.395	-0.905
hAA9099	PRKG1	Hs.2689		1.907		0.931
hAA5129	MDS029	Hs.43549	1.212	1.703	0.277	0.768
hAE0295	UBE2D1	Hs.129683	1.05	0.856	0.07	-0.224
hAB0860	UBE2D1	Hs.129683	1.141	1.183	0.19	0.242
hAA2379	TCF6L1	Hs.75133	1.202	1.564	0.265	0.645
hAA7448	TCF6L1	Hs.75133		1.292		0.37
hAA1925	-	Hs.281043	1.053	1.283	0.075	0.359
hAA6904	-	Hs.238927		0.57		-0.812
hAB7338	D10S170	Hs.315591	1.012	1.172	0.017	0.23
hAB8078	ANK3	Hs.75893	1.262	0	0.336
hAC8036	-	Hs.334562	1.446	0.382	0.532	-1.39
hAA2332	-	Hs.334562		2.429		1.281
hAB1815	KIAA0740	Hs.15099	0.899		-0.154
hAA9018	EGR2	Hs.1395	0.832	0.73	-0.265	-0.453
hAA9218	TRIP8	Hs.6685	1.097	0.6	0.134	-0.737
hAA9520	TRIP8	Hs.6685	1.179	0.313	0.238	-1.676
hAA9419	TRIP8	Hs.6685		0.174		-2.523
hAA2624	JDP1	Hs.260720		1.327		0.408
hAB0457	DKFZP564G092	Hs.11123	0.886	0.195	-0.175	-2.355
hAB0538	SIRT1	Hs.31176	1.392	0.185	0.477	-2.431
hAB6945	DNA2L	Hs.194665		0.552		-0.857
hAA2014	SLC25A16	Hs.180408	1.096	0	0.132
hAD1391	DKFZP586B0923	Hs.172854	1.096	0.385	0.132	-1.375
hAA1477	PRG1	Hs.1908	1.261	0.781	0.335	-0.357
hAB0992	VPS26	Hs.67052		0.426		-1.232
hAA7795	SUPV3L1	Hs.106469		1.152		0.204
chAA2114	HK1	Hs.118625	1.239	2.618	0.309	1.389
hAB6198	-	Hs.94943		1.066		0.093
hAA9732	-	Hs.15386	1.334	0.864	0.416	-0.211
hAA2914	PP	Hs.184011	1.209	3.9	0.274	1.964
hAB1148	-	Hs.278712	1.266	0.752	0.34	-0.41
hAA2735	-	Hs.278712	1.513	1.08	0.597	0.111
hAC8241	PRF1	Hs.2200	1.38	1.005	0.465	0.007
hAA6127	SGPL1	Hs.186613	1.274	0.963	0.349	-0.054
hAC8926	FLJ11160	Hs.129819	1.268	0.646	0.343	-0.63
hAA5341	PSAP	Hs.78575	1.389	0.998	0.474	-0.003
hAA0525	KIAA0275	Hs.74583	1.246	2.523	0.317	1.335
hAB8370	LOC51008	Hs.121599		0.832		-0.266
hAB0684	-	Hs.178485		1.184		0.243
hAB7924	DNAJB12	Hs.7960	1.694		0.76
hAC5197	-	Hs.4896	1.388	0.804	0.473	-0.315
hAA4107	DKFZP586P2219	Hs.16951	1.445	1.42	0.531	0.506
hAB9449	HSGT1	Hs.19673		1.162		0.217
hAA1304	ANXA7	Hs.78637	1.077	0.915	0.107	-0.128
hAA1439	PPP3CB	Hs.151531	1.115	0.719	0.157	-0.476
hAC7847	PPP3CB	Hs.151531	1.367	0.388	0.451	-1.366
hAA1364	PLAU	Hs.77274	1.082	0.404	0.114	-1.308
hAA0624	NDST2	Hs.78473	1.229	0.619	0.297	-0.693
hAA1353	VCL	Hs.75350	1.446	1.424	0.532	0.51
hAA1326	ADK	Hs.94382		1.252		0.324
hAC5385	AP3M1	Hs.298442	0.847	0.714	-0.24	-0.486
hAC1002	RPS24	Hs.180450	1.295	2.388	0.373	1.256
hAA2907	DLG5	Hs.170290		0.593		-0.754
hAA5525	KIAA1224	Hs.7252	1.441	0.692	0.527	-0.532
chAA0218	PPIF	Hs.173125	1.292	2.78	0.37	1.475
hAB3717	PPIF	Hs.173125	1.363	4.876	0.447	2.286
hAA1410	SFTPA2	Hs.177582	0.974	1.007	-0.038	0.01
hAD6210	SFTPA1	Hs.301254		0.449		-1.155
hAC8734	SFTPD	Hs.253495	1.353	0.837	0.436	-0.257
hAA1302	ANXA11	Hs.75510	1.399	0.787	0.484	-0.345
hAB7804	ANXA11	Hs.75510
hAD0782	MAT1A	Hs.323715	1.09	0.502	0.124	-0.995
hAA7580	MGC11352	Hs.101395	1.496	0.214	0.581	-2.223
hAB8393	KIAA1775	Hs.137556	1.314	1.003	0.394	0.004
hAD1615	RGR	Hs.1544	1.268	0.881	0.343	-0.182
hAB9915	PTD010	Hs.182470	1.18	0.929	0.239	-0.106
hAC1003	KIAA0261	Hs.154978	1.109	0.696	0.149	-0.523
hAC1054	BMPR1A	Hs.2534	1.205	1.11	0.269	0.151
hAD3759	BMPR1A	Hs.2534		0.425		-1.234
hAA8567	APM2	Hs.74120		0.576		-0.796
hAA0603	GLUD1	Hs.77508	0.941	1.648	-0.088	0.721
hAA2979	PAPSS2	Hs.274230	1.093	0.703	0.128	-0.508
hAA5153	FLJ14600	Hs.100861		0.725		-0.464
hAA8186	PTEN	Hs.10712	1.464	1.084	0.55	0.116
hAC6049	PTEN	Hs.10712		1.174		0.231
hAD5202	FLJ11218	Hs.274413	0.933	0.55	-0.1	-0.862
hAC5710	KIAA1373	Hs.16229	1.458	3.323	0.544	1.732
hAA9144	TNFRSF6	Hs.82359	1.019	0.962	0.027	-0.057
hAD1479	CH25H	Hs.194687	1.068	0.668	0.095	-0.583
hAA8262	LIPA	Hs.85226	1.138		0.187
hAA0295	IFIT1	Hs.20315	0.825	0.536	-0.278	-0.9
hAA4565	MPHOSPH1	Hs.240	1.31	0.524	0.39	-0.931
hAA1977	RPP30	Hs.139120		1.017		0.025
hAA4960	CARP	Hs.355934	1.206	2.876	0.27	1.524
hAA7165	MGC16202	Hs.246914	1.337	0	0.419
hAC1250	PPP1R3C	Hs.303090		0.771		-0.375
hAA3135	TNKS2	Hs.280776		0.467		-1.098
hAA5340	TAF-172	Hs.180930	0.828	1.124	-0.272	0.169
hAC5489	KIAA0940	Hs.131945	0.811	0.979	-0.302	-0.03
hAC3572	FLJ20445	Hs.343748	0.99	1.027	-0.014	0.039
hAA8305	IDE	Hs.1508	0.848	0.69	-0.238	-0.536
hAB7307	KNSL1	Hs.8878	1.019	2.863	0.027	1.517
hAC8442	HHEX	Hs.118651		0.618		-0.694
hAD1500	CYP26A1	Hs.150595		0.469		-1.091
hAA2602	FER1L3	Hs.234680	1.113	0.891	0.154	-0.166
hAA5697	FLJ10540	Hs.14559	0.78	2.691	-0.358	1.428
hAA6719	LOC114135	Hs.351929	0.917	0.76	-0.125	-0.396
hAD1694	LGI1	Hs.194704		0.703		-0.509
hAD4726	PLCE	Hs.6733	1.278	1.092	0.354	0.126
hAC7123	FLJ12820	Hs.74899		1.032		0.045
hAC3717	FLJ10339	Hs.343745	1.333	2.066	0.415	1.047
hAA1194	CYP2C9	Hs.167529	0.874	1.213	-0.194	0.278
hAA1195	CYP2C8	Hs.174220	0.719	0.773	-0.476	-0.371
hAB5167	SH3D5	Hs.108924	0.788	1.203	-0.344	0.267
hAB6006	DKFZP564D116	Hs.181185		1.262		0.336
hAB1312	ENTPD1	Hs.205353	1.036	1.835	0.051	0.876
hAD1988	ENTPD1	Hs.205353	1.23	1.267	0.299	0.341
hAA1262	ENTPD1	Hs.205353	1.266	0.926	0.34	-0.111
hAC5552	ENTPD1	Hs.205353		0.929		-0.107
hAC6386	BLNK	Hs.167746	1.164	0.97	0.219	-0.044
hAB0900	SLIT1	Hs.133466	1.25	1.692	0.322	0.758
hAB6247	KIAA0690	Hs.60103	1.213	5.895	0.279	2.56
hAC0013	MGC2993	Hs.76662		0.82		-0.286
hAA8946	HOX11	Hs.89583	1.054	0.867	0.076	-0.205
hAC0844	MGC4643	Hs.226434	1.308	1.285	0.387	0.362
hAC3382	POLL	Hs.129903	1.33	0	0.411
hAB5819	SHFM3	Hs.24307	1.322	1.009	0.403	0.013
hAB3217	NPM3	Hs.90691		1.654		0.726
hAB1206	MGEA5	Hs.5734		0.355		-1.496
hAB8462	LDB1	Hs.26002	1.466	0.288	0.552	-1.797
hAA8444	GBF1	Hs.155499	1.426	2.088	0.512	1.062
hAC0926	NFKB2	Hs.73090	1.291	1.557	0.368	0.639
hAC8439	PSD	Hs.154658	1.116	3.482	0.158	1.8
hAC7984	ACTR1A	Hs.153961	0.955	1.366	-0.066	0.45
hAC5755	ACTR1A	Hs.153961	1.425	1.33	0.511	0.412
hAA8628	ARL3	Hs.182215		3.023		1.596
hAE0346	CYP17	Hs.1363	1.449	1.621	0.535	0.696
hAB7386	NT5B	Hs.138593	1.252	0.311	0.324	-1.686
hAA9916	PI4KII	Hs.25300	1.16	2.445	0.214	1.29
hAA2223	GOT1	Hs.597	1.185	3.4	0.245	1.766
hAB5117	COX15	Hs.226581	1.038	1.516	0.054	0.6
hAC8867	-	Hs.226581	1.091	1.095	0.126	0.131
hAA2452	ABCC2	Hs.193852	0.943	0.409	-0.085	-1.288
hAB9049	KEO4	Hs.285818	0.975	1.344	-0.037	0.427
hAC8282	PKD2L1	Hs.159241	1.007	0.566	0.01	-0.822
hAA0863	SCD	Hs.119597	1.212	1.823	0.277	0.866
hAB8518	SEC31B-1	Hs.18889	1.406	1.147	0.492	0.198
hAC8091	TAF2D	Hs.96103		0.264		-1.92
hAA9166	ADD3	Hs.324470		0.123		-3.025
hAB7127	MXI1	Hs.118630	1.148	0.487	0.199	-1.039
hAA8481	HABP2	Hs.241363	0.993	3.981	-0.01	1.993
hAA1991	CASP7	Hs.9216		0.959		-0.06
hAA2809	PTPRE	Hs.31137	1.202	0.91	0.265	-0.136
hAA1301	MKI67	Hs.80976		1.764		0.819
hAC0958	MGMT	Hs.1384	1.341	2.607	0.423	1.382
hAB0050	FLJ13188	Hs.11859	1.373	0.531	0.457	-0.913
hAA1543	OAT	Hs.75485	1.027	2.796	0.038	1.483
hAA1797	KIAA0157	Hs.82324	1.309	1.836	0.388	0.877
hAC9547	EIF3S10	Hs.198899	0.38		-1.396
hAB6842	EIF3S10	Hs.198899	1.214	0.562	0.28	-0.83
hAA8036	CTBP2	Hs.171391	1.348	0.689	0.431	-0.537
hAA0075	TIAL1	Hs.182741	1.013	1.114	0.019	0.156
hAD8431	BAG3	Hs.15259	1.085	0.471	0.118	-1.086
hAD6224	BAG3	Hs.15259		0.672		-0.574
hAB5866	FLJ13081	Hs.180638		0.513		-0.964
hAA0587	ABLIM	Hs.158203	0.964	0.051	-0.053	-4.29
hAA9897	KIAA1598	Hs.23740	1.345	0.657	0.428	-0.607
hAA7878	BUB3	Hs.40323		1.037		0.053
hAA1132	FGFR2	Hs.278581	0.679	0.452	-0.559	-1.146
hAC8900	TOK-1	Hs.279862	0.443	0.862	-1.175	-0.215
hAA7993	TOK-1	Hs.279862	1.224	1.264	0.292	0.338
hAC5397	VENTX2	Hs.125231	1.267	0.853	0.341	-0.229
hAC1032	GCP2	Hs.13386	1.59	1.373	0.669	0.458
hAA1246	CYP2E	Hs.75183	1.261	0.666	0.335	-0.587
hAE0270	DMBT1	Hs.279611		0.307		-1.705
hAD1788	PSMD13	Hs.279554	1.302	2.263	0.381	1.178
hAC7867	IFITM3	Hs.182241	1.321	3.439	0.402	1.782
hAB6778	IFITM2	Hs.174195	1.327	5.371	0.408	2.425
hAC8100	IFITM2	Hs.174195	1.381	5.117	0.466	2.355
hAA8292	IGF2	Hs.349109	1.258	1.637	0.331	0.711
hAD6182	IGF2	Hs.251664	1.402	0.743	0.487	-0.429
hAA0772	IGF2	Hs.349109	1.49	0.732	0.575	-0.45
hAB6983	IRF7	Hs.166120	1.283	0.627	0.36	-0.674
hAA5230	IRF7	Hs.166120	1.403	0.804	0.489	-0.315
hAD1678	HRAS	Hs.37003	1.216	1.332	0.282	0.414
hAA1233	CTSD	Hs.343475	1.649	2.386	0.722	1.255
hAA3320	PHEMX	Hs.271954	1.353	0.389	0.436	-1.363
hAB9332	TSSC4	Hs.165743	1.544	3.062	0.627	1.615
hAA0887	KCNQ1	Hs.156115	1.694	1.525	0.76	0.609
hAD1851	CDKN1C	Hs.106070	1.124		0.169
hAA8749	SLC22A1L	Hs.50868	1.188	0.924	0.249	-0.114
hAA0134	ARHG	Hs.75082	1.433	6.277	0.519	2.65
hAA8846	STIM1	Hs.74597	1.286	1.03	0.363	0.043
hAA8154	RRM1	Hs.2934		2.656		1.409
hAA8120	SSA1	Hs.1042	1.714		0.777
hAB5401	TRIM5	Hs.30445	1.85	0.876	0.888	-0.191
hAA1045	-	Hs.318501	1.214	0.344	0.28	-1.539
hAA8746	ILK	Hs.6196	1.234		0.303
hAD4737	FLJ11608	Hs.12315	1.499	0.35	0.584	-1.515
chAA9281	RPL27A	Hs.76064	1.281	0.824	0.357	-0.279
hAA2125	ST5	Hs.79265	1.448	1.262	0.534	0.336
hAC0701	C11orf15	Hs.121619	0.839	1.295	-0.253	0.373
hAA7808	RANBP7	Hs.5151	1.133	2.022	0.18	1.016
hAA9379	RANBP7	Hs.5151	1.772	1.64	0.825	0.714
hAA7205	WEE1	Hs.75188	1.513	1.738	0.597	0.797
hAA1325	AMPD3	Hs.83918	1.348	1.336	0.431	0.418
hAB7887	XLKD1	Hs.17917	1.072	0.453	0.1	-1.141
hAA1979	DKK3	Hs.4909	1.212	0.661	0.277	-0.598
hAA9591	MGC13007	Hs.332382		0.456		-1.132
hAA1522	PTH	Hs.37045		0.694		-0.527
hAA2867	TC21	Hs.206097	1.25	2.761	0.322	1.465
hAA0168	PSMA1	Hs.82159	1.28	2.021	0.356	1.015
hAE0275	PIK3C2A	Hs.249235	1.345	0.77	0.428	-0.377
hAB7293	NUCB2	Hs.3164	1.468	1.084	0.554	0.116
hAA1284	GTF2H1	Hs.89578		1.038		0.054
hAA1600	LDHA	Hs.2795	1.438	12.78	0.524	3.676
hAA0057	LDHC	Hs.99881	1.53	2.882	0.614	1.527
hAA8313	TSG101	Hs.118910	1.134	1.463	0.181	0.549
hAC0581	-	Hs.183733	1.364	2.075	0.448	1.053
hAC5693	DELGEF	Hs.46735	1.42	1.835	0.506	0.876
hAC0920	ABCC8	Hs.54470	1.27	1.245	0.345	0.317
hAA2944	GAS2	Hs.129818	1.124	0.685	0.169	-0.547
hAC8584	GAS2	Hs.129818	1.303	0.446	0.382	-1.164
hAE0002	FANCF	Hs.65328	1.246	2.319	0.317	1.213
hAA8191	PAX6	Hs.89506	1.571	0.91	0.652	-0.135
hAA8061	WT1	Hs.1145		1.365		0.449
hAB7354	HIPK3	Hs.30148	1.23	0.572	0.299	-0.805
hAA1257	CD59	Hs.278573	1.569	1.18	0.65	0.238
hAB7787	M11S1	Hs.278672	1.258	2.538	0.331	1.344
hAA0138	LMO2	Hs.184585		0.512		-0.967
hAC0830	MAPK8IP1	Hs.234249	1.46	1.937	0.546	0.954
hAD1250	MAPK8IP1	Hs.234249	1.619	1.413	0.695	0.499
hAC8129	API5L1	Hs.227913	1.079	1.445	0.11	0.531
hAE0155	API5L1	Hs.227913	1.201	1.885	0.264	0.914
hAA7087	-	Hs.334791		0.657		-0.607
hAA1142	EXT2	Hs.75334	1.368	0.508	0.452	-0.978
hAC0878	KAI1	Hs.323949	1.15	2.126	0.202	1.088
hAD1718	RPS10	Hs.76230	1.31	2.231	0.39	1.158
hAA2028	MADD	Hs.82548	1.545	1.333	0.628	0.415
hAA2382	SPI1	Hs.157441	1.546	1.055	0.629	0.077
hAB4170	SPI1	Hs.157441	1.603	0.997	0.681	-0.004
hAD1300	SPI1	Hs.157441	1.718	1.171	0.781	0.228
hAC1081	PSMC3	Hs.250758	1.483	8.622	0.569	3.108
hAB9971	NDUFS3	Hs.5273	1.221	5.653	0.288	2.499
hAA8527	PTPRJ	Hs.171992	1.785	0.64	0.836	-0.643
hAC0056	AGTRL1	Hs.9305	1.537	0.974	0.62	-0.038
hAA4994	DKFZp762A227	Hs.274453	1.052	0.991	0.073	-0.013
hAB1104	POV1	Hs.18910	1.141	3.164	0.19	1.662
hAA9603	POV1	Hs.18910	1.78	3.702	0.832	1.888
hAC0015	TIMM10	Hs.355993		4.988		2.319
hAA8671	UBE2L6	Hs.169895	1.458	6.649	0.544	2.733
hAA9060	SERPING1	Hs.151242	1.522	1.141	0.606	0.191
hAA8350	HEAB	Hs.87465	1.307	1.603	0.386	0.681
hAD1361	DKFZP586K0524	Hs.27239	1.006	1.242	0.009	0.312
hAD8375	CTNND1	Hs.166011	0.871	0.457	-0.199	-1.131
hAB8732	CTNND1	Hs.166011	1.292	0.891	0.37	-0.166
hAA0491	CTNND1	Hs.166011	1.365		0.449
hAA6810	LPXN	Hs.49587	1.607	2.136	0.684	1.095
hAB5103	LOC114136	Hs.46366	1.265	0.801	0.339	-0.32
hAB6928	GLYAT	Hs.18508	1.291	0.634	0.368	-0.657
hAC2699	-	Hs.38085	1.626	0.828	0.701	-0.272
hAC0343	FLJ22794	Hs.19525	1.191	1.423	0.252	0.509
hAA5111	KIAA0937	Hs.62264	1.471	0.846	0.557	-0.242
hAA2887	OSBP	Hs.24734	1.353	0.746	0.436	-0.423
hAD9117	OSBP	Hs.24734		0.319		-1.648
hAA5135	MRPL16	Hs.5080	1.293	2.831	0.371	1.501
hAA0074	TCN1	Hs.2012	1.5	0.546	0.585	-0.874
hAC4451	-	Hs.17914	1.096	0	0.132
hAA5918	MS4A4A	Hs.325960	1.282	0.782	0.358	-0.355
hAA9595	MS4A7	Hs.11090		2.696		1.431
hAB7821	NYD-SP21	Hs.28514		0.483		-1.049
hAA2369	MS4A1	Hs.89751		0.769		-0.379
hAE0068	MS4A8B	Hs.26638	1.485	0.45	0.57	-1.152
hAD1587	NMP200	Hs.173980	0.988	2.864	-0.017	1.518
hAB9880	MGC5508	Hs.13662	1.56	2.562	0.642	1.357
hAC9047	FLJ20539	Hs.118552	1.44	1.113	0.526	0.155
hAC5723	PHT2	Hs.237856		0.713		-0.488
hAC8450	CD6	Hs.81226	1.646	1.055	0.719	0.077
hAA0079	CD5	Hs.58685	1.573	1.09	0.654	0.125
hAA9715	FLJ20847	Hs.13479	1.559	1.36	0.641	0.444
hAA2277	DDB1	Hs.108327	1.346	4.642	0.429	2.215
hAB8712	LOC51259	Hs.26745	1.625	1.905	0.7	0.93
hAC9601	FLJ12529	Hs.169100	1.518	1.618	0.602	0.694
hAB0782	FLJ12529	Hs.169100		0.888		-0.172
hAB9798	FLJ20487	Hs.14547	1.432	1.406	0.518	0.492
hAC0831	SYT7	Hs.127588	1.792	1.054	0.842	0.076
hAA9400	DKFZP586B1621	Hs.6278	1.49	1.396	0.575	0.481
hAD8752	-	Hs.22546	1.425	1.816	0.511	0.861
hAA3244	HSPC196	Hs.239938	1.476	1.147	0.562	0.198
hAA5338	FOLH1	Hs.283946		0.372		-1.428
hAB0946	MGC4399	Hs.183047		1.704		0.769
hAC5580	FLJ22316	Hs.7331		0.733		-0.449
hAB5155	MTA1L1	Hs.173043	1.107	0.793	0.147	-0.335
hAA0128	ROM1	Hs.281564	1.349	0.542	0.432	-0.884
hAA9962	B3GAT3	Hs.26492	1.548	2.702	0.63	1.434
hAA1840	KIAA0088	Hs.76847	1.137	1.845	0.185	0.883
hAA9504	MGC2477	Hs.9061	1.587	6.596	0.666	2.722
hAA5979	BSCL2	Hs.293981	1.04	0.977	0.057	-0.033
hAC2139	GNG3	Hs.179915	1.526	2.316	0.61	1.212
hAA8596	POLR2G	Hs.14839	1.251	1.93	0.323	0.948
hAA1406	STX5A	Hs.302300	1.515	1.263	0.599	0.337
hAA9146	SLC3A2	Hs.79748	1.47	0.301	0.556	-1.732
hAC8234	SLC22A6	Hs.23965	1.224	0.991	0.292	-0.013
hAC2813	-	Hs.120869	1.101	0.77	0.139	-0.377
hAC8735	MGB1	Hs.46452	1.262		0.336
hAD1714	MGB2	Hs.97644	1.083	0.48	0.115	-1.058
hAA3195	RAB3IL1	Hs.13759	1.565	1.33	0.646	0.412
hAC4707	FADS2	Hs.184641	1.474	0.986	0.56	-0.02
hAC8189	FADS1	Hs.132898	1.437	1.795	0.523	0.844
hAC2468	C11orf9	Hs.184640	1.046		0.065
hAA2448	HREV107	Hs.37189	1.191	0.589	0.252	-0.763
hAB6938	ESRRA	Hs.110849	1.365	1.17	0.449	0.226
hAA2720	PRDX5	Hs.31731	1.253	5.14	0.325	2.362
hAA8650	BAD	Hs.76366	1.339	4.173	0.421	2.061
hAB2983	KCNK4	Hs.97174	0.975	0.848	-0.037	-0.238
hAB5863	DNAJC4	Hs.172847	1.278	1.719	0.354	0.781
hAA7172	DNAJC4	Hs.172847	1.714	1.601	0.777	0.679
hAA2501	MGC10966	Hs.180535		1.218		0.284
hAB6731	COX8	Hs.81097		0
hAD1331	FLJ20113	Hs.108504	1.274	4.242	0.349	2.085
hAE0426	RARRES3	Hs.17466	1.389	1.15	0.474	0.201
hAE0216	RASGRP2	Hs.99491		1.311		0.39
hAA2057	ZNF162	Hs.180677	1.247	1.202	0.318	0.265
hAC9014	MAP4K2	Hs.82979	1.31		0.39
hAA0824	MAP4K2	Hs.82979	1.409	1.522	0.495	0.606
hAA1571	MEN1	Hs.24297	1.47	2.208	0.556	1.143
hAA5396	EHD1	Hs.155119	1.709	2.632	0.773	1.396
hAA8684	PPP2R5B	Hs.75199	1.212	3.173	0.277	1.666
hAD8498	NAALADASEL	Hs.13967	1.756	0.952	0.812	-0.072
hAA9113	CAPN1	Hs.2575	1.622	3.186	0.698	1.672
hAA2618	KIAA1810	Hs.334819	1.563	1.019	0.644	0.027
hAB7091	C11orf4	Hs.75859	1.304	1.221	0.383	0.288
hAA3294	FAU	Hs.177415		0.513		-0.964
hAC0410	C11orf5	Hs.121025	1.042	1.348	0.059	0.431
hAC8546	TM7SF2	Hs.31130	1.577	1.259	0.657	0.333
hAA8767	ZFPL1	Hs.155165	1.252	0.272	0.324	-1.88
hAA3695	-	Hs.23044	1.405		0.491
hAA1399	STIP1	Hs.75612	1.379	2.65	0.464	1.406
hAD1738	SNX15	Hs.80132	1.466	1.527	0.552	0.611
hAB7406	ARL2	Hs.154162	1.592	3.476	0.671	1.798
hAC2277	-	Hs.63405	1.562	2.11	0.643	1.077
hAA5966	CEP2	Hs.12289		0.828		-0.273
hAB3572	REQ	Hs.13495	1.409	1.166	0.495	0.222
hAA2065	REQ	Hs.13495	1.863	1.863	0.898	0.898
hAC6375	HDAC3	Hs.279789	1.256	0.577	0.329	-0.793
hAA1084	GSTP1	Hs.226795		0.488		-1.036
hAB8525	NDUFV1	Hs.7744	1.454	2.483	0.54	1.312
hAA6087	DOC-1R	Hs.25664	1.552	3.726	0.634	1.898
hAA8937	PITPNM	Hs.93837	1.44	2.168	0.526	1.116
hAE0380	ALDH3B2	Hs.87539		0.445		-1.17
hAA9154	ALDH3B1	Hs.83155	1.494	0.345	0.579	-1.535
hAB7260	NDUFS8	Hs.90443	1.047	1.478	0.066	0.564
hAC8487	TCIRG1	Hs.46465	1.609	1.735	0.686	0.795
hAA9073	CHK	Hs.77221	1.486	1.733	0.571	0.793
hAA7084	FLJ20039	Hs.343877		0.258		-1.953
hAB9899	CGI-85	Hs.267448		0.866		-0.207
hAB7475	LRP5	Hs.6347	1.487	2.06	0.572	1.043
hAD1695	GAL	Hs.1907	1.297	0.465	0.375	-1.105
hAD2505	MTL5	Hs.121378	1.619	1.074	0.695	0.103
hAC6196	CPT1A	Hs.259785	1.219	1.385	0.286	0.47
hAC8083	IGHMBP2	Hs.1521	1.113	0.982	0.154	-0.026
hAB9119	-	Hs.118513		0.394		-1.342
hAA2303	CCND1	Hs.82932	1.324	4.746	0.405	2.247
hAE0171	CCND1	Hs.82932	1.766	0.758	0.82	-0.399
hAE0306	FGF19	Hs.249200	1.437	5.833	0.523	2.544
hAE0209	FGF4	Hs.1755	1.323	0.681	0.404	-0.553
hAA2155	FADD	Hs.86131	1.206	1.152	0.27	0.204
hAA0770	PPFIA1	Hs.183648	1.474	1.512	0.56	0.596
hAD1709	EMS1	Hs.119257	1.254	1.321	0.327	0.402
hAC3180	KIAA1022	Hs.12696	1.18	0.853	0.239	-0.229
hAD3375	FLJ11099	Hs.131731	1.401	1.827	0.486	0.869
hAB9517	IL18BP	Hs.325978	1.474	1.384	0.56	0.469
hAA2175	NUMA1	Hs.301512	1.555	0.998	0.637	-0.003
hAB0376	FOLR3	Hs.352	1.308	0.943	0.387	-0.085
hAA1126	FOLR1	Hs.73769	1.585	0.927	0.664	-0.11
hAA1138	FOLR2	Hs.24194	0.866	0.663	-0.208	-0.594
hAB0863	SKD3	Hs.21263	1.063	4.392	0.088	2.135
hAA3598	-	Hs.21051	1.926	0.701	0.946	-0.512
hAB4145	KIAA0769	Hs.19056	1.32	2.649	0.401	1.406
hAB6922	P2RY6	Hs.16362	1.572	1.068	0.653	0.095
hAD2926	FLJ14993	Hs.79707	1.203	1.236	0.267	0.306
hAD4448	-	Hs.79707	1.323	1.257	0.404	0.33
hAA0522	KIAA0280	Hs.75400	1.183	0.908	0.242	-0.14
hAB4803	PHRET1	Hs.8124	1.011	1.248	0.016	0.32
hAC7349	POLD3	Hs.82502	1.19	0.782	0.251	-0.355
hAA1855	POLD3	Hs.82502	1.462	1.297	0.548	0.375
hAB0055	ARRB1	Hs.112278	1.329	1.625	0.41	0.701
hAA2318	SERPINH2	Hs.9930	1.418	2.021	0.504	1.015
hAB3906	KIAA1878	Hs.118598	1.052	4.123	0.073	2.044
hAB0763	KIAA1878	Hs.118598	1.431	1.505	0.517	0.59
