ProbeID	Ratio	REF.MACS	WT.MACS	p-value	qvalue	Accession	Symbol	geneID	UniGene	Name	Chr	Pathway
1429824_at	2.90E+00	8.2237	5.3209	3.50E-06	2.98E-04	AK016083	4930550C14Rik	75311	Mm.26078	RIKEN cDNA 4930550C14 gene	chr9 A5.3	---
1459962_at	1.50E+00	8.2142	6.7137	3.57E-06	3.03E-04	BM123926	4930523C07Rik	67647	Mm.171518	RIKEN cDNA 4930523C07 gene	chr1 H2.1	---
1423319_at	1.87E+00	11.9711	10.1009	3.61E-06	3.03E-04	AK014111	Hhex	15242	Mm.33896	hematopoietically expressed homeobox	chr19 D1|19 47.5 cM	---
1426658_x_at	-2.43E+00	8.8175	11.2447	3.61E-06	3.03E-04	L21027	Phgdh /// LOC673015	236539 /// 673015	Mm.16898	3-phosphoglycerate dehydrogenase /// similar to 3-	chr3 E1	---
1428789_at	-2.12E+00	6.2001	8.3181	3.61E-06	3.03E-04	AK008856	Ralgps2	78255	Mm.28376	Ral GEF with PH domain and SH3 binding motif 2	chr1 H1	---
1422510_at	-2.63E+00	5.2386	7.8729	3.68E-06	3.08E-04	NM_133710	Ctdspl	69274	Mm.47093	CTD (carboxy-terminal domain, RNA polymerase II, p	chr9 F4	---
1451596_a_at	1.48E+00	13.4918	12.0132	3.74E-06	3.11E-04	AF068749	Sphk1	20698	Mm.20944	sphingosine kinase 1	chr11 E2	S1P_Signaling // GenMAPP /// S1P_Signaling // GenMAPP /// S1P_Signaling // GenMAPP /// S1P_Signaling // GenMAPP
1437291_at	-2.30E+00	5.8921	8.1939	3.77E-06	3.13E-04	AV131166	2700081O15Rik	108899	Mm.386838	RIKEN cDNA 2700081O15 gene	chr19 A	---
1417558_at	-2.65E+00	6.5141	9.1679	3.79E-06	3.13E-04	NM_008054	Fyn	14360	Mm.4848	Fyn proto-oncogene	chr10 B1|10 25.0 cM	Integrin-mediated_cell_adhesion_KEGG // GenMAPP /// Integrin-mediated_cell_adhesion_KEGG // GenMAPP
1427142_s_at	1.52E+00	9.2651	7.7423	3.83E-06	3.16E-04	BC019446	Jarid1b	75605	Mm.28995	jumonji, AT rich interactive domain 1B (Rbp2 like)	chr1 E4|1 72.0 cM	---
1420604_at	-2.71E+00	6.3152	9.0209	3.98E-06	3.27E-04	NM_010420	Hesx1	15209	Mm.4802	homeo box gene expressed in ES cells	chr14 A3-B	---
1421297_a_at	2.85E+00	7.9351	5.0862	4.13E-06	3.32E-04	NM_009781	Cacna1c	12288	Mm.236039	calcium channel, voltage-dependent, L type, alpha	chr6 F1|6 56.0 cM	Calcium_regulation_in_cardiac_cells // GenMAPP
1434088_at	-2.78E+00	6.5873	9.3686	4.13E-06	3.32E-04	BM119467	Zfp496	268417	Mm.239793	zinc finger protein 496	chr11 B1.3	---
1434285_at	1.22E+00	10.5281	9.3055	4.10E-06	3.32E-04	BB701578	Frmd4a	209630	Mm.37932	FERM domain containing 4A	chr2 A1	---
1435461_at	-1.96E+00	5.226	7.1866	4.07E-06	3.32E-04	BF180812	Magi3	99470	Mm.264849	membrane associated guanylate kinase, WW and PDZ d	chr3 F2.2|3 53.0 cM	---
1436913_at	-2.05E+00	5.9842	8.0367	4.09E-06	3.32E-04	BB479310	Cdc14a	229776	Mm.17647	CDC14 cell division cycle 14 homolog A (S. cerevis	chr3 G1	---
1451899_a_at	-3.14E+00	5.427	8.5629	4.08E-06	3.32E-04	AF343349	Gtf2ird1	57080	Mm.332735	general transcription factor II I repeat domain-co	chr5 G2|5 7.0 cM	---
1455184_at	1.75E+00	11.7749	10.0205	4.13E-06	3.32E-04	BG071991	Mobkl1a	68473	Mm.392493	MOB1, Mps One Binder kinase activator-like 1A (yea	chr5 E2	---
1422536_at	3.20E+00	8.1042	4.9065	4.17E-06	3.34E-04	NM_009406	Tnni3	21954	Mm.27674	troponin I, cardiac	chr7 A1|7 9.0 cM	Striated_muscle_contraction // GenMAPP
1437185_s_at	-3.14E+00	10.8213	13.9562	4.25E-06	3.38E-04	AV148480	Tmsb10	19240	Mm.3532	thymosin, beta 10	chr6 C1	---
1427650_a_at	2.59E+00	8.6008	6.0068	4.31E-06	3.41E-04	D13802	Runx1	12394	Mm.4081	runt related transcription factor 1	chr16 C4|16 62.2 cM	---
1448870_at	-2.64E+00	5.5893	8.2318	4.31E-06	3.41E-04	AF022889	Ltbp1	268977	Mm.269747	latent transforming growth factor beta binding pro	chr17 E3	TGF_Beta_Signaling_Pathway // GenMAPP /// TGF_Beta_Signaling_Pathway // GenMAPP /// TGF_Beta_Signaling_Pathway // GenMAPP /// TGF_Beta_Signaling_Pathway // GenMAPP
1427143_at	1.44E+00	11.2751	9.8335	4.33E-06	3.42E-04	BC019446	Jarid1b	75605	Mm.28995	jumonji, AT rich interactive domain 1B (Rbp2 like)	chr1 E4|1 72.0 cM	---
1423488_at	-2.73E+00	6.2458	8.9728	4.41E-06	3.46E-04	BC021914	Mmd	67468	Mm.277518	monocyte to macrophage differentiation-associated	chr11 C	---
1452614_at	-2.23E+00	5.1043	7.3366	4.41E-06	3.46E-04	BG243248	Gm566	229672	Mm.297245	gene model 566, (NCBI)	chr3 F2.2	---
1452817_at	-1.30E+00	8.2215	9.5188	4.46E-06	3.48E-04	AK010447	Smyd3	69726	Mm.222338	SET and MYND domain containing 3	chr1 H3|1 97.59 cM	---
1424194_at	-1.52E+00	6.6794	8.1998	4.50E-06	3.50E-04	BC025872	Rcsd1	226594	Mm.265552	RCSD domain containing 1	chr1 H2.3	---
1450355_a_at	-1.73E+00	6.5858	8.3172	4.57E-06	3.55E-04	NM_007599	Capg	12332	Mm.18626	capping protein (actin filament), gelsolin-like	chr6 C3	---
1460253_at	-3.41E+00	7.086	10.5009	4.63E-06	3.58E-04	NM_133978	Cmtm7	102545	Mm.35600	CKLF-like MARVEL transmembrane domain containing 7	chr9 F3	---
1451755_a_at	1.71E+00	8.9879	7.277	4.68E-06	3.60E-04	BC003792	Apobec1	11810	Mm.3333	apolipoprotein B editing complex 1	chr6 F1|6 54.5 cM	---
1422962_a_at	-2.69E+00	7.4574	10.1497	4.72E-06	3.63E-04	NM_010724	Psmb8	16913	Mm.180191	proteosome (prosome, macropain) subunit, beta type	chr17 B1|17 18.61 cM	Proteasome_Degradation // GenMAPP
1424562_a_at	-3.06E+00	9.6015	12.6598	4.83E-06	3.70E-04	BC026925	Slc25a4	11739	Mm.16228	solute carrier family 25 (mitochondrial carrier, a	chr8 B1.1|8 26.0 cM	Electron_Transport_Chain // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP /// Electron_Transport_Chain // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP
1454979_at	1.63E+00	11.9129	10.2815	4.86E-06	3.71E-04	BM120370	Diap1 /// LOC671545	13367 /// 671545	Mm.195916	diaphanous homolog 1 (Drosophila) /// similar to P	chr18 B3|18 16.0 cM	G13_Signaling_Pathway // GenMAPP /// G13_Signaling_Pathway // GenMAPP
1448952_at	1.79E+00	8.869	7.0829	4.90E-06	3.72E-04	AK002962	A030009H04Rik	80515	Mm.5324	RIKEN cDNA A030009H04 gene	chr11 B3	---
1434674_at	1.54E+00	9.4539	7.9104	4.94E-06	3.74E-04	BB463428	Lyst	17101	Mm.342337	lysosomal trafficking regulator	chr13 A1|13 7.0 cM	---
1422824_s_at	4.02E+00	9.773	5.7512	4.96E-06	3.75E-04	NM_007945	Eps8	13860	Mm.235346	epidermal growth factor receptor pathway substrate	chr6 G1|6 66.0 cM	---
1416009_at	-2.45E+00	6.8833	9.3378	4.99E-06	3.76E-04	NM_019793	Tspan3	56434	Mm.28484	tetraspanin 3	chr9 C	---
1426724_at	-2.64E+00	8.7043	11.34	5.03E-06	3.78E-04	AI314104	Cnn3	71994	Mm.275555	calponin 3, acidic	chr3 G1	---
1444273_at	1.71E+00	10.5649	8.8504	5.20E-06	3.89E-04	AW555355	AW555355	99413	---	expressed sequence AW555355	---	---
1460346_at	1.56E+00	10.5247	8.9604	5.29E-06	3.94E-04	BC011284	Arsa	11883	Mm.620	arylsulfatase A	chr15 E	Glycosphingolipid metabolism // KEGG
1443641_at	1.65E+00	9.8662	8.2202	5.33E-06	3.97E-04	BF318304	---	---	---	---	---	---
1448954_at	4.43E+00	10.2419	5.8101	5.41E-06	4.01E-04	NM_020610	Nrip3	78593	Mm.275374	nuclear receptor interacting protein 3	chr7 E3	---
1419469_at	1.83E+00	10.4511	8.6214	5.48E-06	4.02E-04	BI713933	Gnb4	14696	Mm.139192	guanine nucleotide binding protein, beta 4	chr3 B	G_Protein_Signaling // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1422317_a_at	1.95E+00	8.548	6.6025	5.48E-06	4.02E-04	NM_010743	Il1rl1	17082	Mm.289824	interleukin 1 receptor-like 1	chr1 B|1 20.0 cM	---
1445391_at	1.69E+00	10.2151	8.5275	5.47E-06	4.02E-04	AW554652	Diap1 /// LOC671545	13367 /// 671545	Mm.195916	diaphanous homolog 1 (Drosophila) /// similar to P	chr18 B3|18 16.0 cM	G13_Signaling_Pathway // GenMAPP /// G13_Signaling_Pathway // GenMAPP
1435740_at	1.16E+00	10.7053	9.5433	5.72E-06	4.17E-04	AV286259	Rai17	328365	Mm.392057	Retinoic acid induced 17	chr14 A3	---
1434690_at	-1.76E+00	7.3558	9.1128	5.82E-06	4.24E-04	BM237177	Lycat	225010	Mm.329194	lysocardiolipin acyltransferase	chr17 E1.3	---
1451244_a_at	-2.55E+00	7.7202	10.2666	5.84E-06	4.24E-04	BC018339	Zfp422	67255	Mm.18810	zinc finger protein 422	chr6 E3	---
1418591_at	1.77E+00	10.0828	8.3079	5.88E-06	4.25E-04	NM_021422	Dnaja4	58233	Mm.52319	DnaJ (Hsp40) homolog, subfamily A, member 4	chr9 A5.3	---
1426511_at	-2.28E+00	5.4471	7.7268	5.91E-06	4.26E-04	AK004703	Susd2	71733	Mm.247956	sushi domain containing 2	chr10 B5.3	---
1450344_a_at	3.08E+00	11.8952	8.8185	6.03E-06	4.33E-04	NM_011196	Ptger3	19218	Mm.30424	prostaglandin E receptor 3 (subtype EP3)	chr3 H4|3 82.0 cM	Prostaglandin_synthesis_regulation // GenMAPP /// GPCRDB_Class_A_Rhodopsin-like // GenMAPP /// Small_ligand_GPCRs // GenMAPP
1455991_at	-2.00E+00	6.6013	8.6024	6.09E-06	4.35E-04	BG094881	Ccbl2	229905	Mm.289643	cysteine conjugate-beta lyase 2	chr3 H1	---
1457180_at	1.73E+00	6.9044	5.1727	6.09E-06	4.35E-04	BM238597	Dip2c	208440	Mm.217326	DIP2 disco-interacting protein 2 homolog C (Drosop	chr13 A1	---
1455771_at	1.79E+00	8.832	7.0444	6.17E-06	4.40E-04	BB467799	Bzrap1	207777	Mm.240548	benzodiazapine receptor associated protein 1	chr11 C	---
1423608_at	-2.52E+00	6.1255	8.641	6.24E-06	4.41E-04	BI966443	Itm2a	16431	Mm.193	integral membrane protein 2A	chrX A2-A3	---
1428939_s_at	2.08E+00	9.3457	7.269	6.24E-06	4.41E-04	W41916	Gnaq	14682	Mm.391165	guanine nucleotide binding protein, alpha q polype	chr19 A|19 9.0 cM	G_Protein_Signaling // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1457898_at	-2.33E+00	5.3907	7.7209	6.22E-06	4.41E-04	BM243944	Ga17	98221	Mm.336519	Dendritic cell protein GA17	chr2 E2	---
1422637_at	-2.44E+00	6.314	8.7545	6.37E-06	4.47E-04	NM_018750	Rassf5	54354	Mm.248291	Ras association (RalGDS/AF-6) domain family 5	chr1 E4|1 69.1 cM	---
1449913_at	-1.71E+00	4.9417	6.6546	6.35E-06	4.47E-04	NM_009550	Zfp2	22678	Mm.259230	zinc finger protein 2	chr11 B1.3|11 45.0 cM	---
1452716_at	2.02E+00	12.766	10.7479	6.43E-06	4.50E-04	AK017688	5730469M10Rik	70564	Mm.27227	RIKEN cDNA 5730469M10 gene	chr14 B	---
1454937_at	1.27E+00	9.2242	7.9556	6.68E-06	4.66E-04	BB329261	B630005N14Rik	101148	Mm.354863	RIKEN cDNA B630005N14 gene	chr6 A1	---
1433647_s_at	-3.01E+00	6.0668	9.0813	6.76E-06	4.70E-04	BM942043	Rhobtb3	73296	Mm.276200	Rho-related BTB domain containing 3	chr13 C1	---
1455633_at	-2.82E+00	6.9882	9.8096	6.85E-06	4.75E-04	BB040500	Zfp647	239546	Mm.183650	zinc finger protein 647	chr15 D3	---
1436210_at	-1.87E+00	4.9621	6.8301	6.98E-06	4.81E-04	AV095337	C330018K18Rik	235533	Mm.213651	RIKEN cDNA C330018K18 gene	chr9 E3.3	---
1439933_at	2.33E+00	8.1124	5.7844	7.00E-06	4.81E-04	BB328402	B430316J06Rik	402749	---	RIKEN cDNA B430316J06 gene	---	---
1449823_at	-1.83E+00	5.1684	6.9971	6.99E-06	4.81E-04	NM_033605	Dach2	93837	Mm.79760	dachshund 2 (Drosophila)	chrX E1|X 50.0 cM	---
1421027_a_at	-2.95E+00	5.9786	8.9237	7.08E-06	4.85E-04	AI595932	Mef2c	17260	Mm.24001	myocyte enhancer factor 2C	chr13 C3|13 45.0 cM	---
1423634_at	2.19E+00	7.645	5.4588	7.15E-06	4.89E-04	AI506986	Gsdm1	57911	Mm.86870	gasdermin 1	chr11 D	---
1428787_at	-1.54E+00	7.4876	9.0314	7.19E-06	4.89E-04	BM238906	Nckap1l	105855	Mm.30805	NCK associated protein 1 like	chr15 F3	---
1432808_at	3.27E+00	9.3425	6.0685	7.23E-06	4.90E-04	AK017949	5830426K05Rik	76053	---	RIKEN cDNA 5830426K05 gene	---	---
1460338_a_at	-1.31E+00	9.4768	10.7916	7.23E-06	4.90E-04	BB161253	Crlf3	54394	Mm.272093	cytokine receptor-like factor 3	chr11 B5|11 47.21 cM	---
1416779_at	-2.79E+00	5.5231	8.3085	7.35E-06	4.96E-04	BE197945	Sdpr	20324	Mm.255909	serum deprivation response	chr1 C1.1	---
1450790_at	1.71E+00	6.6058	4.8925	7.42E-06	4.99E-04	NM_009375	Tgn	21819	Mm.390823	thyroglobulin	chr15 D3-E|15 36.4 cM	---
1456035_at	1.86E+00	7.2638	5.4073	7.46E-06	4.99E-04	BM236468	Nxf3	245610	Mm.336244	nuclear RNA export factor 3	chrX F1|X 53.3 cM	---
1456480_at	1.71E+00	8.9636	7.2542	7.45E-06	4.99E-04	BB527078	Fry	320365	Mm.216590	furry homolog (Drosophila)	chr5 G3	---
1434111_at	-2.49E+00	6.405	8.8938	7.55E-06	5.04E-04	BG966339	Lphn2	99633	Mm.9776	latrophilin 2	chr3 H3	---
1433735_a_at	1.24E+00	12.4586	11.2181	7.64E-06	5.09E-04	BG075363	Tmem64	100201	Mm.38877	transmembrane protein 64	chr4 A2	---
1452008_at	1.25E+00	9.0865	7.8402	7.83E-06	5.20E-04	AK018685	9130422G05Rik	66819	Mm.389571	RIKEN cDNA 9130422G05 gene	chr4 C3	---
1449620_s_at	1.57E+00	9.0684	7.4989	7.92E-06	5.24E-04	AW125421	D16Wsu65e	28001	Mm.393582	DNA segment, Chr 16, Wayne State University 65, ex	chr16|16 1.7 cM	---
1438354_x_at	-2.05E+00	5.9665	8.0142	8.04E-06	5.31E-04	BB705075	Cnn3	71994	Mm.275555	Calponin 3, acidic	chr3 G1	---
1424477_at	2.97E+00	10.1402	7.1748	8.10E-06	5.33E-04	BC019731	BC019731	231832	Mm.46582	cDNA sequence BC019731	chr5 G2	---
1433694_at	-3.38E+00	7.12	10.4973	8.44E-06	5.52E-04	AV270888	Pde3b	18576	---	phosphodiesterase 3B, cGMP-inhibited	chr7 F1|7 53.3 cM	---
1438629_x_at	1.37E+00	11.4049	10.0348	8.55E-06	5.58E-04	AV166504	Grn	14824	Mm.1568	granulin	chr11 D|11 60.0 cM	---
1419259_at	1.04E+00	12.5515	11.5077	8.61E-06	5.59E-04	NM_009105	Rsu1	20163	Mm.905	Ras suppressor protein 1	chr2 A1	---
1426664_x_at	1.96E+00	9.6267	7.669	8.61E-06	5.59E-04	BC024519	Slc45a3	212980	Mm.200307	solute carrier family 45, member 3	chr1 E4	---
1418109_at	2.37E+00	8.7449	6.3729	8.80E-06	5.68E-04	NM_008179	Gspt2	14853	Mm.20826	G1 to S phase transition 2	chrX B1	---
1456842_at	1.86E+00	6.963	5.1013	8.83E-06	5.69E-04	BQ174097	---	---	Mm.120579	PREDICTED: Mus musculus hypothetical protein LOC62	---	---
1421129_a_at	2.47E+00	9.7377	7.2637	9.07E-06	5.78E-04	NM_016745	Atp2a3	53313	Mm.6306	ATPase, Ca++ transporting, ubiquitous	chr11 B4	Calcium_regulation_in_cardiac_cells // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1435554_at	3.63E+00	9.6959	6.0624	9.03E-06	5.78E-04	BB771888	Tmcc3	319880	Mm.23047	transmembrane and coiled coil domains 3	chr10 C2	---
1439946_at	-2.61E+00	5.326	7.9385	9.06E-06	5.78E-04	BM221121	Mef2c	17260	Mm.24001	Myocyte enhancer factor 2C	chr13 C3|13 45.0 cM	---
1423182_at	-2.43E+00	5.4736	7.9056	9.10E-06	5.78E-04	AK004668	Tnfrsf13b	57916	Mm.265915	tumor necrosis factor receptor superfamily, member	chr11 B2	---
1423306_at	1.97E+00	10.1348	8.1648	9.17E-06	5.81E-04	BI963682	2010002N04Rik	106878	Mm.273197	RIKEN cDNA 2010002N04 gene	chr18 D3	---
1451535_at	-1.77E+00	5.005	6.7722	9.35E-06	5.91E-04	AB083111	Il31ra	218624	Mm.380801	interleukin 31 receptor A	chr13 D2.2	---
1434873_a_at	-1.49E+00	7.0738	8.5625	9.39E-06	5.92E-04	BB115902	Centb1	216859	Mm.288671	centaurin, beta 1	chr11 B3	---
1419403_at	-2.54E+00	5.6742	8.2162	9.63E-06	5.95E-04	NM_133214	BC017612	170748	Mm.86572	cDNA sequence BC017612	chr9 A2	---
1422851_at	-2.52E+00	5.7001	8.2197	9.57E-06	5.95E-04	X58380	Hmga2	15364	Mm.157190	high mobility group AT-hook 2	chr10 D2|10 67.5 cM	---
1438331_at	2.43E+00	8.2501	5.822	9.63E-06	5.95E-04	BB491630	Ypel2	77864	Mm.390380	Yippee-like 2 (Drosophila)	chr11 C	---
1442700_at	-2.30E+00	6.0714	8.3729	9.59E-06	5.95E-04	BG793493	Pde4b	18578	Mm.20181	phosphodiesterase 4B, cAMP specific	chr4 C6|4 46.8 cM	Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1447448_s_at	2.75E+00	9.0074	6.256	9.58E-06	5.95E-04	C86813	Klf6	23849	Mm.275036	Kruppel-like factor 6	chr13 A1	---
1453414_at	1.73E+00	6.7622	5.0343	9.48E-06	5.95E-04	BB133023	Ypel2	77864	Mm.390380	yippee-like 2 (Drosophila)	chr11 C	---
1430632_at	1.70E+00	9.2984	7.6003	9.92E-06	6.12E-04	AI597257	Asb1	65247	Mm.234152	ankyrin repeat and SOCS box-containing protein 1	chr1 D|1 57.0 cM	---
1416741_at	1.49E+00	10.1123	8.6226	1.02E-05	6.30E-04	AW744319	Col5a1	12831	Mm.7281	Procollagen, type V, alpha 1	chr2 A2-B|2 18.0 cM	---
1449193_at	3.21E+00	8.2129	5.0015	1.03E-05	6.33E-04	NM_009690	Cd5l	11801	Mm.6676	CD5 antigen-like	chr3 F1	---
1456567_x_at	1.53E+00	10.3415	8.8081	1.03E-05	6.33E-04	BB000455	Grn	14824	Mm.1568	granulin	chr11 D|11 60.0 cM	---
1440234_at	1.16E+00	8.6155	7.4551	1.04E-05	6.36E-04	BM250236	1810012P15Rik	66274	Mm.258932	RIKEN cDNA 1810012P15 gene	chr11 B5	---
1418483_a_at	-2.34E+00	6.3746	8.7147	1.06E-05	6.45E-04	AF297615	Ggta1	14594	Mm.281124	glycoprotein galactosyltransferase alpha 1, 3	chr2 B|2 25.0 cM	---
1445640_at	1.40E+00	8.6567	7.2589	1.11E-05	6.70E-04	AW610715	Hlcs	110948	Mm.30921	Holocarboxylase synthetase (biotin- [propriony-Coe	chr16 67.8 cM	Biotin metabolism // KEGG /// Biotin metabolism // KEGG /// Biotin metabolism // KEGG /// Biotin metabolism // KEGG
1449353_at	2.85E+00	10.4505	7.6042	1.11E-05	6.71E-04	NM_009517	Wig1	22401	---	wild-type p53-induced gene 1	chr3 B	---
1420919_at	1.03E+00	11.8349	10.8072	1.13E-05	6.78E-04	BB768208	Sgk3	170755	Mm.336410	serum/glucocorticoid regulated kinase 3	chr1 A2|1 7.5 cM	---
1419217_at	1.11E+00	9.495	8.3857	1.13E-05	6.82E-04	NM_013789	Sergef	27414	Mm.76659	secretion regulating guanine nucleotide exchange f	chr7 B3	---
1449279_at	2.00E+00	8.0536	6.0552	1.15E-05	6.87E-04	NM_030677	Gpx2	14776	Mm.371561	glutathione peroxidase 2	chr12 C3|12 36.0 cM	Glutathione metabolism // KEGG /// Arachidonic acid metabolism // KEGG
1456509_at	2.06E+00	8.7081	6.6447	1.16E-05	6.91E-04	BB382807	1110032F04Rik	68725	Mm.45741	RIKEN cDNA 1110032F04 gene	chr3 E1	---
1418100_at	1.43E+00	7.9549	6.5202	1.17E-05	6.96E-04	AK002962	A030009H04Rik	80515	Mm.5324	RIKEN cDNA A030009H04 gene	chr11 B3	---
1430386_at	2.27E+00	9.2323	6.9606	1.18E-05	7.00E-04	BM240254	E030024N20Rik	595139	---	RIKEN cDNA E030024N20 gene	chr19 A	---
1425145_at	2.29E+00	13.1749	10.8815	1.20E-05	7.06E-04	D13695	Il1rl1	17082	Mm.289824	interleukin 1 receptor-like 1	chr1 B|1 20.0 cM	---
1430079_at	1.72E+00	8.9188	7.1993	1.19E-05	7.06E-04	AK020272	5033406O09Rik	77675	Mm.98331	RIKEN cDNA 5033406O09 gene	chr12 F1	---
1416072_at	-2.62E+00	5.5235	8.1464	1.20E-05	7.07E-04	NM_133654	Cd34	12490	Mm.29798	CD34 antigen	chr1 H6|1 106.6 cM	---
1424958_at	2.18E+00	7.8432	5.6617	1.21E-05	7.07E-04	BC010773	Car8	12319	Mm.119320	carbonic anhydrase 8	chr4 A1|4 7.7 cM	---
1450070_s_at	-1.94E+00	6.117	8.062	1.21E-05	7.07E-04	BF456404	Pak1	18479	Mm.260227	p21 (CDKN1A)-activated kinase 1	chr7 E1|7 46.5 cM	Integrin-mediated_cell_adhesion_KEGG // GenMAPP
1458309_at	2.35E+00	9.1619	6.8094	1.21E-05	7.07E-04	BM122422	---	---	Mm.412892	Transcribed locus	---	---
1447788_s_at	-1.88E+00	7.08	8.9604	1.24E-05	7.23E-04	BB308532	Tspyl3	241732	Mm.277243	TSPY-like 3	chr2 H1	---
1437873_at	-2.00E+00	5.8846	7.8805	1.25E-05	7.26E-04	BB044772	6030490I01Rik	240064	Mm.30675	RIKEN cDNA 6030490I01 gene	chr17 B1	---
1446421_at	3.22E+00	8.5179	5.3	1.26E-05	7.32E-04	BB470737	Schip1	30953	Mm.331064	Schwannomin interacting protein 1	chr3 E2	---
1421287_a_at	2.34E+00	8.6983	6.3593	1.27E-05	7.33E-04	NM_008816	Pecam1	18613	Mm.343951	platelet/endothelial cell adhesion molecule 1	chr11 E1	---
1434929_at	-2.07E+00	7.4239	9.4898	1.27E-05	7.36E-04	BI076809	BC035044	232406	Mm.30745	cDNA sequence BC035044	chr6 F3	---
1422527_at	-2.62E+00	6.3109	8.9299	1.29E-05	7.43E-04	NM_010386	H2-DMa	14998	Mm.16373	histocompatibility 2, class II, locus DMa	chr17 B1|17 18.56 cM	Circadian_Exercise // GenMAPP /// Circadian_Exercise // GenMAPP /// Circadian_Exercise // GenMAPP /// Circadian_Exercise // GenMAPP /// Circadian_Exercise // GenMAPP /// Circadian_Exercise // GenMAPP /// Circadian_Exercise // GenMAPP /// Circadian_Exercise // GenMAPP /// Circadian_Exercise // GenMAPP /// Circadian_Exercise // GenMAPP /// Circadian_Exercise // GenMAPP
1421477_at	2.99E+00	9.3798	6.39	1.31E-05	7.51E-04	NM_009946	Cplx2	12890	Mm.268902	complexin 2	chr13 B1	---
1446537_at	-2.22E+00	5.6447	7.8631	1.31E-05	7.51E-04	BB162318	Ga17	98221	Mm.336519	Dendritic cell protein GA17	chr2 E2	---
1452841_at	1.48E+00	11.0713	9.5864	1.33E-05	7.60E-04	BG073164	Pgm2l1	70974	Mm.57225	phosphoglucomutase 2-like 1	chr7 F1	---
1433715_at	4.99E+00	10.0681	5.0738	1.35E-05	7.69E-04	BB426433	Cpne7	102278	Mm.36434	copine VII	chr8 E1	---
1434743_x_at	1.18E+00	9.0465	7.8653	1.36E-05	7.73E-04	BB222846	Rusc1	72296	Mm.27687	RUN and SH3 domain containing 1	chr3 F2	---
1453065_at	2.14E+00	7.4736	5.335	1.36E-05	7.73E-04	BQ175320	Aldh5a1	214579	Mm.393311	aldhehyde dehydrogenase family 5, subfamily A1	chr13 A3.1	---
1419311_at	1.48E+00	11.7909	10.3076	1.39E-05	7.85E-04	NM_011280	Trim10	19824	Mm.299155	tripartite motif protein 10	chr17 B1	---
1439620_at	2.29E+00	8.0122	5.723	1.41E-05	7.98E-04	AI326425	---	---	---	---	---	---
1440462_at	1.29E+00	8.7974	7.5124	1.42E-05	7.99E-04	AV339681	B930068K11Rik	320622	---	RIKEN cDNA B930068K11 gene	---	---
1452214_at	-2.53E+00	7.2426	9.7726	1.42E-05	7.99E-04	AK018608	Skil	20482	Mm.15406	SKI-like	chr3 A3|3 13.0 cM	TGF_Beta_Signaling_Pathway // GenMAPP /// TGF_Beta_Signaling_Pathway // GenMAPP
1434897_a_at	-3.23E+00	9.6157	12.8497	1.44E-05	8.06E-04	AV327862	Slc25a4	11739	Mm.16228	solute carrier family 25 (mitochondrial carrier, a	chr8 B1.1|8 26.0 cM	Electron_Transport_Chain // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP /// Electron_Transport_Chain // GenMAPP /// mRNA_processing_binding_Reactome // GenMAPP
1417786_a_at	-2.02E+00	6.7381	8.7533	1.49E-05	8.34E-04	BC003838	Rgs19	56470	Mm.274366	regulator of G-protein signaling 19	chr2 H4|2 45.0 cM	Calcium_regulation_in_cardiac_cells // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Calcium_regulation_in_cardiac_cells // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1420788_at	2.07E+00	8.0609	5.9906	1.49E-05	8.34E-04	NM_016970	Klrg1	50928	Mm.20434	killer cell lectin-like receptor subfamily G, memb	chr6 F1|6 59.2 cM	---
1419811_at	1.99E+00	9.698	7.7079	1.51E-05	8.40E-04	AW125421	D16Wsu65e	28001	Mm.393582	DNA segment, Chr 16, Wayne State University 65, ex	chr16|16 1.7 cM	---
1460303_at	-1.27E+00	9.1581	10.4233	1.51E-05	8.40E-04	NM_008173	Nr3c1	14815	Mm.129481	nuclear receptor subfamily 3, group C, member 1	chr18 B3|18 20.0 cM	Apoptosis_KEGG // GenMAPP /// Nuclear_Receptors // GenMAPP
