Probeset ID	Gene name	Description	FC (log2ratio)	Function
217618_x_at	HUS1	HUS1 checkpoint protein	1,26	cell cycle/proliferation
218794_s_at	TXNL4B	Thioredoxin-like protein 4B (Dim1-like protein).	1,25	cell cycle/proliferation
214230_at	CDC42	Cell division control protein 42 homolog (G25K GTP-binding protein)	1,22	cell cycle/proliferation
213313_at	RABGAP1	RAB GTPase activating protein 1	1,15	cell cycle/proliferation
209028_s_at	ABI1	Abelson interactor 1 (Spectrin SH3 domain- binding protein 1) (Eps8-binding protein) (Nap1BP) (Abl-binding protein 4)	1,13	cell cycle/proliferation
212899_at	CDC2L6	Cell division cycle 2-like protein kinase 6 (Death-preventing kinase) (Cyclin-dependent kinase 11)	1,12	cell cycle/proliferation
220046_s_at	CCNL1	Cyclin-L1 (Cyclin-L).	1,1	cell cycle/proliferation
219470_x_at	CCNJ	cyclin J	1,09	cell cycle/proliferation
221496_s_at	TOB2	Tob2 protein (Transducer of erbB-2 2).	1,08	cell cycle/proliferation
204958_at	PLK3	Serine/threonine-protein kinase PLK3 (Polo-like kinase 3) (Cytokine-inducible serine/threonine-protein kinase)	1,03	cell cycle/proliferation
205899_at	CCNA1	Cyclin-A1	1,03	cell cycle/proliferation
204831_at	CDK8	Cell division protein kinase 8 (EC 2.7.1.37) (Protein kinase K35)	1,02	cell cycle/proliferation
209023_s_at	STAG2	Cohesin subunit SA-2 (Stromal antigen 2)	1,01	cell cycle/proliferation
213497_at	ABTB2	Ankyrin repeat and BTB/POZ domain-containing protein 2	5,08	cell organization and biogenesis
215071_s_at	HIST1H2AC	Histone H2A type 5	2,09	cell organization and biogenesis
209911_x_at	HIST1H2BD	Histone H2B.b  (HIRA-interacting protein 2)	1,69	cell organization and biogenesis
208490_x_at	HIST1H2BG	Histone H2B.a/g/h/k/l (H2B.1 A)	1,65	cell organization and biogenesis
208579_x_at	H2BFS	histone 2, H2bf	1,55	cell organization and biogenesis
212926_at	SMC5L1	SMC5 protein	1,52	cell organization and biogenesis
209158_s_at	PSCD2	Cytohesin-2 (ARF nucleotide-binding site opener) (ARNO protein)	1,4	cell organization and biogenesis
219901_at	FGD6	FYVE, RhoGEF and PH domain containing protein 6 (Zinc finger FYVE domain containing protein 24)	1,29	cell organization and biogenesis
200906_s_at	PALLD	palladin	1,23	cell organization and biogenesis
214168_s_at	TJP1	Tight junction protein ZO-1 (Zonula occludens 1 protein)	1,21	cell organization and biogenesis
220885_s_at	CENPJ	Centromere protein J (Centrosomal P4.1-associated protein) (LAG-3- associated protein)	1,21	cell organization and biogenesis
216060_s_at	DAAM1	Disheveled associated activator of morphogenesis 1.	1,19	cell organization and biogenesis
202760_s_at	PALM2	A-kinase anchor protein 2 (Protein kinase A-anchoring protein 2) (PRKA2) (AKAP-2)	1,18	cell organization and biogenesis
218280_x_at	HIST2H2AA	Histone H2A type 2 (H2A.2)	1,14	cell organization and biogenesis
203099_s_at	CDYL	Chromodomain Y-like protein (CDY-like)	1,02	cell organization and biogenesis
204933_s_at	TNFRSF11B	Tumor necrosis factor receptor superfamily member 11B precursor	4,1	apoptosis
218000_s_at	PHLDA1	Pleckstrin homology-like domain family A member 1 (Apoptosis-associated nuclear protein)	3,95	apoptosis
219566_at	PLEKHF1	apoptosis-inducing protein D, pleckstrin homology domain containing family F	3,56	apoptosis
206536_s_at	BIRC4	Baculoviral IAP repeat-containing protein 4 (Inhibitor of apoptosis protein 3) (X-linked IAP)	3,22	apoptosis
217911_s_at	BAG3	BAG family molecular chaperone regulator 3 (BCL-2 binding athanogene- 3)	3,03	apoptosis
205214_at	STK17B	Serine/threonine-protein kinase 17B (DAP kinase-related apoptosis-inducing protein kinase 2)	3	apoptosis
206907_at	TNFSF9	Tumor necrosis factor ligand superfamily member 9	2,73	apoptosis
204614_at	SERPINB2	Plasminogen activator inhibitor-2 precursor	2,67	apoptosis
201631_s_at	IER3	Radiation-inducible immediate-early gene IEX-1 (Immediate early protein GLY96)	2,65	apoptosis
218145_at	TRIB3	Tribbles homolog 3 (TRB-3) (Neuronal cell death inducible putative kinase)	2,53	apoptosis
218192_at	IHPK2	Inositol hexakisphosphate kinase 2 (InsP6 kinase 2)	2,42	apoptosis
201502_s_at	NFKBIA	NF-kappaB inhibitor alpha (IKB-alpha)	2,15	apoptosis
202730_s_at	PDCD4	programmed cell death 4 isoform 1	2,13	apoptosis
209193_at	PIM1	Proto-oncogene serine/threonine-protein kinase Pim-1	2,01	apoptosis
210148_at	HIPK3	Homeodomain-interacting protein kinase 3	1,97	apoptosis
201636_at	FXR1	Fragile X mental retardation syndrome-related protein 1.	1,63	apoptosis
202531_at	IRF1	Interferon regulatory factor 1	1,61	apoptosis
205558_at	TRAF6	TNF receptor-associated factor 6 (Interleukin 1 signal transducer)	1,6	apoptosis
207782_s_at	PSEN1	Presenilin-1	1,51	apoptosis
209545_s_at	RIPK2	Receptor-interacting serine/threonine-protein kinase 2	1,33	apoptosis
208792_s_at	CLU	Clusterin precursor (Complement-associated protein SP-40,40)	1,33	apoptosis
212374_at	FEM1B	fem-1 homolog b	1,25	apoptosis
203627_at	IGF1R	Insulin-like growth factor 1 receptor precursor	1,19	apoptosis
203120_at	TP53BP2	Apoptosis stimulating of p53 protein 2	1,17	apoptosis
211078_s_at	STK3	Serine/threonine-protein kinase 3	1,09	apoptosis
201370_s_at	CUL3	Cullin-3	1,09	apoptosis
221577_x_at	GDF15	Growth/differentiation factor 15 precursor	6,79	cell communication/cell-cell signaling
205239_at	AREG	Amphiregulin precursor (AR) (Colorectum cell-derived growth factor)	3,19	cell communication/cell-cell signaling
210511_s_at	INHBA	Inhibin beta A chain precursor	3,07	cell communication/cell-cell signaling
217739_s_at	PBEF1	Nicotinamide phosphoribosyltransferase	2,08	cell communication/cell-cell signaling
205767_at	EREG	Epiregulin precursor	2,07	cell communication/cell-cell signaling
206300_s_at	PTHLH	Parathyroid hormone-related protein precursor	2,1	cell communication/cell-cell signaling
202570_s_at	DLGAP4	Disks large-associated protein 4 (DAP-4) (SAP90/PSD-95-associated protein 4)	1,81	cell communication/cell-cell signaling
203439_s_at	STC2	Stanniocalcin-2 precursor (STC-2)	1,64	cell communication/cell-cell signaling
205107_s_at	EFNA4	Ephrin-A4 precursor (EPH-related receptor tyrosine kinase ligand 4)	1,29	cell communication/cell-cell signaling
210999_s_at	GRB10	Growth factor receptor-bound protein 10 (GRB10 adaptor protein) (Insulin receptor binding protein GRB-IR).	1,29	cell communication/cell-cell signaling
204011_at	SPRY2	Sprouty homolog 2 (Spry-2)	1,25	cell communication/cell-cell signaling
210689_at	CLDN14	Claudin-14	5,5	cell adhesion
207029_at	KITLG	Kit ligand precursor  (Mast cell growth factor)	4,51	cell adhesion
204455_at	BPA1_HUMAN	Bullous pemphigoid antigen 1 isoforms 1/2/3/4/5/8 (Dystonin)	2,28	cell adhesion
212232_at	FNBP4	formin binding protein 4	2,17	cell adhesion
209493_at	PDZK3	PDZ domain containing protein 3	2,15	cell adhesion
204423_at	MKLN1	Muskelin	1,93	cell adhesion
221664_s_at	F11R	Junctional adhesion molecule A precursor (JAM-A) (Junctional adhesion molecule 1)	1,74	cell adhesion
220018_at	CBLL1	Cas-Br-M (murine) ecotropic retroviral transforming sequence-like 1	1,58	cell adhesion
202328_s_at	PKD1	Polycystin-1 precursor (Autosomal dominant polycystic kidney disease protein 1)	1,49	cell adhesion
218087_s_at	SORBS1	Sorbin and SH3 domain-containing protein 1 (Ponsin) (c-Cbl-associated protein)	1,35	cell adhesion
205032_at	ITGA2	Integrin alpha-2 precursor (Platelet membrane glycoprotein Ia) (Collagen receptor) (VLA-2 alpha chain) (CD49b).	1,2	cell adhesion
213836_s_at	WIPI1	WD-repeat domain phosphoinositide-interacting protein 1 (Atg18 protein homolog)	3,21	autophagy
208786_s_at	MAP1LC3B	Microtubule-associated proteins 1A/1B light chain 3B precursor (Autophagy-related ubiquitin-like modifier LC3 B)	1,8	autophagy
204952_at	LYPD3	GPI-anchored metastasis-associated protein homolog	5,43	others
221986_s_at	KLHL24	DRE1 protein	4,96	others
208868_s_at	GABARAPL1	Gamma-aminobutyric acid receptor-associated protein-like 1	4,3	others
202887_s_at	DDIT4	RTP801	4,16	others
210143_at	ANXA10	Annexin A10 (Annexin-14)	3,81	others
201008_s_at	TXNIP	thioredoxin interacting protein	3,8	others
210592_s_at	SAT	Diamine acetyltransferase 1 (Spermidine/spermine N(1)- acetyltransferase 1)	3,71	others
219270_at	CHAC1	NA	3,59	others
219566_at	PLEKHF1	apoptosis-inducing protein D	3,56	others
208191_x_at	PSG1	Pregnancy-specific beta-1-glycoprotein 1 precursor (PSBG-1)	3,26	others
212286_at	ANKRD12	Ankyrin repeat domain protein 12 (Ankyrin repeat-containing cofactor 2)	3,23	others
36564_at	IBRDC3	IBR domain-containing protein 3.	3,16	others
219474_at		TPA-induced transmembrane protein	3,12	others
218614_at		NA	3,11	others
203990_s_at	UTX	Ubiquitously transcribed X chromosome tetratricopeptide repeat protein	3,03	others
213272_s_at		promethin	2,87	others
219377_at	FAM59A	NA	2,84	others
205602_x_at	PSG2	Pregnancy-specific beta-1-glycoprotein 2 precursor	2,82	others
221276_s_at	SYNC1	syncoilin, intermediate filament 1	2,78	others
203888_at	THBD	Thrombomodulin precursor (TM) (Fetomodulin) (CD141 antigen)	2,69	others
207291_at	PRRG4	Transmembrane gamma-carboxyglutamic acid protein 4 precursor	2,68	others
210455_at	GIDRP_HUMAN	Growth inhibition and differentiation-related protein 88 (Putative mitochondrial space protein 32.1)	2,62	others
218895_at	GPATC3	G patch domain containing protein 3.	2,62	others
217783_s_at	YPEL5	Yippee-like protein 5.	2,55	others
212840_at	K0794_HUMAN	NA	2,55	others
218810_at	ZC3H12A	zinc finger CCCH-type containing 12A	2,54	others
209594_x_at	PSG10	Pregnancy-specific beta-1-glycoprotein 10 precursor	2,5	others
222157_s_at	WDR48	WD-repeat protein 48 (WD repeat endosomal protein) (p80).	2,44	others
218964_at	ARID3B	AT rich interactive domain 3B (BRIGHT- like) protein	2,41	others
209122_at	ADFP	Adipophilin (Adipose differentiation-related protein) (ADRP).	2,39	others
220086_at	ZNFN1A5	zinc finger protein, subfamily 1A, 5	2,37	others
209738_x_at	PSG3	Pregnancy-specific beta-1-glycoprotein 3 precursor	2,35	others
213797_at	RSAD2	radical S-adenosyl methionine domain containing 2	2,33	others
222235_s_at		NA	2,33	others
204286_s_at	PMAIP1	Phorbol-12-myristate-13-acetate-induced protein 1(Immediate-early-response protein APR).	2,31	others
218093_s_at	ANKRD10	Ankyrin repeat domain protein 10.	2,28	others
205691_at	SYNGR3	Synaptogyrin-3.	2,27	others
220251_at	Q9H9J1_HUMAN	NA	2,26	others
202973_x_at	FAM13A1	Protein FAM13A1	2,17	others
204568_at	KIAA0831	NA	2,17	others
220180_at		CTCL tumor antigen se57-1	2,16	others
204341_at	TRIM16	Tripartite motif protein 16 (Estrogen-responsive B box protein).	2,11	others
212658_at	LHFPL2	lipoma HMGIC fusion partner-like 2	2,1	others
217858_s_at	ARMCX3	Armadillo repeat-containing X-linked protein 3 (ARM protein lost in epithelial cancers on chromosome X 3)	2,09	others
217924_at		NA	2,08	others
208257_x_at	PSG8	Pregnancy-specific beta-1-glycoprotein 8 precursor	2,06	others
219116_s_at		NA	2,06	others
215427_s_at	ZCCHC14	Zinc finger CCHC domain containing protein 14 (BDG-29)	2,05	others
212451_at	K0256_HUMAN	NA	2,03	others
221290_s_at	MUM1	melanoma ubiquitous mutated protein	1,98	others
212689_s_at	JMJD1A	Jumonji domain-containing protein 1A.	1,97	others
209403_at	TBC1D3C	TBC1 domain family member 3C	1,89	others
205953_at	LRIG2	Leucine-rich repeats and immunoglobulin-like domains protein 2 precursor (LIG-2).	1,88	others
218446_s_at	FAM18B	Protein FAM18B.	1,87	others
221569_at	AHI1	Jouberin (Abelson helper integration site 1 protein homolog) (AHI-1).	1,87	others
204157_s_at		NA	1,85	others
218566_s_at	CHORDC1	cysteine and histidine-rich domain (CHORD)-containing, zinc binding protein 1	1,82	others
214911_s_at	BRD2	Bromodomain-containing protein 2 (RING3 protein)	1,81	others
213349_at	TMCC1	Transmembrane and coiled-coil domains protein 1.	1,81	others
220174_at	LRRC8E	leucine rich repeat containing 8 family, member E	1,81	others
212479_s_at		NA	1,77	others
203322_at		NA	1,76	others
210665_at	TFPI	Tissue factor pathway inhibitor precursor (TFPI)	1,75	others
213555_at	RWDD2	RWD domain containing protein 2.	1,74	others
213900_at	CI061_HUMAN	Protein C9orf61 (Protein X123).	1,74	others
205018_s_at	MBNL2	muscleblind-like 2 isoform 3	1,73	others
219284_at	HSPBAP1	Hspb associated protein 1	1,7	others
219269_at		NA	1,7	others
219409_at	SNIP1	Smad nuclear interacting protein 1.	1,66	others
208093_s_at	NDEL1	nudE nuclear distribution gene E homolog like 1 (A. nidulans) isoform B	1,62	others
214820_at	BRWD1	Bromodomain and WD-repeat domain containing protein 1 (WD-repeat protein 9).	1,62	others
212400_at	FAM102A	early estrogen-induced gene 1 protein isoform b	1,6	others
209020_at	CT111_HUMAN	NA	1,6	others
212470_at	SPAG9	sperm associated antigen 9 isoform 1	1,59	others
35436_at	GOLGA2	Golgin subfamily A member 2 (Cis-Golgi matrix protein GM130)	1,58	others
218004_at	BSDC1	BSD domain containing 1	1,57	others
221596_s_at		NA	1,57	others
218615_s_at	TMEM39A	transmembrane protein 39A	1,56	others
209378_s_at	KIAA1128	granule cell antiserum positive 14	1,55	others
218972_at	TTC17	Tetratricopeptide repeat protein 17 (TPR repeat protein 17).	1,55	others
207606_s_at	ARHGAP12	Rho-GTPase-activating protein 12.	1,54	others
219397_at		NA	1,53	others
203404_at	ARMCX2	Armadillo repeat-containing X-linked protein 2 (ARM protein lost in epithelial cancers on chromosome X 2).	1,52	others
218023_s_at	FAM53C	Protein FAM53C.	1,52	others
221734_at		NA	1,51	others
212096_s_at	MTUS1	mitochondrial tumor suppressor 1 isoform 3	1,5	others
218064_s_at	AKAP8L	A-kinase anchor protein-like protein 8 (Neighbor of A-kinase anchoring protein 95) (Homologous to AKAP95 protein) (HA95) (Helicase A-binding protein 95) (HAP95). [Source:Uniprot/SWISSPROT;Acc:Q9ULX6]	1,5	others
218737_at	SBNO1	sno, strawberry notch homolog 1	1,49	others
212487_at	KIAA0553	NA	1,49	others
212992_at	Q8N3G4_HUMAN	C14orf78 protein (Fragment).	1,48	others
203855_at	WDR47	WD-repeat protein 47.	1,46	others
205298_s_at	BTN2A2	Butyrophilin subfamily 2 member A2 precursor.	1,45	others
220917_s_at	WDR19	WD repeat domain 19	1,45	others
203640_at	MBNL2	muscleblind-like 2 isoform 3	1,44	others
209306_s_at		SWAP-70 protein	1,44	others
210970_s_at	IBTK	inhibitor of Brutons tyrosine kinase	1,44	others
218929_at		collaborates/cooperates with ARF (alternate reading frame) protein	1,44	others
208425_s_at	TANC2	Putative ankyrin-repeat containing protein.	1,43	others
213000_at	MORC3	MORC family CW-type zinc finger 3 (Zinc finger CW-type coiled-coil domain protein 3)	1,43	others
212830_at	EGFL5	Multiple EGF-like-domain protein 5 precursor (Multiple epidermal growth factor-like domains 9)	1,42	others
213526_s_at	PSENEN	Gamma-secretase subunit PEN-2 (Presenilin enhancer protein 2). [Source:Uniprot/SWISSPROT;Acc:Q9NZ42]	1,42	others
202301_s_at		NA	1,42	others
209479_at	CCDC28A	Coiled-coil domain-containing protein 28A (CCRL1AP).	1,4	others
213146_at	JMJD3	JMJD3 protein (Fragment)	1,39	others
214017_s_at	DHX34	Probable ATP-dependent RNA helicase DHX34 (DEAH box protein 34).	1,39	others
211996_s_at	Q6ZQS7_HUMAN	NA	1,39	others
209912_s_at	Y0415_HUMAN	NA	1,38	others
203407_at	PPL	Periplakin (195 kDa cornified envelope precursor protein)	1,35	others
209691_s_at	DOK4	Docking protein 4 (Downstream of tyrosine kinase 4).	1,35	others
218268_at	TBC1D15	TBC1 domain family member 15.	1,35	others
218912_at	GCC1	GRIP and coiled-coil domain-containing protein 1 (Golgi coiled coil protein 1).	1,35	others
219601_s_at	CJ012_HUMAN	NA	1,35	others
220143_x_at	LUC7L	Putative RNA-binding protein Luc7-like 1 (SR+89) (Putative SR protein LUC7B1).	1,34	others
218940_at	CN138_HUMAN	NA	1,34	others
200851_s_at		putative MAPK activating protein PM28	1,33	others
203288_at	KIAA0355	NA	1,33	others
213230_at	CDR2L	paraneoplastic antigen	1,32	others
221765_at	UGCG	Ceramide glucosyltransferase (Glucosylceramide synthase)	1,31	others
202557_at	STCH	Stress 70 protein chaperone microsome-associated 60 kDa protein precursor (Microsomal stress 70 protein ATPase core).	1,3	others
221803_s_at	NRBF2	nuclear receptor binding factor 2	1,3	others
219774_at		NA	1,3	others
204190_at	USPL1	NA	1,3	others
204447_at	Y0552_HUMAN	NA	1,3	others
211031_s_at	CYLN2	Cytoplasmic linker protein 2 (Cytoplasmic linker protein 115)	1,28	others
205308_at		NA	1,28	others
213375_s_at		NA	1,28	others
203481_at	CJ006_HUMAN	NA	1,27	others
202553_s_at	SYF2	CCNDBP1 interactor isoform 1	1,26	others
204137_at	TM7SF1	Transmembrane 7 superfamily member 1	1,25	others
205664_at	KIN	HsKin17 protein	1,25	others
206652_at	ZMYM5	Zinc finger MYM-type protein 5 (Zinc finger protein 237)	1,25	others
212264_s_at	KIAA0261	KIAA0261	1,25	others
211977_at	GPR107	Protein GPR107 precursor (Lung seven transmembrane receptor 1).	1,24	others
212505_s_at	KIAA0892	NA	1,24	others
214155_s_at	LARP4	La-related protein 4 (La ribonucleoprotein domain family member 4).	1,23	others
221704_s_at	VPS37B	vacuolar protein sorting 37B	1,23	others
202543_s_at	GMFB	Glia maturation factor beta (GMF-beta).	1,22	others
218348_s_at	ZC3H7A	Zinc finger CCCH-type domain containing protein 7A.	1,22	others
220235_s_at		receptor-interacting factor 1 isoform 2	1,22	others
202258_s_at		NA	1,22	others
213017_at	ABHD3	alpha/beta hydrolase domain containing protein 3	1,21	others
205684_s_at	CI055_HUMAN	NA	1,21	others
222195_s_at		NA	1,21	others
219961_s_at		NA	1,21	others
221738_at	K1219_HUMAN	NA	1,2	others
201411_s_at	PLEKHB2	Pleckstrin homology domain-containing family B member 2 (Evectin-2).	1,19	others
202559_x_at	CA077_HUMAN	NA	1,19	others
204436_at		PH domain-containing protein	1,18	others
212176_at	SFR17_HUMAN	Splicing factor, arginine/serine-rich 130 (Serine-arginine-rich splicing regulatory protein 130)	1,17	others
218522_s_at	BPY2IP1	BPY2 interacting protein 1	1,17	others
219681_s_at	RAB11FIP1	Rab11 family-interacting protein 1 (Rab11-FIP1) (Rab-coupling protein).	1,17	others
218029_at	FAM65A	NA	1,17	others
204821_at	BTN3A3	Butyrophilin subfamily 3 member A3 precursor.	1,16	others
218361_at	GOLPH3L	GPP34-related protein	1,16	others
204538_x_at	O15103_HUMAN	NA	1,16	others
217961_at		NA	1,15	others
208949_s_at	LGALS3	Galectin-3 (Galactose-specific lectin 3) (Mac-2 antigen)	1,14	others
211068_x_at	FAM21C	Protein FAM21C.	1,14	others
218043_s_at	AZI2	5-azacytidine induced 2	1,14	others
217975_at	WBP5	WW domain binding protein 5	1,13	others
218037_at	CB017_HUMAN	NA	1,13	others
207733_x_at	PSG9	Pregnancy-specific beta-1-glycoprotein 9 precursor	1,12	others
213341_at	FEM1C	feminization 1 homolog a	1,12	others
217742_s_at	WAC	WW domain-containing adapter with a coiled-coil region isoform 3	1,12	others
218947_s_at	PAPD1	PAP associated domain containing 1	1,12	others
212057_at	Y0182_HUMAN	NA	1,12	others
213644_at	CCDC46	NA	1,11	others
212602_at	WDFY3	WD repeat and FYVE domain containing 3 isoform 1	1,1	others
218900_at	CNNM4	cyclin M4	1,1	others
221802_s_at	KIAA1598	NA	1,1	others
204601_at	N4BP1_HUMAN	NEDD4-binding protein 1 (N4BP1) (Fragment).	1,09	others
214583_at	RSC1A1	regulatory solute carrier protein, family 1, member 1	1,09	others
219492_at	CHIC2	Cysteine-rich hydrophobic domain 2 protein (BrX-like translocated in leukemia).	1,09	others
212050_at	WIRE_HUMAN	WIP-related protein (WIP- and CR16-homologous protein)	1,08	others
217877_s_at	GPBP1L1	GC-rich promoter binding protein 1-like 1	1,08	others
218013_x_at	DCTN4	Dynactin subunit 4 (Dynactin subunit p62).	1,08	others
203051_at	BAHD1	bromo adjacent homology domain containing 1	1,07	others
218466_at	TBC1D17	TBC1 domain family member 17.	1,07	others
219421_at		osmosis responsive factor	1,07	others
218602_s_at	FAM29A	NA	1,07	others
212355_at	KIAA0323	NA	1,07	others
47608_at	TJAP1	Tight junction-associated protein 1 (Protein incorporated later into tight junctions).	1,06	others
219023_at	CD016_HUMAN	NA	1,06	others
213212_x_at		NA	1,06	others
211707_s_at	IQCB1	IQ calmodulin-binding motif containing protein 1 (Nephrocystin-5).	1,05	others
221806_s_at	Q9C0A6_HUMAN	NA	1,05	others
209277_at	TFPI2	Tissue factor pathway inhibitor 2 precursor	1,04	others
205191_at	RP2	Protein XRP2.	1,04	others
201736_s_at	6-Mar	membrane-associated ring finger (C3HC4) 6	1,03	others
213159_at	PCNX	Pecanex-like protein 1 (Pecanex homolog).	1,03	others
218854_at	SART2	squamous cell carcinoma antigen recognized by T cells 2	1,03	others
202102_s_at	BRD4	Bromodomain-containing protein 4 (HUNK1 protein).	1,02	others
202073_at	OPTN	Optineurin (Optic neuropathy-inducing protein)	1,01	others
218686_s_at	RHBDF1	rhomboid family 1	1,01	others
213954_at	Q9H989_HUMAN	NA	1,01	others
212069_s_at	KIAA0515	OTTHUMP00000022418 (Fragment).	1	others
