Up/down	Gene symbol	Gene name	Reporter	Accession number	Fisher score
Down	PTGS2	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	H200014737	NM_000963	-0.420280559
Up	LOC92659	Hypothetical protein BC009233	H200019816	BC009233	0.420030761
Up	METTL3	Methyltransferase like 3	H200016627	NM_019852	0.419724134
Up	KIAA1688	KIAA1688 protein	H200011389	AB051475	0.418358391
Up	SNCB	Synuclein, beta	H200010424	NM_003085	0.418031763
Down	EIF1AY	Eukaryotic translation initiation factor 1A, Y-linked	H200014029	NM_004681	-0.417925723
Down	Cep290	Centrosome protein cep290	H200005491	AL049382	-0.417869774
Down	SFRS8	Splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot homolog, Drosophila)	H200007100	NM_004592	-0.417475191
Down	LOC283578	Hypothetical protein LOC283578	H200001730	AK025695	-0.41722967
Down	ZFYVE28	Zinc finger, FYVE domain containing 28	H200015867	AB046863	-0.417223212
Up	CCT8	Chaperonin containing TCP1, subunit 8 (theta)	H200002439	NM_006585	0.416879647
Down	APLN	Apelin, AGTRL1 ligand	H200018156	NM_017413	-0.416337782
Down	RBP4	Retinol binding protein 4, plasma	H300007232	NM_006744	-0.414486013
Down	MGC10485	Hypothetical protein MGC10485	H200019644	NM_052875	-0.414258195
Up	F8	Coagulation factor VIII, procoagulant component (hemophilia A)	H200006669	NM_000132	0.413955976
Up	C13orf10	Chromosome 13 open reading frame 10	H200004454	AK027339	0.413691687
Down	PRPSAP1	Phosphoribosyl pyrophosphate synthetase-associated protein 1	H200006405	NM_002766	-0.413063274
Up	GMPS	Guanine monphosphate synthetase	H200001052	NM_003875	0.411891918
Up	SCO1	SCO cytochrome oxidase deficient homolog 1 (yeast)	H200002387	NM_004589	0.411816946
Up	DARS	Aspartyl-tR synthetase	H200008836	AK027270	0.411279503
Down	UBE3A	Ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)	H200008458	NM_000462	-0.410515438
Up	DSCR2	Down syndrome critical region gene 2	H200001010	NM_003720	0.410317808
Up	MGC30208	Hypothetical protein MGC30208	H300000275	NM_173804	0.409707092
Up	USP7	Ubiquitin specific protease 7 (herpes virus-associated)	H200006541	NM_003470	0.409611811
Up	FAM29A	Family with sequence similarity 29, member A	H200005114	AB046794	0.409556245
Up	MYBBP1A	MYB binding protein (P160) 1a	H200003194	NM_014520	0.409553802
Down	EAP30	EAP30 subunit of ELL complex	H200021315	BC008976	-0.409291589
Up	MGC11061	Hypothetical protein MGC11061	H200005610	NM_032312	0.408561694
Down	PYM	PYM protein	H200019482	NM_032345	-0.408317105
Down	ZNF499	Zinc finger protein 499	H200014703	NM_032792	-0.408294602
Down	ZNF35	Zinc finger protein 35 (clone HF.10)	H200009321	NM_003420	-0.408114371
Down	CGI-01	CGI-01 protein	H200002827	NM_015935	-0.408107458
Up	HNF4A	Hepatocyte nuclear factor 4, alpha	H200005084	NM_000457	0.408005655
Down	CSNK1G2	Casein kinase 1, gamma 2	H200008539	NM_001319	-0.407926795
Down	FLJ10287	Hypothetical protein FLJ10287	H200004481	NM_019083	-0.407614082
Up	SRM	Spermidine synthase	H200006269	NM_003132	0.407457666
Down	FLJ11267	Hypothetical protein FLJ11267	H200007632	NM_019607	-0.407034028
Up	EIF3S2	Eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa	H200014495	NM_003757	0.406823127
Down	PCDH17	Hypothetical protein LOC144997	H200005466	AK001134	-0.406372115
Down	TXNRD2	Thioredoxin reductase 2	H200002214	NM_006440	-0.405401498
Down	C20orf13	Chromosome 20 open reading frame 13	H200010276	NM_017714	-0.405395937
Down	NOL3	Nucleolar protein 3 (apoptosis repressor with CARD domain)	H300006569	NM_003946	-0.403303073
Up	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	H200003300	NM_004380	0.402692919
Up	LARGE	Like-glycosyltransferase	H200018573	AK025202	0.402635655
Up	TLP19	Endoplasmic reticulum thioredoxin superfamily member, 18 kDa	H200015750	AK056169	0.402333058
Down	DKFZP761H1	Hypothetical protein DKFZp761H1710	H200002800	NM_031297	-0.402238743
Down	GNG13	Guanine nucleotide binding protein (G protein), gamma 13	H200015968	NM_016541	-0.402089625
Up	TCEB2	Transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)	H200008077	NM_007108	0.401862573
Down	TUSC3	Tumor suppressor candidate 3	H200016382	AK026149	-0.401853017
Up	HES1	Hairy and enhancer of split 1, (Drosophila)	H200016233	NM_005524	0.399994824
Up	MCF2	MCF.2 cell line derived transforming sequence	H200010344	AL117234	0.399940789
Up	JMY	Junction-mediating and regulatory protein	H300003280	NM_152405	0.39983026
Up	ORC3L	Origin recognition complex, subunit 3-like (yeast)	H200005943	NM_012381	0.399794618
Down	MAOA	Monoamine oxidase A	H200008642	NM_000240	-0.399460602
Up	GTDC1	Glycosyltransferase-like 1	H200005482	NM_024659	0.39924432
Up	MAPRE1	Microtubule-associated protein, RP/EB family, member 1	H200015498	NM_012325	0.399161172
Up	DKFZp586I1	Hypothetical protein DKFZp586I1420	H200011821	AL050378	0.39909676
Up	HTPAP	HTPAP protein	H200007814	NM_032483	0.398911593
Up	KIAA1434	Hypothetical protein KIAA1434	H200008005	AB037855	0.398897079
Down	FLJ32384	Hypothetical protein MGC39389	H200005222	AK056946	-0.398354871
Down	FLJ20014	Hypothetical protein FLJ20014	H200012820	NM_017622	-0.397927348
Down	MYADML	Myeloid-associated differentiation marker-like	H200016200	AK057470	-0.397704358
Up	KIAA1600	KIAA1600	H200014506	AB046820	0.397677926
Down	FLJ25070	U11/U12 snRNP 65K protein	H200002364	AB058742	-0.397401404
Up	ZNF622	Zinc finger protein 622	H200005399	NM_033414	0.397395446
Up	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	H200001548	AB007871	0.397223206
Down	CUL7	Cullin 7	H200005025	NM_014780	-0.396913776
Down	GPR172A	G protein-coupled receptor 172A	H200001234	NM_024531	-0.395984093
Down	NDP52	Nuclear domain 10 protein	H200013951	NM_005831	-0.395802883
Down	LACE1	Lactation elevated 1	H200007593	BC018445	-0.39555933
Up	DRB1	Developmentally regulated R-binding protein 1	H300000204	NM_152945	0.394535522
Up	CETP	Cholesteryl ester transfer protein, plasma	H200010343	NM_000078	0.393450293
Up	C14orf168	Chromosome 14 open reading frame 168	H200001356	AK026653	0.393409548
Down	GIMAP2	GTPase, IMAP family member 2	H200012777	BC013934	-0.393216426
Up	DHX40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	H200003921	NM_024612	0.39291966
Down	CILP	Cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	H200013764	NM_003613	-0.39281588
Up	SPTBN1	Spectrin, beta, non-erythrocytic 1	H200019109	AK023762	0.39237207
Up	CYP27B1	Cytochrome P450, family 27, subfamily B, polypeptide 1	H200014851	NM_000785	0.391882661
Up	CKS2	CDC28 protein kinase regulatory subunit 2	H200007058	NM_001827	0.39176777
Up	FLJ10213	Hypothetical protein FLJ10213	H200014435	NM_018029	0.391509999
Down	THUMPD1	THUMP domain containing 1	H200016634	NM_017736	-0.391175931
Up	LIN7B	Lin-7 homolog B (C. elegans)	H200009577	NM_022165	0.390665888
Up	GTF3C5	General transcription factor IIIC, polypeptide 5, 63kDa	H200008871	NM_012087	0.390468428
Up	TRIP15	Thyroid receptor interacting protein 15	H200003989	NM_004236	0.389556625
Up	XK	Kell blood group precursor (McLeod phenotype)	H200006581	NM_021083	0.389111112
Down	LOC51149	Truncated calcium binding protein	H200021199	NM_016175	-0.388989755
Down	FOS	V-fos FBJ murine osteosarcoma viral oncogene homolog	H200003548	NM_005252	-0.388702107
Up	FRAT1	Frequently rearranged in advanced T-cell lymphomas	H200012595	NM_005479	0.38853613
Down	PER3	Period homolog 3 (Drosophila)	H200002158	NM_016831	-0.388377885
Up	SLBP	Stem-loop (histone) binding protein	H200006049	NM_006527	0.388152837
Up	PNPO	Pyridoxine-5-phosphate oxidase	H200016616	NM_018129	0.387660925
Up	FAM3A	Family with sequence similarity 3, member A	H200009491	NM_021806	0.387512895
Up	KIAA1462	KIAA1462	H200010869	AK055602	0.387181255
Down	FLJ23554	Hypothetical protein FLJ23554	H200007603	NM_024806	-0.386929472
Down	ITPR2	Inositol 1,4,5-triphosphate receptor, type 2	H200015618	NM_002223	-0.386835966
Up	FLNB	Filamin B, beta (actin binding protein 278)	H200006812	NM_001457	0.38681364
Up	XPO4	Exportin 4	H200012036	AB051508	0.3867233
Down	GSTM1	Glutathione S-transferase M1	H200017990	NM_000561	-0.386690877
Up	DKFZP564O0	DKFZP564O0463 protein	H200016984	AK001693	0.386530066
Down	CKLFSF6	Chemokine-like factor super family 6	H200017776	NM_017801	-0.386372195
Up	DKFZp761G0	Hypothetical protein DKFZp761G058	H200009514	AK054678	0.386176474
Down	MGC2494	Hypothetical protein MGC2494	H200007676	NM_023933	-0.386070125
Up	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	H200000115	NM_001689	0.385613009
Up	C14orf130	Chromosome 14 open reading frame 130	H200001322	NM_018108	0.385279315
Up	LRP8	Low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	H200005098	NM_004631	0.385111488
Down	KIAA1194	Carbon catabolite repression 4 protein	H200001104	AB033020	-0.384907826
Down	LOC114926	Hypothetical protein BC013035	H200001869	BC013035	-0.384679774
Up	COL4A5	Collagen, type IV, alpha 5 (Alport syndrome)	H200007863	NM_033380	0.384024086
Up	PSMA2	Proteasome (prosome, macropain) subunit, alpha type, 2	H200008526	NM_002787	0.383947169
Up	RCBTB1	Regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1	H200003370	AF334406	0.383911202
Down	BCKDK	Branched chain alpha-ketoacid dehydrogenase kinase	H200002920	NM_005881	-0.383255412
Up	SNX11	Sorting nexin 11	H200002513	NM_013323	0.382920582
Down	RPL36AL	Ribosomal protein L36a-like	H200019785	NM_001001	-0.382770413
Up	PPP1CC	Protein phosphatase 1, catalytic subunit, gamma isoform	H200006620	NM_002710	0.382210812
Up	CALM2	Calmodulin 2 (phosphorylase kinase, delta)	H200008574	AK055130	0.382186187
Up	KIAA0404	KIAA0404 protein	H200011400	AB007864	0.381928249
Down	KLF8	Kruppel-like factor 8	H200018944	NM_007250	-0.381907259
Down	TCTEL1	T-complex-associated-testis-expressed 1-like 1	H200016583	AK026669	-0.381725786
Up	SRP14	Signal recognition particle 14kDa (homologous Alu R binding protein)	H200008427	NM_003134	0.380890313
Up	MLL4	Myeloid/lymphoid or mixed-lineage leukemia 4	H200010533	NM_014727	0.379414998
Down	DBP	D site of albumin promoter (albumin D-box) binding protein	H200014066	NM_001352	-0.378933424
Up	SLC7A8	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	H200003204	NM_012244	0.37856234
Up	RARS	Arginyl-tR synthetase	H200008470	NM_002887	0.377033371
Down	ORAOV1	Oral cancer overexpressed 1	H200005505	AK054816	-0.376643148
Down	CUEDC2	CUE domain containing 2	H200001988	NM_024040	-0.376561559
Up	KIAA0339	KIAA0339 gene product	H200011788	AB002337	0.375922132
Down	WDR22	WD repeat domain 22	H200008794	AB058727	-0.375881997
Down	ZFP64	Zinc finger protein 64 homolog (mouse)	H200013558	NM_018197	-0.375880657
Up	SF3B14	Splicing factor 3B, 14 kDa subunit	H200008294	NM_016047	0.37477501
Down	C20orf149	Chromosome 20 open reading frame 149	H200006708	NM_024299	-0.374681854
Down	A4GNT	Alpha-1,4-N-acetylglucosaminyltransferase	H200017402	NM_016161	-0.374631847
Up	EIF2B4	Eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa	H200007829	NM_015636	0.374509792
Down	PACSIN1	Protein kinase C and casein kinase substrate in neurons 1	H200001235	AB037800	-0.374067628
Down	SERPINH1	Serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	H200001857	NM_001235	-0.374027118
Down	DKFZp434L1	Hypothetical protein DKFZp434L142	H200003092	BC017701	-0.373546214
Down	M6PR	Mannose-6-phosphate receptor (cation dependent)	H200006176	NM_002355	-0.373376035
Down	TIMM9	Translocase of inner mitochondrial membrane 9 homolog (yeast)	H200019082	NM_012460	-0.37319836
Down	ZNF607	Zinc finger protein 607	H200019554	BC014850	-0.372867473
Up	ITPK1	Inositol 1,3,4-triphosphate 5/6 kinase	H200001230	NM_014216	0.372623083
Down	MTCBP-1	Membrane-type 1 matrix metalloproteinase cytoplasmic tail binding protein-1	H200005546	NM_018269	-0.372458096
Up	MPHOSPH10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	H200014920	AK056862	0.371794212
Down	IFP38	IFP38	H200019254	NM_031943	-0.371759837
Down	KIAA1713	KIAA1713 protein	H200013475	AL133050	-0.371192994
Up	C14orf138	Chromosome 14 open reading frame 138	H200002224	NM_024558	0.371125919
Up	TOMM20	Translocase of outer mitochondrial membrane 20 homolog (yeast)	H200006023	NM_014765	0.370590838
Up	ZFYVE1	Zinc finger, FYVE domain containing 1	H200002870	AB046809	0.369492575
Down	PINK1	PTEN induced putative kinase 1	H200001171	NM_032409	-0.369485738
Down	DAB1	Disabled homolog 1 (Drosophila)	H200020063	NM_021080	-0.369473067
Up	CD47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	H200006967	NM_001777	0.369180393
Up	MPHOSPH6	M-phase phosphoprotein 6	H200013829	NM_005792	0.369025833
Down	PIN1	Protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1	H200007523	NM_006221	-0.369022405
Down	APPBP2	Amyloid beta precursor protein (cytoplasmic tail) binding protein 2	H200007086	D86981	-0.368796581
Up	NOP5/NOP58	Nucleolar protein NOP5/NOP58	H200012229	NM_015934	0.368491481
Up	MGC15619	Hypothetical protein MGC15619	H200019620	NM_032369	0.36834223
Down	ADRB3	Adrenergic, beta-3-, receptor	H200000638	NM_000025	-0.367571664
Down	NSF	N-ethylmaleimide-sensitive factor	H200011596	NM_006178	-0.367470608
Up	G22P1	Thyroid autoantigen 70kDa (Ku antigen)	H200014758	NM_001469	0.367164132
Down	USP48	Ubiquitin specific protease 48	H300022052	NM_032236	-0.367092982
Down	CPNE3	Copine III	H200002356	NM_003909	-0.366670764
Up	PSMD10	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	H200001486	NM_002814	0.366385619
Up	CTBP1	C-terminal binding protein 1	H200015681	NM_001328	0.366267515
Down	FHL2	Four and a half LIM domains 2	H200001634	NM_001450	-0.366079898
Up	ATF7IP2	Activating transcription factor 7 interacting protein 2	H200009025	NM_024997	0.365984797
Down	LAMP2	Lysosomal-associated membrane protein 2	H200001629	NM_013995	-0.365948025
Down	MED8	Mediator of R polymerase II transcription, subunit 8 homolog (yeast)	H200017947	NM_052877	-0.365582499
Up	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (Galc-T12)	H200004826	NM_024642	0.365082978
Down	ELAVL3	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)	H200000444	NM_001420	-0.364696596
Up	DJC8	DnaJ (Hsp40) homolog, subfamily C, member 8	H200005985	NM_014280	0.364072025
Up	CYP4V2	Cytochrome P450, family 4, subfamily V, polypeptide 2	H200015598	AK022114	0.363940429
Up	GNG10	Guanine nucleotide binding protein (G protein), gamma 10	H200006634	NM_004125	0.363699408
Down	DC-UbP	Dendritic cell-derived ubiquitin-like protein	H200008383	AK022894	-0.363423046
Down	MCM5	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	H200006360	NM_006739	-0.363323815
Up	LOC119710	Hypothetical protein BC009561	H200012495	BC009561	0.363292568
Up	C15orf19	Chromosome 15 open reading frame 19	H200008129	BC007697	0.362900837
Up	GTF2F2	General transcription factor IIF, polypeptide 2, 30kDa	H200005333	NM_004128	0.362880838
Down	ATP6V0E	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e	H200003390	NM_003945	-0.362527656
Down	GPR143	G protein-coupled receptor 143	H200005922	NM_000273	-0.362431146
Up	SPG3A	Spastic paraplegia 3A (autosomal dominant)	H200015752	AF444143	0.362340286
Up	RPS7	Ribosomal protein S7	H200010044	NM_001011	0.362323442
Down	ACADSB	Acyl-Coenzyme A dehydrogenase, short/branched chain	H200006864	NM_001609	-0.362066792
Up	PFN2	Profilin 2	H200010511	NM_053024	0.361437336
Up	FLJ10539	Hypothetical protein FLJ10539	H200010578	NM_018130	0.36124676
Up	ARF4	ADP-ribosylation factor 4	H200006061	NM_001660	0.361242542
Up	TTBK1	Tau tubulin kinase 1	H200019979	AB058758	0.361116695
Down	CDC42EP5	CDC42 effector protein (Rho GTPase binding) 5	H300006311	NM_145057	-0.360966937
Up	SNX4	Sorting nexin 4	H200016609	NM_003794	0.360139345
Down	ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	H200011552	NM_014034	-0.360100422
Down	CCM2	Cerebral cavernous malformation 2	H200001861	NM_031443	-0.360022344
Down	RHOT2	Ras homolog gene family, member T2	H200003034	AK024450	-0.359308901
Up	gm117	Gm117	H200003612	AK024939	0.359193641
Down	INSIG2	Insulin induced gene 2	H200001357	AK021692	-0.35904114
Up	YWHAH	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	H200020448	NM_003405	0.358499962
Up	BZW1	Basic leucine zipper and W2 domains 1	H200014054	NM_014670	0.358360807
Down	RAP1B	RAP1B, member of RAS oncogene family	H200007223	NM_015646	-0.3576109
Up	FLVCR	Feline leukemia virus subgroup C cellular receptor	H200016713	NM_014053	0.357371763
Up	PSME1	Proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	H200006080	NM_006263	0.357136532
Down	BTBD11	BTB (POZ) domain containing 11	H300004029	NM_152322	-0.357075098
Down	ACSL3	Acyl-CoA synthetase long-chain family member 3	H200016619	NM_004457	-0.356801629
Up	NDUFS1	DH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (DH-coenzyme Q reductase)	H200001624	NM_005006	0.35646732
Up	JMJD1C	Jumonji domain containing 1C	H200001284	AB037801	0.356200829
Down	IBRDC2	IBR domain containing 2	H200009628	AJ420555	-0.355779863
Up	RBM3	R binding motif (RNP1, RRM) protein 3	H200010015	NM_006743	0.355738678
Up	GCNT2	Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	H200014430	AK058074	0.355591563
Up	ZFP91	Zinc finger protein 91 homolog (mouse)	H200004767	NM_053023	0.355323238
Down	CAD	Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	H200014004	NM_004341	-0.35498159
Down	CA2	Carbonic anhydrase II	H200014027	NM_000067	-0.354553045
Down	AKR1A1	Aldo-keto reductase family 1, member A1 (aldehyde reductase)	H200010341	NM_006066	-0.354507707
Down	PIGO	Phosphatidylinositol glycan, class O	H200019123	NM_032634	-0.354456606
Down	DDX51	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51	H200016228	BC012461	-0.35432826
Up	UXT	Ubiquitously-expressed transcript	H200008081	NM_004182	0.354276883
Down	FLJ21865	Endo-beta-N-acetylglucosaminidase	H200003910	AL110283	-0.354128586
Up	STX8	Syntaxin 8	H200012212	NM_004853	0.353905572
Down	CD109	CD109 antigen (Gov platelet alloantigens)	H200010625	AL110152	-0.353684564
Up	PTP4A1	Protein tyrosine phosphatase type IVA, member 1	H200015401	NM_003463	0.353680775
Up	BZRP	Benzodiazapine receptor (peripheral)	H200000056	NM_000714	0.35332901
Down	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	H200010936	NM_005194	-0.35284441
Up	ADM	Adrenomedullin	H200000106	NM_001124	0.352480037
Up	NIF3L1BP1	Ngg1 interacting factor 3 like 1 binding protein 1	H200009226	NM_025075	0.352241266
Up	NS3TP1	HCV NS3-transactivated protein 1	H200011119	NM_019048	0.352009468
Down	FTL	Ferritin, light polypeptide	H200011749	AF119897	-0.351961995
Up	SLC27A2	Solute carrier family 27 (fatty acid transporter), member 2	H200002026	NM_003645	0.351881184
Up	SEC61G	Sec61 gamma subunit	H200001859	NM_014302	0.351497989
Up	OACT2	O-acyltransferase (membrane bound) domain containing 2	H200021320	BC016005	0.351264525
Down	RASEF	RAS and EF hand domain containing	H200021130	AK056176	-0.349428962
Up	YY1	YY1 transcription factor	H200010807	NM_003403	0.349421333
Down	MYOM2	Myomesin (M-protein) 2, 165kDa	H200006651	NM_003970	-0.34930046
Down	PROS1	Protein S (alpha)	H200005535	NM_000313	-0.348051172
Down	DNCL2B	Dynein, cytoplasmic, light polypeptide 2B	H300005409	NM_130897	-0.34786651
Down	LHPP	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	H200002947	NM_022126	-0.347282973
Down	MTIF2	Mitochondrial translational initiation factor 2	H200013680	NM_002453	-0.346808662
Up	RCOR1	REST corepressor 1	H200006506	D31888	0.346308094
Down	TRIM2	Tripartite motif-containing 2	H200002118	NM_015271	-0.345961288
Down	HCN2	Hyperpolarization activated cyclic nucleotide-gated potassium channel 2	H200012492	NM_001194	-0.345906525
Down	GFPT2	Glutamine-fructose-6-phosphate transaminase 2	H200003997	NM_005110	-0.345779285
Up	TCEA1	Transcription elongation factor A (SII), 1	H200006567	NM_006756	0.344905863
Down	NPDC1	Neural proliferation, differentiation and control, 1	H200011379	NM_015392	-0.344879758
Up	KIAA0515	KIAA0515	H200011612	AB011087	0.34447738
Down	SYT3	Synaptotagmin III	H200005590	NM_032298	-0.343866197
Up	RNF153	Ring finger protein 153	H200019970	BC015480	0.343359076
Up	STRAP	Serine/threonine kinase receptor associated protein	H200000821	NM_007178	0.343332082
Down	BRD4	Bromodomain containing 4	H200014384	AF161369	-0.343311765
Up	HS6ST1	Heparan sulfate 6-O-sulfotransferase 1	H200001214	BC001196	0.3431096
Down	GSTO1	Glutathione S-transferase omega 1	H200002005	NM_004832	-0.34293183
Up	NESG1	Nasopharyngeal epithelium specific protein 1	H200007362	NM_012337	0.342534128
Down	FAM33A	Family with sequence similarity 33, member A	H200005680	AK056473	-0.342520779
Down	COL5A2	Collagen, type V, alpha 2	H200006995	NM_000393	-0.341963797
Down	ASCC1	Activating signal cointegrator 1 complex subunit 1	H200012344	NM_015947	-0.341729419
Up	TRAM1	Translocation associated membrane protein 1	H200000878	BC000687	0.341611221
Up	C14orf156	Chromosome 14 open reading frame 156	H200019106	NM_031210	0.341350172
Down	FLJ13614	Hypothetical protein FLJ13614	H200015620	BC016905	-0.340744059
Down	LOC56902	Putatative 28 kDa protein	H200014565	NM_020143	-0.340236662
Up	CGI-48	CGI-48 protein	H200001169	NM_016001	0.340079194
Up	PNPLA2	Patatin-like phospholipase domain containing 2	H200012115	BC017280	0.339500252
Up	FLJ10747	Hypothetical protein FLJ10747	H200014440	NM_018202	0.339419836
Up	C7orf35	Chromosome 7 open reading frame 35	H200002787	NM_032936	0.338557769
Down	FLJ21438	Hypothetical protein FLJ21438	H200013230	AK024488	-0.338477626
Up	PABPN1	Poly(A) binding protein, nuclear 1	H200012040	NM_004643	0.338272653
Down	SSTR2	Somatostatin receptor 2	H200014319	BC009522	-0.337976221
Down	AMPD1	Adenosine monophosphate deaminase 1 (isoform M)	H200010353	NM_000036	-0.337797991
Up	FKBP14	FK506 binding protein 14, 22 kDa	H200016546	NM_017946	0.337460362
Down	MRPS24	Mitochondrial ribosomal protein S24	H200008789	NM_032014	-0.337359828
Up	LAMP1	Lysosomal-associated membrane protein 1	H200013686	NM_005561	0.337345695
Up	STXBP3	Syntaxin binding protein 3	H200001688	NM_007269	0.337008956
Down	C10orf4	Chromosome 10 open reading frame 4	H200021306	BC018007	-0.33666154
Up	SDCCAG1	Serologically defined colon cancer antigen 1	H300022416	NM_004713	0.336435939
Up	EBAG9	Estrogen receptor binding site associated, antigen, 9	H200001750	NM_004215	0.336313792
Down	XPC	Xeroderma pigmentosum, complementation group C	H200000088	NM_004628	-0.336224907
Up	LOC93081	Hypothetical protein BC015148	H200002273	AF070559	0.336202193
Up	MGC33839	Hypothetical protein MGC33839	H300006521	NM_152353	0.335975024
Down	FLJ23375	Hypothetical protein FLJ23375	H200008862	NM_024956	-0.33588577
Up	FLJ13213	Hypothetical protein FLJ13213	H200019305	NM_024755	0.335720008
Up	GTF2B	General transcription factor IIB	H200016456	M76766	0.335473644
Up	SMAD2	SMAD, mothers against DPP homolog 2 (Drosophila)	H200006945	NM_005901	0.335469283
Down	KIRREL3	Kin of IRRE like 3 (Drosophila)	H200004013	AB058770	-0.335445102
Up	VMP1	Likely ortholog of rat vacuole membrane protein 1	H200007677	NM_030938	0.334902876
Down	APOA1BP	Apolipoprotein A-I binding protein	H300004933	NM_144772	-0.334761437
Up	STAT1	Signal transducer and activator of transcription 1, 91kDa	H200003030	NM_007315	0.334702298
Up	FLJ13868	Hypothetical protein FLJ13868	H200001720	NM_022744	0.334524455
Up	SEMA3C	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	H200008006	NM_006379	0.334227894
Down	RPE	Ribulose-5-phosphate-3-epimerase	H200012585	BC005148	-0.33366804
Up	PRO1855	Hypothetical protein PRO1855	H200017742	NM_018509	0.333468855
Up	KIAA0804	KIAA0804 protein	H200001412	AB018347	0.333460274
Up	FRMD4B	FERM domain containing 4B	H200010740	AB023230	0.333457102
Down	LOC123169	Senescence downregulated leo1-like	H200009683	BC018147	-0.333344708
Down	SAMSN1	SAM domain, SH3 domain and nuclear localisation signals, 1	H200003420	NM_022136	-0.332899865
Down	WSB1	WD repeat and SOCS box-containing 1	H200014390	NM_015626	-0.332635313
Up	C20orf177	Chromosome 20 open reading frame 177	H200008881	AL137442	0.332463231
Up	C20orf9	Chromosome 20 open reading frame 9	H200003469	NM_016004	0.332451961
Down	LOC144438	Hypothetical protein LOC144438	H200010539	AK002085	-0.331602956
Up	LMCD1	LIM and cysteine-rich domains 1	H200017565	NM_014583	0.331509149
Up	UBE2J1	Ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	H200014271	AF151039	0.331406994
Up	RRAGC	Ras-related GTP binding C	H200011726	NM_022157	0.33115543
Down	CYYR1	Cysteine and tyrosine-rich 1	H200013006	NM_052954	-0.330904164
Up	MNS1	Meiosis-specific nuclear structural protein 1	H200013043	NM_018365	0.330070706
Down	PFDN1	Prefoldin 1	H200013047	NM_002622	-0.329724968
Down	TPP2	Tripeptidyl peptidase II	H200000290	NM_003291	-0.329712445
Up	SH3BP5	SH3-domain binding protein 5 (BTK-associated)	H300011784	NM_004844	0.329579289
Down	LOC127262	Hypothetical protein LOC127262	H200002909	AK025464	-0.329502005
Up	SCAMP4	Secretory carrier membrane protein 4	H200013489	BC011824	0.329464785
Down	ELMO3	Engulfment and cell motility 3 (ced-12 homolog, C. elegans)	H200011402	NM_024712	-0.329249998
Up	PEX7	Peroxisomal biogenesis factor 7	H200006734	NM_000288	0.32911875
Up	SLC35E1	Solute carrier family 35, member E1	H200017590	AK027699	0.32907951
Down	TM4SF13	Transmembrane 4 superfamily member 13	H200008767	NM_014399	-0.32900912
Down	SEPP1	Selenoprotein P, plasma, 1	H200000771	NM_005410	-0.328582648
Down	SLC7A6	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	H200001901	NM_003983	-0.328380911
Up	SPC12	Signal peptidase 12kDa	H200001973	NM_014041	0.328318563
Up	USP32	Ubiquitin specific protease 32	H200014110	NM_032582	0.3281887
Down	LOC113655	Hypothetical protein BC011982	H200001470	BC011982	-0.32772007
Down	F8A1	Coagulation factor VIII-associated (intronic transcript)	H200007025	NM_012151	-0.32770639
Down	ZBTB20	Zinc finger and BTB domain containing 20	H200011366	BC010934	-0.32755057
