LocusLinkNAIDNANA	Accession number	Gene symbol	Sequence Description	Fold change	p-value(FDR)
961	NM_001777	CD47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer) (CD47)	1.55	1.70E-05
7009	NM_003217	TEGT	testis enhanced gene transcript (BAX inhibitor 1) (TEGT)	1.55	4.10E-03
682	NM_001728	BSG	basigin (OK blood group) (BSG)	1.55	3.50E-06
10004	NM_005468	NAALADL1	N-acetylated alpha-linked acidic dipeptidase-like (NAALADASEL)	1.55	1.70E-09
91949	AF070568	COG7	clone 24758 mRNA sequence.	1.54	1.10E-08
1293	S49432	COL6A3	type VI collagen alpha 3 chain {5 region, alternatively spliced, exon A9/N10} [, mRNA, 653 nt].	1.54	1.60E-05
6452	NM_003023	SH3BP2	SH3-domain binding protein 2 (SH3BP2)	1.54	3.30E-03
55332	NM_018370	FLJ11259	hypothetical protein FLJ11259 (FLJ11259)	1.54	2.40E-03
667	X75692	DST	H.sapiens (TL21) mRNA from LNCaP cell line.	1.54	6.60E-03
8760	Y16521	CDS2	mRNA for CDS2 protein.	1.54	4.30E-04
541466	U31738	hprt	clone SS108 A10F1 hypoxanthine phosphoribosyltransferase (hprt) 1200 kb deletion mutant mRNA, partial cds.	1.54	2.90E-08
440	NM_001673	ASNS	asparagine synthetase (ASNS), transcript variant 2	1.54	8.10E-09
23363	AB014557	KIAA0657	mRNA for KIAA0657 protein, partial cds.	1.54	3.00E-04
2794	NM_005275	GNL1	guanine nucleotide binding protein-like 1 (GNL1)	1.53	5.50E-05
6367	NM_002990	CCL22	chemokine (C-C motif) ligand 22 (CCL22)	1.53	5.00E-05
9351	NM_004785	SLC9A3R2	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 2 (SLC9A3R2)	1.53	4.30E-04
7555	NM_003418	ZNF9	zinc finger protein 9 (a cellular retroviral nucleic acid binding protein) (ZNF9)	1.53	3.10E-08
50848	AL365518	F11R	mRNA full length insert cDNA clone EUROIMAGE 147447.	1.53	1.60E-04
NA	AF088012	NA	full length insert cDNA clone YY79F02.	1.53	5.00E-06
26509	NM_013451	FER1L3	fer-1-like 3, myoferlin (C. elegans) (FER1L3), transcript variant 1	1.53	5.00E-05
2305	U74612	FOXM1	hepatocyte nuclear factor-3/fork head homolog 11A (HFH-11A) mRNA complete cds.	1.53	8.00E-04
51117	NM_016035	COQ4	coenzyme Q4 homolog (yeast) (COQ4)	1.53	6.30E-10
474344	AK026343	GIMAP6	cDNA: FLJ22690 fis, clone HSI11134.	1.53	1.20E-09
2323	NM_001459	FLT3LG	fms-related tyrosine kinase 3 ligand (FLT3LG)	1.53	5.00E-03
10411	NM_006105	RAPGEF3	Rap1 guanine-nucleotide-exchange factor directly activated by cAMP (EPAC)	1.53	1.50E-06
56624	NM_019893	ASAH2	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2 (ASAH2)	1.53	3.60E-03
29911	NM_013312	HOOK2	hook2 protein (HOOK2)	1.52	1.70E-06
NA	AK000893	NA	cDNA FLJ10031 fis, clone HEMBA1000867.	1.52	1.60E-05
146712	U79265	LOC146712	clone 23614 mRNA sequence.	1.52	3.00E-04
56683	NM_017835	C21orf59	chromosome 21 open reading frame 59 (C21orf59)	1.52	6.90E-04
91754	AL117502	NEK9	mRNA; cDNA DKFZp434D0935 (from clone DKFZp434D0935).	1.52	8.00E-07
8674	NM_003762	VAMP4	vesicle-associated membrane protein 4 (VAMP4)	1.52	8.00E-08
2842	NM_006143	GPR19	G protein-coupled receptor 19 (GPR19)	1.52	5.60E-04
7022	NM_003222	TFAP2C	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma) (TFAP2C)	1.52	2.90E-05
94	NM_000020	ACVRL1	activin A receptor type II-like 1 (ACVRL1)	1.52	1.10E-04
9172	NM_003970	MYOM2	myomesin (M-protein) 2, 165kDa (MYOM2)	1.52	1.40E-11
7988	NM_012256	ZNF212	zinc finger protein 212 (ZNF212)	1.52	3.20E-03
2050	NM_004444	EPHB4	EphB4 (EPHB4)	1.51	4.10E-06
5150	AK024332	PDE7A	cDNA FLJ14270 fis, clone PLACE1004491.	1.51	2.10E-03
10333	NM_006068	TLR6	toll-like receptor 6 (TLR6)	1.51	1.00E-03
805	D16988	CALM2	HepG2 partial cDNA, clone hmd2c09m5.	1.51	6.40E-13
8742	NM_003809	TNFSF12	tumor necrosis factor (ligand) superfamily, member 12 (TNFSF12), transcript variant 1	1.51	7.50E-13
51134	NM_016122	NY-REN-58	NY-REN-58 antigen (NY-REN-58)	1.51	3.00E-04
9236	NM_004748	CCPG1	cell cycle progression 8 protein (CPR8)	1.51	8.00E-10
NA	AF257238	NA	membrane-associated guanylate kinase MAGI3 mRNA, complete cds.	1.51	6.10E-05
51389	NM_016104	RWDD1	NA	1.51	7.30E-06
1009	NM_001797	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast) (CDH11), transcript variant 1	1.51	4.20E-03
7358	NM_003359	UGDH	UDP-glucose dehydrogenase (UGDH)	1.51	1.10E-06
79983	AK025039	POF1B	cDNA: FLJ21386 fis, clone COL03414.	1.51	6.90E-03
1842	NM_001393	ECM2	extracellular matrix protein 2, female organ and adipocyte specific (ECM2)	1.51	1.10E-04
22807	NM_016260	ZNFN1A2	zinc finger protein, subfamily 1A, 2 (Helios) (ZNFN1A2)	1.5	1.00E-04
NA	S76984	HEXA	HEXA {HEXA4bpDeltass mutation, exon 11} [, Tay-Sachs disease patient, mRNA Partial Mutant, 84 nt].	1.5	1.90E-03
64168	AF193756	EFCBP1	neuronal calcium binding protein NECAB1 mRNA, partial cds.	1.5	6.80E-09
64794	AK027002	DDX31	cDNA: FLJ23349 fis, clone HEP13913.	1.5	7.20E-05
1259	NM_000087	CNGA1	cyclic nucleotide gated channel alpha 1 (CNGA1)	1.5	5.00E-03
